sequence,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBGqBzpB,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBupBTqB,v115@LhB8HeD8BeA8CeE8KeNEJvhFRgBUiBGjB/tBCqBTqB
TZOISJL,X,O,O
TZOLIJS,O,O,X
TZOLISJ,O,O,O
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,O,O
TZOLSJI,X,O,O
TZOJILS,O,O,X
TZOJISL,O,O,X
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,O,X
TZOJSLI,O,O,X
TZOSILJ,O,O,X
TZOSIJL,X,O,O
TZOSLIJ,O,O,O
TZOSLJI,X,O,O
TZOSJIL,X,O,O
TZOSJLI,X,O,O
TOILJSZ,O,O,X
TOILJZS,O,O,X
TOILSJZ,X,O,X
TOILSZJ,O,O,X
TOILZJS,O,O,X
TOILZSJ,O,O,X
TOIJLSZ,O,O,X
TOIJLZS,O,O,X
TOIJSLZ,O,O,X
TOIJSZL,O,O,X
TOIJZLS,O,O,X
TOIJZSL,O,O,X
TOISLJZ,X,O,X
TOISLZJ,O,O,X
TOISJLZ,X,O,X
TOISJZL,X,O,O
TOISZLJ,O,O,X
TOISZJL,X,O,O
TOIZLJS,O,O,X
TOIZLSJ,O,O,X
TOIZJLS,O,O,X
TOIZJSL,O,O,X
TOIZSLJ,O,O,X
TOIZSJL,X,O,O
TOLIJSZ,O,O,X
TOLIJZS,O,O,X
TOLISJZ,X,O,O
TOLISZJ,O,O,O
TOLIZJS,O,O,X
TOLIZSJ,O,O,O
TOLJISZ,O,O,X
TOLJIZS,O,O,X
TOLJSIZ,O,O,X
TOLJSZI,O,O,X
TOLJZIS,O,O,X
TOLJZSI,O,O,X
TOLSIJZ,X,O,O
TOLSIZJ,O,O,O
TOLSJIZ,X,O,O
TOLSJZI,X,O,O
TOLSZIJ,O,O,O
TOLSZJI,X,O,O
TOLZIJS,O,O,X
TOLZISJ,O,O,O
TOLZJIS,O,O,X
TOLZJSI,O,O,X
TOLZSIJ,O,O,O
TOLZSJI,X,O,O
TOJILSZ,O,O,X
TOJILZS,O,O,X
TOJISLZ,O,O,X
TOJISZL,O,O,X
TOJIZLS,O,O,X
TOJIZSL,O,O,X
TOJLISZ,O,O,X
TOJLIZS,O,O,X
TOJLSIZ,O,O,X
TOJLSZI,O,O,X
TOJLZIS,O,O,X
TOJLZSI,O,O,X
TOJSILZ,O,O,X
TOJSIZL,O,O,X
TOJSLIZ,O,O,X
TOJSLZI,O,O,X
TOJSZIL,O,O,X
TOJSZLI,O,O,X
TOJZILS,O,O,X
TOJZISL,O,O,X
TOJZLIS,O,O,X
TOJZLSI,O,O,X
TOJZSIL,O,O,X
TOJZSLI,O,O,X
TOSILJZ,X,O,X
TOSILZJ,O,O,X
TOSIJLZ,X,O,X
TOSIJZL,X,O,O
TOSIZLJ,O,O,X
TOSIZJL,X,O,O
TOSLIJZ,X,O,O
TOSLIZJ,O,O,O
TOSLJIZ,X,O,O
TOSLJZI,X,O,O
TOSLZIJ,O,O,O
TOSLZJI,X,O,O
TOSJILZ,X,O,X
TOSJIZL,X,O,O
TOSJLIZ,X,O,O
TOSJLZI,X,O,O
TOSJZIL,X,O,O
TOSJZLI,X,O,O
TOSZILJ,O,O,X
TOSZIJL,X,O,O
TOSZLIJ,O,O,O
TOSZLJI,X,O,O
TOSZJIL,X,O,O
TOSZJLI,X,O,O
TOZILJS,O,O,X
TOZILSJ,O,O,X
TOZIJLS,O,O,X
TOZIJSL,O,O,X
TOZISLJ,O,O,X
TOZISJL,X,O,O
TOZLIJS,O,O,X
TOZLISJ,O,O,O
TOZLJIS,O,O,X
TOZLJSI,O,O,X
TOZLSIJ,O,O,O
TOZLSJI,X,O,O
TOZJILS,O,O,X
TOZJISL,O,O,X
TOZJLIS,O,O,X
TOZJLSI,O,O,X
TOZJSIL,O,O,X
TOZJSLI,O,O,X
TOZSILJ,O,O,X
TOZSIJL,X,O,O
TOZSLIJ,O,O,O
TOZSLJI,X,O,O
TOZSJIL,X,O,O
TOZSJLI,X,O,O
ITLJSZO,O,O,O
ITLJSOZ,O,X,O
ITLJZSO,O,O,O
ITLJZOS,O,O,X
ITLJOSZ,O,O,X
ITLJOZS,O,O,X
ITLSJZO,O,O,O
ITLSJOZ,O,X,O
ITLSZJO,O,O,O
ITLSZOJ,O,O,O
ITLSOJZ,X,O,O
ITLSOZJ,O,O,O
ITLZJSO,O,O,O
ITLZJOS,O,O,X
ITLZSJO,O,O,O
ITLZSOJ,O,O,O
ITLZOJS,O,O,X
ITLZOSJ,O,O,O
ITLOJSZ,O,O,X
ITLOJZS,O,O,X
ITLOSJZ,X,O,O
ITLOSZJ,O,O,O
ITLOZJS,O,O,X
ITLOZSJ,O,O,O
ITJLSZO,O,O,X
ITJLSOZ,O,X,X
ITJLZSO,O,O,X
ITJLZOS,O,O,X
ITJLOSZ,O,O,X
ITJLOZS,O,O,X
ITJSLZO,O,O,O
ITJSLOZ,O,X,X
ITJSZLO,O,O,O
ITJSZOL,O,X,O
ITJSOLZ,O,X,X
ITJSOZL,O,X,O
ITJZLSO,O,O,X
ITJZLOS,O,O,X
ITJZSLO,O,O,O
ITJZSOL,O,X,O
ITJZOLS,O,O,X
ITJZOSL,O,O,X
ITJOLSZ,O,O,X
ITJOLZS,O,O,X
ITJOSLZ,O,O,X
ITJOSZL,O,O,X
ITJOZLS,O,O,X
ITJOZSL,O,O,X
ITSLJZO,O,O,O
ITSLJOZ,O,X,O
ITSLZJO,O,O,O
ITSLZOJ,O,O,O
ITSLOJZ,X,O,O
ITSLOZJ,O,O,O
ITSJLZO,O,O,O
ITSJLOZ,O,X,O
ITSJZLO,O,O,O
ITSJZOL,O,X,O
ITSJOLZ,O,X,X
ITSJOZL,O,X,O
ITSZLJO,O,O,O
ITSZLOJ,O,O,O
ITSZJLO,O,O,O
ITSZJOL,O,X,O
ITSZOLJ,O,O,X
ITSZOJL,X,O,O
ITSOLJZ,X,O,X
ITSOLZJ,O,O,X
ITSOJLZ,X,O,X
ITSOJZL,X,O,O
ITSOZLJ,O,O,X
ITSOZJL,X,O,O
ITZLJSO,O,O,O
ITZLJOS,O,O,X
ITZLSJO,O,O,O
ITZLSOJ,O,O,O
ITZLOJS,O,O,X
ITZLOSJ,O,O,O
ITZJLSO,O,O,X
ITZJLOS,O,O,X
ITZJSLO,O,O,O
ITZJSOL,O,X,O
ITZJOLS,O,O,X
ITZJOSL,O,O,X
ITZSLJO,O,O,O
ITZSLOJ,O,O,O
ITZSJLO,O,O,O
ITZSJOL,O,X,O
ITZSOLJ,O,O,X
ITZSOJL,X,O,O
ITZOLJS,O,O,X
ITZOLSJ,O,O,X
ITZOJLS,O,O,X
ITZOJSL,O,O,X
ITZOSLJ,O,O,X
ITZOSJL,X,O,O
ITOLJSZ,O,O,X
ITOLJZS,O,O,X
ITOLSJZ,X,O,X
ITOLSZJ,O,O,X
ITOLZJS,O,O,X
ITOLZSJ,O,O,X
ITOJLSZ,O,O,X
ITOJLZS,O,O,X
ITOJSLZ,O,O,X
ITOJSZL,O,O,X
ITOJZLS,O,O,X
ITOJZSL,O,O,X
ITOSLJZ,X,O,X
ITOSLZJ,O,O,X
ITOSJLZ,X,O,X
ITOSJZL,X,O,O
ITOSZLJ,O,O,X
ITOSZJL,X,O,O
ITOZLJS,O,O,X
ITOZLSJ,O,O,X
ITOZJLS,O,O,X
ITOZJSL,O,O,X
ITOZSLJ,O,O,X
ITOZSJL,X,O,O
ILTJSZO,O,O,O
ILTJSOZ,O,X,O
ILTJZSO,O,O,O
ILTJZOS,O,O,X
ILTJOSZ,O,O,X
ILTJOZS,O,O,X
ILTSJZO,O,O,O
ILTSJOZ,O,X,O
ILTSZJO,O,O,O
ILTSZOJ,O,O,O
ILTSOJZ,X,O,O
ILTSOZJ,O,O,O
ILTZJSO,O,O,O
ILTZJOS,O,O,X
ILTZSJO,O,O,O
ILTZSOJ,O,O,O
ILTZOJS,O,O,X
ILTZOSJ,O,O,O
ILTOJSZ,O,O,X
ILTOJZS,O,O,X
ILTOSJZ,X,O,O
ILTOSZJ,O,O,O
ILTOZJS,O,O,X
ILTOZSJ,O,O,O
ILJTSZO,O,O,X
ILJTSOZ,O,X,X
ILJTZSO,O,O,X
ILJTZOS,O,O,X
ILJTOSZ,O,O,X
ILJTOZS,O,O,X
ILJSTZO,O,O,X
ILJSTOZ,O,X,X
ILJSZTO,O,O,X
ILJSZOT,O,X,X
ILJSOTZ,O,X,X
ILJSOZT,O,X,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,X,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,O,O,X
ILJOSZT,O,O,X
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,O,O
ILSTJOZ,O,X,O
ILSTZJO,O,O,O
ILSTZOJ,O,O,O
ILSTOJZ,X,O,O
ILSTOZJ,O,O,O
ILSJTZO,O,O,O
ILSJTOZ,O,X,O
ILSJZTO,O,O,O
ILSJZOT,O,X,X
ILSJOTZ,O,X,X
ILSJOZT,O,X,X
ILSZTJO,O,O,O
ILSZTOJ,O,O,O
ILSZJTO,O,O,O
ILSZJOT,O,X,X
ILSZOTJ,O,O,X
ILSZOJT,O,O,X
ILSOTJZ,X,O,X
ILSOTZJ,O,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,O,X
ILSOZTJ,O,O,X
ILSOZJT,O,O,X
ILZTJSO,O,O,O
ILZTJOS,O,O,X
ILZTSJO,O,O,O
ILZTSOJ,O,O,O
ILZTOJS,O,O,X
ILZTOSJ,O,O,O
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,O,X
ILZJSOT,O,X,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,O,O
ILZSTOJ,O,O,O
ILZSJTO,O,O,O
ILZSJOT,O,X,X
ILZSOTJ,O,O,X
ILZSOJT,O,O,X
ILZOTJS,O,O,X
ILZOTSJ,O,O,X
ILZOJTS,O,O,X
ILZOJST,O,O,X
ILZOSTJ,O,O,X
ILZOSJT,O,O,X
ILOTJSZ,O,O,X
ILOTJZS,O,O,X
ILOTSJZ,X,O,X
ILOTSZJ,O,O,X
