sequence,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF/mBFiBTjBOpB0l?BywB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgBXiBTjBllB0m?B2wB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgB2mBTjB0lB3r?BFsB,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF0hBTjBOpBllBir?BXsB
TSOZILJ,X,O,O,X
TSOZIJL,X,X,O,X
TSOZLIJ,X,O,O,X
TSOZLJI,X,X,O,X
TSOZJIL,X,X,O,O
TSOZJLI,X,X,O,O
TZILJSO,X,O,X,X
TZILJOS,X,O,O,X
TZILSJO,O,X,O,X
TZILSOJ,O,O,O,X
TZILOJS,X,O,O,X
TZILOSJ,O,O,O,X
TZIJLSO,X,O,X,X
TZIJLOS,X,O,O,O
TZIJSLO,X,O,X,X
TZIJSOL,X,O,X,O
TZIJOLS,X,O,O,O
TZIJOSL,X,O,X,O
TZISLJO,X,X,O,X
TZISLOJ,O,O,O,X
TZISJLO,X,X,O,X
TZISJOL,O,X,O,X
TZISOLJ,O,O,O,X
TZISOJL,O,X,O,X
TZIOLJS,X,O,O,X
TZIOLSJ,O,O,O,X
TZIOJLS,X,O,O,O
TZIOJSL,X,O,X,O
TZIOSLJ,O,O,O,X
TZIOSJL,O,X,O,X
TZLIJSO,X,O,X,O
TZLIJOS,X,O,O,O
TZLISJO,O,X,O,X
TZLISOJ,O,O,O,X
TZLIOJS,X,O,O,O
TZLIOSJ,O,O,O,X
TZLJISO,O,O,X,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,X,O
TZLJSOI,O,O,X,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,X,O
TZLSIJO,O,X,O,X
TZLSIOJ,O,O,O,X
TZLSJIO,O,X,O,O
TZLSJOI,O,X,O,O
TZLSOIJ,O,O,O,X
TZLSOJI,O,X,O,O
TZLOIJS,X,O,O,O
TZLOISJ,O,O,O,X
TZLOJIS,O,O,O,O
TZLOJSI,O,O,X,O
TZLOSIJ,O,O,O,X
TZLOSJI,O,X,O,O
TZJILSO,O,O,X,O
TZJILOS,O,O,O,O
TZJISLO,O,O,X,X
TZJISOL,O,O,X,O
TZJIOLS,O,O,O,O
TZJIOSL,O,O,X,O
TZJLISO,O,O,X,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,X,O
TZJLSOI,O,O,X,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,X,O
TZJSILO,O,O,X,X
TZJSIOL,O,O,X,O
TZJSLIO,O,O,X,X
TZJSLOI,O,O,X,X
TZJSOIL,O,O,X,O
TZJSOLI,O,O,X,O
TZJOILS,O,O,O,O
TZJOISL,O,O,X,O
TZJOLIS,O,O,O,O
TZJOLSI,O,O,X,O
TZJOSIL,O,O,X,O
TZJOSLI,O,O,X,O
TZSILJO,X,X,O,X
TZSILOJ,O,O,O,X
TZSIJLO,O,X,O,X
TZSIJOL,O,X,O,X
TZSIOLJ,O,O,O,X
TZSIOJL,O,X,O,X
TZSLIJO,X,X,O,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,X,O,X
TZSLJOI,O,X,O,X
TZSLOIJ,O,O,O,X
TZSLOJI,O,X,O,X
TZSJILO,O,X,O,X
TZSJIOL,O,X,O,O
TZSJLIO,O,X,O,X
TZSJLOI,O,X,O,X
TZSJOIL,O,X,O,O
TZSJOLI,O,X,O,O
TZSOILJ,O,O,O,X
TZSOIJL,O,X,O,X
TZSOLIJ,O,O,O,X
TZSOLJI,O,X,O,X
TZSOJIL,O,X,O,O
TZSOJLI,O,X,O,O
TZOILJS,X,O,O,X
TZOILSJ,O,O,O,X
TZOIJLS,X,O,O,O
TZOIJSL,X,O,X,O
TZOISLJ,O,O,O,X
TZOISJL,O,X,O,X
TZOLIJS,X,O,O,O
TZOLISJ,O,O,O,X
TZOLJIS,O,O,O,O
TZOLJSI,O,O,X,O
TZOLSIJ,O,O,O,X
TZOLSJI,O,X,O,O
TZOJILS,O,O,O,O
TZOJISL,O,O,X,O
TZOJLIS,O,O,O,O
TZOJLSI,O,O,X,O
TZOJSIL,O,O,X,O
TZOJSLI,O,O,X,O
TZOSILJ,O,O,O,X
TZOSIJL,O,X,O,X
TZOSLIJ,O,O,O,X
TZOSLJI,O,X,O,X
TZOSJIL,O,X,O,O
TZOSJLI,O,X,O,O
TOILJSZ,O,O,X,O
TOILJZS,X,O,X,O
TOILSJZ,O,O,X,X
TOILSZJ,X,O,O,X
TOILZJS,X,O,O,O
TOILZSJ,X,O,O,X
TOIJLSZ,O,O,X,O
TOIJLZS,X,O,X,O
TOIJSLZ,X,O,X,O
TOIJSZL,X,O,X,O
TOIJZLS,X,O,X,O
TOIJZSL,X,O,X,O
TOISLJZ,X,O,X,X
TOISLZJ,X,O,O,X
TOISJLZ,X,O,X,X
TOISJZL,X,O,X,X
TOISZLJ,X,O,O,X
TOISZJL,X,X,O,X
TOIZLJS,X,O,O,X
TOIZLSJ,X,O,O,X
TOIZJLS,X,O,O,O
TOIZJSL,X,O,X,O
TOIZSLJ,X,O,O,X
TOIZSJL,X,X,O,X
TOLIJSZ,O,O,X,O
TOLIJZS,X,O,X,O
TOLISJZ,O,O,X,X
TOLISZJ,X,O,O,X
TOLIZJS,X,O,O,O
TOLIZSJ,X,O,O,X
TOLJISZ,O,O,X,O
TOLJIZS,O,O,X,O
TOLJSIZ,O,O,X,O
TOLJSZI,O,O,X,O
TOLJZIS,O,O,X,O
TOLJZSI,O,O,X,O
TOLSIJZ,O,O,X,X
TOLSIZJ,X,O,O,X
TOLSJIZ,O,O,X,O
TOLSJZI,O,O,X,O
TOLSZIJ,X,O,O,X
TOLSZJI,O,X,O,O
TOLZIJS,X,O,O,O
TOLZISJ,O,O,O,X
TOLZJIS,O,O,O,O
TOLZJSI,O,O,X,O
TOLZSIJ,O,O,O,X
TOLZSJI,O,X,O,O
TOJILSZ,O,O,X,O
TOJILZS,O,O,X,O
TOJISLZ,X,O,X,O
TOJISZL,X,O,X,O
TOJIZLS,O,O,X,O
TOJIZSL,O,O,X,O
TOJLISZ,O,O,X,O
TOJLIZS,O,O,X,O
TOJLSIZ,O,O,X,O
TOJLSZI,O,O,X,O
TOJLZIS,O,O,X,O
TOJLZSI,O,O,X,O
TOJSILZ,X,O,X,O
TOJSIZL,X,O,X,O
TOJSLIZ,O,O,X,O
TOJSLZI,O,O,X,O
TOJSZIL,X,O,X,O
TOJSZLI,X,O,X,O
TOJZILS,O,O,X,O
TOJZISL,O,O,X,O
TOJZLIS,O,O,X,O
TOJZLSI,O,O,X,O
TOJZSIL,O,O,X,O
TOJZSLI,O,O,X,O
TOSILJZ,X,O,X,X
TOSILZJ,X,O,O,X
TOSIJLZ,X,O,X,X
TOSIJZL,X,O,X,X
TOSIZLJ,X,O,O,X
TOSIZJL,X,X,O,X
TOSLIJZ,O,O,X,X
TOSLIZJ,X,O,O,X
TOSLJIZ,O,O,X,O
TOSLJZI,O,O,X,O
TOSLZIJ,X,O,O,X
TOSLZJI,O,X,O,O
TOSJILZ,X,O,X,O
TOSJIZL,X,O,X,O
TOSJLIZ,O,O,X,O
TOSJLZI,O,O,X,O
TOSJZIL,X,O,X,O
TOSJZLI,X,O,X,O
TOSZILJ,X,O,O,X
TOSZIJL,X,X,O,X
TOSZLIJ,X,O,O,X
TOSZLJI,X,X,O,X
TOSZJIL,X,X,O,O
TOSZJLI,X,X,O,O
TOZILJS,X,O,O,X
TOZILSJ,O,O,O,X
TOZIJLS,X,O,O,O
TOZIJSL,X,O,X,O
TOZISLJ,O,O,O,X
TOZISJL,O,X,O,X
TOZLIJS,X,O,O,O
TOZLISJ,O,O,O,X
TOZLJIS,O,O,O,O
TOZLJSI,O,O,X,O
TOZLSIJ,O,O,O,X
TOZLSJI,O,X,O,O
TOZJILS,O,O,O,O
TOZJISL,O,O,X,O
TOZJLIS,O,O,O,O
TOZJLSI,O,O,X,O
TOZJSIL,O,O,X,O
TOZJSLI,O,O,X,O
TOZSILJ,O,O,O,X
TOZSIJL,O,X,O,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,X,O,X
TOZSJIL,O,X,O,O
TOZSJLI,O,X,O,O
ITLJSZO,O,O,X,O
ITLJSOZ,O,O,X,O
ITLJZSO,X,O,X,O
ITLJZOS,X,O,X,O
ITLJOSZ,O,O,X,O
ITLJOZS,X,O,X,O
ITLSJZO,O,O,X,X
ITLSJOZ,O,O,X,X
ITLSZJO,X,X,O,X
ITLSZOJ,X,O,O,X
ITLSOJZ,O,O,X,X
ITLSOZJ,X,O,O,X
ITLZJSO,X,O,X,O
ITLZJOS,X,O,O,O
ITLZSJO,X,X,O,X
ITLZSOJ,X,O,O,X
ITLZOJS,X,O,O,O
ITLZOSJ,X,O,O,X
ITLOJSZ,O,O,X,O
ITLOJZS,X,O,X,O
ITLOSJZ,O,O,X,X
ITLOSZJ,X,O,O,X
ITLOZJS,X,O,O,O
ITLOZSJ,X,O,O,X
ITJLSZO,O,O,X,O
ITJLSOZ,O,O,X,O
ITJLZSO,X,O,X,O
ITJLZOS,X,O,X,O
ITJLOSZ,O,O,X,O
ITJLOZS,X,O,X,O
ITJSLZO,X,O,X,O
ITJSLOZ,X,O,X,O
ITJSZLO,X,O,X,X
ITJSZOL,X,O,X,O
ITJSOLZ,X,O,X,O
ITJSOZL,X,O,X,O
ITJZLSO,X,O,X,O
ITJZLOS,X,O,X,O
ITJZSLO,X,O,X,X
ITJZSOL,X,O,X,O
ITJZOLS,X,O,X,O
ITJZOSL,X,O,X,O
ITJOLSZ,O,O,X,O
ITJOLZS,X,O,X,O
ITJOSLZ,X,O,X,O
ITJOSZL,X,O,X,O
ITJOZLS,X,O,X,O
ITJOZSL,X,O,X,O
ITSLJZO,X,O,X,X
ITSLJOZ,X,O,X,X
ITSLZJO,X,X,O,X
ITSLZOJ,X,O,O,X
ITSLOJZ,X,O,X,X
ITSLOZJ,X,O,O,X
ITSJLZO,X,O,X,X
ITSJLOZ,X,O,X,X
ITSJZLO,X,O,X,X
ITSJZOL,X,O,X,X
ITSJOLZ,X,O,X,X
ITSJOZL,X,O,X,X
ITSZLJO,X,X,O,X
ITSZLOJ,X,O,O,X
ITSZJLO,X,X,O,X
ITSZJOL,X,X,O,X
ITSZOLJ,X,O,O,X
ITSZOJL,X,X,O,X
ITSOLJZ,X,O,X,X
ITSOLZJ,X,O,O,X
ITSOJLZ,X,O,X,X
ITSOJZL,X,O,X,X
ITSOZLJ,X,O,O,X
ITSOZJL,X,X,O,X
