sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
JTSLOZI,X,X,X,O,X
JTSZILO,O,X,X,X,X
JTSZIOL,O,X,X,X,X
JTSZLIO,O,X,X,O,X
JTSZLOI,X,X,X,O,X
JTSZOIL,O,X,X,X,X
JTSZOLI,X,X,X,O,X
JTSOILZ,O,X,X,X,X
JTSOIZL,O,X,X,X,X
JTSOLIZ,X,X,X,O,X
JTSOLZI,X,X,X,O,X
JTSOZIL,O,X,X,X,X
JTSOZLI,X,X,X,O,X
JTZILSO,O,O,O,O,O
JTZILOS,X,O,O,O,O
JTZISLO,O,X,O,X,O
JTZISOL,O,X,O,X,O
JTZIOLS,X,O,O,O,O
JTZIOSL,O,X,O,X,O
JTZLISO,O,O,O,O,O
JTZLIOS,X,O,O,O,O
JTZLSIO,O,O,O,O,O
JTZLSOI,O,O,O,O,O
JTZLOIS,X,O,O,O,O
JTZLOSI,X,O,O,O,O
JTZSILO,O,X,O,X,O
JTZSIOL,O,X,O,X,O
JTZSLIO,O,X,O,O,O
JTZSLOI,X,X,O,O,O
JTZSOIL,O,X,O,X,O
JTZSOLI,X,X,O,O,O
JTZOILS,X,O,O,O,O
JTZOISL,O,X,O,X,O
JTZOLIS,X,O,O,O,O
JTZOLSI,X,O,O,O,O
JTZOSIL,O,X,O,X,O
JTZOSLI,O,X,O,O,O
JTOILSZ,X,O,X,O,X
JTOILZS,X,O,O,O,O
JTOISLZ,O,X,X,X,X
JTOISZL,O,X,X,X,X
JTOIZLS,X,O,O,O,O
JTOIZSL,X,X,O,X,O
JTOLISZ,X,O,X,O,X
JTOLIZS,X,O,O,O,O
JTOLSIZ,X,O,X,O,X
JTOLSZI,X,O,X,O,X
JTOLZIS,X,O,O,O,O
JTOLZSI,X,O,O,O,O
JTOSILZ,O,X,X,X,X
JTOSIZL,O,X,X,X,X
JTOSLIZ,O,X,X,O,X
JTOSLZI,O,X,X,O,X
JTOSZIL,O,X,X,X,X
JTOSZLI,O,X,X,O,X
JTOZILS,X,O,O,O,O
JTOZISL,O,X,O,X,O
JTOZLIS,X,O,O,O,O
JTOZLSI,X,O,O,O,O
JTOZSIL,O,X,O,X,O
JTOZSLI,O,X,O,O,O
JITLSZO,O,O,X,O,X
JITLSOZ,O,O,X,O,X
JITLZSO,X,O,O,O,O
JITLZOS,X,O,O,O,O
JITLOSZ,X,O,X,O,X
JITLOZS,X,O,O,O,O
JITSLZO,O,X,X,X,X
JITSLOZ,O,X,X,X,X
JITSZLO,O,X,X,X,X
JITSZOL,O,X,X,X,X
JITSOLZ,O,X,X,X,X
JITSOZL,O,X,X,X,X
JITZLSO,X,O,O,O,O
JITZLOS,X,O,O,O,O
JITZSLO,X,X,O,X,O
JITZSOL,X,X,O,X,O
JITZOLS,X,O,O,O,O
JITZOSL,X,X,O,X,O
JITOLSZ,X,O,X,O,X
JITOLZS,X,O,O,O,O
JITOSLZ,O,X,X,X,X
JITOSZL,O,X,X,X,X
JITOZLS,X,O,O,O,O
JITOZSL,X,X,O,X,O
JILTSZO,O,O,X,X,X
JILTSOZ,O,O,X,X,X
JILTZSO,X,O,O,X,X
JILTZOS,X,O,O,X,X
JILTOSZ,X,O,X,X,X
JILTOZS,X,O,O,X,X
JILSTZO,O,O,X,X,X
JILSTOZ,O,O,X,X,X
JILSZTO,O,O,O,X,X
JILSZOT,X,O,O,X,X
JILSOTZ,O,O,X,X,X
JILSOZT,X,O,O,X,X
JILZTSO,X,O,O,X,X
JILZTOS,X,O,O,X,X
JILZSTO,X,O,O,X,X
JILZSOT,X,O,O,X,X
JILZOTS,X,O,O,X,X
JILZOST,X,O,O,X,X
JILOTSZ,X,O,X,X,X
JILOTZS,X,O,O,X,X
JILOSTZ,X,O,X,X,X
JILOSZT,X,O,O,X,X
JILOZTS,X,O,O,X,X
JILOZST,X,O,O,X,X
JISTLZO,O,X,X,X,X
JISTLOZ,O,X,X,X,X
JISTZLO,O,X,X,X,X
JISTZOL,O,X,X,X,X
JISTOLZ,O,X,X,X,X
JISTOZL,O,X,X,X,X
JISLTZO,O,O,X,X,X
JISLTOZ,O,O,X,X,X
JISLZTO,O,O,O,X,X
JISLZOT,X,O,O,X,X
JISLOTZ,O,O,X,X,X
JISLOZT,X,O,O,X,X
JISZTLO,O,X,O,X,X
JISZTOL,O,X,O,X,X
JISZLTO,O,O,O,X,X
JISZLOT,X,O,O,X,X
JISZOTL,O,X,O,X,X
JISZOLT,X,O,O,X,X
JISOTLZ,O,X,X,X,X
JISOTZL,O,X,X,X,X
JISOLTZ,O,O,X,X,X
JISOLZT,O,O,O,X,X
JISOZTL,O,X,O,X,X
JISOZLT,X,O,O,X,X
JIZTLSO,X,O,O,O,X
JIZTLOS,X,O,O,O,X
JIZTSLO,X,X,O,X,X
JIZTSOL,X,X,O,X,X
JIZTOLS,X,O,O,O,X
JIZTOSL,X,X,O,X,X
JIZLTSO,X,O,O,X,X
JIZLTOS,X,O,O,X,X
JIZLSTO,X,O,O,X,X
JIZLSOT,X,O,O,X,X
JIZLOTS,X,O,O,X,X
JIZLOST,X,O,O,X,X
JIZSTLO,X,X,O,X,X
JIZSTOL,X,X,O,X,X
JIZSLTO,X,O,O,X,X
JIZSLOT,X,O,O,X,X
JIZSOTL,X,X,O,X,X
JIZSOLT,X,O,O,X,X
JIZOTLS,X,O,O,O,X
JIZOTSL,X,X,O,X,X
JIZOLTS,X,O,O,X,X
JIZOLST,X,O,O,X,X
JIZOSTL,X,X,O,X,X
JIZOSLT,X,O,O,X,X
JIOTLSZ,X,O,X,O,X
JIOTLZS,X,O,O,O,O
JIOTSLZ,O,X,X,X,X
JIOTSZL,O,X,X,X,X
JIOTZLS,X,O,O,O,O
JIOTZSL,X,X,O,X,O
JIOLTSZ,O,O,X,X,X
JIOLTZS,X,O,O,X,X
JIOLSTZ,O,O,X,X,X
JIOLSZT,O,O,O,X,X
JIOLZTS,X,O,O,X,X
JIOLZST,X,O,O,X,X
JIOSTLZ,O,X,X,X,X
JIOSTZL,O,X,X,X,X
JIOSLTZ,O,O,X,X,X
JIOSLZT,O,O,O,X,X
JIOSZTL,O,X,O,X,X
JIOSZLT,X,O,O,X,X
JIOZTLS,X,O,O,O,X
JIOZTSL,X,X,O,X,X
JIOZLTS,X,O,O,X,X
JIOZLST,X,O,O,X,X
JIOZSTL,X,X,O,X,X
JIOZSLT,X,O,O,X,X
JLTISZO,O,O,X,O,X
JLTISOZ,O,O,X,O,X
JLTIZSO,X,O,O,O,X
JLTIZOS,X,O,O,O,X
JLTIOSZ,X,O,X,O,X
JLTIOZS,X,O,O,O,X
JLTSIZO,O,O,X,O,X
JLTSIOZ,O,O,X,O,X
JLTSZIO,O,O,X,O,X
JLTSZOI,O,O,X,O,X
JLTSOIZ,O,O,X,O,X
JLTSOZI,O,O,X,O,X
JLTZISO,O,O,O,O,X
JLTZIOS,X,O,O,O,X
JLTZSIO,O,O,O,O,X
JLTZSOI,O,O,O,O,X
JLTZOIS,X,O,O,O,X
JLTZOSI,X,O,O,O,X
JLTOISZ,X,O,X,O,X
JLTOIZS,X,O,O,O,X
JLTOSIZ,X,O,X,O,X
JLTOSZI,X,O,X,O,X
JLTOZIS,X,O,O,O,X
JLTOZSI,X,O,O,O,X
JLITSZO,O,O,X,X,X
JLITSOZ,O,O,X,X,X
JLITZSO,X,O,O,X,X
JLITZOS,X,O,O,X,X
JLITOSZ,X,O,X,X,X
JLITOZS,X,O,O,X,X
JLISTZO,O,O,X,X,X
JLISTOZ,O,O,X,X,X
JLISZTO,O,O,O,X,X
JLISZOT,X,O,O,X,X
JLISOTZ,O,O,X,X,X
JLISOZT,X,O,O,X,X
JLIZTSO,X,O,O,X,X
JLIZTOS,X,O,O,X,X
JLIZSTO,X,O,O,X,X
JLIZSOT,X,O,O,X,X
JLIZOTS,X,O,O,X,X
JLIZOST,X,O,O,X,X
JLIOTSZ,X,O,X,X,X
JLIOTZS,X,O,O,X,X
JLIOSTZ,X,O,X,X,X
JLIOSZT,X,O,O,X,X
JLIOZTS,X,O,O,X,X
JLIOZST,X,O,O,X,X
JLSTIZO,O,O,X,X,X
JLSTIOZ,O,O,X,X,X
JLSTZIO,O,O,X,X,X
JLSTZOI,O,O,X,X,X
JLSTOIZ,O,O,X,X,X
JLSTOZI,O,O,X,X,X
JLSITZO,O,O,X,X,X
JLSITOZ,O,O,X,X,X
JLSIZTO,O,O,O,X,X
JLSIZOT,O,O,O,X,X
JLSIOTZ,O,O,X,X,X
JLSIOZT,X,O,O,X,X
JLSZTIO,O,O,O,X,X
JLSZTOI,O,O,O,X,X
JLSZITO,O,O,O,X,X
JLSZIOT,O,O,O,X,X
JLSZOTI,O,O,O,X,X
JLSZOIT,O,O,O,X,X
JLSOTIZ,O,O,X,X,X
JLSOTZI,O,O,X,X,X
JLSOITZ,O,O,X,X,X
JLSOIZT,X,O,O,X,X
JLSOZTI,O,O,O,X,X
JLSOZIT,O,O,O,X,X
JLZTISO,O,O,O,O,X
JLZTIOS,X,O,O,O,X
JLZTSIO,O,O,O,O,X
JLZTSOI,O,O,O,O,X
JLZTOIS,X,O,O,O,X
JLZTOSI,X,O,O,O,X
JLZITSO,O,O,O,X,X
JLZITOS,X,O,O,X,X
JLZISTO,O,O,O,X,X
JLZISOT,O,O,O,X,X
JLZIOTS,X,O,O,X,X
JLZIOST,X,O,O,X,X
JLZSTIO,O,O,O,X,X
JLZSTOI,O,O,O,X,X
JLZSITO,O,O,O,X,X
JLZSIOT,O,O,O,X,X
JLZSOTI,O,O,O,X,X
JLZSOIT,O,O,O,X,X
JLZOTIS,X,O,O,O,X
JLZOTSI,X,O,O,O,X
JLZOITS,X,O,O,X,X
JLZOIST,X,O,O,X,X
JLZOSTI,X,O,O,X,X
JLZOSIT,X,O,O,X,X
JLOTISZ,X,O,X,O,X
JLOTIZS,X,O,O,O,X
JLOTSIZ,X,O,X,O,X
JLOTSZI,X,O,X,O,X
JLOTZIS,X,O,O,O,X
JLOTZSI,X,O,O,O,X
JLOITSZ,X,O,X,X,X
JLOITZS,X,O,O,X,X
JLOISTZ,X,O,X,X,X
JLOISZT,X,O,O,X,X
JLOIZTS,X,O,O,X,X
JLOIZST,X,O,O,X,X
JLOSTIZ,X,O,X,X,X
JLOSTZI,X,O,X,X,X
JLOSITZ,X,O,X,X,X
JLOSIZT,X,O,O,X,X
JLOSZTI,X,O,O,X,X
JLOSZIT,X,O,O,X,X
JLOZTIS,X,O,O,O,X
JLOZTSI,X,O,O,O,X
JLOZITS,X,O,O,X,X
JLOZIST,X,O,O,X,X
JLOZSTI,X,O,O,X,X
JLOZSIT,X,O,O,X,X
JSTILZO,O,X,X,X,X
JSTILOZ,O,X,X,X,X
JSTIZLO,O,X,X,X,X
JSTIZOL,O,X,X,X,X
JSTIOLZ,O,X,X,X,X
JSTIOZL,O,X,X,X,X
JSTLIZO,O,X,X,O,X
JSTLIOZ,O,X,X,O,X
JSTLZIO,O,X,X,O,X
JSTLZOI,O,X,X,O,X
JSTLOIZ,O,X,X,O,X
JSTLOZI,O,X,X,O,X
JSTZILO,O,X,X,X,X
JSTZIOL,O,X,X,X,X
JSTZLIO,O,X,X,O,X
JSTZLOI,O,X,X,O,X
JSTZOIL,O,X,X,X,X
JSTZOLI,O,X,X,O,X
JSTOILZ,O,X,X,X,X
JSTOIZL,O,X,X,X,X
JSTOLIZ,O,X,X,O,X
JSTOLZI,O,X,X,O,X
JSTOZIL,O,X,X,X,X
JSTOZLI,O,X,X,O,X
JSITLZO,O,X,X,X,X
JSITLOZ,O,X,X,X,X
JSITZLO,O,X,X,X,X
JSITZOL,O,X,X,X,X
JSITOLZ,O,X,X,X,X
JSITOZL,O,X,X,X,X
JSILTZO,O,O,X,X,X
JSILTOZ,O,O,X,X,X
JSILZTO,O,O,O,X,X
JSILZOT,O,O,O,X,X
JSILOTZ,O,O,X,X,X
JSILOZT,X,O,O,X,X
JSIZTLO,O,X,O,X,X
JSIZTOL,O,X,O,X,X
JSIZLTO,O,O,O,X,X
JSIZLOT,O,O,O,X,X
JSIZOTL,O,X,O,X,X
JSIZOLT,O,O,O,X,X
JSIOTLZ,O,X,X,X,X
JSIOTZL,O,X,X,X,X
JSIOLTZ,O,O,X,X,X
JSIOLZT,O,O,O,X,X
JSIOZTL,O,X,O,X,X
JSIOZLT,O,O,O,X,X
JSLTIZO,O,O,X,X,X
JSLTIOZ,O,O,X,X,X
JSLTZIO,O,O,X,X,X
JSLTZOI,O,O,X,X,X
JSLTOIZ,O,O,X,X,X
JSLTOZI,O,O,X,X,X
JSLITZO,O,O,X,X,X
JSLITOZ,O,O,X,X,X
JSLIZTO,O,O,O,X,X
JSLIZOT,O,O,O,X,X
JSLIOTZ,O,O,X,X,X
JSLIOZT,X,O,O,X,X
JSLZTIO,O,O,O,X,X
JSLZTOI,O,O,O,X,X
JSLZITO,O,O,O,X,X
JSLZIOT,O,O,O,X,X
JSLZOTI,O,O,O,X,X
JSLZOIT,O,O,O,X,X
JSLOTIZ,O,O,X,X,X
JSLOTZI,O,O,X,X,X
JSLOITZ,O,O,X,X,X
JSLOIZT,X,O,O,X,X
JSLOZTI,O,O,O,X,X
JSLOZIT,O,O,O,X,X
JSZTILO,O,X,O,X,X
JSZTIOL,O,X,O,X,X
JSZTLIO,O,X,O,O,X
JSZTLOI,O,X,O,O,X
JSZTOIL,O,X,O,X,X
JSZTOLI,O,X,O,O,X
JSZITLO,O,X,O,X,X
JSZITOL,O,X,O,X,X
JSZILTO,O,O,O,X,X
JSZILOT,O,O,O,X,X
JSZIOTL,O,X,O,X,X
JSZIOLT,O,O,O,X,X
JSZLTIO,O,O,O,X,X
JSZLTOI,O,O,O,X,X
JSZLITO,O,O,O,X,X
JSZLIOT,O,O,O,X,X
JSZLOTI,O,O,O,X,X
JSZLOIT,O,O,O,X,X
JSZOTIL,O,X,O,X,X
JSZOTLI,O,X,O,O,X
JSZOITL,O,X,O,X,X
JSZOILT,O,O,O,X,X
JSZOLTI,O,O,O,X,X
JSZOLIT,O,O,O,X,X
JSOTILZ,O,X,X,X,X
JSOTIZL,O,X,X,X,X
JSOTLIZ,O,X,X,O,X
JSOTLZI,O,X,X,O,X
JSOTZIL,O,X,X,X,X
JSOTZLI,O,X,X,O,X
JSOITLZ,O,X,X,X,X
JSOITZL,O,X,X,X,X
JSOILTZ,O,O,X,X,X
JSOILZT,O,O,O,X,X
JSOIZTL,O,X,O,X,X
JSOIZLT,O,O,O,X,X
JSOLTIZ,O,O,X,X,X
JSOLTZI,O,O,X,X,X
JSOLITZ,O,O,X,X,X
JSOLIZT,O,O,O,X,X
JSOLZTI,O,O,O,X,X
JSOLZIT,O,O,O,X,X
JSOZTIL,O,X,O,X,X
JSOZTLI,O,X,O,O,X
JSOZITL,O,X,O,X,X
JSOZILT,O,O,O,X,X
JSOZLTI,O,O,O,X,X
JSOZLIT,O,O,O,X,X
JZTILSO,O,O,O,O,X
JZTILOS,X,O,O,O,X
JZTISLO,O,X,O,X,X
JZTISOL,O,X,O,X,X
JZTIOLS,X,O,O,O,X
JZTIOSL,O,X,O,X,X
JZTLISO,O,O,O,O,X
JZTLIOS,X,O,O,O,X
JZTLSIO,O,O,O,O,X
JZTLSOI,O,O,O,O,X
JZTLOIS,X,O,O,O,X
JZTLOSI,X,O,O,O,X
JZTSILO,O,X,O,X,X
JZTSIOL,O,X,O,X,X
JZTSLIO,O,X,O,O,X
JZTSLOI,X,X,O,O,X
JZTSOIL,O,X,O,X,X
JZTSOLI,X,X,O,O,X
JZTOILS,X,O,O,O,X
JZTOISL,O,X,O,X,X
JZTOLIS,X,O,O,O,X
JZTOLSI,X,O,O,O,X
JZTOSIL,O,X,O,X,X
JZTOSLI,O,X,O,O,X
JZITLSO,O,O,O,O,X
JZITLOS,X,O,O,O,X
JZITSLO,O,X,O,X,X
JZITSOL,O,X,O,X,X
JZITOLS,X,O,O,O,X
JZITOSL,O,X,O,X,X
JZILTSO,O,O,O,X,X
JZILTOS,X,O,O,X,X
JZILSTO,O,O,O,X,X
JZILSOT,O,O,O,X,X
JZILOTS,X,O,O,X,X
JZILOST,X,O,O,X,X
JZISTLO,O,X,O,X,X
JZISTOL,O,X,O,X,X
JZISLTO,O,O,O,X,X
JZISLOT,O,O,O,X,X
JZISOTL,O,X,O,X,X
JZISOLT,O,O,O,X,X
JZIOTLS,X,O,O,O,X
JZIOTSL,O,X,O,X,X
JZIOLTS,O,O,O,X,X
JZIOLST,O,O,O,X,X
JZIOSTL,O,X,O,X,X
JZIOSLT,O,O,O,X,X
JZLTISO,O,O,O,O,X
JZLTIOS,X,O,O,O,X
JZLTSIO,O,O,O,O,X
JZLTSOI,O,O,O,O,X
JZLTOIS,X,O,O,O,X
JZLTOSI,X,O,O,O,X
JZLITSO,O,O,O,X,X
JZLITOS,X,O,O,X,X
JZLISTO,O,O,O,X,X
JZLISOT,O,O,O,X,X
JZLIOTS,X,O,O,X,X
JZLIOST,X,O,O,X,X
JZLSTIO,O,O,O,X,X
JZLSTOI,O,O,O,X,X
JZLSITO,O,O,O,X,X
JZLSIOT,O,O,O,X,X
JZLSOTI,O,O,O,X,X
JZLSOIT,O,O,O,X,X
JZLOTIS,X,O,O,O,X
JZLOTSI,X,O,O,O,X
JZLOITS,X,O,O,X,X
JZLOIST,X,O,O,X,X
JZLOSTI,X,O,O,X,X
JZLOSIT,X,O,O,X,X
JZSTILO,O,X,O,X,X
JZSTIOL,O,X,O,X,X
JZSTLIO,O,X,O,O,X
JZSTLOI,O,X,O,O,X
JZSTOIL,O,X,O,X,X
JZSTOLI,O,X,O,O,X
JZSITLO,O,X,O,X,X
JZSITOL,O,X,O,X,X
JZSILTO,O,O,O,X,X
JZSILOT,O,O,O,X,X
JZSIOTL,O,X,O,X,X
JZSIOLT,O,O,O,X,X
JZSLTIO,O,O,O,X,X
JZSLTOI,O,O,O,X,X
JZSLITO,O,O,O,X,X
JZSLIOT,O,O,O,X,X
JZSLOTI,O,O,O,X,X
JZSLOIT,O,O,O,X,X
JZSOTIL,O,X,O,X,X
JZSOTLI,O,X,O,O,X
JZSOITL,O,X,O,X,X
JZSOILT,O,O,O,X,X
JZSOLTI,O,O,O,X,X
JZSOLIT,O,O,O,X,X
JZOTILS,X,O,O,O,X
JZOTISL,O,X,O,X,X
JZOTLIS,X,O,O,O,X
JZOTLSI,X,O,O,O,X
JZOTSIL,O,X,O,X,X
JZOTSLI,O,X,O,O,X
JZOITLS,X,O,O,O,X
JZOITSL,O,X,O,X,X
JZOILTS,O,O,O,X,X
JZOILST,O,O,O,X,X
JZOISTL,O,X,O,X,X
JZOISLT,O,O,O,X,X
JZOLTIS,O,O,O,O,X
JZOLTSI,O,O,O,O,X
JZOLITS,O,O,O,X,X
JZOLIST,O,O,O,X,X
JZOLSTI,O,O,O,X,X
JZOLSIT,O,O,O,X,X
JZOSTIL,O,X,O,X,X
JZOSTLI,O,X,O,O,X
JZOSITL,O,X,O,X,X
JZOSILT,O,O,O,X,X
JZOSLTI,O,O,O,X,X
JZOSLIT,O,O,O,X,X
JOTILSZ,X,O,X,O,X
JOTILZS,X,O,O,O,O
JOTISLZ,O,X,X,X,X
JOTISZL,O,X,X,X,X
JOTIZLS,X,O,O,O,O
JOTIZSL,X,X,O,X,O
JOTLISZ,X,O,X,O,X
JOTLIZS,X,O,O,O,O
JOTLSIZ,X,O,X,O,X
JOTLSZI,X,O,X,O,X
JOTLZIS,X,O,O,O,O
JOTLZSI,X,O,O,O,O
JOTSILZ,O,X,X,X,X
JOTSIZL,O,X,X,X,X
JOTSLIZ,O,X,X,O,X
JOTSLZI,O,X,X,O,X
JOTSZIL,O,X,X,X,X
JOTSZLI,O,X,X,O,X
JOTZILS,X,O,O,O,O
JOTZISL,O,X,O,X,O
JOTZLIS,X,O,O,O,O
JOTZLSI,X,O,O,O,O
JOTZSIL,O,X,O,X,O
JOTZSLI,O,X,O,O,O
JOITLSZ,X,O,X,O,X
JOITLZS,X,O,O,O,O
JOITSLZ,O,X,X,X,X
JOITSZL,O,X,X,X,X
JOITZLS,X,O,O,O,O
JOITZSL,X,X,O,X,O
JOILTSZ,O,O,X,X,X
JOILTZS,X,O,O,X,X
JOILSTZ,O,O,X,X,X
JOILSZT,O,O,O,X,X
JOILZTS,X,O,O,X,X
JOILZST,X,O,O,X,X
JOISTLZ,O,X,X,X,X
JOISTZL,O,X,X,X,X
JOISLTZ,O,O,X,X,X
JOISLZT,O,O,O,X,X
JOISZTL,O,X,O,X,X
JOISZLT,X,O,O,X,X
JOIZTLS,X,O,O,O,X
JOIZTSL,X,X,O,X,X
JOIZLTS,X,O,O,X,X
JOIZLST,X,O,O,X,X
JOIZSTL,X,X,O,X,X
JOIZSLT,X,O,O,X,X
JOLTISZ,O,O,X,O,X
JOLTIZS,X,O,O,O,X
JOLTSIZ,O,O,X,O,X
JOLTSZI,O,O,X,O,X
JOLTZIS,O,O,O,O,X
JOLTZSI,O,O,O,O,X
JOLITSZ,O,O,X,X,X
JOLITZS,X,O,O,X,X
JOLISTZ,O,O,X,X,X
JOLISZT,O,O,O,X,X
JOLIZTS,X,O,O,X,X
JOLIZST,X,O,O,X,X
JOLSTIZ,O,O,X,X,X
JOLSTZI,O,O,X,X,X
JOLSITZ,O,O,X,X,X
JOLSIZT,O,O,O,X,X
JOLSZTI,O,O,O,X,X
JOLSZIT,O,O,O,X,X
JOLZTIS,O,O,O,O,X
JOLZTSI,O,O,O,O,X
JOLZITS,O,O,O,X,X
JOLZIST,O,O,O,X,X
JOLZSTI,O,O,O,X,X
JOLZSIT,O,O,O,X,X
JOSTILZ,O,X,X,X,X
JOSTIZL,O,X,X,X,X
JOSTLIZ,O,X,X,O,X
JOSTLZI,O,X,X,O,X
JOSTZIL,O,X,X,X,X
JOSTZLI,O,X,X,O,X
JOSITLZ,O,X,X,X,X
JOSITZL,O,X,X,X,X
JOSILTZ,O,O,X,X,X
JOSILZT,O,O,O,X,X
JOSIZTL,O,X,O,X,X
JOSIZLT,O,O,O,X,X
JOSLTIZ,O,O,X,X,X
JOSLTZI,O,O,X,X,X
JOSLITZ,O,O,X,X,X
JOSLIZT,O,O,O,X,X
JOSLZTI,O,O,O,X,X
JOSLZIT,O,O,O,X,X
JOSZTIL,O,X,O,X,X
JOSZTLI,O,X,O,O,X
JOSZITL,O,X,O,X,X
JOSZILT,O,O,O,X,X
JOSZLTI,O,O,O,X,X
JOSZLIT,O,O,O,X,X
JOZTILS,X,O,O,O,X
JOZTISL,O,X,O,X,X
JOZTLIS,X,O,O,O,X
JOZTLSI,X,O,O,O,X
JOZTSIL,O,X,O,X,X
JOZTSLI,O,X,O,O,X
JOZITLS,X,O,O,O,X
JOZITSL,O,X,O,X,X
JOZILTS,O,O,O,X,X
JOZILST,O,O,O,X,X
JOZISTL,O,X,O,X,X
JOZISLT,O,O,O,X,X
JOZLTIS,O,O,O,O,X
JOZLTSI,O,O,O,O,X
JOZLITS,O,O,O,X,X
JOZLIST,O,O,O,X,X
JOZLSTI,O,O,O,X,X
JOZLSIT,O,O,O,X,X
JOZSTIL,O,X,O,X,X
JOZSTLI,O,X,O,O,X
JOZSITL,O,X,O,X,X
JOZSILT,O,O,O,X,X
JOZSLTI,O,O,O,X,X
JOZSLIT,O,O,O,X,X
STILJZO,O,X,X,X,X
STILJOZ,O,X,X,X,X
STILZJO,O,X,X,X,O
STILZOJ,X,X,X,X,O
STILOJZ,O,X,X,X,X
STILOZJ,X,X,X,X,O
STIJLZO,O,X,X,X,X
STIJLOZ,O,X,X,X,X
STIJZLO,O,X,X,X,X
STIJZOL,O,X,X,X,X
STIJOLZ,O,X,X,X,X
STIJOZL,O,X,X,X,X
STIZLJO,O,X,X,X,O
STIZLOJ,X,X,X,X,O
STIZJLO,O,X,X,X,O
STIZJOL,O,X,X,X,O
STIZOLJ,X,X,X,X,O
STIZOJL,O,X,X,X,O
STIOLJZ,O,X,X,X,X
STIOLZJ,O,X,X,X,O
STIOJLZ,O,X,X,X,X
STIOJZL,O,X,X,X,X
STIOZLJ,X,X,X,X,O
STIOZJL,O,X,X,X,O
STLIJZO,O,X,X,X,X
STLIJOZ,O,X,X,X,X
STLIZJO,O,X,X,X,O
STLIZOJ,O,X,X,O,O
STLIOJZ,O,X,X,X,X
STLIOZJ,X,X,X,O,O
STLJIZO,O,X,X,O,X
STLJIOZ,O,X,X,O,X
STLJZIO,O,X,X,O,X
STLJZOI,O,X,X,O,X
STLJOIZ,O,X,X,O,X
STLJOZI,O,X,X,O,X
STLZIJO,O,X,X,X,O
STLZIOJ,O,X,X,O,O
STLZJIO,O,X,X,X,O
STLZJOI,O,X,X,X,O
STLZOIJ,O,X,X,O,O
STLZOJI,O,X,X,O,O
STLOIJZ,O,X,X,X,X
STLOIZJ,X,X,X,O,O
STLOJIZ,O,X,X,O,X
STLOJZI,O,X,X,O,X
STLOZIJ,O,X,X,O,O
STLOZJI,O,X,X,O,O
STJILZO,O,X,X,X,X
STJILOZ,O,X,X,X,X
STJIZLO,O,X,X,X,X
STJIZOL,O,X,X,X,X
STJIOLZ,O,X,X,X,X
STJIOZL,O,X,X,X,X
STJLIZO,O,X,X,O,X
STJLIOZ,O,X,X,O,X
STJLZIO,O,X,X,O,X
STJLZOI,O,X,X,O,X
STJLOIZ,O,X,X,O,X
STJLOZI,O,X,X,O,X
STJZILO,O,X,X,X,X
STJZIOL,O,X,X,X,X
STJZLIO,O,X,X,O,X
STJZLOI,O,X,X,O,X
STJZOIL,O,X,X,X,X
STJZOLI,O,X,X,O,X
STJOILZ,O,X,X,X,X
STJOIZL,O,X,X,X,X
STJOLIZ,O,X,X,O,X
STJOLZI,O,X,X,O,X
STJOZIL,O,X,X,X,X
STJOZLI,O,X,X,O,X
STZILJO,O,X,X,X,O
STZILOJ,O,X,X,X,O
STZIJLO,O,X,X,X,O
STZIJOL,O,X,X,X,O
STZIOLJ,O,X,X,X,O
STZIOJL,O,X,X,X,O
STZLIJO,O,X,X,X,O
STZLIOJ,O,X,X,O,O
STZLJIO,O,X,X,X,O
STZLJOI,O,X,X,X,O
STZLOIJ,O,X,X,O,O
STZLOJI,O,X,X,O,O
STZJILO,O,X,X,X,O
STZJIOL,O,X,X,X,O
STZJLIO,O,X,X,X,O
STZJLOI,O,X,X,X,O
STZJOIL,O,X,X,X,O
STZJOLI,O,X,X,X,O
STZOILJ,O,X,X,X,O
STZOIJL,O,X,X,X,O
STZOLIJ,O,X,X,O,O
STZOLJI,O,X,X,O,O
STZOJIL,O,X,X,X,O
STZOJLI,O,X,X,X,O
STOILJZ,O,X,X,X,X
STOILZJ,O,X,X,X,O
STOIJLZ,O,X,X,X,X
STOIJZL,O,X,X,X,X
STOIZLJ,O,X,X,X,O
STOIZJL,O,X,X,X,O
STOLIJZ,O,X,X,X,X
STOLIZJ,O,X,X,O,O
STOLJIZ,O,X,X,O,X
STOLJZI,O,X,X,O,X
STOLZIJ,O,X,X,O,O
STOLZJI,O,X,X,O,O
STOJILZ,O,X,X,X,X
STOJIZL,O,X,X,X,X
STOJLIZ,O,X,X,O,X
STOJLZI,O,X,X,O,X
STOJZIL,O,X,X,X,X
STOJZLI,O,X,X,O,X
STOZILJ,O,X,X,X,O
STOZIJL,O,X,X,X,O
STOZLIJ,O,X,X,O,O
