sequence,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke0AJvhFlhB3iB?5oBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?arBGlBUqBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?crBesBClBTqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?asBGlBUqBTrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?cqBerBClBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeTBJvhFliB5oB?cqBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelAJvhF3iB5oB?0mBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelCJvhF5oBcqB?TmBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhF5oBFnB?GlBUqBTrBisB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke8FJvhF3iB5oB?1rBClB2vBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeVGJvhF3iB5oB?SqBzmB2wBUqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?zmBSqB2wBUqB
ITZSJOL,O,X,O,X,O,O,X,O,X,X,X,X
ITZSOLJ,X,O,X,X,X,X,X,X,O,X,X,X
ITZSOJL,O,X,X,X,O,O,X,X,O,X,X,X
ITZOLJS,X,O,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,X,O,X,X,X,X,O,X,X,X
ITZOJLS,X,X,O,X,O,X,X,O,X,X,X,X
ITZOJSL,O,X,O,X,O,O,X,O,O,X,X,X
ITZOSLJ,O,O,X,X,X,X,X,X,O,X,X,X
ITZOSJL,O,X,X,X,O,X,X,X,O,X,X,X
ITOLJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLJZS,O,X,O,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,X,O,X,O,X,X,X
ITOLZJS,O,X,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,O,X,X,O,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,O,X,O,X,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X,X,O,X,X,X
ITOJZLS,X,X,O,X,X,X,X,O,X,X,X,X
ITOJZSL,O,X,O,X,X,O,X,O,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X,O,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,O,X,X,X,X,X,O,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X,O,X,X,X
ITOSZJL,O,X,O,X,O,X,X,X,O,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJLS,X,X,O,X,O,X,X,O,X,X,X,X
ITOZJSL,O,X,O,X,O,O,X,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X,O,X,X,X
ITOZSJL,O,X,O,X,O,X,X,X,O,X,X,X
ILTJSZO,X,O,X,O,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,X,X,X,X,X,X,X,X
ILTJZSO,X,X,O,O,X,O,O,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,X,O,X,X,X,X
ILTJOSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILTJOZS,X,X,O,X,X,X,X,X,X,X,X,X
ILTSJZO,O,O,X,O,X,X,O,X,X,X,X,X
ILTSJOZ,X,X,X,O,X,X,X,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X,O,X,X,X,X,X
ILTSZOJ,O,O,X,O,X,X,O,X,X,X,X,X
ILTSOJZ,X,X,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,O,X,O,X,X,X
ILTZJSO,O,X,X,O,X,O,O,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X,X,O,X,X,X,X
ILTZSJO,O,O,X,O,X,X,O,X,X,X,X,X
ILTZSOJ,O,O,X,O,X,X,O,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,O,X,X,O,X,X,X,X,X
ILTOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOJZS,O,X,O,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,O,X,X,O,X,O,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,O,X,O,X,X,O,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X,O,X,X,O,O,X
ILJTSOZ,X,X,X,O,X,X,X,X,X,X,O,X
ILJTZSO,X,X,O,O,X,O,O,X,X,O,X,X
ILJTZOS,X,X,X,X,X,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILJTOZS,X,X,O,X,X,X,X,X,X,X,X,X
ILJSTZO,O,O,X,O,X,X,O,X,X,O,O,X
ILJSTOZ,X,X,X,O,X,X,X,X,X,X,O,X
ILJSZTO,O,X,X,X,X,X,O,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,X,O,O,X,O,O,X,X,O,X,X
ILJZTOS,X,X,X,X,X,X,X,O,X,X,X,X
ILJZSTO,O,X,O,O,X,O,O,X,X,X,X,X
ILJZSOT,X,X,X,X,X,O,X,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X,O,X,X,X,X
ILJZOST,O,X,X,X,X,X,X,X,X,X,X,X
ILJOTSZ,O,O,X,O,X,X,X,X,X,X,X,O
ILJOTZS,O,X,O,X,X,X,X,X,X,X,X,X
ILJOSTZ,O,O,X,O,X,X,X,X,X,X,X,O
ILJOSZT,O,X,X,X,X,X,X,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,O,X,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,O,X,X,O,X,X,X,X,X
ILSTJOZ,X,X,X,O,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X,O,X,X,X,X,X
ILSTZOJ,O,O,X,O,X,X,O,X,X,X,X,X
ILSTOJZ,X,X,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X,O,X,X,X,X,X
ILSJTZO,O,O,X,O,X,X,O,X,X,O,O,X
ILSJTOZ,X,X,X,O,X,X,X,X,X,X,O,X
ILSJZTO,O,X,X,X,X,X,O,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,X,O,X,X,O,X,X,X,X,X
ILSZTOJ,O,O,X,O,X,X,O,X,X,X,X,X
ILSZJTO,O,O,X,O,O,X,O,X,X,X,X,X
ILSZJOT,X,X,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,O,X,X,O,X,X,X,X,X
ILSZOJT,O,O,X,X,O,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,O,X,X,X,X,X
ILSOJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,O,X,X,O,X,X,X,X,X
ILSOZJT,O,O,X,X,O,X,X,X,X,X,X,X
ILZTJSO,O,O,X,O,X,O,O,X,X,X,X,X
ILZTJOS,X,X,X,X,X,X,X,O,X,X,X,X
ILZTSJO,O,O,X,O,X,X,O,X,X,X,X,X
ILZTSOJ,O,O,X,O,X,X,O,X,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,O,X,X,O,X,X,X,X,X
ILZJTSO,O,O,O,O,O,O,O,X,X,X,X,X
ILZJTOS,X,X,X,X,X,X,X,O,X,X,X,X
ILZJSTO,O,O,O,O,O,O,O,X,X,X,X,X
ILZJSOT,X,X,X,X,X,O,X,X,X,X,X,X
ILZJOTS,O,O,X,X,O,X,X,O,X,X,X,X
ILZJOST,O,O,X,X,O,X,X,X,X,X,X,X
ILZSTJO,O,O,X,O,X,X,O,X,X,X,X,X
ILZSTOJ,O,O,X,O,X,X,O,X,X,X,X,X
ILZSJTO,O,O,O,O,O,O,O,X,X,X,X,X
ILZSJOT,X,X,X,X,X,O,X,X,X,X,X,X
ILZSOTJ,O,O,X,O,X,X,O,X,X,X,X,X
ILZSOJT,O,O,X,X,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,O,X,O,X,X,O,X,O,X,X,X
ILZOJTS,O,O,X,O,O,X,X,X,X,X,X,X
ILZOJST,O,O,X,O,O,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,O,X,X,O,X,O,X,X,X
ILZOSJT,O,O,X,O,O,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,O,X,O,X,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,O,X,O,X,X,X
ILOTZJS,O,X,X,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,O,X,X,X,X,X
ILOJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJTZS,O,X,O,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,O,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,O,X,O,X,X,X
ILOSJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,X,O,X,X,X,X,X
ILOSZJT,O,O,O,X,O,X,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,O,X,X,X,X,X
ILOZJTS,O,O,O,X,O,X,X,X,X,X,X,X
ILOZJST,O,O,O,X,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,X,O,X,X,X,X,X
ILOZSJT,O,O,O,X,O,X,X,X,X,X,X,X
IJTLSZO,X,X,X,O,X,X,O,X,X,O,O,X
IJTLSOZ,X,X,X,O,X,X,X,X,X,X,O,X
IJTLZSO,X,X,O,O,X,O,O,X,X,O,X,X
IJTLZOS,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,X,O,X,X,X,X,X,X,X,X,X
IJTSLZO,X,X,X,X,X,X,X,X,X,O,O,X
IJTSLOZ,X,X,X,X,X,X,X,X,X,X,O,X
IJTSZLO,X,X,O,X,X,O,X,X,X,O,O,X
IJTSZOL,X,X,O,X,X,O,X,O,X,O,O,X
IJTSOLZ,X,X,X,X,X,X,X,X,X,X,O,X
IJTSOZL,X,X,O,X,X,X,X,X,O,O,O,X
IJTZLSO,X,X,O,O,X,O,X,X,X,O,X,X
IJTZLOS,X,X,X,X,X,X,X,O,X,X,X,X
IJTZSLO,X,X,O,X,X,O,X,X,X,O,O,X
IJTZSOL,X,X,O,X,X,O,X,O,X,O,O,X
IJTZOLS,X,X,O,X,X,X,X,O,X,X,X,X
IJTZOSL,X,X,O,X,X,O,X,O,X,O,X,X
IJTOLSZ,X,X,X,X,X,X,X,X,X,X,X,O
IJTOLZS,X,X,O,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,X,X,O,O
IJTOSZL,X,X,O,X,X,X,X,X,O,O,O,O
IJTOZLS,X,X,O,X,X,X,X,O,X,X,X,X
IJTOZSL,X,X,O,X,X,O,X,O,X,O,X,O
IJLTSZO,X,O,X,O,X,X,O,X,X,O,O,X
IJLTSOZ,X,X,X,O,X,X,X,X,X,X,O,X
IJLTZSO,X,X,O,O,X,O,O,X,X,O,X,X
IJLTZOS,X,X,X,X,X,X,X,O,X,X,X,X
IJLTOSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X,X,X,X,X,X
IJLSTZO,O,O,X,O,X,X,O,X,X,O,O,X
IJLSTOZ,X,X,X,O,X,X,X,X,X,X,O,X
IJLSZTO,O,X,X,X,X,X,O,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,X,O,O,X,O,O,X,X,O,X,X
IJLZTOS,X,X,X,X,X,X,X,O,X,X,X,X
IJLZSTO,O,X,O,O,X,O,O,X,X,X,X,X
IJLZSOT,X,X,X,X,X,O,X,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,O,X,X,X,X
IJLZOST,O,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,O,O,X,O,X,X,X,X,X,X,X,O
IJLOTZS,O,X,O,X,X,X,X,X,X,X,X,X
IJLOSTZ,O,O,X,O,X,X,X,X,X,X,X,O
IJLOSZT,O,X,X,X,X,X,X,X,X,X,X,X
IJLOZTS,O,X,O,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,O,X,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,X,X,X,X,X,X,O,O,X
IJSTLOZ,X,X,X,X,X,X,X,X,X,X,O,X
IJSTZLO,O,X,O,X,X,O,X,X,X,O,O,X
IJSTZOL,O,X,O,X,X,O,X,O,X,O,O,X
IJSTOLZ,X,X,X,X,X,X,X,X,X,X,O,X
IJSTOZL,X,X,O,X,X,X,X,X,X,O,O,X
IJSLTZO,O,O,X,X,X,X,O,X,X,O,O,X
IJSLTOZ,X,X,X,X,X,X,X,X,X,X,O,X
IJSLZTO,O,X,X,X,X,X,O,X,X,X,X,X
IJSLZOT,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,O,X,O,X,O,O,X,X,X,O,O,X
IJSZTOL,O,X,O,X,O,O,X,O,X,O,O,X
IJSZLTO,O,O,O,X,O,O,X,X,X,X,X,X
IJSZLOT,X,X,X,X,X,O,X,X,X,X,X,X
IJSZOTL,X,X,O,X,O,O,X,O,X,X,X,X
IJSZOLT,X,O,X,X,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,X,X,X,X,O,O
IJSOTZL,O,X,O,X,X,X,X,X,X,O,O,O
IJSOLTZ,O,O,X,X,X,X,X,X,X,X,X,O
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,O,X,O,X,O,X,X,X,X,X,X,O
IJSOZLT,X,O,O,X,O,X,X,X,X,X,X,X
IJZTLSO,X,X,O,O,O,O,X,X,X,O,X,X
IJZTLOS,X,X,X,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,O,X,O,O,X,X,X,O,O,X
IJZTSOL,O,X,O,X,O,O,X,O,X,O,O,X
IJZTOLS,X,X,O,X,O,X,X,O,X,X,X,X
IJZTOSL,X,X,O,X,O,O,X,O,X,O,X,X
IJZLTSO,O,O,O,O,O,O,X,X,X,O,X,X
IJZLTOS,X,X,X,X,X,X,X,O,X,X,X,X
IJZLSTO,O,O,O,O,O,O,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,O,X,X,X,X,X,X
IJZLOTS,O,O,X,X,O,X,X,O,X,X,X,X
IJZLOST,O,O,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,X,O,X,O,O,X,X,X,O,O,X
IJZSTOL,O,X,O,X,O,O,X,O,X,O,O,X
IJZSLTO,O,O,O,X,O,O,X,X,X,X,X,X
IJZSLOT,X,X,X,X,X,O,X,X,X,X,X,X
IJZSOTL,X,X,O,X,O,O,X,O,X,X,X,X
IJZSOLT,X,O,X,X,O,O,X,X,X,X,X,X
IJZOTLS,X,X,O,X,O,X,X,O,X,X,X,X
IJZOTSL,O,X,O,X,O,O,X,O,O,O,X,O
IJZOLTS,X,O,O,O,O,X,X,O,X,X,X,X
IJZOLST,X,O,O,O,O,X,X,X,X,X,X,X
IJZOSTL,O,X,O,X,O,O,X,O,O,X,X,O
IJZOSLT,X,O,O,X,O,O,X,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X,X,X,X,X,O
IJOTLZS,O,X,O,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X,X,X,O,O
IJOTSZL,O,X,O,X,X,X,X,X,O,O,O,O
IJOTZLS,X,X,O,X,X,X,X,O,X,X,X,X
IJOTZSL,O,X,O,X,X,O,X,O,X,O,X,O
IJOLTSZ,O,O,X,O,X,X,X,X,X,X,X,O
IJOLTZS,O,X,O,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,X,O,X,X,X,X,X,X,X,O
IJOLSZT,O,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,O,X,O,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,O,X,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,X,X,X,X,X,X,X,O,O
IJOSTZL,O,X,O,X,X,X,X,X,O,O,O,O
IJOSLTZ,O,O,X,X,X,X,X,X,X,X,X,O
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,X,O,X,O,X,X,X,X,X,X,O
IJOSZLT,X,O,O,X,O,X,X,X,X,X,X,X
IJOZTLS,X,X,O,X,O,X,X,O,X,X,X,X
IJOZTSL,O,X,O,X,O,O,X,O,X,O,X,O
IJOZLTS,X,O,O,X,O,X,X,O,X,X,X,X
IJOZLST,X,O,O,X,O,X,X,X,X,X,X,X
IJOZSTL,O,X,O,X,O,O,X,O,X,X,X,O
IJOZSLT,X,O,O,X,O,O,X,X,X,X,X,X
ISTLJZO,O,O,X,O,X,X,O,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTLZJO,O,O,X,O,X,X,O,X,X,X,X,X
ISTLZOJ,O,O,X,O,X,X,O,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,O,X,X,O,X,O,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X,O,O,X
ISTJLOZ,X,X,X,X,X,X,X,X,X,X,O,X
ISTJZLO,O,X,O,X,X,O,X,X,X,O,O,X
ISTJZOL,O,X,O,X,X,O,X,O,X,O,O,X
ISTJOLZ,X,X,X,X,X,X,X,X,X,X,O,X
ISTJOZL,X,X,O,X,X,X,X,X,O,O,O,X
ISTZLJO,O,O,X,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTZJLO,O,X,X,X,O,O,X,X,X,X,X,X
ISTZJOL,O,X,X,X,O,O,X,O,X,X,X,X
ISTZOLJ,X,O,X,X,X,X,X,X,O,X,X,X
ISTZOJL,O,X,X,X,O,X,X,X,O,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X,O,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X,O,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X,O,X,X,X
ISTOZJL,O,X,X,X,O,X,X,X,O,X,X,X
ISLTJZO,O,O,X,O,X,X,O,X,X,X,X,X
ISLTJOZ,X,X,X,O,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,O,X,X,O,X,X,X,X,X
ISLTZOJ,O,O,X,O,X,X,O,X,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,O,X,X,O,X,X,X,X,X
ISLJTZO,O,O,X,O,X,X,O,X,X,O,O,X
ISLJTOZ,X,X,X,O,X,X,X,X,X,X,O,X
ISLJZTO,O,X,X,X,X,X,O,X,X,X,X,X
ISLJZOT,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,O,X,X,O,X,X,X,X,X
ISLZTOJ,O,O,X,O,X,X,O,X,X,X,X,X
ISLZJTO,O,O,X,O,O,X,O,X,X,X,X,X
ISLZJOT,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,O,X,O,X,X,O,X,X,X,X,X
ISLZOJT,O,O,X,X,O,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,X,O,X,X,O,X,X,X,X,X
ISLOJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,O,X,O,X,X,O,X,X,X,X,X
ISLOZJT,O,O,X,X,O,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,X,X,X,X,X,O,O,X
ISJTLOZ,X,X,X,X,X,X,X,X,X,X,O,X
ISJTZLO,O,X,O,X,X,O,X,X,X,O,O,X
ISJTZOL,O,X,O,X,X,O,X,O,X,O,O,X
ISJTOLZ,X,X,X,X,X,X,X,X,X,X,O,X
ISJTOZL,X,X,O,X,X,X,X,X,X,O,O,X
ISJLTZO,O,O,X,X,X,X,O,X,X,O,O,X
ISJLTOZ,X,X,X,X,X,X,X,X,X,X,O,X
ISJLZTO,O,X,X,X,X,X,O,X,X,X,X,X
ISJLZOT,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,O,X,O,O,X,X,X,O,O,X
ISJZTOL,O,X,O,X,O,O,X,O,X,O,O,X
ISJZLTO,O,O,O,X,O,O,X,X,X,X,X,X
ISJZLOT,X,X,X,X,X,O,X,X,X,X,X,X
ISJZOTL,X,X,O,X,O,O,X,O,X,X,X,X
ISJZOLT,X,O,X,X,O,O,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,O,O
ISJOTZL,O,X,O,X,X,X,X,X,X,O,O,O
ISJOLTZ,O,O,X,X,X,X,X,X,X,X,X,O
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,O,X,O,X,X,X,X,X,X,O
ISJOZLT,X,O,O,X,O,X,X,X,X,X,X,X
ISZTLJO,O,O,X,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,O,X,X,X,X,X,X,X,X
ISZTJLO,O,X,O,X,O,O,X,X,X,X,X,X
ISZTJOL,O,X,O,X,O,O,X,O,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,X,X,X,O,O,X,X,X,X,X,X
ISZLTJO,O,O,X,O,X,X,O,X,X,X,X,X
ISZLTOJ,O,O,X,O,X,X,O,X,X,X,X,X
ISZLJTO,O,O,O,O,O,O,O,X,X,X,X,X
ISZLJOT,X,X,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,O,O,X,O,X,X,O,X,X,X,X,X
ISZLOJT,O,O,X,X,O,O,X,X,X,X,X,X
ISZJTLO,O,X,O,X,O,O,X,X,X,O,O,X
ISZJTOL,O,X,O,X,O,O,X,O,X,O,O,X
ISZJLTO,O,O,O,X,O,O,X,X,X,X,X,X
ISZJLOT,X,X,X,X,X,O,X,X,X,X,X,X
ISZJOTL,X,X,O,X,O,O,X,O,X,X,X,X
ISZJOLT,X,O,X,X,O,O,X,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X,O,X,X,X
ISZOTJL,O,X,X,X,O,O,X,X,O,X,X,X
ISZOLTJ,O,O,X,O,X,X,X,X,O,X,X,X
ISZOLJT,O,O,X,O,O,O,X,X,X,X,X,X
ISZOJTL,O,X,O,X,O,O,X,X,O,X,X,X
ISZOJLT,X,O,X,X,O,O,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X,O,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,O,X,O,X,X,X,X,X,O,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X,O,X,X,X
ISOTZJL,O,X,O,X,O,X,X,X,O,X,X,X
ISOLTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,O,X,X,O,X,O,X,X,X
ISOLJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,O,X,X,O,X,X,X,X,X
ISOLZJT,O,O,O,X,O,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X,X,X,O,X
ISOJTZL,O,X,O,X,X,X,X,X,O,O,O,X
ISOJLTZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,X,O,X,X,X,X,X,X,X
ISOJZLT,X,O,O,X,O,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X,O,X,X,X
ISOZTJL,O,X,O,X,O,X,X,X,O,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,O,X,O,X,X,X,X,X,X,X
ISOZJTL,O,X,O,X,O,X,X,X,X,X,X,X
ISOZJLT,X,O,O,X,O,X,X,X,X,X,X,X
IZTLJSO,O,O,X,O,X,O,O,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,X,O,X,X,X,X
IZTLSJO,O,O,X,O,X,X,O,X,X,X,X,X
IZTLSOJ,O,O,X,O,X,X,O,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,O,X,X,O,X,X,X,X,X
IZTJLSO,X,X,O,O,O,O,X,X,X,X,X,X
IZTJLOS,X,X,X,X,X,X,X,O,X,X,X,X
IZTJSLO,O,X,O,X,O,O,X,X,X,X,X,X
IZTJSOL,O,X,O,X,O,O,X,O,X,X,X,X
IZTJOLS,X,X,O,X,O,X,X,O,X,X,X,X
IZTJOSL,X,X,O,X,O,O,X,O,X,X,X,X
IZTSLJO,O,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,O,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,X,O,O,X,X,X,X,X,X
IZTSJOL,O,X,O,X,O,O,X,O,X,X,X,X
IZTSOLJ,X,O,X,X,X,X,X,X,O,X,X,X
IZTSOJL,O,X,X,X,O,O,X,X,O,X,X,X
