sequence,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFlhBziB5oB/rB2s?B0qB,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFThBmiB5oB0nBlq?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFiiB5oBFlB8qBzn?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFumB3iB5oBUlBys?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFCiBeoB5oBUlBXn?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlB6tBXoB0q?BlrB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlBXoB6tB0q?BlrB
IZTSJLO,O,O,O,O,O,O,O
IZTSJOL,O,O,O,O,O,O,O
IZTSOLJ,O,O,O,O,X,O,O
IZTSOJL,O,O,O,O,O,O,O
IZTOLJS,X,O,O,O,O,O,O
IZTOLSJ,X,O,O,O,X,O,O
IZTOJLS,X,O,O,O,O,O,O
IZTOJSL,X,O,O,O,O,O,O
IZTOSLJ,X,O,O,O,X,O,O
IZTOSJL,X,O,O,O,O,O,O
IZLTJSO,O,O,X,O,X,O,O
IZLTJOS,O,O,X,O,X,O,O
IZLTSJO,O,O,X,O,X,O,O
IZLTSOJ,O,O,X,O,X,O,O
IZLTOJS,X,O,X,O,X,O,O
IZLTOSJ,X,O,X,O,X,O,O
IZLJTSO,O,O,X,O,X,O,X
IZLJTOS,O,O,X,O,X,O,X
IZLJSTO,O,O,X,O,X,O,X
IZLJSOT,O,O,X,X,X,X,O
IZLJOTS,O,O,O,X,X,O,X
IZLJOST,O,O,O,X,X,X,X
IZLSTJO,O,O,X,O,X,O,O
IZLSTOJ,O,O,X,O,X,O,O
IZLSJTO,O,O,X,O,X,O,X
IZLSJOT,O,O,X,X,X,X,O
IZLSOTJ,O,O,X,O,X,X,X
IZLSOJT,O,O,X,X,X,X,O
IZLOTJS,X,O,O,O,X,O,X
IZLOTSJ,X,O,X,O,X,O,X
IZLOJTS,O,O,O,X,X,O,X
IZLOJST,O,O,O,X,X,X,X
IZLOSTJ,O,O,O,O,X,X,X
IZLOSJT,O,O,O,X,X,X,X
IZJTLSO,O,O,X,X,O,O,O
IZJTLOS,O,O,X,X,O,O,O
IZJTSLO,O,O,X,X,O,O,O
IZJTSOL,O,O,X,X,O,O,O
IZJTOLS,O,O,O,X,O,O,O
IZJTOSL,O,O,X,X,O,O,O
IZJLTSO,O,O,X,O,X,O,X
IZJLTOS,O,O,X,O,X,O,X
IZJLSTO,O,O,X,O,X,O,X
IZJLSOT,O,O,X,X,X,X,O
IZJLOTS,O,O,O,X,X,O,X
IZJLOST,O,O,O,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O
IZJSTOL,O,O,X,X,X,X,O
IZJSLTO,O,O,X,X,X,O,X
IZJSLOT,O,O,X,X,X,X,O
IZJSOTL,O,O,X,X,X,X,O
IZJSOLT,O,O,O,X,X,X,O
IZJOTLS,O,O,O,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X
IZJOLTS,O,O,O,X,X,O,X
IZJOLST,O,O,O,X,X,X,X
IZJOSTL,O,O,O,X,X,X,O
IZJOSLT,O,O,O,X,X,X,O
IZSTLJO,O,O,O,X,X,O,O
IZSTLOJ,O,O,O,X,X,O,O
IZSTJLO,O,O,O,X,X,O,O
IZSTJOL,O,O,O,X,X,O,O
IZSTOLJ,O,O,O,X,X,O,O
IZSTOJL,O,O,O,X,X,O,O
IZSLTJO,O,O,O,O,X,O,O
IZSLTOJ,O,O,O,O,X,O,O
IZSLJTO,O,O,O,O,X,O,X
IZSLJOT,O,O,O,X,X,X,O
IZSLOTJ,O,O,O,O,X,X,X
IZSLOJT,O,O,O,X,X,X,O
IZSJTLO,O,O,O,X,X,X,O
IZSJTOL,O,O,O,X,X,X,O
IZSJLTO,O,O,O,X,X,O,X
IZSJLOT,O,O,O,X,X,X,O
IZSJOTL,O,O,O,X,X,X,O
IZSJOLT,O,O,O,X,X,X,O
IZSOTLJ,O,O,O,X,X,X,O
IZSOTJL,O,O,O,X,X,X,O
IZSOLTJ,O,O,O,X,X,X,X
IZSOLJT,O,O,O,X,X,X,O
IZSOJTL,O,O,O,X,X,X,O
IZSOJLT,O,O,O,X,X,X,O
IZOTLJS,X,O,O,X,X,O,O
IZOTLSJ,X,O,O,X,X,O,O
IZOTJLS,X,O,O,X,X,O,O
IZOTJSL,X,O,O,X,X,O,O
IZOTSLJ,X,O,O,X,X,O,O
IZOTSJL,X,O,O,X,X,O,O
IZOLTJS,X,O,O,O,X,O,X
IZOLTSJ,X,O,O,O,X,O,X
IZOLJTS,O,O,O,X,X,O,X
IZOLJST,O,O,O,X,X,X,X
IZOLSTJ,O,O,O,O,X,X,X
IZOLSJT,O,O,O,X,X,X,X
IZOJTLS,O,O,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X
IZOJLTS,O,O,O,X,X,O,X
IZOJLST,O,O,O,X,X,X,X
IZOJSTL,O,O,O,X,X,X,O
IZOJSLT,O,O,O,X,X,X,O
IZOSTLJ,O,O,O,X,X,X,O
IZOSTJL,O,O,O,X,X,X,O
IZOSLTJ,O,O,O,X,X,X,X
IZOSLJT,O,O,O,X,X,X,O
IZOSJTL,O,O,O,X,X,X,O
IZOSJLT,O,O,O,X,X,X,O
IOTLJSZ,X,X,O,O,O,O,O
IOTLJZS,X,O,O,O,X,O,X
IOTLSJZ,X,O,O,O,X,O,O
IOTLSZJ,X,O,O,O,X,X,X
IOTLZJS,X,O,O,O,X,O,X
IOTLZSJ,X,O,O,O,X,X,X
IOTJLSZ,X,X,O,O,O,O,O
IOTJLZS,X,O,O,O,X,O,X
IOTJSLZ,X,X,O,O,O,O,O
IOTJSZL,X,X,O,X,O,X,O
IOTJZLS,X,O,O,O,O,O,X
IOTJZSL,X,O,O,O,O,X,O
IOTSLJZ,X,O,O,O,X,O,O
IOTSLZJ,X,O,O,O,X,X,X
IOTSJLZ,X,O,O,O,O,O,O
IOTSJZL,X,O,O,X,O,X,O
IOTSZLJ,X,O,O,X,X,X,X
IOTSZJL,X,O,O,X,X,X,O
IOTZLJS,X,O,O,O,O,O,X
IOTZLSJ,X,O,O,O,X,X,X
IOTZJLS,X,O,O,O,O,O,X
IOTZJSL,X,O,O,O,O,X,O
IOTZSLJ,X,O,O,O,X,X,X
IOTZSJL,X,O,O,O,O,X,O
IOLTJSZ,X,X,O,O,X,O,X
IOLTJZS,X,O,O,O,X,O,X
IOLTSJZ,X,O,O,O,X,O,X
IOLTSZJ,X,O,O,O,X,X,X
IOLTZJS,X,O,O,O,X,O,X
IOLTZSJ,X,O,O,O,X,X,X
IOLJTSZ,O,X,O,X,X,O,X
IOLJTZS,O,X,O,X,X,O,X
IOLJSTZ,O,X,O,X,X,X,X
IOLJSZT,O,X,O,X,X,X,X
IOLJZTS,O,X,O,X,X,X,X
IOLJZST,O,X,O,X,X,X,X
IOLSTJZ,O,X,O,O,X,X,X
IOLSTZJ,X,O,O,O,X,X,X
IOLSJTZ,O,X,O,X,X,X,X
IOLSJZT,O,O,O,X,X,X,X
IOLSZTJ,X,O,O,O,X,X,X
IOLSZJT,X,O,O,X,X,X,X
IOLZTJS,X,O,O,O,X,O,X
IOLZTSJ,X,O,O,O,X,O,X
IOLZJTS,O,O,O,X,X,O,X
IOLZJST,O,O,O,X,X,X,X
IOLZSTJ,O,O,O,O,X,X,X
IOLZSJT,O,O,O,X,X,X,X
IOJTLSZ,O,X,O,X,O,X,X
IOJTLZS,O,X,O,X,X,X,X
IOJTSLZ,O,X,O,X,O,X,X
IOJTSZL,O,X,O,X,O,X,X
IOJTZLS,O,X,O,X,O,X,X
IOJTZSL,O,X,O,X,O,X,X
IOJLTSZ,O,X,O,X,X,O,X
IOJLTZS,O,X,O,X,X,O,X
IOJLSTZ,O,X,O,X,X,X,X
IOJLSZT,O,X,O,X,X,X,X
IOJLZTS,O,X,O,X,X,X,X
IOJLZST,O,X,O,X,X,X,X
IOJSTLZ,O,X,O,X,X,X,O
IOJSTZL,O,X,O,X,X,X,X
IOJSLTZ,O,X,O,X,X,X,O
IOJSLZT,O,X,O,X,X,X,O
IOJSZTL,O,X,O,X,X,X,X
IOJSZLT,O,X,O,X,X,X,O
IOJZTLS,O,X,O,X,X,X,X
IOJZTSL,O,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X
IOJZLST,O,X,O,X,X,X,X
IOJZSTL,O,X,O,X,X,X,X
IOJZSLT,O,X,O,X,X,X,X
IOSTLJZ,O,O,O,X,X,X,O
IOSTLZJ,X,O,O,X,X,X,X
IOSTJLZ,O,O,O,X,X,X,O
IOSTJZL,O,O,O,X,X,X,O
IOSTZLJ,X,O,O,X,X,X,X
IOSTZJL,X,O,O,X,X,X,O
IOSLTJZ,O,X,O,X,X,X,X
IOSLTZJ,X,O,O,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,O
IOSLJZT,O,O,O,X,X,X,O
IOSLZTJ,X,O,O,X,X,X,X
IOSLZJT,X,O,O,X,X,X,X
IOSJTLZ,O,X,O,X,X,X,O
IOSJTZL,O,X,O,X,X,X,X
IOSJLTZ,O,X,O,X,X,X,O
IOSJLZT,O,O,O,X,X,X,O
IOSJZTL,O,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X,O
IOSZTLJ,X,O,O,X,X,X,O
IOSZTJL,X,O,O,X,X,X,O
IOSZLTJ,X,O,O,X,X,X,X
IOSZLJT,X,O,O,X,X,X,O
IOSZJTL,X,O,O,X,X,X,O
IOSZJLT,X,O,O,X,X,X,O
IOZTLJS,X,O,O,X,X,O,O
IOZTLSJ,X,O,O,X,X,O,O
IOZTJLS,X,O,O,X,X,O,O
IOZTJSL,X,O,O,X,X,O,O
IOZTSLJ,X,O,O,X,X,O,O
IOZTSJL,X,O,O,X,X,O,O
IOZLTJS,X,O,O,O,X,O,X
IOZLTSJ,X,O,O,O,X,O,X
IOZLJTS,O,O,O,X,X,O,X
IOZLJST,O,O,O,X,X,X,X
IOZLSTJ,O,O,O,O,X,X,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,O,O,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X
IOZJLTS,O,O,O,X,X,O,X
IOZJLST,O,O,O,X,X,X,X
IOZJSTL,O,O,O,X,X,X,O
IOZJSLT,O,O,O,X,X,X,O
IOZSTLJ,O,O,O,X,X,X,O
IOZSTJL,O,O,O,X,X,X,O
IOZSLTJ,O,O,O,X,X,X,X
IOZSLJT,O,O,O,X,X,X,O
IOZSJTL,O,O,O,X,X,X,O
IOZSJLT,O,O,O,X,X,X,O
LTIJSZO,O,O,X,O,O,X,X
LTIJSOZ,O,O,X,O,O,O,O
LTIJZSO,O,O,X,O,O,X,X
LTIJZOS,O,O,X,O,O,O,X
LTIJOSZ,O,X,X,O,O,O,O
LTIJOZS,O,O,X,O,X,O,X
LTISJZO,O,O,O,O,X,X,X
LTISJOZ,O,O,X,O,X,O,O
LTISZJO,O,O,O,O,X,X,X
LTISZOJ,X,O,O,O,X,X,X
LTISOJZ,O,O,O,O,X,O,O
LTISOZJ,X,O,O,O,X,X,X
LTIZJSO,O,O,X,O,O,O,X
LTIZJOS,O,O,O,O,O,O,X
LTIZSJO,O,O,X,O,X,O,X
LTIZSOJ,O,O,X,O,X,O,X
LTIZOJS,X,O,O,O,O,O,X
LTIZOSJ,X,O,O,O,X,O,X
LTIOJSZ,X,X,O,O,O,O,O
LTIOJZS,X,O,O,O,X,O,X
LTIOSJZ,X,O,O,O,X,O,O
LTIOSZJ,X,O,O,O,X,X,X
LTIOZJS,X,O,O,O,X,O,X
LTIOZSJ,X,O,O,O,X,X,X
LTJISZO,O,O,X,O,O,X,X
LTJISOZ,O,O,X,O,O,O,X
LTJIZSO,O,O,X,O,O,X,X
LTJIZOS,O,O,X,O,O,O,X
LTJIOSZ,O,X,X,O,O,O,X
LTJIOZS,O,O,X,O,X,O,X
LTJSIZO,O,O,X,O,O,X,X
LTJSIOZ,O,O,X,O,O,X,X
LTJSZIO,O,O,X,O,O,X,X
LTJSZOI,O,O,X,O,O,X,X
LTJSOIZ,O,O,X,O,O,X,X
LTJSOZI,O,O,X,O,O,X,X
LTJZISO,O,O,X,O,O,O,X
LTJZIOS,O,O,X,O,O,O,X
LTJZSIO,O,O,X,O,O,X,X
LTJZSOI,O,O,X,O,O,X,X
LTJZOIS,O,O,X,O,O,X,X
LTJZOSI,O,O,X,O,O,X,X
LTJOISZ,O,X,X,O,O,O,X
LTJOIZS,O,O,X,O,X,O,X
LTJOSIZ,O,X,X,O,O,X,X
LTJOSZI,O,X,X,O,O,X,X
LTJOZIS,O,O,X,O,X,X,X
LTJOZSI,O,O,X,O,X,X,X
LTSIJZO,O,O,O,O,O,X,X
LTSIJOZ,O,O,X,O,O,O,O
LTSIZJO,O,O,O,O,O,X,X
LTSIZOJ,X,O,O,O,O,X,X
LTSIOJZ,O,O,O,O,O,O,O
LTSIOZJ,X,O,O,O,X,X,X
LTSJIZO,O,O,O,O,O,X,X
LTSJIOZ,O,O,X,O,O,X,X
LTSJZIO,O,O,O,O,O,X,X
LTSJZOI,O,O,O,O,O,X,X
LTSJOIZ,O,O,X,O,O,X,X
LTSJOZI,O,O,X,O,O,X,X
LTSZIJO,O,O,O,O,O,O,O
LTSZIOJ,X,O,O,O,O,O,O
LTSZJIO,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,O,X,X
LTSZOIJ,X,O,O,O,O,X,X
LTSZOJI,X,O,O,O,O,X,X
LTSOIJZ,O,O,O,O,O,O,O
LTSOIZJ,X,O,O,O,X,X,X
LTSOJIZ,O,O,O,O,O,X,X
LTSOJZI,O,O,O,O,O,X,X
LTSOZIJ,X,O,O,O,O,X,X
LTSOZJI,X,O,O,O,O,X,X
LTZIJSO,O,O,X,O,O,O,O
LTZIJOS,O,O,O,O,O,O,O
LTZISJO,O,O,X,O,X,O,O
LTZISOJ,O,O,X,O,X,O,O
LTZIOJS,X,O,O,O,O,O,O
LTZIOSJ,X,O,O,O,X,O,O
LTZJISO,O,O,X,O,O,O,X
LTZJIOS,O,O,O,O,O,O,X
LTZJSIO,O,O,X,O,O,X,X
LTZJSOI,O,O,X,O,O,X,X
LTZJOIS,O,O,O,O,O,X,X
LTZJOSI,O,O,O,O,O,X,X
LTZSIJO,O,O,X,O,O,O,O
LTZSIOJ,O,O,X,O,O,O,O
LTZSJIO,O,O,X,O,O,X,X
LTZSJOI,O,O,X,O,O,X,X
LTZSOIJ,O,O,X,O,O,X,X
LTZSOJI,O,O,X,O,O,X,X
LTZOIJS,X,O,O,O,O,O,X
LTZOISJ,X,O,O,O,X,O,X
LTZOJIS,X,O,O,O,O,X,X
LTZOJSI,X,O,O,O,O,X,X
LTZOSIJ,X,O,O,O,O,X,X
LTZOSJI,X,O,O,O,O,X,X
LTOIJSZ,X,X,O,O,O,O,O
LTOIJZS,X,O,O,O,X,O,X
LTOISJZ,X,O,O,O,X,O,O
LTOISZJ,X,O,O,O,X,X,X
LTOIZJS,X,O,O,O,X,O,X
LTOIZSJ,X,O,O,O,X,X,X
LTOJISZ,X,X,O,O,O,O,X
LTOJIZS,X,O,O,O,X,O,X
LTOJSIZ,X,X,O,O,O,X,X
LTOJSZI,X,X,O,O,O,X,X
LTOJZIS,X,O,O,O,X,X,X
LTOJZSI,X,O,O,O,X,X,X
LTOSIJZ,X,O,O,O,O,O,O
LTOSIZJ,X,O,O,O,X,X,X
LTOSJIZ,X,O,O,O,O,X,X
LTOSJZI,X,O,O,O,O,X,X
LTOSZIJ,X,O,O,O,X,X,X
LTOSZJI,X,O,O,O,O,X,X
LTOZIJS,X,O,O,O,X,O,X
LTOZISJ,X,O,O,O,X,O,X
LTOZJIS,X,O,O,O,X,X,X
LTOZJSI,X,O,O,O,X,X,X
LTOZSIJ,X,O,O,O,X,X,X
LTOZSJI,X,O,O,O,X,X,X
LITJSZO,O,O,X,O,O,X,X
LITJSOZ,O,O,X,O,O,O,O
LITJZSO,O,O,X,O,O,X,X
LITJZOS,O,O,X,O,O,O,X
LITJOSZ,O,X,X,O,O,O,O
LITJOZS,O,O,X,O,X,O,X
LITSJZO,O,O,O,O,X,X,X
LITSJOZ,O,O,X,O,X,O,O
LITSZJO,O,O,O,O,X,X,X
LITSZOJ,X,O,O,O,X,X,X
LITSOJZ,O,O,O,O,X,O,O
LITSOZJ,X,O,O,O,X,X,X
LITZJSO,O,O,X,O,O,O,X
LITZJOS,O,O,O,O,O,O,X
LITZSJO,O,O,X,O,X,O,X
LITZSOJ,O,O,X,O,X,O,X
LITZOJS,X,O,O,O,O,O,X
LITZOSJ,X,O,O,O,X,O,X
LITOJSZ,X,X,O,O,O,O,O
LITOJZS,X,O,O,O,X,O,X
LITOSJZ,X,O,O,O,X,O,O
LITOSZJ,X,O,O,O,X,X,X
LITOZJS,X,O,O,O,X,O,X
LITOZSJ,X,O,O,O,X,X,X
LIJTSZO,O,O,X,O,O,X,X
LIJTSOZ,O,O,X,O,O,O,X
LIJTZSO,O,O,X,O,O,X,X
LIJTZOS,O,O,X,O,O,O,X
LIJTOSZ,O,X,X,O,O,O,X
LIJTOZS,O,O,X,O,X,O,X
LIJSTZO,O,X,X,O,X,X,X
LIJSTOZ,O,X,X,O,X,O,X
LIJSZTO,O,O,X,O,X,X,X
LIJSZOT,O,O,X,X,X,X,X
LIJSOTZ,O,X,X,X,X,X,O
LIJSOZT,O,O,X,X,X,X,O
LIJZTSO,O,O,X,O,X,O,X
LIJZTOS,O,O,X,O,X,O,X
LIJZSTO,O,O,X,O,X,O,X
LIJZSOT,O,O,X,X,X,X,X
LIJZOTS,O,O,X,X,X,O,X
LIJZOST,O,O,X,X,X,X,X
LIJOTSZ,O,X,X,X,X,O,X
LIJOTZS,O,X,X,X,X,O,X
LIJOSTZ,O,X,X,X,X,X,X
LIJOSZT,O,X,X,X,X,X,X
LIJOZTS,O,X,X,X,X,X,X
LIJOZST,O,X,X,X,X,X,X
LISTJZO,O,O,O,O,X,X,X
LISTJOZ,O,O,O,O,X,O,O
LISTZJO,O,O,O,O,X,X,X
LISTZOJ,X,O,O,O,X,X,X
LISTOJZ,O,O,O,O,X,O,O
LISTOZJ,X,O,O,O,X,X,X
LISJTZO,O,X,O,O,X,X,X
LISJTOZ,O,X,O,O,X,O,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,O,X,X,X,X
LISJOTZ,O,X,O,X,X,X,O
LISJOZT,O,O,O,X,X,X,O
LISZTJO,O,O,O,O,X,O,O
LISZTOJ,O,O,O,O,X,O,O
LISZJTO,O,O,O,O,X,O,X
LISZJOT,O,O,O,X,X,X,O
LISZOTJ,O,O,O,O,X,X,X
LISZOJT,O,O,O,X,X,X,O
LISOTJZ,O,X,O,O,X,X,X
LISOTZJ,X,O,O,O,X,X,X
LISOJTZ,O,X,O,X,X,X,O
LISOJZT,O,O,O,X,X,X,O
LISOZTJ,X,O,O,O,X,X,X
LISOZJT,X,O,O,X,X,X,X
LIZTJSO,O,O,X,O,X,O,O
LIZTJOS,O,O,X,O,X,O,O
LIZTSJO,O,O,X,O,X,O,O
LIZTSOJ,O,O,X,O,X,O,O
LIZTOJS,X,O,X,O,X,O,O
LIZTOSJ,X,O,X,O,X,O,O
LIZJTSO,O,O,X,O,X,O,X
LIZJTOS,O,O,X,O,X,O,X
LIZJSTO,O,O,X,O,X,O,X
LIZJSOT,O,O,X,X,X,X,O
LIZJOTS,O,O,O,X,X,O,X
LIZJOST,O,O,O,X,X,X,X
LIZSTJO,O,O,X,O,X,O,O
LIZSTOJ,O,O,X,O,X,O,O
LIZSJTO,O,O,X,O,X,O,X
LIZSJOT,O,O,X,X,X,X,O
LIZSOTJ,O,O,X,O,X,X,X
LIZSOJT,O,O,X,X,X,X,O
LIZOTJS,X,O,O,O,X,O,X
LIZOTSJ,X,O,X,O,X,O,X
LIZOJTS,O,O,O,X,X,O,X
LIZOJST,O,O,O,X,X,X,X
LIZOSTJ,O,O,O,O,X,X,X
LIZOSJT,O,O,O,X,X,X,X
LIOTJSZ,X,X,O,O,X,O,X
LIOTJZS,X,O,O,O,X,O,X
LIOTSJZ,X,O,O,O,X,O,X
LIOTSZJ,X,O,O,O,X,X,X
LIOTZJS,X,O,O,O,X,O,X
LIOTZSJ,X,O,O,O,X,X,X
LIOJTSZ,O,X,O,X,X,O,X
LIOJTZS,O,X,O,X,X,O,X
LIOJSTZ,O,X,O,X,X,X,X
LIOJSZT,O,X,O,X,X,X,X
LIOJZTS,O,X,O,X,X,X,X
LIOJZST,O,X,O,X,X,X,X
LIOSTJZ,O,X,O,O,X,X,X
LIOSTZJ,X,O,O,O,X,X,X
LIOSJTZ,O,X,O,X,X,X,X
LIOSJZT,O,O,O,X,X,X,X
LIOSZTJ,X,O,O,O,X,X,X
LIOSZJT,X,O,O,X,X,X,X
LIOZTJS,X,O,O,O,X,O,X
LIOZTSJ,X,O,O,O,X,O,X
LIOZJTS,O,O,O,X,X,O,X
LIOZJST,O,O,O,X,X,X,X
LIOZSTJ,O,O,O,O,X,X,X
LIOZSJT,O,O,O,X,X,X,X
LJTISZO,O,O,X,O,O,X,X
LJTISOZ,O,O,X,O,O,O,X
LJTIZSO,O,O,X,O,O,X,X
LJTIZOS,O,O,X,O,O,O,X
LJTIOSZ,O,X,X,O,O,O,X
LJTIOZS,O,O,X,O,X,O,X
LJTSIZO,O,O,X,O,O,X,X
LJTSIOZ,O,O,X,O,O,X,X
LJTSZIO,O,O,X,O,O,X,X
LJTSZOI,O,O,X,O,O,X,X
LJTSOIZ,O,O,X,O,O,X,X
LJTSOZI,O,O,X,O,O,X,X
LJTZISO,O,O,X,O,O,O,X
LJTZIOS,O,O,X,O,O,O,X
LJTZSIO,O,O,X,O,O,X,X
LJTZSOI,O,O,X,O,O,X,X
LJTZOIS,O,O,X,O,O,X,X
LJTZOSI,O,O,X,O,O,X,X
LJTOISZ,O,X,X,O,O,O,X
LJTOIZS,O,O,X,O,X,O,X
LJTOSIZ,O,X,X,O,O,X,X
LJTOSZI,O,X,X,O,O,X,X
LJTOZIS,O,O,X,O,X,X,X
LJTOZSI,O,O,X,O,X,X,X
LJITSZO,O,O,X,O,O,X,X
LJITSOZ,O,O,X,O,O,O,X
LJITZSO,O,O,X,O,O,X,X
LJITZOS,O,O,X,O,O,O,X
LJITOSZ,O,X,X,O,O,O,X
LJITOZS,O,O,X,O,X,O,X
LJISTZO,O,X,X,O,X,X,X
LJISTOZ,O,X,X,O,X,O,X
LJISZTO,O,O,X,O,X,X,X
LJISZOT,O,O,X,X,X,X,X
LJISOTZ,O,X,X,X,X,X,X
LJISOZT,O,O,X,X,X,X,X
LJIZTSO,O,O,X,O,X,O,X
LJIZTOS,O,O,X,O,X,O,X
LJIZSTO,O,O,X,O,X,O,X
LJIZSOT,O,O,X,X,X,X,X
LJIZOTS,O,O,X,X,X,O,X
LJIZOST,O,O,X,X,X,X,X
LJIOTSZ,O,X,X,X,X,O,X
LJIOTZS,O,X,X,X,X,O,X
LJIOSTZ,O,X,X,X,X,X,X
LJIOSZT,O,X,X,X,X,X,X
LJIOZTS,O,X,X,X,X,X,X
LJIOZST,O,X,X,X,X,X,X
LJSTIZO,O,X,X,O,X,X,X
LJSTIOZ,O,X,X,O,X,X,X
LJSTZIO,O,X,X,O,X,X,X
LJSTZOI,O,X,X,O,X,X,X
LJSTOIZ,O,X,X,O,X,X,X
LJSTOZI,O,X,X,O,X,X,X
LJSITZO,O,X,X,O,X,X,X
LJSITOZ,O,X,X,O,X,X,X
LJSIZTO,O,O,X,O,X,X,X
LJSIZOT,O,O,X,X,X,X,X
LJSIOTZ,O,X,X,X,X,X,X
LJSIOZT,O,O,X,X,X,X,X
LJSZTIO,O,O,X,O,X,X,X
LJSZTOI,O,O,X,O,X,X,X
LJSZITO,O,O,X,O,X,X,X
LJSZIOT,O,O,X,X,X,X,X
LJSZOTI,O,O,X,X,X,X,X
LJSZOIT,O,O,X,X,X,X,X
LJSOTIZ,O,X,X,X,X,X,X
LJSOTZI,O,X,X,X,X,X,X
LJSOITZ,O,X,X,X,X,X,X
LJSOIZT,O,O,X,X,X,X,X
LJSOZTI,O,O,X,X,X,X,X
LJSOZIT,O,O,X,X,X,X,X
LJZTISO,O,O,X,O,X,O,X
LJZTIOS,O,O,X,O,X,O,X
LJZTSIO,O,O,X,O,X,X,X
LJZTSOI,O,O,X,O,X,X,X
LJZTOIS,O,O,X,O,X,X,X
LJZTOSI,O,O,X,O,X,X,X
LJZITSO,O,O,X,O,X,O,X
LJZITOS,O,O,X,O,X,O,X
LJZISTO,O,O,X,O,X,O,X
LJZISOT,O,O,X,X,X,X,X
LJZIOTS,O,O,X,X,X,O,X
LJZIOST,O,O,X,X,X,X,X
LJZSTIO,O,O,X,O,X,X,X
LJZSTOI,O,O,X,O,X,X,X
LJZSITO,O,O,X,O,X,X,X
LJZSIOT,O,O,X,X,X,X,X
LJZSOTI,O,O,X,X,X,X,X
LJZSOIT,O,O,X,X,X,X,X
LJZOTIS,O,O,X,X,X,X,X
LJZOTSI,O,O,X,X,X,X,X
LJZOITS,O,O,X,X,X,X,X
LJZOIST,O,O,X,X,X,X,X
LJZOSTI,O,O,X,X,X,X,X
LJZOSIT,O,O,X,X,X,X,X
LJOTISZ,O,X,X,X,X,X,X
LJOTIZS,O,X,X,X,X,X,X
LJOTSIZ,O,X,X,X,X,X,X
LJOTSZI,O,X,X,X,X,X,X
LJOTZIS,O,X,X,X,X,X,X
LJOTZSI,O,X,X,X,X,X,X
LJOITSZ,O,X,X,X,X,X,X
LJOITZS,O,X,X,X,X,X,X
LJOISTZ,O,X,X,X,X,X,X
LJOISZT,O,X,X,X,X,X,X
LJOIZTS,O,X,X,X,X,X,X
LJOIZST,O,X,X,X,X,X,X
LJOSTIZ,O,X,X,X,X,X,X
LJOSTZI,O,X,X,X,X,X,X
LJOSITZ,O,X,X,X,X,X,X
LJOSIZT,O,X,X,X,X,X,X
LJOSZTI,O,X,X,X,X,X,X
LJOSZIT,O,X,X,X,X,X,X
LJOZTIS,O,X,X,X,X,X,X
LJOZTSI,O,X,X,X,X,X,X
LJOZITS,O,X,X,X,X,X,X
LJOZIST,O,X,X,X,X,X,X
LJOZSTI,O,X,X,X,X,X,X
LJOZSIT,O,X,X,X,X,X,X
LSTIJZO,O,O,O,O,X,X,X
LSTIJOZ,O,O,O,O,X,O,O
LSTIZJO,O,O,O,O,X,X,X
LSTIZOJ,X,O,O,O,X,X,X
LSTIOJZ,O,O,O,O,X,O,O
LSTIOZJ,X,O,O,O,X,X,X
LSTJIZO,O,O,O,O,X,X,X
LSTJIOZ,O,O,O,O,X,X,X
LSTJZIO,O,O,O,O,X,X,X
LSTJZOI,O,O,O,O,X,X,X
LSTJOIZ,O,O,X,O,X,X,X
LSTJOZI,O,O,X,O,X,X,X
LSTZIJO,O,O,O,O,X,O,O
LSTZIOJ,X,O,O,O,X,O,O
LSTZJIO,O,O,O,O,X,X,X
LSTZJOI,O,O,O,O,X,X,X
LSTZOIJ,X,O,O,O,X,X,X
LSTZOJI,X,O,O,O,X,X,X
LSTOIJZ,O,O,O,O,X,O,O
LSTOIZJ,X,O,O,O,X,X,X
LSTOJIZ,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X
LSTOZIJ,X,O,O,O,X,X,X
LSTOZJI,X,O,O,O,X,X,X
LSITJZO,O,O,O,O,X,X,X
LSITJOZ,O,O,O,O,X,O,O
LSITZJO,O,O,O,O,X,X,X
LSITZOJ,X,O,O,O,X,X,X
LSITOJZ,O,O,O,O,X,O,O
LSITOZJ,X,O,O,O,X,X,X
