sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhHa+IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhHzBJ6oBcpB3lB+sBKtBlrBRvB,v115@vhHaHJTjB/pBUlBFmBWtBSwBxxB,v115@vhHOEJUjBRlBFnB3pBCrBSxBTtB,v115@vhHyFJfnBTjBKpBUqBFrBGtBRxB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhHa9IfnBziBKpBUqBFrBGtBRxB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhH66IKfBcqB3mB+tBTpBlsBRwB,v115@vhHT1I6kBKpBcqB3mB+tBlsBRwB,v115@vhH5+IejBfnBKpBUqBFrBSxBTtB,v115@vhHc+IfnBSoB2pBFrBSxBTtBxuB,v115@vhHa+IfoBOpB8pBzlBFsBSyBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHyCJfmBKpBzmBUoBFqBWyBRwB,v115@vhHqAJzfBfoB2pBUrBFsBSyBxuB,v115@vhHSAJfoBOpB8pBzlBFsBSyBxvB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhH5FJzhBfoB0kBKrB2uBFsBSyB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHS+IfmB5oBaqBdtBTpBWwBUsB,v115@vhH26IZkB8mBtpBznB3qBywBSyB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB
JOIZSLT,X,O,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JOLTISZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLTIZS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSIZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLTSZI,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLTZIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITSZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X
JOLITZS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JOLISTZ,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JOLISZT,O,X,O,O,O,O,X,X,X,O,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JOLIZTS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,O,O,X,X
JOLIZST,X,O,X,O,O,O,X,X,X,O,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X,O
JOLSTIZ,X,X,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O
JOLSTZI,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O
JOLSITZ,O,X,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JOLSIZT,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O
JOLSZTI,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O
JOLSZIT,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O
JOLZTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOLZITS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,O,O,O,X,X,O,O,X,X
JOLZIST,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O
JOLZSTI,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O
JOLZSIT,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O
JOSTILZ,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
JOSTIZL,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
JOSTLIZ,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JOSTLZI,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JOSTZIL,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
JOSTZLI,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JOSITLZ,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O
JOSITZL,X,X,X,X,O,O,X,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
JOSILTZ,O,X,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JOSILZT,O,X,O,O,O,O,X,X,O,O,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,O,O,O,O,X,X,O,O,X,O
JOSIZTL,X,O,X,X,O,O,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,O
JOSIZLT,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,X,X,O,O,X,O
JOSLTIZ,X,X,X,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O
JOSLTZI,X,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O
JOSLITZ,O,X,X,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JOSLIZT,O,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,O,O,O,O,X,X,O,O,X,O
JOSLZTI,X,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,O
JOSLZIT,O,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,O,X,O
JOSZTIL,X,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,O
JOSZTLI,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,O
JOSZITL,X,O,X,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,O
JOSZILT,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O,X,X,O,X,X,O
JOSZLTI,X,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,O
JOSZLIT,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O,X,X,O,X,X,O
JOZTILS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JOZTISL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
JOZTLIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZTLSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZTSIL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JOZTSLI,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
JOZITLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X
JOZITSL,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
JOZILTS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X
JOZILST,X,O,X,O,O,O,X,X,X,O,O,X,X,O,O,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O
JOZISTL,X,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,O
JOZISLT,X,O,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,O,O,O,O,O,O,O,O,X,X,O,X,X,O
JOZLTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZLTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZLITS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X
JOZLIST,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O
JOZLSTI,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O
JOZLSIT,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O
JOZSTIL,X,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,O
JOZSTLI,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,O
JOZSITL,X,O,X,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,O
JOZSILT,X,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,O,O,O,O,O,O,O,O,X,X,O,X,X,O
JOZSLTI,X,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,O
JOZSLIT,X,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,O,O,O,O,O,O,O,O,X,X,O,X,X,O
STILJZO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
STILJOZ,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
STILZJO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STILZOJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X
STILOJZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X
STILOZJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X
STIJLZO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X
STIJLOZ,X,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
STIJZLO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X
STIJZOL,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
STIJOLZ,X,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
STIJOZL,X,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
STIZLJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STIZLOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X
STIZJLO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
STIZJOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
STIZOLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
STIZOJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
STIOLJZ,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X
STIOLZJ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X
STIOJLZ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X
STIOJZL,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
STIOZLJ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
STIOZJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
STLIJZO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
STLIJOZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
STLIZJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STLIZOJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X
STLIOJZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X
STLIOZJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X
STLJIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
STLJIOZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STLJZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
STLJZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
STLJOIZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STLJOZI,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STLZIJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STLZIOJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X
STLZJIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLZJOI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLZOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X
STLZOJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
STLOIJZ,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,O,X,X
STLOIZJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X
STLOJIZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
STLOJZI,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
STLOZIJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X
STLOZJI,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
