sequence,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBVnBaoB5oBzp?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFOlBxiBFnBXoB0p?BSyB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnB6tBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFTjB/pBaqBFnBGt?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBxiBUnBFoBzp?BSyB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB/pBFnB6tBOq?BzsB,v115@BhB8GeB8HeC8DeA8BeD8MeOFJvhFxiBTkBFnBXoBSy?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhF5oBypBFnB8sBXq?BmsB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnB6tBzs?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFxiBypBFnB8sB+t?BXqB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFXiBTkBeqBFoB6t?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgB5oBUnBatBzp?BlsB,v115@BhB8GeB8HeC8DeA8BeD8MemCJvhF5oBikBFnBXlBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnBCtBTt?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnBCtBTt?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MexCJvhFikBFnBToBXlBWy?B0pB
JSITLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JSITZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSILZTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIOTLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSIOZTL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOZLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLTIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JSLTZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
JSLTOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JSLTOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JSLITZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSLITOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JSLIZTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLIOZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X
JSLZTOI,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X
JSLZITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
JSLZOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLOTIZ,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
JSLOTZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
JSLOITZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOIZT,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSLOZTI,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
JSLOZIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSZTILO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZTIOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZTLIO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSZTLOI,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O,X
JSZTOIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZTOLI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JSZITLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZILTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZIOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZLTIO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSZLTOI,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O,X
JSZLITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSZLOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSZOTIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOTLI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JSZOITL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOILT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOLTI,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JSZOLIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOTILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSOTIZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOTLIZ,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
JSOTLZI,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
JSOTZIL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOTZLI,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
JSOITLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOILTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSOIZTL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOIZLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLTIZ,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,O
JSOLTZI,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,O
JSOLITZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLIZT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSOLZTI,X,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X
JSOLZIT,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOZTIL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOZTLI,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JSOZITL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOZILT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOZLTI,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JSOZLIT,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTILSO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTILOS,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTISLO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTISOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTIOLS,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
JZTIOSL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTLISO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTLIOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JZTLSIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JZTLSOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JZTLOIS,O,O,X,X,O,X,X,O,O,O,O,X,X,O,O,O
JZTLOSI,O,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O
JZTSILO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTSIOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTSLIO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTSLOI,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X
JZTSOIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTSOLI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTOILS,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O
JZTOISL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTOLIS,O,O,O,X,O,X,X,X,O,O,O,X,X,X,O,O
JZTOLSI,O,O,O,X,O,X,O,X,O,O,O,X,X,X,O,O
JZTOSIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTOSLI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZITLSO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZITSLO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZITSOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZITOLS,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JZITOSL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZILTSO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZILTOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JZILSTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
JZILOST,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZISTLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X
JZIOTSL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZIOLTS,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X
JZIOLST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZIOSTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZIOSLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZLTISO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLTIOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JZLTSIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JZLTSOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JZLTOIS,O,O,X,X,O,X,X,O,O,O,O,X,X,O,O,O
JZLTOSI,O,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O
JZLITSO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLITOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JZLISTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
JZLIOST,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLSTIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JZLSTOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JZLSITO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JZLSOIT,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLOTIS,X,O,X,X,O,X,X,O,O,O,O,O,X,X,O,O
JZLOTSI,X,O,X,X,O,X,O,X,O,O,O,O,X,X,O,O
JZLOITS,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X
JZLOIST,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZLOSTI,X,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X
JZLOSIT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZSTILO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSTIOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSTLIO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSTLOI,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X
JZSTOIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSTOLI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZSITLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSILTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSIOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSLTIO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSLTOI,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X
JZSLITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JZSLOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZSOTIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZSOITL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSOILT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSOLTI,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZSOLIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZOTILS,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,O
JZOTISL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOTLIS,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O
JZOTLSI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,O,O
JZOTSIL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOTSLI,O,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X
JZOITLS,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JZOITSL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOILTS,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JZOILST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOISTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOISLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOLTIS,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O
JZOLTSI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,O,O
JZOLITS,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X
JZOLIST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOLSTI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X
JZOLSIT,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOSTIL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOSTLI,O,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X
JZOSITL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOSILT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOSLTI,O,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X
JZOSLIT,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOTILSZ,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,O
JOTILZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,O
JOTISLZ,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O
JOTISZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTIZLS,O,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O
JOTIZSL,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTLISZ,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,O
JOTLIZS,O,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
JOTLSIZ,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O
JOTLSZI,O,O,O,O,O,O,O,X,O,X,X,O,X,O,O,O
JOTLZIS,O,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
JOTLZSI,O,O,O,X,O,X,O,X,O,X,X,O,X,O,O,O
JOTSILZ,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O
JOTSIZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTSLIZ,O,X,O,O,O,O,O,X,O,X,X,O,O,O,X,O
JOTSLZI,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOTSZIL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOTSZLI,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X
JOTZILS,O,O,X,X,O,X,X,X,O,X,O,O,O,X,X,O
JOTZISL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOTZLIS,O,O,O,X,O,X,X,X,O,X,O,O,O,X,O,O
JOTZLSI,O,O,O,X,O,X,O,X,O,X,O,O,X,X,O,O
JOTZSIL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOTZSLI,O,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X
JOITLSZ,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,O
JOITLZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,O
JOITSLZ,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O
JOITSZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOITZLS,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O
JOITZSL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOILTSZ,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,O
JOILTZS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O
JOILSTZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
JOILSZT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOILZTS,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JOILZST,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOISTLZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOISTZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOISLTZ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JOISLZT,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOISZTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOISZLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOIZTLS,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JOIZTSL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOIZLTS,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JOIZLST,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOIZSTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOIZSLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOLTISZ,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,O
JOLTIZS,O,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
JOLTSIZ,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O
JOLTSZI,O,O,O,O,O,O,O,X,O,X,X,O,X,O,O,O
JOLTZIS,O,O,O,X,O,X,X,X,O,O,X,O,O,O,O,O
JOLTZSI,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,O
JOLITSZ,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,O
JOLITZS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O
JOLISTZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
JOLISZT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOLIZTS,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X
JOLIZST,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOLSTIZ,O,O,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOLSTZI,O,O,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOLSITZ,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JOLSIZT,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOLSZTI,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X
JOLSZIT,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOLZTIS,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O
JOLZTSI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,O,O
JOLZITS,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X
JOLZIST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOLZSTI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X
JOLZSIT,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSTILZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
JOSTIZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOSTLIZ,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOSTLZI,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOSTZIL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSTZLI,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X
JOSITLZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOSITZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOSILTZ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JOSILZT,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOSIZTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSIZLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSLTIZ,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOSLTZI,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O
JOSLITZ,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JOSLIZT,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOSLZTI,O,X,O,O,O,O,O,X,O,X,O,O,X,X,X,X
JOSLZIT,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOSZTIL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSZTLI,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X
JOSZITL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSZILT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOSZLTI,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X
JOSZLIT,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOZTILS,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,O
JOZTISL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZTLIS,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O
JOZTLSI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,O,O
JOZTSIL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZTSLI,O,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X
JOZITLS,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JOZITSL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZILTS,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X
JOZILST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZISTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZISLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZLTIS,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O
JOZLTSI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,O,O
JOZLITS,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X
JOZLIST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZLSTI,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X
JOZLSIT,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZSTIL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOZSTLI,O,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X
