sequence,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF8lBzhBunB/pBaq?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhFigBRiB3lBGnB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhF8lBRiBypBGnBlr?BXqB,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF0hBliBTkBmlBXq?BCsB,v115@GhA8HeB8HeC8BeB8AeD8JeOEJvhFxgBliBqpBTlB/r?BUsB,v115@GhA8HeB8HeC8BeB8AeD8JeiAJvhFRiBTkB3lBGnBlr?B0pB,v115@GhA8HeB8HeC8BeB8AeD8Jei/IvhFzhBunBRlB3lB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeKEJvhFRhBunBFlBXmB8r?BzpB
ISLTOJZ,O,X,O,O,O,O,X,X
ISLTOZJ,O,O,X,O,O,X,X,X
ISLJTZO,O,O,O,O,O,X,X,X
ISLJTOZ,O,X,O,O,O,X,X,X
ISLJZTO,O,O,X,O,O,X,X,X
ISLJZOT,O,O,X,O,O,X,X,X
ISLJOTZ,X,X,O,O,O,O,X,X
ISLJOZT,O,O,X,O,O,X,X,X
ISLZTJO,O,O,X,O,O,X,X,X
ISLZTOJ,O,O,X,O,O,X,X,X
ISLZJTO,O,O,X,O,O,X,X,X
ISLZJOT,O,O,X,O,O,X,X,X
ISLZOTJ,O,O,X,O,O,X,X,X
ISLZOJT,O,O,X,O,O,X,X,X
ISLOTJZ,X,X,O,O,O,O,X,X
ISLOTZJ,X,X,X,O,O,X,X,X
ISLOJTZ,X,X,O,O,O,O,X,X
ISLOJZT,O,X,X,O,O,X,X,X
ISLOZTJ,O,O,X,O,O,X,X,X
ISLOZJT,O,O,X,O,O,X,X,X
ISJTLZO,O,O,X,O,O,X,X,X
ISJTLOZ,O,X,X,O,O,X,X,X
ISJTZLO,O,O,X,O,O,X,X,X
ISJTZOL,O,O,X,O,O,X,X,X
ISJTOLZ,O,X,X,O,O,X,X,X
ISJTOZL,O,X,X,O,O,X,X,X
ISJLTZO,O,O,O,O,O,X,X,X
ISJLTOZ,O,X,O,O,O,X,X,X
ISJLZTO,O,O,X,O,O,X,X,X
ISJLZOT,O,O,X,O,O,X,X,X
ISJLOTZ,X,X,O,O,O,O,X,X
ISJLOZT,O,O,X,O,O,X,X,X
ISJZTLO,O,O,X,O,O,X,X,X
ISJZTOL,O,O,X,O,O,X,X,X
ISJZLTO,O,O,X,O,O,X,X,X
ISJZLOT,O,O,X,O,O,X,X,X
ISJZOTL,O,O,X,O,O,X,X,X
ISJZOLT,X,O,X,O,O,X,X,X
ISJOTLZ,X,X,X,O,O,X,X,X
ISJOTZL,X,X,X,O,O,X,X,X
ISJOLTZ,X,X,X,O,O,O,X,X
ISJOLZT,X,O,X,O,O,X,X,X
ISJOZTL,O,O,X,O,O,X,X,X
ISJOZLT,X,O,X,O,O,X,X,X
ISZTLJO,O,O,X,X,O,X,X,X
ISZTLOJ,O,O,X,X,O,X,X,X
ISZTJLO,O,O,X,X,O,X,X,X
ISZTJOL,O,O,X,X,O,X,X,X
ISZTOLJ,O,O,X,X,O,X,X,X
ISZTOJL,O,O,X,X,O,X,X,X
ISZLTJO,O,O,X,X,O,X,X,X
ISZLTOJ,O,O,X,X,O,X,X,X
ISZLJTO,O,O,X,X,O,X,X,X
ISZLJOT,O,O,X,X,O,X,X,X
ISZLOTJ,O,O,X,X,O,X,X,X
ISZLOJT,O,O,X,X,O,X,X,X
ISZJTLO,O,O,X,X,O,X,X,X
ISZJTOL,O,O,X,X,O,X,X,X
ISZJLTO,O,O,X,X,O,X,X,X
ISZJLOT,O,O,X,X,O,X,X,X
ISZJOTL,O,O,X,X,O,X,X,X
ISZJOLT,X,O,X,X,O,X,X,X
ISZOTLJ,O,O,X,X,O,X,X,X
ISZOTJL,O,O,X,X,O,X,X,X
ISZOLTJ,X,O,X,X,O,X,X,X
ISZOLJT,X,O,X,X,O,X,X,X
ISZOJTL,O,O,X,X,O,X,X,X
ISZOJLT,X,O,X,X,O,X,X,X
ISOTLJZ,X,X,X,O,O,O,X,X
ISOTLZJ,X,X,X,O,O,X,X,X
ISOTJLZ,X,X,X,O,O,O,X,X
ISOTJZL,X,X,X,O,O,O,X,X
ISOTZLJ,X,X,X,X,O,X,X,X
ISOTZJL,X,X,X,O,O,X,X,X
ISOLTJZ,X,X,X,O,O,O,X,X
ISOLTZJ,X,X,X,O,O,X,X,X
ISOLJTZ,X,X,X,O,O,O,X,X
ISOLJZT,X,X,X,O,O,X,X,X
ISOLZTJ,X,O,X,O,O,X,X,X
ISOLZJT,X,O,X,O,O,X,X,X
ISOJTLZ,X,X,X,O,O,X,X,X
ISOJTZL,X,X,X,O,O,X,X,X
ISOJLTZ,X,X,X,O,O,O,X,X
ISOJLZT,X,X,X,O,O,X,X,X
ISOJZTL,O,X,X,O,O,X,X,X
ISOJZLT,X,X,X,O,O,X,X,X
ISOZTLJ,O,O,X,X,O,X,X,X
ISOZTJL,O,X,X,O,O,X,X,X
ISOZLTJ,X,O,X,O,O,X,X,X
ISOZLJT,X,O,X,O,O,X,X,X
ISOZJTL,O,X,X,O,O,X,X,X
ISOZJLT,X,O,X,O,O,X,X,X
IZTLJSO,X,O,O,X,O,X,O,O
IZTLJOS,O,O,O,X,O,X,O,X
IZTLSJO,X,O,X,X,O,X,O,O
IZTLSOJ,X,O,X,X,O,X,O,O
IZTLOJS,O,O,O,X,O,X,O,X
IZTLOSJ,X,O,X,X,O,X,O,X
IZTJLSO,X,O,O,X,O,X,O,O
IZTJLOS,O,O,O,X,O,X,O,X
IZTJSLO,O,O,O,X,O,O,O,O
IZTJSOL,O,O,X,X,O,O,O,X
IZTJOLS,O,O,O,X,X,X,O,X
IZTJOSL,O,O,X,X,X,O,O,X
IZTSLJO,O,O,X,X,O,X,O,O
IZTSLOJ,O,O,X,X,O,X,O,O
IZTSJLO,O,O,X,X,O,X,O,O
IZTSJOL,O,O,X,X,O,X,O,X
IZTSOLJ,O,O,X,X,O,X,O,X
IZTSOJL,O,O,X,X,O,X,O,X
IZTOLJS,O,O,X,X,O,X,O,X
IZTOLSJ,X,O,X,X,O,X,O,X
IZTOJLS,O,O,X,X,X,X,O,X
IZTOJSL,O,O,X,X,X,O,O,X
IZTOSLJ,O,O,X,X,O,X,O,X
IZTOSJL,O,O,X,X,O,X,O,X
IZLTJSO,X,O,O,X,O,X,O,O
IZLTJOS,O,O,O,X,O,X,O,X
IZLTSJO,X,O,X,X,O,X,O,O
IZLTSOJ,X,O,X,X,O,X,O,O
IZLTOJS,O,O,O,X,O,X,O,X
IZLTOSJ,X,O,X,X,O,X,O,X
IZLJTSO,X,X,O,X,O,X,O,O
IZLJTOS,O,X,O,X,O,X,O,X
IZLJSTO,X,O,X,X,X,X,O,O
IZLJSOT,X,O,X,X,X,X,X,O
IZLJOTS,X,X,O,X,O,X,O,X
IZLJOST,X,O,X,X,X,X,X,O
IZLSTJO,X,X,X,X,X,X,O,O
IZLSTOJ,X,O,X,X,X,X,O,O
IZLSJTO,X,X,X,X,X,X,O,O
IZLSJOT,X,O,X,X,X,X,X,O
IZLSOTJ,X,O,X,X,X,X,X,O
IZLSOJT,X,O,X,X,X,X,X,O
IZLOTJS,X,O,O,X,O,X,O,X
IZLOTSJ,X,O,X,X,O,X,O,X
IZLOJTS,X,X,O,X,O,X,O,X
IZLOJST,X,O,X,X,X,X,X,O
IZLOSTJ,X,O,X,X,X,X,X,O
IZLOSJT,X,O,X,X,X,X,X,O
IZJTLSO,X,O,X,X,O,X,O,O
IZJTLOS,O,O,X,X,O,X,O,X
IZJTSLO,O,O,X,X,O,X,O,O
IZJTSOL,O,O,X,X,O,X,O,X
IZJTOLS,O,O,X,X,X,X,O,X
IZJTOSL,O,O,X,X,X,X,O,X
IZJLTSO,X,X,O,X,O,X,O,O
IZJLTOS,O,X,O,X,O,X,O,X
IZJLSTO,X,O,X,X,X,X,O,O
IZJLSOT,X,O,X,X,X,X,X,O
IZJLOTS,X,X,O,X,O,X,O,X
IZJLOST,X,O,X,X,X,X,X,O
IZJSTLO,O,O,X,X,X,X,O,O
IZJSTOL,O,O,X,X,X,X,O,X
IZJSLTO,O,O,X,X,X,X,O,O
IZJSLOT,O,O,X,X,X,X,X,O
IZJSOTL,O,O,X,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,O
IZJOTLS,O,O,X,X,X,X,O,X
IZJOTSL,O,O,X,X,X,X,O,X
IZJOLTS,X,X,X,X,X,X,O,X
IZJOLST,X,O,X,X,X,X,X,O
IZJOSTL,X,O,X,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,O
IZSTLJO,O,O,X,X,X,X,O,O
IZSTLOJ,O,O,X,X,X,X,O,O
IZSTJLO,O,O,X,X,X,X,O,O
IZSTJOL,O,O,X,X,X,X,O,X
IZSTOLJ,O,O,X,X,X,X,O,X
IZSTOJL,O,O,X,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,O,O
IZSLTOJ,O,O,X,X,X,X,O,O
IZSLJTO,O,O,X,X,X,X,O,O
IZSLJOT,O,O,X,X,X,X,X,O
IZSLOTJ,O,O,X,X,X,X,X,O
IZSLOJT,O,O,X,X,X,X,X,O
IZSJTLO,O,O,X,X,X,X,O,O
IZSJTOL,O,O,X,X,X,X,O,X
IZSJLTO,O,O,X,X,X,X,O,O
IZSJLOT,O,O,X,X,X,X,X,O
IZSJOTL,O,O,X,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,O
IZSOTLJ,O,O,X,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,O
IZSOLJT,X,O,X,X,X,X,X,O
IZSOJTL,O,O,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,O
IZOTLJS,O,O,X,X,O,X,O,X
IZOTLSJ,X,O,X,X,O,X,O,X
IZOTJLS,O,O,X,X,X,X,O,X
IZOTJSL,O,O,X,X,X,O,O,X
IZOTSLJ,X,O,X,X,O,X,O,X
IZOTSJL,O,O,X,X,O,X,O,X
IZOLTJS,X,O,X,X,O,X,O,X
IZOLTSJ,X,O,X,X,O,X,O,X
IZOLJTS,X,X,X,X,O,X,O,X
IZOLJST,X,O,X,X,X,X,X,O
IZOLSTJ,X,O,X,X,X,X,X,O
IZOLSJT,X,O,X,X,X,X,X,O
IZOJTLS,O,O,X,X,X,X,O,X
IZOJTSL,O,O,X,X,X,X,O,X
IZOJLTS,X,X,X,X,X,X,O,X
IZOJLST,X,O,X,X,X,X,X,O
IZOJSTL,X,O,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,O
IZOSTLJ,X,O,X,X,X,X,X,X
IZOSTJL,X,O,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,O
IZOSLJT,X,O,X,X,X,X,X,O
IZOSJTL,X,O,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,O
IOTLJSZ,X,X,O,O,O,O,X,X
IOTLJZS,X,X,O,O,O,X,X,X
IOTLSJZ,X,X,O,O,O,X,X,X
IOTLSZJ,X,X,X,O,O,X,X,X
IOTLZJS,X,X,O,O,O,X,X,X
IOTLZSJ,X,X,X,O,O,X,X,X
IOTJLSZ,X,X,O,O,O,O,X,X
IOTJLZS,X,X,O,O,O,X,X,X
IOTJSLZ,X,O,X,O,X,O,X,X
IOTJSZL,X,O,X,O,X,O,X,X
IOTJZLS,X,O,O,O,X,X,X,X
IOTJZSL,X,O,X,O,X,O,X,X
IOTSLJZ,X,X,X,X,O,O,X,X
IOTSLZJ,X,O,X,X,O,X,X,X
IOTSJLZ,X,X,X,O,O,O,X,X
IOTSJZL,X,X,X,O,X,O,X,X
IOTSZLJ,X,O,X,X,O,X,X,X
IOTSZJL,X,O,X,X,O,X,X,X
IOTZLJS,X,O,X,X,O,X,X,X
IOTZLSJ,X,O,X,X,O,X,X,X
IOTZJLS,X,O,X,O,X,X,X,X
IOTZJSL,X,O,X,O,X,O,X,X
IOTZSLJ,X,O,X,X,O,X,X,X
IOTZSJL,X,O,X,X,O,X,X,X
IOLTJSZ,X,X,O,O,O,O,X,X
IOLTJZS,X,X,O,O,O,X,X,X
IOLTSJZ,X,X,O,O,O,X,X,X
IOLTSZJ,X,X,X,O,O,X,X,X
IOLTZJS,X,X,O,O,O,X,X,X
IOLTZSJ,X,X,X,O,O,X,X,X
IOLJTSZ,X,X,O,O,O,X,X,X
IOLJTZS,X,X,O,O,O,X,X,X
IOLJSTZ,X,X,O,O,O,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X
IOLJZTS,X,X,O,O,O,X,X,X
IOLJZST,X,X,X,O,O,X,X,X
IOLSTJZ,X,X,O,O,O,X,X,X
IOLSTZJ,X,X,X,O,O,X,X,X
IOLSJTZ,X,X,O,O,O,X,X,X
IOLSJZT,X,X,X,O,O,X,X,X
IOLSZTJ,X,X,X,O,O,X,X,X
IOLSZJT,X,X,X,X,O,X,X,X
IOLZTJS,X,X,O,O,O,X,X,X
IOLZTSJ,X,X,X,O,O,X,X,X
IOLZJTS,X,X,O,O,O,X,X,X
IOLZJST,X,X,X,O,O,X,X,X
IOLZSTJ,X,X,X,O,O,X,X,X
IOLZSJT,X,X,X,X,O,X,X,X
IOJTLSZ,X,X,X,O,O,O,X,X
IOJTLZS,X,X,X,O,O,X,X,X
IOJTSLZ,X,X,X,O,X,O,X,X
IOJTSZL,X,X,X,O,X,O,X,X
IOJTZLS,X,X,X,O,X,X,X,X
IOJTZSL,X,X,X,O,X,O,X,X
IOJLTSZ,X,X,O,O,O,X,X,X
IOJLTZS,X,X,O,O,O,X,X,X
IOJLSTZ,X,X,O,O,O,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X
IOJLZST,X,X,X,O,O,X,X,X
IOJSTLZ,X,X,X,O,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X
IOJSLTZ,X,X,X,O,O,O,X,X
IOJSLZT,X,O,X,O,O,X,X,X
IOJSZTL,X,O,X,O,O,X,X,X
IOJSZLT,X,O,X,O,O,X,X,X
IOJZTLS,X,X,X,O,X,X,X,X
IOJZTSL,X,O,X,O,X,X,X,X
IOJZLTS,X,X,X,O,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,X
IOJZSTL,X,O,X,O,X,X,X,X
IOJZSLT,X,O,X,O,X,X,X,X
IOSTLJZ,X,X,X,X,O,O,X,X
IOSTLZJ,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,O,O,O,X,X
IOSTJZL,X,X,X,O,X,O,X,X
IOSTZLJ,X,X,X,X,O,X,X,X
IOSTZJL,X,X,X,X,O,X,X,X
IOSLTJZ,X,X,X,O,O,O,X,X
IOSLTZJ,X,X,X,O,O,X,X,X
IOSLJTZ,X,X,X,O,O,O,X,X
IOSLJZT,X,X,X,O,O,X,X,X
IOSLZTJ,X,O,X,O,O,X,X,X
IOSLZJT,X,O,X,X,O,X,X,X
IOSJTLZ,X,X,X,O,O,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X
IOSJLTZ,X,X,X,O,O,O,X,X
IOSJLZT,X,X,X,O,O,X,X,X
IOSJZTL,X,X,X,O,O,X,X,X
IOSJZLT,X,X,X,O,O,X,X,X
IOSZTLJ,X,O,X,X,O,X,X,X
IOSZTJL,X,X,X,X,O,X,X,X
IOSZLTJ,X,O,X,X,O,X,X,X
IOSZLJT,X,O,X,X,O,X,X,X
IOSZJTL,X,X,X,X,O,X,X,X
IOSZJLT,X,O,X,X,O,X,X,X
IOZTLJS,X,O,X,X,O,X,X,X
IOZTLSJ,X,O,X,X,O,X,X,X
IOZTJLS,X,O,X,O,X,X,X,X
IOZTJSL,X,O,X,O,X,O,X,X
IOZTSLJ,X,O,X,X,O,X,X,X
IOZTSJL,X,O,X,X,O,X,X,X
IOZLTJS,X,O,X,O,O,X,X,X
IOZLTSJ,X,O,X,O,O,X,X,X
IOZLJTS,X,X,X,O,O,X,X,X
IOZLJST,X,O,X,O,O,X,X,X
IOZLSTJ,X,O,X,O,O,X,X,X
IOZLSJT,X,O,X,X,O,X,X,X
IOZJTLS,X,O,X,O,X,X,X,X
IOZJTSL,X,O,X,O,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X
IOZJSTL,X,O,X,O,X,X,X,X
IOZJSLT,X,O,X,O,X,X,X,X
IOZSTLJ,X,O,X,X,O,X,X,X
IOZSTJL,X,O,X,X,O,X,X,X
IOZSLTJ,X,O,X,X,O,X,X,X
IOZSLJT,X,O,X,X,O,X,X,X
IOZSJTL,X,O,X,X,O,X,X,X
IOZSJLT,X,O,X,X,O,X,X,X
LTIJSZO,X,O,O,O,O,O,X,X
LTIJSOZ,X,O,O,O,O,O,O,X
LTIJZSO,X,O,O,O,O,X,X,O
LTIJZOS,X,O,O,O,O,X,O,X
LTIJOSZ,X,X,O,O,O,O,O,X
LTIJOZS,X,X,O,O,O,X,O,X
LTISJZO,X,O,O,O,O,X,X,X
LTISJOZ,X,X,O,O,O,X,O,X
LTISZJO,X,O,X,O,O,X,X,X
LTISZOJ,X,O,X,O,X,X,X,X
LTISOJZ,X,X,O,O,O,X,O,X
LTISOZJ,X,O,X,O,O,X,X,X
LTIZJSO,X,O,O,O,O,X,X,O
LTIZJOS,X,O,O,O,O,X,O,X
LTIZSJO,X,O,X,O,O,X,X,O
LTIZSOJ,X,O,X,O,O,X,X,O
LTIZOJS,X,O,O,O,O,X,O,X
LTIZOSJ,X,O,X,O,O,X,X,X
LTIOJSZ,X,X,O,O,O,O,O,X
LTIOJZS,X,X,O,O,O,X,O,X
LTIOSJZ,X,X,O,O,O,X,O,X
LTIOSZJ,X,X,X,O,O,X,X,X
LTIOZJS,X,X,O,O,O,X,O,X
LTIOZSJ,X,X,X,O,O,X,X,X
LTJISZO,X,O,O,O,O,O,X,X
LTJISOZ,X,O,O,O,O,O,O,X
LTJIZSO,X,O,O,O,O,X,X,O
LTJIZOS,X,O,O,O,O,X,O,X
LTJIOSZ,X,X,O,O,O,O,O,X
LTJIOZS,X,X,O,O,O,X,O,X
LTJSIZO,O,O,O,O,O,O,X,X
LTJSIOZ,O,O,O,O,O,O,X,X
LTJSZIO,O,O,O,O,O,O,X,O
LTJSZOI,O,O,O,O,O,O,X,O
LTJSOIZ,O,O,O,O,O,O,X,X
LTJSOZI,O,O,O,O,O,O,X,X
LTJZISO,X,O,O,O,O,X,O,O
LTJZIOS,O,O,O,O,O,X,O,X
LTJZSIO,O,O,O,O,O,X,O,O
LTJZSOI,O,O,O,O,O,X,O,O
LTJZOIS,O,O,O,O,O,X,O,X
LTJZOSI,O,O,O,O,O,X,O,O
LTJOISZ,X,X,O,O,O,O,O,X
LTJOIZS,X,X,O,O,O,X,O,X
LTJOSIZ,O,X,O,O,O,O,X,X
LTJOSZI,O,X,O,O,O,O,X,X
LTJOZIS,O,X,O,O,O,X,O,X
LTJOZSI,O,X,O,O,O,X,O,O
LTSIJZO,O,O,O,O,O,O,X,X
LTSIJOZ,O,O,O,O,O,O,X,X
LTSIZJO,O,O,X,O,O,X,X,X
LTSIZOJ,O,O,X,O,O,X,X,X
LTSIOJZ,O,X,O,O,O,O,X,X
LTSIOZJ,O,O,X,O,O,X,X,X
LTSJIZO,O,O,O,O,O,O,X,X
LTSJIOZ,O,O,O,O,O,O,X,X
LTSJZIO,O,O,O,O,O,O,X,O
LTSJZOI,O,O,O,O,O,O,X,O
LTSJOIZ,O,O,O,O,O,O,X,X
LTSJOZI,O,O,O,O,O,O,X,X
LTSZIJO,O,O,X,O,O,X,X,O
LTSZIOJ,O,O,X,O,O,X,X,O
LTSZJIO,O,O,O,O,O,O,X,O
LTSZJOI,O,O,O,O,O,O,X,O
LTSZOIJ,O,O,X,O,O,X,X,O
LTSZOJI,O,O,O,O,O,O,X,O
LTSOIJZ,O,X,O,O,O,O,X,X
LTSOIZJ,O,O,X,O,O,X,X,X
LTSOJIZ,O,O,O,O,O,O,X,X
LTSOJZI,O,O,O,O,O,O,X,X
LTSOZIJ,O,O,X,O,O,X,X,X
LTSOZJI,O,O,O,O,O,O,X,X
LTZIJSO,X,O,O,O,O,X,O,O
LTZIJOS,O,O,O,O,O,X,O,X
LTZISJO,X,O,X,O,O,X,O,O
LTZISOJ,X,O,X,O,O,X,O,O
LTZIOJS,O,O,O,O,O,X,O,X
LTZIOSJ,X,O,X,O,O,X,O,X
LTZJISO,X,O,O,O,O,X,O,O
LTZJIOS,O,O,O,O,O,X,O,X
LTZJSIO,O,O,O,O,O,X,O,O
LTZJSOI,O,O,O,O,O,X,O,O
LTZJOIS,O,O,O,O,O,X,O,X
LTZJOSI,O,O,O,O,O,X,O,O
LTZSIJO,O,O,X,O,O,X,O,O
LTZSIOJ,O,O,X,O,O,X,O,O
LTZSJIO,O,O,O,O,O,X,O,O
LTZSJOI,O,O,O,O,O,X,O,O
LTZSOIJ,O,O,X,O,O,X,O,O
LTZSOJI,O,O,O,O,O,X,O,O
LTZOIJS,O,O,O,O,O,X,O,X
LTZOISJ,X,O,X,O,O,X,O,X
LTZOJIS,O,O,O,O,O,X,O,X
LTZOJSI,O,O,O,O,O,X,O,O
LTZOSIJ,O,O,X,O,O,X,O,O
LTZOSJI,O,O,O,O,O,X,O,O
LTOIJSZ,X,X,O,O,O,O,O,X
LTOIJZS,X,X,O,O,O,X,O,X
LTOISJZ,X,X,O,O,O,X,O,X
LTOISZJ,X,X,X,O,O,X,X,X
LTOIZJS,X,X,O,O,O,X,O,X
LTOIZSJ,X,X,X,O,O,X,X,X
LTOJISZ,X,X,O,O,O,O,O,X
LTOJIZS,X,X,O,O,O,X,O,X
LTOJSIZ,O,X,O,O,O,O,X,X
LTOJSZI,O,X,O,O,O,O,X,X
LTOJZIS,O,X,O,O,O,X,O,X
LTOJZSI,O,X,O,O,O,X,O,O
LTOSIJZ,O,X,O,O,O,O,X,X
LTOSIZJ,O,X,X,O,O,X,X,X
LTOSJIZ,O,X,O,O,O,O,X,X
LTOSJZI,O,X,O,O,O,O,X,X
LTOSZIJ,O,X,X,O,O,X,X,X
LTOSZJI,O,X,O,O,O,O,X,X
LTOZIJS,O,X,O,O,O,X,O,X
LTOZISJ,X,X,X,O,O,X,O,X
LTOZJIS,O,X,O,O,O,X,O,X
LTOZJSI,O,X,O,O,O,X,O,O
LTOZSIJ,O,X,X,O,O,X,O,O
LTOZSJI,O,X,O,O,O,X,O,O
LITJSZO,X,O,O,O,O,O,X,X
LITJSOZ,X,O,O,O,O,O,X,X
LITJZSO,X,O,O,O,O,X,X,O
LITJZOS,X,O,O,O,O,X,X,X
LITJOSZ,X,X,O,O,O,O,X,X
LITJOZS,X,X,O,O,O,X,X,X
LITSJZO,X,O,O,O,O,X,X,X
LITSJOZ,X,X,O,O,O,X,X,X
LITSZJO,X,O,X,O,O,X,X,X
LITSZOJ,X,O,X,O,X,X,X,X
LITSOJZ,X,X,O,O,O,X,X,X
LITSOZJ,X,O,X,O,O,X,X,X
LITZJSO,X,O,O,O,O,X,X,O
LITZJOS,X,O,O,O,O,X,X,X
LITZSJO,X,O,X,O,O,X,X,O
LITZSOJ,X,O,X,O,O,X,X,O
LITZOJS,X,O,O,O,O,X,X,X
LITZOSJ,X,O,X,O,O,X,X,X
LITOJSZ,X,X,O,O,O,O,X,X
LITOJZS,X,X,O,O,O,X,X,X
LITOSJZ,X,X,O,O,O,X,X,X
LITOSZJ,X,X,X,O,O,X,X,X
LITOZJS,X,X,O,O,O,X,X,X
LITOZSJ,X,X,X,O,O,X,X,X
LIJTSZO,X,X,O,O,O,X,X,X
LIJTSOZ,X,X,O,O,O,X,X,X
LIJTZSO,X,X,O,O,O,X,X,O
LIJTZOS,X,X,O,O,O,X,X,X
LIJTOSZ,X,X,O,O,O,X,X,X
LIJTOZS,X,X,O,O,O,X,X,X
LIJSTZO,X,O,O,O,O,X,X,X
LIJSTOZ,X,X,O,O,O,X,X,X
LIJSZTO,X,O,X,O,O,X,X,X
LIJSZOT,X,O,X,O,O,X,X,X
LIJSOTZ,X,X,O,O,O,X,X,X
LIJSOZT,X,O,X,O,O,X,X,X
LIJZTSO,X,X,O,O,O,X,X,O
LIJZTOS,X,X,O,O,O,X,X,X
LIJZSTO,X,O,X,O,X,X,X,O
LIJZSOT,X,O,X,O,X,X,X,O
LIJZOTS,X,X,O,O,O,X,X,X
LIJZOST,X,O,X,O,X,X,X,O
LIJOTSZ,X,X,O,O,O,X,X,X
LIJOTZS,X,X,O,O,O,X,X,X
LIJOSTZ,X,X,O,O,O,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X
LIJOZTS,X,X,O,O,O,X,X,X
LIJOZST,X,X,X,O,O,X,X,X
LISTJZO,X,X,O,O,O,X,X,X
LISTJOZ,X,X,O,O,O,X,X,X
LISTZJO,X,X,X,O,O,X,X,X
LISTZOJ,X,O,X,O,O,X,X,X
LISTOJZ,X,X,O,O,O,X,X,X
LISTOZJ,X,X,X,O,O,X,X,X
LISJTZO,X,X,O,O,O,X,X,X
LISJTOZ,X,X,O,O,O,X,X,X
LISJZTO,X,X,X,O,O,X,X,X
LISJZOT,X,O,X,O,O,X,X,X
LISJOTZ,X,X,O,O,O,X,X,X
LISJOZT,X,X,X,O,O,X,X,X
LISZTJO,X,X,X,O,O,X,X,X
LISZTOJ,X,O,X,O,O,X,X,X
LISZJTO,X,X,X,O,O,X,X,X
LISZJOT,X,O,X,O,O,X,X,X
LISZOTJ,X,O,X,O,O,X,X,X
LISZOJT,X,O,X,O,O,X,X,X
LISOTJZ,X,X,O,O,O,X,X,X
LISOTZJ,X,X,X,O,O,X,X,X
LISOJTZ,X,X,O,O,O,X,X,X
LISOJZT,X,X,X,O,O,X,X,X
LISOZTJ,X,O,X,O,O,X,X,X
LISOZJT,X,O,X,O,O,X,X,X
LIZTJSO,X,O,O,O,O,X,X,O
LIZTJOS,X,O,O,O,O,X,X,X
LIZTSJO,X,O,X,O,O,X,X,O
LIZTSOJ,X,O,X,O,O,X,X,O
LIZTOJS,X,O,O,O,O,X,X,X
LIZTOSJ,X,O,X,O,O,X,X,X
LIZJTSO,X,X,O,O,O,X,X,O
LIZJTOS,X,X,O,O,O,X,X,X
LIZJSTO,X,O,X,O,X,X,X,O
LIZJSOT,X,O,X,O,X,X,X,O
LIZJOTS,X,X,O,O,O,X,X,X
LIZJOST,X,O,X,O,X,X,X,O
LIZSTJO,X,X,X,O,X,X,X,O
LIZSTOJ,X,O,X,O,X,X,X,O
LIZSJTO,X,X,X,O,X,X,X,O
LIZSJOT,X,O,X,O,X,X,X,O
LIZSOTJ,X,O,X,O,X,X,X,O
LIZSOJT,X,O,X,O,X,X,X,O
LIZOTJS,X,O,O,O,O,X,X,X
LIZOTSJ,X,O,X,O,O,X,X,X
LIZOJTS,X,X,O,O,O,X,X,X
LIZOJST,X,O,X,O,X,X,X,O
LIZOSTJ,X,O,X,O,X,X,X,O
LIZOSJT,X,O,X,X,X,X,X,O
LIOTJSZ,X,X,O,O,O,O,X,X
LIOTJZS,X,X,O,O,O,X,X,X
LIOTSJZ,X,X,O,O,O,X,X,X
LIOTSZJ,X,X,X,O,O,X,X,X
LIOTZJS,X,X,O,O,O,X,X,X
LIOTZSJ,X,X,X,O,O,X,X,X
LIOJTSZ,X,X,O,O,O,X,X,X
LIOJTZS,X,X,O,O,O,X,X,X
LIOJSTZ,X,X,O,O,O,X,X,X
LIOJSZT,X,X,X,O,O,X,X,X
LIOJZTS,X,X,O,O,O,X,X,X
LIOJZST,X,X,X,O,O,X,X,X
LIOSTJZ,X,X,O,O,O,X,X,X
