sequence,v115@IhB8FeD8EeD8FeB8Jei/IvhFfmB0hBxiBusB1vBzrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFFhBxiB+qB3nBTrBUsB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFiBXjBWrBTsBxvB,v115@IhB8FeD8EeD8FeB8Jei/IvhFRhBFjBzmB+sBUrB3qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFWmBxiBlnB3qBUsBTrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzgBxiBlnB3qBUsB+rB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFjB+qBTnB3mBxwB,v115@IhB8FeD8EeD8FeB8Jei/IvhFxhBXjBlmBUrBTsB+qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzhBFjB+sBRrBUrB3qB
IJSZLTO,X,X,O,X,X,X,X,X,O
IJSZLOT,X,O,O,X,X,X,O,X,O
IJSZOTL,X,O,O,X,X,X,O,X,O
IJSZOLT,X,O,O,X,X,X,O,X,O
IJSOTLZ,O,O,O,X,X,X,O,X,O
IJSOTZL,O,O,O,X,X,X,O,X,O
IJSOLTZ,O,O,O,X,X,X,O,X,O
IJSOLZT,X,O,O,X,X,X,O,X,O
IJSOZTL,X,O,O,X,X,X,O,X,O
IJSOZLT,X,O,O,X,X,X,O,X,O
IJZTLSO,O,X,O,X,X,X,X,X,O
IJZTLOS,O,O,O,O,X,X,O,X,O
IJZTSLO,O,X,O,X,X,X,X,X,O
IJZTSOL,O,X,O,X,X,X,X,X,O
IJZTOLS,O,X,O,O,X,X,O,X,O
IJZTOSL,O,X,O,O,X,X,O,X,O
IJZLTSO,O,X,O,X,X,X,X,X,O
IJZLTOS,O,O,O,O,X,X,O,X,O
IJZLSTO,X,X,O,X,X,X,X,X,O
IJZLSOT,X,O,O,X,X,X,O,X,O
IJZLOTS,O,O,O,O,X,X,O,X,O
IJZLOST,X,X,O,O,X,X,O,X,O
IJZSTLO,X,X,O,X,X,X,X,X,O
IJZSTOL,X,X,O,X,X,X,X,X,O
IJZSLTO,X,X,O,X,X,X,X,X,O
IJZSLOT,X,O,O,X,X,X,O,X,O
IJZSOTL,X,O,O,X,X,X,O,X,O
IJZSOLT,X,O,O,X,X,X,O,X,O
IJZOTLS,O,O,O,O,X,X,O,X,O
IJZOTSL,O,X,O,O,X,X,O,X,O
IJZOLTS,O,O,O,O,X,X,O,X,O
IJZOLST,X,X,O,O,X,X,O,X,O
IJZOSTL,X,X,O,O,X,X,O,X,O
IJZOSLT,X,X,O,O,X,X,O,X,O
IJOTLSZ,O,O,O,O,X,X,O,X,O
IJOTLZS,O,O,O,O,X,X,O,X,O
IJOTSLZ,O,O,O,O,X,X,O,X,O
IJOTSZL,O,O,O,X,X,X,O,X,O
IJOTZLS,O,O,O,O,X,X,O,X,O
IJOTZSL,O,X,O,O,X,X,O,X,O
IJOLTSZ,O,O,O,O,X,X,O,X,O
IJOLTZS,O,O,O,O,X,X,O,X,O
IJOLSTZ,O,O,O,O,X,X,O,X,O
IJOLSZT,X,O,O,X,X,X,O,X,O
IJOLZTS,O,O,O,O,X,X,O,X,O
IJOLZST,X,X,O,O,X,X,O,X,O
IJOSTLZ,O,O,O,O,X,X,O,X,O
IJOSTZL,O,O,O,X,X,X,O,X,O
IJOSLTZ,O,O,O,O,X,X,O,X,O
IJOSLZT,X,O,O,X,X,X,O,X,O
IJOSZTL,X,O,O,X,X,X,O,X,O
IJOSZLT,X,O,O,X,X,X,O,X,O
IJOZTLS,O,O,O,O,X,X,O,X,O
IJOZTSL,O,X,O,O,X,X,O,X,O
IJOZLTS,O,O,O,O,X,X,O,X,O
IJOZLST,X,X,O,O,X,X,O,X,O
IJOZSTL,X,X,O,O,X,X,O,X,O
IJOZSLT,X,X,O,O,X,X,O,X,O
ISTLJZO,O,X,O,X,O,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,O,X,X
ISTLZJO,O,X,O,X,O,O,X,X,X
ISTLZOJ,O,X,X,X,O,O,X,X,X
ISTLOJZ,O,O,O,X,X,X,O,X,X
ISTLOZJ,O,X,X,X,X,X,X,X,X
ISTJLZO,O,X,O,X,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,O,X,X
ISTJZLO,O,X,O,X,X,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X,X,X
ISTJOLZ,O,O,O,X,X,X,O,X,X
ISTJOZL,O,O,O,X,X,X,O,X,X
ISTZLJO,O,X,O,X,O,O,X,X,X
ISTZLOJ,O,X,X,X,O,O,X,X,X
ISTZJLO,O,X,O,X,O,O,X,X,X
ISTZJOL,O,X,O,X,O,O,X,X,X
ISTZOLJ,O,X,X,X,O,O,X,X,X
ISTZOJL,X,X,X,X,O,O,X,X,X
ISTOLJZ,O,O,O,X,X,X,O,X,X
ISTOLZJ,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,O,X,X
ISTOJZL,O,O,O,X,X,X,O,X,X
ISTOZLJ,O,X,X,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X,X
ISLTJZO,O,X,O,X,O,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,O,X,X
ISLTZJO,O,X,O,X,O,O,X,X,X
ISLTZOJ,O,X,X,X,O,O,X,X,X
ISLTOJZ,O,O,O,X,X,X,O,X,X
ISLTOZJ,O,X,X,X,X,X,X,X,X
ISLJTZO,O,X,O,X,O,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,O,X,X
ISLJZTO,X,X,O,X,O,X,X,X,X
ISLJZOT,X,O,O,X,X,X,O,X,X
ISLJOTZ,O,O,O,X,X,X,O,X,X
ISLJOZT,X,O,O,X,X,X,O,X,X
ISLZTJO,X,X,O,X,O,O,X,X,X
ISLZTOJ,X,X,X,X,O,O,X,X,X
ISLZJTO,X,X,O,X,O,X,X,X,X
ISLZJOT,X,O,O,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,X,X
ISLZOJT,X,O,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,X,X,X,O,X,X
ISLOTZJ,O,X,O,X,X,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,O,X,X
ISLOJZT,X,O,O,X,X,X,O,X,X
ISLOZTJ,X,X,O,X,X,O,X,O,X
ISLOZJT,X,O,O,X,X,X,X,X,X
ISJTLZO,O,X,O,X,O,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,O,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X
ISJTOLZ,O,O,O,X,X,X,O,X,X
ISJTOZL,O,O,O,X,X,X,O,X,X
ISJLTZO,O,X,O,X,O,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,O,X,X
ISJLZTO,X,X,O,X,O,X,X,X,X
ISJLZOT,X,O,O,X,X,X,O,X,X
ISJLOTZ,O,O,O,X,X,X,O,X,X
ISJLOZT,X,O,O,X,X,X,O,X,X
ISJZTLO,X,X,O,X,O,X,X,X,X
ISJZTOL,X,X,O,X,O,X,X,X,X
ISJZLTO,X,X,O,X,O,X,X,X,X
ISJZLOT,X,O,O,X,X,X,O,X,X
ISJZOTL,X,O,O,X,X,X,O,X,X
ISJZOLT,X,O,O,X,X,X,O,X,X
ISJOTLZ,O,O,O,X,X,X,O,X,X
ISJOTZL,O,O,O,X,X,X,O,X,X
ISJOLTZ,O,O,O,X,X,X,O,X,X
ISJOLZT,X,O,O,X,X,X,O,X,X
ISJOZTL,X,O,O,X,X,X,O,X,X
ISJOZLT,X,O,O,X,X,X,O,X,X
ISZTLJO,X,X,O,X,O,O,X,X,X
ISZTLOJ,X,X,X,X,O,O,X,X,X
ISZTJLO,X,X,O,X,O,O,X,X,X
ISZTJOL,X,X,O,X,O,O,X,X,X
ISZTOLJ,X,X,X,X,O,O,X,X,X
ISZTOJL,X,X,X,X,O,O,X,X,X
ISZLTJO,X,X,O,X,O,O,X,X,X
ISZLTOJ,X,X,X,X,O,O,X,X,X
ISZLJTO,X,X,O,X,O,X,X,X,X
ISZLJOT,X,O,O,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,O,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,O,X,X,X,X
ISZJTOL,X,X,O,X,O,X,X,X,X
ISZJLTO,X,X,O,X,O,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X,X
ISZJOTL,X,O,O,X,X,X,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,O,X,X,X
ISZOTJL,X,X,X,X,X,O,X,X,X
ISZOLTJ,X,X,X,X,X,O,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X
ISZOJTL,X,O,X,X,X,X,X,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,X,O,X,X
ISOTLZJ,O,X,O,X,X,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,O,X,X
ISOTJZL,O,O,O,X,X,X,O,X,X
ISOTZLJ,O,X,O,X,X,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,X,X,O,X,X
ISOLTZJ,O,X,O,X,X,X,X,X,X
ISOLJTZ,X,O,O,X,X,X,O,X,X
ISOLJZT,X,O,O,X,X,X,O,X,X
ISOLZTJ,X,X,O,X,X,O,X,O,X
ISOLZJT,X,O,O,X,X,X,X,X,X
ISOJTLZ,X,O,O,X,X,X,O,X,X
ISOJTZL,X,O,O,X,X,X,O,X,X
ISOJLTZ,X,O,O,X,X,X,O,X,X
ISOJLZT,X,O,O,X,X,X,O,X,X
ISOJZTL,X,O,O,X,X,X,O,X,X
ISOJZLT,X,O,O,X,X,X,O,X,X
ISOZTLJ,X,X,O,X,X,O,X,O,X
ISOZTJL,X,X,O,X,X,O,X,O,X
ISOZLTJ,X,X,O,X,X,O,X,O,X
ISOZLJT,X,O,O,X,X,X,X,X,X
ISOZJTL,X,O,O,X,X,X,X,X,X
ISOZJLT,X,O,O,X,X,X,X,X,X
IZTLJSO,O,X,X,X,O,O,X,X,X
IZTLJOS,O,X,X,O,X,X,O,X,X
IZTLSJO,O,X,X,X,O,O,X,X,X
IZTLSOJ,O,X,X,X,O,O,X,X,X
IZTLOJS,X,X,X,X,X,X,O,X,X
IZTLOSJ,O,X,X,X,O,O,X,X,X
IZTJLSO,O,X,X,X,O,O,X,X,X
IZTJLOS,O,X,X,O,X,X,O,X,X
IZTJSLO,O,X,X,X,O,O,X,X,X
IZTJSOL,O,X,X,X,O,O,X,X,X
IZTJOLS,O,X,X,O,X,X,O,X,X
IZTJOSL,O,X,X,O,X,X,O,X,X
IZTSLJO,O,X,X,X,O,O,X,X,X
IZTSLOJ,O,X,X,X,O,O,X,X,X
IZTSJLO,O,X,X,X,O,O,X,X,X
IZTSJOL,O,X,X,X,O,O,X,X,X
IZTSOLJ,O,X,X,X,O,O,X,X,X
IZTSOJL,X,X,X,X,O,O,X,X,X
IZTOLJS,X,X,X,X,X,X,O,X,X
IZTOLSJ,O,X,X,X,O,O,X,X,X
IZTOJLS,X,X,X,X,X,X,O,X,X
IZTOJSL,X,X,X,X,X,X,O,X,X
IZTOSLJ,O,X,X,X,O,O,X,X,X
IZTOSJL,O,X,X,X,O,O,X,X,X
IZLTJSO,O,X,X,X,O,O,X,X,X
IZLTJOS,O,X,X,O,X,X,O,X,X
IZLTSJO,O,X,X,X,O,O,X,X,X
IZLTSOJ,O,X,X,X,O,O,X,X,X
IZLTOJS,X,X,X,X,X,X,O,X,X
IZLTOSJ,O,X,X,X,O,O,X,X,X
IZLJTSO,O,X,O,X,X,X,X,X,X
IZLJTOS,O,O,O,O,X,X,O,X,X
IZLJSTO,X,X,O,X,X,X,X,X,X
IZLJSOT,X,O,O,X,X,X,O,X,X
IZLJOTS,O,O,O,O,X,X,O,X,X
IZLJOST,X,X,O,O,X,X,O,X,X
IZLSTJO,X,X,O,X,O,O,X,X,X
IZLSTOJ,X,X,X,X,O,O,X,X,X
IZLSJTO,X,X,O,X,O,X,X,X,X
IZLSJOT,X,O,O,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,O,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X,X
IZLOTJS,X,X,O,O,X,X,O,O,X
IZLOTSJ,O,X,O,X,X,X,X,O,X
IZLOJTS,X,O,O,O,X,X,O,X,X
IZLOJST,X,X,O,O,X,X,O,X,X
IZLOSTJ,X,X,O,X,X,X,X,O,X
IZLOSJT,X,X,O,O,X,X,X,X,X
IZJTLSO,O,X,O,X,X,X,X,X,X
IZJTLOS,O,O,O,O,X,X,O,X,X
IZJTSLO,O,X,O,X,X,X,X,X,X
IZJTSOL,O,X,O,X,X,X,X,X,X
IZJTOLS,O,X,O,O,X,X,O,X,X
IZJTOSL,O,X,O,O,X,X,O,X,X
IZJLTSO,O,X,O,X,X,X,X,X,X
IZJLTOS,O,O,O,O,X,X,O,X,X
IZJLSTO,X,X,O,X,X,X,X,X,X
IZJLSOT,X,O,O,X,X,X,O,X,X
IZJLOTS,O,O,O,O,X,X,O,X,X
IZJLOST,X,X,O,O,X,X,O,X,X
IZJSTLO,X,X,O,X,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X,X
IZJSLOT,X,O,O,X,X,X,O,X,X
IZJSOTL,X,O,O,X,X,X,O,X,X
IZJSOLT,X,O,O,X,X,X,O,X,X
IZJOTLS,O,O,O,O,X,X,O,X,X
IZJOTSL,O,X,O,O,X,X,O,X,X
IZJOLTS,O,O,O,O,X,X,O,X,X
IZJOLST,X,X,O,O,X,X,O,X,X
IZJOSTL,X,X,O,O,X,X,O,X,X
IZJOSLT,X,X,O,O,X,X,O,X,X
IZSTLJO,X,X,O,X,O,O,X,X,X
IZSTLOJ,X,X,X,X,O,O,X,X,X
IZSTJLO,X,X,O,X,O,O,X,X,X
IZSTJOL,X,X,O,X,O,O,X,X,X
IZSTOLJ,X,X,X,X,O,O,X,X,X
IZSTOJL,X,X,X,X,O,O,X,X,X
IZSLTJO,X,X,O,X,O,O,X,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X
IZSLJTO,X,X,O,X,O,X,X,X,X
IZSLJOT,X,O,O,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,O,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,O,X,X,X,X
IZSJTOL,X,X,O,X,O,X,X,X,X
IZSJLTO,X,X,O,X,O,X,X,X,X
IZSJLOT,X,O,O,X,X,X,X,X,X
IZSJOTL,X,O,O,X,X,X,X,X,X
IZSJOLT,X,O,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,O,X,X,X
IZSOTJL,X,X,X,X,X,O,X,X,X
IZSOLTJ,X,X,X,X,X,O,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,X,X,O,O,X
IZOTLSJ,O,X,O,X,X,X,X,O,X
IZOTJLS,X,X,O,O,X,X,O,O,X
IZOTJSL,X,X,O,O,X,X,O,O,X
IZOTSLJ,O,X,O,X,X,X,X,O,X
IZOTSJL,O,X,O,X,X,X,X,O,X
IZOLTJS,X,X,O,O,X,X,O,O,X
IZOLTSJ,O,X,O,X,X,X,X,O,X
IZOLJTS,X,O,O,O,X,X,O,X,X
IZOLJST,X,X,O,O,X,X,O,X,X
IZOLSTJ,X,X,O,X,X,X,X,O,X
IZOLSJT,X,X,O,O,X,X,X,X,X
IZOJTLS,X,O,O,O,X,X,O,X,X
IZOJTSL,X,X,O,O,X,X,O,X,X
IZOJLTS,X,O,O,O,X,X,O,X,X
IZOJLST,X,X,O,O,X,X,O,X,X
IZOJSTL,X,X,O,O,X,X,O,X,X
IZOJSLT,X,X,O,O,X,X,O,X,X
IZOSTLJ,X,X,O,X,X,X,X,O,X
IZOSTJL,X,X,O,X,X,X,X,O,X
IZOSLTJ,X,X,O,X,X,X,X,O,X
IZOSLJT,X,X,O,O,X,X,X,X,X
IZOSJTL,X,X,O,O,X,X,X,X,X
IZOSJLT,X,X,O,O,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,X,O,X,X
IOTLJZS,O,O,O,X,X,X,O,X,X
IOTLSJZ,O,X,O,X,X,X,O,X,X
IOTLSZJ,O,X,O,X,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,O,X,X
IOTLZSJ,O,X,O,X,O,O,X,X,X
IOTJLSZ,O,O,O,X,X,X,O,X,X
IOTJLZS,O,O,O,X,X,X,O,X,X
IOTJSLZ,O,O,O,X,X,X,O,X,X
IOTJSZL,O,X,O,X,X,X,O,X,X
IOTJZLS,O,O,O,X,X,X,O,X,X
IOTJZSL,O,X,O,X,X,X,O,X,X
IOTSLJZ,O,X,O,X,X,X,O,X,X
IOTSLZJ,O,X,O,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,X,X,O,X,X
IOTSJZL,O,X,O,X,X,X,O,X,X
IOTSZLJ,O,X,O,X,X,X,X,X,X
IOTSZJL,O,X,O,X,X,X,X,X,X
IOTZLJS,X,X,O,X,X,X,O,X,X
IOTZLSJ,O,X,O,X,O,O,X,X,X
IOTZJLS,X,X,O,X,X,X,O,X,X
IOTZJSL,X,X,O,X,X,X,O,X,X
IOTZSLJ,O,X,O,X,O,O,X,X,X
IOTZSJL,O,X,O,X,O,O,X,X,X
IOLTJSZ,O,O,O,X,X,X,O,X,X
IOLTJZS,O,O,O,X,X,X,O,X,X
IOLTSJZ,O,X,O,X,X,X,O,X,X
IOLTSZJ,O,X,O,X,X,X,X,X,X
IOLTZJS,X,X,O,X,X,X,O,X,X
IOLTZSJ,O,X,O,X,O,O,X,X,X
IOLJTSZ,O,O,O,X,X,X,O,X,X
IOLJTZS,O,O,O,X,X,X,O,X,X
IOLJSTZ,O,O,O,X,X,X,O,X,X
IOLJSZT,X,O,O,X,X,X,O,X,X
IOLJZTS,O,O,O,X,X,X,O,X,X
IOLJZST,X,X,O,X,X,X,O,X,X
IOLSTJZ,O,O,O,X,X,X,O,X,X
IOLSTZJ,O,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,O,X,X,X,O,X,X
IOLSJZT,X,O,O,X,X,X,O,X,X
IOLSZTJ,X,X,O,X,X,X,X,O,X
IOLSZJT,X,O,O,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,O,O,X
IOLZTSJ,O,X,O,X,X,X,X,O,X
IOLZJTS,X,O,O,X,X,X,O,X,X
IOLZJST,X,X,O,X,X,X,O,X,X
IOLZSTJ,X,X,O,X,X,X,X,O,X
IOLZSJT,X,X,O,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,X,O,X,X
IOJTLZS,O,O,O,X,X,X,O,X,X
IOJTSLZ,O,O,O,X,X,X,O,X,X
IOJTSZL,O,O,O,X,X,X,O,X,X
IOJTZLS,O,O,O,X,X,X,O,X,X
IOJTZSL,O,X,O,X,X,X,O,X,X
IOJLTSZ,O,O,O,X,X,X,O,X,X
IOJLTZS,O,O,O,X,X,X,O,X,X
IOJLSTZ,O,O,O,X,X,X,O,X,X
IOJLSZT,X,O,O,X,X,X,O,X,X
IOJLZTS,O,O,O,X,X,X,O,X,X
IOJLZST,X,X,O,X,X,X,O,X,X
IOJSTLZ,O,O,O,X,X,X,O,X,X
IOJSTZL,O,O,O,X,X,X,O,X,X
IOJSLTZ,O,O,O,X,X,X,O,X,X
IOJSLZT,X,O,O,X,X,X,O,X,X
IOJSZTL,X,O,O,X,X,X,O,X,X
IOJSZLT,X,O,O,X,X,X,O,X,X
IOJZTLS,O,O,O,X,X,X,O,X,X
IOJZTSL,O,X,O,X,X,X,O,X,X
IOJZLTS,O,O,O,X,X,X,O,X,X
IOJZLST,X,X,O,X,X,X,O,X,X
IOJZSTL,X,X,O,X,X,X,O,X,X
IOJZSLT,X,X,O,X,X,X,O,X,X
IOSTLJZ,O,O,O,X,X,X,O,X,X
IOSTLZJ,O,X,O,X,X,X,X,X,X
IOSTJLZ,O,O,O,X,X,X,O,X,X
IOSTJZL,O,O,O,X,X,X,O,X,X
IOSTZLJ,O,X,O,X,X,X,X,X,X
IOSTZJL,O,X,O,X,X,X,X,X,X
IOSLTJZ,O,O,O,X,X,X,O,X,X
IOSLTZJ,O,X,O,X,X,X,X,X,X
IOSLJTZ,X,O,O,X,X,X,O,X,X
IOSLJZT,X,O,O,X,X,X,O,X,X
IOSLZTJ,X,X,O,X,X,X,X,O,X
IOSLZJT,X,O,O,X,X,X,X,X,X
IOSJTLZ,X,O,O,X,X,X,O,X,X
IOSJTZL,X,O,O,X,X,X,O,X,X
IOSJLTZ,X,O,O,X,X,X,O,X,X
IOSJLZT,X,O,O,X,X,X,O,X,X
IOSJZTL,X,O,O,X,X,X,O,X,X
IOSJZLT,X,O,O,X,X,X,O,X,X
IOSZTLJ,X,X,O,X,X,X,X,O,X
IOSZTJL,X,X,O,X,X,X,X,O,X
IOSZLTJ,X,X,O,X,X,X,X,O,X
IOSZLJT,X,O,O,X,X,X,X,X,X
IOSZJTL,X,O,O,X,X,X,X,X,X
IOSZJLT,X,O,O,X,X,X,X,X,X
IOZTLJS,X,X,O,X,X,X,O,O,X
IOZTLSJ,O,X,O,X,X,X,X,O,X
IOZTJLS,X,X,O,X,X,X,O,O,X
IOZTJSL,X,X,O,X,X,X,O,O,X
IOZTSLJ,O,X,O,X,X,X,X,O,X
IOZTSJL,O,X,O,X,X,X,X,O,X
IOZLTJS,X,X,O,X,X,X,O,O,X
IOZLTSJ,O,X,O,X,X,X,X,O,X
IOZLJTS,X,O,O,X,X,X,O,X,X
IOZLJST,X,X,O,X,X,X,O,X,X
IOZLSTJ,X,X,O,X,X,X,X,O,X
IOZLSJT,X,X,O,X,X,X,X,X,X
IOZJTLS,X,O,O,X,X,X,O,X,X
IOZJTSL,X,X,O,X,X,X,O,X,X
IOZJLTS,X,O,O,X,X,X,O,X,X
IOZJLST,X,X,O,X,X,X,O,X,X
IOZJSTL,X,X,O,X,X,X,O,X,X
IOZJSLT,X,X,O,X,X,X,O,X,X
IOZSTLJ,X,X,O,X,X,X,X,O,X
IOZSTJL,X,X,O,X,X,X,X,O,X
IOZSLTJ,X,X,O,X,X,X,X,O,X
IOZSLJT,X,X,O,X,X,X,X,X,X
IOZSJTL,X,X,O,X,X,X,X,X,X
IOZSJLT,X,X,O,X,X,X,X,X,X
LTIJSZO,O,X,O,X,X,X,X,X,O
LTIJSOZ,O,O,O,X,X,X,O,X,O
LTIJZSO,O,X,O,X,O,O,X,X,O
LTIJZOS,O,O,O,O,X,X,O,X,O
LTIJOSZ,O,O,O,O,X,X,O,X,O
LTIJOZS,O,O,O,O,X,X,O,X,O
LTISJZO,O,X,O,X,O,X,X,X,X
LTISJOZ,O,O,O,X,X,X,O,X,X
LTISZJO,O,X,O,X,O,O,X,X,X
LTISZOJ,O,X,X,X,O,O,X,X,X
LTISOJZ,O,O,O,X,X,X,O,X,X
LTISOZJ,O,X,X,X,X,X,X,X,X
LTIZJSO,O,X,X,X,O,O,X,X,X
LTIZJOS,O,X,X,O,X,X,O,X,X
LTIZSJO,O,X,X,X,O,O,X,X,X
LTIZSOJ,O,X,X,X,O,O,X,X,X
LTIZOJS,X,X,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,O,O,X,X,X
LTIOJSZ,O,O,O,X,X,X,O,X,X
LTIOJZS,O,O,O,X,X,X,O,X,X
LTIOSJZ,O,X,O,X,X,X,O,X,X
LTIOSZJ,O,X,O,X,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,O,X,X
LTIOZSJ,O,X,O,X,O,O,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,O
LTJISOZ,O,O,X,X,X,X,O,X,O
LTJIZSO,O,X,X,X,O,O,X,X,O
LTJIZOS,O,O,X,O,X,X,O,X,O
LTJIOSZ,O,O,X,O,X,X,O,X,O
LTJIOZS,O,O,X,O,X,X,O,X,O
LTJSIZO,O,X,X,X,O,X,X,X,O
LTJSIOZ,O,O,X,X,X,X,O,X,O
LTJSZIO,O,X,X,X,O,X,X,X,X
LTJSZOI,O,X,X,O,O,X,X,X,X
LTJSOIZ,O,O,X,O,X,X,X,X,X
LTJSOZI,O,O,X,O,O,X,X,X,X
LTJZISO,O,X,X,X,O,O,X,X,O
LTJZIOS,O,O,X,O,X,X,O,X,O
LTJZSIO,O,X,X,X,O,O,X,X,X
LTJZSOI,O,X,X,O,O,O,X,X,X
LTJZOIS,O,O,X,O,X,X,X,X,X
LTJZOSI,O,O,X,O,X,X,X,X,X
LTJOISZ,O,O,X,O,X,X,O,X,O
LTJOIZS,O,O,X,O,X,X,O,X,O
LTJOSIZ,O,O,X,O,X,X,X,X,X
LTJOSZI,O,O,X,O,X,X,X,X,X
LTJOZIS,O,O,X,O,X,X,X,X,X
LTJOZSI,O,O,X,O,X,X,X,X,X
LTSIJZO,O,X,O,X,O,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,O,X,X
LTSIZJO,O,X,O,X,O,O,X,X,X
LTSIZOJ,O,X,X,X,O,O,X,X,X
LTSIOJZ,O,O,O,X,X,X,O,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X
LTSJIZO,O,X,O,X,O,X,X,X,O
LTSJIOZ,O,O,O,X,X,X,O,X,O
LTSJZIO,O,X,X,X,O,X,X,X,X
LTSJZOI,O,X,X,O,O,X,X,X,X
LTSJOIZ,O,O,X,O,X,X,X,X,X
LTSJOZI,O,O,X,O,O,X,X,X,X
LTSZIJO,O,X,O,X,O,O,X,X,X
LTSZIOJ,O,X,X,X,O,O,X,X,X
LTSZJIO,O,X,X,X,O,O,X,X,X
LTSZJOI,O,X,X,O,O,O,X,X,X
LTSZOIJ,O,X,X,X,O,O,X,X,X
LTSZOJI,O,X,X,X,O,O,X,X,X
LTSOIJZ,O,O,O,X,X,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,X,X,X
LTSOJZI,O,O,X,X,O,X,X,X,X
LTSOZIJ,O,X,X,X,X,O,X,O,X
LTSOZJI,O,X,X,X,X,O,X,O,X
LTZIJSO,O,X,X,X,O,O,X,X,X
LTZIJOS,O,X,X,O,X,X,O,X,X
LTZISJO,O,X,X,X,O,O,X,X,X
LTZISOJ,O,X,X,X,O,O,X,X,X
LTZIOJS,X,X,X,X,X,X,O,X,X
LTZIOSJ,O,X,X,X,O,O,X,X,X
LTZJISO,O,X,X,X,O,O,X,X,O
LTZJIOS,O,X,X,O,X,X,O,X,O
LTZJSIO,O,X,X,X,O,O,X,X,X
LTZJSOI,O,X,X,O,O,O,X,X,X
LTZJOIS,O,X,X,O,X,X,X,X,X
LTZJOSI,O,X,X,O,X,X,X,X,X
LTZSIJO,O,X,X,X,O,O,X,X,X
LTZSIOJ,O,X,X,X,O,O,X,X,X
LTZSJIO,O,X,X,X,O,O,X,X,X
LTZSJOI,O,X,X,O,O,O,X,X,X
LTZSOIJ,O,X,X,X,O,O,X,X,X
LTZSOJI,O,X,X,X,O,O,X,X,X
LTZOIJS,X,X,X,O,X,X,X,O,X
LTZOISJ,O,X,X,X,O,O,X,O,X
LTZOJIS,O,X,X,O,X,X,X,O,X
LTZOJSI,O,X,X,O,X,X,X,O,X
LTZOSIJ,O,X,X,X,O,O,X,O,X
LTZOSJI,O,X,X,X,O,O,X,O,X
LTOIJSZ,O,O,X,X,X,X,O,X,X
LTOIJZS,O,O,X,X,X,X,O,X,X
LTOISJZ,O,X,X,X,X,X,O,X,X
