sequence,v115@NhA8IeB8AeD8BeE8JeOEJvhFxgBliBcoBzkBCmBXrB,v115@NhA8IeB8AeD8BeE8Je0/IvhF6lBThBxiB2pBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXgB6mBliBcoBRqBzqB,v115@NhA8IeB8AeD8BeE8JeKEJvhFGgBThBxiBUlBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhF0gBxiBzkBSrBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXhBxiBzkBSrBFoB0qB,v115@NhA8IeB8AeD8BeE8JeKEJvhFflBThBxiBWrBFoB0qB
TSZLOIJ,O,O,X,O,X,X,X
TSZLOJI,O,O,X,O,X,X,X
TSZJILO,O,O,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X
TSZJOLI,O,O,X,X,X,X,X
TSZOILJ,O,O,X,O,X,X,X
TSZOIJL,O,O,X,X,X,X,X
TSZOLIJ,O,O,X,O,X,X,X
TSZOLJI,O,O,X,O,X,X,X
TSZOJIL,O,O,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X
TSOILJZ,X,O,X,O,O,O,X
TSOILZJ,X,O,X,O,O,O,X
TSOIJLZ,X,O,X,O,O,O,X
TSOIJZL,O,O,X,X,O,X,X
TSOIZLJ,O,O,X,O,O,X,X
TSOIZJL,O,O,X,X,O,X,X
TSOLIJZ,O,O,X,O,O,O,X
TSOLIZJ,O,O,X,O,O,O,X
TSOLJIZ,O,O,X,O,O,O,X
TSOLJZI,O,O,X,O,O,O,X
TSOLZIJ,O,O,X,O,O,O,X
TSOLZJI,O,O,X,O,O,O,X
TSOJILZ,X,O,X,O,O,O,X
TSOJIZL,O,O,X,X,O,X,X
TSOJLIZ,O,O,X,O,O,O,X
TSOJLZI,O,O,X,O,O,O,X
TSOJZIL,O,O,X,X,O,X,X
TSOJZLI,O,O,X,X,O,X,X
TSOZILJ,O,O,X,O,O,X,X
TSOZIJL,O,O,X,X,O,X,X
TSOZLIJ,O,O,X,O,O,X,X
TSOZLJI,O,O,X,O,O,X,X
TSOZJIL,O,O,X,X,O,X,X
TSOZJLI,O,O,X,X,O,X,X
TZILJSO,X,X,O,O,X,X,O
TZILJOS,X,X,O,O,O,X,O
TZILSJO,X,X,O,O,X,X,O
TZILSOJ,X,X,O,O,O,O,X
TZILOJS,X,X,O,O,O,O,X
TZILOSJ,X,X,O,O,O,O,X
TZIJLSO,X,O,O,X,X,X,O
TZIJLOS,X,O,O,X,X,X,O
TZIJSLO,O,O,O,X,X,X,X
TZIJSOL,O,O,O,X,X,X,X
TZIJOLS,O,O,O,X,O,O,O
TZIJOSL,O,O,O,X,O,X,X
TZISLJO,O,O,O,O,X,X,X
TZISLOJ,O,O,O,O,X,X,X
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,X
TZISOLJ,O,O,O,O,X,X,X
TZISOJL,O,O,O,X,X,X,X
TZIOLJS,O,X,O,X,O,O,X
TZIOLSJ,X,X,O,X,O,O,X
TZIOJLS,O,X,O,X,O,O,X
TZIOJSL,O,X,O,X,O,X,X
TZIOSLJ,O,X,O,X,O,X,X
TZIOSJL,O,X,O,X,O,X,X
TZLIJSO,X,X,O,O,X,X,O
TZLIJOS,X,X,O,O,O,X,O
TZLISJO,X,X,O,O,X,X,O
TZLISOJ,X,X,O,O,O,O,X
TZLIOJS,X,X,O,O,O,O,X
TZLIOSJ,X,X,O,O,O,O,X
TZLJISO,X,X,O,O,X,X,O
TZLJIOS,X,X,O,O,O,X,O
TZLJSIO,O,X,O,O,X,X,O
TZLJSOI,O,X,X,O,X,X,O
TZLJOIS,O,X,O,O,O,X,O
TZLJOSI,O,X,X,O,O,X,O
TZLSIJO,O,X,O,O,X,X,O
TZLSIOJ,O,X,O,O,O,O,X
TZLSJIO,O,X,O,O,X,X,O
TZLSJOI,O,X,X,O,X,X,O
TZLSOIJ,O,X,X,O,O,O,X
TZLSOJI,O,X,X,O,O,O,X
TZLOIJS,O,X,O,O,O,O,X
TZLOISJ,X,X,O,O,O,O,X
TZLOJIS,O,X,O,O,O,O,X
TZLOJSI,O,X,X,O,O,O,X
TZLOSIJ,O,X,X,O,O,O,X
TZLOSJI,O,X,X,O,O,O,X
TZJILSO,X,O,O,X,X,X,O
TZJILOS,X,O,O,X,X,X,O
TZJISLO,O,O,O,X,X,X,X
TZJISOL,O,O,O,X,X,X,X
TZJIOLS,O,O,O,X,O,O,O
TZJIOSL,O,O,O,X,O,X,X
TZJLISO,X,O,O,X,X,X,O
TZJLIOS,X,O,O,X,X,X,O
TZJLSIO,O,O,O,X,X,X,O
TZJLSOI,O,O,X,X,X,X,O
TZJLOIS,O,O,O,X,X,X,O
TZJLOSI,O,O,X,X,X,X,O
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X
TZJOILS,O,O,O,X,O,O,O
TZJOISL,O,O,O,X,O,X,X
TZJOLIS,O,O,O,X,O,O,O
TZJOLSI,O,O,X,X,O,O,O
TZJOSIL,O,O,X,X,O,X,X
TZJOSLI,O,O,X,X,O,X,X
TZSILJO,O,O,O,O,X,X,X
TZSILOJ,O,O,O,O,X,X,X
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,X
TZSIOJL,O,O,O,X,X,X,X
TZSLIJO,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,X,X,X
