sequence,v115@NhA8IeB8AeD8BeE8JeOEJvhFxgBliBcoBzkBCmBXrB,v115@NhA8IeB8AeD8BeE8Je0/IvhF6lBThBxiB2pBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXgB6mBliBcoBRqBzqB,v115@NhA8IeB8AeD8BeE8JeKEJvhFGgBThBxiBUlBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhF0gBxiBzkBSrBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXhBxiBzkBSrBFoB0qB,v115@NhA8IeB8AeD8BeE8JeKEJvhFflBThBxiBWrBFoB0qB
LJOSZIT,O,X,X,X,X,X,X
LJOZTIS,O,X,O,X,O,O,O
LJOZTSI,O,X,X,X,O,O,O
LJOZITS,O,X,O,X,O,X,X
LJOZIST,X,X,O,X,X,X,X
LJOZSTI,O,X,X,X,O,O,O
LJOZSIT,O,X,X,X,X,X,X
LSTIJZO,O,O,X,O,X,X,O
LSTIJOZ,X,O,X,O,X,O,O
LSTIZJO,O,O,X,O,X,X,O
LSTIZOJ,O,O,X,O,O,O,X
LSTIOJZ,O,O,X,O,O,O,O
LSTIOZJ,O,O,X,O,O,O,X
LSTJIZO,O,O,X,O,X,X,O
LSTJIOZ,X,O,X,O,X,O,O
LSTJZIO,O,O,X,O,X,X,O
LSTJZOI,O,O,X,O,X,X,O
LSTJOIZ,X,O,X,O,X,O,O
LSTJOZI,X,O,X,O,X,O,O
LSTZIJO,O,O,X,O,X,X,O
LSTZIOJ,O,O,X,O,O,O,X
LSTZJIO,O,O,X,O,X,X,O
LSTZJOI,O,O,X,O,X,X,O
LSTZOIJ,O,O,X,O,O,O,X
LSTZOJI,O,O,X,O,O,O,X
LSTOIJZ,O,O,X,O,O,O,O
LSTOIZJ,O,O,X,O,O,O,X
LSTOJIZ,O,O,X,O,O,O,O
LSTOJZI,O,O,X,O,O,O,O
LSTOZIJ,O,O,X,O,O,O,X
LSTOZJI,O,O,X,O,O,O,X
LSITJZO,O,O,O,O,X,X,O
LSITJOZ,X,O,X,O,X,O,O
LSITZJO,O,O,O,O,X,X,O
LSITZOJ,O,O,O,O,X,O,X
LSITOJZ,O,O,X,O,X,O,O
LSITOZJ,O,O,X,O,X,O,X
LSIJTZO,O,O,O,X,X,X,O
LSIJTOZ,X,O,X,X,X,X,O
LSIJZTO,O,O,O,O,X,X,X
LSIJZOT,O,O,O,O,X,X,X
LSIJOTZ,O,O,X,X,X,X,O
LSIJOZT,O,O,O,O,X,X,X
LSIZTJO,O,X,O,O,X,X,X
LSIZTOJ,O,X,O,O,X,X,X
LSIZJTO,O,O,O,O,X,X,X
LSIZJOT,O,O,O,O,X,X,X
LSIZOTJ,O,X,O,O,X,X,X
LSIZOJT,O,O,O,O,X,X,X
LSIOTJZ,O,O,X,O,X,O,X
LSIOTZJ,O,O,X,O,X,O,X
LSIOJTZ,O,O,X,X,X,O,X
LSIOJZT,O,O,O,O,X,X,X
LSIOZTJ,O,X,O,O,X,X,X
LSIOZJT,O,O,O,O,X,X,X
LSJTIZO,O,O,X,O,X,X,O
LSJTIOZ,X,O,X,O,X,O,O
LSJTZIO,O,O,X,O,X,X,O
LSJTZOI,O,O,X,O,X,X,O
LSJTOIZ,X,O,X,O,X,O,O
LSJTOZI,X,O,X,O,X,O,O
LSJITZO,O,O,O,X,X,X,O
LSJITOZ,X,O,X,X,X,X,O
LSJIZTO,O,O,O,O,X,X,X
LSJIZOT,O,O,O,O,X,X,X
LSJIOTZ,O,O,X,X,X,X,O
LSJIOZT,O,O,O,O,X,X,X
LSJZTIO,O,O,O,O,X,X,O
LSJZTOI,O,O,X,O,X,X,O
LSJZITO,O,O,O,O,X,X,X
LSJZIOT,O,O,O,O,X,X,X
LSJZOTI,O,O,X,O,X,X,O
LSJZOIT,O,O,X,O,X,X,X
LSJOTIZ,O,O,X,O,X,O,O
LSJOTZI,O,O,X,O,X,O,O
LSJOITZ,O,O,X,X,X,O,O
LSJOIZT,O,O,X,O,X,X,X
LSJOZTI,O,O,X,O,X,O,O
LSJOZIT,O,O,X,O,X,X,X
LSZTIJO,O,O,O,O,X,X,O
LSZTIOJ,O,O,O,O,O,O,X
LSZTJIO,O,O,O,O,X,X,O
LSZTJOI,O,O,X,O,X,X,O
LSZTOIJ,O,O,X,O,O,O,X
LSZTOJI,O,O,X,O,O,O,X
LSZITJO,O,X,O,O,X,X,X
LSZITOJ,O,X,O,O,X,X,X
LSZIJTO,O,O,O,O,X,X,X
LSZIJOT,O,O,O,O,X,X,X
LSZIOTJ,O,X,O,O,X,X,X
LSZIOJT,O,O,O,O,X,X,X
LSZJTIO,O,O,O,O,X,X,O
LSZJTOI,O,O,X,O,X,X,O
LSZJITO,O,O,O,O,X,X,X
LSZJIOT,O,O,O,O,X,X,X
LSZJOTI,O,O,X,O,X,X,O
LSZJOIT,O,O,X,O,X,X,X
LSZOTIJ,O,O,X,O,O,O,X
LSZOTJI,O,O,X,O,O,O,X
LSZOITJ,O,X,X,O,X,X,X
LSZOIJT,O,O,X,O,X,X,X
LSZOJTI,O,O,X,O,O,O,X
LSZOJIT,O,O,X,O,X,X,X
LSOTIJZ,O,O,X,O,O,O,O
LSOTIZJ,O,O,X,O,O,O,X
LSOTJIZ,O,O,X,O,O,O,O
LSOTJZI,O,O,X,O,O,O,O
LSOTZIJ,O,O,X,O,O,O,X
LSOTZJI,O,O,X,O,O,O,X
LSOITJZ,O,O,X,O,X,O,X
LSOITZJ,O,O,X,O,X,O,X
LSOIJTZ,O,O,X,X,X,O,X
LSOIJZT,O,O,X,O,X,X,X
LSOIZTJ,O,X,X,O,X,X,X
LSOIZJT,O,O,X,O,X,X,X
LSOJTIZ,O,O,X,O,O,O,O
LSOJTZI,O,O,X,O,O,O,O
LSOJITZ,O,O,X,X,X,O,O
LSOJIZT,O,O,X,O,X,X,X
LSOJZTI,O,O,X,O,O,O,O
LSOJZIT,O,O,X,O,X,X,X
LSOZTIJ,O,O,X,O,O,O,X
LSOZTJI,O,O,X,O,O,O,X
LSOZITJ,O,X,X,O,X,X,X
LSOZIJT,O,O,X,O,X,X,X
LSOZJTI,O,O,X,O,O,O,X
LSOZJIT,O,O,X,O,X,X,X
LZTIJSO,X,X,O,O,X,X,O
LZTIJOS,X,X,O,O,O,X,O
LZTISJO,X,X,O,O,X,X,O
LZTISOJ,X,X,O,O,O,O,X
LZTIOJS,X,X,O,O,O,O,X
LZTIOSJ,X,X,O,O,O,O,X
LZTJISO,X,X,O,O,X,X,O
LZTJIOS,X,X,O,O,O,X,O
LZTJSIO,O,X,O,O,X,X,O
LZTJSOI,O,X,X,O,X,X,O
LZTJOIS,O,X,O,O,O,X,O
LZTJOSI,O,X,X,O,O,X,O
LZTSIJO,O,X,O,O,X,X,O
LZTSIOJ,O,X,O,O,O,O,X
LZTSJIO,O,X,O,O,X,X,O
LZTSJOI,O,X,X,O,X,X,O
LZTSOIJ,O,X,X,O,O,O,X
LZTSOJI,O,X,X,O,O,O,X
LZTOIJS,O,X,O,O,O,O,X
LZTOISJ,X,X,O,O,O,O,X
LZTOJIS,O,X,O,O,O,O,X
LZTOJSI,O,X,X,O,O,O,X
LZTOSIJ,O,X,X,O,O,O,X
LZTOSJI,O,X,X,O,O,O,X
LZITJSO,X,X,O,O,X,X,X
LZITJOS,X,X,O,O,O,X,X
LZITSJO,X,X,O,O,X,X,X
LZITSOJ,X,X,O,O,O,X,X
LZITOJS,X,X,O,O,O,X,X
LZITOSJ,X,X,O,O,O,X,X
LZIJTSO,X,X,O,O,X,X,X
LZIJTOS,X,X,O,O,X,X,X
LZIJSTO,X,X,O,O,X,X,X
LZIJSOT,X,X,O,O,X,X,X
LZIJOTS,X,X,O,X,X,X,X
LZIJOST,X,X,O,O,X,X,X
LZISTJO,X,X,O,O,X,X,X
LZISTOJ,X,X,O,O,X,X,X
LZISJTO,X,X,O,O,X,X,X
LZISJOT,X,X,O,O,X,X,X
LZISOTJ,X,X,O,O,X,X,X
LZISOJT,X,X,O,O,X,X,X
LZIOTJS,X,X,O,X,O,X,X
LZIOTSJ,X,X,O,X,O,X,X
LZIOJTS,X,X,O,X,O,X,X
LZIOJST,X,X,O,O,X,X,X
LZIOSTJ,X,X,O,O,X,X,X
LZIOSJT,X,X,O,O,X,X,X
LZJTISO,X,X,O,O,X,X,O
LZJTIOS,X,X,O,O,O,X,O
LZJTSIO,O,X,O,O,X,X,O
LZJTSOI,O,X,X,O,X,X,O
LZJTOIS,O,X,O,O,O,X,O
LZJTOSI,O,X,X,O,O,X,O
LZJITSO,X,X,O,O,X,X,X
LZJITOS,X,X,O,O,X,X,X
LZJISTO,X,X,O,O,X,X,X
LZJISOT,X,X,O,O,X,X,X
LZJIOTS,X,X,O,X,X,X,X
LZJIOST,X,X,O,O,X,X,X
LZJSTIO,O,X,O,O,X,X,O
LZJSTOI,O,X,X,O,X,X,O
LZJSITO,O,X,O,O,X,X,X
LZJSIOT,O,X,O,O,X,X,X
LZJSOTI,O,X,X,O,X,X,O
LZJSOIT,O,X,X,O,X,X,X
LZJOTIS,O,X,O,O,O,X,O
LZJOTSI,O,X,X,O,O,X,O
LZJOITS,O,X,O,X,O,X,X
LZJOIST,X,X,O,O,X,X,X
LZJOSTI,O,X,X,O,O,X,O
LZJOSIT,O,X,X,O,X,X,X
LZSTIJO,O,X,O,O,X,X,O
LZSTIOJ,O,X,O,O,O,O,X
LZSTJIO,O,X,O,O,X,X,O
LZSTJOI,O,X,X,O,X,X,O
LZSTOIJ,O,X,X,O,O,O,X
LZSTOJI,O,X,X,O,O,O,X
LZSITJO,O,X,O,O,X,X,X
LZSITOJ,O,X,O,O,X,X,X
LZSIJTO,O,X,O,O,X,X,X
LZSIJOT,O,X,O,O,X,X,X
LZSIOTJ,O,X,O,O,X,X,X
LZSIOJT,O,X,O,O,X,X,X
LZSJTIO,O,X,O,O,X,X,O
LZSJTOI,O,X,X,O,X,X,O
LZSJITO,O,X,O,O,X,X,X
LZSJIOT,O,X,O,O,X,X,X
LZSJOTI,O,X,X,O,X,X,O
LZSJOIT,O,X,X,O,X,X,X
LZSOTIJ,O,X,X,O,O,O,X
LZSOTJI,O,X,X,O,O,O,X
LZSOITJ,O,X,X,O,X,X,X
LZSOIJT,O,X,X,O,X,X,X
LZSOJTI,O,X,X,O,O,O,X
LZSOJIT,O,X,X,O,X,X,X
LZOTIJS,O,X,O,O,O,O,X
LZOTISJ,X,X,O,O,O,O,X
LZOTJIS,O,X,O,O,O,O,X
LZOTJSI,O,X,X,O,O,O,X
LZOTSIJ,O,X,X,O,O,O,X
LZOTSJI,O,X,X,O,O,O,X
LZOITJS,O,X,O,X,O,X,X
LZOITSJ,X,X,O,X,O,X,X
LZOIJTS,O,X,O,X,O,X,X
LZOIJST,X,X,O,O,X,X,X
LZOISTJ,X,X,O,O,X,X,X
LZOISJT,X,X,O,O,X,X,X
LZOJTIS,O,X,O,O,O,O,X
LZOJTSI,O,X,X,O,O,O,X
LZOJITS,O,X,O,X,O,X,X
LZOJIST,X,X,O,O,X,X,X
LZOJSTI,O,X,X,O,O,O,X
LZOJSIT,O,X,X,O,X,X,X
LZOSTIJ,O,X,X,O,O,O,X
LZOSTJI,O,X,X,O,O,O,X
LZOSITJ,O,X,X,O,X,X,X
LZOSIJT,O,X,X,O,X,X,X
LZOSJTI,O,X,X,O,O,O,X
LZOSJIT,O,X,X,O,X,X,X
LOTIJSZ,X,X,X,X,O,O,O
LOTIJZS,X,X,X,X,O,O,O
LOTISJZ,X,X,X,O,O,O,O
LOTISZJ,X,X,X,O,O,O,X
LOTIZJS,X,X,X,O,O,O,X
LOTIZSJ,X,X,X,O,O,O,X
LOTJISZ,X,X,X,X,O,O,O
LOTJIZS,X,X,X,X,O,O,O
LOTJSIZ,X,X,X,X,O,O,O
LOTJSZI,X,X,X,X,O,O,O
LOTJZIS,X,X,X,X,O,O,O
LOTJZSI,X,X,X,X,O,O,O
LOTSIJZ,X,X,X,O,O,O,O
LOTSIZJ,X,X,X,O,O,O,X
LOTSJIZ,X,X,X,O,O,O,O
LOTSJZI,X,X,X,O,O,O,O
LOTSZIJ,X,X,X,O,O,O,X
LOTSZJI,X,X,X,O,O,O,X
LOTZIJS,X,X,X,O,O,O,X
LOTZISJ,X,X,X,O,O,O,X
LOTZJIS,X,X,X,O,O,O,X
LOTZJSI,X,X,X,O,O,O,X
LOTZSIJ,X,X,X,O,O,O,X
LOTZSJI,X,X,X,O,O,O,X
LOITJSZ,X,X,X,X,O,O,X
LOITJZS,X,X,X,X,O,O,X
LOITSJZ,X,X,X,X,O,O,X
LOITSZJ,X,X,X,X,O,O,X
LOITZJS,X,X,X,X,O,O,X
LOITZSJ,X,X,X,X,O,O,X
LOIJTSZ,X,X,X,X,O,O,X
LOIJTZS,X,X,X,X,O,O,X
LOIJSTZ,X,X,X,X,X,O,X
LOIJSZT,X,X,O,X,X,X,X
LOIJZTS,O,X,O,X,O,X,X
LOIJZST,X,X,O,X,X,X,X
LOISTJZ,X,X,X,X,X,O,X
LOISTZJ,X,X,X,O,X,O,X
LOISJTZ,X,X,X,X,X,O,X
LOISJZT,X,X,O,O,X,X,X
LOISZTJ,X,X,O,O,X,X,X
LOISZJT,X,X,O,O,X,X,X
LOIZTJS,O,X,O,X,O,X,X
LOIZTSJ,X,X,O,X,O,X,X
LOIZJTS,O,X,O,X,O,X,X
LOIZJST,X,X,O,O,X,X,X
LOIZSTJ,X,X,O,O,X,X,X
LOIZSJT,X,X,O,O,X,X,X
LOJTISZ,X,X,X,X,O,O,O
LOJTIZS,X,X,X,X,O,O,O
LOJTSIZ,X,X,X,X,O,O,O
LOJTSZI,X,X,X,X,O,O,O
LOJTZIS,X,X,X,X,O,O,O
LOJTZSI,X,X,X,X,O,O,O
LOJITSZ,X,X,X,X,O,O,O
LOJITZS,X,X,X,X,O,O,O
LOJISTZ,X,X,X,X,X,O,O
LOJISZT,X,X,O,X,X,X,X
LOJIZTS,O,X,O,X,O,X,X
LOJIZST,X,X,O,X,X,X,X
LOJSTIZ,O,X,X,X,O,O,O
LOJSTZI,O,X,X,X,O,O,O
LOJSITZ,O,X,X,X,X,O,O
LOJSIZT,O,X,X,X,X,X,X
LOJSZTI,O,X,X,X,O,O,O
LOJSZIT,O,X,X,X,X,X,X
LOJZTIS,O,X,O,X,O,O,O
LOJZTSI,O,X,X,X,O,O,O
LOJZITS,O,X,O,X,O,X,X
LOJZIST,X,X,O,X,X,X,X
LOJZSTI,O,X,X,X,O,O,O
LOJZSIT,O,X,X,X,X,X,X
LOSTIJZ,O,X,X,O,O,O,O
LOSTIZJ,O,X,X,O,O,O,X
LOSTJIZ,O,X,X,O,O,O,O
LOSTJZI,O,X,X,O,O,O,O
LOSTZIJ,O,X,X,O,O,O,X
LOSTZJI,O,X,X,O,O,O,X
LOSITJZ,O,X,X,O,X,O,X
LOSITZJ,O,X,X,O,X,O,X
LOSIJTZ,O,X,X,X,X,O,X
LOSIJZT,O,X,X,O,X,X,X
LOSIZTJ,O,X,X,O,X,X,X
LOSIZJT,O,X,X,O,X,X,X
LOSJTIZ,O,X,X,O,O,O,O
LOSJTZI,O,X,X,O,O,O,O
LOSJITZ,O,X,X,X,X,O,O
LOSJIZT,O,X,X,O,X,X,X
LOSJZTI,O,X,X,O,O,O,O
LOSJZIT,O,X,X,O,X,X,X
LOSZTIJ,O,X,X,O,O,O,X
LOSZTJI,O,X,X,O,O,O,X
LOSZITJ,O,X,X,O,X,X,X
LOSZIJT,O,X,X,O,X,X,X
LOSZJTI,O,X,X,O,O,O,X
LOSZJIT,O,X,X,O,X,X,X
LOZTIJS,O,X,O,O,O,O,X
LOZTISJ,X,X,O,O,O,O,X
LOZTJIS,O,X,O,O,O,O,X
LOZTJSI,O,X,X,O,O,O,X
LOZTSIJ,O,X,X,O,O,O,X
LOZTSJI,O,X,X,O,O,O,X
LOZITJS,O,X,O,X,O,X,X
LOZITSJ,X,X,O,X,O,X,X
LOZIJTS,O,X,O,X,O,X,X
LOZIJST,X,X,O,O,X,X,X
LOZISTJ,X,X,O,O,X,X,X
LOZISJT,X,X,O,O,X,X,X
LOZJTIS,O,X,O,O,O,O,X
LOZJTSI,O,X,X,O,O,O,X
LOZJITS,O,X,O,X,O,X,X
LOZJIST,X,X,O,O,X,X,X
LOZJSTI,O,X,X,O,O,O,X
LOZJSIT,O,X,X,O,X,X,X
LOZSTIJ,O,X,X,O,O,O,X
LOZSTJI,O,X,X,O,O,O,X
LOZSITJ,O,X,X,O,X,X,X
LOZSIJT,O,X,X,O,X,X,X
LOZSJTI,O,X,X,O,O,O,X
LOZSJIT,O,X,X,O,X,X,X
JTILSZO,X,O,O,O,X,X,O
JTILSOZ,X,O,X,O,X,O,O
JTILZSO,X,O,O,O,X,X,O
JTILZOS,X,O,O,O,O,X,O
JTILOSZ,X,X,X,X,O,O,O
JTILOZS,X,X,X,X,O,O,O
JTISLZO,X,O,O,O,X,X,O
JTISLOZ,X,O,X,O,X,X,O
JTISZLO,X,O,O,X,X,X,X
JTISZOL,X,O,O,X,X,X,X
JTISOLZ,X,O,X,O,O,O,O
JTISOZL,X,O,X,X,O,X,X
JTIZLSO,X,O,O,X,X,X,O
JTIZLOS,X,O,O,X,X,X,O
JTIZSLO,X,O,O,X,X,X,X
JTIZSOL,X,O,O,X,X,X,X
JTIZOLS,X,O,O,X,O,O,O
JTIZOSL,X,O,O,X,O,X,X
JTIOLSZ,X,X,X,X,O,O,O
JTIOLZS,X,X,X,X,O,O,O
JTIOSLZ,X,O,X,X,O,O,O
JTIOSZL,X,O,X,X,O,X,X
JTIOZLS,X,O,X,X,O,O,O
JTIOZSL,X,O,X,X,O,X,X
JTLISZO,X,O,O,O,X,X,O
JTLISOZ,X,O,X,O,X,O,O
JTLIZSO,X,O,O,O,X,X,O
JTLIZOS,X,O,O,O,O,X,O
JTLIOSZ,X,X,X,X,O,O,O
JTLIOZS,X,X,X,X,O,O,O
JTLSIZO,X,O,X,O,X,X,O
JTLSIOZ,X,O,X,O,X,O,O
JTLSZIO,X,O,X,O,X,X,O
JTLSZOI,X,O,X,O,X,X,O
JTLSOIZ,X,O,X,O,X,O,O
JTLSOZI,X,O,X,O,X,O,O
JTLZISO,X,O,O,O,X,X,O
JTLZIOS,X,O,O,O,O,X,O
JTLZSIO,X,O,O,O,X,X,O
JTLZSOI,X,O,X,O,X,X,O
JTLZOIS,X,O,O,O,O,X,O
JTLZOSI,X,O,X,O,O,X,O
JTLOISZ,X,X,X,X,O,O,O
JTLOIZS,X,X,X,X,O,O,O
JTLOSIZ,X,X,X,X,O,O,O
JTLOSZI,X,X,X,X,O,O,O
JTLOZIS,X,X,X,X,O,O,O
JTLOZSI,X,X,X,X,O,O,O
JTSILZO,X,O,X,O,X,X,O
JTSILOZ,X,O,X,O,X,X,O
JTSIZLO,X,O,X,X,X,X,X
JTSIZOL,X,O,X,X,X,X,X
JTSIOLZ,X,O,X,O,O,O,O
JTSIOZL,X,O,X,X,O,X,X
JTSLIZO,O,O,X,O,X,X,O
JTSLIOZ,X,O,X,O,X,X,O
JTSLZIO,O,O,X,O,X,X,O
JTSLZOI,O,O,X,O,X,X,O
JTSLOIZ,X,O,X,O,X,X,O
JTSLOZI,X,O,X,O,X,X,O
JTSZILO,O,O,X,X,X,X,X
JTSZIOL,O,O,X,X,X,X,X
JTSZLIO,O,O,X,X,X,X,X
JTSZLOI,O,O,X,X,X,X,X
JTSZOIL,O,O,X,X,X,X,X
JTSZOLI,O,O,X,X,X,X,X
JTSOILZ,X,O,X,O,O,O,O
JTSOIZL,O,O,X,X,O,X,X
JTSOLIZ,O,O,X,O,O,O,O
JTSOLZI,O,O,X,O,O,O,O
JTSOZIL,O,O,X,X,O,X,X
JTSOZLI,O,O,X,X,O,X,X
JTZILSO,X,O,O,X,X,X,O
JTZILOS,X,O,O,X,X,X,O
JTZISLO,O,O,O,X,X,X,X
JTZISOL,O,O,O,X,X,X,X
JTZIOLS,O,O,O,X,O,O,O
JTZIOSL,O,O,O,X,O,X,X
JTZLISO,X,O,O,X,X,X,O
JTZLIOS,X,O,O,X,X,X,O
JTZLSIO,O,O,O,X,X,X,O
JTZLSOI,O,O,X,X,X,X,O
JTZLOIS,O,O,O,X,X,X,O
JTZLOSI,O,O,X,X,X,X,O
JTZSILO,O,O,O,X,X,X,X
JTZSIOL,O,O,O,X,X,X,X
JTZSLIO,O,O,O,X,X,X,X
JTZSLOI,O,O,X,X,X,X,X
JTZSOIL,O,O,X,X,X,X,X
JTZSOLI,O,O,X,X,X,X,X
JTZOILS,O,O,O,X,O,O,O
JTZOISL,O,O,O,X,O,X,X
JTZOLIS,O,O,O,X,O,O,O
JTZOLSI,O,O,X,X,O,O,O
JTZOSIL,O,O,X,X,O,X,X
JTZOSLI,O,O,X,X,O,X,X
JTOILSZ,X,X,X,X,O,O,O
JTOILZS,X,X,X,X,O,O,O
JTOISLZ,X,O,X,X,O,O,O
JTOISZL,X,O,X,X,O,X,X
JTOIZLS,O,O,X,X,O,O,O
JTOIZSL,O,O,X,X,O,X,X
JTOLISZ,X,X,X,X,O,O,O
JTOLIZS,X,X,X,X,O,O,O
JTOLSIZ,X,X,X,X,O,O,O
JTOLSZI,X,X,X,X,O,O,O
JTOLZIS,X,X,X,X,O,O,O
JTOLZSI,X,X,X,X,O,O,O
JTOSILZ,X,O,X,X,O,O,O
JTOSIZL,O,O,X,X,O,X,X
JTOSLIZ,O,O,X,X,O,O,O
JTOSLZI,O,O,X,X,O,O,O
JTOSZIL,O,O,X,X,O,X,X
JTOSZLI,O,O,X,X,O,X,X
JTOZILS,O,O,X,X,O,O,O
JTOZISL,O,O,X,X,O,X,X
JTOZLIS,O,O,X,X,O,O,O
JTOZLSI,O,O,X,X,O,O,O
JTOZSIL,O,O,X,X,O,X,X
JTOZSLI,O,O,X,X,O,X,X
JITLSZO,X,O,O,X,X,X,O
JITLSOZ,X,O,X,X,X,X,O
JITLZSO,X,O,O,X,X,X,O
JITLZOS,X,O,O,X,X,X,O
JITLOSZ,X,X,X,X,O,O,O
JITLOZS,X,X,X,X,O,O,O
JITSLZO,X,O,O,X,X,X,O
JITSLOZ,X,O,X,X,X,X,O
JITSZLO,X,O,O,X,X,X,X
JITSZOL,X,O,O,X,X,X,X
JITSOLZ,X,O,X,X,O,O,O
JITSOZL,X,O,X,X,O,X,X
JITZLSO,X,O,O,X,X,X,O
JITZLOS,X,O,O,X,X,X,O
JITZSLO,X,O,O,X,X,X,X
JITZSOL,X,O,O,X,X,X,X
JITZOLS,X,O,O,X,O,O,O
JITZOSL,X,O,O,X,O,X,X
JITOLSZ,X,X,X,X,O,O,O
JITOLZS,X,X,X,X,O,O,O
JITOSLZ,X,O,X,X,O,O,O
JITOSZL,X,O,X,X,O,X,X
JITOZLS,X,O,X,X,O,O,O
JITOZSL,X,O,X,X,O,X,X
JILTSZO,X,X,O,X,X,X,O
JILTSOZ,X,X,X,X,X,X,O
JILTZSO,X,X,O,X,X,X,O
JILTZOS,X,X,O,X,X,X,O
JILTOSZ,X,X,X,X,X,X,O
JILTOZS,X,X,X,X,X,X,O
JILSTZO,X,O,O,X,X,X,O
JILSTOZ,X,O,X,X,X,X,O
JILSZTO,X,O,O,O,X,X,X
JILSZOT,X,O,O,O,X,X,X
JILSOTZ,X,O,X,X,X,X,O
JILSOZT,X,O,O,O,X,X,X
JILZTSO,X,O,O,O,X,X,X
JILZTOS,X,X,O,X,X,X,X
JILZSTO,X,O,O,O,X,X,X
JILZSOT,X,O,O,O,X,X,X
JILZOTS,X,X,O,X,X,X,X
JILZOST,X,O,O,O,X,X,X
JILOTSZ,X,X,X,X,X,X,O
JILOTZS,X,X,X,X,X,X,O
JILOSTZ,X,X,X,X,X,X,O
JILOSZT,X,X,O,X,X,X,X
JILOZTS,X,X,O,X,X,X,X
JILOZST,X,X,O,X,X,X,X
JISTLZO,X,O,O,X,X,X,X
JISTLOZ,X,O,X,X,X,X,X
JISTZLO,X,O,O,X,X,X,X
JISTZOL,X,O,O,X,X,X,X
JISTOLZ,X,O,X,X,X,X,X
JISTOZL,X,O,X,X,X,X,X
JISLTZO,O,O,O,X,X,X,X
JISLTOZ,X,O,X,X,X,X,X
JISLZTO,O,O,O,O,X,X,X
JISLZOT,O,O,O,O,X,X,X
JISLOTZ,X,O,X,X,X,X,X
JISLOZT,O,O,O,O,X,X,X
JISZTLO,O,O,O,X,X,X,X
JISZTOL,O,O,O,X,X,X,X
JISZLTO,O,O,O,X,X,X,X
JISZLOT,O,O,O,X,X,X,X
JISZOTL,O,O,O,X,X,X,X
JISZOLT,O,O,O,X,X,X,X
JISOTLZ,X,O,X,X,X,X,X
JISOTZL,O,O,X,X,X,X,X
JISOLTZ,O,O,X,X,X,X,X
JISOLZT,O,O,O,O,X,X,X
JISOZTL,O,O,O,X,X,X,X
JISOZLT,O,O,O,X,X,X,X
JIZTLSO,X,O,O,X,X,X,X
JIZTLOS,X,O,O,X,X,X,X
JIZTSLO,O,O,O,X,X,X,X
JIZTSOL,O,O,O,X,X,X,X
JIZTOLS,O,O,O,X,X,X,X
JIZTOSL,O,O,O,X,X,X,X
JIZLTSO,X,O,O,X,X,X,X
JIZLTOS,X,O,O,X,X,X,X
JIZLSTO,X,O,O,X,X,X,X
JIZLSOT,X,O,O,X,X,X,X
JIZLOTS,X,X,O,X,X,X,X
JIZLOST,X,O,O,X,X,X,X
JIZSTLO,O,O,O,X,X,X,X
JIZSTOL,O,O,O,X,X,X,X
JIZSLTO,O,O,O,X,X,X,X
JIZSLOT,O,O,O,X,X,X,X
JIZSOTL,O,O,O,X,X,X,X
JIZSOLT,O,O,O,X,X,X,X
JIZOTLS,O,X,O,X,X,X,X
JIZOTSL,O,X,O,X,X,X,X
JIZOLTS,O,X,O,X,X,X,X
JIZOLST,X,O,O,X,X,X,X
JIZOSTL,O,O,O,X,X,X,X
JIZOSLT,O,O,O,X,X,X,X
JIOTLSZ,X,X,X,X,O,O,O
JIOTLZS,X,X,X,X,O,O,O
JIOTSLZ,X,X,X,X,O,O,O
JIOTSZL,X,X,X,X,O,X,X
JIOTZLS,O,X,X,X,O,O,O
JIOTZSL,O,X,X,X,O,X,X
JIOLTSZ,X,X,X,X,O,O,O
JIOLTZS,X,X,X,X,O,O,O
JIOLSTZ,X,X,X,X,X,O,O
JIOLSZT,X,X,O,X,X,X,X
JIOLZTS,O,X,O,X,O,X,X
JIOLZST,X,X,O,X,X,X,X
JIOSTLZ,X,O,X,X,X,X,X
JIOSTZL,O,O,X,X,X,X,X
JIOSLTZ,O,O,X,X,X,X,X
JIOSLZT,O,O,O,X,X,X,X
JIOSZTL,O,O,O,X,X,X,X
JIOSZLT,O,O,O,X,X,X,X
JIOZTLS,O,X,O,X,O,X,X
JIOZTSL,O,X,O,X,O,X,X
JIOZLTS,O,X,O,X,O,X,X
JIOZLST,X,O,O,X,X,X,X
JIOZSTL,O,O,O,X,X,X,X
JIOZSLT,O,O,O,X,X,X,X
JLTISZO,X,O,O,O,X,X,O
JLTISOZ,X,O,X,O,X,O,O
JLTIZSO,X,O,O,O,X,X,O
JLTIZOS,X,O,O,O,O,X,O
JLTIOSZ,X,X,X,X,O,O,O
JLTIOZS,X,X,X,X,O,O,O
JLTSIZO,X,O,X,O,X,X,O
JLTSIOZ,X,O,X,O,X,O,O
JLTSZIO,X,O,X,O,X,X,O
JLTSZOI,X,O,X,O,X,X,O
JLTSOIZ,X,O,X,O,X,O,O
JLTSOZI,X,O,X,O,X,O,O
JLTZISO,X,O,O,O,X,X,O
JLTZIOS,X,O,O,O,O,X,O
JLTZSIO,X,O,O,O,X,X,O
JLTZSOI,X,O,X,O,X,X,O
