sequence,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBfsB6?sBlqBUrB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFChB/nBGjB0?mBlqBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBFmBX?nB0qBSxB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeRAJvhFUiBGjBFlBX?mBSwBTsB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhFlhBGjB/qBU?mBTnBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JefFJvhFlgBzhBGjB8?qBSsBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhF/nBGjBxlBl?qBUsBTrB
IZTJOLS,X,O,O,X,X,X,X
IZTJOSL,X,O,O,X,O,X,X
IZTSLJO,X,O,X,X,O,O,O
IZTSLOJ,X,O,X,X,O,O,O
IZTSJLO,X,O,X,X,O,O,O
IZTSJOL,X,O,O,X,O,O,O
IZTSOLJ,X,O,X,X,O,O,O
IZTSOJL,X,O,O,X,O,O,O
IZTOLJS,X,O,O,X,O,X,X
IZTOLSJ,X,O,O,X,O,X,O
IZTOJLS,X,O,O,X,O,X,X
IZTOJSL,X,O,O,X,O,X,X
IZTOSLJ,X,O,X,X,O,X,O
IZTOSJL,X,O,O,X,O,X,O
IZLTJSO,X,O,O,X,O,O,O
IZLTJOS,X,O,O,X,X,O,X
IZLTSJO,X,O,O,X,O,O,O
IZLTSOJ,X,O,O,X,O,O,O
IZLTOJS,X,O,O,X,X,O,X
IZLTOSJ,X,O,O,X,X,O,O
IZLJTSO,X,X,O,X,O,O,X
IZLJTOS,X,X,O,X,X,O,X
IZLJSTO,X,O,O,X,O,O,X
IZLJSOT,X,O,O,X,O,O,X
IZLJOTS,X,X,O,X,O,O,X
IZLJOST,X,O,O,X,O,O,X
IZLSTJO,X,O,O,X,O,O,O
IZLSTOJ,X,O,O,X,O,O,O
IZLSJTO,X,O,O,X,O,O,O
IZLSJOT,X,O,O,X,O,O,X
IZLSOTJ,X,O,O,X,O,O,X
IZLSOJT,X,O,O,X,O,O,X
IZLOTJS,X,X,O,X,O,O,X
IZLOTSJ,X,O,O,X,O,O,X
IZLOJTS,X,X,O,X,O,O,X
IZLOJST,X,O,O,X,O,O,X
IZLOSTJ,X,O,O,X,O,O,X
IZLOSJT,X,O,O,X,O,O,X
IZJTLSO,X,O,O,X,O,O,X
IZJTLOS,X,O,O,X,X,O,X
IZJTSLO,X,O,X,X,O,O,X
IZJTSOL,X,O,O,X,O,O,X
IZJTOLS,X,O,O,X,X,X,X
IZJTOSL,X,O,O,X,O,X,X
IZJLTSO,X,X,O,X,O,O,X
IZJLTOS,X,X,O,X,X,O,X
IZJLSTO,X,O,O,X,O,O,X
IZJLSOT,X,O,O,X,O,O,X
IZJLOTS,X,X,O,X,O,O,X
IZJLOST,X,O,O,X,O,O,X
IZJSTLO,X,O,X,X,O,O,X
IZJSTOL,X,O,X,X,O,O,X
IZJSLTO,X,O,X,X,O,O,X
IZJSLOT,X,O,X,X,O,O,X
IZJSOTL,X,O,X,X,O,O,X
IZJSOLT,X,O,X,X,O,O,X
IZJOTLS,X,X,O,X,O,X,X
IZJOTSL,X,O,O,X,O,X,X
IZJOLTS,X,X,O,X,O,O,X
IZJOLST,X,O,O,X,O,O,X
IZJOSTL,X,O,X,X,O,O,X
IZJOSLT,X,O,X,X,O,O,X
IZSTLJO,X,O,X,X,O,O,O
IZSTLOJ,X,O,X,X,O,O,O
IZSTJLO,X,O,X,X,O,O,O
IZSTJOL,X,O,X,X,O,O,O
IZSTOLJ,X,O,X,X,O,O,O
IZSTOJL,X,O,X,X,O,O,O
IZSLTJO,X,O,X,X,O,O,O
IZSLTOJ,X,O,X,X,O,O,O
IZSLJTO,X,O,X,X,O,O,O
IZSLJOT,X,O,X,X,O,O,X
IZSLOTJ,X,O,X,X,O,O,X
IZSLOJT,X,O,X,X,O,O,X
IZSJTLO,X,O,X,X,O,O,O
IZSJTOL,X,O,X,X,O,O,O
IZSJLTO,X,O,X,X,O,O,O
IZSJLOT,X,O,X,X,O,O,X
IZSJOTL,X,O,X,X,O,O,X
IZSJOLT,X,O,X,X,O,O,X
IZSOTLJ,X,O,X,X,O,O,X
IZSOTJL,X,O,X,X,O,O,X
IZSOLTJ,X,O,X,X,O,O,X
IZSOLJT,X,O,X,X,O,O,X
IZSOJTL,X,O,X,X,O,O,X
IZSOJLT,X,O,X,X,O,O,X
IZOTLJS,X,O,O,X,O,X,X
IZOTLSJ,X,O,O,X,O,X,X
IZOTJLS,X,O,O,X,O,X,X
IZOTJSL,X,O,O,X,O,X,X
IZOTSLJ,X,O,X,X,O,X,X
IZOTSJL,X,O,O,X,O,X,X
IZOLTJS,X,X,O,X,O,O,X
IZOLTSJ,X,O,O,X,O,O,X
IZOLJTS,X,X,O,X,O,O,X
IZOLJST,X,O,O,X,O,O,X
IZOLSTJ,X,O,O,X,O,O,X
IZOLSJT,X,O,O,X,O,O,X
IZOJTLS,X,X,O,X,O,X,X
IZOJTSL,X,O,O,X,O,X,X
IZOJLTS,X,X,O,X,O,O,X
IZOJLST,X,O,O,X,O,O,X
IZOJSTL,X,O,X,X,O,O,X
IZOJSLT,X,O,X,X,O,O,X
IZOSTLJ,X,O,X,X,O,O,X
IZOSTJL,X,O,X,X,O,O,X
IZOSLTJ,X,O,X,X,O,O,X
IZOSLJT,X,O,X,X,O,O,X
IZOSJTL,X,O,X,X,O,O,X
IZOSJLT,X,O,X,X,O,O,X
IOTLJSZ,O,O,X,O,O,X,X
IOTLJZS,O,O,X,O,O,X,X
IOTLSJZ,O,O,X,O,O,X,X
IOTLSZJ,O,O,X,O,O,X,X
IOTLZJS,O,O,X,O,O,X,X
IOTLZSJ,X,O,X,O,O,X,X
IOTJLSZ,O,O,X,O,O,X,X
IOTJLZS,O,O,X,O,O,X,X
IOTJSLZ,O,O,X,X,O,X,X
IOTJSZL,O,O,X,O,O,X,X
IOTJZLS,X,O,X,O,O,X,X
IOTJZSL,X,O,X,O,O,X,X
IOTSLJZ,O,O,X,X,O,X,X
IOTSLZJ,O,O,X,X,O,X,X
IOTSJLZ,O,O,X,X,O,X,X
IOTSJZL,O,O,X,O,O,X,X
IOTSZLJ,X,O,X,X,O,X,X
IOTSZJL,O,O,X,O,O,X,X
IOTZLJS,X,O,X,O,O,X,X
IOTZLSJ,X,O,X,O,O,X,X
IOTZJLS,X,O,X,O,O,X,X
IOTZJSL,X,O,X,O,O,X,X
IOTZSLJ,X,O,X,X,O,X,X
IOTZSJL,X,O,X,O,O,X,X
IOLTJSZ,O,O,X,O,O,O,X
IOLTJZS,O,O,X,O,O,O,X
IOLTSJZ,O,O,X,O,O,O,X
IOLTSZJ,O,O,X,O,O,O,X
IOLTZJS,O,O,X,O,O,O,X
IOLTZSJ,X,O,X,O,O,O,X
IOLJTSZ,O,O,X,O,O,O,X
IOLJTZS,O,X,X,O,O,O,X
IOLJSTZ,O,O,O,O,O,O,X
IOLJSZT,O,O,O,O,O,O,X
IOLJZTS,O,X,O,O,O,O,X
IOLJZST,O,X,O,O,O,O,X
IOLSTJZ,O,O,O,O,O,O,X
IOLSTZJ,O,O,O,O,O,O,X
IOLSJTZ,O,O,O,O,O,O,X
IOLSJZT,O,O,O,O,O,O,X
IOLSZTJ,X,O,O,O,O,O,X
IOLSZJT,O,O,O,O,O,O,X
IOLZTJS,X,X,O,O,O,O,X
IOLZTSJ,X,O,O,O,O,O,X
IOLZJTS,O,X,O,O,O,O,X
IOLZJST,O,O,O,O,O,O,X
IOLZSTJ,X,O,O,O,O,O,X
IOLZSJT,X,O,O,O,O,O,X
IOJTLSZ,O,O,X,O,O,X,X
IOJTLZS,O,O,X,O,O,X,X
IOJTSLZ,O,O,X,X,O,X,X
IOJTSZL,O,O,X,O,O,X,X
IOJTZLS,X,O,X,O,O,X,X
IOJTZSL,X,O,X,O,O,X,X
IOJLTSZ,O,O,X,O,O,O,X
IOJLTZS,O,X,X,O,O,O,X
IOJLSTZ,O,O,O,O,O,O,X
IOJLSZT,O,O,O,O,O,O,X
IOJLZTS,O,X,O,O,O,O,X
IOJLZST,O,X,O,O,O,O,X
IOJSTLZ,O,O,X,X,O,X,X
IOJSTZL,O,O,X,X,O,X,X
IOJSLTZ,O,O,X,X,O,O,X
IOJSLZT,O,O,X,X,O,O,X
IOJSZTL,O,O,X,X,O,O,X
IOJSZLT,O,O,X,X,O,O,X
IOJZTLS,X,X,O,O,O,X,X
IOJZTSL,X,O,O,O,O,X,X
IOJZLTS,X,X,O,O,O,O,X
IOJZLST,X,O,O,O,O,O,X
IOJZSTL,X,O,X,X,O,O,X
IOJZSLT,X,O,X,X,O,O,X
IOSTLJZ,O,O,X,X,O,X,X
IOSTLZJ,O,O,X,X,O,X,X
IOSTJLZ,O,O,X,X,O,X,X
IOSTJZL,O,O,X,X,O,X,X
IOSTZLJ,X,O,X,X,O,X,X
IOSTZJL,O,O,X,X,O,X,X
IOSLTJZ,O,O,X,X,O,O,X
IOSLTZJ,O,O,X,X,O,O,X
IOSLJTZ,O,O,X,X,O,O,X
IOSLJZT,O,O,X,X,O,O,X
IOSLZTJ,X,O,X,X,O,O,X
IOSLZJT,O,O,X,X,O,O,X
IOSJTLZ,O,O,X,X,O,X,X
IOSJTZL,O,O,X,X,O,X,X
IOSJLTZ,O,O,X,X,O,O,X
IOSJLZT,O,O,X,X,O,O,X
IOSJZTL,O,O,X,X,O,O,X
IOSJZLT,O,O,X,X,O,O,X
IOSZTLJ,X,O,X,X,O,O,X
IOSZTJL,X,O,X,X,O,O,X
IOSZLTJ,X,O,X,X,O,O,X
IOSZLJT,X,O,X,X,O,O,X
IOSZJTL,O,O,X,X,O,O,X
IOSZJLT,O,O,X,X,O,O,X
IOZTLJS,X,O,O,O,O,X,X
IOZTLSJ,X,O,O,O,O,X,X
IOZTJLS,X,O,O,O,O,X,X
IOZTJSL,X,O,O,O,O,X,X
IOZTSLJ,X,O,X,X,O,X,X
IOZTSJL,X,O,O,O,O,X,X
IOZLTJS,X,X,O,O,O,O,X
IOZLTSJ,X,O,O,O,O,O,X
IOZLJTS,X,X,O,O,O,O,X
IOZLJST,X,O,O,O,O,O,X
IOZLSTJ,X,O,O,O,O,O,X
IOZLSJT,X,O,O,O,O,O,X
IOZJTLS,X,X,O,O,O,X,X
IOZJTSL,X,O,O,O,O,X,X
IOZJLTS,X,X,O,O,O,O,X
IOZJLST,X,O,O,O,O,O,X
IOZJSTL,X,O,X,X,O,O,X
IOZJSLT,X,O,X,X,O,O,X
IOZSTLJ,X,O,X,X,O,O,X
IOZSTJL,X,O,X,X,O,O,X
IOZSLTJ,X,O,X,X,O,O,X
IOZSLJT,X,O,X,X,O,O,X
IOZSJTL,X,O,X,X,O,O,X
IOZSJLT,X,O,X,X,O,O,X
LTIJSZO,O,O,X,O,O,X,X
LTIJSOZ,O,O,X,O,O,X,X
LTIJZSO,X,O,X,X,X,X,O
LTIJZOS,O,O,X,X,X,X,X
LTIJOSZ,O,O,X,O,O,X,X
LTIJOZS,O,O,X,O,O,X,X
LTISJZO,O,O,X,O,O,X,X
LTISJOZ,O,O,X,O,O,X,X
LTISZJO,O,O,X,O,O,X,O
LTISZOJ,O,O,X,O,O,X,O
LTISOJZ,O,O,X,O,O,X,X
LTISOZJ,O,O,X,O,O,X,X
LTIZJSO,X,O,X,X,X,X,O
LTIZJOS,O,O,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,O
LTIZSOJ,X,O,X,X,X,X,O
LTIZOJS,O,O,X,O,X,X,X
LTIZOSJ,X,O,X,O,X,X,O
LTIOJSZ,O,O,X,O,O,X,X
LTIOJZS,O,O,X,O,O,X,X
LTIOSJZ,O,O,X,O,O,X,X
LTIOSZJ,O,O,X,O,O,X,X
LTIOZJS,O,O,X,O,O,X,X
LTIOZSJ,X,O,X,O,X,X,O
LTJISZO,O,O,X,O,O,X,X
LTJISOZ,O,O,X,O,O,X,X
LTJIZSO,X,O,X,X,X,X,O
LTJIZOS,O,O,X,X,X,X,X
LTJIOSZ,O,O,X,O,O,X,X
LTJIOZS,O,O,X,O,O,X,X
LTJSIZO,O,X,O,O,O,X,X
LTJSIOZ,O,X,O,O,O,X,X
LTJSZIO,O,X,O,O,O,X,X
LTJSZOI,O,X,O,O,O,X,X
LTJSOIZ,O,X,O,O,X,X,X
LTJSOZI,O,X,O,O,X,X,X
LTJZISO,X,O,O,X,X,X,O
LTJZIOS,O,O,O,X,X,X,X
LTJZSIO,O,O,O,O,X,X,O
LTJZSOI,O,O,O,O,X,X,O
LTJZOIS,O,O,O,X,X,X,X
LTJZOSI,O,O,O,X,X,X,X
LTJOISZ,O,O,X,O,X,X,X
LTJOIZS,O,O,X,O,X,X,X
LTJOSIZ,O,X,O,O,X,X,X
LTJOSZI,O,X,O,O,X,X,X
LTJOZIS,O,O,O,O,X,X,X
LTJOZSI,O,O,O,O,X,X,X
LTSIJZO,O,O,O,O,O,X,X
LTSIJOZ,O,O,O,O,O,X,X
LTSIZJO,O,O,O,O,O,X,O
LTSIZOJ,O,O,O,O,O,X,O
LTSIOJZ,O,O,O,O,O,X,X
LTSIOZJ,O,O,O,O,O,X,X
LTSJIZO,O,X,O,O,O,X,X
LTSJIOZ,O,X,O,O,O,X,X
LTSJZIO,O,X,O,O,O,X,X
LTSJZOI,O,X,O,O,O,X,X
LTSJOIZ,O,X,O,O,X,X,X
LTSJOZI,O,X,O,O,X,X,X
LTSZIJO,O,O,O,O,O,X,O
LTSZIOJ,O,O,O,O,O,X,O
LTSZJIO,O,O,O,O,O,X,O
LTSZJOI,O,O,O,O,O,X,O
LTSZOIJ,O,O,O,O,O,X,O
LTSZOJI,O,O,O,O,O,X,O
LTSOIJZ,O,O,O,O,X,X,X
LTSOIZJ,O,O,O,O,X,X,X
LTSOJIZ,O,X,O,O,X,X,X
LTSOJZI,O,X,O,O,X,X,X
LTSOZIJ,O,O,O,O,X,X,X
LTSOZJI,O,O,O,O,X,X,X
LTZIJSO,X,O,O,X,X,X,O
LTZIJOS,O,O,O,X,X,X,X
LTZISJO,X,O,O,X,X,X,O
LTZISOJ,X,O,O,X,X,X,O
LTZIOJS,O,O,O,O,X,X,X
LTZIOSJ,X,O,O,O,X,X,O
LTZJISO,X,O,O,X,X,X,O
LTZJIOS,O,O,O,X,X,X,X
LTZJSIO,O,O,O,O,X,X,O
LTZJSOI,O,O,O,O,X,X,O
LTZJOIS,O,O,O,X,X,X,X
LTZJOSI,O,O,O,X,X,X,X
LTZSIJO,O,O,O,O,X,X,O
LTZSIOJ,O,O,O,O,X,X,O
LTZSJIO,O,O,O,O,X,X,O
LTZSJOI,O,O,O,O,X,X,O
LTZSOIJ,O,O,O,O,X,X,O
LTZSOJI,O,O,O,O,X,X,O
LTZOIJS,O,O,O,O,X,X,X
LTZOISJ,X,O,O,O,X,X,O
LTZOJIS,O,O,O,O,X,X,X
LTZOJSI,O,O,O,O,X,X,X
LTZOSIJ,O,O,O,O,X,X,O
LTZOSJI,O,O,O,O,X,X,O
LTOIJSZ,O,O,X,O,X,X,X
LTOIJZS,O,O,X,O,X,X,X
LTOISJZ,O,O,X,O,X,X,X
LTOISZJ,O,O,X,O,X,X,X
LTOIZJS,O,O,X,O,X,X,X
LTOIZSJ,X,O,X,O,X,X,O
LTOJISZ,O,O,X,O,X,X,X
LTOJIZS,O,O,X,O,X,X,X
LTOJSIZ,O,X,O,O,X,X,X
LTOJSZI,O,X,O,O,X,X,X
LTOJZIS,O,O,O,O,X,X,X
LTOJZSI,O,O,O,O,X,X,X
LTOSIJZ,O,O,O,O,X,X,X
LTOSIZJ,O,O,O,O,X,X,X
LTOSJIZ,O,X,O,O,X,X,X
LTOSJZI,O,X,O,O,X,X,X
LTOSZIJ,O,O,O,O,X,X,X
LTOSZJI,O,O,O,O,X,X,X
LTOZIJS,O,O,O,O,X,X,X
LTOZISJ,X,O,O,O,X,X,O
LTOZJIS,O,O,O,O,X,X,X
LTOZJSI,O,O,O,O,X,X,X
LTOZSIJ,O,O,O,O,X,X,O
LTOZSJI,O,O,O,O,X,X,O
LITJSZO,O,O,X,O,O,O,X
LITJSOZ,O,O,X,O,O,O,X
LITJZSO,X,O,X,X,X,O,O
LITJZOS,O,O,X,X,X,O,X
LITJOSZ,O,O,X,O,O,O,X
LITJOZS,O,O,X,O,O,O,X
LITSJZO,O,O,X,O,O,O,X
LITSJOZ,O,O,X,O,O,O,X
LITSZJO,O,O,X,O,O,O,O
LITSZOJ,O,O,X,O,O,O,O
LITSOJZ,O,O,X,O,O,O,X
LITSOZJ,O,O,X,O,O,O,X
LITZJSO,X,O,X,X,X,O,O
LITZJOS,O,O,X,X,X,O,X
LITZSJO,X,O,X,X,X,O,O
LITZSOJ,X,O,X,X,X,O,O
LITZOJS,O,O,X,O,X,O,X
LITZOSJ,X,O,X,O,X,O,O
LITOJSZ,O,O,X,O,O,O,X
LITOJZS,O,O,X,O,O,O,X
LITOSJZ,O,O,X,O,O,O,X
LITOSZJ,O,O,X,O,O,O,X
LITOZJS,O,O,X,O,O,O,X
LITOZSJ,X,O,X,O,X,O,O
LIJTSZO,O,O,X,O,O,O,X
LIJTSOZ,O,O,X,O,O,O,X
LIJTZSO,X,X,X,X,X,O,X
LIJTZOS,O,X,X,X,X,O,X
LIJTOSZ,O,O,X,X,O,O,X
LIJTOZS,O,X,X,X,O,O,X
LIJSTZO,O,O,O,O,O,O,X
LIJSTOZ,O,O,O,O,O,O,X
LIJSZTO,O,O,O,O,O,O,X
LIJSZOT,O,O,O,O,O,O,X
LIJSOTZ,O,O,O,X,O,O,X
LIJSOZT,O,O,O,O,O,O,X
LIJZTSO,X,X,O,X,O,O,X
LIJZTOS,O,X,O,X,X,O,X
LIJZSTO,O,X,O,X,O,O,X
LIJZSOT,O,X,O,X,O,O,X
LIJZOTS,O,X,O,X,O,O,X
LIJZOST,O,X,O,X,O,O,X
LIJOTSZ,O,O,X,X,O,O,X
LIJOTZS,O,X,X,X,O,O,X
LIJOSTZ,O,O,O,X,O,O,X
LIJOSZT,O,O,O,X,O,O,X
LIJOZTS,O,X,O,X,O,O,X
LIJOZST,O,X,O,X,O,O,X
LISTJZO,O,O,O,O,O,O,X
LISTJOZ,O,O,O,O,O,O,X
LISTZJO,O,O,O,O,O,O,X
LISTZOJ,O,O,O,O,O,O,X
LISTOJZ,O,O,O,O,O,O,X
LISTOZJ,O,O,O,O,O,O,X
LISJTZO,O,O,O,O,O,O,X
LISJTOZ,O,O,O,O,O,O,X
LISJZTO,O,O,O,O,O,O,X
LISJZOT,O,O,O,O,O,O,X
LISJOTZ,O,O,O,O,O,O,X
LISJOZT,O,O,O,O,O,O,X
LISZTJO,O,O,O,O,O,O,X
LISZTOJ,O,O,O,O,O,O,X
LISZJTO,O,O,O,O,O,O,X
LISZJOT,O,O,O,O,O,O,X
LISZOTJ,X,O,O,O,O,O,X
LISZOJT,O,O,O,O,O,O,X
LISOTJZ,O,O,O,O,O,O,X
LISOTZJ,O,O,O,O,O,O,X
LISOJTZ,O,O,O,O,O,O,X
LISOJZT,O,O,O,O,O,O,X
LISOZTJ,X,O,O,O,O,O,X
LISOZJT,O,O,O,O,O,O,X
LIZTJSO,X,O,O,X,O,O,O
LIZTJOS,O,O,O,X,X,O,X
LIZTSJO,X,O,O,X,O,O,O
LIZTSOJ,X,O,O,X,O,O,O
LIZTOJS,O,O,O,X,X,O,X
LIZTOSJ,X,O,O,X,X,O,O
LIZJTSO,X,X,O,X,O,O,X
LIZJTOS,O,X,O,X,X,O,X
LIZJSTO,O,O,O,X,O,O,X
LIZJSOT,O,O,O,X,O,O,X
LIZJOTS,O,X,O,X,O,O,X
LIZJOST,O,O,O,X,O,O,X
LIZSTJO,O,O,O,X,O,O,O
LIZSTOJ,O,O,O,X,O,O,O
LIZSJTO,O,O,O,X,O,O,O
LIZSJOT,O,O,O,X,O,O,X
LIZSOTJ,X,O,O,X,O,O,X
LIZSOJT,O,O,O,X,O,O,X
LIZOTJS,X,X,O,X,O,O,X
LIZOTSJ,X,O,O,X,O,O,X
LIZOJTS,O,X,O,X,O,O,X
LIZOJST,O,O,O,X,O,O,X
LIZOSTJ,X,O,O,X,O,O,X
LIZOSJT,X,O,O,X,O,O,X
LIOTJSZ,O,O,X,O,O,O,X
LIOTJZS,O,O,X,O,O,O,X
LIOTSJZ,O,O,X,O,O,O,X
LIOTSZJ,O,O,X,O,O,O,X
LIOTZJS,O,O,X,O,O,O,X
LIOTZSJ,X,O,X,O,O,O,X
LIOJTSZ,O,O,X,O,O,O,X
LIOJTZS,O,X,X,O,O,O,X
LIOJSTZ,O,O,O,O,O,O,X
LIOJSZT,O,O,O,O,O,O,X
LIOJZTS,O,X,O,O,O,O,X
LIOJZST,O,X,O,O,O,O,X
LIOSTJZ,O,O,O,O,O,O,X
LIOSTZJ,O,O,O,O,O,O,X
LIOSJTZ,O,O,O,O,O,O,X
LIOSJZT,O,O,O,O,O,O,X
LIOSZTJ,X,O,O,O,O,O,X
LIOSZJT,O,O,O,O,O,O,X
LIOZTJS,X,X,O,O,O,O,X
LIOZTSJ,X,O,O,O,O,O,X
LIOZJTS,O,X,O,O,O,O,X
LIOZJST,O,O,O,O,O,O,X
LIOZSTJ,X,O,O,O,O,O,X
LIOZSJT,X,O,O,O,O,O,X
LJTISZO,O,X,X,O,O,X,X
LJTISOZ,O,X,X,O,O,X,X
LJTIZSO,X,X,X,X,X,X,O
LJTIZOS,O,X,X,X,X,X,X
LJTIOSZ,O,X,X,O,O,X,X
LJTIOZS,O,X,X,O,O,X,X
LJTSIZO,O,X,O,O,O,X,X
LJTSIOZ,O,X,O,O,O,X,X
LJTSZIO,O,X,O,O,O,X,X
LJTSZOI,O,X,O,O,O,X,X
LJTSOIZ,O,X,O,O,X,X,X
LJTSOZI,O,X,O,O,X,X,X
LJTZISO,X,X,O,X,X,X,O
LJTZIOS,O,X,O,X,X,X,X
LJTZSIO,O,X,O,O,X,X,O
LJTZSOI,O,X,O,O,X,X,O
LJTZOIS,O,X,O,X,X,X,X
LJTZOSI,O,X,O,X,X,X,X
LJTOISZ,O,X,X,O,X,X,X
LJTOIZS,O,X,X,O,X,X,X
LJTOSIZ,O,X,O,O,X,X,X
LJTOSZI,O,X,O,O,X,X,X
LJTOZIS,O,X,O,O,X,X,X
LJTOZSI,O,X,O,O,X,X,X
LJITSZO,O,O,X,O,O,O,X
LJITSOZ,O,O,X,O,O,O,X
LJITZSO,X,X,X,X,X,O,X
LJITZOS,O,X,X,X,X,O,X
LJITOSZ,O,O,X,X,O,O,X
LJITOZS,O,X,X,X,O,O,X
LJISTZO,O,O,O,O,O,O,X
LJISTOZ,O,O,O,O,O,O,X
LJISZTO,O,O,O,O,O,O,X
LJISZOT,O,O,O,O,O,O,X
LJISOTZ,O,O,O,X,O,O,X
LJISOZT,O,O,O,O,O,O,X
LJIZTSO,X,X,O,X,O,O,X
LJIZTOS,O,X,O,X,X,O,X
LJIZSTO,O,X,O,X,O,O,X
LJIZSOT,O,X,O,X,O,O,X
LJIZOTS,O,X,O,X,O,O,X
LJIZOST,O,X,O,X,O,O,X
LJIOTSZ,O,O,X,X,O,O,X
LJIOTZS,O,X,X,X,O,O,X
LJIOSTZ,O,O,O,X,O,O,X
LJIOSZT,O,O,O,X,O,O,X
LJIOZTS,O,X,O,X,O,O,X
LJIOZST,O,X,O,X,O,O,X
LJSTIZO,O,X,O,O,O,X,X
LJSTIOZ,O,X,O,O,O,X,X
LJSTZIO,O,X,O,O,O,X,X
LJSTZOI,O,X,O,O,O,X,X
LJSTOIZ,O,X,O,O,X,X,X
LJSTOZI,O,X,O,O,X,X,X
LJSITZO,O,X,O,O,O,O,X
LJSITOZ,O,X,O,O,O,O,X
LJSIZTO,O,X,O,O,O,O,X
LJSIZOT,O,X,O,O,O,O,X
LJSIOTZ,O,X,O,O,O,O,X
LJSIOZT,O,X,O,O,O,O,X
LJSZTIO,O,X,O,O,O,X,X
LJSZTOI,O,X,O,O,O,X,X
LJSZITO,O,X,O,O,O,X,X
LJSZIOT,O,X,O,O,O,X,X
LJSZOTI,O,X,O,O,O,X,X
LJSZOIT,O,X,O,O,X,X,X
LJSOTIZ,O,X,O,O,X,X,X
LJSOTZI,O,X,O,O,X,X,X
LJSOITZ,O,X,O,O,O,X,X
LJSOIZT,O,X,O,O,O,X,X
LJSOZTI,O,X,O,O,O,X,X
LJSOZIT,O,X,O,O,X,X,X
LJZTISO,X,X,O,X,X,X,O
LJZTIOS,O,X,O,X,X,X,X
LJZTSIO,O,X,O,O,X,X,O
LJZTSOI,O,X,O,O,X,X,O
LJZTOIS,O,X,O,X,X,X,X
LJZTOSI,O,X,O,X,X,X,X
LJZITSO,X,X,O,X,X,X,X
LJZITOS,O,X,O,X,X,X,X
LJZISTO,O,X,O,X,O,X,X
LJZISOT,O,X,O,X,O,X,X
LJZIOTS,O,X,O,X,O,X,X
LJZIOST,O,X,O,X,O,X,X
LJZSTIO,O,X,O,O,O,X,O
LJZSTOI,O,X,O,O,O,X,O
LJZSITO,O,X,O,O,O,X,O
LJZSIOT,O,X,O,O,O,X,X
LJZSOTI,O,X,O,O,O,X,O
LJZSOIT,O,X,O,O,X,X,X
LJZOTIS,O,X,O,X,X,X,X
LJZOTSI,O,X,O,X,X,X,X
LJZOITS,O,X,O,X,X,X,X
LJZOIST,O,X,O,X,X,X,X
LJZOSTI,O,X,O,X,X,X,X
LJZOSIT,O,X,O,X,X,X,X
LJOTISZ,O,X,X,O,X,X,X
LJOTIZS,O,X,X,O,X,X,X
LJOTSIZ,O,X,O,O,X,X,X
LJOTSZI,O,X,O,O,X,X,X
LJOTZIS,O,X,O,O,X,X,X
LJOTZSI,O,X,O,O,X,X,X
LJOITSZ,O,O,X,O,O,X,X
LJOITZS,O,X,X,O,O,X,X
LJOISTZ,O,O,O,O,O,X,X
LJOISZT,O,O,O,O,O,X,X
LJOIZTS,O,X,O,O,O,X,X
LJOIZST,O,X,O,O,O,X,X
LJOSTIZ,O,X,O,O,X,X,X
LJOSTZI,O,X,O,O,X,X,X
LJOSITZ,O,X,O,O,O,X,X
LJOSIZT,O,X,O,O,O,X,X
LJOSZTI,O,X,O,O,O,X,X
LJOSZIT,O,X,O,O,X,X,X
LJOZTIS,O,X,O,O,X,X,X
LJOZTSI,O,X,O,O,X,X,X
LJOZITS,O,X,O,O,X,X,X
LJOZIST,O,X,O,O,X,X,X
LJOZSTI,O,X,O,O,X,X,X
LJOZSIT,O,X,O,O,X,X,X
LSTIJZO,O,X,O,O,O,X,X
LSTIJOZ,O,X,O,O,O,X,X
LSTIZJO,O,X,O,O,O,X,O
LSTIZOJ,O,X,O,O,O,X,O
LSTIOJZ,O,X,O,O,O,X,X
LSTIOZJ,O,X,O,O,O,X,X
LSTJIZO,O,X,O,O,O,X,X
LSTJIOZ,O,X,O,O,O,X,X
LSTJZIO,O,X,O,O,O,X,X
LSTJZOI,O,X,O,O,O,X,X
LSTJOIZ,O,X,O,O,X,X,X
LSTJOZI,O,X,O,O,X,X,X
LSTZIJO,O,X,O,O,O,O,O
LSTZIOJ,O,X,O,O,O,O,O
LSTZJIO,O,X,O,O,O,X,O
LSTZJOI,O,X,O,O,O,X,O
LSTZOIJ,O,X,O,O,O,X,O
LSTZOJI,O,X,O,O,O,X,O
LSTOIJZ,O,X,O,O,X,X,X
LSTOIZJ,O,X,O,O,X,X,X
LSTOJIZ,O,X,O,O,X,X,X
LSTOJZI,O,X,O,O,X,X,X
LSTOZIJ,O,X,O,O,X,X,X
LSTOZJI,O,X,O,O,X,X,X
LSITJZO,O,X,O,O,O,O,X
