sequence,v115@IhA8IeA8FeB8AeC8AeE8JeZEJvhFUgBFhBXiBTjBSs?BmqB,v115@IhA8IeA8FeB8AeC8AeE8JeZEJvhFalBUhBGiBTjBfr?BVxB,v115@IhA8IeA8FeB8AeC8AeE8JeZEJvhFalBFhB8mB+nBTj?BfrB
TSJIZLO,X,O,X
TSJIZOL,X,O,X
TSJIOLZ,X,O,X
TSJIOZL,X,O,X
TSJLIZO,X,O,X
TSJLIOZ,X,O,X
TSJLZIO,X,O,X
TSJLZOI,X,O,X
TSJLOIZ,X,O,X
TSJLOZI,X,O,X
TSJZILO,X,O,X
TSJZIOL,X,O,X
TSJZLIO,X,O,X
TSJZLOI,X,O,X
TSJZOIL,X,O,X
TSJZOLI,X,O,X
TSJOILZ,X,O,X
TSJOIZL,X,O,X
TSJOLIZ,X,O,X
TSJOLZI,X,O,X
TSJOZIL,X,O,X
TSJOZLI,X,O,X
TSZILJO,X,O,X
TSZILOJ,X,O,X
TSZIJLO,X,O,X
TSZIJOL,X,O,X
TSZIOLJ,X,O,X
TSZIOJL,X,O,X
TSZLIJO,X,O,X
TSZLIOJ,X,O,X
TSZLJIO,X,O,X
TSZLJOI,X,O,X
TSZLOIJ,X,O,X
TSZLOJI,X,O,X
TSZJILO,X,O,X
TSZJIOL,X,O,X
TSZJLIO,X,O,X
TSZJLOI,X,O,X
TSZJOIL,X,O,X
TSZJOLI,X,O,X
TSZOILJ,X,O,X
TSZOIJL,X,O,X
TSZOLIJ,X,O,X
TSZOLJI,X,O,X
TSZOJIL,X,O,X
TSZOJLI,X,O,X
TSOILJZ,X,O,X
TSOILZJ,X,O,X
TSOIJLZ,X,O,X
TSOIJZL,X,O,X
TSOIZLJ,X,O,X
TSOIZJL,X,O,X
TSOLIJZ,X,O,X
TSOLIZJ,X,O,X
TSOLJIZ,X,O,X
TSOLJZI,X,O,X
TSOLZIJ,X,O,X
TSOLZJI,X,O,X
TSOJILZ,X,O,X
TSOJIZL,X,O,X
TSOJLIZ,X,O,X
TSOJLZI,X,O,X
TSOJZIL,X,O,X
TSOJZLI,X,O,X
TSOZILJ,X,O,X
TSOZIJL,X,O,X
TSOZLIJ,X,O,X
TSOZLJI,X,O,X
TSOZJIL,X,O,X
TSOZJLI,X,O,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,X,X,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,X,X,X
TZLSIOJ,X,X,X
TZLSJIO,X,X,X
TZLSJOI,X,X,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,X,X
TZLOISJ,X,X,X
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,X,X
TZSIJLO,X,X,X
TZSIJOL,X,X,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,X,X,X
TZSLIOJ,X,X,X
TZSLJIO,X,X,X
TZSLJOI,X,X,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,X,X
TZSJIOL,X,X,X
TZSJLIO,X,X,X
TZSJLOI,X,X,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,X,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,O,X
TOILJZS,X,X,X
TOILSJZ,X,O,X
TOILSZJ,X,O,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,O,X
TOIJLZS,X,X,X
TOIJSLZ,X,O,X
TOIJSZL,X,O,X
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,X,O,X
TOISLZJ,X,O,X
TOISJLZ,X,O,X
TOISJZL,X,O,X
TOISZLJ,X,O,X
TOISZJL,X,O,X
TOIZLJS,X,X,X
