sequence,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThB0iB6oB2s?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThBKnBGjBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBihBziB+oBUn?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mB0iB6oB2s?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mBKnBGjBUo?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBKnBGjBTmBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lB2mBCjBToBUn?BXrB
IZTSJLO,X,O,O,O,X,O,X
IZTSJOL,X,O,O,O,X,O,X
IZTSOLJ,X,O,O,X,X,O,X
IZTSOJL,X,O,O,X,X,O,X
IZTOLJS,X,O,O,X,O,O,X
IZTOLSJ,X,O,X,X,O,O,X
IZTOJLS,X,O,O,X,O,O,X
IZTOJSL,X,X,O,X,X,O,X
IZTOSLJ,X,X,X,X,X,O,X
IZTOSJL,X,X,X,X,X,O,X
IZLTJSO,O,O,O,O,O,O,X
IZLTJOS,O,O,O,O,O,O,X
IZLTSJO,X,O,O,O,O,O,X
IZLTSOJ,X,O,X,X,O,O,X
IZLTOJS,X,O,O,X,O,O,X
IZLTOSJ,X,O,X,X,O,O,X
IZLJTSO,O,O,O,O,O,O,X
IZLJTOS,O,O,O,O,O,O,X
IZLJSTO,O,O,O,O,O,O,X
IZLJSOT,O,O,O,O,O,X,X
IZLJOTS,O,O,O,O,O,O,X
IZLJOST,O,O,O,O,O,X,X
IZLSTJO,O,O,O,O,O,O,X
IZLSTOJ,O,O,O,X,O,O,X
IZLSJTO,O,O,O,X,O,O,X
IZLSJOT,O,O,O,X,O,X,X
IZLSOTJ,X,O,X,X,O,X,X
IZLSOJT,X,O,X,X,O,X,X
IZLOTJS,X,O,X,O,O,O,X
IZLOTSJ,X,O,X,O,O,O,X
IZLOJTS,X,O,X,O,O,O,X
IZLOJST,X,O,X,O,O,X,X
IZLOSTJ,X,O,X,O,O,X,X
IZLOSJT,X,O,X,X,O,X,X
IZJTLSO,O,O,O,O,O,O,X
IZJTLOS,O,O,O,O,O,O,X
IZJTSLO,O,O,O,O,X,O,X
IZJTSOL,O,O,O,O,X,O,X
IZJTOLS,O,O,O,O,O,O,X
IZJTOSL,O,X,O,O,X,O,X
IZJLTSO,O,O,O,O,O,O,X
IZJLTOS,O,O,O,O,O,O,X
IZJLSTO,O,O,O,O,O,O,X
IZJLSOT,O,O,O,O,O,X,X
IZJLOTS,O,O,O,O,O,O,X
IZJLOST,O,O,O,O,O,X,X
IZJSTLO,O,O,O,O,X,O,X
IZJSTOL,O,O,O,O,X,O,X
IZJSLTO,O,O,O,O,O,O,X
IZJSLOT,O,O,O,O,O,X,X
IZJSOTL,O,O,O,O,X,X,X
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,O,O,O,O,O,O,X
IZJOTSL,O,X,O,O,X,O,X
IZJOLTS,O,O,O,O,O,O,X
IZJOLST,O,O,O,O,O,X,X
IZJOSTL,O,O,O,O,X,X,X
IZJOSLT,O,O,O,O,O,X,X
IZSTLJO,O,O,O,O,O,O,X
IZSTLOJ,O,O,O,X,O,O,X
IZSTJLO,O,O,O,O,X,O,X
IZSTJOL,O,O,O,O,X,O,O
IZSTOLJ,O,O,O,X,X,O,O
IZSTOJL,O,O,O,X,X,O,O
IZSLTJO,O,O,O,O,O,O,X
IZSLTOJ,O,O,O,X,O,O,X
IZSLJTO,O,O,O,X,O,O,X
IZSLJOT,O,O,O,X,O,X,X
IZSLOTJ,X,O,X,X,O,X,X
IZSLOJT,X,O,X,X,O,X,X
IZSJTLO,O,O,O,X,X,O,X
IZSJTOL,O,O,O,X,X,O,X
IZSJLTO,O,O,O,X,O,O,X
IZSJLOT,O,O,O,X,O,X,X
IZSJOTL,O,O,O,X,X,X,X
IZSJOLT,O,O,O,X,O,X,X
IZSOTLJ,X,O,O,X,X,X,O
IZSOTJL,X,O,O,X,X,X,O
IZSOLTJ,X,O,X,X,O,X,O
IZSOLJT,X,O,X,X,O,X,X
IZSOJTL,X,O,O,X,X,X,X
IZSOJLT,X,O,O,X,O,X,X
IZOTLJS,X,O,O,O,O,O,X
IZOTLSJ,X,O,X,O,O,O,X
IZOTJLS,X,O,O,O,O,O,X
IZOTJSL,X,X,O,O,X,O,X
IZOTSLJ,X,X,X,O,O,O,X
IZOTSJL,X,X,X,O,X,O,X
IZOLTJS,X,O,X,O,O,O,X
IZOLTSJ,X,O,X,O,O,O,X
IZOLJTS,X,O,X,O,O,O,X
IZOLJST,X,O,X,O,O,X,X
IZOLSTJ,X,O,X,O,O,X,O
IZOLSJT,X,O,X,X,O,X,X
IZOJTLS,X,O,O,O,O,O,X
IZOJTSL,X,X,O,O,X,O,X
IZOJLTS,X,O,O,O,O,O,X
IZOJLST,X,O,O,O,O,X,X
IZOJSTL,X,O,O,O,X,X,X
IZOJSLT,X,O,O,O,O,X,X
IZOSTLJ,X,O,O,O,O,X,O
IZOSTJL,X,O,O,O,X,X,O
IZOSLTJ,X,O,X,O,O,X,O
IZOSLJT,X,O,X,X,O,X,X
IZOSJTL,X,O,O,X,X,X,X
IZOSJLT,X,O,O,X,O,X,X
IOTLJSZ,O,X,X,O,O,X,X
IOTLJZS,O,X,X,O,O,O,X
IOTLSJZ,X,O,X,O,O,X,O
IOTLSZJ,X,O,X,O,O,O,O
IOTLZJS,X,O,X,O,O,O,X
IOTLZSJ,X,O,X,O,O,O,X
IOTJLSZ,O,X,X,O,O,X,X
IOTJLZS,O,X,O,O,O,O,X
IOTJSLZ,O,X,X,O,O,X,X
IOTJSZL,O,X,O,O,X,X,X
IOTJZLS,O,X,O,O,X,O,X
IOTJZSL,O,X,O,O,X,O,X
IOTSLJZ,X,X,X,O,O,X,O
IOTSLZJ,X,X,X,O,O,O,O
IOTSJLZ,X,X,X,O,O,X,O
IOTSJZL,X,X,X,O,X,X,O
IOTSZLJ,X,X,X,O,O,O,O
IOTSZJL,X,X,X,O,X,O,O
IOTZLJS,X,O,O,O,O,O,X
IOTZLSJ,X,O,X,O,O,O,X
IOTZJLS,X,O,O,O,O,O,X
IOTZJSL,X,X,O,O,X,O,X
IOTZSLJ,X,X,X,O,O,O,X
IOTZSJL,X,X,X,O,X,O,X
IOLTJSZ,O,X,X,O,O,X,X
IOLTJZS,O,X,X,O,O,O,X
IOLTSJZ,X,O,X,O,O,X,O
IOLTSZJ,X,O,X,O,O,O,O
IOLTZJS,X,O,X,O,O,O,X
IOLTZSJ,X,O,X,O,O,O,X
IOLJTSZ,O,X,X,O,O,X,X
IOLJTZS,O,X,X,O,O,X,X
IOLJSTZ,O,X,X,O,X,X,O
IOLJSZT,O,X,X,O,X,X,X
IOLJZTS,O,X,X,O,O,X,X
IOLJZST,O,X,X,O,O,X,X
IOLSTJZ,O,O,X,O,O,X,O
IOLSTZJ,O,O,X,O,O,X,O
IOLSJTZ,O,X,X,O,X,X,O
IOLSJZT,O,X,X,O,X,X,X
IOLSZTJ,X,O,X,O,O,X,O
IOLSZJT,X,O,X,X,O,X,X
IOLZTJS,X,O,X,O,O,O,X
IOLZTSJ,X,O,X,O,O,O,X
IOLZJTS,X,O,X,O,O,O,X
IOLZJST,X,O,X,O,O,X,X
IOLZSTJ,X,O,X,O,O,X,O
IOLZSJT,X,O,X,X,O,X,X
IOJTLSZ,O,X,X,O,O,X,X
IOJTLZS,O,X,O,O,O,X,X
IOJTSLZ,O,X,O,O,O,X,X
IOJTSZL,O,X,O,O,X,X,X
IOJTZLS,O,X,O,O,X,X,X
IOJTZSL,O,X,O,O,X,X,X
IOJLTSZ,O,X,X,O,O,X,X
IOJLTZS,O,X,O,O,O,X,X
IOJLSTZ,O,X,O,O,X,X,O
IOJLSZT,O,X,X,O,X,X,X
IOJLZTS,O,X,O,O,O,X,X
IOJLZST,O,X,O,O,O,X,X
IOJSTLZ,O,X,O,O,O,X,O
IOJSTZL,O,X,O,O,X,X,O
IOJSLTZ,O,X,O,O,X,X,O
IOJSLZT,O,X,X,O,X,X,X
IOJSZTL,O,X,O,O,X,X,X
IOJSZLT,O,X,O,O,X,X,X
IOJZTLS,O,X,O,O,O,X,X
IOJZTSL,O,X,O,O,X,X,X
IOJZLTS,O,X,O,O,O,X,X
IOJZLST,O,X,O,O,O,X,X
IOJZSTL,O,X,O,O,X,X,X
IOJZSLT,O,X,O,O,O,X,X
IOSTLJZ,O,O,O,O,O,X,O
IOSTLZJ,O,O,O,O,O,X,O
IOSTJLZ,O,O,O,O,O,X,O
IOSTJZL,O,X,O,O,X,X,O
IOSTZLJ,O,O,O,O,O,X,O
IOSTZJL,O,O,O,O,X,X,O
IOSLTJZ,O,O,X,O,O,X,O
IOSLTZJ,O,O,X,O,O,X,O
IOSLJTZ,O,X,X,O,X,X,O
IOSLJZT,O,X,X,O,X,X,X
IOSLZTJ,X,O,X,O,O,X,O
IOSLZJT,X,O,X,X,O,X,X
IOSJTLZ,O,X,O,O,O,X,O
IOSJTZL,O,X,O,O,X,X,O
IOSJLTZ,O,X,O,O,X,X,O
IOSJLZT,O,X,X,O,X,X,X
IOSJZTL,O,X,O,O,X,X,X
IOSJZLT,O,X,O,O,X,X,X
IOSZTLJ,X,O,O,O,O,X,O
IOSZTJL,X,O,O,O,X,X,O
IOSZLTJ,X,O,X,O,O,X,O
IOSZLJT,X,O,X,X,O,X,X
IOSZJTL,X,O,O,X,X,X,X
IOSZJLT,X,O,O,X,O,X,X
IOZTLJS,X,O,O,O,O,O,X
IOZTLSJ,X,O,X,O,O,O,X
IOZTJLS,X,O,O,O,O,O,X
IOZTJSL,X,X,O,O,X,O,X
IOZTSLJ,X,X,X,O,O,O,X
IOZTSJL,X,X,X,O,X,O,X
IOZLTJS,X,O,X,O,O,O,X
IOZLTSJ,X,O,X,O,O,O,X
IOZLJTS,X,O,X,O,O,O,X
IOZLJST,X,O,X,O,O,X,X
IOZLSTJ,X,O,X,O,O,X,O
IOZLSJT,X,O,X,X,O,X,X
IOZJTLS,X,O,O,O,O,O,X
IOZJTSL,X,X,O,O,X,O,X
IOZJLTS,X,O,O,O,O,O,X
IOZJLST,X,O,O,O,O,X,X
IOZJSTL,X,O,O,O,X,X,X
IOZJSLT,X,O,O,O,O,X,X
IOZSTLJ,X,O,O,O,O,X,O
IOZSTJL,X,O,O,O,X,X,O
IOZSLTJ,X,O,X,O,O,X,O
IOZSLJT,X,O,X,X,O,X,X
IOZSJTL,X,O,O,X,X,X,X
IOZSJLT,X,O,O,X,O,X,X
LTIJSZO,O,O,X,O,O,X,X
LTIJSOZ,O,O,X,O,X,X,X
LTIJZSO,O,O,O,O,O,O,X
LTIJZOS,O,O,O,O,O,O,X
LTIJOSZ,O,X,X,O,X,X,X
LTIJOZS,O,X,O,O,X,O,X
LTISJZO,O,O,X,O,O,X,X
LTISJOZ,O,O,X,O,X,X,X
LTISZJO,O,O,X,O,O,O,X
LTISZOJ,O,O,X,X,O,O,X
LTISOJZ,O,O,X,O,X,X,X
LTISOZJ,O,O,X,X,O,O,X
LTIZJSO,O,O,O,O,O,O,X
LTIZJOS,O,O,O,O,O,O,X
LTIZSJO,X,O,O,O,O,O,X
LTIZSOJ,X,O,X,X,O,O,X
LTIZOJS,X,O,O,X,O,O,X
LTIZOSJ,X,O,X,X,O,O,X
LTIOJSZ,O,X,X,O,O,X,X
LTIOJZS,O,X,X,O,O,O,X
LTIOSJZ,X,O,X,O,O,X,X
LTIOSZJ,X,O,X,O,O,O,X
LTIOZJS,X,O,X,O,O,O,X
LTIOZSJ,X,O,X,O,O,O,X
LTJISZO,O,O,X,O,O,X,X
LTJISOZ,O,O,X,O,X,X,X
LTJIZSO,O,O,O,O,O,O,X
LTJIZOS,O,O,O,O,O,O,X
LTJIOSZ,O,X,X,O,X,X,X
LTJIOZS,O,X,O,O,X,O,X
LTJSIZO,O,O,X,O,O,X,X
LTJSIOZ,O,O,X,O,X,X,X
LTJSZIO,O,O,X,O,O,X,X
LTJSZOI,O,O,X,O,O,X,X
LTJSOIZ,O,O,X,O,X,X,X
LTJSOZI,O,O,X,O,X,X,X
LTJZISO,O,O,O,O,O,O,X
LTJZIOS,O,O,O,O,O,O,X
LTJZSIO,O,O,O,O,O,O,X
LTJZSOI,O,O,O,O,O,O,X
LTJZOIS,O,O,O,O,O,O,X
LTJZOSI,O,O,O,O,O,O,X
LTJOISZ,O,X,X,O,X,X,X
LTJOIZS,O,X,O,O,X,O,X
LTJOSIZ,O,X,X,O,X,X,X
LTJOSZI,O,X,X,O,X,X,X
LTJOZIS,O,X,O,O,X,O,X
LTJOZSI,O,X,O,O,X,O,X
LTSIJZO,O,O,X,O,O,X,X
LTSIJOZ,O,O,X,O,X,X,X
LTSIZJO,O,O,X,O,O,O,X
LTSIZOJ,O,O,X,X,O,O,X
LTSIOJZ,O,O,X,O,X,X,X
LTSIOZJ,O,O,X,X,O,O,X
LTSJIZO,O,O,X,O,O,X,X
LTSJIOZ,O,O,X,O,X,X,X
LTSJZIO,O,O,X,O,O,X,X
LTSJZOI,O,O,X,O,O,X,X
LTSJOIZ,O,O,X,O,X,X,X
LTSJOZI,O,O,X,O,X,X,X
LTSZIJO,O,O,X,O,O,O,X
LTSZIOJ,O,O,X,X,O,O,X
LTSZJIO,O,O,X,O,O,O,X
LTSZJOI,O,O,X,O,O,O,X
LTSZOIJ,O,O,X,X,O,O,X
LTSZOJI,O,O,X,X,O,O,X
LTSOIJZ,O,O,X,O,X,X,X
LTSOIZJ,O,O,X,X,O,O,X
LTSOJIZ,O,O,X,O,X,X,X
LTSOJZI,O,O,X,O,X,X,X
LTSOZIJ,O,O,X,X,O,O,X
LTSOZJI,O,O,X,X,O,O,X
LTZIJSO,O,O,O,O,O,O,X
LTZIJOS,O,O,O,O,O,O,X
LTZISJO,X,O,O,O,O,O,X
LTZISOJ,X,O,X,X,O,O,X
LTZIOJS,X,O,O,X,O,O,X
LTZIOSJ,X,O,X,X,O,O,X
LTZJISO,O,O,O,O,O,O,X
LTZJIOS,O,O,O,O,O,O,X
LTZJSIO,O,O,O,O,O,O,X
LTZJSOI,O,O,O,O,O,O,X
LTZJOIS,O,O,O,O,O,O,X
LTZJOSI,O,O,O,O,O,O,X
LTZSIJO,X,O,O,O,O,O,X
LTZSIOJ,X,O,X,X,O,O,X
LTZSJIO,X,O,O,O,O,O,X
LTZSJOI,X,O,O,O,O,O,X
LTZSOIJ,X,O,X,X,O,O,X
LTZSOJI,X,O,X,X,O,O,X
LTZOIJS,X,O,O,X,O,O,X
LTZOISJ,X,O,X,X,O,O,X
LTZOJIS,X,O,O,X,O,O,X
LTZOJSI,X,O,O,X,O,O,X
LTZOSIJ,X,O,X,X,O,O,X
LTZOSJI,X,O,X,X,O,O,X
LTOIJSZ,O,X,X,O,O,X,X
LTOIJZS,O,X,X,O,O,O,X
LTOISJZ,X,O,X,O,O,X,X
LTOISZJ,X,O,X,O,O,O,X
LTOIZJS,X,O,X,O,O,O,X
LTOIZSJ,X,O,X,O,O,O,X
LTOJISZ,O,X,X,O,O,X,X
LTOJIZS,O,X,X,O,O,O,X
LTOJSIZ,O,X,X,O,O,X,X
LTOJSZI,O,X,X,O,O,X,X
LTOJZIS,O,X,X,O,O,O,X
LTOJZSI,O,X,X,O,O,O,X
LTOSIJZ,X,O,X,O,O,X,X
LTOSIZJ,X,O,X,O,O,O,X
LTOSJIZ,X,O,X,O,O,X,X
LTOSJZI,X,O,X,O,O,X,X
LTOSZIJ,X,O,X,O,O,O,X
LTOSZJI,X,O,X,O,O,O,X
LTOZIJS,X,O,X,O,O,O,X
LTOZISJ,X,O,X,O,O,O,X
LTOZJIS,X,O,X,O,O,O,X
LTOZJSI,X,O,X,O,O,O,X
LTOZSIJ,X,O,X,O,O,O,X
LTOZSJI,X,O,X,O,O,O,X
LITJSZO,O,O,X,O,O,X,X
LITJSOZ,O,O,X,O,X,X,X
LITJZSO,O,O,O,O,O,O,X
LITJZOS,O,O,O,O,O,O,X
LITJOSZ,O,X,X,O,X,X,X
LITJOZS,O,X,O,O,X,O,X
LITSJZO,O,O,X,O,O,X,X
LITSJOZ,O,O,X,O,X,X,X
LITSZJO,O,O,X,O,O,O,X
LITSZOJ,O,O,X,X,O,O,X
LITSOJZ,O,O,X,O,X,X,X
LITSOZJ,O,O,X,X,O,O,X
LITZJSO,O,O,O,O,O,O,X
LITZJOS,O,O,O,O,O,O,X
LITZSJO,X,O,O,O,O,O,X
LITZSOJ,X,O,X,X,O,O,X
LITZOJS,X,O,O,X,O,O,X
LITZOSJ,X,O,X,X,O,O,X
LITOJSZ,O,X,X,O,O,X,X
LITOJZS,O,X,X,O,O,O,X
LITOSJZ,X,O,X,O,O,X,X
LITOSZJ,X,O,X,O,O,O,X
LITOZJS,X,O,X,O,O,O,X
LITOZSJ,X,O,X,O,O,O,X
LIJTSZO,O,O,X,O,O,X,X
LIJTSOZ,O,O,X,O,X,X,X
LIJTZSO,O,O,O,O,O,O,X
LIJTZOS,O,O,O,O,O,O,X
LIJTOSZ,O,X,X,O,X,X,X
LIJTOZS,O,X,O,O,X,O,X
LIJSTZO,O,O,O,O,X,X,X
LIJSTOZ,O,O,O,O,X,X,X
LIJSZTO,O,O,O,O,X,X,X
LIJSZOT,O,O,O,O,X,X,X
LIJSOTZ,O,X,O,O,X,X,X
LIJSOZT,O,X,X,O,X,X,X
LIJZTSO,O,O,O,O,O,O,X
LIJZTOS,O,O,O,O,O,O,X
LIJZSTO,O,O,O,O,O,O,X
LIJZSOT,O,O,O,O,O,X,X
LIJZOTS,O,O,O,O,O,O,X
LIJZOST,O,O,O,O,O,X,X
LIJOTSZ,O,X,X,O,O,X,X
LIJOTZS,O,X,O,O,O,X,X
LIJOSTZ,O,X,O,O,X,X,X
LIJOSZT,O,X,X,O,X,X,X
LIJOZTS,O,X,O,O,O,X,X
LIJOZST,O,X,O,O,O,X,X
LISTJZO,O,O,O,O,O,X,X
LISTJOZ,O,O,O,O,X,X,O
LISTZJO,O,O,O,O,O,O,X
LISTZOJ,O,O,O,X,O,O,X
LISTOJZ,O,O,O,O,X,X,O
LISTOZJ,O,O,O,X,O,O,O
LISJTZO,O,O,O,O,X,X,X
LISJTOZ,O,O,O,O,X,X,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,O,O,X,X,X
LISJOTZ,O,X,O,O,X,X,X
LISJOZT,O,X,X,O,X,X,X
LISZTJO,O,O,O,O,O,O,X
LISZTOJ,O,O,O,X,O,O,X
LISZJTO,O,O,O,X,O,O,X
LISZJOT,O,O,O,X,O,X,X
LISZOTJ,X,O,X,X,O,X,X
LISZOJT,X,O,X,X,O,X,X
LISOTJZ,O,O,X,O,O,X,O
LISOTZJ,O,O,X,O,O,X,O
LISOJTZ,O,X,X,O,X,X,O
LISOJZT,O,X,X,O,X,X,X
LISOZTJ,X,O,X,O,O,X,O
LISOZJT,X,O,X,X,O,X,X
LIZTJSO,O,O,O,O,O,O,X
LIZTJOS,O,O,O,O,O,O,X
LIZTSJO,X,O,O,O,O,O,X
LIZTSOJ,X,O,X,X,O,O,X
LIZTOJS,X,O,O,X,O,O,X
LIZTOSJ,X,O,X,X,O,O,X
LIZJTSO,O,O,O,O,O,O,X
LIZJTOS,O,O,O,O,O,O,X
LIZJSTO,O,O,O,O,O,O,X
LIZJSOT,O,O,O,O,O,X,X
LIZJOTS,O,O,O,O,O,O,X
LIZJOST,O,O,O,O,O,X,X
LIZSTJO,O,O,O,O,O,O,X
LIZSTOJ,O,O,O,X,O,O,X
LIZSJTO,O,O,O,X,O,O,X
LIZSJOT,O,O,O,X,O,X,X
LIZSOTJ,X,O,X,X,O,X,X
LIZSOJT,X,O,X,X,O,X,X
LIZOTJS,X,O,X,O,O,O,X
LIZOTSJ,X,O,X,O,O,O,X
LIZOJTS,X,O,X,O,O,O,X
LIZOJST,X,O,X,O,O,X,X
LIZOSTJ,X,O,X,O,O,X,X
LIZOSJT,X,O,X,X,O,X,X
LIOTJSZ,O,X,X,O,O,X,X
LIOTJZS,O,X,X,O,O,O,X
LIOTSJZ,X,O,X,O,O,X,O
LIOTSZJ,X,O,X,O,O,O,O
LIOTZJS,X,O,X,O,O,O,X
LIOTZSJ,X,O,X,O,O,O,X
LIOJTSZ,O,X,X,O,O,X,X
LIOJTZS,O,X,X,O,O,X,X
LIOJSTZ,O,X,X,O,X,X,O
LIOJSZT,O,X,X,O,X,X,X
LIOJZTS,O,X,X,O,O,X,X
LIOJZST,O,X,X,O,O,X,X
LIOSTJZ,O,O,X,O,O,X,O
LIOSTZJ,O,O,X,O,O,X,O
LIOSJTZ,O,X,X,O,X,X,O
LIOSJZT,O,X,X,O,X,X,X
LIOSZTJ,X,O,X,O,O,X,O
LIOSZJT,X,O,X,X,O,X,X
LIOZTJS,X,O,X,O,O,O,X
LIOZTSJ,X,O,X,O,O,O,X
LIOZJTS,X,O,X,O,O,O,X
LIOZJST,X,O,X,O,O,X,X
LIOZSTJ,X,O,X,O,O,X,O
LIOZSJT,X,O,X,X,O,X,X
LJTISZO,O,O,X,O,O,X,X
LJTISOZ,O,O,X,O,X,X,X
LJTIZSO,O,O,O,O,O,O,X
LJTIZOS,O,O,O,O,O,O,X
LJTIOSZ,O,X,X,O,X,X,X
LJTIOZS,O,X,O,O,X,O,X
LJTSIZO,O,O,X,O,O,X,X
LJTSIOZ,O,O,X,O,X,X,X
LJTSZIO,O,O,X,O,O,X,X
LJTSZOI,O,O,X,O,O,X,X
LJTSOIZ,O,O,X,O,X,X,X
LJTSOZI,O,O,X,O,X,X,X
LJTZISO,O,O,O,O,O,O,X
LJTZIOS,O,O,O,O,O,O,X
LJTZSIO,O,O,O,O,O,O,X
LJTZSOI,O,O,O,O,O,O,X
LJTZOIS,O,O,O,O,O,O,X
LJTZOSI,O,O,O,O,O,O,X
LJTOISZ,O,X,X,O,X,X,X
LJTOIZS,O,X,O,O,X,O,X
LJTOSIZ,O,X,X,O,X,X,X
LJTOSZI,O,X,X,O,X,X,X
LJTOZIS,O,X,O,O,X,O,X
LJTOZSI,O,X,O,O,X,O,X
LJITSZO,O,O,X,O,O,X,X
LJITSOZ,O,O,X,O,X,X,X
LJITZSO,O,O,O,O,O,O,X
LJITZOS,O,O,O,O,O,O,X
LJITOSZ,O,X,X,O,X,X,X
LJITOZS,O,X,O,O,X,O,X
LJISTZO,O,O,O,O,X,X,X
LJISTOZ,O,O,O,O,X,X,X
LJISZTO,O,O,O,O,X,X,X
LJISZOT,O,O,O,O,X,X,X
LJISOTZ,O,X,O,O,X,X,X
LJISOZT,O,X,X,O,X,X,X
LJIZTSO,O,O,O,O,O,O,X
LJIZTOS,O,O,O,O,O,O,X
LJIZSTO,O,O,O,O,O,O,X
LJIZSOT,O,O,O,O,O,X,X
LJIZOTS,O,O,O,O,O,O,X
LJIZOST,O,O,O,O,O,X,X
LJIOTSZ,O,X,X,O,O,X,X
LJIOTZS,O,X,O,O,O,X,X
LJIOSTZ,O,X,O,O,X,X,X
LJIOSZT,O,X,X,O,X,X,X
LJIOZTS,O,X,O,O,O,X,X
LJIOZST,O,X,O,O,O,X,X
LJSTIZO,O,O,O,O,X,X,X
LJSTIOZ,O,O,O,O,X,X,X
LJSTZIO,O,O,O,O,X,X,X
LJSTZOI,O,O,O,O,X,X,X
LJSTOIZ,O,O,O,O,X,X,X
LJSTOZI,O,O,O,O,X,X,X
LJSITZO,O,O,O,O,X,X,X
LJSITOZ,O,O,O,O,X,X,X
LJSIZTO,O,O,O,O,X,X,X
LJSIZOT,O,O,O,O,X,X,X
LJSIOTZ,O,X,O,O,X,X,X
LJSIOZT,O,X,X,O,X,X,X
LJSZTIO,O,O,O,O,X,X,X
LJSZTOI,O,O,O,O,X,X,X
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,O,O,O,X,X,X
LJSZOTI,O,O,O,O,X,X,X
LJSZOIT,O,O,O,O,X,X,X
LJSOTIZ,O,X,O,O,X,X,X
LJSOTZI,O,X,O,O,X,X,X
LJSOITZ,O,X,O,O,X,X,X
LJSOIZT,O,X,X,O,X,X,X
LJSOZTI,O,X,X,O,X,X,X
LJSOZIT,O,X,X,O,X,X,X
LJZTISO,O,O,O,O,O,O,X
LJZTIOS,O,O,O,O,O,O,X
LJZTSIO,O,O,O,O,O,O,X
LJZTSOI,O,O,O,O,O,O,X
LJZTOIS,O,O,O,O,O,O,X
LJZTOSI,O,O,O,O,O,O,X
LJZITSO,O,O,O,O,O,O,X
LJZITOS,O,O,O,O,O,O,X
LJZISTO,O,O,O,O,O,O,X
LJZISOT,O,O,O,O,O,X,X
LJZIOTS,O,O,O,O,O,O,X
LJZIOST,O,O,O,O,O,X,X
LJZSTIO,O,O,O,O,O,O,X
LJZSTOI,O,O,O,O,O,O,X
LJZSITO,O,O,O,O,O,O,X
LJZSIOT,O,O,O,O,O,X,X
LJZSOTI,O,O,O,O,O,X,X
LJZSOIT,O,O,O,O,O,X,X
LJZOTIS,O,O,O,O,O,O,X
LJZOTSI,O,O,O,O,O,O,X
LJZOITS,O,O,O,O,O,O,X
LJZOIST,O,O,O,O,O,X,X
LJZOSTI,O,O,O,O,O,X,X
LJZOSIT,O,O,O,O,O,X,X
LJOTISZ,O,X,X,O,O,X,X
LJOTIZS,O,X,O,O,O,X,X
LJOTSIZ,O,X,X,O,O,X,X
LJOTSZI,O,X,X,O,O,X,X
LJOTZIS,O,X,O,O,O,X,X
LJOTZSI,O,X,O,O,O,X,X
LJOITSZ,O,X,X,O,O,X,X
LJOITZS,O,X,O,O,O,X,X
LJOISTZ,O,X,O,O,X,X,X
LJOISZT,O,X,X,O,X,X,X
LJOIZTS,O,X,O,O,O,X,X
LJOIZST,O,X,O,O,O,X,X
LJOSTIZ,O,X,O,O,X,X,X
LJOSTZI,O,X,O,O,X,X,X
LJOSITZ,O,X,O,O,X,X,X
LJOSIZT,O,X,X,O,X,X,X
LJOSZTI,O,X,X,O,X,X,X
LJOSZIT,O,X,X,O,X,X,X
LJOZTIS,O,X,O,O,O,X,X
LJOZTSI,O,X,O,O,O,X,X
LJOZITS,O,X,O,O,O,X,X
LJOZIST,O,X,O,O,O,X,X
LJOZSTI,O,X,O,O,O,X,X
LJOZSIT,O,X,O,O,O,X,X
LSTIJZO,O,O,O,O,O,X,X
LSTIJOZ,O,O,O,O,X,X,O
LSTIZJO,O,O,O,O,O,O,X
LSTIZOJ,O,O,O,X,O,O,X
LSTIOJZ,O,O,O,O,X,X,O
LSTIOZJ,O,O,O,X,O,O,O
LSTJIZO,O,O,O,O,O,X,X
LSTJIOZ,O,O,O,O,X,X,O
LSTJZIO,O,O,O,O,O,X,X
LSTJZOI,O,O,O,O,O,X,X
LSTJOIZ,O,O,O,O,X,X,O
LSTJOZI,O,O,O,O,X,X,O
LSTZIJO,O,O,O,O,O,O,X
LSTZIOJ,O,O,O,X,O,O,X
LSTZJIO,O,O,O,O,O,O,X
LSTZJOI,O,O,O,O,O,O,X
LSTZOIJ,O,O,O,X,O,O,X
LSTZOJI,O,O,O,X,O,O,X
LSTOIJZ,O,O,O,O,X,X,O
LSTOIZJ,O,O,O,X,O,O,O
LSTOJIZ,O,O,O,O,X,X,O
LSTOJZI,O,O,O,O,X,X,O
LSTOZIJ,O,O,O,X,O,O,O
LSTOZJI,O,O,O,X,O,O,O
LSITJZO,O,O,O,O,O,X,X
LSITJOZ,O,O,O,O,X,X,O
LSITZJO,O,O,O,O,O,O,X
LSITZOJ,O,O,O,X,O,O,X
LSITOJZ,O,O,O,O,X,X,O
LSITOZJ,O,O,O,X,O,O,O
