sequence,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBlpBipB,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBipBlpB,v115@XhD8BeH8Jei/IvhFfmBGjBUlBRnBlmBTpB,v115@XhD8BeH8JeRAJvhFGiBTjB0lBlmBipB/pB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBupBUqBlrB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBUlBupBlrB
IOLJSZT,X,O,O,X,O,O
IOLJZTS,X,O,O,X,X,X
IOLJZST,X,O,O,X,O,O
IOLSTJZ,X,X,X,X,O,X
IOLSTZJ,X,X,X,X,X,O
IOLSJTZ,X,X,X,X,O,X
IOLSJZT,X,O,O,X,O,O
IOLSZTJ,X,O,O,X,X,O
IOLSZJT,X,O,O,X,O,O
IOLZTJS,X,O,O,O,X,X
IOLZTSJ,X,X,O,O,X,O
IOLZJTS,X,O,O,X,X,X
IOLZJST,X,O,O,X,O,O
IOLZSTJ,X,X,O,X,X,O
IOLZSJT,X,O,O,X,O,O
IOJTLSZ,X,X,X,X,O,X
IOJTLZS,X,X,O,O,X,X
IOJTSLZ,X,X,X,X,O,X
IOJTSZL,O,X,X,X,X,X
IOJTZLS,O,X,O,O,X,X
IOJTZSL,O,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,X
IOJLTZS,X,X,O,O,X,X
IOJLSTZ,X,X,X,X,O,X
IOJLSZT,X,O,O,X,O,O
IOJLZTS,X,O,O,X,X,X
IOJLZST,X,O,O,X,O,O
IOJSTLZ,X,X,X,X,O,X
IOJSTZL,O,X,X,X,X,X
IOJSLTZ,X,X,X,X,O,X
IOJSLZT,X,O,O,X,O,O
IOJSZTL,O,O,O,X,X,X
IOJSZLT,O,O,O,X,O,O
IOJZTLS,O,O,O,X,X,X
IOJZTSL,O,O,O,X,X,X
IOJZLTS,O,O,O,X,X,X
IOJZLST,O,O,O,X,O,O
IOJZSTL,O,O,O,X,X,X
IOJZSLT,O,O,O,X,O,O
IOSTLJZ,X,X,X,X,O,X
IOSTLZJ,X,X,X,X,X,O
IOSTJLZ,X,X,X,X,O,X
IOSTJZL,O,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,O
IOSTZJL,O,X,X,X,X,X
IOSLTJZ,X,X,X,X,O,X
IOSLTZJ,X,X,X,X,X,O
IOSLJTZ,X,X,X,X,O,X
IOSLJZT,X,O,O,X,O,O
IOSLZTJ,X,O,O,X,X,O
IOSLZJT,X,O,O,X,O,O
IOSJTLZ,X,X,X,X,O,X
IOSJTZL,O,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,X
IOSJLZT,X,O,O,X,O,O
IOSJZTL,O,O,O,X,X,X
IOSJZLT,O,O,O,X,O,O
IOSZTLJ,O,X,O,X,X,O
IOSZTJL,O,O,O,X,X,X
IOSZLTJ,X,O,O,X,X,O
IOSZLJT,O,O,O,X,O,O
IOSZJTL,O,O,O,X,X,X
IOSZJLT,O,O,O,X,O,O
IOZTLJS,O,X,O,O,X,X
IOZTLSJ,X,X,O,O,X,O
IOZTJLS,O,O,O,O,X,X
IOZTJSL,O,O,O,X,X,X
IOZTSLJ,X,X,O,X,X,O
IOZTSJL,O,X,O,X,X,X
IOZLTJS,X,O,O,O,X,X
IOZLTSJ,X,X,O,O,X,O
IOZLJTS,O,O,O,X,X,X
IOZLJST,O,O,O,X,O,O
IOZLSTJ,X,X,O,X,X,O
IOZLSJT,X,O,O,X,O,O
IOZJTLS,O,O,O,X,X,X
IOZJTSL,O,O,O,X,X,X
IOZJLTS,O,O,O,X,X,X
IOZJLST,O,O,O,X,O,O
IOZJSTL,O,O,O,X,X,X
IOZJSLT,O,O,O,X,O,O
IOZSTLJ,X,X,O,X,X,O
IOZSTJL,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,X,O
IOZSLJT,X,X,O,X,O,O
IOZSJTL,O,O,O,X,X,X
IOZSJLT,O,O,O,X,O,O
LTIJSZO,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,O,X
LTIJZSO,X,X,X,O,X,X
LTIJZOS,X,X,X,O,X,X
LTIJOSZ,X,X,X,X,O,X
LTIJOZS,X,X,X,O,X,X
LTISJZO,X,X,X,X,X,X
LTISJOZ,X,X,X,X,O,X
LTISZJO,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,O
LTISOJZ,X,X,X,X,O,X
LTISOZJ,X,X,X,X,X,O
LTIZJSO,X,X,X,O,X,X
LTIZJOS,X,X,X,O,X,X
LTIZSJO,X,X,X,O,X,X
LTIZSOJ,X,X,X,O,X,O
LTIZOJS,X,X,X,O,X,X
LTIZOSJ,X,X,X,O,X,O
LTIOJSZ,X,X,X,X,O,X
LTIOJZS,X,X,X,O,X,X
LTIOSJZ,X,X,X,X,O,X
LTIOSZJ,X,X,X,X,X,O
LTIOZJS,X,X,X,O,X,X
LTIOZSJ,X,X,X,O,X,O
LTJISZO,X,X,X,X,X,X
LTJISOZ,X,X,X,X,O,X
LTJIZSO,X,X,X,O,X,X
LTJIZOS,X,X,X,O,X,X
LTJIOSZ,X,X,X,X,O,X
LTJIOZS,X,X,X,O,X,X
LTJSIZO,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,O,X
LTJSZIO,O,O,X,O,X,X
LTJSZOI,O,O,X,O,X,X
LTJSOIZ,X,X,X,X,O,X
LTJSOZI,O,O,X,O,X,X
LTJZISO,X,X,X,O,X,X
LTJZIOS,O,O,X,O,X,X
LTJZSIO,X,X,X,O,X,X
LTJZSOI,X,X,X,O,X,X
LTJZOIS,O,O,X,O,X,X
LTJZOSI,X,X,X,O,X,X
LTJOISZ,X,X,X,X,O,X
LTJOIZS,X,X,X,O,X,X
LTJOSIZ,X,X,X,X,O,X
LTJOSZI,O,O,X,O,X,X
LTJOZIS,O,O,X,O,X,X
LTJOZSI,X,X,X,O,X,X
LTSIJZO,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,O,X
LTSIZJO,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,O
LTSIOJZ,X,X,X,X,O,X
LTSIOZJ,X,X,X,X,X,O
LTSJIZO,X,X,X,X,X,X
LTSJIOZ,X,X,X,X,O,X
LTSJZIO,O,O,X,O,X,X
LTSJZOI,O,O,X,O,X,X
LTSJOIZ,X,X,X,X,O,X
LTSJOZI,O,O,X,O,X,X
LTSZIJO,O,O,X,O,X,X
LTSZIOJ,O,O,X,O,X,O
LTSZJIO,O,O,X,O,X,X
LTSZJOI,O,O,X,O,X,X
LTSZOIJ,O,O,X,O,X,O
LTSZOJI,O,O,X,O,X,X
LTSOIJZ,X,X,X,X,O,X
LTSOIZJ,X,X,X,X,X,O
LTSOJIZ,X,X,X,X,O,X
LTSOJZI,O,O,X,O,X,X
LTSOZIJ,O,O,X,O,X,O
LTSOZJI,O,O,X,O,X,X
LTZIJSO,X,X,X,O,X,X
LTZIJOS,O,O,X,O,X,X
LTZISJO,X,X,X,O,X,X
LTZISOJ,X,X,X,O,X,O
LTZIOJS,O,O,X,O,X,X
LTZIOSJ,X,X,X,O,X,O
LTZJISO,X,X,X,O,X,X
LTZJIOS,O,O,X,O,X,X
LTZJSIO,X,X,X,O,X,X
LTZJSOI,X,X,X,O,X,X
LTZJOIS,O,O,X,O,X,X
LTZJOSI,X,X,X,O,X,X
LTZSIJO,X,X,X,O,X,X
LTZSIOJ,X,X,X,O,X,O
LTZSJIO,X,X,X,O,X,X
LTZSJOI,X,X,X,O,X,X
LTZSOIJ,X,X,X,O,X,O
LTZSOJI,X,X,X,O,X,X
LTZOIJS,O,O,X,O,X,X
LTZOISJ,X,X,X,O,X,O
LTZOJIS,O,O,X,O,X,X
LTZOJSI,X,X,X,O,X,X
LTZOSIJ,X,X,X,O,X,O
LTZOSJI,X,X,X,O,X,X
LTOIJSZ,X,X,X,X,O,X
LTOIJZS,X,X,X,O,X,X
LTOISJZ,X,X,X,X,O,X
LTOISZJ,X,X,X,X,X,O
LTOIZJS,X,X,X,O,X,X
LTOIZSJ,X,X,X,O,X,O
LTOJISZ,X,X,X,X,O,X
LTOJIZS,X,X,X,O,X,X
LTOJSIZ,X,X,X,X,O,X
LTOJSZI,O,O,X,O,X,X
LTOJZIS,O,O,X,O,X,X
LTOJZSI,X,X,X,O,X,X
LTOSIJZ,X,X,X,X,O,X
LTOSIZJ,X,X,X,X,X,O
LTOSJIZ,X,X,X,X,O,X
LTOSJZI,O,O,X,O,X,X
LTOSZIJ,O,O,X,O,X,O
LTOSZJI,O,O,X,O,X,X
LTOZIJS,O,O,X,O,X,X
LTOZISJ,X,X,X,O,X,O
LTOZJIS,O,O,X,O,X,X
LTOZJSI,X,X,X,O,X,X
LTOZSIJ,X,X,X,O,X,O
LTOZSJI,X,X,X,O,X,X
LITJSZO,X,X,X,X,X,X
LITJSOZ,X,X,X,X,O,X
LITJZSO,X,X,X,O,X,X
LITJZOS,X,X,X,O,X,X
LITJOSZ,X,X,X,X,O,X
LITJOZS,X,X,X,O,X,X
LITSJZO,X,X,X,X,X,X
LITSJOZ,X,X,X,X,O,X
LITSZJO,X,X,X,X,X,X
LITSZOJ,X,X,X,X,X,O
LITSOJZ,X,X,X,X,O,X
LITSOZJ,X,X,X,X,X,O
LITZJSO,X,X,X,O,X,X
LITZJOS,X,X,X,O,X,X
LITZSJO,X,X,X,O,X,X
LITZSOJ,X,X,X,O,X,O
LITZOJS,X,X,X,O,X,X
LITZOSJ,X,X,X,O,X,O
LITOJSZ,X,X,X,X,O,X
LITOJZS,X,X,X,O,X,X
LITOSJZ,X,X,X,X,O,X
LITOSZJ,X,X,X,X,X,O
LITOZJS,X,X,X,O,X,X
LITOZSJ,X,X,X,O,X,O
LIJTSZO,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,O,X
LIJTZSO,X,X,X,O,X,X
LIJTZOS,X,X,X,O,X,X
LIJTOSZ,X,X,X,X,O,X
LIJTOZS,X,X,X,O,X,X
LIJSTZO,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,O,X
LIJSZTO,X,O,O,X,X,X
LIJSZOT,X,O,O,X,O,O
LIJSOTZ,X,X,X,X,O,X
LIJSOZT,X,O,X,X,O,O
LIJZTSO,X,X,O,X,X,X
LIJZTOS,X,O,X,X,X,X
LIJZSTO,X,X,O,X,X,X
LIJZSOT,X,O,O,X,O,O
LIJZOTS,X,O,X,X,X,X
LIJZOST,X,O,O,X,O,O
LIJOTSZ,X,X,X,X,O,X
LIJOTZS,X,X,O,O,X,X
LIJOSTZ,X,X,X,X,O,X
LIJOSZT,X,O,O,X,O,O
LIJOZTS,X,O,O,X,X,X
LIJOZST,X,O,O,X,O,O
LISTJZO,X,X,X,X,X,X
LISTJOZ,X,X,X,X,O,X
LISTZJO,X,X,X,X,X,X
LISTZOJ,X,X,X,X,X,O
LISTOJZ,X,X,X,X,O,X
LISTOZJ,X,X,X,X,X,O
LISJTZO,X,X,X,X,X,X
LISJTOZ,X,X,X,X,O,X
LISJZTO,X,O,O,X,X,X
LISJZOT,X,O,O,X,O,O
LISJOTZ,X,X,X,X,O,X
LISJOZT,X,O,X,X,O,O
LISZTJO,X,O,O,X,X,X
LISZTOJ,X,O,X,X,X,O
LISZJTO,X,O,O,X,X,X
LISZJOT,X,O,O,X,O,O
LISZOTJ,X,O,X,X,X,O
LISZOJT,X,O,O,X,O,O
LISOTJZ,X,X,X,X,O,X
LISOTZJ,X,X,X,X,X,O
LISOJTZ,X,X,X,X,O,X
LISOJZT,X,O,X,X,O,O
LISOZTJ,X,O,X,X,X,O
LISOZJT,X,O,X,X,O,O
LIZTJSO,X,X,O,O,X,X
LIZTJOS,X,O,X,O,X,X
LIZTSJO,X,X,O,O,X,X
LIZTSOJ,X,X,X,O,X,O
LIZTOJS,X,O,X,O,X,X
LIZTOSJ,X,X,X,O,X,O
LIZJTSO,X,X,O,X,X,X
LIZJTOS,X,O,X,X,X,X
LIZJSTO,X,X,O,X,X,X
LIZJSOT,X,O,O,X,O,O
LIZJOTS,X,O,X,X,X,X
LIZJOST,X,O,O,X,O,O
LIZSTJO,X,X,O,X,X,X
LIZSTOJ,X,X,X,X,X,O
LIZSJTO,X,X,O,X,X,X
LIZSJOT,X,O,O,X,O,O
LIZSOTJ,X,X,X,X,X,O
LIZSOJT,X,O,O,X,O,O
LIZOTJS,X,O,X,O,X,X
LIZOTSJ,X,X,X,O,X,O
LIZOJTS,X,O,X,X,X,X
LIZOJST,X,O,O,X,O,O
LIZOSTJ,X,X,X,X,X,O
LIZOSJT,X,O,O,X,O,O
LIOTJSZ,X,X,X,X,O,X
LIOTJZS,X,X,O,O,X,X
LIOTSJZ,X,X,X,X,O,X
LIOTSZJ,X,X,X,X,X,O
LIOTZJS,X,X,O,O,X,X
LIOTZSJ,X,X,O,O,X,O
LIOJTSZ,X,X,X,X,O,X
LIOJTZS,X,X,O,O,X,X
LIOJSTZ,X,X,X,X,O,X
LIOJSZT,X,O,O,X,O,O
LIOJZTS,X,O,O,X,X,X
LIOJZST,X,O,O,X,O,O
LIOSTJZ,X,X,X,X,O,X
LIOSTZJ,X,X,X,X,X,O
LIOSJTZ,X,X,X,X,O,X
LIOSJZT,X,O,O,X,O,O
LIOSZTJ,X,O,O,X,X,O
LIOSZJT,X,O,O,X,O,O
LIOZTJS,X,O,O,O,X,X
LIOZTSJ,X,X,O,O,X,O
LIOZJTS,X,O,O,X,X,X
LIOZJST,X,O,O,X,O,O
LIOZSTJ,X,X,O,X,X,O
LIOZSJT,X,O,O,X,O,O
LJTISZO,X,X,X,X,X,X
LJTISOZ,X,X,X,X,O,X
LJTIZSO,X,X,X,O,X,X
LJTIZOS,X,X,X,O,X,X
LJTIOSZ,X,X,X,X,O,X
LJTIOZS,X,X,X,O,X,X
LJTSIZO,X,X,X,X,X,X
LJTSIOZ,X,X,X,X,O,X
LJTSZIO,O,O,X,O,X,X
LJTSZOI,O,O,X,O,X,X
LJTSOIZ,X,X,X,X,O,X
LJTSOZI,O,O,X,O,X,X
LJTZISO,X,X,X,O,X,X
LJTZIOS,O,O,X,O,X,X
LJTZSIO,X,X,X,O,X,X
LJTZSOI,X,X,X,O,X,X
LJTZOIS,O,O,X,O,X,X
LJTZOSI,X,X,X,O,X,X
LJTOISZ,X,X,X,X,O,X
LJTOIZS,X,X,X,O,X,X
LJTOSIZ,X,X,X,X,O,X
LJTOSZI,O,O,X,O,X,X
LJTOZIS,O,O,X,O,X,X
LJTOZSI,X,X,X,O,X,X
LJITSZO,X,X,X,X,X,X
LJITSOZ,X,X,X,X,O,X
LJITZSO,X,X,X,O,X,X
LJITZOS,X,X,X,O,X,X
LJITOSZ,X,X,X,X,O,X
LJITOZS,X,X,X,O,X,X
LJISTZO,X,X,X,X,X,X
LJISTOZ,X,X,X,X,O,X
LJISZTO,X,O,O,X,X,X
LJISZOT,X,O,O,X,O,O
LJISOTZ,X,X,X,X,O,X
LJISOZT,X,O,X,X,O,O
LJIZTSO,X,X,O,X,X,X
LJIZTOS,X,O,X,X,X,X
LJIZSTO,X,X,O,X,X,X
LJIZSOT,X,O,O,X,O,O
LJIZOTS,X,O,X,X,X,X
LJIZOST,X,O,O,X,O,O
LJIOTSZ,X,X,X,X,O,X
LJIOTZS,X,X,O,O,X,X
LJIOSTZ,X,X,X,X,O,X
LJIOSZT,X,O,O,X,O,O
LJIOZTS,X,O,O,X,X,X
LJIOZST,X,O,O,X,O,O
LJSTIZO,X,X,X,X,X,X
LJSTIOZ,X,X,X,X,O,X
LJSTZIO,O,O,X,O,X,X
LJSTZOI,O,O,X,O,X,X
LJSTOIZ,X,X,X,X,O,X
LJSTOZI,O,O,X,O,X,X
LJSITZO,X,X,X,X,X,X
LJSITOZ,X,X,X,X,O,X
LJSIZTO,X,O,O,X,X,X
LJSIZOT,X,O,O,X,O,O
LJSIOTZ,X,X,X,X,O,X
LJSIOZT,X,O,X,X,O,O
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,O,X,X,X,X
LJSZITO,X,O,O,X,X,X
LJSZIOT,O,O,O,X,O,O
LJSZOTI,O,O,X,X,X,X
LJSZOIT,O,O,O,X,O,O
LJSOTIZ,X,X,X,X,O,X
LJSOTZI,O,O,X,O,X,X
LJSOITZ,X,X,X,X,O,X
LJSOIZT,X,O,X,X,O,O
LJSOZTI,O,O,X,X,X,X
LJSOZIT,O,O,X,X,O,O
LJZTISO,X,X,O,O,X,X
LJZTIOS,O,O,X,O,X,X
LJZTSIO,X,X,O,O,X,X
LJZTSOI,X,X,X,O,X,X
LJZTOIS,O,O,X,O,X,X
LJZTOSI,X,X,X,O,X,X
LJZITSO,X,X,O,X,X,X
LJZITOS,X,O,X,X,X,X
LJZISTO,X,X,O,X,X,X
LJZISOT,X,O,O,X,O,O
LJZIOTS,O,O,X,X,X,X
LJZIOST,O,O,O,X,O,O
LJZSTIO,X,O,O,X,X,X
LJZSTOI,X,O,X,X,X,X
LJZSITO,X,O,O,X,X,X
LJZSIOT,X,O,O,X,O,O
LJZSOTI,X,O,X,X,X,X
LJZSOIT,X,O,O,X,O,O
LJZOTIS,O,O,X,O,X,X
LJZOTSI,X,X,X,O,X,X
LJZOITS,O,O,X,X,X,X
LJZOIST,O,O,O,X,O,O
LJZOSTI,X,O,X,X,X,X
LJZOSIT,X,O,O,X,O,O
LJOTISZ,X,X,X,X,O,X
LJOTIZS,X,X,O,O,X,X
LJOTSIZ,X,X,X,X,O,X
LJOTSZI,O,O,X,O,X,X
LJOTZIS,O,O,O,O,X,X
LJOTZSI,X,X,O,O,X,X
LJOITSZ,X,X,X,X,O,X
LJOITZS,X,X,O,O,X,X
LJOISTZ,X,X,X,X,O,X
LJOISZT,X,O,O,X,O,O
LJOIZTS,X,O,O,X,X,X
LJOIZST,X,O,O,X,O,O
LJOSTIZ,X,X,X,X,O,X
LJOSTZI,O,O,X,O,X,X
LJOSITZ,X,X,X,X,O,X
LJOSIZT,X,O,O,X,O,O
LJOSZTI,O,O,O,X,X,X
LJOSZIT,O,O,O,X,O,O
LJOZTIS,O,O,O,O,X,X
LJOZTSI,X,X,O,O,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,O,O,O,X,O,O
LJOZSTI,X,O,O,X,X,X
LJOZSIT,X,O,O,X,O,O
LSTIJZO,X,X,X,X,X,X
LSTIJOZ,X,X,X,X,O,X
LSTIZJO,X,X,X,X,X,X
LSTIZOJ,X,X,X,X,X,O
LSTIOJZ,X,X,X,X,O,X
LSTIOZJ,X,X,X,X,X,O
LSTJIZO,X,X,X,X,X,X
LSTJIOZ,X,X,X,X,O,X
LSTJZIO,O,O,X,O,X,X
LSTJZOI,O,O,X,O,X,X
LSTJOIZ,X,X,X,X,O,X
LSTJOZI,O,O,X,O,X,X
LSTZIJO,O,O,X,O,X,X
LSTZIOJ,O,O,X,O,X,O
LSTZJIO,O,O,X,O,X,X
LSTZJOI,O,O,X,O,X,X
LSTZOIJ,O,O,X,O,X,O
LSTZOJI,O,O,X,O,X,X
LSTOIJZ,X,X,X,X,O,X
LSTOIZJ,X,X,X,X,X,O
LSTOJIZ,X,X,X,X,O,X
LSTOJZI,O,O,X,O,X,X
LSTOZIJ,O,O,X,O,X,O
LSTOZJI,O,O,X,O,X,X
LSITJZO,X,X,X,X,X,X
LSITJOZ,X,X,X,X,O,X
LSITZJO,X,X,X,X,X,X
LSITZOJ,X,X,X,X,X,O
LSITOJZ,X,X,X,X,O,X
LSITOZJ,X,X,X,X,X,O
LSIJTZO,X,X,X,X,X,X
LSIJTOZ,X,X,X,X,O,X
LSIJZTO,X,O,O,X,X,X
LSIJZOT,X,O,O,X,O,O
LSIJOTZ,X,X,X,X,O,X
LSIJOZT,X,O,X,X,O,O
LSIZTJO,X,O,O,X,X,X
LSIZTOJ,X,O,X,X,X,O
LSIZJTO,X,O,O,X,X,X
LSIZJOT,X,O,O,X,O,O
LSIZOTJ,X,O,X,X,X,O
LSIZOJT,X,O,O,X,O,O
LSIOTJZ,X,X,X,X,O,X
LSIOTZJ,X,X,X,X,X,O
LSIOJTZ,X,X,X,X,O,X
LSIOJZT,X,O,X,X,O,O
LSIOZTJ,X,O,X,X,X,O
LSIOZJT,X,O,X,X,O,O
LSJTIZO,X,X,X,X,X,X
LSJTIOZ,X,X,X,X,O,X
LSJTZIO,O,O,X,O,X,X
LSJTZOI,O,O,X,O,X,X
LSJTOIZ,X,X,X,X,O,X
LSJTOZI,O,O,X,O,X,X
LSJITZO,X,X,X,X,X,X
LSJITOZ,X,X,X,X,O,X
LSJIZTO,X,O,O,X,X,X
LSJIZOT,X,O,O,X,O,O
LSJIOTZ,X,X,X,X,O,X
LSJIOZT,X,O,X,X,O,O
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,X,X,X,X
LSJZITO,X,O,O,X,X,X
LSJZIOT,O,O,O,X,O,O
LSJZOTI,O,O,X,X,X,X
LSJZOIT,O,O,O,X,O,O
LSJOTIZ,X,X,X,X,O,X
LSJOTZI,O,O,X,O,X,X
LSJOITZ,X,X,X,X,O,X
LSJOIZT,X,O,X,X,O,O
LSJOZTI,O,O,X,X,X,X
LSJOZIT,O,O,X,X,O,O
LSZTIJO,O,O,O,O,X,X
LSZTIOJ,O,O,X,O,X,O
LSZTJIO,O,O,O,O,X,X
LSZTJOI,O,O,X,O,X,X
LSZTOIJ,O,O,X,O,X,O
LSZTOJI,O,O,X,O,X,X
LSZITJO,X,O,O,X,X,X
LSZITOJ,X,O,X,X,X,O
LSZIJTO,X,O,O,X,X,X
LSZIJOT,O,O,O,X,O,O
LSZIOTJ,X,O,X,X,X,O
LSZIOJT,O,O,O,X,O,O
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,X,X,X,X
LSZJITO,X,O,O,X,X,X
LSZJIOT,O,O,O,X,O,O
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,O,X,O,O
LSZOTIJ,O,O,X,O,X,O
LSZOTJI,O,O,X,O,X,X
LSZOITJ,X,O,X,X,X,O
LSZOIJT,O,O,O,X,O,O
LSZOJTI,O,O,X,X,X,X
LSZOJIT,O,O,O,X,O,O
LSOTIJZ,X,X,X,X,O,X
LSOTIZJ,X,X,X,X,X,O
LSOTJIZ,X,X,X,X,O,X
LSOTJZI,O,O,X,O,X,X
LSOTZIJ,O,O,X,O,X,O
LSOTZJI,O,O,X,O,X,X
LSOITJZ,X,X,X,X,O,X
LSOITZJ,X,X,X,X,X,O
LSOIJTZ,X,X,X,X,O,X
LSOIJZT,X,O,X,X,O,O
LSOIZTJ,X,O,X,X,X,O
LSOIZJT,X,O,X,X,O,O
LSOJTIZ,X,X,X,X,O,X
LSOJTZI,O,O,X,O,X,X
LSOJITZ,X,X,X,X,O,X
LSOJIZT,X,O,X,X,O,O
LSOJZTI,O,O,X,X,X,X
LSOJZIT,O,O,X,X,O,O
LSOZTIJ,O,O,X,O,X,O
LSOZTJI,O,O,X,O,X,X
LSOZITJ,X,O,X,X,X,O
LSOZIJT,O,O,X,X,O,O
LSOZJTI,O,O,X,X,X,X
LSOZJIT,O,O,X,X,O,O
LZTIJSO,X,X,O,O,X,X
LZTIJOS,O,O,X,O,X,X
LZTISJO,X,X,O,O,X,X
LZTISOJ,X,X,X,O,X,O
LZTIOJS,O,O,X,O,X,X
LZTIOSJ,X,X,X,O,X,O
LZTJISO,X,X,O,O,X,X
LZTJIOS,O,O,X,O,X,X
LZTJSIO,X,X,O,O,X,X
LZTJSOI,X,X,X,O,X,X
LZTJOIS,O,O,X,O,X,X
LZTJOSI,X,X,X,O,X,X
LZTSIJO,X,X,O,O,X,X
LZTSIOJ,X,X,X,O,X,O
LZTSJIO,X,X,O,O,X,X
LZTSJOI,X,X,X,O,X,X
LZTSOIJ,X,X,X,O,X,O
LZTSOJI,X,X,X,O,X,X
LZTOIJS,O,O,X,O,X,X
LZTOISJ,X,X,X,O,X,O
LZTOJIS,O,O,X,O,X,X
LZTOJSI,X,X,X,O,X,X
LZTOSIJ,X,X,X,O,X,O
LZTOSJI,X,X,X,O,X,X
LZITJSO,X,X,O,O,X,X
LZITJOS,X,O,X,O,X,X
LZITSJO,X,X,O,O,X,X
LZITSOJ,X,X,X,O,X,O
LZITOJS,X,O,X,O,X,X
LZITOSJ,X,X,X,O,X,O
LZIJTSO,X,X,O,X,X,X
LZIJTOS,X,O,X,X,X,X
LZIJSTO,X,X,O,X,X,X
LZIJSOT,X,O,O,X,O,O
LZIJOTS,O,O,X,X,X,X
LZIJOST,O,O,O,X,O,O
LZISTJO,X,X,O,X,X,X
LZISTOJ,X,X,X,X,X,O
LZISJTO,X,X,O,X,X,X
LZISJOT,X,O,O,X,O,O
LZISOTJ,X,X,X,X,X,O
LZISOJT,X,O,O,X,O,O
LZIOTJS,X,O,X,O,X,X
LZIOTSJ,X,X,X,O,X,O
LZIOJTS,O,O,X,X,X,X
LZIOJST,O,O,O,X,O,O
LZIOSTJ,X,X,X,X,X,O
LZIOSJT,X,O,O,X,O,O
LZJTISO,X,X,O,O,X,X
LZJTIOS,O,O,X,O,X,X
LZJTSIO,X,X,O,O,X,X
LZJTSOI,X,X,X,O,X,X
LZJTOIS,O,O,X,O,X,X
LZJTOSI,X,X,X,O,X,X
LZJITSO,X,X,O,X,X,X
LZJITOS,X,O,X,X,X,X
LZJISTO,X,X,O,X,X,X
LZJISOT,X,O,O,X,O,O
LZJIOTS,O,O,X,X,X,X
LZJIOST,O,O,O,X,O,O
LZJSTIO,X,O,O,X,X,X
LZJSTOI,X,O,X,X,X,X
LZJSITO,X,O,O,X,X,X
LZJSIOT,X,O,O,X,O,O
LZJSOTI,X,O,X,X,X,X
LZJSOIT,X,O,O,X,O,O
LZJOTIS,O,O,X,O,X,X
LZJOTSI,X,X,X,O,X,X
LZJOITS,O,O,X,X,X,X
LZJOIST,O,O,O,X,O,O
LZJOSTI,X,O,X,X,X,X
LZJOSIT,X,O,O,X,O,O
LZSTIJO,X,O,O,O,X,X
LZSTIOJ,X,O,X,O,X,O
LZSTJIO,X,O,O,O,X,X
LZSTJOI,X,O,X,O,X,X
LZSTOIJ,X,O,X,O,X,O
LZSTOJI,X,O,X,O,X,X
LZSITJO,X,O,O,X,X,X
LZSITOJ,X,O,X,X,X,O
LZSIJTO,X,O,O,X,X,X
LZSIJOT,X,O,O,X,O,O
LZSIOTJ,X,O,X,X,X,O
LZSIOJT,X,O,O,X,O,O
LZSJTIO,X,O,O,X,X,X
LZSJTOI,X,O,X,X,X,X
LZSJITO,X,O,O,X,X,X
LZSJIOT,X,O,O,X,O,O
LZSJOTI,X,O,X,X,X,X
LZSJOIT,X,O,O,X,O,O
LZSOTIJ,X,O,X,O,X,O
LZSOTJI,X,O,X,O,X,X
LZSOITJ,X,O,X,X,X,O
LZSOIJT,X,O,O,X,O,O
LZSOJTI,X,O,X,X,X,X
LZSOJIT,X,O,O,X,O,O
LZOTIJS,O,O,X,O,X,X
LZOTISJ,X,X,X,O,X,O
LZOTJIS,O,O,X,O,X,X
LZOTJSI,X,X,X,O,X,X
LZOTSIJ,X,X,X,O,X,O
LZOTSJI,X,X,X,O,X,X
LZOITJS,X,O,X,O,X,X
LZOITSJ,X,X,X,O,X,O
LZOIJTS,O,O,X,X,X,X
LZOIJST,O,O,O,X,O,O
LZOISTJ,X,X,X,X,X,O
LZOISJT,X,O,O,X,O,O
LZOJTIS,O,O,X,O,X,X
LZOJTSI,X,X,X,O,X,X
LZOJITS,O,O,X,X,X,X
LZOJIST,O,O,O,X,O,O
LZOJSTI,X,O,X,X,X,X
LZOJSIT,X,O,O,X,O,O
LZOSTIJ,X,O,X,O,X,O
LZOSTJI,X,O,X,O,X,X
LZOSITJ,X,O,X,X,X,O
LZOSIJT,X,O,O,X,O,O
LZOSJTI,X,O,X,X,X,X
