sequence,v115@LhA8CeA8DeB8CeA8AeF8BeA8Kei/IvhF3gBzhBunB5?oB1pBUsB,v115@LhA8CeA8DeB8CeA8AeF8BeA8KeKEJvhFflBlgBzhBu?nB5oBUsB,v115@LhA8CeA8DeB8CeA8AeF8BeA8KeT/IvhFlgB3iB5oBy?pBWsBUsB,v115@LhA8CeA8DeB8CeA8AeF8BeA8Kei/IvhF3gBunB5oB1?pBzmBUsB
TZLIJOS,O,O,O,O
TZLISJO,O,O,O,O
TZLISOJ,O,O,O,O
TZLIOJS,O,O,O,O
TZLIOSJ,O,O,O,O
TZLJISO,O,O,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,O,O
TZLSIOJ,O,O,O,O
TZLSJIO,O,O,O,O
TZLSJOI,O,O,O,O
TZLSOIJ,O,O,O,O
TZLSOJI,O,O,O,O
TZLOIJS,O,O,O,O
TZLOISJ,O,O,O,O
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,O
TZLOSIJ,O,O,O,O
TZLOSJI,O,O,O,O
TZJILSO,O,O,O,O
TZJILOS,O,O,O,O
TZJISLO,O,X,O,O
TZJISOL,O,X,X,O
TZJIOLS,O,O,X,O
TZJIOSL,O,X,X,O
TZJLISO,O,O,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,X,O,O
TZJSIOL,O,X,X,O
TZJSLIO,O,X,O,O
TZJSLOI,O,X,O,O
TZJSOIL,O,X,X,O
TZJSOLI,O,X,X,O
TZJOILS,O,O,X,O
TZJOISL,O,X,X,O
TZJOLIS,O,O,X,O
TZJOLSI,O,O,X,O
TZJOSIL,O,X,X,O
TZJOSLI,O,X,X,O
TZSILJO,O,X,O,O
TZSILOJ,O,X,O,O
TZSIJLO,O,X,O,O
TZSIJOL,O,X,X,O
TZSIOLJ,O,X,X,O
TZSIOJL,O,X,X,O
TZSLIJO,O,X,O,O
TZSLIOJ,O,X,O,O
TZSLJIO,O,X,O,O
TZSLJOI,O,X,O,O
TZSLOIJ,O,X,O,O
TZSLOJI,O,X,O,O
TZSJILO,O,X,O,O
TZSJIOL,O,X,X,O
TZSJLIO,O,X,O,O
TZSJLOI,O,X,O,O
TZSJOIL,O,X,X,O
TZSJOLI,O,X,X,O
TZSOILJ,O,X,X,O
TZSOIJL,O,X,X,O
TZSOLIJ,O,X,X,O
TZSOLJI,O,X,X,O
TZSOJIL,O,X,X,O
TZSOJLI,O,X,X,O
TZOILJS,O,O,X,O
TZOILSJ,O,O,X,O
TZOIJLS,O,O,X,O
TZOIJSL,O,X,X,O
TZOISLJ,O,X,X,O
TZOISJL,O,X,X,O
TZOLIJS,O,O,X,O
TZOLISJ,O,O,X,O
TZOLJIS,O,O,X,O
TZOLJSI,O,O,X,O
TZOLSIJ,O,O,X,O
TZOLSJI,O,O,X,O
TZOJILS,O,O,X,O
TZOJISL,O,X,X,O
TZOJLIS,O,O,X,O
TZOJLSI,O,O,X,O
TZOJSIL,O,X,X,O
TZOJSLI,O,X,X,O
TZOSILJ,O,X,X,O
TZOSIJL,O,X,X,O
TZOSLIJ,O,X,X,O
TZOSLJI,O,X,X,O
TZOSJIL,O,X,X,O
TZOSJLI,O,X,X,O
TOILJSZ,O,X,O,O
TOILJZS,O,X,O,O
TOILSJZ,O,X,O,O
TOILSZJ,O,X,O,O
TOILZJS,O,X,O,O
TOILZSJ,O,X,O,O
TOIJLSZ,O,X,O,O
TOIJLZS,O,X,O,O
TOIJSLZ,O,X,O,O
TOIJSZL,O,X,X,O
TOIJZLS,O,X,X,O
TOIJZSL,O,X,X,O
TOISLJZ,O,X,O,O
TOISLZJ,O,X,O,O
TOISJLZ,O,X,O,O
TOISJZL,O,X,X,O
TOISZLJ,O,X,X,O
TOISZJL,O,X,X,O
TOIZLJS,O,X,X,O
TOIZLSJ,O,X,X,O
TOIZJLS,O,X,X,O
TOIZJSL,O,X,X,O
TOIZSLJ,O,X,X,O
TOIZSJL,O,X,X,O
TOLIJSZ,O,X,O,O
TOLIJZS,O,X,O,O
TOLISJZ,O,X,O,O
TOLISZJ,O,X,O,O
TOLIZJS,O,X,O,O
TOLIZSJ,O,X,O,O
TOLJISZ,O,X,O,O
TOLJIZS,O,X,O,O
TOLJSIZ,O,X,O,O
TOLJSZI,O,X,O,O
TOLJZIS,O,X,O,O
TOLJZSI,O,X,O,O
TOLSIJZ,O,X,O,O
TOLSIZJ,O,X,O,O
TOLSJIZ,O,X,O,O
TOLSJZI,O,X,O,O
TOLSZIJ,O,X,O,O
TOLSZJI,O,X,O,O
TOLZIJS,O,X,O,O
TOLZISJ,O,X,O,O
TOLZJIS,O,X,O,O
TOLZJSI,O,X,O,O
TOLZSIJ,O,X,O,O
TOLZSJI,O,X,O,O
TOJILSZ,O,X,O,O
TOJILZS,O,X,O,O
TOJISLZ,O,X,O,O
TOJISZL,O,X,X,O
TOJIZLS,O,X,X,O
TOJIZSL,O,X,X,O
TOJLISZ,O,X,O,O
TOJLIZS,O,X,O,O
TOJLSIZ,O,X,O,O
TOJLSZI,O,X,O,O
TOJLZIS,O,X,O,O
TOJLZSI,O,X,O,O
TOJSILZ,O,X,O,O
TOJSIZL,O,X,X,O
TOJSLIZ,O,X,O,O
TOJSLZI,O,X,O,O
TOJSZIL,O,X,X,O
TOJSZLI,O,X,X,O
TOJZILS,O,X,X,O
TOJZISL,O,X,X,O
TOJZLIS,O,X,X,O
TOJZLSI,O,X,X,O
TOJZSIL,O,X,X,O
TOJZSLI,O,X,X,O
TOSILJZ,O,X,O,O
TOSILZJ,O,X,O,O
TOSIJLZ,O,X,O,O
TOSIJZL,O,X,X,O
TOSIZLJ,O,X,X,O
TOSIZJL,O,X,X,O
TOSLIJZ,O,X,O,O
TOSLIZJ,O,X,O,O
TOSLJIZ,O,X,O,O
TOSLJZI,O,X,O,O
TOSLZIJ,O,X,O,O
TOSLZJI,O,X,O,O
TOSJILZ,O,X,O,O
TOSJIZL,O,X,X,O
TOSJLIZ,O,X,O,O
TOSJLZI,O,X,O,O
TOSJZIL,O,X,X,O
TOSJZLI,O,X,X,O
TOSZILJ,O,X,X,O
TOSZIJL,O,X,X,O
TOSZLIJ,O,X,X,O
TOSZLJI,O,X,X,O
TOSZJIL,O,X,X,O
TOSZJLI,O,X,X,O
TOZILJS,O,X,X,O
TOZILSJ,O,X,X,O
TOZIJLS,O,X,X,O
TOZIJSL,O,X,X,O
TOZISLJ,O,X,X,O
TOZISJL,O,X,X,O
TOZLIJS,O,X,X,O
TOZLISJ,O,X,X,O
TOZLJIS,O,X,X,O
TOZLJSI,O,X,X,O
TOZLSIJ,O,X,X,O
TOZLSJI,O,X,X,O
TOZJILS,O,X,X,O
TOZJISL,O,X,X,O
TOZJLIS,O,X,X,O
TOZJLSI,O,X,X,O
TOZJSIL,O,X,X,O
TOZJSLI,O,X,X,O
TOZSILJ,O,X,X,O
TOZSIJL,O,X,X,O
TOZSLIJ,O,X,X,O
TOZSLJI,O,X,X,O
TOZSJIL,O,X,X,O
TOZSJLI,O,X,X,O
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,O
ITLJZSO,O,O,O,O
ITLJZOS,O,O,O,O
ITLJOSZ,O,X,O,O
ITLJOZS,O,X,O,O
ITLSJZO,O,O,O,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,O,O,O
ITLSZOJ,O,O,O,O
ITLSOJZ,O,O,O,O
ITLSOZJ,O,O,O,O
ITLZJSO,O,O,O,O
ITLZJOS,O,O,O,O
ITLZSJO,O,O,O,O
ITLZSOJ,O,O,O,O
ITLZOJS,O,O,O,O
ITLZOSJ,O,O,O,O
ITLOJSZ,O,X,O,O
ITLOJZS,O,X,O,O
ITLOSJZ,O,X,O,O
ITLOSZJ,O,X,O,O
ITLOZJS,O,X,O,O
ITLOZSJ,O,X,O,O
ITJLSZO,O,O,O,O
ITJLSOZ,O,O,O,O
ITJLZSO,O,O,O,O
ITJLZOS,O,O,O,O
ITJLOSZ,O,X,O,O
ITJLOZS,O,X,O,O
ITJSLZO,O,X,O,O
ITJSLOZ,O,X,O,O
ITJSZLO,O,X,O,O
ITJSZOL,O,X,X,O
ITJSOLZ,O,X,O,O
ITJSOZL,O,X,X,O
ITJZLSO,O,O,O,O
ITJZLOS,O,O,O,O
ITJZSLO,O,X,O,O
ITJZSOL,O,X,X,O
ITJZOLS,O,O,X,O
ITJZOSL,O,X,X,O
ITJOLSZ,O,X,O,O
ITJOLZS,O,X,O,O
ITJOSLZ,O,X,O,O
ITJOSZL,O,X,X,O
ITJOZLS,O,X,X,O
ITJOZSL,O,X,X,O
ITSLJZO,O,X,O,O
ITSLJOZ,O,X,O,O
ITSLZJO,O,X,O,O
ITSLZOJ,O,X,O,O
ITSLOJZ,O,X,O,O
ITSLOZJ,O,X,O,O
ITSJLZO,O,X,O,O
ITSJLOZ,O,X,O,O
ITSJZLO,O,X,O,O
ITSJZOL,O,X,X,O
ITSJOLZ,O,X,O,O
ITSJOZL,O,X,X,O
ITSZLJO,O,X,O,O
ITSZLOJ,O,X,O,O
ITSZJLO,O,X,O,O
ITSZJOL,O,X,X,O
ITSZOLJ,O,X,X,O
ITSZOJL,O,X,X,O
ITSOLJZ,O,X,O,O
ITSOLZJ,O,X,O,O
ITSOJLZ,O,X,O,O
ITSOJZL,O,X,X,O
ITSOZLJ,O,X,X,O
ITSOZJL,O,X,X,O
ITZLJSO,O,O,O,O
ITZLJOS,O,O,O,O
ITZLSJO,O,O,O,O
ITZLSOJ,O,O,O,O
ITZLOJS,O,O,O,O
ITZLOSJ,O,O,O,O
ITZJLSO,O,O,O,O
ITZJLOS,O,O,O,O
