sequence,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBu?rBctBTsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBTjBllBu?rBcsBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBFiBXjB0?mBStBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBfoB6oBl?mBUnBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhF0hBxiBllBW?tBzrBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhF3hBGlBlnBc?tBzrBCtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFTjBGlBlmBc?sBXtBCsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBc?tBGsBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBRiBSoBV?sBXtB0rB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFfoB6oBGlBl?mB0sBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFGlBlmBcsBT?oBCsBXtB
TJISLZO,O,O,X,O,X,X,X,O,X,X,X
TJISLOZ,O,O,X,O,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,O,O,X,O,X
TJISZOL,O,O,X,O,X,X,O,O,X,O,O
TJISOLZ,O,O,X,O,X,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,O,O,X,X,X,X
TJIZLSO,O,O,O,O,X,X,O,O,X,O,X
TJIZLOS,O,O,O,O,X,X,X,O,X,X,O
TJIZSLO,O,O,O,O,X,X,O,O,X,O,X
TJIZSOL,O,O,O,O,X,X,O,O,X,O,O
TJIZOLS,O,O,O,O,X,O,X,O,X,X,O
TJIZOSL,O,O,O,O,X,O,O,O,X,O,O
TJIOLSZ,O,X,O,O,O,X,X,X,X,X,X
TJIOLZS,O,O,O,O,O,X,X,O,X,X,X
TJIOSLZ,O,X,X,O,O,X,X,X,X,X,X
TJIOSZL,O,X,X,O,O,O,X,X,X,X,X
TJIOZLS,O,O,O,O,O,O,X,O,X,X,O
TJIOZSL,O,O,O,O,O,O,O,O,X,O,O
TJLISZO,O,O,O,O,X,X,X,O,X,X,X
TJLISOZ,O,O,O,O,X,X,X,X,X,X,X
TJLIZSO,O,O,O,O,X,X,O,O,X,O,X
TJLIZOS,O,O,O,O,X,X,X,O,X,X,O
TJLIOSZ,O,X,O,O,O,X,X,X,X,X,X
TJLIOZS,O,O,O,O,O,X,X,O,X,X,X
TJLSIZO,O,O,O,X,X,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X,O,X,X,X
TJLSZOI,O,O,O,X,X,X,X,O,X,X,X
TJLSOIZ,O,O,O,X,O,X,X,X,X,X,X
TJLSOZI,O,O,O,X,O,X,X,X,X,X,X
TJLZISO,O,O,O,X,X,X,O,O,X,O,X
TJLZIOS,O,O,O,X,O,X,X,O,X,X,O
TJLZSIO,O,O,O,X,X,X,O,O,X,O,X
TJLZSOI,O,O,O,X,X,X,O,O,X,O,X
TJLZOIS,O,O,O,X,O,X,X,O,X,X,O
TJLZOSI,O,O,O,X,O,X,X,O,X,X,O
TJLOISZ,O,X,O,O,O,X,X,X,X,X,X
TJLOIZS,O,O,O,O,O,X,X,O,X,X,X
TJLOSIZ,O,X,O,X,O,X,X,X,X,X,X
TJLOSZI,O,X,O,X,O,X,X,X,X,X,X
TJLOZIS,O,O,O,X,O,X,X,O,X,X,X
TJLOZSI,O,O,O,X,O,X,X,O,X,X,X
TJSILZO,O,O,X,O,X,X,X,O,O,X,X
TJSILOZ,O,O,X,O,X,X,X,X,O,X,X
TJSIZLO,O,O,X,O,X,X,O,O,O,O,X
TJSIZOL,O,O,X,O,X,X,O,O,O,O,O
TJSIOLZ,O,O,X,O,X,X,X,X,O,X,X
TJSIOZL,O,X,X,O,X,O,O,X,O,X,X
TJSLIZO,O,O,X,X,X,X,X,O,O,X,X
TJSLIOZ,O,O,X,X,X,X,X,X,O,X,X
TJSLZIO,O,O,X,X,X,X,X,O,O,X,X
TJSLZOI,O,O,X,X,X,X,X,O,O,X,X
TJSLOIZ,O,O,X,X,O,X,X,X,O,X,X
TJSLOZI,O,O,X,X,O,X,X,X,O,X,X
TJSZILO,O,O,X,X,X,X,O,O,O,O,X
TJSZIOL,O,O,X,X,X,X,O,O,O,O,O
TJSZLIO,O,O,X,X,X,X,O,O,O,O,X
TJSZLOI,O,O,X,X,X,X,O,O,O,O,X
TJSZOIL,O,O,X,X,X,X,O,O,O,O,O
TJSZOLI,O,O,X,X,X,X,O,O,O,O,O
TJSOILZ,O,O,X,O,O,X,X,X,O,X,X
TJSOIZL,O,X,X,O,O,O,O,X,O,X,X
TJSOLIZ,O,O,X,X,O,X,X,X,O,X,X
TJSOLZI,O,O,X,X,O,X,X,X,O,X,X
TJSOZIL,O,O,X,X,O,O,O,X,O,X,X
