sequence,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFXhB5oBzmBatBln?BUrB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFThB5oBfrB8rBat?BlsB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF0hB5oBzlBatBln?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF8lBfnB5oBatBln?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LexAJvhF0iBTlB2rBFtB6t?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhF0hBxiByqB3rBFt?BGtB,v115@9gB8HeB8HeB8HeD8BeB8LeKFJvhF0hBxiBWtBlrBfr?BTtB,v115@9gB8HeB8HeB8HeD8BeB8LeiAJvhFRiB1qBXnBGtBct?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhFfnBliBxqBGtBKr?BctB,v115@9gB8HeB8HeB8HeD8BeB8LelBJvhFilBxnB0lBWtB3r?BTtB
ILOTZSJ,X,X,X,O,X,X,X,X,X,X
ILOJTSZ,O,X,O,X,X,X,X,X,X,X
ILOJTZS,X,X,O,X,X,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X,X
ILOJSZT,O,O,O,O,X,X,X,X,X,X
ILOJZTS,O,X,O,O,X,X,X,X,X,X
ILOJZST,O,O,O,O,X,X,X,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X,X,X
ILOSTZJ,X,X,O,O,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X,X
ILOSJZT,O,O,O,O,X,X,X,X,X,X
ILOSZTJ,X,O,O,O,X,X,X,X,X,X
ILOSZJT,O,O,O,O,X,X,X,X,X,X
ILOZTJS,O,X,O,O,X,X,X,X,X,X
ILOZTSJ,O,X,X,O,X,X,X,X,X,X
ILOZJTS,O,X,O,O,X,X,X,X,X,X
ILOZJST,O,O,O,O,X,X,X,X,X,X
ILOZSTJ,O,O,O,O,X,X,X,X,X,X
ILOZSJT,O,O,O,O,X,X,X,X,X,X
IJTLSZO,X,O,X,X,X,X,O,O,X,X
IJTLSOZ,X,X,X,X,X,X,O,X,X,X
IJTLZSO,X,O,X,O,X,X,O,X,X,X
IJTLZOS,O,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,X,O,X,X,X,O,X,X,X
IJTLOZS,X,X,O,X,X,X,O,X,X,X
IJTSLZO,X,O,X,X,X,X,O,O,O,X
IJTSLOZ,X,X,X,X,X,X,O,X,O,X
IJTSZLO,X,O,X,X,X,X,X,O,O,X
IJTSZOL,X,O,X,X,X,X,X,O,O,X
IJTSOLZ,X,X,X,X,X,X,X,O,X,X
IJTSOZL,X,X,X,X,X,X,X,O,X,X
IJTZLSO,X,O,X,O,X,X,O,X,X,X
IJTZLOS,O,X,X,X,X,X,X,X,X,X
IJTZSLO,X,O,X,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X,X,X
IJTZOLS,O,X,X,X,O,X,X,X,X,X
IJTZOSL,O,X,X,X,O,X,X,X,X,X
IJTOLSZ,O,X,O,X,O,X,O,X,X,X
IJTOLZS,X,X,O,X,O,X,X,X,X,X
IJTOSLZ,O,X,X,X,O,X,X,X,X,X
IJTOSZL,X,X,X,X,O,X,X,X,X,X
IJTOZLS,X,X,O,X,O,X,X,X,X,X
IJTOZSL,X,X,X,X,O,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,O,X,X,X
IJLTSOZ,X,X,X,X,X,X,O,X,X,X
IJLTZSO,X,O,X,O,X,X,O,X,X,X
IJLTZOS,O,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,O,X,X,X,O,X,X,X
IJLTOZS,X,X,O,X,X,X,O,X,X,X
IJLSTZO,X,O,X,X,X,X,O,X,O,X
IJLSTOZ,X,X,X,X,X,X,O,X,O,X
IJLSZTO,X,O,X,O,X,X,X,X,O,X
IJLSZOT,O,O,O,O,X,X,X,X,O,X
IJLSOTZ,O,X,O,X,X,X,X,X,O,X
IJLSOZT,O,O,O,X,X,X,X,X,O,X
IJLZTSO,X,O,X,O,X,X,O,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,X,X
IJLZSTO,X,O,X,O,X,X,X,X,X,X
IJLZSOT,O,O,X,O,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,X,X,X,X
IJLZOST,O,O,O,O,X,X,X,X,X,X
IJLOTSZ,O,X,O,X,X,X,O,X,X,X
IJLOTZS,X,X,O,X,X,X,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,X,X,X,X
IJLOSZT,O,O,O,O,X,X,X,X,X,X
IJLOZTS,O,X,O,O,X,X,X,X,X,X
IJLOZST,O,O,O,O,X,X,X,X,X,X
IJSTLZO,X,O,X,X,X,X,O,O,O,X
IJSTLOZ,X,X,X,X,X,X,O,X,O,X
IJSTZLO,X,O,X,X,X,X,X,O,O,X
IJSTZOL,X,O,X,X,X,X,X,O,O,X
IJSTOLZ,X,X,X,X,X,X,X,O,X,X
IJSTOZL,X,X,X,X,X,X,X,O,X,X
IJSLTZO,X,O,X,X,X,X,O,X,O,X
IJSLTOZ,X,X,X,X,X,X,O,X,O,X
IJSLZTO,X,O,X,O,X,X,X,X,O,X
IJSLZOT,O,O,O,O,X,X,X,X,O,X
IJSLOTZ,O,X,O,X,X,X,X,X,O,X
IJSLOZT,O,O,O,X,X,X,X,X,O,X
IJSZTLO,X,O,X,O,X,X,X,X,O,X
IJSZTOL,O,O,X,X,X,X,X,X,O,X
IJSZLTO,X,O,X,O,X,X,X,X,O,X
IJSZLOT,O,O,O,O,X,X,X,X,O,X
IJSZOTL,O,O,O,X,X,X,X,X,O,X
IJSZOLT,O,O,O,O,X,X,X,X,O,X
IJSOTLZ,O,X,O,X,X,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,O,X,X,X,X,X,O,X
IJSOLZT,O,O,O,X,X,X,X,X,O,X
IJSOZTL,X,O,O,X,X,X,X,X,O,X
IJSOZLT,O,O,O,X,X,X,X,X,O,X
IJZTLSO,X,O,X,O,X,X,O,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,X,X
IJZTSLO,X,O,X,O,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X,X,X
IJZLTSO,X,O,X,O,X,X,O,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X,X
IJZLSTO,X,O,X,O,X,X,X,X,X,X
IJZLSOT,O,O,X,O,X,X,X,X,X,X
IJZLOTS,O,X,O,X,X,X,X,X,X,X
IJZLOST,O,O,O,O,X,X,X,X,X,X
IJZSTLO,X,O,X,O,X,X,X,X,O,X
IJZSTOL,O,O,X,X,X,X,X,X,O,X
IJZSLTO,X,O,X,O,X,X,X,X,O,X
IJZSLOT,O,O,X,O,X,X,X,X,O,X
IJZSOTL,O,O,X,X,X,X,X,X,O,X
IJZSOLT,O,O,X,O,X,X,X,X,O,X
IJZOTLS,O,X,O,X,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X,X,X
IJZOLTS,O,X,O,X,X,X,X,X,X,X
IJZOLST,O,O,O,O,X,X,X,X,X,X
IJZOSTL,O,O,X,X,X,X,X,X,X,X
IJZOSLT,O,O,O,O,X,X,X,X,X,X
IJOTLSZ,O,X,O,X,O,X,O,X,X,X
IJOTLZS,X,X,O,X,O,X,X,X,X,X
IJOTSLZ,O,X,X,X,O,X,X,X,X,X
IJOTSZL,X,X,X,X,O,X,X,X,X,X
IJOTZLS,X,X,O,X,O,X,X,X,X,X
IJOTZSL,X,X,X,X,O,X,X,X,X,X
IJOLTSZ,O,X,O,X,O,X,O,X,X,X
IJOLTZS,X,X,O,X,O,X,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,X,X,X
IJOLSZT,O,O,O,O,X,X,X,X,X,X
IJOLZTS,O,X,O,O,X,X,X,X,X,X
IJOLZST,O,O,O,O,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,O,X,X,X,X,X
IJOSTZL,X,X,X,X,O,X,X,X,X,X
IJOSLTZ,O,X,O,X,X,X,X,X,O,X
IJOSLZT,O,O,O,O,X,X,X,X,O,X
IJOSZTL,X,O,X,O,X,X,X,X,O,X
IJOSZLT,O,O,O,O,X,X,X,X,O,X
IJOZTLS,O,X,O,O,O,X,X,X,X,X
IJOZTSL,O,X,X,O,O,X,X,X,X,X
IJOZLTS,O,X,O,O,X,X,X,X,X,X
IJOZLST,O,O,O,O,X,X,X,X,X,X
IJOZSTL,O,O,X,O,X,X,X,X,X,X
IJOZSLT,O,O,O,O,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,O,X,O,X,O
ISTLJOZ,X,X,X,X,X,O,X,X,X,O
ISTLZJO,X,O,X,O,X,O,X,X,X,O
ISTLZOJ,X,O,O,X,X,O,X,X,X,O
ISTLOJZ,X,X,O,X,X,O,X,X,X,O
ISTLOZJ,X,X,O,X,X,O,X,X,X,O
ISTJLZO,X,O,X,X,X,X,X,O,O,O
ISTJLOZ,X,X,X,X,X,X,X,X,O,O
ISTJZLO,X,O,X,X,X,X,X,O,O,X
ISTJZOL,X,O,X,X,X,X,X,O,O,X
ISTJOLZ,X,X,X,X,X,X,X,O,X,X
ISTJOZL,X,X,X,X,X,X,X,O,X,X
ISTZLJO,X,O,X,O,X,O,X,X,X,O
ISTZLOJ,X,O,O,X,X,O,X,X,X,O
ISTZJLO,X,O,X,O,X,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,O,X,X,X,X
ISTZOJL,X,O,O,X,X,X,X,X,X,X
ISTOLJZ,X,X,O,X,X,X,X,X,X,O
ISTOLZJ,X,X,O,X,X,X,X,X,X,O
ISTOJLZ,X,X,O,X,X,X,X,X,X,X
ISTOJZL,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,O,X,X,X,X,X,X,X
ISTOZJL,X,X,O,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,O,X,X,X,O
ISLTJOZ,X,X,X,X,X,O,X,X,X,O
ISLTZJO,X,O,X,O,X,O,X,X,X,O
ISLTZOJ,X,O,O,X,X,O,X,X,X,O
ISLTOJZ,X,X,O,X,X,O,X,X,X,O
ISLTOZJ,X,X,O,X,X,O,X,X,X,O
ISLJTZO,X,O,X,X,X,X,X,X,O,O
ISLJTOZ,X,X,X,X,X,X,X,X,O,O
ISLJZTO,X,O,X,O,X,X,X,X,O,X
ISLJZOT,O,O,O,O,X,X,X,X,O,X
ISLJOTZ,O,X,O,X,X,X,X,X,O,X
ISLJOZT,O,O,O,X,X,X,X,X,O,X
ISLZTJO,X,O,X,O,X,O,X,X,X,O
ISLZTOJ,X,O,O,X,X,O,X,X,X,O
ISLZJTO,X,O,X,O,X,X,X,X,X,X
ISLZJOT,O,O,O,O,X,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,O,X,X,X,X
ISLZOJT,O,O,O,O,X,O,X,X,X,X
ISLOTJZ,O,X,O,X,X,O,X,X,X,O
ISLOTZJ,X,X,O,O,X,O,X,X,X,O
ISLOJTZ,O,X,O,X,X,X,X,X,X,X
ISLOJZT,O,O,O,O,X,X,X,X,X,X
ISLOZTJ,X,O,O,O,X,O,X,X,X,X
ISLOZJT,O,O,O,O,X,O,X,X,X,X
ISJTLZO,X,O,X,X,X,X,X,O,O,O
ISJTLOZ,X,X,X,X,X,X,X,X,O,O
ISJTZLO,X,O,X,X,X,X,X,O,O,X
ISJTZOL,X,O,X,X,X,X,X,O,O,X
ISJTOLZ,X,X,X,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,X,X,X,O,X,X
ISJLTZO,X,O,X,X,X,X,X,X,O,O
ISJLTOZ,X,X,X,X,X,X,X,X,O,O
ISJLZTO,X,O,X,O,X,X,X,X,O,X
ISJLZOT,O,O,O,O,X,X,X,X,O,X
ISJLOTZ,O,X,O,X,X,X,X,X,O,X
ISJLOZT,O,O,O,X,X,X,X,X,O,X
ISJZTLO,X,O,X,O,X,X,X,X,O,X
ISJZTOL,O,O,X,X,X,X,X,X,O,X
ISJZLTO,X,O,X,O,X,X,X,X,O,X
ISJZLOT,O,O,O,O,X,X,X,X,O,X
ISJZOTL,O,O,O,X,X,X,X,X,O,X
ISJZOLT,O,O,O,O,X,X,X,X,O,X
ISJOTLZ,O,X,O,X,X,X,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,X,X,O,X
ISJOLZT,O,O,O,X,X,X,X,X,O,X
ISJOZTL,X,O,O,X,X,X,X,X,O,X
ISJOZLT,O,O,O,X,X,X,X,X,O,X
ISZTLJO,X,O,X,O,X,O,X,X,X,O
ISZTLOJ,X,O,O,X,X,O,X,X,X,O
ISZTJLO,X,O,X,O,X,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X,X
ISZLTJO,X,O,X,O,X,O,X,X,X,O
ISZLTOJ,X,O,O,X,X,O,X,X,X,O
ISZLJTO,X,O,X,O,X,X,X,X,X,X
ISZLJOT,O,O,O,O,X,O,X,X,X,X
ISZLOTJ,O,O,O,X,X,O,X,X,X,X
ISZLOJT,O,O,O,O,X,O,X,X,X,X
ISZJTLO,X,O,X,O,X,X,X,X,O,X
ISZJTOL,O,O,X,X,X,X,X,X,O,X
ISZJLTO,X,O,X,O,X,X,X,X,O,X
ISZJLOT,O,O,O,O,X,O,X,X,O,X
ISZJOTL,O,O,O,X,X,X,X,X,O,X
ISZJOLT,O,O,O,O,X,X,X,X,O,X
ISZOTLJ,O,O,O,X,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,O,X,X,X,X
ISZOLJT,O,O,O,O,X,O,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X,X
ISZOJLT,O,O,O,O,X,X,X,X,X,X
ISOTLJZ,O,X,O,X,X,X,X,X,X,O
ISOTLZJ,X,X,O,O,X,X,X,X,X,O
ISOTJLZ,O,X,O,X,X,X,X,X,X,X
ISOTJZL,X,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,O,O,X,X,X,X,X,X
ISOTZJL,X,X,O,O,X,X,X,X,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,X,O
ISOLTZJ,X,X,O,O,X,X,X,X,X,O
ISOLJTZ,O,X,O,X,X,X,X,X,X,X
ISOLJZT,O,O,O,O,X,X,X,X,X,X
ISOLZTJ,X,O,O,O,X,X,X,X,X,X
ISOLZJT,O,O,O,O,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,X,X,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,X,X,X,X,X,O,X
ISOJLZT,O,O,O,O,X,X,X,X,O,X
ISOJZTL,X,O,O,O,X,X,X,X,O,X
ISOJZLT,O,O,O,O,X,X,X,X,O,X
ISOZTLJ,X,O,O,O,X,X,X,X,X,X
ISOZTJL,X,O,O,O,X,X,X,X,X,X
ISOZLTJ,X,O,O,O,X,X,X,X,X,X
ISOZLJT,O,O,O,O,X,X,X,X,X,X
ISOZJTL,X,O,O,O,X,X,X,X,X,X
ISOZJLT,O,O,O,O,X,X,X,X,X,X
IZTLJSO,X,O,X,O,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X,X,X
IZTLOJS,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,X,X,X
IZTJLSO,X,O,X,O,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X,X,X
IZTJSLO,X,O,X,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,O,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,X,X,X
IZTSJLO,X,O,X,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,X,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,O,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X,X
IZLJSTO,X,O,X,O,X,X,X,X,X,X
IZLJSOT,O,O,X,O,X,X,X,X,X,X
IZLJOTS,O,X,O,X,X,X,X,X,X,X
IZLJOST,O,O,O,O,X,X,X,X,X,X
IZLSTJO,X,O,X,O,X,X,X,X,X,X
IZLSTOJ,X,O,O,X,X,X,X,X,X,X
IZLSJTO,X,O,X,O,X,X,X,X,X,X
IZLSJOT,O,O,O,O,X,X,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X,X,X,X
IZLSOJT,O,O,O,O,X,X,X,X,X,X
IZLOTJS,O,X,O,O,X,X,X,X,X,X
IZLOTSJ,O,X,X,O,X,X,X,X,X,X
IZLOJTS,O,X,O,O,X,X,X,X,X,X
IZLOJST,O,O,O,O,X,X,X,X,X,X
IZLOSTJ,O,O,O,O,X,X,X,X,X,X
IZLOSJT,O,O,O,O,X,X,X,X,X,X
IZJTLSO,X,O,X,O,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,X,X
IZJTSLO,X,O,X,O,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,O,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,X,O,X,X,X,X,X,X
IZJLSOT,O,O,X,O,X,X,X,X,X,X
IZJLOTS,O,X,O,X,X,X,X,X,X,X
IZJLOST,O,O,O,O,X,X,X,X,X,X
IZJSTLO,X,O,X,O,X,X,X,X,O,X
IZJSTOL,O,O,X,X,X,X,X,X,O,X
IZJSLTO,X,O,X,O,X,X,X,X,O,X
IZJSLOT,O,O,X,O,X,X,X,X,O,X
IZJSOTL,O,O,X,X,X,X,X,X,O,X
IZJSOLT,O,O,X,O,X,X,X,X,O,X
IZJOTLS,O,X,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X,X
IZJOLST,O,O,O,O,X,X,X,X,X,X
IZJOSTL,O,O,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,O,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,X,X,X,X
IZSTLOJ,X,O,O,X,X,X,X,X,X,X
IZSTJLO,X,O,X,O,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X,X
IZSLTJO,X,O,X,O,X,X,X,X,X,X
IZSLTOJ,X,O,O,X,X,X,X,X,X,X
IZSLJTO,X,O,X,O,X,X,X,X,X,X
IZSLJOT,O,O,O,O,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X,X,X,X
IZSLOJT,O,O,O,O,X,X,X,X,X,X
IZSJTLO,X,O,X,O,X,X,X,X,O,X
IZSJTOL,O,O,X,X,X,X,X,X,O,X
IZSJLTO,X,O,X,O,X,X,X,X,O,X
IZSJLOT,O,O,O,O,X,X,X,X,O,X
IZSJOTL,O,O,O,X,X,X,X,X,O,X
IZSJOLT,O,O,O,O,X,X,X,X,O,X
IZSOTLJ,O,O,O,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,X,X
IZSOLJT,O,O,O,O,X,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,X,X
IZSOJLT,O,O,O,O,X,X,X,X,X,X
IZOTLJS,O,X,O,O,X,X,X,X,X,X
IZOTLSJ,O,X,X,O,X,X,X,X,X,X
IZOTJLS,O,X,O,O,X,X,X,X,X,X
IZOTJSL,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,X,X,X,X,X,X
IZOTSJL,O,X,X,O,X,X,X,X,X,X
IZOLTJS,O,X,O,O,X,X,X,X,X,X
IZOLTSJ,O,X,X,O,X,X,X,X,X,X
IZOLJTS,O,X,O,O,X,X,X,X,X,X
IZOLJST,O,O,O,O,X,X,X,X,X,X
IZOLSTJ,O,O,O,O,X,X,X,X,X,X
IZOLSJT,O,O,O,O,X,X,X,X,X,X
IZOJTLS,O,X,O,O,X,X,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X,X,X
IZOJLTS,O,X,O,O,X,X,X,X,X,X
IZOJLST,O,O,O,O,X,X,X,X,X,X
IZOJSTL,O,O,X,O,X,X,X,X,X,X
IZOJSLT,O,O,O,O,X,X,X,X,X,X
IZOSTLJ,O,O,X,O,X,X,X,X,X,X
IZOSTJL,O,O,X,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,O,X,X,X,X,X,X
IZOSLJT,O,O,O,O,X,X,X,X,X,X
IZOSJTL,O,O,X,O,X,X,X,X,X,X
IZOSJLT,O,O,O,O,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,O,X,X,X,X,X
IOTLJZS,X,X,O,X,O,X,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,O,X,X,X,X,X,X
IOTLZJS,X,X,O,O,X,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,O,X,O,X,X,X,X,X
IOTJLZS,X,X,O,X,O,X,X,X,X,X
IOTJSLZ,O,X,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,X,O,X,X,X,X,X
IOTJZLS,X,X,O,X,O,X,X,X,X,X
IOTJZSL,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,X,X,O,X,X,X,X,X
IOTSZLJ,X,X,X,O,X,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,X,X
IOTZLJS,X,X,O,O,X,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,O,O,O,X,X,X,X,X
IOTZJSL,X,X,X,O,O,X,X,X,X,X
IOTZSLJ,X,X,X,O,X,X,X,X,X,X
IOTZSJL,X,X,X,O,X,X,X,X,X,X
IOLTJSZ,O,X,O,X,O,X,X,X,X,X
IOLTJZS,X,X,O,X,O,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,O,X,X,X,X,X,X
IOLTZJS,X,X,O,O,X,X,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,O,X,O,X,X,X,X,X
IOLJTZS,X,X,O,X,O,X,X,X,X,X
IOLJSTZ,O,X,O,X,X,X,X,X,X,X
IOLJSZT,O,O,O,O,X,X,X,X,X,X
IOLJZTS,O,X,O,O,X,X,X,X,X,X
IOLJZST,O,O,O,O,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,O,X,X,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X,X,X
IOLSJZT,O,O,O,O,X,X,X,X,X,X
IOLSZTJ,X,O,O,O,X,X,X,X,X,X
IOLSZJT,O,O,O,O,X,X,X,X,X,X
IOLZTJS,O,X,O,O,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,X,X,X,X
IOLZJTS,O,X,O,O,X,X,X,X,X,X
IOLZJST,O,O,O,O,X,X,X,X,X,X
IOLZSTJ,O,O,O,O,X,X,X,X,X,X
IOLZSJT,O,O,O,O,X,X,X,X,X,X
IOJTLSZ,O,X,O,X,O,X,X,X,X,X
IOJTLZS,X,X,O,X,O,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,X,O,X,X,X,X,X
IOJTZLS,X,X,O,X,O,X,X,X,X,X
IOJTZSL,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,O,X,O,X,O,X,X,X,X,X
IOJLTZS,X,X,O,X,O,X,X,X,X,X
IOJLSTZ,O,X,O,X,X,X,X,X,X,X
IOJLSZT,O,O,O,O,X,X,X,X,X,X
IOJLZTS,O,X,O,O,X,X,X,X,X,X
IOJLZST,O,O,O,O,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,O,X,X,X,X,X
IOJSTZL,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,X,X,X,O,X
IOJSLZT,O,O,O,O,X,X,X,X,O,X
IOJSZTL,X,O,X,O,X,X,X,X,O,X
IOJSZLT,O,O,O,O,X,X,X,X,O,X
IOJZTLS,O,X,O,O,O,X,X,X,X,X
IOJZTSL,O,X,X,O,O,X,X,X,X,X
IOJZLTS,O,X,O,O,X,X,X,X,X,X
IOJZLST,O,O,O,O,X,X,X,X,X,X
IOJZSTL,O,O,X,O,X,X,X,X,X,X
IOJZSLT,O,O,O,O,X,X,X,X,X,X
IOSTLJZ,O,X,O,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,O,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X,X,X,X,X
IOSTJZL,X,X,O,X,O,X,X,X,X,X
IOSTZLJ,X,X,O,O,X,X,X,X,X,X
IOSTZJL,X,X,O,O,X,X,X,X,X,X
IOSLTJZ,O,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,O,X,X,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,X,X
IOSLJZT,O,O,O,O,X,X,X,X,X,X
IOSLZTJ,X,O,O,O,X,X,X,X,X,X
IOSLZJT,O,O,O,O,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,O,X,X,X,X,X
IOSJTZL,X,X,O,X,O,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,X,X,X,O,X
IOSJLZT,O,O,O,O,X,X,X,X,O,X
IOSJZTL,X,O,O,O,X,X,X,X,O,X
IOSJZLT,O,O,O,O,X,X,X,X,O,X
IOSZTLJ,X,O,O,O,X,X,X,X,X,X
IOSZTJL,X,O,O,O,X,X,X,X,X,X
IOSZLTJ,X,O,O,O,X,X,X,X,X,X
IOSZLJT,O,O,O,O,X,X,X,X,X,X
IOSZJTL,X,O,O,O,X,X,X,X,X,X
IOSZJLT,O,O,O,O,X,X,X,X,X,X
IOZTLJS,O,X,O,O,X,X,X,X,X,X
IOZTLSJ,O,X,X,O,X,X,X,X,X,X
