sequence,v115@HhB8HeA8HeG8BeB8Jex/IvhFcnBTjBVqBGmBimB3sB,v115@HhB8HeA8HeG8BeB8Jex/IvhF3iBcoBVqBGmBimBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF0hBSoBXlBVrBmnBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF2mBliBcoBXlBSrBTsB,v115@HhB8HeA8HeG8BeB8Je/FJvhFamBumBxnB0kBFoBTsB,v115@HhB8HeA8HeG8BeB8JeRCJvhFSoBmlBzmB0kBllB3sB,v115@HhB8HeA8HeG8BeB8JeRCJvhFcoBmlBCnBlkB3lBTsB,v115@HhB8HeA8HeG8BeB8JeqGJvhFllBxnB0kBmlBXoBTsB
ISLJZOT,X,X,X,X,O,X,X,X
ISLJOTZ,X,X,X,X,O,O,X,X
ISLJOZT,X,X,X,X,O,O,X,X
ISLZTJO,O,X,O,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,X,X,X
ISLZJTO,X,X,X,X,O,X,X,X
ISLZJOT,X,X,X,X,O,X,X,X
ISLZOTJ,O,X,X,O,X,X,X,X
ISLZOJT,X,X,X,O,X,O,X,X
ISLOTJZ,O,X,X,X,O,O,X,X
ISLOTZJ,O,X,O,X,X,X,X,X
ISLOJTZ,X,X,X,X,O,O,X,X
ISLOJZT,X,X,X,O,O,O,X,X
ISLOZTJ,O,X,X,O,X,X,X,X
ISLOZJT,X,X,X,O,O,O,X,X
ISJTLZO,O,X,O,X,O,X,X,X
ISJTLOZ,O,X,X,X,O,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X,X,X
ISJTOLZ,O,X,O,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X
ISJLTZO,X,X,O,X,O,X,X,X
ISJLTOZ,X,X,X,X,O,X,X,X
ISJLZTO,X,X,X,X,O,X,X,X
ISJLZOT,X,X,X,X,O,X,X,X
ISJLOTZ,X,X,X,X,O,O,X,X
ISJLOZT,X,X,X,X,O,O,X,X
ISJZTLO,O,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X,X
ISJZLTO,X,X,X,X,O,X,X,X
ISJZLOT,X,X,X,X,O,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X
ISJZOLT,X,X,X,O,X,X,X,X
ISJOTLZ,O,X,X,X,O,O,X,X
ISJOTZL,O,X,X,O,X,X,X,X
ISJOLTZ,X,X,X,X,O,O,X,X
ISJOLZT,X,X,X,O,O,O,X,X
ISJOZTL,O,X,X,O,X,X,X,X
ISJOZLT,X,X,X,O,O,O,X,X
ISZTLJO,O,O,O,X,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,O,O,X,X,X,X
ISZTOJL,O,O,O,O,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X,X
ISZLTOJ,O,X,O,X,X,X,X,X
ISZLJTO,X,X,X,X,O,X,X,X
ISZLJOT,X,X,X,X,O,X,X,X
ISZLOTJ,O,X,X,O,X,X,X,X
ISZLOJT,X,X,X,O,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X
ISZJLTO,X,X,X,X,O,X,X,X
ISZJLOT,X,X,X,X,O,X,X,X
ISZJOTL,O,X,X,O,X,X,X,X
ISZJOLT,X,X,X,O,X,X,X,X
ISZOTLJ,O,O,X,O,X,X,X,X
ISZOTJL,O,O,X,O,X,X,X,X
ISZOLTJ,O,O,X,O,X,X,X,X
ISZOLJT,X,X,X,O,X,X,X,X
ISZOJTL,O,O,X,O,X,X,X,X
ISZOJLT,X,X,X,O,X,X,X,X
ISOTLJZ,O,X,O,X,O,O,X,X
ISOTLZJ,O,X,O,X,X,X,X,X
ISOTJLZ,O,X,O,X,O,O,X,X
ISOTJZL,O,O,O,O,X,X,X,X
ISOTZLJ,O,O,O,O,X,X,X,X
ISOTZJL,O,O,O,O,X,X,X,X
ISOLTJZ,O,X,X,X,O,O,X,X
ISOLTZJ,O,X,O,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,O,X,X
ISOLJZT,X,X,X,O,O,O,X,X
ISOLZTJ,O,X,X,O,X,X,X,X
ISOLZJT,X,X,X,O,O,O,X,X
ISOJTLZ,O,X,X,X,O,O,X,X
ISOJTZL,O,X,X,O,X,X,X,X
ISOJLTZ,X,X,X,X,O,O,X,X
ISOJLZT,X,X,X,O,O,O,X,X
ISOJZTL,O,X,X,O,X,X,X,X
ISOJZLT,X,X,X,O,O,O,X,X
ISOZTLJ,O,O,X,O,X,X,X,X
ISOZTJL,O,O,X,O,X,X,X,X
ISOZLTJ,O,O,X,O,X,X,X,X
ISOZLJT,X,X,X,O,O,O,X,X
ISOZJTL,O,O,X,O,X,X,X,X
ISOZJLT,X,X,X,O,O,O,X,X
IZTLJSO,X,O,X,X,X,X,O,O
IZTLJOS,X,O,X,X,X,X,O,O
IZTLSJO,X,O,X,X,X,X,X,O
IZTLSOJ,X,X,X,X,X,X,X,O
IZTLOJS,X,O,X,X,X,X,X,O
IZTLOSJ,X,O,X,X,X,X,X,O
IZTJLSO,X,O,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,X,O,X,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X
IZTOLJS,X,O,X,X,X,X,O,X
IZTOLSJ,X,O,X,O,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X
IZTOJSL,O,O,X,O,X,X,X,X
IZTOSLJ,O,O,X,O,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X
IZLTJSO,X,O,X,X,X,X,O,O
IZLTJOS,X,O,X,X,X,X,O,O
IZLTSJO,X,O,X,X,X,X,X,O
IZLTSOJ,X,X,X,X,X,X,X,O
IZLTOJS,X,O,X,X,X,X,X,O
IZLTOSJ,X,O,X,X,X,X,X,O
IZLJTSO,X,X,X,X,X,X,O,X
IZLJTOS,X,X,X,X,X,X,O,X
IZLJSTO,X,X,X,X,O,X,O,X
IZLJSOT,X,X,X,X,O,X,O,X
IZLJOTS,X,X,X,X,X,X,O,X
IZLJOST,X,X,X,X,X,X,O,X
IZLSTJO,X,O,O,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X
IZLSJTO,X,X,X,X,O,X,O,X
IZLSJOT,X,X,X,X,O,X,O,X
IZLSOTJ,X,X,X,O,X,X,X,X
IZLSOJT,X,X,X,O,X,X,X,X
IZLOTJS,X,O,X,X,X,X,O,X
IZLOTSJ,X,O,X,O,X,X,X,X
IZLOJTS,X,X,X,X,X,X,O,X
IZLOJST,X,X,X,X,X,X,O,X
IZLOSTJ,X,O,X,O,X,X,X,X
IZLOSJT,X,X,X,O,X,X,O,X
IZJTLSO,X,O,X,X,X,X,X,X
IZJTLOS,X,O,X,X,X,X,X,X
IZJTSLO,X,O,X,X,X,X,X,X
IZJTSOL,X,O,X,X,X,X,X,X
IZJTOLS,X,O,X,X,X,X,X,X
IZJTOSL,X,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,O,X
IZJLTOS,X,X,X,X,X,X,O,X
IZJLSTO,X,X,X,X,O,X,O,X
IZJLSOT,X,X,X,X,O,X,O,X
IZJLOTS,X,X,X,X,X,X,O,X
IZJLOST,X,X,X,X,X,X,O,X
IZJSTLO,X,O,X,X,X,X,X,X
IZJSTOL,X,O,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,X,X,X
IZJSLOT,X,X,X,X,O,X,X,X
IZJSOTL,X,X,X,O,X,X,X,X
IZJSOLT,X,X,X,O,X,X,X,X
IZJOTLS,X,O,X,X,X,X,X,X
IZJOTSL,X,O,X,O,X,X,X,X
IZJOLTS,X,X,X,X,X,X,O,X
IZJOLST,X,X,X,X,X,X,O,X
IZJOSTL,X,O,X,O,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X
IZSTLJO,O,O,O,X,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X,X
IZSTJLO,O,O,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,O,O,X,X,X,X
IZSTOJL,O,O,O,O,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X,X
IZSLTOJ,O,X,O,X,X,X,X,X
IZSLJTO,X,X,X,X,O,X,O,X
IZSLJOT,X,X,X,X,O,X,O,X
IZSLOTJ,O,X,X,O,X,X,X,X
IZSLOJT,X,X,X,O,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X
IZSJLTO,X,X,X,X,O,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X
IZSJOTL,O,X,X,O,X,X,X,X
IZSJOLT,X,X,X,O,X,X,X,X
IZSOTLJ,O,O,X,O,X,X,X,X
IZSOTJL,O,O,X,O,X,X,X,X
IZSOLTJ,O,O,X,O,X,X,X,X
IZSOLJT,X,X,X,O,X,X,O,X
IZSOJTL,O,O,X,O,X,X,X,X
IZSOJLT,X,X,X,O,X,X,X,X
IZOTLJS,X,O,X,X,X,X,O,X
IZOTLSJ,X,O,X,O,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X
IZOTJSL,O,O,X,O,X,X,X,X
IZOTSLJ,O,O,X,O,X,X,X,X
IZOTSJL,O,O,X,O,X,X,X,X
IZOLTJS,X,O,X,X,X,X,O,X
IZOLTSJ,X,O,X,O,X,X,X,X
IZOLJTS,X,X,X,X,X,X,O,X
IZOLJST,X,X,X,X,X,X,O,X
IZOLSTJ,X,O,X,O,X,X,X,X
IZOLSJT,X,X,X,O,X,X,O,X
IZOJTLS,X,O,X,X,X,X,X,X
IZOJTSL,X,O,X,O,X,X,X,X
IZOJLTS,X,X,X,X,X,X,O,X
IZOJLST,X,X,X,X,X,X,O,X
IZOJSTL,X,O,X,O,X,X,X,X
IZOJSLT,X,X,X,O,X,X,X,X
IZOSTLJ,O,O,X,O,X,X,X,X
IZOSTJL,O,O,X,O,X,X,X,X
IZOSLTJ,O,O,X,O,X,X,X,X
IZOSLJT,X,X,X,O,X,X,O,X
IZOSJTL,O,O,X,O,X,X,X,X
IZOSJLT,X,X,X,O,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,X,O
IOTLJZS,X,O,X,X,X,O,X,O
IOTLSJZ,O,X,O,X,O,X,X,O
IOTLSZJ,O,X,O,X,X,X,X,O
IOTLZJS,X,O,X,X,X,X,X,O
IOTLZSJ,X,O,O,X,X,X,X,O
IOTJLSZ,O,X,X,X,O,O,X,X
IOTJLZS,X,O,X,X,X,O,X,X
IOTJSLZ,O,X,X,X,O,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,X,O,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,X,O,X,X,X
IOTSLZJ,O,X,O,X,X,X,X,X
IOTSJLZ,O,X,O,X,O,X,X,X
IOTSJZL,O,O,O,O,X,X,X,X
IOTSZLJ,O,O,O,O,X,X,X,X
IOTSZJL,O,O,O,O,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X
IOTZLSJ,X,O,O,O,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,X
IOTZSLJ,O,O,O,O,X,X,X,X
IOTZSJL,O,O,O,O,X,X,X,X
IOLTJSZ,O,X,X,X,O,O,X,O
IOLTJZS,X,O,X,X,X,O,X,O
IOLTSJZ,O,X,O,X,O,X,X,O
IOLTSZJ,O,X,O,X,X,X,X,O
IOLTZJS,X,O,X,X,X,X,X,O
IOLTZSJ,X,O,O,X,X,X,X,O
IOLJTSZ,X,X,X,X,O,O,X,X
IOLJTZS,X,X,X,X,X,O,X,X
IOLJSTZ,X,X,X,X,O,O,X,X
IOLJSZT,X,X,X,X,O,O,X,X
IOLJZTS,X,X,X,X,X,O,O,X
IOLJZST,X,X,X,X,O,O,O,X
IOLSTJZ,O,X,X,X,O,X,X,X
IOLSTZJ,O,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,X,X
IOLSJZT,X,X,X,O,O,O,X,X
IOLSZTJ,O,X,X,O,X,X,X,X
IOLSZJT,X,X,X,O,O,X,X,X
IOLZTJS,X,O,X,X,X,X,O,X
IOLZTSJ,X,O,O,O,X,X,X,X
IOLZJTS,X,X,X,X,X,O,O,X
IOLZJST,X,X,X,X,O,O,O,X
IOLZSTJ,X,O,X,O,X,X,X,X
IOLZSJT,X,X,X,O,O,X,O,X
IOJTLSZ,O,X,X,X,O,O,X,X
IOJTLZS,X,O,X,X,X,O,X,X
IOJTSLZ,O,X,X,X,O,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X
IOJTZLS,X,O,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,O,O,X,X
IOJLTZS,X,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,X,O,O,X,X
IOJLSZT,X,X,X,X,O,O,X,X
IOJLZTS,X,X,X,X,X,O,O,X
IOJLZST,X,X,X,X,O,O,O,X
IOJSTLZ,O,X,X,X,O,X,X,X
IOJSTZL,O,X,X,O,X,X,X,X
IOJSLTZ,X,X,X,X,O,O,X,X
IOJSLZT,X,X,X,O,O,O,X,X
IOJSZTL,O,X,X,O,X,X,X,X
IOJSZLT,X,X,X,O,O,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X
IOJZTSL,X,O,X,O,X,X,X,X
IOJZLTS,X,X,X,X,X,O,O,X
IOJZLST,X,X,X,X,O,O,O,X
IOJZSTL,X,O,X,O,X,X,X,X
IOJZSLT,X,X,X,O,O,X,X,X
IOSTLJZ,O,X,O,X,O,X,X,X
IOSTLZJ,O,X,O,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X,X,X
IOSTJZL,O,O,O,O,X,X,X,X
IOSTZLJ,O,O,O,O,X,X,X,X
IOSTZJL,O,O,O,O,X,X,X,X
IOSLTJZ,O,X,X,X,O,X,X,X
IOSLTZJ,O,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,O,X,X
IOSLJZT,X,X,X,O,O,O,X,X
IOSLZTJ,O,X,X,O,X,X,X,X
IOSLZJT,X,X,X,O,O,X,X,X
IOSJTLZ,O,X,X,X,O,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X
IOSJLTZ,X,X,X,X,O,O,X,X
IOSJLZT,X,X,X,O,O,O,X,X
IOSJZTL,O,X,X,O,X,X,X,X
IOSJZLT,X,X,X,O,O,X,X,X
IOSZTLJ,O,O,X,O,X,X,X,X
IOSZTJL,O,O,X,O,X,X,X,X
IOSZLTJ,O,O,X,O,X,X,X,X
IOSZLJT,X,X,X,O,O,X,X,X
IOSZJTL,O,O,X,O,X,X,X,X
IOSZJLT,X,X,X,O,O,X,X,X
IOZTLJS,X,O,X,X,X,X,O,X
IOZTLSJ,X,O,O,O,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X,X
IOZTJSL,O,O,X,O,X,X,X,X
IOZTSLJ,O,O,O,O,X,X,X,X
IOZTSJL,O,O,O,O,X,X,X,X
IOZLTJS,X,O,X,X,X,X,O,X
IOZLTSJ,X,O,O,O,X,X,X,X
IOZLJTS,X,X,X,X,X,O,O,X
IOZLJST,X,X,X,X,O,O,O,X
IOZLSTJ,X,O,X,O,X,X,X,X
IOZLSJT,X,X,X,O,O,X,O,X
IOZJTLS,X,O,X,X,X,X,X,X
IOZJTSL,X,O,X,O,X,X,X,X
IOZJLTS,X,X,X,X,X,O,O,X
IOZJLST,X,X,X,X,O,O,O,X
IOZJSTL,X,O,X,O,X,X,X,X
IOZJSLT,X,X,X,O,O,X,X,X
IOZSTLJ,O,O,X,O,X,X,X,X
IOZSTJL,O,O,X,O,X,X,X,X
IOZSLTJ,O,O,X,O,X,X,X,X
IOZSLJT,X,X,X,O,O,X,O,X
IOZSJTL,O,O,X,O,X,X,X,X
IOZSJLT,X,X,X,O,O,X,X,X
LTIJSZO,O,X,X,X,O,X,X,O
LTIJSOZ,O,X,X,X,O,X,X,O
LTIJZSO,X,O,X,X,X,X,X,O
LTIJZOS,X,O,X,X,X,X,X,O
LTIJOSZ,O,X,X,X,X,X,X,O
LTIJOZS,X,O,X,X,X,X,X,O
LTISJZO,O,X,O,X,O,X,X,O
LTISJOZ,O,X,X,X,O,X,X,O
LTISZJO,O,X,O,X,X,X,X,O
LTISZOJ,O,X,O,X,X,X,X,O
LTISOJZ,O,X,X,X,X,O,X,O
LTISOZJ,O,X,O,X,X,X,X,O
LTIZJSO,X,O,X,X,X,X,X,O
LTIZJOS,X,O,X,X,X,X,X,O
LTIZSJO,X,O,O,X,X,X,X,O
LTIZSOJ,X,X,O,X,X,X,X,O
LTIZOJS,X,O,X,X,X,X,X,O
LTIZOSJ,X,O,X,X,X,X,X,O
LTIOJSZ,O,X,X,X,X,O,X,O
LTIOJZS,X,O,X,X,X,O,X,O
LTIOSJZ,O,X,X,X,X,X,X,O
LTIOSZJ,O,X,X,X,X,X,X,O
LTIOZJS,X,O,X,X,X,X,X,O
LTIOZSJ,X,O,X,X,X,X,X,O
LTJISZO,O,X,X,X,O,X,X,O
LTJISOZ,O,X,X,X,O,X,X,O
LTJIZSO,X,O,X,X,X,X,X,O
LTJIZOS,X,O,X,X,X,X,X,O
LTJIOSZ,O,X,X,X,X,X,X,O
LTJIOZS,X,O,X,X,X,X,X,O
LTJSIZO,O,X,O,X,O,X,X,X
LTJSIOZ,O,X,X,X,O,X,X,X
LTJSZIO,O,X,O,X,X,X,X,X
LTJSZOI,O,X,O,X,X,X,X,X
LTJSOIZ,O,X,X,X,O,O,X,X
LTJSOZI,O,X,X,X,X,O,X,X
LTJZISO,X,O,X,X,X,X,O,X
LTJZIOS,X,O,X,X,X,X,O,X
LTJZSIO,X,O,O,X,X,X,O,X
LTJZSOI,X,O,O,X,X,X,O,X
LTJZOIS,X,O,X,X,X,X,O,X
LTJZOSI,X,O,X,X,X,X,O,X
LTJOISZ,O,X,X,X,O,O,X,X
LTJOIZS,X,O,X,X,X,O,X,X
LTJOSIZ,O,X,X,X,O,O,X,X
LTJOSZI,O,X,X,X,X,O,X,X
LTJOZIS,X,O,X,X,X,O,X,X
LTJOZSI,X,O,X,X,X,O,X,X
LTSIJZO,O,X,O,X,O,X,X,O
LTSIJOZ,O,X,X,X,O,X,X,O
LTSIZJO,O,X,O,X,X,X,X,O
LTSIZOJ,O,X,O,X,X,X,X,O
LTSIOJZ,O,X,O,X,X,O,X,O
LTSIOZJ,O,X,O,X,X,X,X,O
LTSJIZO,O,X,O,X,O,X,X,X
LTSJIOZ,O,X,X,X,O,X,X,X
LTSJZIO,O,X,O,X,X,X,X,X
LTSJZOI,O,X,O,X,X,X,X,X
LTSJOIZ,O,X,X,X,O,O,X,X
LTSJOZI,O,X,X,X,X,O,X,X
LTSZIJO,O,X,O,X,X,X,X,X
LTSZIOJ,O,X,O,X,X,X,X,X
LTSZJIO,O,X,O,X,X,X,X,X
LTSZJOI,O,X,O,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X,X
LTSOIJZ,O,X,O,X,O,O,X,X
LTSOIZJ,O,X,O,X,X,X,X,X
LTSOJIZ,O,X,O,X,O,O,X,X
LTSOJZI,O,X,O,X,X,O,X,X
LTSOZIJ,O,X,O,X,X,X,X,X
LTSOZJI,O,X,O,X,X,X,X,X
LTZIJSO,X,O,X,X,X,X,O,O
LTZIJOS,X,O,X,X,X,X,O,O
LTZISJO,X,O,O,X,X,X,X,O
LTZISOJ,X,X,O,X,X,X,X,O
LTZIOJS,X,O,X,X,X,X,X,O
LTZIOSJ,X,O,X,X,X,X,X,O
LTZJISO,X,O,X,X,X,X,O,X
LTZJIOS,X,O,X,X,X,X,O,X
LTZJSIO,X,O,O,X,X,X,O,X
LTZJSOI,X,O,O,X,X,X,O,X
LTZJOIS,X,O,X,X,X,X,O,X
LTZJOSI,X,O,X,X,X,X,O,X
LTZSIJO,X,O,O,X,X,X,X,X
LTZSIOJ,X,X,O,X,X,X,X,X
LTZSJIO,X,O,O,X,X,X,X,X
LTZSJOI,X,O,O,X,X,X,X,X
LTZSOIJ,X,X,O,X,X,X,X,X
LTZSOJI,X,X,O,X,X,X,X,X
LTZOIJS,X,O,X,X,X,X,X,X
LTZOISJ,X,O,X,X,X,X,X,X
LTZOJIS,X,O,X,X,X,X,X,X
LTZOJSI,X,O,X,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,X,X,X
LTZOSJI,X,O,O,X,X,X,X,X
LTOIJSZ,O,X,X,X,O,O,X,O
LTOIJZS,X,O,X,X,X,O,X,O
LTOISJZ,O,X,O,X,O,X,X,O
LTOISZJ,O,X,O,X,X,X,X,O
LTOIZJS,X,O,X,X,X,X,X,O
LTOIZSJ,X,O,O,X,X,X,X,O
LTOJISZ,O,X,X,X,O,O,X,X
LTOJIZS,X,O,X,X,X,O,X,X
LTOJSIZ,O,X,O,X,O,O,X,X
LTOJSZI,O,X,O,X,X,O,X,X
LTOJZIS,X,O,X,X,X,O,X,X
LTOJZSI,X,O,O,X,X,O,X,X
LTOSIJZ,O,X,O,X,O,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,X
LTOSJIZ,O,X,O,X,O,X,X,X
LTOSJZI,O,X,O,X,X,X,X,X
LTOSZIJ,O,X,O,X,X,X,X,X
LTOSZJI,O,X,O,X,X,X,X,X
LTOZIJS,X,O,X,X,X,X,X,X
LTOZISJ,X,O,O,X,X,X,X,X
LTOZJIS,X,O,X,X,X,X,X,X
LTOZJSI,X,O,O,X,X,X,X,X
LTOZSIJ,X,O,O,X,X,X,X,X
LTOZSJI,X,O,O,X,X,X,X,X
LITJSZO,O,X,X,X,O,X,X,O
LITJSOZ,O,X,X,X,O,X,X,O
LITJZSO,X,O,X,X,X,X,X,O
LITJZOS,X,O,X,X,X,X,X,O
LITJOSZ,O,X,X,X,X,X,X,O
LITJOZS,X,O,X,X,X,X,X,O
LITSJZO,O,X,O,X,O,X,X,O
LITSJOZ,O,X,X,X,O,X,X,O
LITSZJO,O,X,O,X,X,X,X,O
LITSZOJ,O,X,O,X,X,X,X,O
LITSOJZ,O,X,X,X,X,O,X,O
LITSOZJ,O,X,O,X,X,X,X,O
LITZJSO,X,O,X,X,X,X,X,O
LITZJOS,X,O,X,X,X,X,X,O
LITZSJO,X,O,O,X,X,X,X,O
LITZSOJ,X,X,O,X,X,X,X,O
LITZOJS,X,O,X,X,X,X,X,O
LITZOSJ,X,O,X,X,X,X,X,O
LITOJSZ,O,X,X,X,X,O,X,O
LITOJZS,X,O,X,X,X,O,X,O
LITOSJZ,O,X,X,X,X,X,X,O
LITOSZJ,O,X,X,X,X,X,X,O
LITOZJS,X,O,X,X,X,X,X,O
LITOZSJ,X,O,X,X,X,X,X,O
LIJTSZO,X,X,X,X,O,X,X,O
LIJTSOZ,X,X,X,X,O,X,X,O
LIJTZSO,X,X,X,X,X,X,X,O
LIJTZOS,X,X,X,X,X,X,X,O
LIJTOSZ,X,X,X,X,X,X,X,O
LIJTOZS,X,X,X,X,X,X,X,O
LIJSTZO,X,X,O,X,O,X,X,X
LIJSTOZ,X,X,X,X,O,X,X,X
LIJSZTO,X,X,X,X,O,X,X,X
LIJSZOT,X,X,X,X,O,X,X,X
LIJSOTZ,X,X,X,X,O,O,X,X
LIJSOZT,X,X,X,X,O,O,X,X
LIJZTSO,X,X,X,X,X,X,O,X
LIJZTOS,X,X,X,X,X,X,O,X
LIJZSTO,X,X,X,X,O,X,O,X
LIJZSOT,X,X,X,X,O,X,O,X
LIJZOTS,X,X,X,X,X,X,O,X
LIJZOST,X,X,X,X,X,X,O,X
LIJOTSZ,X,X,X,X,O,O,X,X
LIJOTZS,X,X,X,X,X,O,X,X
LIJOSTZ,X,X,X,X,O,O,X,X
LIJOSZT,X,X,X,X,O,O,X,X
LIJOZTS,X,X,X,X,X,O,X,X
LIJOZST,X,X,X,X,O,O,X,X
LISTJZO,O,X,O,X,O,X,X,O
LISTJOZ,O,X,X,X,O,X,X,O
LISTZJO,O,X,O,X,X,X,X,O
LISTZOJ,O,X,O,X,X,X,X,O
LISTOJZ,O,X,O,X,X,O,X,O
LISTOZJ,O,X,O,X,X,X,X,O
LISJTZO,X,X,O,X,O,X,X,X
LISJTOZ,X,X,X,X,O,X,X,X
LISJZTO,X,X,X,X,O,X,X,X
LISJZOT,X,X,X,X,O,X,X,X
LISJOTZ,X,X,X,X,O,O,X,X
LISJOZT,X,X,X,X,O,O,X,X
LISZTJO,O,X,O,X,X,X,X,X
LISZTOJ,O,X,O,X,X,X,X,X
LISZJTO,X,X,X,X,O,X,X,X
LISZJOT,X,X,X,X,O,X,X,X
LISZOTJ,O,X,X,O,X,X,X,X
LISZOJT,X,X,X,O,X,O,X,X
LISOTJZ,O,X,X,X,O,O,X,X
LISOTZJ,O,X,O,X,X,X,X,X
LISOJTZ,X,X,X,X,O,O,X,X
LISOJZT,X,X,X,O,O,O,X,X
LISOZTJ,O,X,X,O,X,X,X,X
LISOZJT,X,X,X,O,O,O,X,X
LIZTJSO,X,O,X,X,X,X,O,O
LIZTJOS,X,O,X,X,X,X,O,O
LIZTSJO,X,O,X,X,X,X,X,O
LIZTSOJ,X,X,X,X,X,X,X,O
LIZTOJS,X,O,X,X,X,X,X,O
LIZTOSJ,X,O,X,X,X,X,X,O
LIZJTSO,X,X,X,X,X,X,O,X
LIZJTOS,X,X,X,X,X,X,O,X
LIZJSTO,X,X,X,X,O,X,O,X
LIZJSOT,X,X,X,X,O,X,O,X
LIZJOTS,X,X,X,X,X,X,O,X
LIZJOST,X,X,X,X,X,X,O,X
LIZSTJO,X,O,O,X,X,X,X,X
LIZSTOJ,X,X,O,X,X,X,X,X
LIZSJTO,X,X,X,X,O,X,O,X
LIZSJOT,X,X,X,X,O,X,O,X
LIZSOTJ,X,X,X,O,X,X,X,X
LIZSOJT,X,X,X,O,X,O,X,X
LIZOTJS,X,O,X,X,X,X,X,X
LIZOTSJ,X,O,X,O,X,X,X,X
LIZOJTS,X,X,X,X,X,O,O,X
LIZOJST,X,X,X,X,X,O,O,X
LIZOSTJ,X,O,X,O,X,X,X,X
LIZOSJT,X,X,X,O,X,X,X,X
LIOTJSZ,O,X,X,X,O,O,X,O
LIOTJZS,X,O,X,X,X,O,X,O
LIOTSJZ,O,X,X,X,O,X,X,O
LIOTSZJ,O,X,X,X,X,X,X,O
LIOTZJS,X,O,X,X,X,X,X,O
LIOTZSJ,X,O,X,X,X,X,X,O
LIOJTSZ,X,X,X,X,O,O,X,X
LIOJTZS,X,X,X,X,X,O,X,X
LIOJSTZ,X,X,X,X,O,O,X,X
LIOJSZT,X,X,X,X,O,O,X,X
LIOJZTS,X,X,X,X,X,O,X,X
LIOJZST,X,X,X,X,O,O,X,X
LIOSTJZ,O,X,X,X,O,O,X,X
LIOSTZJ,O,X,O,X,X,X,X,X
LIOSJTZ,X,X,X,X,O,O,X,X
LIOSJZT,X,X,X,O,O,O,X,X
LIOSZTJ,O,X,X,O,X,X,X,X
LIOSZJT,X,X,X,O,O,O,X,X
LIOZTJS,X,O,X,X,X,X,X,X
LIOZTSJ,X,O,X,O,X,X,X,X
