sequence,v115@GhC8FeD8FeC8GeB8Jex/IvhF0hBliBmlBXqBSwBTsB,v115@GhC8FeD8FeC8GeB8Jex/IvhFlhB3iBeqBCrBTsBUrB,v115@GhC8FeD8FeC8GeB8Jex/IvhFOmBliBzmB0qBSxBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFThBiiB+sB0qBlrBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFKmBzhBunB0qBVxBXqB,v115@GhC8FeD8FeC8GeB8JeRBJvhF3iBOqB0mBzqBSxBlpB,v115@GhC8FeD8FeC8GeB8JeTAJvhFlhB3iByqBGsB0pBRwB,v115@GhC8FeD8FeC8GeB8JeRCJvhF/qBFmB6sBzrB0pBmqB
ISLJZOT,O,X,X,X,X,O,O,X
ISLJOTZ,O,O,X,X,X,X,O,X
ISLJOZT,O,O,X,X,X,X,O,X
ISLZTJO,O,X,O,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,X,X,X
ISLZJTO,O,X,O,O,X,X,O,X
ISLZJOT,O,X,X,X,X,O,O,X
ISLZOTJ,O,X,O,X,X,X,X,X
ISLZOJT,O,X,O,X,X,O,O,X
ISLOTJZ,O,O,O,X,X,X,O,O
ISLOTZJ,O,O,X,X,X,X,X,O
ISLOJTZ,O,O,O,X,X,X,O,O
ISLOJZT,O,O,X,X,X,O,O,X
ISLOZTJ,O,O,X,X,X,X,X,O
ISLOZJT,O,X,X,X,X,O,O,X
ISJTLZO,O,X,X,X,X,X,O,X
ISJTLOZ,O,O,X,O,O,X,O,X
ISJTZLO,O,X,X,X,O,X,O,X
ISJTZOL,O,O,X,X,X,X,X,X
ISJTOLZ,O,O,X,O,X,X,O,X
ISJTOZL,O,O,X,X,X,X,X,X
ISJLTZO,O,X,X,X,X,X,O,X
ISJLTOZ,O,O,X,O,X,X,O,X
ISJLZTO,O,X,X,O,X,X,O,X
ISJLZOT,O,X,X,X,X,O,O,X
ISJLOTZ,O,O,X,X,X,X,O,X
ISJLOZT,O,O,X,X,X,X,O,X
ISJZTLO,O,X,X,O,X,X,O,X
ISJZTOL,O,O,X,O,X,X,X,X
ISJZLTO,O,X,X,O,X,X,O,X
ISJZLOT,O,X,X,X,X,X,O,X
ISJZOTL,O,O,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,O,X
ISJOTZL,O,O,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,O,X
ISJOLZT,O,O,X,X,X,O,O,X
ISJOZTL,O,O,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X
ISZTLJO,O,X,O,X,O,X,X,X
ISZTLOJ,O,X,O,X,O,X,X,X
ISZTJLO,O,X,O,X,O,X,O,X
ISZTJOL,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,O,X,O,X,O,X,X,X
ISZLTOJ,O,X,O,X,O,X,X,X
ISZLJTO,O,X,O,O,X,X,O,X
ISZLJOT,O,X,X,X,X,X,O,X
ISZLOTJ,O,X,O,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,O,X
ISZJTLO,O,X,O,O,X,X,O,X
ISZJTOL,O,O,X,O,X,X,X,X
ISZJLTO,O,X,O,O,X,X,O,X
ISZJLOT,O,X,X,X,X,X,O,X
ISZJOTL,O,O,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,O
ISOTLZJ,O,O,X,X,X,X,X,O
ISOTJLZ,O,O,X,X,X,X,O,X
ISOTJZL,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,X,O,O
ISOLTZJ,O,O,X,X,X,X,X,O
ISOLJTZ,O,O,X,X,X,X,O,O
ISOLJZT,O,O,X,X,X,O,O,X
ISOLZTJ,O,O,X,X,X,X,X,O
ISOLZJT,O,X,X,X,X,O,O,X
ISOJTLZ,O,O,X,X,X,X,O,X
ISOJTZL,O,O,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,O,X
ISOJLZT,O,O,X,X,X,O,O,X
ISOJZTL,O,O,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,X
IZTLJSO,O,X,O,O,O,X,X,X
IZTLJOS,O,X,O,O,O,X,X,X
IZTLSJO,O,X,O,X,O,X,X,X
IZTLSOJ,X,X,O,X,O,X,X,X
IZTLOJS,O,X,O,X,O,X,X,X
IZTLOSJ,X,X,O,X,O,X,X,X
IZTJLSO,X,X,O,O,O,X,X,X
IZTJLOS,X,X,O,O,O,X,X,X
IZTJSLO,X,X,O,O,O,X,X,X
IZTJSOL,X,X,X,O,X,X,X,X
IZTJOLS,X,X,O,O,O,X,X,X
IZTJOSL,X,X,X,O,X,X,X,X
IZTSLJO,O,X,O,X,O,X,X,X
IZTSLOJ,O,X,O,X,O,X,X,X
IZTSJLO,O,X,O,X,O,X,X,X
IZTSJOL,O,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,X,X,X,X,X
IZTSOJL,O,X,X,X,X,X,X,X
IZTOLJS,O,X,O,X,O,X,X,X
IZTOLSJ,O,X,O,X,O,X,X,X
IZTOJLS,O,X,O,X,O,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X
IZLTJSO,O,X,O,O,O,X,O,X
IZLTJOS,O,X,O,O,O,X,O,X
IZLTSJO,O,X,O,X,O,X,X,X
IZLTSOJ,X,X,O,X,O,X,X,X
IZLTOJS,O,X,O,X,O,X,O,X
IZLTOSJ,X,X,O,X,O,X,X,X
IZLJTSO,O,X,O,O,O,X,O,X
IZLJTOS,O,X,O,O,O,X,O,X
IZLJSTO,O,X,O,O,X,X,O,X
IZLJSOT,X,X,X,X,X,X,O,X
IZLJOTS,O,X,O,O,X,X,O,X
IZLJOST,O,X,O,X,X,X,O,X
IZLSTJO,O,X,O,X,O,X,X,X
IZLSTOJ,X,X,O,X,O,X,X,X
IZLSJTO,X,X,O,O,X,X,O,X
IZLSJOT,X,X,X,X,X,X,O,X
IZLSOTJ,X,X,O,X,X,X,X,X
IZLSOJT,X,X,O,X,X,X,O,X
IZLOTJS,O,X,O,X,O,X,O,X
IZLOTSJ,O,O,O,X,O,X,X,X
IZLOJTS,O,X,O,O,X,X,O,X
IZLOJST,O,X,O,X,X,X,O,X
IZLOSTJ,O,O,O,X,X,X,X,O
IZLOSJT,X,X,O,X,X,X,O,X
IZJTLSO,X,X,O,O,O,X,O,X
IZJTLOS,X,X,O,O,O,X,O,X
IZJTSLO,X,X,O,O,O,X,O,X
IZJTSOL,X,X,X,O,X,X,X,X
IZJTOLS,X,X,O,O,O,X,X,X
IZJTOSL,X,X,X,O,X,X,X,X
IZJLTSO,X,X,O,O,O,X,O,X
IZJLTOS,X,X,O,O,O,X,O,X
IZJLSTO,X,X,O,O,X,X,O,X
IZJLSOT,X,X,X,X,X,X,O,X
IZJLOTS,X,O,O,O,X,X,O,X
IZJLOST,X,O,O,X,X,X,O,X
IZJSTLO,X,X,O,O,X,X,O,X
IZJSTOL,X,O,X,O,X,X,X,X
IZJSLTO,X,X,O,O,X,X,O,X
IZJSLOT,X,X,X,X,X,X,O,X
IZJSOTL,X,O,X,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X,X
IZJOLST,X,O,X,X,X,X,X,X
IZJOSTL,X,O,X,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X
IZSTLJO,O,X,O,X,O,X,X,X
IZSTLOJ,O,X,O,X,O,X,X,X
IZSTJLO,O,X,O,X,O,X,O,X
IZSTJOL,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X,X
IZSLTJO,O,X,O,X,O,X,X,X
IZSLTOJ,O,X,O,X,O,X,X,X
IZSLJTO,O,X,O,O,X,X,O,X
IZSLJOT,O,X,X,X,X,X,O,X
IZSLOTJ,O,X,O,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,O,X
IZSJTLO,O,X,O,O,X,X,O,X
IZSJTOL,O,O,X,O,X,X,X,X
IZSJLTO,O,X,O,O,X,X,O,X
IZSJLOT,O,X,X,X,X,X,O,X
IZSJOTL,O,O,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X
IZOTLJS,O,X,O,X,O,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,X
IZOTJLS,O,X,O,X,O,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,O,X,X,X
IZOLTSJ,O,O,O,X,O,X,X,X
IZOLJTS,O,X,O,O,X,X,X,X
IZOLJST,O,X,O,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X,X
IZOJTLS,O,X,O,O,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X
IZOJLTS,X,O,O,O,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,O,X,X,X
IOTLJZS,O,X,O,X,O,X,X,X
IOTLSJZ,O,O,O,X,O,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,O,X,O,X,O,X,X,X
IOTLZSJ,O,O,O,X,X,X,X,X
IOTJLSZ,O,O,X,X,O,X,X,X
IOTJLZS,O,O,X,X,O,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,X,X
IOTJZSL,O,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X
IOTZLJS,O,X,O,X,O,X,X,X
IOTZLSJ,O,X,O,X,O,X,X,X
IOTZJLS,O,X,O,X,O,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X
IOLTJSZ,O,O,O,X,X,X,O,X
IOLTJZS,O,O,O,X,X,X,O,X
IOLTSJZ,O,O,O,X,X,X,O,O
IOLTSZJ,O,O,X,X,X,X,X,O
IOLTZJS,O,X,O,X,X,X,O,X
IOLTZSJ,O,O,O,X,X,X,X,X
IOLJTSZ,O,O,O,O,X,X,O,X
IOLJTZS,O,O,O,O,X,X,O,X
IOLJSTZ,O,O,O,X,X,X,O,O
IOLJSZT,O,O,X,X,X,O,O,X
IOLJZTS,O,O,O,O,X,O,O,X
IOLJZST,O,O,X,X,X,O,O,X
IOLSTJZ,O,O,O,X,X,X,O,O
IOLSTZJ,O,O,X,X,X,X,X,O
IOLSJTZ,O,O,O,X,X,X,O,O
IOLSJZT,O,O,X,X,X,O,O,X
IOLSZTJ,O,O,X,X,X,X,X,O
IOLSZJT,O,X,X,X,X,O,O,X
IOLZTJS,O,X,O,X,X,X,O,X
IOLZTSJ,O,O,O,X,X,X,X,X
IOLZJTS,O,X,O,O,X,O,O,X
IOLZJST,O,X,O,X,X,O,O,X
IOLZSTJ,O,O,O,X,X,X,X,O
IOLZSJT,X,X,O,X,X,O,O,X
IOJTLSZ,O,O,X,O,O,X,O,X
IOJTLZS,O,O,X,O,O,X,O,X
IOJTSLZ,O,O,X,O,X,X,O,X
IOJTSZL,O,O,X,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X,X,X
IOJTZSL,O,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,O,X
IOJLTZS,O,O,X,O,X,X,O,X
IOJLSTZ,O,O,X,X,X,X,O,X
IOJLSZT,O,O,X,X,X,O,O,X
IOJLZTS,O,O,X,O,X,O,O,X
IOJLZST,O,O,X,X,X,O,O,X
IOJSTLZ,O,O,X,X,X,X,O,X
IOJSTZL,O,O,X,X,X,X,X,X
IOJSLTZ,O,O,X,X,X,X,O,X
IOJSLZT,O,O,X,X,X,O,O,X
IOJSZTL,O,O,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X
IOJZTLS,O,X,X,O,X,X,X,X
IOJZTSL,O,X,X,O,X,X,X,X
IOJZLTS,X,O,X,O,X,O,X,X
IOJZLST,X,O,X,X,X,O,X,X
IOJZSTL,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,X,X,O
IOSTLZJ,O,O,X,X,X,X,X,O
IOSTJLZ,O,O,X,X,X,X,O,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,X,X,X,X,O,O
IOSLTZJ,O,O,X,X,X,X,X,O
IOSLJTZ,O,O,X,X,X,X,O,O
IOSLJZT,O,O,X,X,X,O,O,X
IOSLZTJ,O,O,X,X,X,X,X,O
IOSLZJT,O,X,X,X,X,O,O,X
IOSJTLZ,O,O,X,X,X,X,O,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,O,O,X,X,X,X,O,X
IOSJLZT,O,O,X,X,X,O,O,X
IOSJZTL,O,O,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X
IOZTLJS,O,X,O,X,O,X,X,X
IOZTLSJ,O,X,O,X,O,X,X,X
IOZTJLS,O,X,O,X,O,X,X,X
IOZTJSL,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,X,X,X,X
IOZLTJS,O,X,O,X,O,X,X,X
IOZLTSJ,O,O,O,X,O,X,X,X
IOZLJTS,O,X,O,O,X,O,X,X
IOZLJST,O,X,O,X,X,O,X,X
IOZLSTJ,O,O,O,X,X,X,X,X
IOZLSJT,X,X,O,X,X,O,X,X
IOZJTLS,O,X,O,O,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X,X
IOZJLTS,X,O,O,O,X,O,X,X
IOZJLST,X,O,X,X,X,O,X,X
IOZJSTL,X,O,X,X,X,X,X,X
IOZJSLT,X,O,X,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,O,O,X,X,X
LTIJZSO,O,X,O,O,O,X,X,X
LTIJZOS,O,X,O,O,O,X,X,X
LTIJOSZ,O,X,O,O,O,X,X,X
LTIJOZS,O,X,O,O,O,X,X,X
LTISJZO,O,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,O,X,X,X
LTISZJO,O,X,O,X,X,X,X,X
LTISZOJ,O,X,O,X,X,X,X,X
LTISOJZ,O,X,O,X,O,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X
LTIZJSO,O,X,O,O,O,X,X,X
LTIZJOS,O,X,O,O,O,X,X,X
LTIZSJO,O,X,O,X,O,X,X,X
LTIZSOJ,X,X,O,X,O,X,X,X
LTIZOJS,O,X,O,X,O,X,X,X
LTIZOSJ,X,X,O,X,O,X,X,X
LTIOJSZ,O,O,O,X,O,X,X,X
LTIOJZS,O,X,O,X,O,X,X,X
LTIOSJZ,O,O,O,X,O,X,X,O
LTIOSZJ,O,O,X,X,X,X,X,O
LTIOZJS,O,X,O,X,O,X,X,X
LTIOZSJ,O,O,O,X,O,X,X,X
LTJISZO,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,O,O,X,X,X
LTJIZSO,O,X,O,O,O,X,X,X
LTJIZOS,O,X,O,O,O,X,X,X
LTJIOSZ,O,O,O,O,O,X,X,X
LTJIOZS,O,O,O,O,O,X,X,X
LTJSIZO,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,O,O,X,X,X
LTJSZIO,O,X,X,O,O,X,X,X
LTJSZOI,O,X,X,O,O,O,X,X
LTJSOIZ,X,X,X,O,O,X,X,X
LTJSOZI,X,X,X,O,O,X,X,X
LTJZISO,O,X,O,O,O,X,X,X
LTJZIOS,O,X,O,O,O,X,X,X
LTJZSIO,O,X,O,O,O,X,X,X
LTJZSOI,O,X,X,O,O,O,X,X
LTJZOIS,O,X,O,O,O,X,X,X
LTJZOSI,O,X,O,O,O,X,X,X
LTJOISZ,O,O,O,O,O,X,X,X
LTJOIZS,O,O,O,O,O,X,X,X
LTJOSIZ,O,O,O,O,O,X,X,X
LTJOSZI,O,O,O,O,O,X,X,X
LTJOZIS,O,O,O,O,O,X,X,X
LTJOZSI,O,O,O,O,O,X,X,X
LTSIJZO,O,X,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,O,X,X,X
LTSIZJO,O,X,O,X,X,X,X,X
LTSIZOJ,O,X,O,X,X,X,X,X
LTSIOJZ,O,X,O,X,O,X,X,O
LTSIOZJ,O,X,X,X,X,X,X,O
LTSJIZO,O,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,X,O,X,X,X
LTSJZIO,O,X,X,X,O,X,X,X
LTSJZOI,O,X,X,X,O,O,X,X
LTSJOIZ,O,X,X,X,O,X,X,O
LTSJOZI,O,X,X,X,O,X,X,O
LTSZIJO,O,X,O,X,O,X,X,X
LTSZIOJ,O,X,O,X,O,X,X,X
LTSZJIO,O,X,O,X,O,X,X,X
LTSZJOI,O,X,X,X,O,O,X,X
LTSZOIJ,O,X,O,X,O,X,X,O
LTSZOJI,X,X,O,X,O,O,X,O
LTSOIJZ,O,X,O,X,O,X,X,O
LTSOIZJ,O,X,X,X,X,X,X,O
LTSOJIZ,O,X,O,X,O,X,X,O
LTSOJZI,O,X,O,X,O,O,X,O
LTSOZIJ,O,X,O,X,O,X,X,O
LTSOZJI,O,X,O,X,O,O,X,O
LTZIJSO,O,X,O,O,O,X,X,X
LTZIJOS,O,X,O,O,O,X,X,X
LTZISJO,O,X,O,X,O,X,X,X
LTZISOJ,X,X,O,X,O,X,X,X
LTZIOJS,O,X,O,X,O,X,X,X
LTZIOSJ,X,X,O,X,O,X,X,X
LTZJISO,O,X,O,X,O,X,X,X
LTZJIOS,O,X,O,X,O,X,X,X
LTZJSIO,O,X,O,X,O,X,X,X
LTZJSOI,O,X,X,X,O,O,X,X
LTZJOIS,O,X,O,X,O,X,X,X
LTZJOSI,O,X,O,X,O,X,X,X
LTZSIJO,O,X,O,X,O,X,X,X
LTZSIOJ,X,X,O,X,O,X,X,X
LTZSJIO,O,X,O,X,O,X,X,X
LTZSJOI,O,X,X,X,O,O,X,X
LTZSOIJ,X,X,O,X,O,X,X,X
LTZSOJI,X,X,O,X,O,O,X,X
LTZOIJS,O,X,O,X,O,X,X,X
LTZOISJ,X,X,O,X,O,X,X,X
LTZOJIS,O,X,O,X,O,O,X,X
LTZOJSI,O,X,O,X,O,O,X,X
LTZOSIJ,X,X,O,X,O,X,X,X
LTZOSJI,X,X,O,X,O,O,X,X
LTOIJSZ,O,O,O,X,O,X,X,X
LTOIJZS,O,O,O,X,O,X,X,X
LTOISJZ,O,O,O,X,O,X,X,O
LTOISZJ,O,O,X,X,X,X,X,O
LTOIZJS,O,X,O,X,O,X,X,X
LTOIZSJ,O,O,O,X,O,X,X,X
LTOJISZ,O,O,O,X,O,X,X,X
LTOJIZS,O,O,O,X,O,X,X,X
LTOJSIZ,O,O,O,X,O,X,X,X
LTOJSZI,O,O,O,X,O,O,X,X
LTOJZIS,O,O,O,X,O,O,X,X
LTOJZSI,O,O,O,X,O,O,X,X
LTOSIJZ,O,O,O,X,O,X,X,O
LTOSIZJ,O,O,X,X,X,X,X,O
LTOSJIZ,O,O,O,X,O,X,X,O
LTOSJZI,O,O,O,X,O,O,X,O
LTOSZIJ,O,O,O,X,O,X,X,O
LTOSZJI,O,O,O,X,O,O,X,O
LTOZIJS,O,X,O,X,O,X,X,X
LTOZISJ,O,O,O,X,O,X,X,X
LTOZJIS,O,O,O,X,O,O,X,X
LTOZJSI,O,O,O,X,O,O,X,X
LTOZSIJ,O,O,O,X,O,X,X,X
LTOZSJI,O,O,O,X,O,O,X,X
LITJSZO,O,X,X,X,X,X,O,X
LITJSOZ,X,X,X,O,O,X,O,X
LITJZSO,O,X,O,O,O,X,O,X
LITJZOS,O,X,O,O,O,X,O,X
LITJOSZ,O,X,O,O,O,X,O,X
LITJOZS,O,X,O,O,O,X,O,X
LITSJZO,O,X,X,X,X,X,O,X
LITSJOZ,O,X,X,X,O,X,O,X
LITSZJO,O,X,O,X,X,X,X,X
LITSZOJ,O,X,O,X,X,X,X,X
LITSOJZ,O,X,O,X,O,X,O,X
LITSOZJ,O,X,X,X,X,X,X,X
LITZJSO,O,X,O,O,O,X,O,X
LITZJOS,O,X,O,O,O,X,O,X
LITZSJO,O,X,O,X,O,X,X,X
LITZSOJ,X,X,O,X,O,X,X,X
LITZOJS,O,X,O,X,O,X,O,X
LITZOSJ,X,X,O,X,O,X,X,X
LITOJSZ,O,O,O,X,O,X,O,X
LITOJZS,O,X,O,X,O,X,O,X
LITOSJZ,O,O,O,X,O,X,O,O
LITOSZJ,O,O,X,X,X,X,X,O
LITOZJS,O,X,O,X,O,X,O,X
LITOZSJ,O,O,O,X,X,X,X,X
LIJTSZO,O,X,X,X,X,X,O,X
LIJTSOZ,X,X,X,O,O,X,O,X
LIJTZSO,O,X,O,O,O,X,O,X
LIJTZOS,O,X,O,O,O,X,O,X
LIJTOSZ,O,O,O,O,O,X,O,X
LIJTOZS,O,O,O,O,O,X,O,X
LIJSTZO,O,X,X,X,X,X,O,X
LIJSTOZ,X,O,X,O,X,X,O,X
LIJSZTO,O,X,X,O,X,X,O,X
LIJSZOT,X,X,X,X,X,O,O,X
LIJSOTZ,O,O,X,X,X,X,O,X
LIJSOZT,O,O,X,X,X,X,O,X
LIJZTSO,O,X,O,O,X,X,O,X
LIJZTOS,O,X,O,O,X,X,O,X
LIJZSTO,O,X,O,O,X,X,O,X
LIJZSOT,X,X,X,X,X,O,O,X
LIJZOTS,O,O,O,O,X,X,O,X
LIJZOST,O,O,O,X,X,X,O,X
LIJOTSZ,O,O,O,O,X,X,O,X
LIJOTZS,O,O,O,O,X,X,O,X
LIJOSTZ,O,O,O,X,X,X,O,O
LIJOSZT,O,O,X,X,X,X,O,X
LIJOZTS,O,O,O,O,X,X,O,X
LIJOZST,O,O,X,X,X,X,O,X
LISTJZO,O,X,X,X,X,X,O,X
LISTJOZ,O,O,X,X,X,X,O,X
LISTZJO,O,X,O,X,X,X,X,X
LISTZOJ,O,X,O,X,X,X,X,X
LISTOJZ,O,O,O,X,X,X,O,O
LISTOZJ,O,O,X,X,X,X,X,O
LISJTZO,O,X,X,X,X,X,O,X
LISJTOZ,O,O,X,O,X,X,O,X
LISJZTO,O,X,X,O,X,X,O,X
LISJZOT,O,X,X,X,X,O,O,X
LISJOTZ,O,O,X,X,X,X,O,X
LISJOZT,O,O,X,X,X,X,O,X
LISZTJO,O,X,O,X,X,X,X,X
LISZTOJ,O,X,O,X,X,X,X,X
LISZJTO,O,X,O,O,X,X,O,X
LISZJOT,O,X,X,X,X,O,O,X
LISZOTJ,O,X,O,X,X,X,X,X
LISZOJT,O,X,O,X,X,O,O,X
LISOTJZ,O,O,O,X,X,X,O,O
LISOTZJ,O,O,X,X,X,X,X,O
LISOJTZ,O,O,O,X,X,X,O,O
LISOJZT,O,O,X,X,X,O,O,X
LISOZTJ,O,O,X,X,X,X,X,O
LISOZJT,O,X,X,X,X,O,O,X
LIZTJSO,O,X,O,O,O,X,O,X
LIZTJOS,O,X,O,O,O,X,O,X
LIZTSJO,O,X,O,X,O,X,X,X
LIZTSOJ,X,X,O,X,O,X,X,X
LIZTOJS,O,X,O,X,O,X,O,X
LIZTOSJ,X,X,O,X,O,X,X,X
LIZJTSO,O,X,O,O,O,X,O,X
LIZJTOS,O,X,O,O,O,X,O,X
LIZJSTO,O,X,O,O,X,X,O,X
LIZJSOT,X,X,X,X,X,O,O,X
LIZJOTS,O,X,O,O,X,X,O,X
LIZJOST,O,X,O,X,X,X,O,X
LIZSTJO,O,X,O,X,O,X,X,X
LIZSTOJ,X,X,O,X,O,X,X,X
LIZSJTO,X,X,O,O,X,X,O,X
LIZSJOT,X,X,X,X,X,O,O,X
LIZSOTJ,X,X,O,X,X,X,X,X
LIZSOJT,X,X,O,X,X,O,O,X
LIZOTJS,O,X,O,X,O,X,O,X
LIZOTSJ,O,O,O,X,O,X,X,X
LIZOJTS,O,X,O,O,X,O,O,X
LIZOJST,O,X,O,X,X,O,O,X
LIZOSTJ,O,O,O,X,X,X,X,O
LIZOSJT,X,X,O,X,X,O,O,X
LIOTJSZ,O,O,O,X,X,X,O,X
LIOTJZS,O,O,O,X,X,X,O,X
LIOTSJZ,O,O,O,X,X,X,O,O
LIOTSZJ,O,O,X,X,X,X,X,O
LIOTZJS,O,X,O,X,X,X,O,X
LIOTZSJ,O,O,O,X,X,X,X,X
LIOJTSZ,O,O,O,O,X,X,O,X
LIOJTZS,O,O,O,O,X,X,O,X
LIOJSTZ,O,O,O,X,X,X,O,O
LIOJSZT,O,O,X,X,X,O,O,X
LIOJZTS,O,O,O,O,X,O,O,X
LIOJZST,O,O,O,X,X,O,O,X
LIOSTJZ,O,O,O,X,X,X,O,O
LIOSTZJ,O,O,X,X,X,X,X,O
LIOSJTZ,O,O,O,X,X,X,O,O
LIOSJZT,O,O,X,X,X,O,O,X
LIOSZTJ,O,O,X,X,X,X,X,O
LIOSZJT,O,X,X,X,X,O,O,X
LIOZTJS,O,X,O,X,X,X,O,X
LIOZTSJ,O,O,O,X,X,X,X,X
