sequence,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF9lBThBxiBc?pBmnBXrB,v115@QhA8BeA8CeB8AeA8AeB8BeE8JeZEJvhFtkBXhBTiBO?oBSrB0qB,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF3gB9mBxiBc?pBmnBzqB
TOILZJS,X,O,O
TOILZSJ,X,O,O
TOIJLSZ,X,O,O
TOIJLZS,X,O,O
TOIJSLZ,O,O,O
TOIJSZL,O,X,O
TOIJZLS,O,O,O
TOIJZSL,O,X,O
TOISLJZ,X,O,X
TOISLZJ,X,O,O
TOISJLZ,X,O,O
TOISJZL,X,X,O
TOISZLJ,X,X,O
TOISZJL,X,X,O
TOIZLJS,O,O,O
TOIZLSJ,X,O,O
TOIZJLS,O,O,O
TOIZJSL,O,X,O
TOIZSLJ,X,X,O
TOIZSJL,X,X,O
TOLIJSZ,X,O,X
TOLIJZS,X,O,X
TOLISJZ,X,O,X
TOLISZJ,X,O,O
TOLIZJS,X,O,O
TOLIZSJ,X,O,O
TOLJISZ,X,O,O
TOLJIZS,X,O,O
TOLJSIZ,X,O,O
TOLJSZI,X,O,O
TOLJZIS,X,O,O
TOLJZSI,X,O,O
TOLSIJZ,X,O,X
TOLSIZJ,X,O,O
TOLSJIZ,X,O,O
TOLSJZI,X,O,O
TOLSZIJ,X,O,O
TOLSZJI,X,O,O
TOLZIJS,X,O,O
TOLZISJ,X,O,O
TOLZJIS,X,O,O
TOLZJSI,X,O,O
TOLZSIJ,X,O,O
TOLZSJI,X,O,O
TOJILSZ,X,O,O
TOJILZS,X,O,O
TOJISLZ,O,O,O
TOJISZL,O,X,O
TOJIZLS,O,O,O
TOJIZSL,O,X,O
TOJLISZ,X,O,O
TOJLIZS,X,O,O
TOJLSIZ,X,O,O
TOJLSZI,X,O,O
TOJLZIS,X,O,O
TOJLZSI,X,O,O
TOJSILZ,O,O,O
TOJSIZL,O,X,O
TOJSLIZ,O,O,O
TOJSLZI,O,O,O
TOJSZIL,O,X,O
TOJSZLI,O,X,O
TOJZILS,O,O,O
TOJZISL,O,X,O
TOJZLIS,O,O,O
TOJZLSI,O,O,O
TOJZSIL,O,X,O
TOJZSLI,O,X,O
TOSILJZ,X,O,X
TOSILZJ,X,O,O
TOSIJLZ,X,O,O
TOSIJZL,X,X,O
TOSIZLJ,X,X,O
TOSIZJL,X,X,O
TOSLIJZ,X,O,X
TOSLIZJ,X,O,O
TOSLJIZ,X,O,O
TOSLJZI,X,O,O
TOSLZIJ,X,O,O
TOSLZJI,X,O,O
TOSJILZ,X,O,O
TOSJIZL,X,X,O
TOSJLIZ,X,O,O
TOSJLZI,X,O,O
TOSJZIL,X,X,O
TOSJZLI,X,X,O
TOSZILJ,X,X,O
TOSZIJL,X,X,O
TOSZLIJ,X,X,O
TOSZLJI,X,X,O
TOSZJIL,X,X,O
TOSZJLI,X,X,O
TOZILJS,O,O,O
TOZILSJ,X,O,O
TOZIJLS,O,O,O
TOZIJSL,O,X,O
TOZISLJ,X,X,O
TOZISJL,X,X,O
TOZLIJS,O,O,O
TOZLISJ,X,O,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,X,O,O
TOZLSJI,X,O,O
TOZJILS,O,O,O
TOZJISL,O,X,O
TOZJLIS,O,O,O
TOZJLSI,O,O,O
TOZJSIL,O,X,O
TOZJSLI,O,X,O
TOZSILJ,X,X,O
TOZSIJL,X,X,O
TOZSLIJ,X,X,O
TOZSLJI,X,X,O
TOZSJIL,X,X,O
TOZSJLI,X,X,O
ITLJSZO,O,O,X
ITLJSOZ,O,O,X
ITLJZSO,O,O,X
ITLJZOS,O,O,X
ITLJOSZ,X,O,X
ITLJOZS,X,O,X
ITLSJZO,X,O,X
ITLSJOZ,X,O,X
ITLSZJO,X,O,O
ITLSZOJ,X,O,O
ITLSOJZ,X,O,X
ITLSOZJ,X,O,X
ITLZJSO,O,O,O
ITLZJOS,O,O,X
ITLZSJO,O,O,O
ITLZSOJ,X,O,O
ITLZOJS,O,O,X
ITLZOSJ,X,O,O
ITLOJSZ,X,O,X
ITLOJZS,X,O,X
ITLOSJZ,X,O,X
ITLOSZJ,X,O,X
ITLOZJS,X,O,X
ITLOZSJ,X,O,X
ITJLSZO,O,O,O
ITJLSOZ,O,O,X
ITJLZSO,O,O,O
ITJLZOS,O,O,O
ITJLOSZ,X,O,X
ITJLOZS,X,O,X
ITJSLZO,O,O,O
ITJSLOZ,O,O,X
ITJSZLO,O,X,O
ITJSZOL,O,X,O
ITJSOLZ,O,O,X
ITJSOZL,O,X,O
ITJZLSO,O,O,O
ITJZLOS,O,O,O
ITJZSLO,O,X,O
ITJZSOL,O,X,O
ITJZOLS,O,O,O
ITJZOSL,O,X,O
ITJOLSZ,X,O,O
ITJOLZS,X,O,O
ITJOSLZ,O,O,O
ITJOSZL,O,X,O
ITJOZLS,O,O,O
ITJOZSL,O,X,O
ITSLJZO,O,O,X
ITSLJOZ,O,O,X
ITSLZJO,O,O,O
ITSLZOJ,O,O,O
ITSLOJZ,X,O,X
ITSLOZJ,O,O,X
ITSJLZO,O,O,O
ITSJLOZ,O,O,X
ITSJZLO,O,X,O
ITSJZOL,O,X,O
ITSJOLZ,O,O,X
ITSJOZL,O,X,O
ITSZLJO,O,X,O
ITSZLOJ,O,X,O
ITSZJLO,O,X,O
ITSZJOL,O,X,O
ITSZOLJ,O,X,O
ITSZOJL,O,X,X
ITSOLJZ,X,O,X
ITSOLZJ,O,O,X
ITSOJLZ,O,O,X
ITSOJZL,O,X,X
ITSOZLJ,O,X,O
ITSOZJL,O,X,X
ITZLJSO,O,O,O
ITZLJOS,O,O,O
ITZLSJO,O,O,O
ITZLSOJ,O,O,O
ITZLOJS,O,O,O
ITZLOSJ,X,O,O
ITZJLSO,O,O,O
ITZJLOS,O,O,O
ITZJSLO,O,X,O
ITZJSOL,O,X,O
ITZJOLS,O,O,O
ITZJOSL,O,X,O
ITZSLJO,O,X,O
ITZSLOJ,O,X,O
ITZSJLO,O,X,O
ITZSJOL,O,X,O
ITZSOLJ,O,X,O
ITZSOJL,O,X,X
ITZOLJS,O,O,O
ITZOLSJ,X,O,O
ITZOJLS,O,O,O
ITZOJSL,O,X,O
ITZOSLJ,X,X,O
ITZOSJL,X,X,O
ITOLJSZ,X,O,X
ITOLJZS,X,O,X
ITOLSJZ,X,O,X
ITOLSZJ,X,O,O
ITOLZJS,X,O,O
ITOLZSJ,X,O,O
ITOJLSZ,X,O,O
ITOJLZS,X,O,O
ITOJSLZ,O,O,O
ITOJSZL,O,X,O
ITOJZLS,O,O,O
ITOJZSL,O,X,O
ITOSLJZ,X,O,X
ITOSLZJ,X,O,O
ITOSJLZ,X,O,X
ITOSJZL,X,X,O
ITOSZLJ,X,X,O
ITOSZJL,X,X,O
ITOZLJS,O,O,O
ITOZLSJ,X,O,O
ITOZJLS,O,O,O
ITOZJSL,O,X,O
ITOZSLJ,X,X,O
ITOZSJL,X,X,O
