sequence,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFCgBXhBVnB8pBGr?BTsB,v115@EhC8HeB8HeB8BeC8CeB8Je2EJvhFRgBUiB3lB1rBTp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFzfBfmBlhB8rB+s?BCqB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhF8lBzhBikB+sB3p?BlrB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhFlhBOpB8pBzlBXn?BSxB,v115@EhC8HeB8HeB8BeC8CeB8Jei/IvhFRhBFlBXmB8rB+s?BTpB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFChBVnBupB/rBUl?BTsB,v115@EhC8HeB8HeB8BeC8CeB8JeXAJvhF8lBzhBlpBxrBOp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFfmBlhBUlB6sBup?BzrB
IJSLZOT,X,X,O,O,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,X,X,X
IJSLOZT,X,X,O,O,X,X,X,X,X
IJSZTLO,O,X,O,O,X,X,O,X,X
IJSZTOL,O,X,O,O,X,X,X,X,X
IJSZLTO,O,X,O,O,X,X,X,X,O
IJSZLOT,X,X,O,O,X,X,X,X,X
IJSZOTL,X,X,O,O,X,X,X,X,X
IJSZOLT,X,X,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,O,X,X
IJSOTZL,X,X,X,X,X,X,O,X,X
IJSOLTZ,X,X,O,X,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,X,X,X
IJSOZTL,X,X,O,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,X,X,X,X
IJZTLSO,O,X,O,X,X,O,X,O,X
IJZTLOS,O,X,O,O,X,O,X,O,X
IJZTSLO,O,X,O,O,X,O,X,O,X
IJZTSOL,O,X,O,O,X,O,X,O,X
IJZTOLS,O,X,X,O,X,O,X,O,X
IJZTOSL,O,X,O,O,X,O,X,O,X
IJZLTSO,O,X,O,X,X,O,X,X,X
IJZLTOS,O,X,O,O,X,O,X,X,X
IJZLSTO,O,X,O,X,X,O,X,X,O
IJZLSOT,X,X,O,X,X,O,X,X,X
IJZLOTS,O,X,O,X,X,O,X,X,X
IJZLOST,O,X,O,X,X,O,X,X,X
IJZSTLO,O,X,O,O,X,O,O,X,X
IJZSTOL,O,X,O,O,X,O,X,X,X
IJZSLTO,O,X,O,O,X,O,X,X,O
IJZSLOT,X,X,O,O,X,O,X,X,X
IJZSOTL,X,X,O,O,X,O,X,X,X
IJZSOLT,X,X,O,X,X,O,X,X,X
IJZOTLS,O,X,X,O,X,O,X,O,X
IJZOTSL,O,X,O,O,X,O,O,O,X
IJZOLTS,O,X,O,X,X,O,X,X,X
IJZOLST,O,X,O,X,X,O,X,X,X
IJZOSTL,O,X,O,X,X,O,X,X,X
IJZOSLT,O,X,O,X,X,O,X,X,X
IJOTLSZ,O,X,X,X,X,O,O,X,X
IJOTLZS,O,X,X,X,X,O,X,X,X
IJOTSLZ,O,X,X,X,X,O,O,X,X
IJOTSZL,O,X,X,X,X,X,O,X,X
IJOTZLS,O,X,X,X,X,O,X,O,X
IJOTZSL,O,X,X,X,X,O,O,O,X
IJOLTSZ,O,X,O,X,X,O,O,X,X
IJOLTZS,O,X,O,X,X,O,X,X,X
IJOLSTZ,X,X,O,X,X,X,X,X,X
IJOLSZT,X,X,O,X,X,X,X,X,X
IJOLZTS,O,X,O,X,X,O,X,X,X
IJOLZST,O,X,O,X,X,O,X,X,X
IJOSTLZ,O,X,X,X,X,X,O,X,X
IJOSTZL,O,X,X,X,X,X,O,X,X
IJOSLTZ,X,X,O,X,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,X,X,X
IJOSZTL,O,X,O,X,X,X,X,X,X
IJOSZLT,O,X,O,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,O,X,O,X
IJOZTSL,O,X,O,X,X,O,O,O,X
IJOZLTS,O,X,O,X,X,O,X,X,X
IJOZLST,O,X,O,X,X,O,X,X,X
IJOZSTL,O,X,O,X,X,O,X,X,X
IJOZSLT,O,X,O,X,X,O,X,X,X
ISTLJZO,X,O,O,X,X,X,O,X,O
ISTLJOZ,X,X,O,X,X,X,O,X,X
ISTLZJO,X,O,X,X,X,X,O,X,O
ISTLZOJ,X,X,X,X,X,X,X,X,O
ISTLOJZ,X,X,O,X,X,X,O,X,X
ISTLOZJ,X,X,X,X,X,X,X,X,O
ISTJLZO,X,O,O,X,X,X,O,X,X
ISTJLOZ,X,X,O,X,X,X,O,X,X
ISTJZLO,X,O,O,X,X,X,O,X,X
ISTJZOL,X,O,O,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,X,O,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,X,X,O,O,O
ISTZLOJ,X,X,X,X,X,X,X,O,O
ISTZJLO,X,O,X,X,X,X,O,O,X
ISTZJOL,X,O,X,X,X,X,X,O,X
ISTZOLJ,X,O,X,X,X,X,X,O,X
ISTZOJL,X,O,X,X,X,X,X,O,X
ISTOLJZ,X,O,X,X,X,X,O,X,X
ISTOLZJ,X,O,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,O,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,O,X
ISTOZJL,X,O,X,X,X,X,X,O,X
ISLTJZO,X,O,O,O,X,X,O,X,O
ISLTJOZ,X,X,O,X,X,X,O,X,X
ISLTZJO,X,O,X,O,X,X,O,X,O
ISLTZOJ,X,X,X,X,X,X,X,X,O
ISLTOJZ,X,X,O,X,X,X,O,X,X
ISLTOZJ,X,X,X,X,X,X,X,X,O
ISLJTZO,X,O,O,O,X,X,O,X,O
ISLJTOZ,X,X,O,O,X,X,O,X,X
ISLJZTO,X,X,O,O,X,X,X,X,O
ISLJZOT,X,X,O,O,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,O,O,X,X,X,X,X
ISLZTJO,X,X,X,O,X,X,X,X,O
ISLZTOJ,X,X,X,X,X,X,X,X,O
ISLZJTO,X,X,O,O,X,X,X,X,O
ISLZJOT,X,X,O,O,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,X,X,O
ISLZOJT,X,X,O,O,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,O
ISLOJTZ,X,X,O,X,X,X,X,X,X
ISLOJZT,X,X,O,O,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,X,O
ISLOZJT,X,X,O,O,X,X,X,X,X
ISJTLZO,O,O,O,O,X,X,O,X,X
ISJTLOZ,X,X,O,O,X,X,O,X,X
ISJTZLO,O,O,O,O,X,X,O,X,X
ISJTZOL,O,O,O,O,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,O,X,X
ISJTOZL,O,O,X,O,X,X,X,X,X
ISJLTZO,X,O,O,O,X,X,O,X,O
ISJLTOZ,X,X,O,O,X,X,O,X,X
ISJLZTO,X,X,O,O,X,X,X,X,O
ISJLZOT,X,X,O,O,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,X,X,X,X
ISJLOZT,X,X,O,O,X,X,X,X,X
ISJZTLO,O,O,O,O,X,X,O,X,X
ISJZTOL,O,O,O,O,X,X,X,X,X
ISJZLTO,O,X,O,O,X,X,X,X,O
ISJZLOT,X,X,O,O,X,X,X,X,X
ISJZOTL,X,X,O,O,X,X,X,X,X
ISJZOLT,X,X,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,X,O,X,X
ISJOTZL,X,O,X,X,X,X,O,X,X
ISJOLTZ,X,X,O,X,X,X,X,X,X
ISJOLZT,X,X,O,X,X,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,X,X,X,X
ISZTLJO,X,O,X,X,X,X,O,O,O
ISZTLOJ,X,X,X,X,X,X,X,O,O
ISZTJLO,X,O,X,O,X,X,O,O,X
ISZTJOL,X,O,X,O,X,X,X,O,X
ISZTOLJ,X,X,X,X,X,X,X,O,X
ISZTOJL,X,O,X,X,X,X,X,O,X
ISZLTJO,X,X,X,O,X,X,X,X,O
ISZLTOJ,X,X,X,X,X,X,X,X,O
ISZLJTO,O,X,O,O,X,X,X,X,O
ISZLJOT,X,X,O,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,O
ISZLOJT,O,X,O,O,X,X,X,X,X
ISZJTLO,O,O,O,O,X,X,O,X,X
ISZJTOL,O,O,O,O,X,X,X,X,X
ISZJLTO,O,X,O,O,X,X,X,X,O
ISZJLOT,X,X,O,O,X,X,X,X,X
ISZJOTL,X,X,O,O,X,X,X,X,X
ISZJOLT,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,O,X
ISZOTJL,O,X,X,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,X,X,X,O
ISZOLJT,O,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,O,X,X
ISOTLZJ,O,O,X,X,X,X,O,X,X
ISOTJLZ,O,O,X,X,X,X,O,X,X
ISOTJZL,O,O,X,X,X,X,O,X,X
ISOTZLJ,O,O,X,X,X,X,O,O,X
ISOTZJL,O,O,X,X,X,X,O,O,X
ISOLTJZ,X,O,O,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,O
ISOLJTZ,X,O,O,X,X,X,X,X,X
ISOLJZT,X,X,O,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,O
ISOLZJT,X,X,O,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,O,X,X
ISOJTZL,O,O,X,X,X,X,O,X,X
ISOJLTZ,X,O,O,X,X,X,X,X,X
ISOJLZT,X,X,O,X,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X,X
ISOJZLT,O,X,O,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,O,X
ISOZTJL,O,O,X,X,X,X,X,O,X
ISOZLTJ,O,X,X,X,X,X,X,X,O
ISOZLJT,O,X,X,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,X,O,X
IZTLJOS,O,X,X,X,X,X,X,O,X
IZTLSJO,X,X,X,X,O,X,X,O,O
IZTLSOJ,X,X,X,X,O,X,X,O,O
IZTLOJS,O,X,X,X,O,X,X,O,X
IZTLOSJ,O,X,X,X,O,X,X,O,X
IZTJLSO,O,X,X,X,X,X,X,O,X
IZTJLOS,O,X,X,O,X,X,X,O,X
IZTJSLO,O,X,X,X,X,X,X,O,X
IZTJSOL,O,X,X,O,X,X,X,O,X
IZTJOLS,O,X,X,O,X,X,X,O,X
IZTJOSL,O,X,X,O,X,X,X,O,X
IZTSLJO,X,X,X,X,X,X,X,O,O
IZTSLOJ,X,X,X,X,X,X,X,O,O
IZTSJLO,X,X,X,X,X,X,X,O,X
IZTSJOL,X,X,X,X,X,X,X,O,X
IZTSOLJ,X,X,X,X,X,X,X,O,X
IZTSOJL,X,X,X,X,X,X,X,O,X
IZTOLJS,O,X,X,X,O,X,X,O,X
IZTOLSJ,O,X,X,X,O,X,X,O,X
IZTOJLS,O,X,X,X,O,X,X,O,X
IZTOJSL,O,X,X,X,O,X,X,O,X
IZTOSLJ,O,X,X,X,O,X,X,O,X
IZTOSJL,O,X,X,X,O,X,X,O,X
IZLTJSO,O,X,X,X,X,X,X,O,X
IZLTJOS,O,X,X,X,X,X,X,O,X
IZLTSJO,X,X,X,X,O,X,X,O,O
IZLTSOJ,X,X,X,X,O,X,X,O,O
IZLTOJS,O,X,X,X,O,X,X,O,X
IZLTOSJ,O,X,X,X,O,X,X,O,X
IZLJTSO,O,X,O,X,O,X,X,X,X
IZLJTOS,O,X,O,O,O,X,X,X,X
IZLJSTO,O,X,O,X,O,X,X,X,O
IZLJSOT,X,X,O,X,O,X,X,X,X
IZLJOTS,O,X,O,X,O,X,X,X,X
IZLJOST,O,X,O,X,O,X,X,X,X
IZLSTJO,X,X,X,X,O,X,X,X,O
IZLSTOJ,X,X,X,X,O,X,X,X,O
IZLSJTO,O,X,O,X,O,X,X,X,O
IZLSJOT,X,X,O,X,O,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,O
IZLSOJT,O,X,O,X,O,X,X,X,X
IZLOTJS,O,X,X,X,O,X,X,O,X
IZLOTSJ,O,X,X,X,O,X,X,O,X
IZLOJTS,O,X,O,X,O,X,X,X,X
IZLOJST,O,X,O,X,O,X,X,X,X
IZLOSTJ,O,X,X,X,O,X,X,X,O
IZLOSJT,O,X,O,X,O,X,X,X,X
IZJTLSO,O,X,O,X,O,X,X,O,X
IZJTLOS,O,X,O,O,O,X,X,O,X
IZJTSLO,O,X,O,O,X,X,X,O,X
IZJTSOL,O,X,O,O,X,X,X,O,X
IZJTOLS,O,X,X,O,O,X,X,O,X
IZJTOSL,O,X,O,O,O,X,X,O,X
IZJLTSO,O,X,O,X,O,X,X,X,X
IZJLTOS,O,X,O,O,O,X,X,X,X
IZJLSTO,O,X,O,X,O,X,X,X,O
IZJLSOT,X,X,O,X,O,X,X,X,X
IZJLOTS,O,X,O,X,O,X,X,X,X
IZJLOST,O,X,O,X,O,X,X,X,X
IZJSTLO,O,X,O,O,X,X,O,X,X
IZJSTOL,O,X,O,O,X,X,X,X,X
IZJSLTO,O,X,O,O,O,X,X,X,O
IZJSLOT,X,X,O,O,O,X,X,X,X
IZJSOTL,X,X,O,O,O,X,X,X,X
IZJSOLT,X,X,O,X,O,X,X,X,X
IZJOTLS,O,X,X,O,O,X,X,O,X
IZJOTSL,O,X,O,O,O,X,O,O,X
IZJOLTS,O,X,O,X,O,X,X,X,X
IZJOLST,O,X,O,X,O,X,X,X,X
IZJOSTL,O,X,O,X,O,X,X,X,X
IZJOSLT,O,X,O,X,O,X,X,X,X
IZSTLJO,X,X,X,X,X,X,O,O,O
IZSTLOJ,X,X,X,X,X,X,X,O,O
IZSTJLO,X,X,X,O,X,X,O,O,X
IZSTJOL,X,X,X,O,X,X,X,O,X
IZSTOLJ,X,X,X,X,X,X,X,O,X
IZSTOJL,X,X,X,X,X,X,X,O,X
IZSLTJO,X,X,X,O,O,X,X,X,O
IZSLTOJ,X,X,X,X,O,X,X,X,O
IZSLJTO,O,X,O,O,O,X,X,X,O
IZSLJOT,X,X,O,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,O
IZSLOJT,O,X,O,O,O,X,X,X,X
IZSJTLO,O,X,O,O,X,X,O,X,X
IZSJTOL,O,X,O,O,X,X,X,X,X
IZSJLTO,O,X,O,O,X,X,X,X,O
IZSJLOT,X,X,O,O,X,X,X,X,X
IZSJOTL,X,X,O,O,X,X,X,X,X
IZSJOLT,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,O,X,X,O,X
IZSOTJL,O,X,X,X,O,X,X,O,X
IZSOLTJ,O,X,X,X,O,X,X,X,O
IZSOLJT,O,X,X,X,O,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X
IZOTLJS,O,X,X,X,O,X,X,O,X
IZOTLSJ,O,X,X,X,O,X,X,O,X
IZOTJLS,O,X,X,X,O,X,X,O,X
IZOTJSL,O,X,X,X,O,X,O,O,X
IZOTSLJ,O,X,X,X,O,X,O,O,X
IZOTSJL,O,X,X,X,O,X,O,O,X
IZOLTJS,O,X,X,X,O,X,X,O,X
IZOLTSJ,O,X,X,X,O,X,X,O,X
IZOLJTS,O,X,X,X,O,X,X,X,X
IZOLJST,O,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,O,X,X,X,O
IZOLSJT,O,X,X,X,O,X,X,X,X
IZOJTLS,O,X,X,O,O,X,X,O,X
IZOJTSL,O,X,X,O,O,X,O,O,X
IZOJLTS,O,X,X,X,O,X,X,X,X
IZOJLST,O,X,X,X,O,X,X,X,X
IZOJSTL,O,X,X,X,O,X,X,X,X
IZOJSLT,O,X,X,X,O,X,X,X,X
IZOSTLJ,O,X,X,X,O,X,X,O,X
IZOSTJL,O,X,X,X,O,X,X,O,X
IZOSLTJ,O,X,X,X,O,X,X,X,O
IZOSLJT,O,X,X,X,O,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,O,X,X
IOTLJZS,O,X,X,X,O,O,X,X,X
IOTLSJZ,O,X,X,X,O,O,O,X,X
IOTLSZJ,O,X,X,X,O,X,O,X,X
IOTLZJS,O,X,X,X,O,O,X,O,X
IOTLZSJ,O,X,X,X,O,X,X,O,X
IOTJLSZ,O,X,X,X,O,O,O,X,X
IOTJLZS,O,O,X,X,O,O,X,X,X
IOTJSLZ,O,O,X,X,X,O,O,X,X
IOTJSZL,O,O,X,X,X,X,O,X,X
IOTJZLS,O,O,X,X,O,O,X,O,X
IOTJZSL,O,O,X,X,O,O,O,O,X
IOTSLJZ,O,O,X,X,O,O,O,X,X
IOTSLZJ,O,O,X,X,O,X,O,X,X
IOTSJLZ,O,O,X,X,X,X,O,X,X
IOTSJZL,O,O,X,X,X,X,O,X,X
IOTSZLJ,O,O,X,X,O,X,O,O,X
IOTSZJL,O,O,X,X,O,X,O,O,X
IOTZLJS,O,X,X,X,O,O,X,O,X
IOTZLSJ,O,X,X,X,O,X,X,O,X
IOTZJLS,O,O,X,X,O,X,X,O,X
IOTZJSL,O,O,X,X,O,X,O,O,X
IOTZSLJ,O,O,X,X,O,X,O,O,X
IOTZSJL,O,O,X,X,O,X,O,O,X
IOLTJSZ,O,O,O,X,O,O,O,X,X
IOLTJZS,O,O,O,X,O,O,X,X,X
IOLTSJZ,O,O,O,X,O,O,O,X,X
IOLTSZJ,O,O,X,X,O,X,O,X,O
IOLTZJS,O,O,X,X,O,O,X,O,X
IOLTZSJ,O,O,X,X,O,X,X,O,X
IOLJTSZ,O,O,O,X,O,O,O,X,X
IOLJTZS,O,O,O,X,O,O,X,X,X
IOLJSTZ,X,O,O,X,O,X,X,X,X
IOLJSZT,X,O,O,X,X,X,X,X,X
IOLJZTS,O,O,O,X,X,O,X,X,X
IOLJZST,O,O,O,X,X,O,X,X,X
IOLSTJZ,X,X,O,X,O,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,O
IOLSJTZ,X,X,O,X,O,X,X,X,X
IOLSJZT,X,X,O,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,X,X,O
IOLSZJT,X,X,O,X,O,X,X,X,X
IOLZTJS,O,O,X,X,O,X,X,O,X
IOLZTSJ,O,O,X,X,O,X,X,O,X
IOLZJTS,O,O,O,X,O,X,X,X,X
IOLZJST,O,O,O,X,O,X,X,X,X
IOLZSTJ,O,X,X,X,O,X,X,X,O
IOLZSJT,O,X,O,X,O,X,X,X,X
IOJTLSZ,O,O,X,X,O,O,O,X,X
IOJTLZS,O,O,X,X,O,O,X,X,X
IOJTSLZ,O,O,X,X,X,O,O,X,X
IOJTSZL,O,O,X,X,X,X,O,X,X
IOJTZLS,O,O,X,X,O,O,X,O,X
IOJTZSL,O,O,X,X,O,O,O,O,X
IOJLTSZ,O,O,O,X,O,O,O,X,X
IOJLTZS,O,O,O,X,O,O,X,X,X
IOJLSTZ,X,O,O,X,O,X,X,X,X
IOJLSZT,X,O,O,X,X,X,X,X,X
IOJLZTS,O,O,O,X,X,O,X,X,X
IOJLZST,O,O,O,X,X,O,X,X,X
IOJSTLZ,O,O,X,X,X,X,O,X,X
IOJSTZL,O,O,X,X,X,X,O,X,X
IOJSLTZ,X,O,O,X,X,X,X,X,X
IOJSLZT,X,O,O,X,X,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X,X
IOJSZLT,O,X,O,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,O,X,O,X
IOJZTSL,O,O,O,X,X,O,O,O,X
IOJZLTS,O,O,O,X,X,O,X,X,X
IOJZLST,O,O,O,X,X,O,X,X,X
IOJZSTL,O,O,O,X,X,O,X,X,X
IOJZSLT,O,X,O,X,X,O,X,X,X
IOSTLJZ,O,O,X,X,O,X,O,X,X
IOSTLZJ,O,O,X,X,O,X,O,X,X
IOSTJLZ,O,O,X,X,X,X,O,X,X
IOSTJZL,O,O,X,X,X,X,O,X,X
IOSTZLJ,O,O,X,X,O,X,O,O,X
IOSTZJL,O,O,X,X,O,X,O,O,X
IOSLTJZ,X,O,O,X,O,X,X,X,X
IOSLTZJ,X,O,X,X,O,X,X,X,O
IOSLJTZ,X,O,O,X,O,X,X,X,X
IOSLJZT,X,X,O,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,X,O
IOSLZJT,X,X,O,X,X,X,X,X,X
IOSJTLZ,O,O,X,X,X,X,O,X,X
IOSJTZL,O,O,X,X,X,X,O,X,X
IOSJLTZ,X,O,O,X,X,X,X,X,X
IOSJLZT,X,X,O,X,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X,X
IOSJZLT,O,X,O,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,O,X
IOSZTJL,O,O,X,X,X,X,X,O,X
IOSZLTJ,O,X,X,X,X,X,X,X,O
IOSZLJT,O,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X,X
IOZTLJS,O,X,X,X,O,X,X,O,X
IOZTLSJ,O,X,X,X,O,X,X,O,X
IOZTJLS,O,X,X,X,O,X,X,O,X
IOZTJSL,O,X,X,X,O,X,O,O,X
IOZTSLJ,O,X,X,X,O,X,O,O,X
IOZTSJL,O,X,X,X,O,X,O,O,X
IOZLTJS,O,X,X,X,O,X,X,O,X
IOZLTSJ,O,X,X,X,O,X,X,O,X
IOZLJTS,O,X,X,X,O,X,X,X,X
IOZLJST,O,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,X,X,O,X,X,X,O
IOZLSJT,O,X,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,O,X,X,O,X
IOZJTSL,O,X,X,X,O,X,O,O,X
IOZJLTS,O,X,X,X,O,X,X,X,X
IOZJLST,O,X,X,X,O,X,X,X,X
IOZJSTL,O,X,X,X,O,X,X,X,X
IOZJSLT,O,X,X,X,O,X,X,X,X
IOZSTLJ,O,X,X,X,O,X,X,O,X
IOZSTJL,O,X,X,X,O,X,X,O,X
IOZSLTJ,O,X,X,X,O,X,X,X,O
IOZSLJT,O,X,X,X,O,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,X
LTIJSZO,X,X,O,X,X,O,X,X,O
LTIJSOZ,X,X,O,X,X,X,X,X,X
LTIJZSO,X,X,O,X,X,O,X,X,X
LTIJZOS,X,X,O,X,X,O,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,O,X,X,O,X,X,X
LTISJZO,X,O,O,X,X,O,X,X,O
LTISJOZ,X,O,O,X,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,X,X,O
LTISZOJ,X,O,X,X,X,X,X,X,O
LTISOJZ,X,O,O,X,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X,X,X,O
LTIZJSO,X,X,X,X,X,O,X,O,X
LTIZJOS,X,X,X,X,X,O,X,O,X
LTIZSJO,X,O,X,X,X,X,X,O,O
LTIZSOJ,X,O,X,X,X,X,X,O,O
LTIZOJS,X,O,X,X,X,X,X,O,X
LTIZOSJ,X,O,X,X,X,X,X,O,X
LTIOJSZ,X,O,O,X,X,X,X,X,X
LTIOJZS,X,O,O,X,X,O,X,X,X
LTIOSJZ,X,O,O,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X,X,O
LTIOZJS,X,O,X,X,X,X,X,O,X
LTIOZSJ,X,O,X,X,X,X,X,O,X
LTJISZO,X,X,O,X,X,O,X,X,O
LTJISOZ,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,X,X,O,X,X,X
LTJIZOS,X,X,O,X,X,O,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,O,X,X,O,X,X,X
LTJSIZO,X,O,O,X,X,O,X,X,O
LTJSIOZ,X,O,O,X,X,X,X,X,X
LTJSZIO,X,O,O,X,X,O,X,X,O
LTJSZOI,X,O,O,X,X,O,X,X,X
LTJSOIZ,X,O,O,X,X,X,X,X,X
LTJSOZI,X,O,O,X,X,X,X,X,X
LTJZISO,X,X,O,X,X,O,X,X,X
LTJZIOS,X,X,O,X,X,O,X,X,X
LTJZSIO,X,O,O,X,X,O,X,X,X
LTJZSOI,X,O,O,X,X,O,X,X,X
LTJZOIS,X,O,O,X,X,O,X,X,X
LTJZOSI,X,O,O,X,X,O,X,X,X
LTJOISZ,X,O,O,X,X,X,X,X,X
LTJOIZS,X,O,O,X,X,O,X,X,X
LTJOSIZ,X,O,O,X,X,X,X,X,X
LTJOSZI,X,O,O,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,O,X,X,X
LTJOZSI,X,O,O,X,X,O,X,X,X
LTSIJZO,X,O,O,X,X,O,X,X,O
LTSIJOZ,X,O,O,X,X,X,X,X,X
LTSIZJO,X,O,X,X,O,X,X,X,O
LTSIZOJ,X,O,X,X,O,X,X,X,O
LTSIOJZ,X,O,O,X,O,X,X,X,X
LTSIOZJ,X,O,X,X,O,X,X,X,O
LTSJIZO,X,O,O,X,X,O,X,X,O
LTSJIOZ,X,O,O,X,X,X,X,X,X
LTSJZIO,X,O,O,X,O,O,X,X,O
LTSJZOI,X,O,O,X,O,O,X,X,X
LTSJOIZ,X,O,O,X,O,X,X,X,X
LTSJOZI,X,O,O,X,O,X,X,X,X
LTSZIJO,X,O,X,X,O,X,X,O,O
LTSZIOJ,X,O,X,X,O,X,X,O,O
LTSZJIO,X,O,X,X,O,X,X,X,O
LTSZJOI,X,O,X,X,O,X,X,X,X
LTSZOIJ,X,O,X,X,O,X,X,X,O
LTSZOJI,X,O,X,X,O,X,X,X,X
LTSOIJZ,X,O,O,X,O,X,X,X,X
LTSOIZJ,X,O,X,X,O,X,X,X,O
LTSOJIZ,X,O,O,X,O,X,X,X,X
LTSOJZI,X,O,O,X,O,X,X,X,X
LTSOZIJ,X,O,X,X,O,X,X,X,O
LTSOZJI,X,O,X,X,O,X,X,X,X
LTZIJSO,X,X,X,X,X,O,X,O,X
LTZIJOS,X,X,X,X,X,O,X,O,X
LTZISJO,X,O,X,X,O,X,X,O,O
LTZISOJ,X,O,X,X,O,X,X,O,O
LTZIOJS,X,O,X,X,O,X,X,O,X
LTZIOSJ,X,O,X,X,O,X,X,O,X
LTZJISO,X,X,X,X,O,O,X,X,X
LTZJIOS,X,X,X,X,O,O,X,X,X
LTZJSIO,X,O,X,X,O,O,X,X,X
LTZJSOI,X,O,X,X,O,O,X,X,X
LTZJOIS,X,O,X,X,O,O,X,X,X
LTZJOSI,X,O,X,X,O,O,X,X,X
LTZSIJO,X,O,X,X,O,X,X,O,O
LTZSIOJ,X,O,X,X,O,X,X,O,O
LTZSJIO,X,O,X,X,O,X,X,X,O
LTZSJOI,X,O,X,X,O,X,X,X,X
LTZSOIJ,X,O,X,X,O,X,X,X,O
LTZSOJI,X,O,X,X,O,X,X,X,X
LTZOIJS,X,O,X,X,O,X,X,X,X
LTZOISJ,X,O,X,X,O,X,X,X,X
