sequence,v115@9gA8IeA8IeB8CeB8CeC8CeC8KeCAJvhFmiB5oB/qBF?mB0nBTrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFGhB/nBaoB5?oBlqBUrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFfmBaoB5oBG?nB0qBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhFlgBcmBiiB5?oBznBWwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF0gBaoB5oBG?nBzqBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF6lBThBmiB5?oB0nBVwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFxiB1qB0nB6?tBXrBGrB
IZTJOLS,X,X,O,X,X,X,X
IZTJOSL,X,O,O,X,X,X,X
IZTSLJO,O,O,X,O,X,O,X
IZTSLOJ,O,O,X,O,X,O,X
IZTSJLO,O,O,O,O,X,O,X
IZTSJOL,O,O,O,O,X,O,X
IZTSOLJ,O,O,X,O,X,O,X
IZTSOJL,O,O,O,O,X,O,X
IZTOLJS,X,X,O,X,X,X,O
IZTOLSJ,X,X,X,O,X,X,O
IZTOJLS,X,X,O,X,X,X,X
IZTOJSL,X,O,O,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,X
IZTOSJL,X,O,O,O,X,X,X
IZLTJSO,O,X,O,X,X,X,O
IZLTJOS,X,X,O,X,X,X,O
IZLTSJO,O,X,X,O,X,X,O
IZLTSOJ,O,X,X,O,X,X,O
IZLTOJS,X,X,O,X,X,X,O
IZLTOSJ,X,X,X,X,X,X,O
IZLJTSO,O,X,O,X,X,X,O
IZLJTOS,X,X,O,X,X,X,O
IZLJSTO,O,X,O,O,X,O,X
IZLJSOT,O,X,O,X,O,X,X
IZLJOTS,X,X,O,X,X,X,O
IZLJOST,O,X,O,X,O,X,X
IZLSTJO,O,X,X,O,X,O,O
IZLSTOJ,O,X,X,O,X,O,O
IZLSJTO,O,X,O,O,X,O,X
IZLSJOT,O,X,O,O,O,X,X
IZLSOTJ,O,X,X,O,X,X,O
IZLSOJT,O,X,O,O,O,X,X
IZLOTJS,X,X,O,X,X,X,O
IZLOTSJ,X,X,X,O,X,X,O
IZLOJTS,X,X,O,X,X,X,O
IZLOJST,O,X,O,O,O,X,X
IZLOSTJ,O,X,X,O,X,X,O
IZLOSJT,O,X,O,O,O,X,X
IZJTLSO,O,X,O,X,X,X,X
IZJTLOS,X,X,O,X,X,X,X
IZJTSLO,O,O,O,X,X,O,X
IZJTSOL,O,O,O,X,X,O,X
IZJTOLS,X,X,O,X,X,X,X
IZJTOSL,X,O,O,X,X,X,X
IZJLTSO,O,X,O,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X
IZJLSTO,O,X,O,O,X,O,X
IZJLSOT,O,X,O,X,O,X,X
IZJLOTS,X,X,O,X,X,X,X
IZJLOST,O,X,O,X,O,X,X
IZJSTLO,O,O,O,O,X,O,X
IZJSTOL,O,O,O,O,X,O,X
IZJSLTO,O,O,O,O,X,O,X
IZJSLOT,O,O,O,X,O,X,X
IZJSOTL,O,X,O,O,O,O,X
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,X,X,O,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X
IZJOLTS,X,X,O,X,X,X,X
IZJOLST,O,X,O,O,O,X,X
IZJOSTL,O,X,O,O,O,O,X
IZJOSLT,O,O,O,O,O,X,X
IZSTLJO,O,O,X,O,X,O,X
IZSTLOJ,O,O,X,O,X,O,X
IZSTJLO,O,O,O,O,X,O,X
IZSTJOL,O,O,O,O,X,O,X
IZSTOLJ,O,O,X,O,X,O,X
IZSTOJL,O,O,O,O,X,O,X
IZSLTJO,O,O,X,O,X,O,X
IZSLTOJ,O,O,X,O,X,O,X
IZSLJTO,O,O,O,O,X,O,X
IZSLJOT,O,O,O,O,O,X,X
IZSLOTJ,O,O,X,O,X,X,X
IZSLOJT,O,O,O,O,O,X,X
IZSJTLO,O,O,O,O,X,O,X
IZSJTOL,O,O,O,O,X,O,X
IZSJLTO,O,O,O,O,X,O,X
IZSJLOT,O,O,O,O,O,X,X
IZSJOTL,O,X,O,O,O,O,X
IZSJOLT,O,O,O,O,O,X,X
IZSOTLJ,O,O,X,O,X,O,X
IZSOTJL,O,O,O,O,O,O,X
IZSOLTJ,O,O,X,O,X,X,X
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,O,X,O,O,O,O,X
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,X,X,O,X,X,X,O
IZOTLSJ,X,X,X,O,X,X,O
IZOTJLS,X,X,O,X,X,X,X
IZOTJSL,X,O,O,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,X
IZOTSJL,X,O,O,O,X,X,X
IZOLTJS,X,X,O,X,X,X,O
IZOLTSJ,X,X,X,O,X,X,O
IZOLJTS,X,X,O,X,X,X,O
IZOLJST,O,X,O,O,O,X,X
IZOLSTJ,O,X,X,O,X,X,O
IZOLSJT,O,X,O,O,O,X,X
IZOJTLS,X,X,O,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X
IZOJLST,O,X,O,O,O,X,X
IZOJSTL,O,X,O,O,O,O,X
IZOJSLT,O,O,O,O,O,X,X
IZOSTLJ,O,O,X,O,X,O,X
IZOSTJL,O,O,O,O,O,O,X
IZOSLTJ,O,O,X,O,X,X,X
IZOSLJT,O,O,O,O,O,X,X
IZOSJTL,O,X,O,O,O,O,X
IZOSJLT,O,O,O,O,O,X,X
IOTLJSZ,X,O,X,X,O,X,X
IOTLJZS,X,X,O,X,X,X,X
IOTLSJZ,X,O,X,O,O,X,X
IOTLSZJ,X,O,X,O,X,X,X
IOTLZJS,X,X,O,X,X,X,O
IOTLZSJ,X,X,X,O,X,X,O
IOTJLSZ,X,O,X,X,O,X,X
IOTJLZS,X,X,O,X,X,X,X
IOTJSLZ,X,O,X,X,O,X,X
IOTJSZL,X,O,X,X,O,X,X
IOTJZLS,X,X,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X
IOTSLJZ,X,O,X,O,O,X,X
IOTSLZJ,X,O,X,O,X,X,X
IOTSJLZ,X,O,X,O,O,X,X
IOTSJZL,X,O,X,O,O,X,X
IOTSZLJ,X,O,X,O,X,X,X
IOTSZJL,X,O,X,O,O,X,X
IOTZLJS,X,X,O,X,X,X,O
IOTZLSJ,X,X,X,O,X,X,O
IOTZJLS,X,X,O,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X
IOTZSLJ,X,O,X,O,X,X,X
IOTZSJL,X,O,O,O,X,X,X
IOLTJSZ,X,O,X,X,O,X,X
IOLTJZS,X,X,O,X,X,X,X
IOLTSJZ,X,O,X,O,O,X,X
IOLTSZJ,X,O,X,O,X,X,X
IOLTZJS,X,X,O,X,X,X,O
IOLTZSJ,X,X,X,O,X,X,O
IOLJTSZ,X,X,X,X,O,X,X
IOLJTZS,X,X,O,X,X,X,X
IOLJSTZ,X,O,X,O,O,X,X
IOLJSZT,X,O,O,O,O,X,X
IOLJZTS,X,X,O,X,X,X,X
IOLJZST,X,X,O,O,O,X,X
IOLSTJZ,X,O,X,O,O,X,X
IOLSTZJ,O,O,X,O,X,X,X
IOLSJTZ,X,O,X,O,O,X,X
IOLSJZT,X,O,O,O,O,X,X
IOLSZTJ,O,O,X,O,X,X,X
IOLSZJT,O,O,O,O,O,X,X
IOLZTJS,X,X,O,X,X,X,O
IOLZTSJ,X,X,X,O,X,X,O
IOLZJTS,X,X,O,X,X,X,O
IOLZJST,O,X,O,O,O,X,X
IOLZSTJ,O,X,X,O,X,X,O
IOLZSJT,O,X,O,O,O,X,X
IOJTLSZ,X,O,X,X,O,X,X
IOJTLZS,X,X,O,X,X,X,X
IOJTSLZ,X,O,X,X,O,X,X
IOJTSZL,X,O,X,X,O,X,X
IOJTZLS,X,X,O,X,X,X,X
IOJTZSL,X,O,O,X,X,X,X
IOJLTSZ,X,X,X,X,O,X,X
IOJLTZS,X,X,O,X,X,X,X
IOJLSTZ,X,O,X,O,O,X,X
IOJLSZT,X,O,O,O,O,X,X
IOJLZTS,X,X,O,X,X,X,X
IOJLZST,X,X,O,O,O,X,X
IOJSTLZ,X,O,X,O,O,X,X
IOJSTZL,X,O,X,O,O,X,X
IOJSLTZ,X,O,X,O,O,X,X
IOJSLZT,X,O,O,O,O,X,X
IOJSZTL,X,X,O,O,O,X,X
IOJSZLT,X,O,O,O,O,X,X
IOJZTLS,X,X,O,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X
IOJZLTS,X,X,O,X,X,X,X
IOJZLST,X,X,O,O,O,X,X
IOJZSTL,X,X,O,O,O,X,X
IOJZSLT,X,O,O,O,O,X,X
IOSTLJZ,X,O,X,O,O,O,X
IOSTLZJ,O,O,X,O,X,O,X
IOSTJLZ,X,O,X,O,O,O,X
IOSTJZL,X,O,X,O,O,O,X
IOSTZLJ,O,O,X,O,X,O,X
IOSTZJL,O,O,X,O,O,O,X
IOSLTJZ,X,O,X,O,O,X,X
IOSLTZJ,O,O,X,O,X,X,X
IOSLJTZ,X,O,X,O,O,X,X
IOSLJZT,X,O,O,O,O,X,X
IOSLZTJ,O,O,X,O,X,X,X
IOSLZJT,O,O,O,O,O,X,X
IOSJTLZ,X,O,X,O,O,X,X
IOSJTZL,X,O,X,O,O,X,X
IOSJLTZ,X,O,X,O,O,X,X
IOSJLZT,X,O,O,O,O,X,X
IOSJZTL,X,X,O,O,O,X,X
IOSJZLT,X,O,O,O,O,X,X
IOSZTLJ,O,O,X,O,X,O,X
IOSZTJL,O,O,O,O,O,O,X
IOSZLTJ,O,O,X,O,X,X,X
IOSZLJT,O,O,O,O,O,X,X
IOSZJTL,O,X,O,O,O,O,X
IOSZJLT,O,O,O,O,O,X,X
IOZTLJS,X,X,O,X,X,X,O
IOZTLSJ,X,X,X,O,X,X,O
IOZTJLS,X,X,O,X,X,X,X
IOZTJSL,X,O,O,X,X,X,X
IOZTSLJ,X,O,X,O,X,X,X
IOZTSJL,X,O,O,O,X,X,X
IOZLTJS,X,X,O,X,X,X,O
IOZLTSJ,X,X,X,O,X,X,O
IOZLJTS,X,X,O,X,X,X,O
IOZLJST,O,X,O,O,O,X,X
IOZLSTJ,O,X,X,O,X,X,O
IOZLSJT,O,X,O,O,O,X,X
IOZJTLS,X,X,O,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X
IOZJLTS,X,X,O,X,X,X,X
IOZJLST,O,X,O,O,O,X,X
IOZJSTL,O,X,O,O,O,O,X
IOZJSLT,O,O,O,O,O,X,X
IOZSTLJ,O,O,X,O,X,O,X
IOZSTJL,O,O,O,O,O,O,X
IOZSLTJ,O,O,X,O,X,X,X
IOZSLJT,O,O,O,O,O,X,X
IOZSJTL,O,X,O,O,O,O,X
IOZSJLT,O,O,O,O,O,X,X
LTIJSZO,X,O,X,X,X,X,X
LTIJSOZ,X,O,X,X,O,X,X
LTIJZSO,X,X,O,X,X,X,X
LTIJZOS,X,X,O,X,X,X,X
LTIJOSZ,X,O,X,X,O,X,X
LTIJOZS,X,X,O,X,X,X,X
LTISJZO,O,O,X,O,X,X,X
LTISJOZ,X,O,X,X,O,X,X
LTISZJO,O,O,X,O,X,X,X
LTISZOJ,O,O,X,O,X,X,X
LTISOJZ,X,O,X,X,O,X,X
LTISOZJ,O,O,X,X,X,X,X
LTIZJSO,O,X,O,X,X,X,O
LTIZJOS,X,X,O,X,X,X,O
LTIZSJO,O,X,X,O,X,X,O
LTIZSOJ,O,X,X,O,X,X,O
LTIZOJS,X,X,O,X,X,X,O
LTIZOSJ,X,X,X,X,X,X,O
LTIOJSZ,X,O,X,X,O,X,X
LTIOJZS,X,X,O,X,X,X,X
LTIOSJZ,X,O,X,X,O,X,X
LTIOSZJ,X,O,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,O
LTIOZSJ,X,X,X,X,X,X,O
LTJISZO,X,O,X,X,X,X,X
LTJISOZ,X,O,X,X,O,X,X
LTJIZSO,X,X,O,X,X,X,X
LTJIZOS,X,X,O,X,X,X,X
LTJIOSZ,X,O,X,X,O,X,X
LTJIOZS,X,X,O,X,X,X,X
LTJSIZO,X,O,X,X,X,X,X
LTJSIOZ,X,O,X,X,O,X,X
LTJSZIO,X,O,X,X,X,X,X
LTJSZOI,X,O,X,X,X,X,X
LTJSOIZ,X,O,X,X,O,X,X
LTJSOZI,X,O,X,X,O,X,X
LTJZISO,X,X,O,X,X,X,O
LTJZIOS,X,X,O,X,X,X,O
LTJZSIO,X,X,O,X,X,X,O
LTJZSOI,X,X,O,X,X,X,O
LTJZOIS,X,X,O,X,X,X,O
LTJZOSI,X,X,O,X,X,X,O
LTJOISZ,X,O,X,X,O,X,X
LTJOIZS,X,X,O,X,X,X,X
LTJOSIZ,X,O,X,X,O,X,X
LTJOSZI,X,O,X,X,O,X,X
LTJOZIS,X,X,O,X,X,X,O
LTJOZSI,X,X,O,X,X,X,O
LTSIJZO,O,O,X,O,X,X,X
LTSIJOZ,X,O,X,X,O,X,X
LTSIZJO,O,O,X,O,X,X,X
LTSIZOJ,O,O,X,O,X,X,X
LTSIOJZ,X,O,X,X,O,X,X
LTSIOZJ,O,O,X,X,X,X,X
LTSJIZO,O,O,X,O,X,X,X
LTSJIOZ,X,O,X,X,O,X,X
LTSJZIO,O,O,X,O,X,X,X
LTSJZOI,O,O,X,O,X,X,X
LTSJOIZ,X,O,X,X,O,X,X
LTSJOZI,X,O,X,X,O,X,X
LTSZIJO,O,O,X,O,X,X,O
LTSZIOJ,O,O,X,O,X,X,O
LTSZJIO,O,O,X,O,X,X,O
LTSZJOI,O,O,X,X,X,X,O
LTSZOIJ,O,O,X,O,X,X,O
LTSZOJI,O,O,X,X,X,X,O
LTSOIJZ,X,O,X,X,O,X,X
LTSOIZJ,O,O,X,X,X,X,X
LTSOJIZ,X,O,X,X,O,X,X
LTSOJZI,X,O,X,X,O,X,X
LTSOZIJ,O,O,X,X,X,X,O
LTSOZJI,O,O,X,X,X,X,O
LTZIJSO,O,X,O,X,X,X,O
LTZIJOS,X,X,O,X,X,X,O
LTZISJO,O,X,X,O,X,X,O
LTZISOJ,O,X,X,O,X,X,O
LTZIOJS,X,X,O,X,X,X,O
LTZIOSJ,X,X,X,X,X,X,O
LTZJISO,O,X,O,X,X,X,O
LTZJIOS,X,X,O,X,X,X,O
LTZJSIO,O,X,O,X,X,X,O
LTZJSOI,O,X,O,X,X,X,O
LTZJOIS,X,X,O,X,X,X,O
LTZJOSI,X,X,O,X,X,X,O
LTZSIJO,O,X,X,O,X,X,O
LTZSIOJ,O,X,X,O,X,X,O
LTZSJIO,O,X,X,O,X,X,O
LTZSJOI,O,X,X,X,X,X,O
LTZSOIJ,O,X,X,O,X,X,O
LTZSOJI,O,X,X,X,X,X,O
LTZOIJS,X,X,O,X,X,X,O
LTZOISJ,X,X,X,X,X,X,O
LTZOJIS,X,X,O,X,X,X,O
LTZOJSI,X,X,O,X,X,X,O
LTZOSIJ,X,X,X,X,X,X,O
LTZOSJI,X,X,X,X,X,X,O
LTOIJSZ,X,O,X,X,O,X,X
LTOIJZS,X,X,O,X,X,X,X
LTOISJZ,X,O,X,X,O,X,X
LTOISZJ,X,O,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,O
LTOIZSJ,X,X,X,X,X,X,O
LTOJISZ,X,O,X,X,O,X,X
LTOJIZS,X,X,O,X,X,X,X
LTOJSIZ,X,O,X,X,O,X,X
LTOJSZI,X,O,X,X,O,X,X
LTOJZIS,X,X,O,X,X,X,O
LTOJZSI,X,X,O,X,X,X,O
LTOSIJZ,X,O,X,X,O,X,X
LTOSIZJ,X,O,X,X,X,X,X
LTOSJIZ,X,O,X,X,O,X,X
LTOSJZI,X,O,X,X,O,X,X
LTOSZIJ,X,O,X,X,X,X,O
LTOSZJI,X,O,X,X,X,X,O
LTOZIJS,X,X,O,X,X,X,O
LTOZISJ,X,X,X,X,X,X,O
LTOZJIS,X,X,O,X,X,X,O
LTOZJSI,X,X,O,X,X,X,O
LTOZSIJ,X,X,X,X,X,X,O
LTOZSJI,X,X,X,X,X,X,O
LITJSZO,X,O,X,X,X,X,X
LITJSOZ,X,O,X,X,O,X,X
LITJZSO,X,X,O,X,X,X,X
LITJZOS,X,X,O,X,X,X,X
LITJOSZ,X,O,X,X,O,X,X
LITJOZS,X,X,O,X,X,X,X
LITSJZO,O,O,X,O,X,X,X
LITSJOZ,X,O,X,X,O,X,X
LITSZJO,O,O,X,O,X,X,X
LITSZOJ,O,O,X,O,X,X,X
LITSOJZ,X,O,X,X,O,X,X
LITSOZJ,O,O,X,X,X,X,X
LITZJSO,O,X,O,X,X,X,O
LITZJOS,X,X,O,X,X,X,O
LITZSJO,O,X,X,O,X,X,O
LITZSOJ,O,X,X,O,X,X,O
LITZOJS,X,X,O,X,X,X,O
LITZOSJ,X,X,X,X,X,X,O
LITOJSZ,X,O,X,X,O,X,X
LITOJZS,X,X,O,X,X,X,X
LITOSJZ,X,O,X,X,O,X,X
LITOSZJ,X,O,X,X,X,X,X
LITOZJS,X,X,O,X,X,X,O
LITOZSJ,X,X,X,X,X,X,O
LIJTSZO,X,O,X,X,X,X,X
LIJTSOZ,X,O,X,X,O,X,X
LIJTZSO,X,X,O,X,X,X,X
LIJTZOS,X,X,O,X,X,X,X
LIJTOSZ,X,O,X,X,O,X,X
LIJTOZS,X,X,O,X,X,X,X
LIJSTZO,O,O,X,O,X,X,X
LIJSTOZ,X,O,X,X,O,X,X
LIJSZTO,O,O,O,O,X,X,X
LIJSZOT,O,O,O,O,O,X,X
LIJSOTZ,X,O,X,X,O,X,X
LIJSOZT,X,O,O,O,O,X,X
LIJZTSO,O,X,O,X,X,X,X
LIJZTOS,X,X,O,X,X,X,X
LIJZSTO,O,X,O,O,X,X,X
LIJZSOT,O,X,O,X,O,X,X
LIJZOTS,X,X,O,X,X,X,X
LIJZOST,O,X,O,X,O,X,X
LIJOTSZ,X,X,X,X,O,X,X
LIJOTZS,X,X,O,X,X,X,X
LIJOSTZ,X,O,X,X,O,X,X
LIJOSZT,X,O,O,X,O,X,X
LIJOZTS,X,X,O,X,X,X,X
LIJOZST,X,X,O,X,O,X,X
LISTJZO,O,O,X,O,X,O,X
LISTJOZ,X,O,X,X,O,O,X
LISTZJO,O,O,X,O,X,O,X
LISTZOJ,O,O,X,O,X,O,X
LISTOJZ,X,O,X,X,O,O,X
LISTOZJ,O,O,X,X,X,O,X
LISJTZO,O,O,X,O,X,X,X
LISJTOZ,X,O,X,X,O,X,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,O,O,O,X,X
LISJOTZ,X,O,X,O,O,X,X
LISJOZT,X,O,O,O,O,X,X
LISZTJO,O,O,X,O,X,O,X
LISZTOJ,O,O,X,O,X,O,X
LISZJTO,O,O,O,O,X,O,X
LISZJOT,O,O,O,O,O,X,X
LISZOTJ,O,O,X,O,X,X,X
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,X,O,X,O,O,X,X
LISOTZJ,O,O,X,O,X,X,X
LISOJTZ,X,O,X,O,O,X,X
LISOJZT,X,O,O,O,O,X,X
LISOZTJ,O,O,X,O,X,X,X
LISOZJT,O,O,O,O,O,X,X
LIZTJSO,O,X,O,X,X,X,O
LIZTJOS,X,X,O,X,X,X,O
LIZTSJO,O,X,X,O,X,X,O
LIZTSOJ,O,X,X,O,X,X,O
LIZTOJS,X,X,O,X,X,X,O
LIZTOSJ,X,X,X,X,X,X,O
LIZJTSO,O,X,O,X,X,X,O
LIZJTOS,X,X,O,X,X,X,O
LIZJSTO,O,X,O,O,X,O,X
LIZJSOT,O,X,O,X,O,X,X
LIZJOTS,X,X,O,X,X,X,O
LIZJOST,O,X,O,X,O,X,X
LIZSTJO,O,X,X,O,X,O,O
LIZSTOJ,O,X,X,O,X,O,O
LIZSJTO,O,X,O,O,X,O,X
LIZSJOT,O,X,O,O,O,X,X
LIZSOTJ,O,X,X,O,X,X,O
LIZSOJT,O,X,O,O,O,X,X
LIZOTJS,X,X,O,X,X,X,O
LIZOTSJ,X,X,X,O,X,X,O
LIZOJTS,X,X,O,X,X,X,O
LIZOJST,O,X,O,O,O,X,X
LIZOSTJ,O,X,X,O,X,X,O
LIZOSJT,O,X,O,O,O,X,X
LIOTJSZ,X,O,X,X,O,X,X
LIOTJZS,X,X,O,X,X,X,X
LIOTSJZ,X,O,X,O,O,X,X
LIOTSZJ,X,O,X,O,X,X,X
LIOTZJS,X,X,O,X,X,X,O
LIOTZSJ,X,X,X,O,X,X,O
LIOJTSZ,X,X,X,X,O,X,X
LIOJTZS,X,X,O,X,X,X,X
LIOJSTZ,X,O,X,O,O,X,X
LIOJSZT,X,O,O,O,O,X,X
LIOJZTS,X,X,O,X,X,X,X
LIOJZST,X,X,O,O,O,X,X
LIOSTJZ,X,O,X,O,O,X,X
LIOSTZJ,O,O,X,O,X,X,X
LIOSJTZ,X,O,X,O,O,X,X
LIOSJZT,X,O,O,O,O,X,X
LIOSZTJ,O,O,X,O,X,X,X
LIOSZJT,O,O,O,O,O,X,X
LIOZTJS,X,X,O,X,X,X,O
LIOZTSJ,X,X,X,O,X,X,O
LIOZJTS,X,X,O,X,X,X,O
LIOZJST,O,X,O,O,O,X,X
LIOZSTJ,O,X,X,O,X,X,O
LIOZSJT,O,X,O,O,O,X,X
LJTISZO,X,O,X,X,X,X,X
LJTISOZ,X,O,X,X,O,X,X
LJTIZSO,X,X,O,X,X,X,X
LJTIZOS,X,X,O,X,X,X,X
LJTIOSZ,X,O,X,X,O,X,X
LJTIOZS,X,X,O,X,X,X,X
LJTSIZO,X,O,X,X,X,X,X
LJTSIOZ,X,O,X,X,O,X,X
LJTSZIO,X,O,X,X,X,X,X
LJTSZOI,X,O,X,X,X,X,X
LJTSOIZ,X,O,X,X,O,X,X
LJTSOZI,X,O,X,X,O,X,X
LJTZISO,X,X,O,X,X,X,O
LJTZIOS,X,X,O,X,X,X,O
LJTZSIO,X,X,O,X,X,X,O
LJTZSOI,X,X,O,X,X,X,O
LJTZOIS,X,X,O,X,X,X,O
LJTZOSI,X,X,O,X,X,X,O
LJTOISZ,X,O,X,X,O,X,X
LJTOIZS,X,X,O,X,X,X,X
LJTOSIZ,X,O,X,X,O,X,X
LJTOSZI,X,O,X,X,O,X,X
LJTOZIS,X,X,O,X,X,X,O
LJTOZSI,X,X,O,X,X,X,O
LJITSZO,X,O,X,X,X,X,X
LJITSOZ,X,O,X,X,O,X,X
LJITZSO,X,X,O,X,X,X,X
LJITZOS,X,X,O,X,X,X,X
LJITOSZ,X,O,X,X,O,X,X
LJITOZS,X,X,O,X,X,X,X
LJISTZO,O,O,X,O,X,X,X
LJISTOZ,X,O,X,X,O,X,X
LJISZTO,O,O,O,O,X,X,X
LJISZOT,O,O,O,O,O,X,X
LJISOTZ,X,O,X,X,O,X,X
LJISOZT,X,O,O,O,O,X,X
LJIZTSO,O,X,O,X,X,X,X
LJIZTOS,X,X,O,X,X,X,X
LJIZSTO,O,X,O,O,X,X,X
LJIZSOT,O,X,O,X,O,X,X
LJIZOTS,X,X,O,X,X,X,X
LJIZOST,O,X,O,X,O,X,X
LJIOTSZ,X,X,X,X,O,X,X
LJIOTZS,X,X,O,X,X,X,X
LJIOSTZ,X,O,X,X,O,X,X
LJIOSZT,X,O,O,X,O,X,X
LJIOZTS,X,X,O,X,X,X,X
LJIOZST,X,X,O,X,O,X,X
LJSTIZO,O,O,X,O,X,X,X
LJSTIOZ,X,O,X,X,O,X,X
LJSTZIO,O,O,X,O,X,X,X
LJSTZOI,O,O,X,O,X,X,X
LJSTOIZ,X,O,X,X,O,X,X
LJSTOZI,X,O,X,X,O,X,X
LJSITZO,O,O,X,O,X,X,X
LJSITOZ,X,O,X,X,O,X,X
LJSIZTO,O,O,O,O,X,X,X
LJSIZOT,O,O,O,O,O,X,X
LJSIOTZ,X,O,X,X,O,X,X
LJSIOZT,X,O,O,O,O,X,X
LJSZTIO,O,O,O,O,X,X,X
LJSZTOI,O,O,O,O,X,X,X
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,O,O,O,O,X,X
LJSZOTI,O,X,O,O,O,X,X
LJSZOIT,O,O,O,O,O,X,X
LJSOTIZ,X,O,X,X,O,X,X
LJSOTZI,X,O,X,X,O,X,X
LJSOITZ,X,O,X,X,O,X,X
LJSOIZT,X,O,O,O,O,X,X
LJSOZTI,X,X,O,O,O,X,X
LJSOZIT,X,O,O,O,O,X,X
LJZTISO,O,X,O,X,X,X,O
LJZTIOS,X,X,O,X,X,X,O
LJZTSIO,O,X,O,X,X,X,O
LJZTSOI,O,X,O,X,X,X,O
LJZTOIS,X,X,O,X,X,X,O
LJZTOSI,X,X,O,X,X,X,O
LJZITSO,O,X,O,X,X,X,O
LJZITOS,X,X,O,X,X,X,O
LJZISTO,O,X,O,O,X,X,X
LJZISOT,O,X,O,X,O,X,X
LJZIOTS,X,X,O,X,X,X,O
LJZIOST,O,X,O,X,O,X,X
LJZSTIO,O,X,O,O,X,X,X
LJZSTOI,O,X,O,X,X,X,X
LJZSITO,O,X,O,O,X,X,X
LJZSIOT,O,X,O,X,O,X,X
LJZSOTI,O,X,O,X,O,X,X
LJZSOIT,O,X,O,X,O,X,X
LJZOTIS,X,X,O,X,X,X,O
LJZOTSI,X,X,O,X,X,X,O
LJZOITS,X,X,O,X,X,X,O
LJZOIST,O,X,O,X,O,X,X
LJZOSTI,O,X,O,X,O,X,X
LJZOSIT,O,X,O,X,O,X,X
LJOTISZ,X,X,X,X,O,X,X
LJOTIZS,X,X,O,X,X,X,X
LJOTSIZ,X,X,X,X,O,X,X
LJOTSZI,X,X,X,X,O,X,X
LJOTZIS,X,X,O,X,X,X,O
LJOTZSI,X,X,O,X,X,X,O
LJOITSZ,X,X,X,X,O,X,X
LJOITZS,X,X,O,X,X,X,X
LJOISTZ,X,O,X,X,O,X,X
LJOISZT,X,O,O,X,O,X,X
LJOIZTS,X,X,O,X,X,X,X
LJOIZST,X,X,O,X,O,X,X
LJOSTIZ,X,O,X,X,O,X,X
LJOSTZI,X,X,X,X,O,X,X
LJOSITZ,X,O,X,X,O,X,X
LJOSIZT,X,O,O,X,O,X,X
LJOSZTI,X,X,O,X,O,X,X
LJOSZIT,X,O,O,X,O,X,X
LJOZTIS,X,X,O,X,X,X,O
LJOZTSI,X,X,O,X,X,X,O
LJOZITS,X,X,O,X,X,X,O
LJOZIST,X,X,O,X,O,X,X
LJOZSTI,X,X,O,X,O,X,X
LJOZSIT,X,X,O,X,O,X,X
LSTIJZO,O,O,X,O,X,O,X
LSTIJOZ,X,O,X,X,O,O,X
LSTIZJO,O,O,X,O,X,O,X
LSTIZOJ,O,O,X,O,X,O,X
LSTIOJZ,X,O,X,X,O,O,X
LSTIOZJ,O,O,X,X,X,O,X
LSTJIZO,O,O,X,O,X,O,X
LSTJIOZ,X,O,X,X,O,O,X
LSTJZIO,O,O,X,O,X,O,X
LSTJZOI,O,O,X,O,X,O,X
LSTJOIZ,X,O,X,X,O,O,X
LSTJOZI,X,O,X,X,O,O,X
LSTZIJO,O,O,X,O,X,O,O
LSTZIOJ,O,O,X,O,X,O,O
LSTZJIO,O,O,X,O,X,O,O
LSTZJOI,O,O,X,X,X,O,O
LSTZOIJ,O,O,X,O,X,O,O
LSTZOJI,O,O,X,X,X,O,O
LSTOIJZ,X,O,X,X,O,O,X
LSTOIZJ,O,O,X,X,X,O,X
LSTOJIZ,X,O,X,X,O,O,X
LSTOJZI,X,O,X,X,O,O,X
LSTOZIJ,O,O,X,X,X,O,O
LSTOZJI,O,O,X,X,X,O,O
LSITJZO,O,O,X,O,X,O,X
