sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
TZJLSOI,X,O,X
TZJLOIS,O,O,X
TZJLOSI,O,O,X
TZJSILO,X,O,X
TZJSIOL,O,X,X
TZJSLIO,X,O,X
TZJSLOI,X,O,X
TZJSOIL,O,X,X
TZJSOLI,O,X,X
TZJOILS,O,O,X
TZJOISL,O,X,X
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,X,X
TZJOSLI,O,X,X
TZSILJO,X,O,X
TZSILOJ,O,X,X
TZSIJLO,X,O,X
TZSIJOL,O,X,O
TZSIOLJ,O,X,X
TZSIOJL,O,X,O
TZSLIJO,X,O,X
TZSLIOJ,O,X,X
TZSLJIO,X,O,X
TZSLJOI,X,O,X
TZSLOIJ,O,X,X
TZSLOJI,O,O,X
TZSJILO,X,O,X
TZSJIOL,O,X,X
TZSJLIO,X,O,X
TZSJLOI,X,O,X
TZSJOIL,O,X,X
TZSJOLI,O,X,X
TZSOILJ,O,X,X
TZSOIJL,O,X,X
TZSOLIJ,O,X,X
TZSOLJI,O,X,X
TZSOJIL,O,X,X
TZSOJLI,O,X,X
TZOILJS,O,O,X
TZOILSJ,O,X,X
TZOIJLS,O,O,X
TZOIJSL,O,X,X
TZOISLJ,O,X,X
TZOISJL,O,X,X
TZOLIJS,O,O,X
TZOLISJ,O,X,X
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,X,X
TZOLSJI,O,O,X
TZOJILS,O,O,X
TZOJISL,O,X,X
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,X,X
TZOJSLI,O,X,X
TZOSILJ,O,X,X
TZOSIJL,O,X,X
TZOSLIJ,O,X,X
TZOSLJI,O,X,X
TZOSJIL,O,X,X
TZOSJLI,O,X,X
TOILJSZ,O,O,O
TOILJZS,O,O,X
TOILSJZ,O,X,O
TOILSZJ,O,X,X
TOILZJS,O,O,X
TOILZSJ,O,X,X
TOIJLSZ,O,O,O
TOIJLZS,O,O,X
TOIJSLZ,O,X,O
TOIJSZL,O,X,O
TOIJZLS,O,O,X
TOIJZSL,O,X,O
TOISLJZ,O,X,O
TOISLZJ,O,X,X
TOISJLZ,O,X,O
TOISJZL,O,X,O
TOISZLJ,O,X,X
TOISZJL,O,X,O
TOIZLJS,O,O,X
TOIZLSJ,O,X,X
TOIZJLS,O,O,X
TOIZJSL,O,X,O
TOIZSLJ,O,X,X
TOIZSJL,O,X,O
TOLIJSZ,O,O,X
TOLIJZS,O,O,X
TOLISJZ,O,X,X
TOLISZJ,O,X,X
TOLIZJS,O,O,X
TOLIZSJ,O,X,X
TOLJISZ,O,O,X
TOLJIZS,O,O,X
TOLJSIZ,O,O,X
TOLJSZI,O,O,X
TOLJZIS,O,O,X
TOLJZSI,O,O,X
TOLSIJZ,O,X,X
TOLSIZJ,O,X,X
TOLSJIZ,O,O,X
TOLSJZI,O,O,X
TOLSZIJ,O,X,X
TOLSZJI,O,O,X
TOLZIJS,O,O,X
TOLZISJ,O,X,X
TOLZJIS,O,O,X
TOLZJSI,O,O,X
TOLZSIJ,O,X,X
TOLZSJI,O,O,X
TOJILSZ,O,O,X
TOJILZS,O,O,X
TOJISLZ,O,X,X
TOJISZL,O,X,X
TOJIZLS,O,O,X
TOJIZSL,O,X,X
TOJLISZ,O,O,X
TOJLIZS,O,O,X
TOJLSIZ,O,O,X
TOJLSZI,O,O,X
TOJLZIS,O,O,X
TOJLZSI,O,O,X
TOJSILZ,O,X,X
TOJSIZL,O,X,X
TOJSLIZ,O,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,O,X,X
TOJZILS,O,O,X
TOJZISL,O,X,X
TOJZLIS,O,O,X
TOJZLSI,O,O,X
TOJZSIL,O,X,X
TOJZSLI,O,X,X
TOSILJZ,O,X,O
TOSILZJ,O,X,X
TOSIJLZ,O,X,O
TOSIJZL,O,X,O
TOSIZLJ,O,X,X
TOSIZJL,O,X,O
TOSLIJZ,O,X,X
TOSLIZJ,O,X,X
TOSLJIZ,O,X,X
TOSLJZI,O,X,X
TOSLZIJ,O,X,X
TOSLZJI,O,X,X
TOSJILZ,O,X,X
TOSJIZL,O,X,X
TOSJLIZ,O,X,X
TOSJLZI,O,X,X
TOSJZIL,O,X,X
TOSJZLI,O,X,X
TOSZILJ,O,X,X
TOSZIJL,O,X,X
TOSZLIJ,O,X,X
TOSZLJI,O,X,X
TOSZJIL,O,X,X
TOSZJLI,O,X,X
TOZILJS,O,O,X
TOZILSJ,O,X,X
TOZIJLS,O,O,X
TOZIJSL,O,X,X
TOZISLJ,O,X,X
TOZISJL,O,X,X
TOZLIJS,O,O,X
TOZLISJ,O,X,X
TOZLJIS,O,O,X
TOZLJSI,O,O,X
TOZLSIJ,O,X,X
TOZLSJI,O,O,X
TOZJILS,O,O,X
TOZJISL,O,X,X
TOZJLIS,O,O,X
TOZJLSI,O,O,X
TOZJSIL,O,X,X
TOZJSLI,O,X,X
TOZSILJ,O,X,X
TOZSIJL,O,X,X
TOZSLIJ,O,X,X
TOZSLJI,O,X,X
TOZSJIL,O,X,X
TOZSJLI,O,X,X
ITLJSZO,X,O,X
ITLJSOZ,X,O,O
ITLJZSO,X,O,X
ITLJZOS,O,O,X
ITLJOSZ,O,O,O
ITLJOZS,O,O,X
ITLSJZO,X,O,X
ITLSJOZ,X,O,O
ITLSZJO,X,O,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,O
ITLSOZJ,O,X,X
ITLZJSO,X,O,X
ITLZJOS,O,O,X
ITLZSJO,X,O,X
ITLZSOJ,O,X,X
ITLZOJS,O,O,X
ITLZOSJ,O,X,X
ITLOJSZ,O,O,O
ITLOJZS,O,O,X
ITLOSJZ,O,X,O
ITLOSZJ,O,X,X
ITLOZJS,O,O,X
ITLOZSJ,O,X,X
ITJLSZO,X,O,X
ITJLSOZ,X,O,O
ITJLZSO,X,O,X
ITJLZOS,O,O,X
ITJLOSZ,O,O,O
ITJLOZS,O,O,X
ITJSLZO,X,O,X
ITJSLOZ,X,O,O
ITJSZLO,X,O,X
ITJSZOL,O,X,O
ITJSOLZ,O,X,O
ITJSOZL,O,X,O
ITJZLSO,X,O,X
ITJZLOS,O,O,X
ITJZSLO,X,O,X
ITJZSOL,O,X,O
ITJZOLS,O,O,X
ITJZOSL,O,X,O
ITJOLSZ,O,O,O
ITJOLZS,O,O,X
ITJOSLZ,O,X,O
ITJOSZL,O,X,O
ITJOZLS,O,O,X
ITJOZSL,O,X,O
ITSLJZO,X,O,X
ITSLJOZ,X,O,O
ITSLZJO,X,O,X
ITSLZOJ,O,X,X
ITSLOJZ,O,X,O
ITSLOZJ,O,X,X
ITSJLZO,X,O,X
ITSJLOZ,X,O,O
