sequence,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeuEJvhF1lB0hB?xiBqsBToBXqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhFigB3hB?+oBcqBlnBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeFAJvhF0hBxiB?qpB3lBGoBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeCAJvhF0hBxiB?llBWtBzpBXtB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je0BJvhFxiBfqB?llBGoBzsBCqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hBTjB?3lBFtBOqB6sB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je3AJvhF1mBxiB?qpBGoBUlBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hB6nB?llBToBOqBXtB
ISTOJLZ,O,X,X,X,O,O,X,X
ISTOJZL,X,X,X,X,O,O,X,X
ISTOZLJ,X,X,X,X,X,O,X,O
ISTOZJL,X,X,X,X,O,O,X,X
ISLTJZO,O,X,X,X,X,O,X,X
ISLTJOZ,O,X,X,X,X,O,X,X
ISLTZJO,O,X,X,X,X,O,X,X
ISLTZOJ,O,X,X,X,X,O,X,X
ISLTOJZ,O,X,X,X,X,O,X,X
ISLTOZJ,O,X,X,X,X,O,X,X
ISLJTZO,O,O,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X
ISLJZOT,X,O,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X
ISLZTJO,O,O,X,X,X,O,X,X
ISLZTOJ,O,X,X,X,X,O,X,X
ISLZJTO,O,O,X,X,X,X,X,X
ISLZJOT,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,X,O,X,X
ISJTLOZ,O,X,X,X,X,O,X,X
ISJTZLO,O,O,X,X,X,O,X,X
ISJTZOL,O,O,X,X,O,O,X,X
ISJTOLZ,O,X,X,X,X,O,X,X
ISJTOZL,X,O,X,X,X,O,X,X
ISJLTZO,O,O,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X
ISJLZOT,X,O,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,X,O,X,X
ISJZTOL,X,O,X,X,O,O,X,X
ISJZLTO,X,O,X,X,X,X,X,X
ISJZLOT,X,O,X,X,X,X,X,X
ISJZOTL,X,O,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X
ISJOZLT,X,O,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,X,O,X,O
ISZTJLO,O,O,X,X,X,O,X,X
ISZTJOL,O,O,X,X,O,O,X,X
ISZTOLJ,X,X,X,X,X,O,X,O
ISZTOJL,O,X,X,X,O,O,X,X
ISZLTJO,O,O,X,X,X,O,X,X
ISZLTOJ,O,X,X,X,X,O,X,O
ISZLJTO,O,O,X,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,O
ISZLOJT,O,O,X,X,X,X,X,X
ISZJTLO,O,O,X,X,X,O,X,X
ISZJTOL,O,O,X,X,O,O,X,X
ISZJLTO,X,O,X,X,X,X,X,X
ISZJLOT,X,O,X,X,X,X,X,X
ISZJOTL,X,O,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,O,X,O
ISZOTJL,O,X,X,X,O,O,X,X
ISZOLTJ,X,X,X,X,X,X,X,O
ISZOLJT,X,O,X,X,X,X,X,X
ISZOJTL,X,O,X,X,O,X,X,X
ISZOJLT,X,O,X,X,O,X,X,X
ISOTLJZ,O,X,X,X,X,O,X,X
ISOTLZJ,O,X,X,X,X,O,X,X
ISOTJLZ,O,X,X,X,O,O,X,X
ISOTJZL,X,X,X,X,O,O,X,X
ISOTZLJ,X,X,X,X,X,O,X,O
ISOTZJL,X,X,X,X,O,O,X,X
ISOLTJZ,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,O,X,X,X
ISOJTZL,X,O,X,X,O,X,X,X
ISOJLTZ,O,X,X,X,O,X,X,X
ISOJLZT,O,X,X,X,O,X,X,X
ISOJZTL,X,O,X,X,O,X,X,X
ISOJZLT,X,O,X,X,O,X,X,X
ISOZTLJ,X,X,X,X,X,O,X,O
ISOZTJL,X,X,X,X,O,O,X,X
ISOZLTJ,X,X,X,X,X,X,X,O
ISOZLJT,X,O,X,X,X,X,X,X
ISOZJTL,X,O,X,X,O,X,X,X
ISOZJLT,X,O,X,X,O,X,X,X
IZTLJSO,O,O,O,X,X,X,X,X
IZTLJOS,O,O,O,X,X,X,X,O
IZTLSJO,O,O,O,X,X,O,X,X
IZTLSOJ,O,X,O,X,X,O,X,O
IZTLOJS,O,X,O,X,X,X,X,O
IZTLOSJ,O,X,O,X,X,O,X,O
IZTJLSO,O,O,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,O
IZTJSLO,O,O,X,X,X,O,X,X
IZTJSOL,O,O,X,X,X,O,X,X
IZTJOLS,O,O,X,X,X,X,X,O
IZTJOSL,X,O,X,X,X,O,X,X
IZTSLJO,O,O,X,X,X,O,X,X
IZTSLOJ,O,X,X,X,X,O,X,O
IZTSJLO,O,O,X,X,X,O,X,X
IZTSJOL,O,O,X,X,X,O,X,X
IZTSOLJ,X,X,X,X,X,O,X,O
IZTSOJL,O,X,X,X,X,O,X,X
IZTOLJS,X,X,X,O,X,X,X,O
IZTOLSJ,X,X,X,O,X,O,X,O
IZTOJLS,O,X,X,O,X,X,X,O
IZTOJSL,X,X,X,X,X,O,X,X
IZTOSLJ,X,X,X,O,X,O,X,O
IZTOSJL,O,X,X,X,X,O,X,X
IZLTJSO,O,O,O,X,X,X,X,X
IZLTJOS,O,O,O,X,X,X,X,O
IZLTSJO,O,O,O,X,X,O,X,X
IZLTSOJ,O,X,O,X,X,O,X,O
IZLTOJS,O,X,O,X,X,X,X,O
IZLTOSJ,O,X,O,X,X,O,X,O
IZLJTSO,O,O,O,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,O
IZLJSTO,O,O,O,X,X,X,X,X
IZLJSOT,X,O,O,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X,O
IZLJOST,X,O,O,X,X,X,X,X
IZLSTJO,O,O,O,X,X,O,X,X
IZLSTOJ,O,X,O,X,X,O,X,O
IZLSJTO,O,O,O,X,X,X,X,X
IZLSJOT,X,O,O,X,X,X,X,X
IZLSOTJ,O,X,O,X,X,X,X,O
IZLSOJT,O,O,O,X,X,X,X,X
IZLOTJS,O,X,O,O,X,X,X,O
IZLOTSJ,O,X,O,O,X,X,X,O
IZLOJTS,O,O,O,O,X,X,X,O
IZLOJST,O,O,O,O,X,X,X,X
IZLOSTJ,O,X,O,O,X,X,X,O
IZLOSJT,O,O,O,O,X,X,X,X
IZJTLSO,O,O,O,X,X,X,X,X
IZJTLOS,O,O,O,X,X,X,X,O
IZJTSLO,O,O,X,X,X,O,X,X
IZJTSOL,O,O,X,X,X,O,X,X
IZJTOLS,O,O,X,O,X,X,X,O
IZJTOSL,X,O,X,O,X,O,X,X
IZJLTSO,X,O,O,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,O
IZJLSTO,X,O,O,X,X,X,X,X
IZJLSOT,X,O,O,X,X,X,X,X
IZJLOTS,X,O,O,O,X,X,X,O
IZJLOST,X,O,O,O,X,X,X,X
IZJSTLO,O,O,X,X,X,O,X,X
IZJSTOL,O,O,X,X,O,O,X,X
IZJSLTO,X,O,O,X,X,X,X,X
IZJSLOT,X,O,O,X,X,X,X,X
IZJSOTL,X,O,X,O,X,X,X,X
IZJSOLT,X,O,X,O,X,X,X,X
IZJOTLS,X,O,X,O,X,X,X,O
IZJOTSL,X,O,X,O,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X,O
IZJOLST,X,O,O,O,X,X,X,X
IZJOSTL,X,O,X,O,X,X,X,X
IZJOSLT,X,O,X,O,X,X,X,X
IZSTLJO,O,O,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,X,O,X,O
IZSTJLO,O,O,X,X,X,O,X,X
IZSTJOL,O,O,X,X,O,O,X,X
IZSTOLJ,X,X,X,X,X,O,X,O
IZSTOJL,O,X,X,X,O,O,X,X
IZSLTJO,O,O,O,X,X,O,X,X
IZSLTOJ,O,X,O,X,X,O,X,O
IZSLJTO,O,O,O,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X
IZSLOTJ,O,X,O,X,X,X,X,O
IZSLOJT,O,O,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,O,X,X
IZSJTOL,O,O,X,X,O,O,X,X
IZSJLTO,X,O,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,O,X,O
IZSOTJL,O,X,X,X,O,O,X,X
IZSOLTJ,X,X,X,O,X,X,X,O
IZSOLJT,X,O,X,O,X,X,X,X
IZSOJTL,X,O,X,X,O,X,X,X
IZSOJLT,X,O,X,X,O,X,X,X
IZOTLJS,X,X,O,O,X,X,X,O
IZOTLSJ,X,X,O,O,X,O,X,O
IZOTJLS,O,X,X,O,X,X,X,O
IZOTJSL,X,X,X,O,X,O,X,X
IZOTSLJ,X,X,X,O,X,O,X,O
IZOTSJL,O,X,X,X,X,O,X,X
IZOLTJS,X,X,O,O,X,X,X,O
IZOLTSJ,X,X,O,O,X,X,X,O
IZOLJTS,X,O,O,O,X,X,X,O
IZOLJST,X,O,O,O,X,X,X,X
IZOLSTJ,X,X,O,O,X,X,X,O
IZOLSJT,X,O,O,O,X,X,X,X
IZOJTLS,X,O,O,O,X,X,X,O
IZOJTSL,X,O,X,O,O,X,X,X
IZOJLTS,X,O,O,O,X,X,X,O
IZOJLST,X,O,O,O,O,X,X,X
IZOJSTL,X,O,X,O,O,X,X,X
IZOJSLT,X,O,O,O,O,X,X,X
IZOSTLJ,X,X,X,O,X,O,X,O
IZOSTJL,O,X,X,X,O,O,X,X
IZOSLTJ,X,X,O,O,X,X,X,O
IZOSLJT,X,O,O,O,X,X,X,X
IZOSJTL,X,O,X,X,O,X,X,X
IZOSJLT,X,O,X,X,O,X,X,X
IOTLJSZ,O,X,X,O,X,X,O,X
IOTLJZS,O,X,X,O,X,X,O,X
IOTLSJZ,O,X,X,X,X,O,O,X
IOTLSZJ,O,X,X,X,X,O,X,X
IOTLZJS,O,X,X,O,X,X,X,O
IOTLZSJ,O,X,X,O,X,O,X,O
IOTJLSZ,O,X,X,O,X,X,O,X
IOTJLZS,O,X,X,O,X,X,O,X
IOTJSLZ,X,X,X,O,X,O,O,X
IOTJSZL,X,X,X,O,X,O,X,X
IOTJZLS,X,X,X,O,X,X,O,O
IOTJZSL,X,X,X,O,X,O,X,X
IOTSLJZ,O,X,X,X,X,O,X,X
IOTSLZJ,O,X,X,X,X,O,X,X
IOTSJLZ,O,X,X,X,X,O,X,X
IOTSJZL,X,X,X,X,X,O,X,X
IOTSZLJ,X,X,X,X,X,O,X,O
IOTSZJL,X,X,X,X,X,O,X,X
IOTZLJS,X,X,X,O,X,X,X,O
IOTZLSJ,X,X,X,O,X,O,X,O
IOTZJLS,X,X,X,O,X,X,X,O
IOTZJSL,X,X,X,O,X,O,X,X
IOTZSLJ,X,X,X,O,X,O,X,O
IOTZSJL,X,X,X,X,X,O,X,X
IOLTJSZ,O,X,O,X,X,X,O,X
IOLTJZS,O,X,O,X,X,X,O,X
IOLTSJZ,O,X,X,X,X,X,O,X
IOLTSZJ,O,X,X,X,X,X,X,X
IOLTZJS,O,X,O,X,X,X,X,O
IOLTZSJ,O,X,O,X,X,X,X,O
IOLJTSZ,O,X,O,O,X,X,O,X
IOLJTZS,O,X,O,O,X,X,O,X
IOLJSTZ,O,X,O,O,X,X,O,X
IOLJSZT,O,X,O,O,X,X,X,X
IOLJZTS,O,X,O,O,X,X,O,X
IOLJZST,O,X,O,O,X,X,X,X
IOLSTJZ,O,X,O,X,X,X,X,X
IOLSTZJ,O,X,O,X,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X
IOLSJZT,O,X,O,X,X,X,X,X
IOLSZTJ,O,X,O,X,X,X,X,X
IOLSZJT,O,X,O,X,X,X,X,X
IOLZTJS,O,X,O,O,X,X,X,O
IOLZTSJ,O,X,O,O,X,X,X,O
IOLZJTS,O,X,O,O,X,X,X,O
IOLZJST,O,X,O,O,X,X,X,X
IOLZSTJ,O,X,O,O,X,X,X,O
IOLZSJT,O,X,O,O,X,X,X,X
IOJTLSZ,X,X,O,O,X,X,O,X
IOJTLZS,X,X,O,O,X,X,O,X
IOJTSLZ,X,X,X,O,O,X,O,X
IOJTSZL,X,O,X,O,O,X,X,X
IOJTZLS,X,O,O,O,X,X,O,O
IOJTZSL,X,O,X,O,O,X,X,X
IOJLTSZ,X,X,O,O,X,X,O,X
IOJLTZS,X,X,O,O,X,X,O,X
IOJLSTZ,X,X,O,O,O,X,O,X
IOJLSZT,X,X,O,O,O,X,X,X
IOJLZTS,X,X,O,O,X,X,O,X
IOJLZST,X,X,O,O,O,X,X,X
IOJSTLZ,X,X,X,O,O,X,O,X
IOJSTZL,X,O,X,O,O,X,X,X
IOJSLTZ,X,X,O,O,O,X,O,X
IOJSLZT,X,X,O,O,O,X,X,X
IOJSZTL,X,O,X,O,O,X,X,X
IOJSZLT,X,O,O,O,O,X,X,X
IOJZTLS,X,O,O,O,X,X,O,O
IOJZTSL,X,O,X,O,O,X,X,X
IOJZLTS,X,O,O,O,X,X,O,O
IOJZLST,X,O,O,O,O,X,X,X
IOJZSTL,X,O,X,O,O,X,X,X
IOJZSLT,X,O,O,O,O,X,X,X
IOSTLJZ,O,X,X,X,X,O,X,X
IOSTLZJ,O,X,X,X,X,O,X,X
IOSTJLZ,O,X,X,X,O,O,X,X
IOSTJZL,X,X,X,X,O,O,X,X
IOSTZLJ,X,X,X,X,X,O,X,O
IOSTZJL,X,X,X,X,O,O,X,X
IOSLTJZ,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,O,X,X,X
IOSJTZL,X,O,X,X,O,X,X,X
IOSJLTZ,O,X,X,X,O,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X
IOSJZTL,X,O,X,X,O,X,X,X
IOSJZLT,X,O,X,X,O,X,X,X
IOSZTLJ,X,X,X,X,X,O,X,O
IOSZTJL,X,X,X,X,O,O,X,X
IOSZLTJ,X,X,X,X,X,X,X,O
IOSZLJT,X,O,X,X,X,X,X,X
IOSZJTL,X,O,X,X,O,X,X,X
IOSZJLT,X,O,X,X,O,X,X,X
IOZTLJS,X,X,O,O,X,X,X,O
IOZTLSJ,X,X,O,O,X,O,X,O
IOZTJLS,X,X,X,O,X,X,X,O
IOZTJSL,X,X,X,O,X,O,X,X
IOZTSLJ,X,X,X,O,X,O,X,O
IOZTSJL,X,X,X,X,X,O,X,X
IOZLTJS,X,X,O,O,X,X,X,O
IOZLTSJ,X,X,O,O,X,X,X,O
IOZLJTS,X,O,O,O,X,X,X,O
IOZLJST,X,O,O,O,X,X,X,X
IOZLSTJ,X,X,O,O,X,X,X,O
IOZLSJT,X,O,O,O,X,X,X,X
IOZJTLS,X,O,O,O,X,X,X,O
IOZJTSL,X,O,X,O,O,X,X,X
IOZJLTS,X,O,O,O,X,X,X,O
IOZJLST,X,O,O,O,O,X,X,X
IOZJSTL,X,O,X,O,O,X,X,X
IOZJSLT,X,O,O,O,O,X,X,X
IOZSTLJ,X,X,X,O,X,O,X,O
IOZSTJL,X,X,X,X,O,O,X,X
IOZSLTJ,X,X,O,O,X,X,X,O
IOZSLJT,X,O,O,O,X,X,X,X
IOZSJTL,X,O,X,X,O,X,X,X
IOZSJLT,X,O,X,X,O,X,X,X
LTIJSZO,O,X,O,X,X,X,O,X
LTIJSOZ,O,X,X,X,X,X,O,X
LTIJZSO,O,X,O,X,X,X,O,X
LTIJZOS,O,X,O,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,O,X
LTIJOZS,O,X,O,X,X,X,X,X
LTISJZO,O,X,X,X,X,O,O,X
LTISJOZ,O,X,X,X,X,O,O,X
LTISZJO,O,X,X,X,X,O,X,X
LTISZOJ,O,X,X,X,X,O,X,X
LTISOJZ,O,X,X,X,X,O,O,X
LTISOZJ,O,X,X,X,X,O,X,X
LTIZJSO,O,X,O,X,X,X,X,X
LTIZJOS,O,X,O,X,X,X,X,O
LTIZSJO,O,X,O,X,X,O,X,X
LTIZSOJ,O,X,O,X,X,O,X,O
LTIZOJS,O,X,O,X,X,X,X,O
LTIZOSJ,O,X,O,X,X,O,X,O
LTIOJSZ,O,X,O,X,X,X,O,X
LTIOJZS,O,X,O,X,X,X,O,X
LTIOSJZ,O,X,X,X,X,O,O,X
LTIOSZJ,O,X,X,X,X,O,X,X
LTIOZJS,O,X,O,X,X,X,X,O
LTIOZSJ,O,X,O,X,X,O,X,O
LTJISZO,O,X,O,X,X,X,O,X
LTJISOZ,O,X,O,X,X,X,O,X
LTJIZSO,O,X,O,X,X,X,O,X
LTJIZOS,O,X,O,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,O,X
LTJIOZS,O,X,O,X,X,X,X,X
LTJSIZO,O,X,O,X,X,X,O,X
LTJSIOZ,O,X,O,X,X,X,O,X
LTJSZIO,O,X,O,X,X,X,O,X
LTJSZOI,O,X,O,X,X,X,O,X
LTJSOIZ,O,X,O,X,X,X,O,X
LTJSOZI,O,X,O,X,X,X,O,X
LTJZISO,O,X,O,X,X,X,O,X
LTJZIOS,O,X,O,X,X,X,X,X
LTJZSIO,O,X,O,X,X,X,O,X
LTJZSOI,O,X,O,X,X,X,O,X
LTJZOIS,O,X,O,X,X,X,X,X
LTJZOSI,O,X,O,X,X,X,X,X
LTJOISZ,O,X,O,X,X,X,O,X
LTJOIZS,O,X,O,X,X,X,O,X
LTJOSIZ,O,X,O,X,X,X,O,X
LTJOSZI,O,X,O,X,X,X,O,X
LTJOZIS,O,X,O,X,X,X,O,X
LTJOZSI,O,X,O,X,X,X,O,X
LTSIJZO,O,X,O,X,X,O,O,X
LTSIJOZ,O,X,O,X,X,O,O,X
LTSIZJO,O,X,O,X,X,O,X,X
LTSIZOJ,O,X,O,X,X,O,X,X
LTSIOJZ,O,X,O,X,X,O,O,X
LTSIOZJ,O,X,O,X,X,O,X,X
LTSJIZO,O,X,O,X,X,X,O,X
LTSJIOZ,O,X,O,X,X,X,O,X
LTSJZIO,O,X,O,X,X,X,O,X
LTSJZOI,O,X,O,X,X,X,O,X
LTSJOIZ,O,X,O,X,X,X,O,X
LTSJOZI,O,X,O,X,X,X,O,X
LTSZIJO,O,X,O,X,X,O,X,X
LTSZIOJ,O,X,O,X,X,O,X,X
LTSZJIO,O,X,O,X,X,X,O,X
LTSZJOI,O,X,O,X,X,X,O,X
LTSZOIJ,O,X,O,X,X,O,X,X
LTSZOJI,O,X,O,X,X,X,O,X
LTSOIJZ,O,X,O,X,X,O,O,X
LTSOIZJ,O,X,O,X,X,O,X,X
LTSOJIZ,O,X,O,X,X,X,O,X
LTSOJZI,O,X,O,X,X,X,O,X
LTSOZIJ,O,X,O,X,X,O,X,X
LTSOZJI,O,X,O,X,X,X,O,X
LTZIJSO,O,X,O,X,X,X,X,X
LTZIJOS,O,X,O,X,X,X,X,O
LTZISJO,O,X,O,X,X,O,X,X
LTZISOJ,O,X,O,X,X,O,X,O
LTZIOJS,O,X,O,X,X,X,X,O
LTZIOSJ,O,X,O,X,X,O,X,O
LTZJISO,O,X,O,X,X,X,O,X
LTZJIOS,O,X,O,X,X,X,X,O
LTZJSIO,O,X,O,X,X,X,O,X
LTZJSOI,O,X,O,X,X,X,O,X
LTZJOIS,O,X,O,X,X,X,X,O
LTZJOSI,O,X,O,X,X,X,X,X
LTZSIJO,O,X,O,X,X,O,X,X
LTZSIOJ,O,X,O,X,X,O,X,O
LTZSJIO,O,X,O,X,X,X,O,X
LTZSJOI,O,X,O,X,X,X,O,X
LTZSOIJ,O,X,O,X,X,O,X,O
LTZSOJI,O,X,O,X,X,X,O,X
LTZOIJS,O,X,O,X,X,X,X,O
LTZOISJ,O,X,O,X,X,O,X,O
LTZOJIS,O,X,O,X,X,X,O,O
LTZOJSI,O,X,O,X,X,X,O,X
LTZOSIJ,O,X,O,X,X,O,X,O
LTZOSJI,O,X,O,X,X,X,O,X
LTOIJSZ,O,X,O,X,X,X,O,X
LTOIJZS,O,X,O,X,X,X,O,X
LTOISJZ,O,X,X,X,X,O,O,X
LTOISZJ,O,X,X,X,X,O,X,X
LTOIZJS,O,X,O,X,X,X,X,O
LTOIZSJ,O,X,O,X,X,O,X,O
LTOJISZ,O,X,O,X,X,X,O,X
LTOJIZS,O,X,O,X,X,X,O,X
LTOJSIZ,O,X,O,X,X,X,O,X
LTOJSZI,O,X,O,X,X,X,O,X
LTOJZIS,O,X,O,X,X,X,O,X
LTOJZSI,O,X,O,X,X,X,O,X
LTOSIJZ,O,X,O,X,X,O,O,X
LTOSIZJ,O,X,O,X,X,O,X,X
LTOSJIZ,O,X,O,X,X,X,O,X
LTOSJZI,O,X,O,X,X,X,O,X
LTOSZIJ,O,X,O,X,X,O,X,X
LTOSZJI,O,X,O,X,X,X,O,X
LTOZIJS,O,X,O,X,X,X,X,O
LTOZISJ,O,X,O,X,X,O,X,O
LTOZJIS,O,X,O,X,X,X,O,O
LTOZJSI,O,X,O,X,X,X,O,X
LTOZSIJ,O,X,O,X,X,O,X,O
LTOZSJI,O,X,O,X,X,X,O,X
LITJSZO,O,X,O,X,X,X,O,X
LITJSOZ,O,X,X,X,X,X,O,X
LITJZSO,O,X,O,X,X,X,O,X
LITJZOS,O,X,O,X,X,X,X,X
LITJOSZ,O,X,X,X,X,X,O,X
LITJOZS,O,X,O,X,X,X,X,X
LITSJZO,O,X,X,X,X,O,O,X
LITSJOZ,O,X,X,X,X,O,O,X
LITSZJO,O,X,X,X,X,O,X,X
LITSZOJ,O,X,X,X,X,O,X,X
LITSOJZ,O,X,X,X,X,O,O,X
LITSOZJ,O,X,X,X,X,O,X,X
LITZJSO,O,X,O,X,X,X,X,X
LITZJOS,O,X,O,X,X,X,X,O
LITZSJO,O,X,O,X,X,O,X,X
LITZSOJ,O,X,O,X,X,O,X,O
LITZOJS,O,X,O,X,X,X,X,O
LITZOSJ,O,X,O,X,X,O,X,O
LITOJSZ,O,X,O,X,X,X,O,X
LITOJZS,O,X,O,X,X,X,O,X
LITOSJZ,O,X,X,X,X,O,O,X
LITOSZJ,O,X,X,X,X,O,X,X
LITOZJS,O,X,O,X,X,X,X,O
LITOZSJ,O,X,O,X,X,O,X,O
LIJTSZO,O,O,O,X,X,X,O,X
LIJTSOZ,O,X,O,X,X,X,O,X
LIJTZSO,O,O,O,X,X,X,O,X
LIJTZOS,O,O,O,X,X,X,X,X
LIJTOSZ,X,X,X,X,X,X,O,X
LIJTOZS,O,X,O,X,X,X,X,X
LIJSTZO,O,O,O,X,X,X,O,X
LIJSTOZ,O,X,O,X,X,X,O,X
LIJSZTO,O,O,O,X,X,X,X,X
LIJSZOT,X,O,O,X,X,X,X,X
LIJSOTZ,O,X,O,X,X,X,X,X
LIJSOZT,X,X,O,X,X,X,X,X
LIJZTSO,O,O,O,X,X,X,O,X
LIJZTOS,O,O,O,X,X,X,X,X
LIJZSTO,O,O,O,X,X,X,X,X
LIJZSOT,X,O,O,X,X,X,X,X
LIJZOTS,X,O,O,X,X,X,X,X
LIJZOST,X,O,O,X,X,X,X,X
LIJOTSZ,X,X,X,X,X,X,O,X
LIJOTZS,X,X,O,X,X,X,X,X
LIJOSTZ,X,X,O,X,X,X,X,X
LIJOSZT,X,X,O,X,X,X,X,X
LIJOZTS,X,X,O,X,X,X,X,X
LIJOZST,X,X,O,X,X,X,X,X
LISTJZO,O,X,O,X,X,O,X,X
LISTJOZ,O,X,O,X,X,O,X,X
LISTZJO,O,X,O,X,X,O,X,X
LISTZOJ,O,X,O,X,X,O,X,X
LISTOJZ,O,X,O,X,X,O,X,X
LISTOZJ,O,X,O,X,X,O,X,X
LISJTZO,O,O,O,X,X,X,X,X
LISJTOZ,O,X,O,X,X,X,X,X
LISJZTO,O,O,O,X,X,X,X,X
LISJZOT,X,O,O,X,X,X,X,X
LISJOTZ,O,X,O,X,X,X,X,X
LISJOZT,O,X,O,X,X,X,X,X
LISZTJO,O,O,O,X,X,O,X,X
LISZTOJ,O,X,O,X,X,O,X,X
LISZJTO,O,O,O,X,X,X,X,X
LISZJOT,X,O,O,X,X,X,X,X
LISZOTJ,O,X,O,X,X,X,X,X
LISZOJT,O,O,O,X,X,X,X,X
LISOTJZ,O,X,O,X,X,X,X,X
LISOTZJ,O,X,O,X,X,X,X,X
LISOJTZ,O,X,O,X,X,X,X,X
LISOJZT,O,X,O,X,X,X,X,X
LISOZTJ,O,X,O,X,X,X,X,X
LISOZJT,O,X,O,X,X,X,X,X
LIZTJSO,O,O,O,X,X,X,X,X
LIZTJOS,O,O,O,X,X,X,X,O
LIZTSJO,O,O,O,X,X,O,X,X
LIZTSOJ,O,X,O,X,X,O,X,O
LIZTOJS,O,X,O,X,X,X,X,O
LIZTOSJ,O,X,O,X,X,O,X,O
LIZJTSO,O,O,O,X,X,X,X,X
LIZJTOS,O,O,O,X,X,X,X,O
LIZJSTO,O,O,O,X,X,X,X,X
LIZJSOT,X,O,O,X,X,X,X,X
LIZJOTS,X,O,O,X,X,X,X,O
LIZJOST,X,O,O,X,X,X,X,X
LIZSTJO,O,O,O,X,X,O,X,X
LIZSTOJ,O,X,O,X,X,O,X,O
LIZSJTO,O,O,O,X,X,X,X,X
LIZSJOT,X,O,O,X,X,X,X,X
LIZSOTJ,O,X,O,X,X,X,X,O
LIZSOJT,O,O,O,X,X,X,X,X
LIZOTJS,O,X,O,X,X,X,X,O
LIZOTSJ,O,X,O,X,X,X,X,O
LIZOJTS,O,O,O,X,X,X,X,O
LIZOJST,O,O,O,X,X,X,X,X
LIZOSTJ,O,X,O,X,X,X,X,O
LIZOSJT,O,O,O,X,X,X,X,X
LIOTJSZ,O,X,O,X,X,X,O,X
LIOTJZS,O,X,O,X,X,X,O,X
LIOTSJZ,O,X,X,X,X,X,O,X
