sequence,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFFhBxiBzmBu?sBctByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFxiBCnBToB3?qB0sBFrB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFRhBziB+oBl?mByvB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeFCJvhFXjBxlBctBz?qBGsBiqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFFjB6sBctBR?rBTqBmqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFzhBFrBxsBu?sBctB3qB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFCnB3qBxsBO?rBctBlsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFTjBCnB3qBx?sBFrB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JefHJvhFxiBllBqsBT?oBUmB2vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFxhBXjBimBc?tB1vBGsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFRiB+oBUnBF?rB3qBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JexAJvhF0iBmlBzmBS?tB1vBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFTjBxlBVsB0?lBXtByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je0BJvhFxiBllBWtBi?rBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFfnBxiBqsBT?oBUmB1vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JemBJvhFCjBllBcrBx?sBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFxlBVsBToB0?lByvBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhF+oBlnBRrB0?qBiqBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFlnBctBRrBT?qBmqBCtB
JZTSLIO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTSLOI,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTSOIL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTSOLI,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOISL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JZTOLIS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOSIL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOSLI,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
JZITLOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZITSLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
JZITSOL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
JZITOLS,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
JZILTSO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZILTOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILSTO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILSOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILOST,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
JZISTOL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
JZISLTO,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZIOLTS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X
JZLTIOS,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLTSIO,X,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
JZLTSOI,X,X,O,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JZLTOIS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZLTOSI,X,O,O,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JZLITSO,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JZLITOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLISTO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLISOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLSTOI,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLSITO,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLSIOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOTSI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLOITS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLOIST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JZSTIOL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JZSTLIO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSTLOI,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSTOIL,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSTOLI,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSITLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JZSITOL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JZSILTO,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSILOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOTISL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JZOTLIS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOTSIL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOTSLI,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOITLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOILTS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOILST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLITS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOLIST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JOTILZS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JOTISLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTISZL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
JOTIZLS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JOTIZSL,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X
JOTLISZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X
JOTLIZS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X
JOTLSIZ,X,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JOTLSZI,X,O,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JOTLZIS,X,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
JOTLZSI,X,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X
JOTSILZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTSIZL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
JOTSLIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOTSLZI,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOTSZIL,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOTSZLI,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOTZILS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
JOTZISL,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
JOTZLIS,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOTZLSI,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOTZSIL,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOTZSLI,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOITSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOITZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOITZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOILTSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOILTZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILSTZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOISLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JOLTIZS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLTSIZ,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X
JOLTSZI,X,O,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X
JOLTZIS,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JOLTZSI,X,O,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
JOLITSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLITZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLISTZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLSTZI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLSITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLZTSI,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
JOLZITS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOLZIST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLITZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOZTISL,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOZTLIS,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOZTLSI,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOZTSIL,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOZTSLI,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOZITLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZITSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZILTS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZILST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTIS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZLTSI,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZLITS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZLIST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTIL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSTLI,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSITL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSILT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STILJZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILJOZ,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
STILZJO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILZOJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILOJZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
STILOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
STIJLZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJLOZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
STIJZLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJZOL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIJOLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
STIJOZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
STIZLJO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZLOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZJLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZJOL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIZOLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZOJL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOLJZ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
STIOLZJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STIOJLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
STIOJZL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
STIOZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOZJL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STLIJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIJOZ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
STLIZJO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIZOJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIOJZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
STLIOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
STLJIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STLJIOZ,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
STLJZIO,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
STLJZOI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
STLJOIZ,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
STLJOZI,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
STLZIJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJIO,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
STLZJOI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
STLZOIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STLZOJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STLOIJZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
STLOIZJ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
STLOJIZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
STLOJZI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STLOZIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STLOZJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STJILZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJILOZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
STJIZLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJIZOL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJIOLZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
STJIOZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
STJLIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STJLIOZ,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
STJLZIO,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
STJLZOI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
