sequence,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhFRhB1nB?6oBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?3lBGoByvBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0iB6oB?RmBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?zlBCoB2vBXtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeaFJvhFfmB0hB?xiBGoB1vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hBOqB?lnBctBzqBCtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhF3hBxnB?zlB2vBCtBFtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hB+oB?lnBiqB0qBzsB
ISTOJLZ,O,X,X,X,X,X,X,X
ISTOJZL,O,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X
ISLTJZO,O,X,X,O,X,X,O,X
ISLTJOZ,O,X,X,O,X,X,X,X
ISLTZJO,O,X,O,O,X,X,O,X
ISLTZOJ,O,X,O,O,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X
ISLJTZO,O,X,O,O,X,X,O,O
ISLJTOZ,O,X,X,O,X,X,X,X
ISLJZTO,O,X,O,O,X,X,O,X
ISLJZOT,X,X,X,O,X,X,O,X
ISLJOTZ,X,X,X,O,X,X,X,X
ISLJOZT,X,X,X,O,X,X,O,X
ISLZTJO,O,X,O,O,X,X,O,X
ISLZTOJ,O,X,O,O,X,X,X,X
ISLZJTO,X,X,O,O,X,X,O,X
ISLZJOT,X,X,X,O,X,X,O,X
ISLZOTJ,O,X,X,O,X,X,X,X
ISLZOJT,X,X,X,O,X,X,O,X
ISLOTJZ,O,X,X,O,X,X,X,X
ISLOTZJ,O,X,X,O,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X,X
ISLOJZT,X,X,X,O,X,X,O,X
ISLOZTJ,O,X,X,O,X,X,X,X
ISLOZJT,X,X,X,O,X,X,O,X
ISJTLZO,O,X,O,O,X,X,X,O
ISJTLOZ,O,X,X,O,X,X,X,X
ISJTZLO,O,X,O,O,X,X,O,X
ISJTZOL,O,X,X,O,X,X,O,X
ISJTOLZ,O,X,O,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X
ISJLTZO,O,X,O,O,X,X,O,O
ISJLTOZ,O,X,X,O,X,X,X,X
ISJLZTO,O,X,O,O,X,X,O,X
ISJLZOT,O,X,X,O,X,X,O,X
ISJLOTZ,O,X,X,O,X,X,X,X
ISJLOZT,O,X,X,O,X,X,O,X
ISJZTLO,O,X,O,O,X,X,O,X
ISJZTOL,O,X,X,O,X,O,O,X
ISJZLTO,O,X,O,O,X,X,O,X
ISJZLOT,O,X,X,O,X,X,O,X
ISJZOTL,O,X,X,O,X,X,O,X
ISJZOLT,O,X,X,X,X,X,O,X
ISJOTLZ,O,X,O,O,X,X,X,X
ISJOTZL,O,X,O,O,X,X,X,X
ISJOLTZ,O,X,O,O,X,X,X,X
ISJOLZT,O,X,O,O,X,X,X,X
ISJOZTL,O,X,O,O,X,X,O,X
ISJOZLT,O,X,O,O,X,X,O,X
ISZTLJO,O,X,O,O,X,X,O,X
ISZTLOJ,O,X,O,O,X,X,X,X
ISZTJLO,O,X,X,O,X,X,O,X
ISZTJOL,X,X,X,O,X,O,O,X
ISZTOLJ,O,X,X,O,X,X,X,X
ISZTOJL,O,X,X,O,X,O,X,X
ISZLTJO,O,X,O,O,X,X,O,X
ISZLTOJ,O,X,O,O,X,X,X,X
ISZLJTO,X,X,O,O,X,X,O,X
ISZLJOT,X,X,X,O,X,X,O,X
ISZLOTJ,O,X,X,O,X,X,X,X
ISZLOJT,X,X,X,O,X,X,O,X
ISZJTLO,O,X,O,O,X,X,O,X
ISZJTOL,X,X,X,O,X,O,O,X
ISZJLTO,X,X,O,O,X,X,O,X
ISZJLOT,X,X,X,O,X,X,O,X
ISZJOTL,O,X,X,O,X,X,O,X
ISZJOLT,X,X,X,X,X,X,O,X
ISZOTLJ,O,X,X,O,X,X,X,X
ISZOTJL,O,X,X,O,X,O,X,X
ISZOLTJ,O,X,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,O,X
ISZOJTL,O,X,X,O,X,O,O,X
ISZOJLT,X,X,X,X,X,O,O,X
ISOTLJZ,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,O,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X
ISOTJZL,O,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,X,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,X,X
ISOLJZT,X,X,O,X,X,X,X,X
ISOLZTJ,O,X,O,X,X,X,X,X
ISOLZJT,X,X,O,X,X,X,X,X
ISOJTLZ,O,X,O,X,X,X,X,X
ISOJTZL,O,X,O,X,X,O,X,X
ISOJLTZ,O,X,O,X,X,X,X,X
ISOJLZT,O,X,O,X,X,O,X,X
ISOJZTL,O,X,O,X,X,O,O,X
ISOJZLT,O,X,O,X,X,O,O,X
ISOZTLJ,O,X,O,X,X,X,X,X
ISOZTJL,O,X,X,X,X,O,X,X
ISOZLTJ,O,X,O,X,X,X,X,X
ISOZLJT,X,X,O,X,X,X,O,X
ISOZJTL,O,X,O,X,X,O,O,X
ISOZJLT,X,X,O,X,X,O,O,X
IZTLJSO,O,O,O,O,X,X,X,X
IZTLJOS,O,O,O,O,X,X,X,X
IZTLSJO,O,O,O,O,X,X,X,X
IZTLSOJ,O,O,O,O,X,X,X,X
IZTLOJS,O,O,O,X,X,X,X,X
IZTLOSJ,O,O,O,X,X,X,X,X
IZTJLSO,O,O,O,O,X,X,X,X
IZTJLOS,O,O,O,O,X,X,X,X
IZTJSLO,O,O,O,O,X,X,O,X
IZTJSOL,O,X,X,O,X,O,O,X
IZTJOLS,O,O,O,O,X,X,X,X
IZTJOSL,X,O,X,O,X,X,X,X
IZTSLJO,O,O,O,O,X,X,O,X
IZTSLOJ,O,O,O,O,X,X,X,X
IZTSJLO,O,O,X,O,X,X,O,X
IZTSJOL,X,X,X,O,X,O,O,X
IZTSOLJ,O,O,X,O,X,X,X,X
IZTSOJL,X,O,X,O,X,O,X,X
IZTOLJS,O,O,O,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X
IZTOJLS,O,O,O,O,X,O,X,X
IZTOJSL,X,O,X,O,X,O,X,X
IZTOSLJ,O,O,O,O,X,X,X,X
IZTOSJL,X,O,X,O,X,O,X,X
IZLTJSO,O,O,O,O,X,X,O,X
IZLTJOS,O,O,O,O,X,X,X,X
IZLTSJO,O,O,O,O,X,X,O,X
IZLTSOJ,O,O,O,O,X,X,X,X
IZLTOJS,O,O,O,X,X,X,X,X
IZLTOSJ,O,O,O,X,X,X,X,X
IZLJTSO,O,O,O,O,X,X,O,X
IZLJTOS,O,O,O,O,X,X,X,X
IZLJSTO,O,O,O,X,X,X,O,X
IZLJSOT,X,O,X,X,X,X,O,X
IZLJOTS,X,O,O,X,X,X,X,X
IZLJOST,X,O,X,X,X,X,O,X
IZLSTJO,O,O,O,X,X,X,O,X
IZLSTOJ,O,O,O,X,X,X,X,X
IZLSJTO,X,O,O,X,X,X,O,X
IZLSJOT,X,O,X,X,X,X,O,X
IZLSOTJ,X,O,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,O,X
IZLOTJS,O,O,O,X,X,X,X,X
IZLOTSJ,O,O,O,X,X,X,X,X
IZLOJTS,X,O,O,X,X,X,X,X
IZLOJST,X,O,X,X,X,X,O,X
IZLOSTJ,X,O,X,X,X,X,X,X
IZLOSJT,X,O,X,X,X,X,O,X
IZJTLSO,O,O,O,O,X,X,X,X
IZJTLOS,O,O,O,O,X,X,X,X
IZJTSLO,O,O,O,O,X,X,O,X
IZJTSOL,O,X,X,O,X,O,O,X
IZJTOLS,O,O,O,O,X,X,X,X
IZJTOSL,O,O,O,O,X,X,X,X
IZJLTSO,O,O,O,O,X,X,O,X
IZJLTOS,O,O,O,O,X,X,X,X
IZJLSTO,O,O,O,X,X,X,O,X
IZJLSOT,X,O,X,X,X,X,O,X
IZJLOTS,O,O,O,X,X,X,X,X
IZJLOST,X,O,X,X,X,X,O,X
IZJSTLO,O,O,O,O,X,X,O,X
IZJSTOL,O,X,X,O,X,O,O,X
IZJSLTO,O,O,O,O,X,X,O,X
IZJSLOT,O,O,X,O,X,X,O,X
IZJSOTL,O,X,X,O,X,X,O,X
IZJSOLT,O,X,X,X,X,X,O,X
IZJOTLS,O,O,O,O,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X
IZJOLTS,O,O,O,X,X,X,X,X
IZJOLST,X,O,O,X,X,X,X,X
IZJOSTL,O,X,O,X,X,X,O,X
IZJOSLT,O,X,O,X,X,X,O,X
IZSTLJO,O,O,O,O,X,X,O,X
IZSTLOJ,O,O,O,O,X,X,X,X
IZSTJLO,O,O,X,O,X,X,O,X
IZSTJOL,X,X,X,O,X,O,O,X
IZSTOLJ,O,O,X,O,X,X,X,X
IZSTOJL,O,O,X,O,X,O,X,X
IZSLTJO,O,O,O,O,X,X,O,X
IZSLTOJ,O,O,O,O,X,X,X,X
IZSLJTO,X,O,O,O,X,X,O,X
IZSLJOT,X,X,X,O,X,X,O,X
IZSLOTJ,O,O,X,O,X,X,X,X
IZSLOJT,X,X,X,O,X,X,O,X
IZSJTLO,O,X,O,O,X,X,O,X
IZSJTOL,X,X,X,O,X,O,O,X
IZSJLTO,X,X,O,O,X,X,O,X
IZSJLOT,X,X,X,O,X,X,O,X
IZSJOTL,O,X,X,O,X,X,O,X
IZSJOLT,X,X,X,X,X,X,O,X
IZSOTLJ,O,X,X,O,X,X,X,X
IZSOTJL,O,X,X,O,X,O,X,X
IZSOLTJ,O,X,X,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,O,X
IZSOJTL,O,X,X,O,X,O,O,X
IZSOJLT,X,X,X,X,X,O,O,X
IZOTLJS,O,O,O,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X
IZOTJLS,O,O,O,O,X,O,X,X
IZOTJSL,O,O,O,O,X,O,X,X
IZOTSLJ,O,O,O,O,X,X,X,X
IZOTSJL,O,O,X,O,X,O,X,X
IZOLTJS,O,O,O,X,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,X
IZOLJST,X,O,O,X,X,X,X,X
IZOLSTJ,X,O,O,X,X,X,X,X
IZOLSJT,X,O,O,X,X,X,X,X
IZOJTLS,O,O,O,O,X,O,X,X
IZOJTSL,O,O,O,O,X,O,X,X
IZOJLTS,O,O,O,X,X,O,X,X
IZOJLST,X,O,O,X,X,O,X,X
IZOJSTL,O,O,O,X,X,O,O,X
IZOJSLT,O,O,O,X,X,O,O,X
IZOSTLJ,O,O,O,X,X,X,X,X
IZOSTJL,O,O,X,X,X,O,X,X
IZOSLTJ,O,O,O,X,X,X,X,X
IZOSLJT,X,O,O,X,X,X,O,X
IZOSJTL,O,X,O,X,X,O,O,X
IZOSJLT,X,X,O,X,X,O,O,X
IOTLJSZ,O,X,O,X,O,X,X,X
IOTLJZS,O,X,O,X,O,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X
IOTLSZJ,O,X,O,X,O,X,X,X
IOTLZJS,O,X,O,X,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X,X
IOTJLSZ,O,X,O,X,O,X,X,X
IOTJLZS,O,O,O,X,O,X,X,X
IOTJSLZ,O,X,O,X,O,X,X,X
IOTJSZL,O,O,O,X,O,X,X,X
IOTJZLS,O,O,O,X,O,X,X,X
IOTJZSL,O,O,O,X,O,X,X,X
IOTSLJZ,O,X,X,X,O,X,X,X
IOTSLZJ,O,X,O,X,O,X,X,X
IOTSJLZ,O,X,X,X,O,X,X,X
IOTSJZL,O,X,X,X,O,X,X,X
IOTSZLJ,O,X,O,X,O,X,X,X
IOTSZJL,O,X,X,X,O,X,X,X
IOTZLJS,O,O,O,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,O,O,O,X,O,X,X,X
IOLTJZS,O,O,O,X,O,X,X,X
IOLTSJZ,O,X,X,X,O,X,X,X
IOLTSZJ,O,X,O,X,O,X,X,X
IOLTZJS,O,O,O,X,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,X,X
IOLJTSZ,O,O,O,X,O,X,X,X
IOLJTZS,O,O,O,X,O,X,X,X
IOLJSTZ,X,O,O,X,O,X,X,X
IOLJSZT,X,O,O,X,X,X,X,X
IOLJZTS,O,O,O,X,O,X,X,X
IOLJZST,X,O,O,X,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X
IOLSTZJ,X,O,O,X,X,X,X,X
IOLSJTZ,X,O,O,X,X,X,X,X
IOLSJZT,X,O,O,X,X,X,X,X
IOLSZTJ,X,O,O,X,X,X,X,X
IOLSZJT,X,O,O,X,X,X,X,X
IOLZTJS,O,O,O,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X
IOLZJST,X,O,O,X,X,X,X,X
IOLZSTJ,X,O,O,X,X,X,X,X
IOLZSJT,X,O,O,X,X,X,X,X
IOJTLSZ,O,O,O,X,O,X,X,X
IOJTLZS,O,O,O,X,O,X,X,X
IOJTSLZ,O,X,O,X,O,X,X,X
IOJTSZL,O,O,O,X,O,O,X,X
IOJTZLS,O,O,O,X,O,O,X,X
IOJTZSL,O,O,O,X,O,O,X,X
IOJLTSZ,O,O,O,X,O,X,X,X
IOJLTZS,O,O,O,X,O,X,X,X
IOJLSTZ,X,O,O,X,O,X,X,X
IOJLSZT,X,O,O,X,X,O,X,X
IOJLZTS,O,O,O,X,O,O,X,X
IOJLZST,X,O,O,X,X,O,X,X
IOJSTLZ,O,X,O,X,O,X,X,X
IOJSTZL,O,O,O,X,O,O,X,X
IOJSLTZ,O,O,O,X,O,X,X,X
IOJSLZT,O,O,O,X,X,O,X,X
IOJSZTL,O,O,O,X,X,O,O,X
IOJSZLT,O,O,O,X,X,O,O,X
IOJZTLS,O,O,O,X,O,O,X,X
IOJZTSL,O,O,O,X,O,O,X,X
IOJZLTS,O,O,O,X,O,O,X,X
IOJZLST,X,O,O,X,X,O,X,X
IOJZSTL,O,O,O,X,X,O,O,X
IOJZSLT,O,O,O,X,X,O,O,X
IOSTLJZ,O,X,X,X,X,X,X,X
IOSTLZJ,O,X,O,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X
IOSLJZT,X,X,O,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,X,X,X
IOSLZJT,X,X,O,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,X,X,X
IOSJTZL,O,X,O,X,X,O,X,X
IOSJLTZ,O,X,O,X,X,X,X,X
IOSJLZT,O,X,O,X,X,O,X,X
IOSJZTL,O,X,O,X,X,O,O,X
IOSJZLT,O,X,O,X,X,O,O,X
IOSZTLJ,O,X,O,X,X,X,X,X
IOSZTJL,O,X,X,X,X,O,X,X
IOSZLTJ,O,X,O,X,X,X,X,X
IOSZLJT,X,X,O,X,X,X,O,X
IOSZJTL,O,X,O,X,X,O,O,X
IOSZJLT,X,X,O,X,X,O,O,X
IOZTLJS,O,O,O,X,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X
IOZTJLS,O,O,O,X,X,O,X,X
IOZTJSL,O,O,O,X,X,O,X,X
IOZTSLJ,O,O,O,X,X,X,X,X
IOZTSJL,O,O,X,X,X,O,X,X
IOZLTJS,O,O,O,X,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X
IOZLJST,X,O,O,X,X,X,X,X
IOZLSTJ,X,O,O,X,X,X,X,X
IOZLSJT,X,O,O,X,X,X,X,X
IOZJTLS,O,O,O,X,X,O,X,X
IOZJTSL,O,O,O,X,X,O,X,X
IOZJLTS,O,O,O,X,X,O,X,X
IOZJLST,X,O,O,X,X,O,X,X
IOZJSTL,O,O,O,X,X,O,O,X
IOZJSLT,O,O,O,X,X,O,O,X
IOZSTLJ,O,O,O,X,X,X,X,X
IOZSTJL,O,O,X,X,X,O,X,X
IOZSLTJ,O,O,O,X,X,X,X,X
IOZSLJT,X,O,O,X,X,X,O,X
IOZSJTL,O,X,O,X,X,O,O,X
IOZSJLT,X,X,O,X,X,O,O,X
LTIJSZO,O,O,O,X,O,X,O,X
LTIJSOZ,O,X,X,X,O,X,X,X
LTIJZSO,O,O,O,X,O,X,O,X
LTIJZOS,O,O,O,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,X,X
LTIJOZS,O,O,O,X,X,X,X,X
LTISJZO,O,X,X,X,O,X,O,X
LTISJOZ,O,X,X,X,O,X,X,X
LTISZJO,O,X,O,X,O,X,O,X
LTISZOJ,O,X,O,X,O,X,X,X
LTISOJZ,X,X,X,X,O,X,X,X
LTISOZJ,O,X,X,X,O,X,X,X
LTIZJSO,O,O,O,X,X,X,O,X
LTIZJOS,O,O,O,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,O,X
LTIZSOJ,O,O,O,X,X,X,X,X
LTIZOJS,O,O,O,X,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,X,X
LTIOJSZ,X,O,X,X,O,X,X,X
LTIOJZS,O,O,O,X,O,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,O,X,O,X,X,X
LTIOZJS,O,O,O,X,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X,X
LTJISZO,O,O,O,X,O,X,O,O
LTJISOZ,O,O,X,X,O,X,X,X
LTJIZSO,O,O,O,X,O,X,O,O
LTJIZOS,O,O,O,X,X,X,X,O
LTJIOSZ,X,X,O,X,O,X,X,X
LTJIOZS,O,O,O,X,X,X,X,X
LTJSIZO,O,O,O,O,O,X,O,O
LTJSIOZ,O,O,X,O,O,X,X,X
LTJSZIO,O,O,X,O,O,X,O,O
LTJSZOI,O,O,X,O,O,X,X,O
LTJSOIZ,O,O,X,O,O,X,X,X
LTJSOZI,O,O,X,O,O,X,X,O
LTJZISO,O,O,O,O,O,X,O,O
LTJZIOS,O,O,O,O,X,X,X,O
LTJZSIO,O,O,X,O,O,X,O,O
LTJZSOI,O,O,X,O,O,X,X,O
LTJZOIS,O,O,X,X,X,X,X,O
LTJZOSI,O,O,X,X,X,X,X,O
LTJOISZ,X,O,O,X,O,X,X,X
LTJOIZS,O,O,O,X,O,X,X,X
LTJOSIZ,O,O,O,X,O,X,X,X
LTJOSZI,O,O,O,X,O,X,X,O
LTJOZIS,O,O,O,X,O,X,X,O
LTJOZSI,O,O,O,X,O,X,X,O
LTSIJZO,O,O,X,O,O,X,O,X
LTSIJOZ,O,O,X,O,O,X,X,X
LTSIZJO,O,O,O,O,O,X,O,X
LTSIZOJ,O,O,O,O,O,X,X,X
LTSIOJZ,X,O,X,O,O,X,X,X
LTSIOZJ,O,O,X,O,O,X,X,X
LTSJIZO,O,O,O,O,O,X,O,O
LTSJIOZ,O,O,X,O,O,X,X,X
LTSJZIO,O,O,X,O,O,X,O,O
LTSJZOI,O,O,X,O,O,X,X,O
LTSJOIZ,O,O,X,O,O,X,X,X
LTSJOZI,O,O,X,O,O,X,X,O
LTSZIJO,O,O,X,O,O,X,O,X
LTSZIOJ,O,O,X,O,O,X,X,X
LTSZJIO,O,O,X,O,O,X,X,X
LTSZJOI,O,O,X,O,O,X,X,X
LTSZOIJ,O,O,X,O,O,X,X,X
LTSZOJI,X,O,X,X,O,X,X,X
LTSOIJZ,X,O,X,O,O,X,X,X
LTSOIZJ,O,O,X,O,O,X,X,X
LTSOJIZ,O,O,X,O,O,X,X,X
LTSOJZI,O,O,X,O,O,X,X,X
LTSOZIJ,O,O,X,O,O,X,X,X
LTSOZJI,X,O,X,X,O,X,X,X
LTZIJSO,O,O,O,O,X,X,O,X
LTZIJOS,O,O,O,O,X,X,X,X
LTZISJO,O,O,O,O,X,X,O,X
LTZISOJ,O,O,O,O,X,X,X,X
LTZIOJS,O,O,O,X,X,X,X,X
LTZIOSJ,O,O,O,X,X,X,X,X
LTZJISO,O,O,O,X,O,X,O,X
LTZJIOS,O,O,O,X,X,X,X,X
LTZJSIO,O,O,X,X,O,X,O,X
LTZJSOI,O,O,X,X,O,X,X,X
LTZJOIS,O,O,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X
LTZSIJO,O,O,X,O,O,X,O,X
LTZSIOJ,O,O,X,O,O,X,X,X
LTZSJIO,O,O,X,O,O,X,X,X
LTZSJOI,O,O,X,X,O,X,X,X
LTZSOIJ,O,O,X,O,O,X,X,X
LTZSOJI,X,O,X,X,O,X,X,X
LTZOIJS,O,O,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X
LTZOJIS,O,O,X,X,O,X,X,X
LTZOJSI,O,O,X,X,O,X,X,X
LTZOSIJ,O,O,X,X,O,X,X,X
LTZOSJI,X,O,X,X,O,X,X,X
LTOIJSZ,X,O,O,X,O,X,X,X
LTOIJZS,O,O,O,X,O,X,X,X
LTOISJZ,X,X,X,X,O,X,X,X
LTOISZJ,X,X,O,X,O,X,X,X
LTOIZJS,O,O,O,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X,X
LTOJISZ,X,O,O,X,O,X,X,X
LTOJIZS,O,O,O,X,O,X,X,X
LTOJSIZ,O,O,O,X,O,X,X,X
LTOJSZI,O,O,O,X,O,X,X,X
LTOJZIS,O,O,O,X,O,X,X,X
LTOJZSI,O,O,O,X,O,X,X,X
LTOSIJZ,X,O,X,X,O,X,X,X
LTOSIZJ,O,O,O,X,O,X,X,X
LTOSJIZ,O,O,O,X,O,X,X,X
LTOSJZI,O,O,O,X,O,X,X,X
LTOSZIJ,O,O,O,X,O,X,X,X
LTOSZJI,X,O,O,X,O,X,X,X
LTOZIJS,O,O,O,X,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X,X
LTOZJIS,O,O,O,X,O,X,X,X
LTOZJSI,O,O,O,X,O,X,X,X
LTOZSIJ,O,O,O,X,O,X,X,X
LTOZSJI,X,O,O,X,O,X,X,X
LITJSZO,O,O,O,X,O,X,O,X
LITJSOZ,O,X,X,X,O,X,X,X
LITJZSO,O,O,O,X,O,X,O,X
LITJZOS,O,O,O,X,X,X,X,X
LITJOSZ,X,X,X,X,O,X,X,X
LITJOZS,O,O,O,X,X,X,X,X
LITSJZO,O,X,X,X,O,X,O,X
LITSJOZ,O,X,X,X,O,X,X,X
LITSZJO,O,X,O,X,O,X,O,X
LITSZOJ,O,X,O,X,O,X,X,X
LITSOJZ,X,X,X,X,O,X,X,X
LITSOZJ,O,X,X,X,O,X,X,X
LITZJSO,O,O,O,X,X,X,O,X
LITZJOS,O,O,O,X,X,X,X,X
LITZSJO,O,O,O,X,X,X,O,X
LITZSOJ,O,O,O,X,X,X,X,X
LITZOJS,O,O,O,X,X,X,X,X
LITZOSJ,O,O,O,X,X,X,X,X
LITOJSZ,X,O,X,X,O,X,X,X
LITOJZS,O,O,O,X,O,X,X,X
LITOSJZ,X,X,X,X,O,X,X,X
LITOSZJ,X,X,O,X,O,X,X,X
LITOZJS,O,O,O,X,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X,X
LIJTSZO,O,O,O,X,O,X,O,O
LIJTSOZ,O,O,X,X,O,X,X,X
LIJTZSO,O,O,O,X,O,X,O,O
LIJTZOS,O,O,O,X,X,X,X,O
LIJTOSZ,X,X,O,X,O,X,X,X
LIJTOZS,O,O,O,X,X,X,X,X
LIJSTZO,O,O,O,X,O,X,O,O
LIJSTOZ,O,O,X,X,O,X,X,X
LIJSZTO,O,O,O,X,X,X,O,X
LIJSZOT,X,O,X,X,X,X,O,X
LIJSOTZ,X,O,X,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,O,X
LIJZTSO,O,O,O,X,O,X,O,X
LIJZTOS,O,O,O,X,X,X,X,X
LIJZSTO,O,O,O,X,X,X,O,X
LIJZSOT,X,O,X,X,X,X,O,X
LIJZOTS,X,O,O,X,X,X,X,X
LIJZOST,X,O,X,X,X,X,O,X
LIJOTSZ,X,X,O,X,O,X,X,X
LIJOTZS,X,O,O,X,X,X,X,X
LIJOSTZ,X,O,O,X,X,X,X,X
LIJOSZT,X,O,O,X,X,X,O,X
LIJOZTS,X,O,O,X,X,X,X,X
LIJOZST,X,O,O,X,X,X,O,X
LISTJZO,O,O,X,X,X,X,O,X
LISTJOZ,O,O,X,X,X,X,X,X
LISTZJO,O,O,O,X,X,X,O,X
LISTZOJ,O,O,O,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X,X
LISTOZJ,O,O,X,X,X,X,X,X
LISJTZO,O,O,O,X,X,X,O,O
LISJTOZ,O,O,X,X,X,X,X,X
LISJZTO,O,O,O,X,X,X,O,X
LISJZOT,X,O,X,X,X,X,O,X
LISJOTZ,X,O,X,X,X,X,X,X
LISJOZT,X,O,X,X,X,X,O,X
LISZTJO,O,O,O,X,X,X,O,X
LISZTOJ,O,O,O,X,X,X,X,X
LISZJTO,X,O,O,X,X,X,O,X
LISZJOT,X,O,X,X,X,X,O,X
LISZOTJ,X,O,X,X,X,X,X,X
LISZOJT,X,O,X,X,X,X,O,X
LISOTJZ,X,O,X,X,X,X,X,X
LISOTZJ,X,O,X,X,X,X,X,X
LISOJTZ,X,O,X,X,X,X,X,X
LISOJZT,X,O,X,X,X,X,O,X
LISOZTJ,X,O,X,X,X,X,X,X
LISOZJT,X,O,X,X,X,X,O,X
LIZTJSO,O,O,O,X,X,X,O,X
LIZTJOS,O,O,O,X,X,X,X,X
LIZTSJO,O,O,O,X,X,X,O,X
LIZTSOJ,O,O,O,X,X,X,X,X
LIZTOJS,O,O,O,X,X,X,X,X
LIZTOSJ,O,O,O,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X,O,X
LIZJTOS,O,O,O,X,X,X,X,X
LIZJSTO,O,O,O,X,X,X,O,X
LIZJSOT,X,O,X,X,X,X,O,X
LIZJOTS,X,O,O,X,X,X,X,X
LIZJOST,X,O,X,X,X,X,O,X
LIZSTJO,O,O,O,X,X,X,O,X
LIZSTOJ,O,O,O,X,X,X,X,X
LIZSJTO,X,O,O,X,X,X,O,X
LIZSJOT,X,O,X,X,X,X,O,X
LIZSOTJ,X,O,X,X,X,X,X,X
LIZSOJT,X,O,X,X,X,X,O,X
LIZOTJS,X,O,O,X,X,X,X,X
LIZOTSJ,X,O,O,X,X,X,X,X
LIZOJTS,X,O,O,X,X,X,X,X
LIZOJST,X,O,X,X,X,X,O,X
LIZOSTJ,X,O,X,X,X,X,X,X
LIZOSJT,X,O,X,X,X,X,O,X
LIOTJSZ,X,O,O,X,O,X,X,X
LIOTJZS,X,O,O,X,O,X,X,X
