sequence,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gB1mBmiB5oBcs?BTrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF1lBmhBziB5oBcr?BXsB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBFiB8nB5oBOr?BzrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBcmBmiB5oBTn?B1wB
TOZLIJS,X,O,X,O
TOZLISJ,X,X,X,O
TOZLJIS,X,O,X,O
TOZLJSI,X,X,X,O
TOZLSIJ,X,X,X,O
TOZLSJI,X,X,X,O
TOZJILS,X,O,X,O
TOZJISL,X,X,X,O
TOZJLIS,X,O,X,O
TOZJLSI,X,X,X,O
TOZJSIL,X,X,X,O
TOZJSLI,X,X,X,O
TOZSILJ,X,X,X,O
TOZSIJL,X,X,X,O
TOZSLIJ,X,X,X,O
TOZSLJI,X,X,X,O
TOZSJIL,X,X,X,O
TOZSJLI,X,X,X,O
ITLJSZO,X,X,X,X
ITLJSOZ,X,X,X,X
ITLJZSO,X,X,X,O
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,X,X,X
ITLSJOZ,X,X,X,X
ITLSZJO,X,O,X,X
ITLSZOJ,X,O,X,X
ITLSOJZ,X,X,X,X
ITLSOZJ,X,O,X,X
ITLZJSO,X,X,X,O
ITLZJOS,X,O,X,X
ITLZSJO,X,X,X,O
ITLZSOJ,X,X,X,O
ITLZOJS,X,O,X,O
ITLZOSJ,X,X,X,O
ITLOJSZ,X,X,X,X
ITLOJZS,X,X,X,O
ITLOSJZ,X,X,X,X
ITLOSZJ,X,O,X,X
ITLOZJS,X,O,X,O
ITLOZSJ,X,X,X,O
ITJLSZO,X,X,X,X
ITJLSOZ,X,X,X,X
ITJLZSO,X,X,X,O
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,X,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,X,O
ITJZLOS,X,X,X,X
ITJZSLO,X,X,X,O
ITJZSOL,X,X,X,X
ITJZOLS,X,X,X,X
ITJZOSL,X,X,X,X
ITJOLSZ,X,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,X
ITSLJZO,X,X,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,X,O,X,X
ITSLZOJ,X,O,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,O,X,X
ITSJLZO,X,X,X,X
ITSJLOZ,X,X,X,X
ITSJZLO,X,X,X,X
ITSJZOL,X,X,X,X
ITSJOLZ,X,X,X,X
ITSJOZL,X,X,X,X
ITSZLJO,X,O,X,X
ITSZLOJ,X,O,X,X
ITSZJLO,X,O,X,X
ITSZJOL,X,O,X,X
ITSZOLJ,X,O,X,X
ITSZOJL,X,O,X,X
ITSOLJZ,X,X,X,X
ITSOLZJ,X,O,X,X
ITSOJLZ,X,X,X,X
ITSOJZL,X,X,X,X
ITSOZLJ,X,O,X,X
ITSOZJL,X,O,X,X
ITZLJSO,X,X,X,O
ITZLJOS,X,O,X,X
ITZLSJO,X,X,X,O
ITZLSOJ,X,X,X,O
ITZLOJS,X,O,X,O
ITZLOSJ,X,X,X,O
ITZJLSO,X,X,X,O
ITZJLOS,X,O,X,X
ITZJSLO,X,X,X,O
ITZJSOL,X,X,X,X
ITZJOLS,X,O,X,X
ITZJOSL,X,X,X,X
ITZSLJO,X,X,X,O
