sequence,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBO?qBzqB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBm?qB0sBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MelAJvhFRiBcoBXmBT?nB2vBSyB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFmiB5oBFnBi?qBzsB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeVGJvhFRiBSoB/sB0?lB2vBTtB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnBToBi?qBWyB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBO?qBzqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBUnBFoBm?qBSyBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MexAJvhFTjB3lBFnBy?vBGtB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBm?qBTqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBFnB8sBT?lByvBmsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnB8sB+?tBTlByvB
ITZOLJS,O,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,X,O,X,X,X,O,X
ITZOJLS,O,O,X,X,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,O,X,X,X,O,X
ITZOSJL,O,X,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOLJZS,X,X,X,O,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,O,X,X,O,X,X,X,X,X
ITOLZJS,O,X,O,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,X,O,O,X,X,O,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOJLZS,X,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,O,O,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,O,O,X,O,X,X,X,X,X
ITOSJLZ,O,X,X,O,O,X,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,O,X,O,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,O,X,X,O,X,X,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,O,X,X,X,X,X
ITOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,X,X,X,X,X,O,O,O,X,X
ILTJSOZ,O,X,X,X,X,O,X,X,O,X,X,X
ILTJZSO,X,O,X,X,X,X,X,O,X,O,X,X
ILTJZOS,X,O,X,X,X,X,X,O,X,X,X,X
ILTJOSZ,O,X,X,X,X,O,X,X,O,X,X,X
ILTJOZS,X,X,X,X,X,O,X,X,X,X,X,X
ILTSJZO,O,X,X,X,X,X,X,X,O,X,X,X
ILTSJOZ,O,X,X,X,X,O,X,X,O,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,O,X,O,X
ILTSZOJ,O,O,X,X,X,X,X,X,X,X,O,X
ILTSOJZ,O,X,X,O,X,X,X,X,O,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ILTZJSO,O,O,O,X,X,X,X,O,X,O,O,X
ILTZJOS,O,O,O,X,X,X,X,O,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X,O,X,O,O,X
ILTZSOJ,O,O,O,X,X,X,O,O,X,X,O,X
ILTZOJS,O,O,O,X,X,X,X,O,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,O,O,X,X,O,X
ILTOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,O,X,X,O,X,X,X,X,X
ILTOZJS,O,X,O,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,O,O,X,X,O,X,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,O,O,O,X,X
ILJTSOZ,X,X,X,X,X,O,X,X,O,X,X,X
ILJTZSO,X,O,O,X,X,X,X,O,X,O,X,X
ILJTZOS,X,O,O,X,X,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,X,X,O,X,X,X
ILJTOZS,X,X,O,X,X,O,X,X,X,X,X,X
ILJSTZO,X,O,O,X,X,X,X,O,O,O,X,X
ILJSTOZ,X,X,O,X,X,O,X,X,O,X,X,X
ILJSZTO,X,O,O,X,X,X,X,O,O,O,O,O
ILJSZOT,X,X,O,X,X,X,X,X,O,O,X,X
ILJSOTZ,X,X,O,O,X,O,X,X,O,X,X,X
ILJSOZT,X,X,O,X,X,X,X,X,O,O,X,X
ILJZTSO,X,O,O,X,X,X,X,O,X,O,O,O
ILJZTOS,X,O,O,X,X,X,X,O,X,X,X,O
ILJZSTO,X,O,O,X,X,X,X,O,X,O,O,O
ILJZSOT,X,X,O,X,X,X,O,X,X,O,X,X
ILJZOTS,X,O,O,X,X,X,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,O,X,X,O,X,X
ILJOTSZ,X,X,X,O,X,O,X,X,O,X,X,X
ILJOTZS,X,X,O,O,X,O,X,X,X,X,X,X
ILJOSTZ,X,X,O,O,X,O,X,X,O,X,X,X
ILJOSZT,X,X,O,X,X,X,O,X,O,O,X,X
ILJOZTS,X,X,O,X,X,X,X,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,O,X,X,O,X,X
ILSTJZO,X,X,X,X,X,X,X,X,O,X,X,X
ILSTJOZ,X,X,X,X,X,O,X,X,O,X,X,X
ILSTZJO,X,X,O,X,X,X,X,X,O,X,O,X
ILSTZOJ,X,X,O,X,X,X,X,X,X,X,O,X
ILSTOJZ,X,X,X,O,X,X,X,X,O,X,X,X
ILSTOZJ,X,X,O,O,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X,X,O,O,X,X
ILSJTOZ,X,X,X,X,X,O,X,X,O,X,X,X
ILSJZTO,X,X,X,X,X,X,X,X,O,O,O,O
ILSJZOT,X,X,X,X,X,X,X,X,O,O,X,X
ILSJOTZ,X,X,X,O,X,O,X,X,O,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,O,O,X,X
ILSZTJO,X,X,O,X,X,X,X,X,O,O,O,X
ILSZTOJ,X,X,O,X,X,X,O,X,X,X,O,X
ILSZJTO,X,X,O,X,X,X,X,X,O,O,O,X
ILSZJOT,X,X,X,X,X,X,O,X,O,O,X,X
ILSZOTJ,X,X,O,O,X,X,O,X,X,X,O,X
ILSZOJT,X,X,O,X,X,X,O,X,X,O,X,X
ILSOTJZ,X,X,X,O,X,X,X,X,O,X,X,X
ILSOTZJ,X,X,O,O,X,X,O,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,X,O,X,X,X
ILSOJZT,X,X,X,X,X,X,O,X,O,X,X,X
ILSOZTJ,X,X,O,O,X,X,O,X,X,X,O,X
ILSOZJT,X,X,O,X,X,X,O,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,O,X,O,O,X
ILZTJOS,O,O,O,X,X,X,X,O,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,O,X,O,O,X
ILZTSOJ,O,O,O,X,X,X,O,O,X,X,O,X
ILZTOJS,O,O,O,X,X,X,X,O,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,O,O,X,X,O,X
ILZJTSO,O,O,O,X,X,X,X,O,X,O,O,X
ILZJTOS,O,O,O,X,X,X,X,O,X,X,X,X
ILZJSTO,X,O,O,X,X,X,X,O,X,O,O,X
ILZJSOT,X,X,O,X,X,X,O,X,X,O,X,X
ILZJOTS,O,O,O,X,X,X,X,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,O,X,X,O,X,X
ILZSTJO,O,O,O,X,X,X,X,O,X,O,O,X
ILZSTOJ,O,O,O,X,X,X,O,O,X,X,O,X
ILZSJTO,X,O,O,X,X,X,X,X,X,O,O,X
ILZSJOT,X,X,O,X,X,X,O,X,X,O,X,X
ILZSOTJ,O,X,O,O,X,X,O,X,X,X,O,X
ILZSOJT,X,X,O,X,X,X,O,X,X,O,X,X
ILZOTJS,O,O,O,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,O,O,O,X,X,O,X,X,X,O,X
ILZOJTS,O,O,O,X,X,X,X,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,O,X,X,O,X,X
ILZOSTJ,O,X,O,O,X,X,O,X,X,X,O,X
ILZOSJT,X,X,O,X,X,X,O,X,X,O,X,X
ILOTJSZ,O,X,X,O,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,X,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,O,X,X,O,X,X,X,X,X
ILOTZJS,O,X,O,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,O,O,X,X,O,X,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X,X,X,X,X
ILOJTZS,X,X,O,O,X,X,X,X,X,X,X,X
ILOJSTZ,X,X,O,O,X,X,X,X,X,X,X,X
ILOJSZT,X,X,O,X,X,X,O,X,X,O,X,X
ILOJZTS,X,X,O,X,X,X,X,X,X,X,X,X
ILOJZST,X,X,O,X,X,X,O,X,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,X,O,X,X,X,X,X
ILOSZTJ,O,X,O,O,X,X,O,X,X,X,O,X
ILOSZJT,X,X,O,X,X,X,O,X,X,X,X,X
ILOZTJS,O,X,O,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,O,O,X,X,O,X,X,X,O,X
ILOZJTS,O,X,O,X,X,X,X,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,O,X,X,O,X,X
ILOZSTJ,O,X,O,O,X,X,O,X,X,X,O,X
ILOZSJT,X,X,O,X,X,X,O,X,X,O,X,X
IJTLSZO,O,O,X,X,X,X,X,X,O,O,X,X
IJTLSOZ,O,X,X,X,X,O,X,X,O,X,X,X
IJTLZSO,X,O,O,X,X,X,X,X,X,O,X,X
IJTLZOS,X,O,O,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,X,X,O,X,X,O,X,X,X
IJTLOZS,X,X,O,X,X,O,X,X,X,X,X,X
IJTSLZO,O,O,X,X,O,X,X,X,X,O,X,X
IJTSLOZ,O,X,X,X,O,X,X,X,X,X,X,X
IJTSZLO,O,O,X,X,O,X,X,X,X,O,X,X
IJTSZOL,X,O,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,O,O,X,X,X,X,X,X
IJTSOZL,X,O,X,X,O,O,X,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X,X,X,X,O,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X,O,X,X
IJTZSOL,X,O,X,X,X,X,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,O,X,X,O,X,X,X
IJTOLZS,X,X,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,O,O,X,X,X,X,X,X
IJTOSZL,O,O,X,X,O,O,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,O,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,O,O,O,X,X
IJLTSOZ,X,X,X,X,X,O,X,X,O,X,X,X
IJLTZSO,X,O,O,X,X,X,X,O,X,O,X,X
IJLTZOS,X,O,O,X,X,X,X,O,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,X,X,O,X,X,X
IJLTOZS,X,X,O,X,X,O,X,X,X,X,X,X
IJLSTZO,X,O,O,X,X,X,X,O,O,O,X,X
IJLSTOZ,X,X,O,X,X,O,X,X,O,X,X,X
IJLSZTO,X,O,O,X,X,X,X,O,O,O,O,O
IJLSZOT,X,X,O,X,X,X,X,X,O,O,X,X
IJLSOTZ,X,X,O,O,X,O,X,X,O,X,X,X
IJLSOZT,X,X,O,X,X,X,X,X,O,O,X,X
IJLZTSO,X,O,O,X,X,X,X,O,X,O,O,O
IJLZTOS,X,O,O,X,X,X,X,O,X,X,X,O
IJLZSTO,X,O,O,X,X,X,X,O,X,O,O,O
IJLZSOT,X,X,O,X,X,X,O,X,X,O,X,X
IJLZOTS,X,O,O,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,O,X,X,X,O,X,X,O,X,X
IJLOTSZ,X,X,X,O,X,O,X,X,O,X,X,X
IJLOTZS,X,X,O,O,X,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,O,X,X,O,X,X,X
IJLOSZT,X,X,O,X,X,X,O,X,O,O,X,X
IJLOZTS,X,X,O,X,X,X,X,X,X,X,X,X
IJLOZST,X,X,O,X,X,X,O,X,X,O,X,X
IJSTLZO,X,O,O,X,O,X,X,X,X,O,X,X
IJSTLOZ,X,X,O,X,O,X,X,X,X,X,X,X
IJSTZLO,X,O,X,X,O,X,X,X,X,O,X,X
IJSTZOL,X,O,X,X,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,O,X,O,X,X,X,X,X,X,X
IJSTOZL,X,O,X,X,O,X,X,X,X,X,X,X
IJSLTZO,X,O,O,X,O,X,X,O,X,O,X,X
IJSLTOZ,X,X,O,X,O,X,X,X,X,X,X,X
IJSLZTO,X,O,O,X,O,X,X,O,X,O,X,X
IJSLZOT,X,X,O,X,X,X,X,X,X,O,X,X
IJSLOTZ,X,X,O,X,O,X,X,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,X,X,X,O,X,X
IJSZTLO,X,O,X,X,O,X,X,O,X,O,X,X
IJSZTOL,X,O,X,X,X,X,X,X,X,X,X,X
IJSZLTO,X,O,X,X,O,X,X,O,X,O,X,X
IJSZLOT,X,X,X,X,X,X,X,X,X,O,X,X
IJSZOTL,X,O,X,X,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,X,X,X,X,O,X,X
IJSOTLZ,X,X,O,X,O,X,X,X,X,X,X,X
IJSOTZL,X,O,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,X,X,O,X,O,X,X,X,X,X,X,X
IJSOLZT,X,X,O,X,O,X,X,X,X,O,X,X
IJSOZTL,X,O,X,X,O,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,O,X,X,X,X,O,X,X
IJZTLSO,O,O,X,X,X,X,X,X,X,O,O,O
IJZTLOS,O,O,X,X,X,X,X,X,X,X,X,O
IJZTSLO,O,O,X,X,X,X,X,O,X,O,O,O
IJZTSOL,X,O,X,X,X,X,X,X,X,X,X,O
IJZTOLS,O,O,X,X,X,X,X,X,X,X,X,O
IJZTOSL,O,O,X,X,X,X,X,X,X,X,X,O
IJZLTSO,O,O,X,X,X,X,X,O,X,O,O,O
IJZLTOS,O,O,X,X,X,X,X,O,X,X,X,O
IJZLSTO,X,O,X,X,X,X,X,O,X,O,O,O
IJZLSOT,X,X,X,X,X,X,O,X,X,O,X,X
IJZLOTS,O,O,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,O,X,X,O,X,X
IJZSTLO,X,O,X,X,X,X,X,O,X,O,X,X
IJZSTOL,X,O,X,X,X,X,X,X,X,X,X,X
IJZSLTO,X,O,X,X,X,X,X,O,X,O,X,X
IJZSLOT,X,X,X,X,X,X,O,X,X,O,X,X
IJZSOTL,X,O,X,X,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X,X,X,O,X,X
IJZOTLS,O,O,X,X,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X,X,X,X,X
IJZOLTS,O,O,X,X,X,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,X,O,X,X,O,X,X
IJZOSTL,O,O,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,X,X,X,X,X,O,X,X,O,X,X
IJOTLSZ,O,X,X,O,X,O,X,X,O,X,X,X
IJOTLZS,X,X,O,O,X,O,X,X,X,X,X,X
IJOTSLZ,O,X,X,O,O,O,X,X,X,X,X,X
IJOTSZL,O,O,X,O,O,O,X,X,X,X,X,X
IJOTZLS,O,O,X,O,X,O,X,X,X,X,X,X
IJOTZSL,O,O,X,O,X,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,O,X,X,O,X,X,X
IJOLTZS,X,X,O,O,X,O,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,X,O,X,X,O,X,X,X
IJOLSZT,X,X,O,X,X,X,O,X,O,O,X,X
IJOLZTS,X,X,O,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,O,X,X,X,O,X,X,O,X,X
IJOSTLZ,O,X,O,X,O,X,X,X,X,X,X,X
IJOSTZL,O,O,X,X,O,X,X,X,X,X,X,X
IJOSLTZ,X,X,O,X,O,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,O,X,O,X,X,O,X,X
IJOSZTL,O,O,X,X,O,X,X,X,X,X,X,X
IJOSZLT,X,X,X,X,O,X,O,X,X,O,X,X
IJOZTLS,O,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X,X,X,X,X
IJOZLTS,O,O,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,O,X,X,O,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,X,O,X,X,O,X,X
ISTLJZO,O,X,X,X,O,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,O,X,X,X,X,X,X,X
ISTLZJO,O,O,O,X,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,X,O,X,X,X,X,X,X,X
ISTLOZJ,O,X,O,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,X,X,O,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X,X,X,X,X
ISTJZLO,O,O,X,X,O,X,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X,X,X,X
ISTZLJO,O,O,X,X,O,X,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,X,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,X,O,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,O,X,X,X,X,X,X,X
ISTOJZL,O,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,O,X,X,O,X,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,O,X,X,X,X,X,X,X
ISLTZJO,X,X,O,X,O,X,X,X,X,X,O,X
ISLTZOJ,X,X,O,X,X,X,X,X,X,X,O,X
ISLTOJZ,X,X,X,O,O,X,X,X,X,X,X,X
ISLTOZJ,X,X,O,O,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,O,X,X,X,X,X,X,X
ISLJZTO,X,X,X,X,O,X,X,X,X,O,O,X
ISLJZOT,X,X,X,X,X,X,X,X,X,O,X,X
ISLJOTZ,X,X,X,O,O,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,O,X,X
ISLZTJO,X,X,O,X,O,X,X,X,X,O,O,X
ISLZTOJ,X,X,O,X,X,X,O,X,X,X,O,X
ISLZJTO,X,X,O,X,O,X,X,X,X,O,O,X
ISLZJOT,X,X,X,X,X,X,O,X,X,O,X,X
ISLZOTJ,X,X,O,O,X,X,O,X,X,X,O,X
ISLZOJT,X,X,O,X,X,X,O,X,X,O,X,X
ISLOTJZ,X,X,X,O,O,X,X,X,X,X,X,X
ISLOTZJ,X,X,O,O,X,X,O,X,X,X,X,X
ISLOJTZ,X,X,X,O,O,X,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,X,O,X,X,X,X,X
ISLOZTJ,X,X,O,O,X,X,O,X,X,X,O,X
ISLOZJT,X,X,O,X,X,X,O,X,X,X,X,X
ISJTLZO,X,O,X,X,O,X,X,X,X,O,X,X
ISJTLOZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,X,O,X,X,O,X,X,X,X,O,X,X
ISJTZOL,X,O,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJTOZL,X,O,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,O,X,X,O,X,X,X,X,O,X,X
ISJLTOZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJLZTO,X,O,X,X,O,X,X,X,X,O,X,X
ISJLZOT,X,X,X,X,X,X,X,X,X,O,X,X
ISJLOTZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,X,O,X,X
ISJZTLO,X,O,X,X,O,X,X,X,X,O,X,X
ISJZTOL,X,O,X,X,X,X,X,X,X,X,X,X
ISJZLTO,X,O,X,X,O,X,X,X,X,O,X,X
ISJZLOT,X,X,X,X,X,X,X,X,X,O,X,X
ISJZOTL,X,O,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,X,X,X,X,O,X,X
ISJOTLZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,O,X,X,X,X,X,X,X
ISJOLZT,X,X,X,X,O,X,X,X,X,O,X,X
ISJOZTL,X,O,X,X,O,X,X,X,X,X,X,X
ISJOZLT,X,X,X,X,O,X,X,X,X,O,X,X
ISZTLJO,O,O,X,X,O,X,X,X,X,O,O,X
ISZTLOJ,O,O,X,X,X,X,O,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X,X,X,X,X,O,X
ISZTJOL,X,O,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X,X,X,O,X
ISZTOJL,O,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,O,X,X,O,X,X,X,X,O,O,X
ISZLTOJ,O,O,X,X,X,X,O,X,X,X,O,X
ISZLJTO,X,O,X,X,O,X,X,X,X,O,O,X
ISZLJOT,X,X,X,X,X,X,O,X,X,O,X,X
ISZLOTJ,O,X,X,X,X,X,O,X,X,X,O,X
ISZLOJT,X,X,X,X,X,X,O,X,X,O,X,X
ISZJTLO,X,O,X,X,O,X,X,X,X,O,X,X
ISZJTOL,X,O,X,X,X,X,X,X,X,X,X,X
ISZJLTO,X,O,X,X,O,X,X,X,X,O,X,X
ISZJLOT,X,X,X,X,X,X,O,X,X,O,X,X
ISZJOTL,X,O,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,X,X,X,X,O,X,X
ISZOTLJ,O,X,X,X,X,X,O,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,O,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,O,X,X,O,X,X
ISZOJTL,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,O,X,X,X,X,X
ISOTLJZ,O,X,X,O,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,O,O,O,X,O,X,X,X,X,X
ISOTJLZ,O,X,X,O,O,X,X,X,X,X,X,X
ISOTJZL,O,X,X,O,O,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,O,X,O,X,X,X,X,X
ISOTZJL,O,X,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,O,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,O,X,O,X,X,X,X,X
ISOLJTZ,X,X,X,O,O,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,O,X,O,X,X,X,X,X
ISOLZTJ,O,X,O,O,O,X,O,X,X,X,X,X
ISOLZJT,X,X,O,X,O,X,O,X,X,X,X,X
ISOJTLZ,O,X,X,X,O,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,O,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,O,X,O,X,X,X,X,X
ISOJZTL,O,X,X,X,O,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,O,X,O,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,X,O,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,O,X,O,X,X,X,X,X
ISOZLJT,X,X,X,X,O,X,O,X,X,X,X,X
ISOZJTL,O,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,O,X,O,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X,X,O,O,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,X,O,O,X
IZTLSOJ,O,O,X,X,X,X,O,X,X,X,O,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,O,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,X,X,X,O,O,X
IZTJLOS,O,O,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,O,X,O,O,X
IZTJSOL,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,O,X,O,O,X
IZTSLOJ,O,O,X,X,X,X,O,O,X,X,O,X
IZTSJLO,O,O,X,X,X,X,X,O,X,X,O,X
IZTSJOL,X,O,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X,X,O,X
IZTSOJL,O,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,O,X,X,X,O,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X,X,X,X,X
