sequence,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBxhB6oBmmBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBOnBXjBlkBSt?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBOmB0iB6oBRs?BzrB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBiiB+oBlkB3n?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFXiB6oBlkB2rBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhF0hB6oBlkB2rBzn?BXsB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThB8nB+oBlkByr?BXsB
TZLJOIS,X,O,X,O,X,X,O
TZLJOSI,X,O,X,O,X,X,O
TZLSIJO,O,O,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,X,X
TZLSJIO,O,O,X,X,X,X,X
TZLSJOI,O,O,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X
TZLOIJS,X,O,X,O,O,O,O
TZLOISJ,O,O,X,X,O,X,X
TZLOJIS,O,O,X,O,O,O,O
TZLOJSI,O,O,X,O,O,O,O
TZLOSIJ,O,O,X,X,O,X,X
TZLOSJI,O,O,X,X,O,X,X
TZJILSO,O,O,X,O,X,X,O
TZJILOS,X,O,X,O,X,O,O
TZJISLO,O,O,X,O,X,X,O
TZJISOL,O,O,X,O,O,O,X
TZJIOLS,O,O,X,O,O,O,O
TZJIOSL,O,O,X,O,O,O,X
TZJLISO,O,O,X,O,X,X,O
TZJLIOS,X,O,X,O,X,O,O
TZJLSIO,O,O,X,O,X,X,O
TZJLSOI,O,O,X,O,X,X,O
TZJLOIS,X,O,X,O,X,O,O
TZJLOSI,X,O,X,O,X,O,O
TZJSILO,O,O,X,O,X,X,O
TZJSIOL,O,O,X,O,O,O,X
TZJSLIO,O,O,X,O,X,X,O
TZJSLOI,O,O,X,O,X,X,O
TZJSOIL,O,O,X,O,O,O,X
TZJSOLI,O,O,X,O,O,O,X
TZJOILS,O,O,X,O,O,O,O
TZJOISL,O,O,X,O,O,O,X
TZJOLIS,O,O,X,O,O,O,O
TZJOLSI,O,O,X,O,O,O,O
TZJOSIL,O,O,X,O,O,O,X
TZJOSLI,O,O,X,O,O,O,X
TZSILJO,O,O,X,X,X,X,X
