sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
TSIOLZJ,X,X,X,O,X,X,O,X
TSIOJLZ,O,X,X,O,X,X,O,X
TSIOJZL,O,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,O,X
TSIOZJL,O,X,X,X,X,X,X,O
TSLIJZO,O,X,X,O,O,X,X,X
TSLIJOZ,O,X,X,O,X,X,O,X
TSLIZJO,X,X,X,O,O,X,X,X
TSLIZOJ,X,X,X,O,X,X,O,X
TSLIOJZ,O,X,X,O,X,X,O,X
TSLIOZJ,X,X,X,O,X,X,O,X
TSLJIZO,O,X,X,O,O,X,X,X
TSLJIOZ,O,X,X,O,X,X,O,X
TSLJZIO,O,X,O,O,O,X,X,X
TSLJZOI,O,X,O,O,X,X,X,X
TSLJOIZ,O,X,X,O,X,X,O,X
TSLJOZI,O,X,O,O,X,X,X,X
TSLZIJO,X,X,X,O,O,X,X,X
TSLZIOJ,X,X,X,O,X,X,O,X
TSLZJIO,X,X,O,O,O,X,X,X
TSLZJOI,X,X,O,O,X,X,X,X
TSLZOIJ,X,X,X,O,X,X,O,X
TSLZOJI,X,X,O,O,X,X,X,X
TSLOIJZ,O,X,X,O,X,X,O,X
TSLOIZJ,X,X,X,O,X,X,O,X
TSLOJIZ,O,X,X,O,X,X,O,X
TSLOJZI,O,X,O,O,X,X,X,X
TSLOZIJ,X,X,X,O,X,X,O,X
TSLOZJI,X,X,O,O,X,X,X,X
TSJILZO,O,X,X,O,O,X,X,X
TSJILOZ,O,X,X,O,X,X,O,X
TSJIZLO,O,X,X,X,O,X,X,X
TSJIZOL,O,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,O,X,X,O,X
TSJIOZL,O,X,X,X,X,X,X,X
TSJLIZO,O,X,X,O,O,X,X,X
TSJLIOZ,O,X,X,O,X,X,O,X
TSJLZIO,O,X,O,O,O,X,X,X
TSJLZOI,O,X,O,O,X,X,X,X
TSJLOIZ,O,X,X,O,X,X,O,X
TSJLOZI,O,X,O,O,X,X,X,X
