sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TSZJOLI,O,X,X,O,X,X
TSZOILJ,O,O,X,O,X,X
TSZOIJL,X,O,X,O,X,X
TSZOLIJ,O,X,X,O,X,X
TSZOLJI,O,X,X,O,X,X
TSZOJIL,X,O,X,O,X,X
TSZOJLI,O,X,X,O,X,X
TSOILJZ,O,O,X,X,X,X
TSOILZJ,O,O,X,X,X,X
TSOIJLZ,X,O,X,X,X,X
TSOIJZL,X,O,X,X,X,X
TSOIZLJ,O,O,X,X,X,X
TSOIZJL,X,O,X,X,X,X
TSOLIJZ,O,O,X,X,X,X
TSOLIZJ,O,O,X,X,X,X
TSOLJIZ,O,O,X,X,X,X
TSOLJZI,O,X,X,O,X,X
TSOLZIJ,O,X,X,O,X,X
TSOLZJI,O,X,X,O,X,X
TSOJILZ,X,O,X,X,X,X
TSOJIZL,X,O,X,X,X,X
TSOJLIZ,O,O,X,X,X,X
TSOJLZI,O,X,X,O,X,X
TSOJZIL,X,O,X,O,X,X
TSOJZLI,O,X,X,O,X,X
TSOZILJ,O,O,X,O,X,X
TSOZIJL,X,O,X,O,X,X
TSOZLIJ,O,X,X,O,X,X
TSOZLJI,O,X,X,O,X,X
TSOZJIL,X,O,X,O,X,X
TSOZJLI,O,X,X,O,X,X
TZILJSO,O,X,X,X,X,X
TZILJOS,O,X,X,X,O,X
TZILSJO,O,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X
TZILOJS,O,X,X,X,O,O
TZILOSJ,O,X,X,X,X,O
TZIJLSO,O,X,X,X,X,X
TZIJLOS,O,X,X,X,O,X
TZIJSLO,O,O,X,X,X,X
TZIJSOL,X,O,X,X,X,X
TZIJOLS,X,X,X,X,O,X
TZIJOSL,X,O,X,X,X,X
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,X,X,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,X,O,X,X,X,X
TZISOLJ,O,O,X,X,X,X
TZISOJL,X,O,X,X,X,X
TZIOLJS,O,X,X,X,O,O
TZIOLSJ,O,X,X,X,X,O
TZIOJLS,X,X,X,X,O,X
TZIOJSL,X,O,X,X,X,X
TZIOSLJ,O,O,X,X,X,X
TZIOSJL,X,O,X,X,X,X
TZLIJSO,O,X,X,X,X,X
TZLIJOS,O,X,X,X,O,X
TZLISJO,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X
TZLIOJS,O,X,X,X,O,O
TZLIOSJ,O,X,X,X,X,O
TZLJISO,O,X,X,X,X,X
TZLJIOS,O,X,X,X,O,X
TZLJSIO,O,X,O,X,X,X
TZLJSOI,O,X,O,X,X,X
TZLJOIS,O,X,X,X,O,X
TZLJOSI,O,X,O,X,X,X
TZLSIJO,O,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X
TZLSJIO,O,X,O,X,X,X
TZLSJOI,O,X,O,X,X,X
TZLSOIJ,O,X,X,X,X,X
TZLSOJI,O,X,O,X,X,X
TZLOIJS,O,X,X,X,O,O
TZLOISJ,O,X,X,X,X,O
TZLOJIS,O,X,X,X,O,X
TZLOJSI,O,X,O,X,X,X
TZLOSIJ,O,X,X,X,X,X
TZLOSJI,O,X,O,X,X,X
TZJILSO,O,X,X,X,X,X
TZJILOS,O,X,X,X,O,X
TZJISLO,O,O,X,X,X,X
TZJISOL,X,O,X,X,X,X
TZJIOLS,X,X,X,X,O,X
TZJIOSL,X,O,X,X,X,X
TZJLISO,O,X,X,X,X,X
TZJLIOS,O,X,X,X,O,X
TZJLSIO,O,X,O,X,X,X
TZJLSOI,O,X,O,X,X,X
TZJLOIS,O,X,X,X,O,X
TZJLOSI,O,X,O,X,X,X
TZJSILO,O,O,O,X,X,X
TZJSIOL,X,O,O,X,X,X
TZJSLIO,O,X,O,X,X,X
TZJSLOI,O,X,O,X,X,X
TZJSOIL,X,O,O,X,X,X
TZJSOLI,O,X,O,X,X,X
TZJOILS,X,X,X,X,O,X
TZJOISL,X,O,X,X,X,X
TZJOLIS,O,X,X,X,O,X
TZJOLSI,O,X,O,X,X,X
TZJOSIL,X,O,O,X,X,X
TZJOSLI,O,X,O,X,X,X
TZSILJO,O,O,X,X,X,X
TZSILOJ,O,O,X,X,X,X
TZSIJLO,O,O,X,X,X,X
TZSIJOL,X,O,X,X,X,X
TZSIOLJ,O,O,X,X,X,X
TZSIOJL,X,O,X,X,X,X
