sequence,v115@FhB8HeB8HeE8DeC8JeOEJvhF6lBxhBzkBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFlgB2pBxmBCnBzqBXsB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfB+lBxhBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFxgBTiB2pBFrBXsBCrB,v115@FhB8HeB8HeE8DeC8Jei/IvhFFhBTiBcrBxpBXsBGqB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfBUhB1qBXnBGnBRwB,v115@FhB8HeB8HeE8DeC8JeT/IvhF1mB6nBxpBmrB/qBUrB,v115@FhB8HeB8HeE8DeC8Jex/IvhFXiBTkBSsBlqBmqB0rB,v115@FhB8HeB8HeE8DeC8JeOEJvhF8kBFmBTnB3lBCnBRwB,v115@FhB8HeB8HeE8DeC8Je3/IvhFTiBxlB2pBUrBFsBCrB,v115@FhB8HeB8HeE8DeC8Jex/IvhF0hBTkBSsBmqBlqBXsB
TJOLIZS,X,O,X,X,X,X,O,O,X,X,O
TJOLSIZ,X,O,X,X,X,X,X,O,X,X,O
TJOLSZI,O,O,X,X,X,X,X,O,X,X,O
TJOLZIS,O,O,X,X,X,X,X,O,X,X,O
TJOLZSI,O,O,X,X,X,X,X,O,X,X,O
TJOSILZ,X,O,X,O,X,X,X,X,X,X,X
TJOSIZL,X,O,X,O,X,X,X,X,X,X,X
TJOSLIZ,X,O,X,O,X,X,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,X,O,X,X
TJOZISL,X,O,X,O,X,X,X,X,O,O,X
TJOZLIS,O,O,X,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X,X,X,X
TJOZSIL,O,O,X,O,X,X,X,X,X,X,X
TJOZSLI,O,O,X,O,X,X,X,X,X,X,X
TSILJZO,X,O,X,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,X,X,O,X,X,X,X,X
