sequence,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB3iBqrBd?tBmmBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gBmiBdsBf?tB6rBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8Jex/IvhFXhBziBSwBm?sBdsB0pB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB6mB2sBd?tBXsBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRsB8qB+rBN?sBatBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFumB9nBZoBy?wB8qBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRsB/pB+rBN?sBatBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRiB0mBdtBS?vBXsBmqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeCBJvhFRsB/pBOsBd?tBTrBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRiB+rBNsBa?tB/pBUqB
ILOTJSZ,X,X,X,X,O,O,O,X,O,X
ILOTJZS,X,X,X,X,O,O,O,X,O,X
ILOTSJZ,X,X,X,X,O,O,O,X,O,X
ILOTSZJ,O,X,X,X,X,X,X,X,O,X
ILOTZJS,X,X,X,X,O,O,X,X,O,X
ILOTZSJ,O,X,X,X,X,X,X,X,O,X
ILOJTSZ,X,X,O,X,O,O,X,X,O,X
ILOJTZS,X,X,O,X,O,O,X,X,O,X
ILOJSTZ,X,X,O,X,X,X,X,X,O,X
ILOJSZT,X,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,O,X,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,X,X,X,O,O,O,X,O,X
ILOSTZJ,X,X,X,X,X,X,X,X,O,X
ILOSJTZ,X,X,O,X,X,X,X,X,O,X
ILOSJZT,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,O,X
ILOSZJT,X,X,X,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,O,O,X,X,O,X
ILOZTSJ,O,X,X,X,X,X,X,X,O,X
ILOZJTS,X,X,X,X,O,X,X,X,X,X
ILOZJST,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,X,X,X,X,O,X
ILOZSJT,X,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,O,X,O,O,O,X,X,O
IJTLSOZ,X,X,O,X,O,O,O,X,O,O
IJTLZSO,X,X,O,X,O,O,O,X,X,O
IJTLZOS,X,X,O,X,O,O,O,X,X,O
IJTLOSZ,X,X,O,X,O,O,O,X,O,O
IJTLOZS,X,X,O,X,O,O,O,X,O,O
IJTSLZO,X,X,X,X,O,X,O,X,X,X
IJTSLOZ,X,X,X,X,O,X,O,X,O,X
IJTSZLO,X,X,X,X,O,X,O,X,X,X
IJTSZOL,X,X,X,X,O,X,O,X,O,X
IJTSOLZ,X,X,X,X,O,X,O,X,O,X
IJTSOZL,X,X,X,X,O,X,O,X,O,X
IJTZLSO,X,X,X,O,O,X,O,X,X,X
IJTZLOS,X,X,X,O,O,X,O,X,X,X
IJTZSLO,X,X,X,X,O,X,O,X,X,X
IJTZSOL,X,X,X,X,O,X,O,X,O,X
IJTZOLS,X,X,X,O,O,X,O,X,O,X
IJTZOSL,X,X,X,X,O,X,O,X,O,X
IJTOLSZ,X,X,O,X,O,O,O,X,O,O
IJTOLZS,X,X,O,X,O,O,O,X,O,O
IJTOSLZ,X,X,X,X,O,X,O,X,O,X
IJTOSZL,X,X,X,X,O,X,O,X,O,X
IJTOZLS,X,X,X,O,O,X,O,X,O,X
IJTOZSL,X,X,X,X,O,X,O,X,O,X
IJLTSZO,X,X,O,X,O,O,O,X,X,X
IJLTSOZ,X,X,O,X,O,O,O,X,X,X
IJLTZSO,X,X,O,X,O,O,O,X,X,X
IJLTZOS,X,X,O,X,O,O,O,X,X,X
IJLTOSZ,X,X,O,X,O,O,O,X,X,X
IJLTOZS,X,X,O,X,O,O,O,X,X,X
IJLSTZO,X,X,O,X,X,X,O,X,X,X
IJLSTOZ,X,X,O,X,X,X,O,X,X,X
IJLSZTO,X,X,O,X,X,X,X,X,X,X
IJLSZOT,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,O,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X
IJLZTSO,X,X,O,O,O,X,X,X,X,X
IJLZTOS,X,X,O,O,O,X,X,X,X,X
IJLZSTO,X,X,O,O,X,X,X,X,X,X
IJLZSOT,X,X,O,O,X,X,X,X,X,X
IJLZOTS,X,X,O,O,O,X,X,X,X,X
IJLZOST,X,X,O,O,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,O,O,O,X,X,X
IJLOTZS,X,X,O,X,O,O,O,X,X,X
IJLOSTZ,X,X,O,X,X,X,O,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,O,O,O,X,X,X,X,X
IJLOZST,X,X,O,O,X,X,X,X,X,X
IJSTLZO,X,X,X,X,O,X,O,X,X,X
IJSTLOZ,X,X,X,X,O,X,O,X,O,X
IJSTZLO,X,X,X,X,O,X,O,X,X,X
IJSTZOL,X,X,X,X,O,X,O,X,O,X
IJSTOLZ,X,X,X,X,O,X,O,X,O,X
IJSTOZL,X,X,X,X,O,X,O,X,O,X
IJSLTZO,X,X,O,X,X,X,O,X,X,X
IJSLTOZ,X,X,O,X,X,X,O,X,X,X
IJSLZTO,X,X,O,X,X,X,X,X,X,X
IJSLZOT,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,O,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,X,X,O,X,O,X,X,X
IJSZTOL,X,X,X,X,O,X,O,X,X,X
IJSZLTO,X,X,X,O,X,X,X,X,X,X
IJSZLOT,X,X,X,O,X,X,X,X,X,X
IJSZOTL,X,X,X,X,O,X,O,X,X,X
IJSZOLT,X,X,X,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,X,O,X,O,X
IJSOTZL,X,X,X,X,O,X,O,X,O,X
IJSOLTZ,X,X,O,X,X,X,O,X,O,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,O,X,O,X,X,X
IJSOZLT,X,X,X,O,X,X,X,X,X,X
IJZTLSO,X,X,X,O,O,X,O,X,X,X
IJZTLOS,X,X,X,O,O,X,O,X,X,X
IJZTSLO,X,X,X,X,O,X,O,X,X,X
IJZTSOL,X,X,X,X,O,X,O,X,X,X
IJZTOLS,X,X,X,O,O,X,O,X,X,X
IJZTOSL,X,X,X,X,O,X,O,X,X,X
IJZLTSO,X,X,O,O,O,X,X,X,X,X
IJZLTOS,X,X,O,O,O,X,X,X,X,X
IJZLSTO,X,X,O,O,X,X,X,X,X,X
IJZLSOT,X,X,X,O,X,X,X,X,X,X
IJZLOTS,X,X,O,O,O,X,X,X,X,X
IJZLOST,X,X,X,O,X,X,X,X,X,X
IJZSTLO,X,X,X,X,O,X,O,X,X,X
IJZSTOL,X,X,X,X,O,X,O,X,X,X
IJZSLTO,X,X,X,O,X,X,X,X,X,X
IJZSLOT,X,X,X,O,X,X,X,X,X,X
IJZSOTL,X,X,X,X,O,X,O,X,X,X
IJZSOLT,X,X,X,O,X,X,X,X,X,X
IJZOTLS,X,X,X,O,O,X,O,X,X,X
IJZOTSL,X,X,X,X,O,X,O,X,X,X
IJZOLTS,X,X,O,O,O,X,X,X,X,X
IJZOLST,X,X,X,O,X,X,X,X,X,X
IJZOSTL,X,X,X,X,O,X,O,X,X,X
IJZOSLT,X,X,X,O,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,O,O,O,X,O,O
IJOTLZS,X,X,O,X,O,O,O,X,O,O
IJOTSLZ,X,X,X,X,O,X,O,X,O,X
IJOTSZL,X,X,X,X,O,X,O,X,O,X
IJOTZLS,X,X,X,O,O,X,O,X,O,X
IJOTZSL,X,X,X,X,O,X,O,X,O,X
IJOLTSZ,X,X,O,X,O,O,O,X,O,X
IJOLTZS,X,X,O,X,O,O,O,X,O,X
IJOLSTZ,X,X,O,X,X,X,O,X,O,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,O,O,O,X,X,X,X,X
IJOLZST,X,X,O,O,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,X,O,X,O,X
IJOSTZL,X,X,X,X,O,X,O,X,O,X
IJOSLTZ,X,X,O,X,X,X,O,X,O,X
IJOSLZT,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,O,X,O,X,X,X
IJOSZLT,X,X,X,O,X,X,X,X,X,X
IJOZTLS,X,X,X,O,O,X,O,X,X,X
IJOZTSL,X,X,X,X,O,X,O,X,X,X
IJOZLTS,X,X,O,O,O,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X,X,X
IJOZSTL,X,X,X,X,O,X,O,X,X,X
IJOZSLT,X,X,X,O,X,X,X,X,X,X
ISTLJZO,X,O,X,X,O,O,O,X,X,X
ISTLJOZ,X,O,X,X,O,O,O,X,O,X
ISTLZJO,X,O,X,X,X,X,O,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,O,O,O,X,O,X
ISTLOZJ,X,O,X,X,X,X,X,X,O,X
ISTJLZO,X,O,X,X,O,X,O,X,X,X
ISTJLOZ,X,O,X,X,O,X,O,X,O,X
ISTJZLO,X,O,X,X,O,X,O,X,X,X
ISTJZOL,X,O,X,X,O,X,O,X,O,X
ISTJOLZ,X,O,X,X,O,X,O,X,O,X
ISTJOZL,X,O,X,X,O,X,O,X,O,X
ISTZLJO,X,O,X,X,X,X,O,X,X,X
ISTZLOJ,X,O,X,X,X,X,X,X,X,X
ISTZJLO,X,O,X,X,X,X,O,X,X,X
ISTZJOL,X,O,X,X,X,X,O,X,O,X
ISTZOLJ,X,O,X,X,X,X,X,X,O,X
ISTZOJL,X,O,X,X,X,X,X,X,O,X
ISTOLJZ,X,O,X,X,O,O,O,X,O,X
ISTOLZJ,X,O,X,X,X,X,X,X,O,X
ISTOJLZ,X,O,X,X,O,X,O,X,O,X
ISTOJZL,X,O,X,X,O,X,O,X,O,X
ISTOZLJ,X,O,X,X,X,X,X,X,O,X
ISTOZJL,X,O,X,X,X,X,X,X,O,X
ISLTJZO,X,O,O,X,O,O,O,X,X,X
ISLTJOZ,X,O,O,X,O,O,O,X,O,X
ISLTZJO,X,O,X,X,X,X,O,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,O,O,O,X,O,X
ISLTOZJ,X,O,X,X,X,X,X,X,O,X
ISLJTZO,X,O,O,X,X,X,O,X,X,X
ISLJTOZ,X,O,O,X,X,X,O,X,X,X
ISLJZTO,X,X,O,X,X,X,X,X,X,X
ISLJZOT,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,X,X,X,O,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X
ISLZTJO,X,O,X,X,X,X,O,X,X,X
ISLZTOJ,X,O,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,X,X
ISLZJOT,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,O,O,O,X,O,X
ISLOTZJ,X,O,X,X,X,X,X,X,O,X
ISLOJTZ,X,O,O,X,X,X,X,X,O,X
ISLOJZT,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,X,X,X,X,X,O,X
ISLOZJT,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,O,X,X,O,X,O,X,X,X
ISJTLOZ,X,O,X,X,O,X,O,X,O,X
ISJTZLO,X,O,X,X,O,X,O,X,X,X
ISJTZOL,X,O,X,X,O,X,O,X,O,X
ISJTOLZ,X,O,X,X,O,X,O,X,O,X
ISJTOZL,X,O,X,X,O,X,O,X,O,X
ISJLTZO,X,O,O,X,X,X,O,X,X,X
ISJLTOZ,X,O,O,X,X,X,O,X,X,X
ISJLZTO,X,X,O,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,X,X,X,O,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,O,X,O,X,X,X
ISJZTOL,X,O,X,X,O,X,O,X,X,X
ISJZLTO,X,X,X,X,X,X,X,X,X,X
ISJZLOT,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,O,X,O,X,X,X
ISJZOLT,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,O,X,O,X,O,X
ISJOTZL,X,O,X,X,O,X,O,X,O,X
ISJOLTZ,X,O,O,X,X,X,O,X,O,X
ISJOLZT,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,O,X,O,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,X,X,X,X,O,X,X,X
ISZTLOJ,X,O,X,X,X,X,X,X,X,X
ISZTJLO,X,O,X,X,X,X,O,X,X,X
ISZTJOL,X,O,X,X,X,X,O,X,O,X
ISZTOLJ,X,O,X,X,X,X,X,X,O,X
ISZTOJL,X,O,X,X,X,X,X,X,O,X
ISZLTJO,X,O,X,X,X,X,O,X,X,X
ISZLTOJ,X,O,X,X,X,X,X,X,X,X
ISZLJTO,X,X,X,X,X,X,X,X,X,X
ISZLJOT,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,O,X,X,O,X,O,X,X,X
ISZJTOL,X,O,X,X,O,X,O,X,X,X
ISZJLTO,X,X,X,X,X,X,X,X,X,X
ISZJLOT,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,O,X,X,O,X,O,X,X,X
ISZJOLT,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,X,X,O,X
ISZOTJL,X,O,X,X,X,X,X,X,O,X
ISZOLTJ,X,O,X,X,X,X,X,X,O,X
ISZOLJT,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,O,X,X,O,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,O,O,O,X,O,X
ISOTLZJ,X,O,X,X,X,X,X,X,O,X
ISOTJLZ,X,O,X,X,O,X,O,X,O,X
ISOTJZL,X,O,X,X,O,X,O,X,O,X
ISOTZLJ,X,O,X,X,X,X,X,X,O,X
ISOTZJL,X,O,X,X,X,X,X,X,O,X
ISOLTJZ,X,O,X,X,O,O,O,X,O,X
ISOLTZJ,X,O,X,X,X,X,X,X,O,X
ISOLJTZ,X,O,X,X,X,X,X,X,O,X
ISOLJZT,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,X,X,O,X
ISOLZJT,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,O,X,O,X,O,X
ISOJTZL,X,O,X,X,O,X,O,X,O,X
ISOJLTZ,X,O,X,X,X,X,O,X,O,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,O,X,O,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,X,X,X,X,X,O,X
ISOZTJL,X,O,X,X,X,X,X,X,O,X
ISOZLTJ,X,O,X,X,X,X,X,X,O,X
ISOZLJT,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,O,X,X,O,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,O,O,O,O,X,X,X
IZTLJOS,O,X,X,O,O,O,O,X,X,X
IZTLSJO,O,O,X,X,X,X,O,O,X,X
IZTLSOJ,O,O,X,X,X,X,X,O,X,X
IZTLOJS,O,X,X,O,O,O,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,O,X,X
IZTJLSO,O,X,X,O,O,X,O,X,X,X
IZTJLOS,O,X,X,O,O,X,O,X,X,X
IZTJSLO,O,O,X,X,O,X,O,X,X,X
IZTJSOL,O,O,X,X,O,X,O,X,O,X
IZTJOLS,O,X,X,O,O,X,O,X,O,X
IZTJOSL,O,O,X,X,O,X,O,X,O,X
IZTSLJO,O,O,X,X,X,X,O,O,X,X
IZTSLOJ,O,O,X,X,X,X,X,O,X,X
IZTSJLO,O,O,X,X,X,X,O,O,X,X
IZTSJOL,O,O,X,X,X,X,O,O,O,X
IZTSOLJ,O,O,X,X,X,X,X,O,O,X
IZTSOJL,O,O,X,X,X,X,X,O,O,X
IZTOLJS,O,X,X,O,O,O,X,X,O,X
IZTOLSJ,O,O,X,X,X,X,X,O,O,X
IZTOJLS,O,X,X,O,O,X,X,X,O,X
IZTOJSL,O,O,X,X,O,X,X,X,O,X
IZTOSLJ,O,O,X,X,X,X,X,O,O,X
IZTOSJL,O,O,X,X,X,X,X,O,O,X
IZLTJSO,O,X,X,O,O,O,O,X,X,X
IZLTJOS,O,X,X,O,O,O,O,X,X,X
IZLTSJO,O,O,X,X,X,X,O,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,O,O,O,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X
IZLJTSO,O,X,O,O,O,X,X,X,X,X
IZLJTOS,O,X,O,O,O,X,X,X,X,X
IZLJSTO,X,X,O,O,X,X,X,X,X,X
IZLJSOT,X,X,X,O,X,X,X,X,X,X
IZLJOTS,O,X,O,O,O,X,X,X,X,X
IZLJOST,X,X,X,O,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,O,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X,X
IZLSJTO,X,X,O,O,X,X,X,X,X,X
IZLSJOT,X,X,X,O,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X,X
IZLSOJT,X,X,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,O,O,O,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,O,O,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,O,X,X,X,X,X,X
IZJTLSO,O,X,X,O,O,X,O,X,X,X
IZJTLOS,O,X,X,O,O,X,O,X,X,X
IZJTSLO,O,O,X,X,O,X,O,X,X,X
IZJTSOL,O,O,X,X,O,X,O,X,X,X
IZJTOLS,O,X,X,O,O,X,O,X,X,X
IZJTOSL,O,O,X,X,O,X,O,X,X,X
IZJLTSO,O,X,O,O,O,X,X,X,X,X
IZJLTOS,O,X,O,O,O,X,X,X,X,X
IZJLSTO,X,X,O,O,X,X,X,X,X,X
IZJLSOT,X,X,X,O,X,X,X,X,X,X
IZJLOTS,O,X,O,O,O,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,X,X,X
IZJSTLO,X,O,X,X,O,X,O,X,X,X
IZJSTOL,X,O,X,X,O,X,O,X,X,X
IZJSLTO,X,X,X,O,X,X,X,X,X,X
IZJSLOT,X,X,X,O,X,X,X,X,X,X
IZJSOTL,X,O,X,X,O,X,O,X,X,X
IZJSOLT,X,X,X,O,X,X,X,X,X,X
IZJOTLS,O,X,X,O,O,X,O,X,X,X
IZJOTSL,O,O,X,X,O,X,O,X,X,X
IZJOLTS,O,X,O,O,O,X,X,X,X,X
IZJOLST,X,X,X,O,X,X,X,X,X,X
IZJOSTL,X,O,X,X,O,X,O,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,O,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,O,X,X,X
IZSTJOL,O,O,X,X,X,X,O,X,O,X
IZSTOLJ,O,O,X,X,X,X,X,X,O,X
IZSTOJL,O,O,X,X,X,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,O,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,X,X
IZSLJTO,X,X,X,O,X,X,X,X,X,X
IZSLJOT,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,X,X
IZSLOJT,X,X,X,O,X,X,X,X,X,X
IZSJTLO,X,O,X,X,O,X,O,X,X,X
IZSJTOL,X,O,X,X,O,X,O,X,X,X
IZSJLTO,X,X,X,O,X,X,X,X,X,X
IZSJLOT,X,X,X,O,X,X,X,X,X,X
IZSJOTL,X,O,X,X,O,X,O,X,X,X
IZSJOLT,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,O,X
IZSOTJL,O,O,X,X,X,X,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,X,X,O,X
IZSOLJT,X,X,X,O,X,X,X,X,X,X
IZSOJTL,X,O,X,X,O,X,X,X,X,X
IZSOJLT,X,X,X,O,X,X,X,X,X,X
IZOTLJS,O,X,X,O,O,O,X,X,O,X
IZOTLSJ,O,O,X,X,X,X,X,O,O,X
IZOTJLS,O,X,X,O,O,X,X,X,O,X
IZOTJSL,O,O,X,X,O,X,X,X,O,X
IZOTSLJ,O,O,X,X,X,X,X,O,O,X
IZOTSJL,O,O,X,X,X,X,X,O,O,X
IZOLTJS,O,X,X,O,O,O,X,X,O,X
IZOLTSJ,O,O,X,X,X,X,X,X,O,X
IZOLJTS,O,X,X,O,O,X,X,X,X,X
IZOLJST,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,O,X
IZOLSJT,X,X,X,O,X,X,X,X,X,X
IZOJTLS,O,X,X,O,O,X,X,X,X,X
IZOJTSL,O,O,X,X,O,X,X,X,X,X
IZOJLTS,O,X,X,O,O,X,X,X,X,X
IZOJLST,X,X,X,O,X,X,X,X,X,X
IZOJSTL,X,O,X,X,O,X,X,X,X,X
IZOJSLT,X,X,X,O,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,O,X
IZOSTJL,O,O,X,X,X,X,X,X,O,X
IZOSLTJ,O,O,X,X,X,X,X,X,O,X
IZOSLJT,X,X,X,O,X,X,X,X,X,X
IZOSJTL,X,O,X,X,O,X,X,X,X,X
IZOSJLT,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,O,X,O,X
IOTLJZS,O,X,X,X,O,O,O,X,O,X
IOTLSJZ,O,X,X,X,O,O,O,X,O,X
IOTLSZJ,O,X,X,X,X,X,X,X,O,X
IOTLZJS,O,X,X,X,O,O,X,X,O,X
IOTLZSJ,O,X,X,X,X,X,X,X,O,X
IOTJLSZ,O,X,X,X,O,O,O,X,O,X
IOTJLZS,O,X,X,X,O,O,O,X,O,X
IOTJSLZ,O,X,X,X,O,X,O,X,O,X
IOTJSZL,O,X,X,X,O,X,O,X,O,X
IOTJZLS,O,X,X,X,O,X,O,X,O,X
IOTJZSL,O,X,X,X,O,X,O,X,O,X
IOTSLJZ,O,O,X,X,O,O,O,X,O,X
IOTSLZJ,O,O,X,X,X,X,X,X,O,X
IOTSJLZ,O,O,X,X,O,X,O,X,O,X
IOTSJZL,O,O,X,X,O,X,O,X,O,X
IOTSZLJ,O,O,X,X,X,X,X,X,O,X
IOTSZJL,O,O,X,X,X,X,X,X,O,X
IOTZLJS,O,X,X,X,O,O,X,X,O,X
IOTZLSJ,O,X,X,X,X,X,X,O,O,X
IOTZJLS,O,X,X,X,O,X,X,X,O,X
IOTZJSL,O,X,X,X,O,X,X,X,O,X
IOTZSLJ,O,O,X,X,X,X,X,O,O,X
IOTZSJL,O,O,X,X,X,X,X,O,O,X
IOLTJSZ,X,X,X,X,O,O,O,X,O,X
IOLTJZS,X,X,X,X,O,O,O,X,O,X
IOLTSJZ,X,X,X,X,O,O,O,X,O,X
IOLTSZJ,O,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,X,X,O,O,X,X,O,X
IOLTZSJ,O,X,X,X,X,X,X,X,O,X
IOLJTSZ,X,X,O,X,O,O,O,X,O,X
IOLJTZS,X,X,O,X,O,O,O,X,O,X
IOLJSTZ,X,X,O,X,X,X,O,X,O,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,X,O,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,O,O,O,X,O,X
IOLSTZJ,X,X,X,X,X,X,X,X,O,X
IOLSJTZ,X,X,O,X,X,X,O,X,O,X
IOLSJZT,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,O,X
IOLSZJT,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,O,O,X,X,O,X
IOLZTSJ,O,X,X,X,X,X,X,X,O,X
IOLZJTS,X,X,X,X,O,X,X,X,X,X
IOLZJST,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,O,X
IOLZSJT,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,O,O,O,X,O,O
IOJTLZS,X,X,O,X,O,O,O,X,O,O
IOJTSLZ,X,X,X,X,O,X,O,X,O,X
IOJTSZL,X,X,X,X,O,X,O,X,O,X
IOJTZLS,X,X,X,O,O,X,O,X,O,X
IOJTZSL,X,X,X,X,O,X,O,X,O,X
IOJLTSZ,X,X,O,X,O,O,O,X,O,X
IOJLTZS,X,X,O,X,O,O,O,X,O,X
IOJLSTZ,X,X,O,X,X,X,O,X,O,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X,X,X
IOJSTLZ,X,X,X,X,O,X,O,X,O,X
IOJSTZL,X,X,X,X,O,X,O,X,O,X
IOJSLTZ,X,X,O,X,X,X,O,X,O,X
IOJSLZT,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,O,X,O,X,X,X
IOJSZLT,X,X,X,O,X,X,X,X,X,X
IOJZTLS,X,X,X,O,O,X,O,X,X,X
IOJZTSL,X,X,X,X,O,X,O,X,X,X
IOJZLTS,X,X,O,O,O,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X,X,X
IOJZSTL,X,X,X,X,O,X,O,X,X,X
IOJZSLT,X,X,X,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,O,O,O,X,O,X
IOSTLZJ,X,O,X,X,X,X,X,X,O,X
IOSTJLZ,X,O,X,X,O,X,O,X,O,X
IOSTJZL,X,O,X,X,O,X,O,X,O,X
IOSTZLJ,X,O,X,X,X,X,X,X,O,X
IOSTZJL,X,O,X,X,X,X,X,X,O,X
IOSLTJZ,X,O,X,X,O,O,O,X,O,X
IOSLTZJ,X,O,X,X,X,X,X,X,O,X
IOSLJTZ,X,O,X,X,X,X,O,X,O,X
IOSLJZT,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,X,X,X,O,X
IOSLZJT,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,O,X,O,X,O,X
IOSJTZL,X,O,X,X,O,X,O,X,O,X
IOSJLTZ,X,O,X,X,X,X,O,X,O,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,O,X,O,X,X,X
IOSJZLT,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,X,X,X,X,O,X
