sequence,v115@QhB8GeH8BeB8JeT/IvhFelBChBxiBXmBlnBUsB,v115@QhB8GeH8BeB8Je/EJvhFUgBRhBFjByqBzmB+sB,v115@QhB8GeH8BeB8Je/EJvhFalBGhBxiBzlBlnBUsB,v115@QhB8GeH8BeB8Jem/IvhFqlBThBxiB0kBVsB3sB,v115@QhB8GeH8BeB8Jem/IvhFRhB0kBzlBfsBlnBCtB
TSIJLZO,O,O,X,X,X
TSIJLOZ,O,O,O,X,X
TSIJZLO,O,O,X,X,X
TSIJZOL,O,O,X,X,X
TSIJOLZ,O,O,O,X,X
TSIJOZL,O,O,O,X,O
TSIZLJO,O,O,O,O,X
TSIZLOJ,X,O,O,O,X
TSIZJLO,O,O,O,O,X
TSIZJOL,O,O,X,X,O
TSIZOLJ,X,O,O,O,O
TSIZOJL,O,O,O,X,O
TSIOLJZ,O,X,O,X,X
TSIOLZJ,X,X,O,O,O
TSIOJLZ,O,X,O,X,X
TSIOJZL,O,X,O,X,O
TSIOZLJ,X,X,O,O,O
TSIOZJL,O,X,O,X,O
TSLIJZO,O,O,X,X,X
TSLIJOZ,O,O,O,X,X
TSLIZJO,O,O,O,O,X
TSLIZOJ,X,O,O,O,X
TSLIOJZ,O,X,O,X,X
TSLIOZJ,X,O,O,O,O
TSLJIZO,O,O,X,X,X
TSLJIOZ,O,O,O,X,X
TSLJZIO,O,O,X,X,X
TSLJZOI,O,O,X,X,X
TSLJOIZ,O,O,O,X,X
TSLJOZI,O,O,O,X,X
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,O,O,O,X
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,O,X,X
TSLOIZJ,X,O,O,O,O
TSLOJIZ,O,O,O,X,X
TSLOJZI,O,O,O,X,X
TSLOZIJ,X,O,O,O,O
TSLOZJI,X,O,O,O,O
TSJILZO,O,O,X,X,X
TSJILOZ,O,O,O,X,X
TSJIZLO,O,O,X,X,X
TSJIZOL,O,O,X,X,X
TSJIOLZ,O,O,O,X,X
TSJIOZL,O,O,O,X,O
TSJLIZO,O,O,X,X,X
TSJLIOZ,O,O,O,X,X
TSJLZIO,O,O,X,X,X
TSJLZOI,O,O,X,X,X
TSJLOIZ,O,O,O,X,X
TSJLOZI,O,O,O,X,X
TSJZILO,O,O,X,X,X
TSJZIOL,O,O,X,X,O
TSJZLIO,O,O,X,X,X
TSJZLOI,O,O,X,X,O
TSJZOIL,O,O,X,X,O
TSJZOLI,O,O,X,X,O
TSJOILZ,O,O,O,X,X
TSJOIZL,O,O,O,X,O
TSJOLIZ,O,O,O,X,X
TSJOLZI,O,O,O,X,X
TSJOZIL,O,O,O,X,O
TSJOZLI,O,O,O,X,O
TSZILJO,O,O,O,O,X
TSZILOJ,O,O,O,O,X
TSZIJLO,O,O,O,O,X
TSZIJOL,O,O,O,X,O
TSZIOLJ,O,O,O,O,O
TSZIOJL,O,O,O,X,O
TSZLIJO,O,O,O,O,X
TSZLIOJ,O,O,O,O,X
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,O,O,O
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,O,O,X
TSZJIOL,O,O,O,X,O
TSZJLIO,O,O,O,O,X
TSZJLOI,O,O,O,O,O
TSZJOIL,O,O,O,X,O
TSZJOLI,O,O,O,X,O
TSZOILJ,O,O,O,O,O
TSZOIJL,O,O,O,X,O
TSZOLIJ,O,O,O,O,O
TSZOLJI,O,O,O,O,O
TSZOJIL,O,O,O,X,O
TSZOJLI,O,O,O,X,O
TSOILJZ,O,O,O,X,X
TSOILZJ,X,O,O,O,O
TSOIJLZ,O,O,O,X,X
TSOIJZL,O,O,O,X,O
TSOIZLJ,X,X,O,O,O
TSOIZJL,O,O,O,X,O
TSOLIJZ,O,O,O,X,X
TSOLIZJ,X,O,O,O,O
TSOLJIZ,O,O,O,X,X
TSOLJZI,O,O,O,X,X
TSOLZIJ,X,O,O,O,O
TSOLZJI,X,O,O,O,O
TSOJILZ,O,O,O,X,X
TSOJIZL,O,O,O,X,O
TSOJLIZ,O,O,O,X,X
TSOJLZI,O,O,O,X,X
TSOJZIL,O,O,O,X,O
TSOJZLI,O,O,O,X,O
TSOZILJ,O,O,O,O,O
TSOZIJL,O,O,O,X,O
TSOZLIJ,O,O,O,O,O
TSOZLJI,O,O,O,O,O
TSOZJIL,O,O,O,X,O
TSOZJLI,O,O,O,X,O
TZILJSO,O,X,O,O,X
TZILJOS,O,X,O,O,X
TZILSJO,O,X,O,O,X
TZILSOJ,O,X,O,O,X
TZILOJS,O,X,O,O,X
TZILOSJ,O,X,O,O,X
TZIJLSO,O,X,O,O,X
TZIJLOS,O,X,O,O,X
TZIJSLO,O,X,O,O,X
TZIJSOL,O,X,O,X,X
TZIJOLS,O,X,O,O,X
TZIJOSL,O,X,O,X,X
TZISLJO,O,X,O,O,X
TZISLOJ,O,X,O,O,X
TZISJLO,O,X,O,O,X
TZISJOL,O,X,O,X,X
TZISOLJ,O,X,O,O,X
TZISOJL,O,X,O,X,X
TZIOLJS,O,X,O,O,X
TZIOLSJ,O,X,O,O,X
TZIOJLS,O,X,O,O,X
TZIOJSL,O,X,O,X,X
TZIOSLJ,O,X,O,O,X
TZIOSJL,O,X,O,X,X
TZLIJSO,O,X,O,O,X
TZLIJOS,O,X,O,O,X
TZLISJO,O,O,O,O,X
TZLISOJ,O,O,O,O,X
TZLIOJS,O,X,O,O,X
TZLIOSJ,O,X,O,O,X
TZLJISO,O,O,O,O,X
TZLJIOS,O,X,O,O,X
TZLJSIO,O,O,O,O,X
TZLJSOI,O,O,O,O,X
TZLJOIS,O,O,O,O,X
TZLJOSI,O,O,O,O,X
TZLSIJO,O,O,O,O,X
TZLSIOJ,O,O,O,O,X
TZLSJIO,O,O,O,O,X
TZLSJOI,O,O,O,O,X
TZLSOIJ,O,O,O,O,X
TZLSOJI,O,O,O,O,X
TZLOIJS,O,X,O,O,X
TZLOISJ,O,X,O,O,X
TZLOJIS,O,X,O,O,X
TZLOJSI,O,X,O,O,X
TZLOSIJ,O,X,O,O,X
TZLOSJI,O,X,O,O,X
TZJILSO,O,X,O,O,X
TZJILOS,O,X,O,O,X
TZJISLO,O,X,O,O,X
TZJISOL,O,X,O,X,X
TZJIOLS,O,X,O,O,X
TZJIOSL,O,X,O,X,X
TZJLISO,O,O,O,O,X
TZJLIOS,O,X,O,O,X
TZJLSIO,O,O,O,O,X
TZJLSOI,O,O,O,O,X
TZJLOIS,O,O,O,O,X
TZJLOSI,O,O,O,O,X
TZJSILO,O,O,O,O,X
TZJSIOL,O,O,O,X,O
TZJSLIO,O,O,O,O,X
TZJSLOI,O,O,O,O,O
TZJSOIL,O,O,O,X,O
TZJSOLI,O,O,O,X,O
TZJOILS,O,O,O,O,X
TZJOISL,O,O,O,X,O
TZJOLIS,O,O,O,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,O,O,O,X,O
TZJOSLI,O,O,O,X,O
TZSILJO,O,O,O,O,X
TZSILOJ,O,O,O,O,X
TZSIJLO,O,O,O,O,X
TZSIJOL,O,O,O,X,O
TZSIOLJ,O,O,O,O,O
TZSIOJL,O,O,O,X,O
TZSLIJO,O,O,O,O,X
TZSLIOJ,O,O,O,O,X
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,O,O,O
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,O,O,X
TZSJIOL,O,O,O,X,O
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,O,O,O
TZSJOIL,O,O,O,X,O
TZSJOLI,O,O,O,X,O
TZSOILJ,O,O,O,O,O
TZSOIJL,O,O,O,X,O
TZSOLIJ,O,O,O,O,O
TZSOLJI,O,O,O,O,O
TZSOJIL,O,O,O,X,O
TZSOJLI,O,O,O,X,O
TZOILJS,O,X,O,O,X
TZOILSJ,O,X,O,O,X
TZOIJLS,O,X,O,O,X
TZOIJSL,O,X,O,X,O
TZOISLJ,O,X,O,O,O
TZOISJL,O,X,O,X,O
TZOLIJS,O,X,O,O,X
TZOLISJ,O,X,O,O,X
TZOLJIS,O,X,O,O,X
TZOLJSI,O,X,O,O,X
TZOLSIJ,O,X,O,O,X
TZOLSJI,O,X,O,O,X
TZOJILS,O,X,O,O,X
TZOJISL,O,X,O,X,O
TZOJLIS,O,X,O,O,X
TZOJLSI,O,X,O,O,X
TZOJSIL,O,X,O,X,O
TZOJSLI,O,X,O,X,O
TZOSILJ,O,X,O,O,O
TZOSIJL,O,X,O,X,O
TZOSLIJ,O,X,O,O,O
TZOSLJI,O,X,O,O,O
TZOSJIL,O,X,O,X,O
TZOSJLI,O,X,O,X,O
TOILJSZ,O,O,O,X,X
TOILJZS,X,O,X,O,X
TOILSJZ,O,O,O,X,X
TOILSZJ,X,O,O,O,X
TOILZJS,X,X,X,O,X
TOILZSJ,X,X,X,O,X
TOIJLSZ,O,O,O,X,X
TOIJLZS,X,O,X,O,X
TOIJSLZ,O,O,O,X,X
TOIJSZL,O,O,O,X,X
TOIJZLS,X,O,X,O,X
TOIJZSL,O,O,O,X,X
TOISLJZ,O,O,O,X,X
TOISLZJ,X,O,O,O,O
TOISJLZ,O,O,O,X,X
TOISJZL,O,O,O,X,O
TOISZLJ,X,X,O,O,O
TOISZJL,O,O,O,X,O
TOIZLJS,X,X,X,O,X
TOIZLSJ,X,X,X,O,X
TOIZJLS,X,X,X,O,X
TOIZJSL,O,X,O,X,O
TOIZSLJ,X,X,O,O,O
TOIZSJL,O,X,O,X,O
