sequence,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFzfBfmBenBF?jB0qB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBFjBz?mBimBWwB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBenBF?jBzqB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFWlBzhBFjB8?qBilB3rB
LJTSOIZ,X,O,O,X
LJTSOZI,X,O,O,X
LJTZISO,O,X,X,O
LJTZIOS,O,X,X,X
LJTZSIO,O,X,X,O
LJTZSOI,O,X,X,O
LJTZOIS,O,X,X,X
LJTZOSI,O,X,X,X
LJTOISZ,X,O,O,X
LJTOIZS,O,X,X,X
LJTOSIZ,X,O,O,X
LJTOSZI,X,O,O,X
LJTOZIS,O,X,X,X
LJTOZSI,O,X,X,X
LJITSZO,X,O,X,X
LJITSOZ,X,O,O,X
LJITZSO,O,X,X,O
LJITZOS,O,X,X,X
LJITOSZ,X,O,O,X
LJITOZS,O,X,X,X
LJISTZO,X,O,X,X
LJISTOZ,X,O,O,X
LJISZTO,X,O,X,X
LJISZOT,X,O,X,X
LJISOTZ,X,O,O,X
LJISOZT,X,O,O,X
LJIZTSO,O,X,X,O
LJIZTOS,O,X,X,X
LJIZSTO,O,X,X,O
LJIZSOT,O,X,X,O
LJIZOTS,O,X,X,X
LJIZOST,O,X,X,X
LJIOTSZ,X,O,O,X
LJIOTZS,O,X,X,X
LJIOSTZ,X,O,O,X
LJIOSZT,X,O,O,X
LJIOZTS,O,X,X,X
LJIOZST,O,X,X,X
LJSTIZO,X,O,X,X
LJSTIOZ,X,O,O,X
LJSTZIO,X,O,X,X
LJSTZOI,X,O,X,X
LJSTOIZ,X,O,O,X
LJSTOZI,X,O,O,X
LJSITZO,X,O,X,X
LJSITOZ,X,O,O,X
LJSIZTO,X,O,X,X
LJSIZOT,X,O,X,X
LJSIOTZ,X,O,O,X
LJSIOZT,X,O,O,X
LJSZTIO,X,O,X,X
LJSZTOI,X,O,X,X
LJSZITO,X,O,X,X
LJSZIOT,X,O,X,X
LJSZOTI,X,O,X,X
LJSZOIT,X,O,X,X
LJSOTIZ,X,O,O,X
LJSOTZI,X,O,O,X
LJSOITZ,X,O,O,X
LJSOIZT,X,O,O,X
LJSOZTI,X,O,O,X
LJSOZIT,X,O,O,X
LJZTISO,O,X,X,O
LJZTIOS,O,X,X,X
LJZTSIO,O,X,X,O
LJZTSOI,O,X,X,O
LJZTOIS,O,X,X,X
LJZTOSI,O,X,X,X
LJZITSO,O,X,X,O
LJZITOS,O,X,X,X
LJZISTO,O,X,X,O
LJZISOT,O,X,X,O
LJZIOTS,O,X,X,X
LJZIOST,O,X,X,X
LJZSTIO,O,X,X,O
LJZSTOI,O,X,X,O
LJZSITO,O,X,X,O
LJZSIOT,O,X,X,O
LJZSOTI,O,X,X,O
LJZSOIT,O,X,X,O
LJZOTIS,O,X,X,X
LJZOTSI,O,X,X,X
LJZOITS,O,X,X,X
LJZOIST,O,X,X,X
LJZOSTI,O,X,X,X
LJZOSIT,O,X,X,X
LJOTISZ,X,O,O,X
LJOTIZS,O,X,X,X
LJOTSIZ,X,O,O,X
LJOTSZI,X,O,O,X
LJOTZIS,O,X,X,X
LJOTZSI,O,X,X,X
LJOITSZ,X,O,O,X
LJOITZS,O,X,X,X
LJOISTZ,X,O,O,X
LJOISZT,X,O,O,X
LJOIZTS,O,X,X,X
LJOIZST,O,X,X,X
LJOSTIZ,X,O,O,X
LJOSTZI,X,O,O,X
LJOSITZ,X,O,O,X
LJOSIZT,X,O,O,X
LJOSZTI,X,O,O,X
LJOSZIT,X,O,O,X
LJOZTIS,O,X,X,X
LJOZTSI,O,X,X,X
LJOZITS,O,X,X,X
LJOZIST,O,X,X,X
LJOZSTI,O,X,X,X
LJOZSIT,O,X,X,X
LSTIJZO,X,O,X,X
LSTIJOZ,X,O,O,X
LSTIZJO,X,O,X,O
LSTIZOJ,X,O,X,O
LSTIOJZ,X,O,O,X
LSTIOZJ,X,O,O,O
LSTJIZO,X,O,X,X
LSTJIOZ,X,O,O,X
LSTJZIO,X,O,X,X
LSTJZOI,X,O,X,X
LSTJOIZ,X,O,O,X
LSTJOZI,X,O,O,X
LSTZIJO,X,O,X,O
LSTZIOJ,X,O,X,O
LSTZJIO,X,O,X,O
LSTZJOI,X,O,X,O
LSTZOIJ,X,O,X,O
LSTZOJI,X,X,X,O
LSTOIJZ,X,O,O,X
LSTOIZJ,X,O,O,O
LSTOJIZ,X,O,O,X
LSTOJZI,X,O,O,X
LSTOZIJ,X,O,O,O
LSTOZJI,X,X,O,O
LSITJZO,X,O,X,X
LSITJOZ,X,O,O,X
LSITZJO,X,O,X,O
LSITZOJ,X,O,X,O
LSITOJZ,X,O,O,X
LSITOZJ,X,O,O,O
LSIJTZO,X,O,X,X
LSIJTOZ,X,O,O,X
LSIJZTO,X,O,X,X
LSIJZOT,X,O,X,X
LSIJOTZ,X,O,O,X
LSIJOZT,X,O,O,X
LSIZTJO,X,O,X,O
LSIZTOJ,X,O,X,O
LSIZJTO,X,O,X,O
LSIZJOT,X,O,X,O
LSIZOTJ,X,O,X,O
LSIZOJT,X,X,X,O
LSIOTJZ,X,O,O,X
LSIOTZJ,X,O,O,O
LSIOJTZ,X,O,O,X
LSIOJZT,X,O,O,X
LSIOZTJ,X,O,O,O
LSIOZJT,X,X,O,O
LSJTIZO,X,O,X,X
LSJTIOZ,X,O,O,X
LSJTZIO,X,O,X,X
LSJTZOI,X,O,X,X
LSJTOIZ,X,O,O,X
LSJTOZI,X,O,O,X
LSJITZO,X,O,X,X
LSJITOZ,X,O,O,X
LSJIZTO,X,O,X,X
LSJIZOT,X,O,X,X
LSJIOTZ,X,O,O,X
LSJIOZT,X,O,O,X
LSJZTIO,X,O,X,X
LSJZTOI,X,O,X,X
LSJZITO,X,O,X,X
LSJZIOT,X,O,X,X
LSJZOTI,X,O,X,X
LSJZOIT,X,O,X,X
LSJOTIZ,X,O,O,X
LSJOTZI,X,O,O,X
LSJOITZ,X,O,O,X
LSJOIZT,X,O,O,X
LSJOZTI,X,O,O,X
LSJOZIT,X,O,O,X
LSZTIJO,X,O,X,O
LSZTIOJ,X,O,X,O
LSZTJIO,X,O,X,O
LSZTJOI,X,O,X,O
LSZTOIJ,X,O,X,O
LSZTOJI,X,X,X,O
LSZITJO,X,O,X,O
LSZITOJ,X,O,X,O
LSZIJTO,X,O,X,O
LSZIJOT,X,O,X,O
LSZIOTJ,X,O,X,O
LSZIOJT,X,X,X,O
LSZJTIO,X,O,X,O
LSZJTOI,X,O,X,O
LSZJITO,X,O,X,O
LSZJIOT,X,O,X,O
LSZJOTI,X,O,X,O
LSZJOIT,X,O,X,O
LSZOTIJ,X,O,X,O
LSZOTJI,X,X,X,O
LSZOITJ,X,O,X,O
LSZOIJT,X,X,X,O
LSZOJTI,X,X,X,O
LSZOJIT,X,X,X,O
LSOTIJZ,X,O,O,X
LSOTIZJ,X,O,O,O
LSOTJIZ,X,O,O,X
LSOTJZI,X,O,O,X
LSOTZIJ,X,O,O,O
LSOTZJI,X,X,O,O
LSOITJZ,X,O,O,X
LSOITZJ,X,O,O,O
LSOIJTZ,X,O,O,X
LSOIJZT,X,O,O,X
LSOIZTJ,X,O,O,O
LSOIZJT,X,X,O,O
LSOJTIZ,X,O,O,X
LSOJTZI,X,O,O,X
LSOJITZ,X,O,O,X
LSOJIZT,X,O,O,X
LSOJZTI,X,O,O,X
LSOJZIT,X,O,O,X
LSOZTIJ,X,O,O,O
LSOZTJI,X,X,O,O
LSOZITJ,X,O,O,O
LSOZIJT,X,X,O,O
LSOZJTI,X,X,O,O
LSOZJIT,X,X,O,O
LZTIJSO,O,X,X,O
LZTIJOS,O,X,X,X
LZTISJO,O,X,X,O
LZTISOJ,O,X,X,O
LZTIOJS,O,X,X,X
LZTIOSJ,O,X,X,X
LZTJISO,O,X,X,O
LZTJIOS,O,X,X,X
LZTJSIO,O,X,X,O
LZTJSOI,O,X,X,O
LZTJOIS,O,X,X,X
LZTJOSI,O,X,X,X
LZTSIJO,O,X,X,O
LZTSIOJ,O,X,X,O
LZTSJIO,O,X,X,O
LZTSJOI,O,X,X,O
LZTSOIJ,O,X,X,O
LZTSOJI,O,X,X,O
LZTOIJS,O,X,X,X
LZTOISJ,O,X,X,X
LZTOJIS,O,X,X,X
LZTOJSI,O,X,X,X
LZTOSIJ,O,X,X,X
LZTOSJI,O,X,X,X
LZITJSO,O,X,X,O
LZITJOS,O,X,X,X
LZITSJO,O,X,X,O
LZITSOJ,O,X,X,O
LZITOJS,O,X,X,X
LZITOSJ,O,X,X,X
LZIJTSO,O,X,X,O
LZIJTOS,O,X,X,X
LZIJSTO,O,X,X,O
LZIJSOT,O,X,X,O
LZIJOTS,O,X,X,X
LZIJOST,O,X,X,X
LZISTJO,O,X,X,O
LZISTOJ,O,X,X,O
LZISJTO,O,X,X,O
LZISJOT,O,X,X,O
LZISOTJ,O,X,X,O
LZISOJT,O,X,X,O
LZIOTJS,O,X,X,X
LZIOTSJ,O,X,X,X
LZIOJTS,O,X,X,X
LZIOJST,O,X,X,X
LZIOSTJ,O,X,X,X
LZIOSJT,O,X,X,X
LZJTISO,O,X,X,O
LZJTIOS,O,X,X,X
LZJTSIO,O,X,X,O
LZJTSOI,O,X,X,O
LZJTOIS,O,X,X,X
LZJTOSI,O,X,X,X
LZJITSO,O,X,X,O
LZJITOS,O,X,X,X
LZJISTO,O,X,X,O
LZJISOT,O,X,X,O
LZJIOTS,O,X,X,X
LZJIOST,O,X,X,X
LZJSTIO,O,X,X,O
LZJSTOI,O,X,X,O
LZJSITO,O,X,X,O
LZJSIOT,O,X,X,O
LZJSOTI,O,X,X,O
LZJSOIT,O,X,X,O
LZJOTIS,O,X,X,X
LZJOTSI,O,X,X,X
LZJOITS,O,X,X,X
LZJOIST,O,X,X,X
LZJOSTI,O,X,X,X
LZJOSIT,O,X,X,X
LZSTIJO,O,X,X,O
LZSTIOJ,O,X,X,O
LZSTJIO,O,X,X,O
LZSTJOI,O,X,X,O
LZSTOIJ,O,X,X,O
LZSTOJI,O,X,X,O
LZSITJO,O,X,X,O
LZSITOJ,O,X,X,O
LZSIJTO,O,X,X,O
LZSIJOT,O,X,X,O
LZSIOTJ,O,X,X,O
LZSIOJT,O,X,X,O
LZSJTIO,O,X,X,O
LZSJTOI,O,X,X,O
LZSJITO,O,X,X,O
LZSJIOT,O,X,X,O
LZSJOTI,O,X,X,O
LZSJOIT,O,X,X,O
LZSOTIJ,O,X,X,O
LZSOTJI,O,X,X,O
LZSOITJ,O,X,X,O
LZSOIJT,O,X,X,O
LZSOJTI,O,X,X,O
LZSOJIT,O,X,X,O
LZOTIJS,O,X,X,X
LZOTISJ,O,X,X,X
LZOTJIS,O,X,X,X
LZOTJSI,O,X,X,X
LZOTSIJ,O,X,X,X
LZOTSJI,O,X,X,X
LZOITJS,O,X,X,X
LZOITSJ,O,X,X,X
LZOIJTS,O,X,X,X
LZOIJST,O,X,X,X
LZOISTJ,O,X,X,X
LZOISJT,O,X,X,X
LZOJTIS,O,X,X,X
LZOJTSI,O,X,X,X
LZOJITS,O,X,X,X
LZOJIST,O,X,X,X
LZOJSTI,O,X,X,X
LZOJSIT,O,X,X,X
LZOSTIJ,O,X,X,X
LZOSTJI,O,X,X,X
LZOSITJ,O,X,X,X
LZOSIJT,O,X,X,X
LZOSJTI,O,X,X,X
LZOSJIT,O,X,X,X
LOTIJSZ,X,X,O,X
LOTIJZS,O,X,X,X
LOTISJZ,X,O,O,X
LOTISZJ,X,O,O,X
LOTIZJS,O,X,X,X
LOTIZSJ,O,X,X,X
LOTJISZ,X,X,O,X
LOTJIZS,O,X,X,X
LOTJSIZ,X,X,O,X
LOTJSZI,X,X,O,X
LOTJZIS,O,X,X,X
LOTJZSI,O,X,X,X
LOTSIJZ,X,O,O,X
LOTSIZJ,X,O,O,X
LOTSJIZ,X,O,O,X
LOTSJZI,X,O,O,X
LOTSZIJ,X,O,O,X
LOTSZJI,X,X,O,X
LOTZIJS,O,X,X,X
LOTZISJ,O,X,X,X
LOTZJIS,O,X,X,X
LOTZJSI,O,X,X,X
LOTZSIJ,O,X,X,X
LOTZSJI,O,X,X,X
LOITJSZ,X,X,O,X
LOITJZS,O,X,X,X
LOITSJZ,X,O,O,X
LOITSZJ,X,O,O,X
LOITZJS,O,X,X,X
LOITZSJ,O,X,X,X
LOIJTSZ,X,X,O,X
LOIJTZS,O,X,X,X
LOIJSTZ,X,X,O,X
LOIJSZT,X,X,O,X
LOIJZTS,O,X,X,X
LOIJZST,O,X,X,X
LOISTJZ,X,O,O,X
LOISTZJ,X,O,O,X
LOISJTZ,X,O,O,X
LOISJZT,X,O,O,X
LOISZTJ,X,O,O,X
LOISZJT,X,X,O,X
LOIZTJS,O,X,X,X
LOIZTSJ,O,X,X,X
LOIZJTS,O,X,X,X
LOIZJST,O,X,X,X
LOIZSTJ,O,X,X,X
LOIZSJT,O,X,X,X
LOJTISZ,X,X,O,X
LOJTIZS,O,X,X,X
LOJTSIZ,X,X,O,X
LOJTSZI,X,X,O,X
LOJTZIS,O,X,X,X
LOJTZSI,O,X,X,X
LOJITSZ,X,X,O,X
LOJITZS,O,X,X,X
LOJISTZ,X,X,O,X
LOJISZT,X,X,O,X
LOJIZTS,O,X,X,X
LOJIZST,O,X,X,X
LOJSTIZ,X,X,O,X
LOJSTZI,X,X,O,X
LOJSITZ,X,X,O,X
LOJSIZT,X,X,O,X
LOJSZTI,X,X,O,X
LOJSZIT,X,X,O,X
LOJZTIS,O,X,X,X
LOJZTSI,O,X,X,X
LOJZITS,O,X,X,X
LOJZIST,O,X,X,X
LOJZSTI,O,X,X,X
LOJZSIT,O,X,X,X
LOSTIJZ,X,O,O,X
LOSTIZJ,X,O,O,X
LOSTJIZ,X,O,O,X
LOSTJZI,X,O,O,X
LOSTZIJ,X,O,O,X
LOSTZJI,X,X,O,X
LOSITJZ,X,O,O,X
LOSITZJ,X,O,O,X
LOSIJTZ,X,O,O,X
LOSIJZT,X,O,O,X
LOSIZTJ,X,O,O,X
LOSIZJT,X,X,O,X
LOSJTIZ,X,O,O,X
LOSJTZI,X,O,O,X
LOSJITZ,X,O,O,X
LOSJIZT,X,O,O,X
LOSJZTI,X,O,O,X
LOSJZIT,X,O,O,X
LOSZTIJ,X,O,O,X
LOSZTJI,X,X,O,X
LOSZITJ,X,O,O,X
LOSZIJT,X,X,O,X
LOSZJTI,X,X,O,X
LOSZJIT,X,X,O,X
LOZTIJS,O,X,X,X
LOZTISJ,O,X,X,X
LOZTJIS,O,X,X,X
LOZTJSI,O,X,X,X
LOZTSIJ,O,X,X,X
LOZTSJI,O,X,X,X
LOZITJS,O,X,X,X
LOZITSJ,O,X,X,X
LOZIJTS,O,X,X,X
LOZIJST,O,X,X,X
LOZISTJ,O,X,X,X
LOZISJT,O,X,X,X
LOZJTIS,O,X,X,X
LOZJTSI,O,X,X,X
LOZJITS,O,X,X,X
LOZJIST,O,X,X,X
LOZJSTI,O,X,X,X
LOZJSIT,O,X,X,X
LOZSTIJ,O,X,X,X
LOZSTJI,O,X,X,X
LOZSITJ,O,X,X,X
LOZSIJT,O,X,X,X
LOZSJTI,O,X,X,X
LOZSJIT,O,X,X,X
JTILSZO,X,O,X,X
JTILSOZ,X,O,O,X
JTILZSO,O,X,X,O
JTILZOS,O,X,X,X
JTILOSZ,X,O,O,X
JTILOZS,O,X,X,X
JTISLZO,X,O,X,X
JTISLOZ,X,O,O,X
JTISZLO,O,O,X,O
JTISZOL,O,O,O,O
JTISOLZ,X,O,O,X
JTISOZL,O,O,O,O
JTIZLSO,O,X,X,O
JTIZLOS,O,X,X,X
JTIZSLO,O,O,X,O
JTIZSOL,O,O,O,O
JTIZOLS,O,X,X,X
JTIZOSL,O,O,O,O
JTIOLSZ,X,O,O,X
JTIOLZS,O,X,X,X
JTIOSLZ,X,O,O,X
JTIOSZL,O,O,O,X
JTIOZLS,O,X,X,X
JTIOZSL,O,O,O,O
JTLISZO,X,O,X,X
JTLISOZ,X,O,O,X
JTLIZSO,O,X,X,O
JTLIZOS,O,X,X,X
JTLIOSZ,X,O,O,X
JTLIOZS,O,X,X,X
JTLSIZO,X,O,X,X
JTLSIOZ,X,O,O,X
JTLSZIO,X,O,X,X
JTLSZOI,X,O,X,X
JTLSOIZ,X,O,O,X
JTLSOZI,X,O,O,X
JTLZISO,O,X,X,O
JTLZIOS,O,X,X,X
JTLZSIO,O,X,X,O
JTLZSOI,O,X,X,O
JTLZOIS,O,X,X,X
JTLZOSI,O,X,X,X
JTLOISZ,X,O,O,X
JTLOIZS,O,X,X,X
JTLOSIZ,X,O,O,X
JTLOSZI,X,O,O,X
JTLOZIS,O,X,X,X
JTLOZSI,O,X,X,X
JTSILZO,X,O,X,X
JTSILOZ,X,O,O,X
JTSIZLO,O,O,X,O
JTSIZOL,O,O,O,O
JTSIOLZ,X,O,O,X
JTSIOZL,O,O,O,O
JTSLIZO,X,O,X,X
JTSLIOZ,X,O,O,X
JTSLZIO,X,O,X,X
JTSLZOI,X,O,X,X
JTSLOIZ,X,O,O,X
JTSLOZI,X,O,O,X
JTSZILO,O,O,X,O
JTSZIOL,O,O,O,O
JTSZLIO,O,O,X,O
JTSZLOI,O,O,X,O
JTSZOIL,O,O,O,O
JTSZOLI,O,O,O,O
JTSOILZ,X,O,O,X
JTSOIZL,O,O,O,O
JTSOLIZ,X,O,O,X
JTSOLZI,X,O,O,X
JTSOZIL,O,O,O,O
JTSOZLI,O,O,O,O
JTZILSO,O,X,X,O
JTZILOS,O,X,X,X
JTZISLO,O,O,X,O
JTZISOL,O,O,O,O
JTZIOLS,O,X,X,X
JTZIOSL,O,O,O,O
JTZLISO,O,X,X,O
JTZLIOS,O,X,X,X
JTZLSIO,O,X,X,O
JTZLSOI,O,X,X,O
JTZLOIS,O,X,X,X
JTZLOSI,O,X,X,X
JTZSILO,O,O,X,O
JTZSIOL,O,O,O,O
JTZSLIO,O,O,X,O
JTZSLOI,O,O,X,O
JTZSOIL,O,O,O,O
JTZSOLI,O,O,O,O
JTZOILS,O,X,X,X
JTZOISL,O,O,O,O
JTZOLIS,O,X,X,X
JTZOLSI,O,X,X,X
JTZOSIL,O,O,O,O
JTZOSLI,O,O,O,O
JTOILSZ,X,O,O,X
JTOILZS,O,X,X,X
JTOISLZ,X,O,O,X
JTOISZL,O,O,O,X
JTOIZLS,O,X,X,X
JTOIZSL,O,O,O,O
JTOLISZ,X,O,O,X
JTOLIZS,O,X,X,X
JTOLSIZ,X,O,O,X
JTOLSZI,X,O,O,X
JTOLZIS,O,X,X,X
JTOLZSI,O,X,X,X
JTOSILZ,X,O,O,X
JTOSIZL,O,O,O,X
JTOSLIZ,X,O,O,X
JTOSLZI,X,O,O,X
JTOSZIL,O,O,O,X
JTOSZLI,O,O,O,X
JTOZILS,O,X,X,X
JTOZISL,O,O,O,O
JTOZLIS,O,X,X,X
JTOZLSI,O,X,X,X
JTOZSIL,O,O,O,O
JTOZSLI,O,O,O,O
JITLSZO,X,O,X,X
JITLSOZ,X,O,O,X
JITLZSO,O,X,X,O
JITLZOS,O,X,X,X
JITLOSZ,X,O,O,X
JITLOZS,O,X,X,X
JITSLZO,X,O,X,X
JITSLOZ,X,O,O,X
JITSZLO,O,O,X,O
JITSZOL,O,O,O,O
JITSOLZ,X,O,O,X
JITSOZL,O,O,O,O
JITZLSO,O,X,X,O
JITZLOS,O,X,X,X
JITZSLO,O,O,X,O
JITZSOL,O,O,O,O
JITZOLS,O,X,X,X
JITZOSL,O,O,O,O
JITOLSZ,X,O,O,X
JITOLZS,O,X,X,X
JITOSLZ,X,O,O,X
JITOSZL,O,O,O,X
JITOZLS,O,X,X,X
JITOZSL,O,O,O,O
JILTSZO,X,O,X,X
JILTSOZ,X,O,O,X
JILTZSO,O,X,X,O
JILTZOS,O,X,X,X
JILTOSZ,X,O,O,X
JILTOZS,O,X,X,X
JILSTZO,X,O,X,X
JILSTOZ,X,O,O,X
JILSZTO,X,O,X,X
JILSZOT,X,O,X,X
JILSOTZ,X,O,O,X
JILSOZT,X,O,O,X
JILZTSO,O,X,X,O
JILZTOS,O,X,X,X
JILZSTO,O,X,X,O
JILZSOT,O,X,X,O
JILZOTS,O,X,X,X
JILZOST,O,X,X,X
JILOTSZ,X,O,O,X
JILOTZS,O,X,X,X
JILOSTZ,X,O,O,X
JILOSZT,X,O,O,X
JILOZTS,O,X,X,X
JILOZST,O,X,X,X
JISTLZO,X,O,X,X
JISTLOZ,X,O,O,X
JISTZLO,O,O,X,O
JISTZOL,O,O,O,O
JISTOLZ,X,O,O,X
JISTOZL,O,O,O,O
JISLTZO,X,O,X,X
JISLTOZ,X,O,O,X
JISLZTO,X,O,X,X
JISLZOT,X,O,X,X
JISLOTZ,X,O,O,X
JISLOZT,X,O,O,X
JISZTLO,O,O,X,O
JISZTOL,O,O,O,O
JISZLTO,O,O,X,O
JISZLOT,O,O,X,O
JISZOTL,O,O,O,O
JISZOLT,O,O,O,O
JISOTLZ,X,O,O,X
JISOTZL,O,O,O,O
JISOLTZ,X,O,O,X
JISOLZT,X,O,O,X
JISOZTL,O,O,O,O
JISOZLT,O,O,O,O
JIZTLSO,O,X,X,O
JIZTLOS,O,X,X,X
JIZTSLO,O,O,X,O
JIZTSOL,O,O,O,O
JIZTOLS,O,X,X,X
JIZTOSL,O,O,O,O
JIZLTSO,O,X,X,O
JIZLTOS,O,X,X,X
JIZLSTO,O,X,X,O
JIZLSOT,O,X,X,O
JIZLOTS,O,X,X,X
JIZLOST,O,X,X,X
JIZSTLO,O,O,X,O
JIZSTOL,O,O,O,O
JIZSLTO,O,O,X,O
JIZSLOT,O,O,X,O
JIZSOTL,O,O,O,O
JIZSOLT,O,O,O,O
JIZOTLS,O,X,X,X
JIZOTSL,O,O,O,O
JIZOLTS,O,X,X,X
JIZOLST,O,X,X,X
JIZOSTL,O,O,O,O
JIZOSLT,O,O,O,O
JIOTLSZ,X,O,O,X
JIOTLZS,O,X,X,X
JIOTSLZ,X,O,O,X
JIOTSZL,O,O,O,X
JIOTZLS,O,X,X,X
JIOTZSL,O,O,O,O
JIOLTSZ,X,O,O,X
JIOLTZS,O,X,X,X
JIOLSTZ,X,O,O,X
JIOLSZT,X,O,O,X
JIOLZTS,O,X,X,X
JIOLZST,O,X,X,X
JIOSTLZ,X,O,O,X
JIOSTZL,O,O,O,X
JIOSLTZ,X,O,O,X
JIOSLZT,X,O,O,X
JIOSZTL,O,O,O,X
JIOSZLT,O,O,O,X
JIOZTLS,O,X,X,X
JIOZTSL,O,O,O,O
JIOZLTS,O,X,X,X
JIOZLST,O,X,X,X
JIOZSTL,O,O,O,O
JIOZSLT,O,O,O,O
JLTISZO,X,O,X,X
JLTISOZ,X,O,O,X
JLTIZSO,O,X,X,O
JLTIZOS,O,X,X,X
JLTIOSZ,X,O,O,X
JLTIOZS,O,X,X,X
JLTSIZO,X,O,X,X
JLTSIOZ,X,O,O,X
JLTSZIO,X,O,X,X
JLTSZOI,X,O,X,X
JLTSOIZ,X,O,O,X
JLTSOZI,X,O,O,X
JLTZISO,O,X,X,O
JLTZIOS,O,X,X,X
JLTZSIO,O,X,X,O
JLTZSOI,O,X,X,O
JLTZOIS,O,X,X,X
JLTZOSI,O,X,X,X
JLTOISZ,X,O,O,X
JLTOIZS,O,X,X,X
JLTOSIZ,X,O,O,X
JLTOSZI,X,O,O,X
JLTOZIS,O,X,X,X
JLTOZSI,O,X,X,X
JLITSZO,X,O,X,X
JLITSOZ,X,O,O,X
JLITZSO,O,X,X,O
JLITZOS,O,X,X,X
JLITOSZ,X,O,O,X
JLITOZS,O,X,X,X
JLISTZO,X,O,X,X
JLISTOZ,X,O,O,X
JLISZTO,X,O,X,X
JLISZOT,X,O,X,X
JLISOTZ,X,O,O,X
JLISOZT,X,O,O,X
JLIZTSO,O,X,X,O
JLIZTOS,O,X,X,X
JLIZSTO,O,X,X,O
JLIZSOT,O,X,X,O
JLIZOTS,O,X,X,X
JLIZOST,O,X,X,X
JLIOTSZ,X,O,O,X
JLIOTZS,O,X,X,X
JLIOSTZ,X,O,O,X
JLIOSZT,X,O,O,X
JLIOZTS,O,X,X,X
JLIOZST,O,X,X,X
JLSTIZO,X,O,X,X
JLSTIOZ,X,O,O,X
JLSTZIO,X,O,X,X
JLSTZOI,X,O,X,X
JLSTOIZ,X,O,O,X
JLSTOZI,X,O,O,X
JLSITZO,X,O,X,X
JLSITOZ,X,O,O,X
JLSIZTO,X,O,X,X
JLSIZOT,X,O,X,X
JLSIOTZ,X,O,O,X
JLSIOZT,X,O,O,X
JLSZTIO,X,O,X,X
JLSZTOI,X,O,X,X
JLSZITO,X,O,X,X
JLSZIOT,X,O,X,X
JLSZOTI,X,O,X,X
JLSZOIT,X,O,X,X
JLSOTIZ,X,O,O,X
JLSOTZI,X,O,O,X
JLSOITZ,X,O,O,X
JLSOIZT,X,O,O,X
JLSOZTI,X,O,O,X
JLSOZIT,X,O,O,X
JLZTISO,O,X,X,O
JLZTIOS,O,X,X,X
JLZTSIO,O,X,X,O
JLZTSOI,O,X,X,O
JLZTOIS,O,X,X,X
JLZTOSI,O,X,X,X
JLZITSO,O,X,X,O
JLZITOS,O,X,X,X
JLZISTO,O,X,X,O
JLZISOT,O,X,X,O
JLZIOTS,O,X,X,X
JLZIOST,O,X,X,X
JLZSTIO,O,X,X,O
JLZSTOI,O,X,X,O
JLZSITO,O,X,X,O
JLZSIOT,O,X,X,O
JLZSOTI,O,X,X,O
JLZSOIT,O,X,X,O
JLZOTIS,O,X,X,X
JLZOTSI,O,X,X,X
JLZOITS,O,X,X,X
JLZOIST,O,X,X,X
JLZOSTI,O,X,X,X
JLZOSIT,O,X,X,X
JLOTISZ,X,O,O,X
JLOTIZS,O,X,X,X
JLOTSIZ,X,O,O,X
JLOTSZI,X,O,O,X
JLOTZIS,O,X,X,X
JLOTZSI,O,X,X,X
JLOITSZ,X,O,O,X
JLOITZS,O,X,X,X
JLOISTZ,X,O,O,X
JLOISZT,X,O,O,X
JLOIZTS,O,X,X,X
JLOIZST,O,X,X,X
JLOSTIZ,X,O,O,X
JLOSTZI,X,O,O,X
JLOSITZ,X,O,O,X
JLOSIZT,X,O,O,X
JLOSZTI,X,O,O,X
JLOSZIT,X,O,O,X
JLOZTIS,O,X,X,X
JLOZTSI,O,X,X,X
JLOZITS,O,X,X,X
JLOZIST,O,X,X,X
JLOZSTI,O,X,X,X
JLOZSIT,O,X,X,X
JSTILZO,X,O,X,X
JSTILOZ,X,O,O,X
JSTIZLO,O,O,X,O
JSTIZOL,O,O,O,O
JSTIOLZ,X,O,O,X
JSTIOZL,O,O,O,O
JSTLIZO,X,O,X,X
JSTLIOZ,X,O,O,X
JSTLZIO,X,O,X,X
JSTLZOI,X,O,X,X
JSTLOIZ,X,O,O,X
JSTLOZI,X,O,O,X
JSTZILO,O,O,X,O
JSTZIOL,O,O,O,O
JSTZLIO,O,O,X,O
JSTZLOI,O,O,X,O
JSTZOIL,O,O,O,O
JSTZOLI,O,O,O,O
JSTOILZ,X,O,O,X
JSTOIZL,O,O,O,O
JSTOLIZ,X,O,O,X
JSTOLZI,X,O,O,X
JSTOZIL,O,O,O,O
JSTOZLI,O,O,O,O
JSITLZO,X,O,X,X
JSITLOZ,X,O,O,X
JSITZLO,O,O,X,O
JSITZOL,O,O,O,O
JSITOLZ,X,O,O,X
JSITOZL,O,O,O,O
JSILTZO,X,O,X,X
JSILTOZ,X,O,O,X
JSILZTO,X,O,X,X
JSILZOT,X,O,X,X
JSILOTZ,X,O,O,X
JSILOZT,X,O,O,X
