sequence,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBcmBZoB6?sBXnBWwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhF6lB/mBRiBm?nBVwB0sB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFxgBqqB/rBF?nB8sBmsB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFVmBGiBZoB/?sB0lBSwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBWnBZoB8?qB6sB3rB
JTZOSIL,O,O,X,X,X
JTZOSLI,O,O,X,X,X
JTOILSZ,O,X,X,X,X
JTOILZS,O,X,X,X,X
JTOISLZ,O,X,X,X,X
JTOISZL,O,X,X,X,X
JTOIZLS,O,X,X,X,X
JTOIZSL,O,X,X,X,X
JTOLISZ,O,X,X,X,X
JTOLIZS,O,X,X,X,X
JTOLSIZ,O,O,X,X,X
JTOLSZI,O,O,X,X,X
JTOLZIS,O,O,X,X,X
JTOLZSI,O,O,X,X,X
JTOSILZ,O,O,X,X,X
JTOSIZL,O,X,X,X,X
JTOSLIZ,O,O,X,X,X
JTOSLZI,O,O,X,X,X
JTOSZIL,O,O,X,X,X
JTOSZLI,O,O,X,X,X
JTOZILS,O,O,X,X,X
JTOZISL,O,O,X,X,X
JTOZLIS,O,O,X,X,X
JTOZLSI,O,O,X,X,X
JTOZSIL,O,O,X,X,X
JTOZSLI,O,O,X,X,X
JITLSZO,O,X,X,X,X
JITLSOZ,O,X,X,X,X
JITLZSO,O,X,X,X,X
JITLZOS,O,X,X,X,X
JITLOSZ,O,X,X,X,X
JITLOZS,O,X,X,X,X
JITSLZO,O,X,X,X,X
JITSLOZ,O,X,X,X,X
JITSZLO,O,X,X,X,X
JITSZOL,O,X,X,X,X
JITSOLZ,O,X,X,X,X
JITSOZL,O,X,X,X,X
JITZLSO,O,X,X,X,X
JITZLOS,O,X,X,X,X
JITZSLO,O,X,X,X,X
JITZSOL,O,X,X,X,X
JITZOLS,O,X,X,X,X
JITZOSL,O,X,X,X,X
JITOLSZ,O,X,X,X,X
JITOLZS,O,X,X,X,X
JITOSLZ,O,X,X,X,X
JITOSZL,O,X,X,X,X
JITOZLS,O,X,X,X,X
JITOZSL,O,X,X,X,X
JILTSZO,O,X,X,O,X
JILTSOZ,O,X,X,O,X
JILTZSO,O,X,X,X,X
JILTZOS,O,X,X,X,X
JILTOSZ,O,X,X,O,X
JILTOZS,O,X,X,X,X
JILSTZO,O,X,X,O,X
JILSTOZ,O,X,X,O,X
JILSZTO,O,X,O,O,X
JILSZOT,O,X,O,O,X
JILSOTZ,O,X,X,O,X
JILSOZT,O,X,O,O,X
JILZTSO,O,X,X,X,X
JILZTOS,O,X,X,X,X
JILZSTO,O,X,O,X,X
JILZSOT,O,X,O,X,X
JILZOTS,O,X,X,X,X
JILZOST,O,X,O,X,X
JILOTSZ,O,X,X,O,X
JILOTZS,O,X,X,X,X
JILOSTZ,O,X,X,O,X
JILOSZT,O,X,O,O,X
JILOZTS,O,X,X,X,X
JILOZST,O,X,O,X,X
JISTLZO,O,X,X,O,X
JISTLOZ,O,X,X,O,X
JISTZLO,O,X,X,X,O
JISTZOL,O,X,X,X,O
JISTOLZ,O,X,X,O,X
JISTOZL,O,X,X,X,O
JISLTZO,O,X,X,O,X
JISLTOZ,O,X,X,O,X
JISLZTO,O,X,X,O,O
JISLZOT,O,X,X,O,O
JISLOTZ,O,X,X,O,X
JISLOZT,O,X,X,O,O
JISZTLO,O,X,X,X,O
JISZTOL,O,X,X,X,O
JISZLTO,O,X,X,O,O
JISZLOT,O,X,X,O,O
JISZOTL,O,X,X,X,O
JISZOLT,O,X,X,O,O
JISOTLZ,O,X,X,O,X
JISOTZL,O,X,X,X,O
JISOLTZ,O,X,X,O,X
JISOLZT,O,X,X,O,O
JISOZTL,O,X,X,X,O
JISOZLT,O,X,X,O,O
JIZTLSO,O,X,X,X,X
JIZTLOS,O,X,X,X,X
JIZTSLO,O,X,X,X,X
JIZTSOL,O,X,X,X,X
JIZTOLS,O,X,X,X,X
JIZTOSL,O,X,X,X,X
JIZLTSO,O,X,X,X,X
JIZLTOS,O,X,X,X,X
JIZLSTO,O,X,O,X,X
JIZLSOT,O,X,O,X,X
JIZLOTS,O,X,X,X,X
JIZLOST,O,X,O,X,X
JIZSTLO,O,X,X,X,X
JIZSTOL,O,X,X,X,X
JIZSLTO,O,X,X,X,X
JIZSLOT,O,X,X,X,X
JIZSOTL,O,X,X,X,X
JIZSOLT,O,X,X,X,X
JIZOTLS,O,X,X,X,X
JIZOTSL,O,X,X,X,X
JIZOLTS,O,X,X,X,X
JIZOLST,O,X,O,X,X
JIZOSTL,O,X,X,X,X
JIZOSLT,O,X,X,X,X
JIOTLSZ,O,X,X,X,X
JIOTLZS,O,X,X,X,X
JIOTSLZ,O,X,X,X,X
JIOTSZL,O,X,X,X,X
JIOTZLS,O,X,X,X,X
JIOTZSL,O,X,X,X,X
JIOLTSZ,O,X,X,O,X
JIOLTZS,O,X,X,X,X
JIOLSTZ,O,X,X,O,X
JIOLSZT,O,X,O,O,X
JIOLZTS,O,X,X,X,X
JIOLZST,O,X,O,X,X
JIOSTLZ,O,X,X,O,X
JIOSTZL,O,X,X,X,O
JIOSLTZ,O,X,X,O,X
JIOSLZT,O,X,X,O,O
JIOSZTL,O,X,X,X,O
JIOSZLT,O,X,X,O,O
JIOZTLS,O,X,X,X,X
JIOZTSL,O,X,X,X,X
JIOZLTS,O,X,X,X,X
JIOZLST,O,X,O,X,X
JIOZSTL,O,X,X,X,X
JIOZSLT,O,X,X,X,X
JLTISZO,O,X,X,O,X
JLTISOZ,O,X,X,O,X
JLTIZSO,O,X,X,X,X
JLTIZOS,O,X,X,X,X
JLTIOSZ,O,X,X,O,X
JLTIOZS,O,X,X,X,X
JLTSIZO,O,X,X,O,X
JLTSIOZ,O,X,X,O,X
JLTSZIO,O,X,X,O,X
JLTSZOI,O,X,X,O,X
JLTSOIZ,O,X,X,O,X
JLTSOZI,O,X,X,O,X
JLTZISO,O,X,X,X,X
JLTZIOS,O,X,X,X,X
JLTZSIO,O,X,X,X,X
JLTZSOI,O,X,X,X,X
JLTZOIS,O,X,X,X,X
JLTZOSI,O,X,X,X,X
JLTOISZ,O,X,X,O,X
JLTOIZS,O,X,X,X,X
JLTOSIZ,O,X,X,O,X
JLTOSZI,O,X,X,O,X
JLTOZIS,O,X,X,X,X
JLTOZSI,O,X,X,X,X
JLITSZO,O,X,X,O,X
JLITSOZ,O,X,X,O,X
JLITZSO,O,X,X,X,X
JLITZOS,O,X,X,X,X
JLITOSZ,O,X,X,O,X
JLITOZS,O,X,X,X,X
JLISTZO,O,X,X,O,X
JLISTOZ,O,X,X,O,X
JLISZTO,O,X,O,O,X
JLISZOT,O,X,O,O,X
JLISOTZ,O,X,X,O,X
JLISOZT,O,X,O,O,X
JLIZTSO,O,X,X,X,X
JLIZTOS,O,X,X,X,X
JLIZSTO,O,X,O,X,X
JLIZSOT,O,X,O,X,X
JLIZOTS,O,X,X,X,X
JLIZOST,O,X,O,X,X
JLIOTSZ,O,X,X,O,X
JLIOTZS,O,X,X,X,X
JLIOSTZ,O,X,X,O,X
JLIOSZT,O,X,O,O,X
JLIOZTS,O,X,X,X,X
JLIOZST,O,X,O,X,X
JLSTIZO,O,X,X,O,X
JLSTIOZ,O,X,X,O,X
JLSTZIO,O,X,X,O,X
JLSTZOI,O,X,X,O,X
JLSTOIZ,O,X,X,O,X
JLSTOZI,O,X,X,O,X
JLSITZO,O,X,X,O,X
JLSITOZ,O,X,X,O,X
JLSIZTO,O,X,O,O,X
JLSIZOT,O,X,O,O,X
JLSIOTZ,O,X,X,O,X
JLSIOZT,O,X,O,O,X
JLSZTIO,O,X,O,O,X
JLSZTOI,O,X,O,O,X
JLSZITO,O,X,O,O,X
JLSZIOT,O,X,O,O,X
JLSZOTI,O,X,O,O,X
JLSZOIT,O,X,O,O,X
JLSOTIZ,O,X,X,O,X
JLSOTZI,O,X,X,O,X
JLSOITZ,O,X,X,O,X
JLSOIZT,O,X,O,O,X
JLSOZTI,O,X,O,O,X
JLSOZIT,O,X,O,O,X
JLZTISO,O,O,X,X,X
JLZTIOS,O,O,X,X,X
JLZTSIO,O,O,X,X,X
JLZTSOI,O,O,X,X,X
JLZTOIS,O,O,X,X,X
JLZTOSI,O,O,X,X,X
JLZITSO,O,O,X,X,X
JLZITOS,O,O,X,X,X
JLZISTO,O,X,O,X,X
JLZISOT,O,X,O,X,X
JLZIOTS,O,O,X,X,X
JLZIOST,O,X,O,X,X
JLZSTIO,O,O,O,X,X
JLZSTOI,O,O,O,X,X
JLZSITO,O,X,O,X,X
JLZSIOT,O,X,O,X,X
JLZSOTI,O,O,O,X,X
JLZSOIT,O,X,O,X,X
JLZOTIS,O,O,X,X,X
JLZOTSI,O,O,X,X,X
JLZOITS,O,O,X,X,X
JLZOIST,O,X,O,X,X
JLZOSTI,O,O,O,X,X
JLZOSIT,O,X,O,X,X
JLOTISZ,O,X,X,O,X
JLOTIZS,O,X,X,X,X
JLOTSIZ,O,X,X,O,X
JLOTSZI,O,X,X,O,X
JLOTZIS,O,X,X,X,X
JLOTZSI,O,X,X,X,X
JLOITSZ,O,X,X,O,X
JLOITZS,O,X,X,X,X
JLOISTZ,O,X,X,O,X
JLOISZT,O,X,O,O,X
JLOIZTS,O,X,X,X,X
JLOIZST,O,X,O,X,X
JLOSTIZ,O,X,X,O,X
JLOSTZI,O,X,X,O,X
JLOSITZ,O,X,X,O,X
JLOSIZT,O,X,O,O,X
JLOSZTI,O,X,O,O,X
JLOSZIT,O,X,O,O,X
JLOZTIS,O,O,X,X,X
JLOZTSI,O,O,X,X,X
JLOZITS,O,O,X,X,X
JLOZIST,O,X,O,X,X
JLOZSTI,O,O,O,X,X
JLOZSIT,O,X,O,X,X
JSTILZO,O,X,X,O,X
JSTILOZ,O,X,X,O,X
JSTIZLO,O,X,X,X,O
JSTIZOL,O,X,X,X,O
JSTIOLZ,O,X,X,O,X
JSTIOZL,O,X,X,X,O
JSTLIZO,O,X,X,O,X
JSTLIOZ,O,X,X,O,X
JSTLZIO,O,X,X,O,X
JSTLZOI,O,X,X,O,X
JSTLOIZ,O,X,X,O,X
JSTLOZI,O,X,X,O,X
JSTZILO,O,X,X,X,O
JSTZIOL,O,X,X,X,O
JSTZLIO,O,X,X,X,O
JSTZLOI,O,X,X,X,O
JSTZOIL,O,X,X,X,O
JSTZOLI,O,X,X,X,O
JSTOILZ,O,X,X,O,X
JSTOIZL,O,X,X,X,O
JSTOLIZ,O,X,X,O,X
JSTOLZI,O,X,X,O,X
JSTOZIL,O,X,X,X,O
JSTOZLI,O,X,X,X,O
JSITLZO,O,X,X,O,X
JSITLOZ,O,X,X,O,X
JSITZLO,O,X,X,X,O
JSITZOL,O,X,X,X,O
JSITOLZ,O,X,X,O,X
JSITOZL,O,X,X,X,O
JSILTZO,O,X,X,O,X
JSILTOZ,O,X,X,O,X
JSILZTO,O,X,X,O,O
JSILZOT,O,X,X,O,O
JSILOTZ,O,X,X,O,X
JSILOZT,O,X,X,O,O
JSIZTLO,O,X,X,X,O
JSIZTOL,O,X,X,X,O
JSIZLTO,O,X,X,O,O
JSIZLOT,O,X,X,O,O
JSIZOTL,O,X,X,X,O
JSIZOLT,O,X,X,O,O
JSIOTLZ,O,X,X,O,X
JSIOTZL,O,X,X,X,O
JSIOLTZ,O,X,X,O,X
JSIOLZT,O,X,X,O,O
JSIOZTL,O,X,X,X,O
JSIOZLT,O,X,X,O,O
JSLTIZO,O,X,X,O,X
JSLTIOZ,O,X,X,O,X
JSLTZIO,O,X,X,O,X
JSLTZOI,O,X,X,O,X
JSLTOIZ,O,X,X,O,X
JSLTOZI,O,X,X,O,X
JSLITZO,O,X,X,O,X
JSLITOZ,O,X,X,O,X
JSLIZTO,O,X,X,O,O
JSLIZOT,O,X,X,O,O
JSLIOTZ,O,X,X,O,X
JSLIOZT,O,X,X,O,O
JSLZTIO,O,X,X,O,O
JSLZTOI,O,X,X,O,O
JSLZITO,O,X,X,O,O
JSLZIOT,O,X,X,O,O
JSLZOTI,O,X,X,O,O
JSLZOIT,O,X,X,O,O
JSLOTIZ,O,X,X,O,X
JSLOTZI,O,X,X,O,X
JSLOITZ,O,X,X,O,X
JSLOIZT,O,X,X,O,O
JSLOZTI,O,X,X,O,O
JSLOZIT,O,X,X,O,O
JSZTILO,O,X,X,X,O
JSZTIOL,O,X,X,X,O
JSZTLIO,O,X,X,X,O
JSZTLOI,O,X,X,X,O
JSZTOIL,O,X,X,X,O
JSZTOLI,O,X,X,X,O
JSZITLO,O,X,X,X,O
JSZITOL,O,X,X,X,O
JSZILTO,O,X,X,O,O
JSZILOT,O,X,X,O,O
JSZIOTL,O,X,X,X,O
JSZIOLT,O,X,X,O,O
JSZLTIO,O,X,X,O,O
JSZLTOI,O,X,X,O,O
JSZLITO,O,X,X,O,O
JSZLIOT,O,X,X,O,O
JSZLOTI,O,X,X,O,O
JSZLOIT,O,X,X,O,O
JSZOTIL,O,X,X,X,O
JSZOTLI,O,X,X,X,O
JSZOITL,O,X,X,X,O
JSZOILT,O,X,X,O,O
JSZOLTI,O,X,X,O,O
JSZOLIT,O,X,X,O,O
JSOTILZ,O,X,X,O,X
JSOTIZL,O,X,X,X,O
JSOTLIZ,O,X,X,O,X
JSOTLZI,O,X,X,O,X
JSOTZIL,O,X,X,X,O
JSOTZLI,O,X,X,X,O
JSOITLZ,O,X,X,O,X
JSOITZL,O,X,X,X,O
JSOILTZ,O,X,X,O,X
JSOILZT,O,X,X,O,O
JSOIZTL,O,X,X,X,O
JSOIZLT,O,X,X,O,O
JSOLTIZ,O,X,X,O,X
JSOLTZI,O,X,X,O,X
JSOLITZ,O,X,X,O,X
JSOLIZT,O,X,X,O,O
JSOLZTI,O,X,X,O,O
JSOLZIT,O,X,X,O,O
JSOZTIL,O,X,X,X,O
JSOZTLI,O,X,X,X,O
JSOZITL,O,X,X,X,O
JSOZILT,O,X,X,O,O
JSOZLTI,O,X,X,O,O
JSOZLIT,O,X,X,O,O
JZTILSO,O,O,X,X,X
JZTILOS,O,O,X,X,X
JZTISLO,O,O,X,X,X
JZTISOL,O,O,X,X,X
JZTIOLS,O,O,X,X,X
JZTIOSL,O,O,X,X,X
JZTLISO,O,O,X,X,X
JZTLIOS,O,O,X,X,X
JZTLSIO,O,O,X,X,X
JZTLSOI,O,O,X,X,X
JZTLOIS,O,O,X,X,X
JZTLOSI,O,O,X,X,X
JZTSILO,O,O,X,X,X
JZTSIOL,O,O,X,X,X
JZTSLIO,O,O,X,X,X
JZTSLOI,O,O,X,X,X
JZTSOIL,O,O,X,X,X
JZTSOLI,O,O,X,X,X
JZTOILS,O,O,X,X,X
JZTOISL,O,O,X,X,X
JZTOLIS,O,O,X,X,X
JZTOLSI,O,O,X,X,X
JZTOSIL,O,O,X,X,X
JZTOSLI,O,O,X,X,X
JZITLSO,O,O,X,X,X
JZITLOS,O,O,X,X,X
JZITSLO,O,O,X,X,X
JZITSOL,O,O,X,X,X
JZITOLS,O,O,X,X,X
JZITOSL,O,O,X,X,X
JZILTSO,O,O,X,X,X
JZILTOS,O,O,X,X,X
JZILSTO,O,X,O,X,X
JZILSOT,O,X,O,X,X
JZILOTS,O,O,X,X,X
JZILOST,O,X,O,X,X
JZISTLO,O,X,X,X,X
JZISTOL,O,X,X,X,X
JZISLTO,O,X,X,X,X
JZISLOT,O,X,X,X,X
JZISOTL,O,X,X,X,X
JZISOLT,O,X,X,X,X
JZIOTLS,O,O,X,X,X
JZIOTSL,O,O,X,X,X
JZIOLTS,O,O,X,X,X
JZIOLST,O,X,O,X,X
JZIOSTL,O,X,X,X,X
JZIOSLT,O,X,X,X,X
JZLTISO,O,O,X,X,X
JZLTIOS,O,O,X,X,X
JZLTSIO,O,O,X,X,X
JZLTSOI,O,O,X,X,X
JZLTOIS,O,O,X,X,X
JZLTOSI,O,O,X,X,X
JZLITSO,O,O,X,X,X
JZLITOS,O,O,X,X,X
JZLISTO,O,X,O,X,X
JZLISOT,O,X,O,X,X
JZLIOTS,O,O,X,X,X
JZLIOST,O,X,O,X,X
JZLSTIO,O,O,O,X,X
JZLSTOI,O,O,O,X,X
JZLSITO,O,X,O,X,X
JZLSIOT,O,X,O,X,X
JZLSOTI,O,O,O,X,X
JZLSOIT,O,X,O,X,X
JZLOTIS,O,O,X,X,X
JZLOTSI,O,O,X,X,X
JZLOITS,O,O,X,X,X
JZLOIST,O,X,O,X,X
JZLOSTI,O,O,O,X,X
JZLOSIT,O,X,O,X,X
JZSTILO,O,O,X,X,X
JZSTIOL,O,O,X,X,X
JZSTLIO,O,O,X,X,X
JZSTLOI,O,O,X,X,X
JZSTOIL,O,O,X,X,X
JZSTOLI,O,O,X,X,X
JZSITLO,O,X,X,X,X
JZSITOL,O,X,X,X,X
JZSILTO,O,X,X,X,X
JZSILOT,O,X,X,X,X
JZSIOTL,O,X,X,X,X
JZSIOLT,O,X,X,X,X
JZSLTIO,O,O,X,X,X
JZSLTOI,O,O,X,X,X
JZSLITO,O,X,X,X,X
JZSLIOT,O,X,X,X,X
JZSLOTI,O,O,X,X,X
JZSLOIT,O,X,X,X,X
JZSOTIL,O,O,X,X,X
JZSOTLI,O,O,X,X,X
JZSOITL,O,X,X,X,X
JZSOILT,O,X,X,X,X
JZSOLTI,O,O,X,X,X
JZSOLIT,O,X,X,X,X
JZOTILS,O,O,X,X,X
JZOTISL,O,O,X,X,X
JZOTLIS,O,O,X,X,X
JZOTLSI,O,O,X,X,X
JZOTSIL,O,O,X,X,X
JZOTSLI,O,O,X,X,X
JZOITLS,O,O,X,X,X
JZOITSL,O,O,X,X,X
JZOILTS,O,O,X,X,X
JZOILST,O,X,O,X,X
JZOISTL,O,X,X,X,X
JZOISLT,O,X,X,X,X
JZOLTIS,O,O,X,X,X
JZOLTSI,O,O,X,X,X
JZOLITS,O,O,X,X,X
JZOLIST,O,X,O,X,X
JZOLSTI,O,O,O,X,X
JZOLSIT,O,X,O,X,X
JZOSTIL,O,O,X,X,X
JZOSTLI,O,O,X,X,X
JZOSITL,O,X,X,X,X
JZOSILT,O,X,X,X,X
JZOSLTI,O,O,X,X,X
JZOSLIT,O,X,X,X,X
JOTILSZ,O,X,X,X,X
JOTILZS,O,X,X,X,X
JOTISLZ,O,X,X,X,X
JOTISZL,O,X,X,X,X
JOTIZLS,O,X,X,X,X
JOTIZSL,O,X,X,X,X
JOTLISZ,O,X,X,X,X
JOTLIZS,O,X,X,X,X
JOTLSIZ,O,O,X,X,X
JOTLSZI,O,O,X,X,X
JOTLZIS,O,O,X,X,X
JOTLZSI,O,O,X,X,X
JOTSILZ,O,O,X,X,X
JOTSIZL,O,X,X,X,X
JOTSLIZ,O,O,X,X,X
JOTSLZI,O,O,X,X,X
JOTSZIL,O,O,X,X,X
JOTSZLI,O,O,X,X,X
JOTZILS,O,O,X,X,X
JOTZISL,O,O,X,X,X
JOTZLIS,O,O,X,X,X
JOTZLSI,O,O,X,X,X
JOTZSIL,O,O,X,X,X
JOTZSLI,O,O,X,X,X
JOITLSZ,O,X,X,X,X
JOITLZS,O,X,X,X,X
JOITSLZ,O,X,X,X,X
JOITSZL,O,X,X,X,X
JOITZLS,O,X,X,X,X
JOITZSL,O,X,X,X,X
JOILTSZ,O,X,X,O,X
JOILTZS,O,X,X,X,X
JOILSTZ,O,X,X,O,X
JOILSZT,O,X,O,O,X
JOILZTS,O,X,X,X,X
JOILZST,O,X,O,X,X
JOISTLZ,O,X,X,O,X
JOISTZL,O,X,X,X,O
JOISLTZ,O,X,X,O,X
JOISLZT,O,X,X,O,O
JOISZTL,O,X,X,X,O
JOISZLT,O,X,X,O,O
JOIZTLS,O,X,X,X,X
JOIZTSL,O,X,X,X,X
JOIZLTS,O,X,X,X,X
JOIZLST,O,X,O,X,X
JOIZSTL,O,X,X,X,X
JOIZSLT,O,X,X,X,X
JOLTISZ,O,X,X,O,X
JOLTIZS,O,X,X,X,X
JOLTSIZ,O,X,X,O,X
JOLTSZI,O,X,X,O,X
JOLTZIS,O,X,X,X,X
JOLTZSI,O,X,X,X,X
JOLITSZ,O,X,X,O,X
JOLITZS,O,X,X,X,X
JOLISTZ,O,X,X,O,X
JOLISZT,O,X,O,O,X
JOLIZTS,O,X,X,X,X
JOLIZST,O,X,O,X,X
JOLSTIZ,O,X,X,O,X
JOLSTZI,O,X,X,O,X
JOLSITZ,O,X,X,O,X
JOLSIZT,O,X,O,O,X
JOLSZTI,O,X,O,O,X
JOLSZIT,O,X,O,O,X
JOLZTIS,O,O,X,X,X
JOLZTSI,O,O,X,X,X
JOLZITS,O,O,X,X,X
JOLZIST,O,X,O,X,X
JOLZSTI,O,O,O,X,X
JOLZSIT,O,X,O,X,X
JOSTILZ,O,X,X,O,X
JOSTIZL,O,X,X,X,O
JOSTLIZ,O,X,X,O,X
JOSTLZI,O,X,X,O,X
JOSTZIL,O,X,X,X,O
JOSTZLI,O,X,X,X,O
JOSITLZ,O,X,X,O,X
JOSITZL,O,X,X,X,O
JOSILTZ,O,X,X,O,X
JOSILZT,O,X,X,O,O
JOSIZTL,O,X,X,X,O
JOSIZLT,O,X,X,O,O
JOSLTIZ,O,X,X,O,X
JOSLTZI,O,X,X,O,X
JOSLITZ,O,X,X,O,X
JOSLIZT,O,X,X,O,O
JOSLZTI,O,X,X,O,O
JOSLZIT,O,X,X,O,O
JOSZTIL,O,X,X,X,O
JOSZTLI,O,X,X,X,O
JOSZITL,O,X,X,X,O
JOSZILT,O,X,X,O,O
JOSZLTI,O,X,X,O,O
JOSZLIT,O,X,X,O,O
JOZTILS,O,O,X,X,X
JOZTISL,O,O,X,X,X
JOZTLIS,O,O,X,X,X
JOZTLSI,O,O,X,X,X
JOZTSIL,O,O,X,X,X
JOZTSLI,O,O,X,X,X
JOZITLS,O,O,X,X,X
JOZITSL,O,O,X,X,X
JOZILTS,O,O,X,X,X
JOZILST,O,X,O,X,X
JOZISTL,O,X,X,X,X
JOZISLT,O,X,X,X,X
JOZLTIS,O,O,X,X,X
JOZLTSI,O,O,X,X,X
JOZLITS,O,O,X,X,X
JOZLIST,O,X,O,X,X
JOZLSTI,O,O,O,X,X
JOZLSIT,O,X,O,X,X
JOZSTIL,O,O,X,X,X
JOZSTLI,O,O,X,X,X
JOZSITL,O,X,X,X,X
JOZSILT,O,X,X,X,X
JOZSLTI,O,O,X,X,X
JOZSLIT,O,X,X,X,X
STILJZO,O,X,X,O,X
STILJOZ,O,O,X,O,X
STILZJO,X,O,X,O,X
STILZOJ,X,O,X,O,X
STILOJZ,O,O,X,O,X
STILOZJ,X,O,X,O,X
STIJLZO,O,X,X,O,X
STIJLOZ,O,O,X,O,X
STIJZLO,O,X,X,X,O
STIJZOL,O,X,X,X,O
STIJOLZ,O,O,X,O,X
STIJOZL,O,X,X,X,O
STIZLJO,X,O,X,X,O
STIZLOJ,X,O,X,X,O
STIZJLO,X,O,X,X,O
STIZJOL,X,O,X,X,O
STIZOLJ,X,O,X,X,O
STIZOJL,X,O,X,X,O
STIOLJZ,O,O,X,O,X
STIOLZJ,X,O,X,O,X
STIOJLZ,O,O,X,O,X
STIOJZL,O,X,X,X,O
STIOZLJ,X,O,X,X,O
STIOZJL,X,O,X,X,O
STLIJZO,O,X,X,O,X
STLIJOZ,O,O,X,O,X
STLIZJO,X,O,X,O,X
STLIZOJ,X,O,X,O,X
STLIOJZ,O,O,X,O,X
STLIOZJ,X,O,X,O,X
STLJIZO,O,X,X,O,X
STLJIOZ,O,O,X,O,X
STLJZIO,O,O,X,O,X
STLJZOI,O,O,X,O,X
STLJOIZ,O,O,X,O,X
STLJOZI,O,O,X,O,X
STLZIJO,X,O,X,O,X
STLZIOJ,X,O,X,O,X
STLZJIO,X,O,X,O,X
STLZJOI,X,O,X,O,X
STLZOIJ,X,O,X,O,X
STLZOJI,X,O,X,O,X
STLOIJZ,O,O,X,O,X
STLOIZJ,X,O,X,O,X
STLOJIZ,O,O,X,O,X
STLOJZI,O,O,X,O,X
STLOZIJ,X,O,X,O,X
STLOZJI,X,O,X,O,X
STJILZO,O,X,X,O,X
STJILOZ,O,O,X,O,X
STJIZLO,O,X,X,X,O
STJIZOL,O,X,X,X,O
STJIOLZ,O,O,X,O,X
STJIOZL,O,X,X,X,O
STJLIZO,O,X,X,O,X
STJLIOZ,O,O,X,O,X
STJLZIO,O,O,X,O,X
STJLZOI,O,O,X,O,X
STJLOIZ,O,O,X,O,X
STJLOZI,O,O,X,O,X
STJZILO,O,O,X,X,O
STJZIOL,O,O,X,X,O
STJZLIO,O,O,X,X,O
STJZLOI,O,O,X,X,O
STJZOIL,O,O,X,X,O
STJZOLI,O,O,X,X,O
STJOILZ,O,O,X,O,X
STJOIZL,O,X,X,X,O
STJOLIZ,O,O,X,O,X
STJOLZI,O,O,X,O,X
STJOZIL,O,O,X,X,O
STJOZLI,O,O,X,X,O
STZILJO,X,O,X,X,O
STZILOJ,X,O,X,X,O
STZIJLO,X,O,X,X,O
STZIJOL,X,O,X,X,O
STZIOLJ,X,O,X,X,O
STZIOJL,X,O,X,X,O
STZLIJO,X,O,X,X,O
STZLIOJ,X,O,X,X,O
STZLJIO,X,O,X,X,O
STZLJOI,X,O,X,X,O
STZLOIJ,X,O,X,X,O
STZLOJI,X,O,X,X,O
STZJILO,X,O,X,X,O
STZJIOL,X,O,X,X,O
STZJLIO,X,O,X,X,O
STZJLOI,X,O,X,X,O
STZJOIL,X,O,X,X,O
STZJOLI,X,O,X,X,O
STZOILJ,X,O,X,X,O
STZOIJL,X,O,X,X,O
STZOLIJ,X,O,X,X,O
STZOLJI,X,O,X,X,O
STZOJIL,X,O,X,X,O
STZOJLI,X,O,X,X,O
STOILJZ,O,O,X,O,X
STOILZJ,X,O,X,O,X
STOIJLZ,O,O,X,O,X
STOIJZL,O,X,X,X,O
STOIZLJ,X,O,X,X,O
STOIZJL,X,O,X,X,O
STOLIJZ,O,O,X,O,X
STOLIZJ,X,O,X,O,X
STOLJIZ,O,O,X,O,X
STOLJZI,O,O,X,O,X
STOLZIJ,X,O,X,O,X
STOLZJI,X,O,X,O,X
STOJILZ,O,O,X,O,X
STOJIZL,O,X,X,X,O
STOJLIZ,O,O,X,O,X
STOJLZI,O,O,X,O,X
STOJZIL,O,O,X,X,O
STOJZLI,O,O,X,X,O
STOZILJ,X,O,X,X,O
STOZIJL,X,O,X,X,O
STOZLIJ,X,O,X,X,O
STOZLJI,X,O,X,X,O
STOZJIL,X,O,X,X,O
STOZJLI,X,O,X,X,O
SITLJZO,O,X,X,O,X
SITLJOZ,O,X,X,O,X
SITLZJO,X,X,X,O,X
SITLZOJ,X,X,X,O,X
SITLOJZ,O,X,X,O,X
SITLOZJ,X,X,X,O,X
SITJLZO,O,X,X,O,X
SITJLOZ,O,X,X,O,X
SITJZLO,O,X,X,X,O
SITJZOL,O,X,X,X,O
SITJOLZ,O,X,X,O,X
SITJOZL,O,X,X,X,O
SITZLJO,X,X,X,X,O
SITZLOJ,X,X,X,X,O
SITZJLO,X,X,X,X,O
SITZJOL,X,X,X,X,O
SITZOLJ,X,X,X,X,O
SITZOJL,X,X,X,X,O
SITOLJZ,O,X,X,O,X
SITOLZJ,X,X,X,O,X
SITOJLZ,O,X,X,O,X
SITOJZL,O,X,X,X,O
SITOZLJ,X,X,X,X,O
SITOZJL,X,X,X,X,O
SILTJZO,O,X,X,O,X
SILTJOZ,O,X,X,O,X
SILTZJO,X,X,O,O,X
SILTZOJ,X,X,O,O,X
SILTOJZ,O,X,X,O,X
SILTOZJ,X,X,O,O,X
SILJTZO,O,X,X,O,X
