sequence,v115@ThB8BeA8AeB8AeB8BeE8JeZEJvhFukB1lB0hB6nBTj?BXrB
IZJLTSO,X
IZJLTOS,X
IZJLSTO,X
IZJLSOT,X
IZJLOTS,X
IZJLOST,X
IZJSTLO,X
IZJSTOL,X
IZJSLTO,X
IZJSLOT,X
IZJSOTL,X
IZJSOLT,X
IZJOTLS,X
IZJOTSL,X
IZJOLTS,X
IZJOLST,X
IZJOSTL,X
IZJOSLT,X
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,X
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,X
IZSLTOJ,X
IZSLJTO,X
IZSLJOT,X
IZSLOTJ,X
IZSLOJT,X
IZSJTLO,X
IZSJTOL,X
IZSJLTO,X
IZSJLOT,X
IZSJOTL,X
IZSJOLT,X
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,X
IZSOLJT,X
IZSOJTL,X
IZSOJLT,X
IZOTLJS,O
IZOTLSJ,X
IZOTJLS,O
IZOTJSL,X
IZOTSLJ,X
IZOTSJL,X
IZOLTJS,O
IZOLTSJ,X
IZOLJTS,X
IZOLJST,X
IZOLSTJ,X
IZOLSJT,X
IZOJTLS,X
IZOJTSL,X
IZOJLTS,X
IZOJLST,X
IZOJSTL,X
IZOJSLT,X
IZOSTLJ,X
IZOSTJL,X
IZOSLTJ,X
IZOSLJT,X
IZOSJTL,X
IZOSJLT,X
IOTLJSZ,X
IOTLJZS,O
IOTLSJZ,X
IOTLSZJ,X
IOTLZJS,O
IOTLZSJ,X
IOTJLSZ,X
IOTJLZS,O
IOTJSLZ,X
IOTJSZL,X
IOTJZLS,O
IOTJZSL,X
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,X
IOTSJZL,X
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,O
IOTZLSJ,X
IOTZJLS,O
IOTZJSL,X
IOTZSLJ,X
IOTZSJL,X
IOLTJSZ,X
IOLTJZS,O
IOLTSJZ,X
IOLTSZJ,X
IOLTZJS,O
