sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TSIOJZL,X,O,X,X,O,X,O,X
TSIOZLJ,O,O,X,X,O,X,O,X
TSIOZJL,O,O,X,X,O,X,O,X
TSLIJZO,X,O,O,O,O,X,O,O
TSLIJOZ,O,O,O,O,O,X,O,X
TSLIZJO,O,O,O,O,O,O,O,O
TSLIZOJ,O,O,X,O,O,O,O,X
TSLIOJZ,O,O,O,O,X,X,O,X
TSLIOZJ,O,O,X,O,X,O,O,X
TSLJIZO,X,O,O,O,O,X,O,O
TSLJIOZ,O,O,O,O,O,X,O,X
TSLJZIO,O,O,O,O,O,X,O,O
TSLJZOI,O,O,O,O,O,X,O,O
TSLJOIZ,O,O,O,O,O,X,O,X
TSLJOZI,O,O,O,O,O,X,O,O
TSLZIJO,O,O,O,O,O,O,O,O
TSLZIOJ,O,O,X,O,O,O,O,X
TSLZJIO,O,O,O,O,O,O,O,O
TSLZJOI,O,O,O,O,O,O,O,O
TSLZOIJ,O,O,X,O,O,O,O,X
TSLZOJI,O,O,X,O,O,O,O,X
TSLOIJZ,O,O,O,O,X,X,O,X
TSLOIZJ,O,O,X,O,X,O,O,X
TSLOJIZ,O,O,O,O,O,X,O,X
TSLOJZI,O,O,O,O,O,X,O,X
TSLOZIJ,O,O,X,O,O,O,O,X
TSLOZJI,O,O,X,O,O,O,O,X
TSJILZO,X,O,O,X,O,X,O,O
TSJILOZ,O,O,O,X,O,X,O,X
TSJIZLO,X,O,X,X,O,X,O,O
TSJIZOL,X,O,X,X,O,X,O,O
TSJIOLZ,O,O,O,X,O,X,O,X
TSJIOZL,X,O,X,X,O,X,O,X
TSJLIZO,X,O,O,X,O,X,O,O
TSJLIOZ,O,O,O,X,O,X,O,X
TSJLZIO,O,O,O,X,O,X,O,O
TSJLZOI,O,O,O,X,O,X,O,O
TSJLOIZ,O,O,O,X,O,X,O,X
TSJLOZI,O,O,O,X,O,X,O,O
TSJZILO,O,O,X,X,O,X,O,O
TSJZIOL,O,O,X,X,O,X,O,O
TSJZLIO,O,O,O,X,O,X,O,O
TSJZLOI,O,O,O,X,O,X,O,O
TSJZOIL,O,O,X,X,O,X,O,O
TSJZOLI,O,O,O,X,O,X,O,O
TSJOILZ,O,O,O,X,O,X,O,X
TSJOIZL,X,O,X,X,O,X,O,X
