sequence,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjB6pBOpBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjBOpB6pBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je/EJvhFalBThB?xiBlnB2uBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?KpBfqBlnBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je2EJvhFThBxiB?lnB3kByuBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?VsBipB0pB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jei/IvhFThBxiB?cpBeqBVsB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeTBJvhFxiBikB?lnB3pBUsBmpB
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,O,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X
ISLTJZO,O,O,X,O,X,X,X,X
ISLTJOZ,X,X,X,O,O,X,X,X
ISLTZJO,O,O,X,O,X,O,X,X
ISLTZOJ,O,X,X,O,X,O,X,X
ISLTOJZ,O,X,X,O,O,X,X,X
ISLTOZJ,O,X,X,O,X,O,X,O
ISLJTZO,O,O,X,O,X,X,X,X
ISLJTOZ,X,X,X,O,O,O,X,X
ISLJZTO,O,O,X,O,X,X,X,X
ISLJZOT,X,X,X,O,X,X,X,X
ISLJOTZ,O,O,X,O,X,O,X,X
ISLJOZT,O,O,X,O,X,X,X,X
ISLZTJO,O,O,X,O,X,X,X,O
ISLZTOJ,O,X,X,O,X,X,X,O
ISLZJTO,O,O,X,O,X,X,X,X
ISLZJOT,X,X,X,O,X,X,X,X
ISLZOTJ,O,X,X,O,X,X,X,O
ISLZOJT,O,X,X,O,X,X,X,X
ISLOTJZ,O,O,X,O,X,X,X,X
ISLOTZJ,O,O,X,O,X,X,X,O
ISLOJTZ,O,O,X,O,X,O,X,X
ISLOJZT,O,O,X,O,X,X,X,X
ISLOZTJ,O,O,X,O,X,X,X,O
ISLOZJT,O,O,X,O,X,X,X,X
ISJTLZO,O,O,O,X,X,X,X,X
ISJTLOZ,X,X,O,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,O,X
ISJTZOL,X,O,O,X,X,X,O,X
ISJTOLZ,X,O,O,X,X,X,X,X
ISJTOZL,X,O,O,X,X,X,O,X
ISJLTZO,O,O,O,X,X,X,X,X
ISJLTOZ,X,X,O,X,X,X,X,X
ISJLZTO,O,O,O,X,X,X,X,X
ISJLZOT,X,X,O,X,X,X,X,X
ISJLOTZ,O,O,O,X,X,X,X,X
ISJLOZT,O,O,O,X,X,X,X,X
ISJZTLO,O,O,O,X,X,X,O,X
ISJZTOL,X,O,O,X,X,X,O,X
ISJZLTO,O,O,O,X,X,X,O,X
ISJZLOT,X,X,O,X,X,X,O,X
ISJZOTL,X,O,O,X,X,X,X,X
ISJZOLT,X,O,O,X,X,X,O,X
ISJOTLZ,O,O,O,X,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X,X,X
ISJOLZT,O,O,O,X,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X,X
ISJOZLT,O,O,O,X,X,X,O,X
ISZTLJO,O,O,X,X,X,X,X,O
ISZTLOJ,O,X,X,X,X,X,X,O
ISZTJLO,O,O,X,X,X,X,X,O
ISZTJOL,X,O,X,X,X,X,X,O
ISZTOLJ,O,X,X,X,X,X,X,O
ISZTOJL,X,O,X,X,X,X,X,O
ISZLTJO,O,O,X,O,X,X,X,O
ISZLTOJ,O,X,X,O,X,X,X,O
ISZLJTO,O,O,X,O,X,X,X,X
ISZLJOT,X,X,X,O,X,X,X,X
ISZLOTJ,O,X,X,O,X,X,X,O
ISZLOJT,O,X,X,O,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X,X
ISZJTOL,X,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X,X
ISZJLOT,X,X,O,X,X,X,X,X
ISZJOTL,X,O,O,X,X,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,O
ISZOTJL,O,O,X,X,X,X,X,O
ISZOLTJ,O,O,X,O,X,X,X,O
ISZOLJT,O,O,X,O,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,O
ISOTJLZ,O,O,X,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,X,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,O
ISOLJTZ,O,O,X,O,X,O,X,X
ISOLJZT,O,O,X,O,X,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,O
ISOLZJT,O,O,X,O,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X,X
ISOJLZT,O,O,O,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,O,X
ISOZTLJ,O,O,X,X,X,X,X,O
ISOZTJL,O,O,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,X,X,X,O
ISOZLJT,O,O,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,X
IZTLJSO,X,X,O,O,O,O,X,X
IZTLJOS,X,X,O,O,O,O,X,X
IZTLSJO,O,X,X,O,O,O,X,O
IZTLSOJ,O,X,X,O,O,O,X,O
IZTLOJS,X,X,O,O,O,O,X,X
IZTLOSJ,O,X,X,O,O,O,X,O
IZTJLSO,X,X,O,O,O,X,O,X
IZTJLOS,X,X,O,O,O,X,O,X
IZTJSLO,X,O,O,X,X,X,O,O
IZTJSOL,X,O,O,X,X,X,O,O
IZTJOLS,X,X,O,O,O,X,O,X
IZTJOSL,X,O,O,X,X,X,O,O
IZTSLJO,O,O,X,O,O,X,X,O
IZTSLOJ,O,X,X,O,O,X,X,O
IZTSJLO,O,O,O,X,X,X,X,O
IZTSJOL,X,O,O,X,X,X,X,O
IZTSOLJ,O,X,X,O,O,X,X,O
IZTSOJL,X,O,O,X,X,X,X,O
IZTOLJS,X,X,O,O,O,O,X,X
IZTOLSJ,O,X,X,O,O,O,X,O
IZTOJLS,X,X,O,O,O,X,O,X
IZTOJSL,X,O,O,X,X,X,O,O
IZTOSLJ,O,O,X,O,O,X,X,O
IZTOSJL,O,O,O,X,X,X,X,O
IZLTJSO,X,X,X,O,O,O,X,X
IZLTJOS,X,X,X,O,O,O,X,X
IZLTSJO,O,X,X,O,O,O,X,X
IZLTSOJ,O,X,X,O,O,O,X,X
IZLTOJS,X,X,X,O,O,O,X,X
IZLTOSJ,O,X,X,O,O,O,X,X
IZLJTSO,X,X,X,X,O,X,X,X
IZLJTOS,X,X,X,X,O,O,X,X
IZLJSTO,X,X,O,O,X,X,X,X
IZLJSOT,X,X,O,O,X,X,X,X
IZLJOTS,X,X,X,X,O,O,X,X
IZLJOST,X,X,O,O,X,X,X,X
IZLSTJO,O,X,X,O,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,X,X
IZLSJTO,O,X,X,O,X,X,X,X
IZLSJOT,X,X,X,O,X,X,X,X
IZLSOTJ,O,X,X,O,X,X,X,X
IZLSOJT,O,X,X,O,X,X,X,X
IZLOTJS,X,X,X,O,O,X,X,X
IZLOTSJ,O,X,X,O,O,X,X,X
IZLOJTS,X,X,X,X,O,O,X,X
IZLOJST,X,X,O,O,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,X
IZLOSJT,O,X,X,O,X,X,X,X
IZJTLSO,X,X,O,X,X,X,O,X
IZJTLOS,X,X,O,X,X,X,O,X
IZJTSLO,X,O,O,X,X,X,O,X
IZJTSOL,X,O,O,X,X,X,O,X
IZJTOLS,X,X,O,X,X,X,O,X
IZJTOSL,X,O,O,X,X,X,O,X
IZJLTSO,X,X,X,X,X,X,O,X
IZJLTOS,X,X,X,X,X,X,O,X
IZJLSTO,X,X,O,O,X,X,O,X
IZJLSOT,X,X,O,O,X,X,O,X
IZJLOTS,X,X,X,X,X,X,O,X
IZJLOST,X,X,O,O,X,X,O,X
IZJSTLO,X,O,O,X,X,X,O,X
IZJSTOL,X,O,O,X,X,X,O,X
IZJSLTO,X,O,O,X,X,X,O,X
IZJSLOT,X,X,O,X,X,X,O,X
IZJSOTL,X,O,O,X,X,X,X,X
IZJSOLT,X,O,O,X,X,X,O,X
IZJOTLS,X,X,O,X,X,X,O,X
IZJOTSL,X,O,O,X,X,X,O,X
IZJOLTS,X,X,X,X,X,X,O,X
IZJOLST,X,X,O,O,X,X,O,X
IZJOSTL,X,O,O,X,X,X,X,X
IZJOSLT,X,O,O,X,X,X,O,X
IZSTLJO,O,O,X,X,X,X,X,O
IZSTLOJ,O,X,X,X,X,X,X,O
IZSTJLO,O,O,X,X,X,X,X,O
IZSTJOL,X,O,X,X,X,X,X,O
IZSTOLJ,O,X,X,X,X,X,X,O
IZSTOJL,X,O,X,X,X,X,X,O
IZSLTJO,O,O,X,O,X,X,X,O
IZSLTOJ,O,X,X,O,X,X,X,O
IZSLJTO,O,O,X,O,X,X,X,X
IZSLJOT,X,X,X,O,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,O
IZSLOJT,O,X,X,O,X,X,X,X
IZSJTLO,O,O,O,X,X,X,X,X
IZSJTOL,X,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,X,X
IZSJOTL,X,O,O,X,X,X,X,X
IZSJOLT,X,O,O,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,O
IZSOTJL,O,O,X,X,X,X,X,O
IZSOLTJ,O,O,X,O,X,X,X,O
IZSOLJT,O,O,X,O,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X,X
IZOTLJS,X,X,O,O,O,X,X,X
IZOTLSJ,O,X,X,O,O,X,X,O
IZOTJLS,X,X,O,O,O,X,X,X
IZOTJSL,X,O,O,X,X,X,X,O
IZOTSLJ,O,O,X,O,O,X,X,O
IZOTSJL,O,O,O,X,X,X,X,O
IZOLTJS,X,X,X,O,O,X,X,X
IZOLTSJ,O,X,X,O,O,X,X,X
IZOLJTS,X,X,X,X,O,O,X,X
IZOLJST,X,X,O,O,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,X
IZOLSJT,O,X,X,O,X,X,X,X
IZOJTLS,X,X,O,X,X,X,O,X
IZOJTSL,X,O,O,X,X,X,X,X
IZOJLTS,X,X,X,X,X,X,O,X
IZOJLST,X,X,O,O,X,X,O,X
IZOJSTL,X,O,O,X,X,X,X,X
IZOJSLT,X,O,O,X,X,X,O,X
IZOSTLJ,O,O,X,X,X,X,X,O
IZOSTJL,O,O,X,X,X,X,X,O
IZOSLTJ,O,O,X,O,X,X,X,O
IZOSLJT,O,O,X,O,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X
IOTLJSZ,O,O,O,O,O,O,X,X
IOTLJZS,X,X,X,X,O,O,O,X
IOTLSJZ,O,O,X,O,O,O,X,X
IOTLSZJ,O,O,X,O,X,O,X,X
IOTLZJS,X,X,X,X,O,O,X,X
IOTLZSJ,O,X,X,O,X,O,X,X
IOTJLSZ,O,O,O,O,O,X,X,X
IOTJLZS,X,X,X,X,O,O,O,X
IOTJSLZ,O,O,O,X,X,X,X,X
IOTJSZL,O,O,O,X,X,X,O,X
IOTJZLS,X,X,X,X,X,X,O,X
IOTJZSL,X,O,O,X,X,X,O,X
IOTSLJZ,O,O,X,O,O,X,X,X
IOTSLZJ,O,O,X,O,X,O,X,O
IOTSJLZ,O,O,O,X,X,X,X,X
IOTSJZL,O,O,O,X,X,X,O,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X
IOTZLJS,X,X,X,X,O,O,X,X
IOTZLSJ,O,X,X,O,X,O,X,X
IOTZJLS,X,X,X,X,X,X,O,X
IOTZJSL,X,O,O,X,X,X,O,X
IOTZSLJ,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,O,O,X,X
IOLTJZS,X,X,X,X,O,O,X,X
IOLTSJZ,O,O,X,O,O,O,X,X
IOLTSZJ,O,O,X,O,X,O,X,X
IOLTZJS,X,X,X,X,O,O,X,X
IOLTZSJ,O,X,X,O,X,O,X,X
IOLJTSZ,O,O,X,X,O,O,X,X
IOLJTZS,X,X,X,X,O,O,X,X
IOLJSTZ,O,O,O,O,X,O,X,X
IOLJSZT,O,O,O,O,X,X,X,X
IOLJZTS,X,X,X,X,O,O,O,X
IOLJZST,X,X,X,X,X,X,O,X
IOLSTJZ,O,O,X,O,X,X,X,X
IOLSTZJ,O,O,X,O,X,X,X,X
IOLSJTZ,O,O,X,O,X,O,X,X
IOLSJZT,O,O,X,O,X,X,X,X
IOLSZTJ,O,O,X,O,X,X,X,X
IOLSZJT,O,O,X,O,X,X,X,X
IOLZTJS,X,X,X,O,O,X,X,X
IOLZTSJ,O,X,X,O,O,X,X,X
IOLZJTS,X,X,X,X,O,O,X,X
IOLZJST,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X
IOJTLSZ,O,O,O,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,O,X
IOJTSLZ,O,O,O,X,X,X,X,X
IOJTSZL,O,O,O,X,X,X,O,X
IOJTZLS,X,X,X,X,X,X,O,X
IOJTZSL,X,O,O,X,X,X,O,X
IOJLTSZ,O,O,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,O,X,X
IOJLSTZ,O,O,O,O,X,O,X,X
IOJLSZT,O,O,O,O,X,X,X,X
IOJLZTS,X,X,X,X,X,O,O,X
IOJLZST,X,X,X,X,X,X,O,X
IOJSTLZ,O,O,O,X,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X
IOJSLZT,O,O,O,X,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X
IOJSZLT,O,O,O,X,X,X,O,X
IOJZTLS,X,X,O,X,X,X,O,X
IOJZTSL,X,O,O,X,X,X,O,X
IOJZLTS,X,X,X,X,X,X,O,X
IOJZLST,X,X,O,X,X,X,O,X
IOJZSTL,X,O,O,X,X,X,X,X
IOJZSLT,X,O,O,X,X,X,O,X
IOSTLJZ,O,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,O
IOSTJLZ,O,O,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,O
IOSLJTZ,O,O,X,O,X,O,X,X
IOSLJZT,O,O,X,O,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,O
IOSLZJT,O,O,X,O,X,X,X,X
IOSJTLZ,O,O,O,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X,X
IOSJLZT,O,O,O,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X,X
IOSJZLT,O,O,O,X,X,X,O,X
IOSZTLJ,O,O,X,X,X,X,X,O
IOSZTJL,O,O,X,X,X,X,X,O
IOSZLTJ,O,O,X,X,X,X,X,O
IOSZLJT,O,O,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X
IOZTLJS,X,X,O,O,O,X,X,X
IOZTLSJ,O,X,X,O,O,X,X,O
IOZTJLS,X,X,O,O,O,X,X,X
IOZTJSL,X,O,O,X,X,X,X,O
IOZTSLJ,O,O,X,O,O,X,X,O
IOZTSJL,O,O,O,X,X,X,X,O
IOZLTJS,X,X,X,O,O,X,X,X
IOZLTSJ,O,X,X,O,O,X,X,X
IOZLJTS,X,X,X,X,O,O,X,X
IOZLJST,X,X,O,O,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,X,X
IOZLSJT,O,X,X,O,X,X,X,X
IOZJTLS,X,X,O,X,X,X,O,X
IOZJTSL,X,O,O,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,O,X
IOZJLST,X,X,O,O,X,X,O,X
IOZJSTL,X,O,O,X,X,X,X,X
IOZJSLT,X,O,O,X,X,X,O,X
IOZSTLJ,O,O,X,X,X,X,X,O
IOZSTJL,O,O,X,X,X,X,X,O
IOZSLTJ,O,O,X,O,X,X,X,O
IOZSLJT,O,O,X,O,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X
LTIJSZO,O,O,O,O,X,X,X,X
LTIJSOZ,X,X,O,O,O,O,X,X
LTIJZSO,X,X,X,X,X,O,O,X
LTIJZOS,X,X,X,X,O,O,O,X
LTIJOSZ,O,O,O,O,O,O,X,X
LTIJOZS,X,X,X,X,O,O,O,X
LTISJZO,O,O,X,O,X,O,X,X
LTISJOZ,X,X,X,O,O,O,X,X
LTISZJO,O,O,X,O,X,O,X,X
LTISZOJ,O,X,X,O,X,O,X,X
LTISOJZ,O,X,X,O,O,O,X,X
LTISOZJ,O,X,X,O,X,O,X,X
LTIZJSO,X,X,X,X,X,O,X,X
LTIZJOS,X,X,X,X,O,O,X,X
LTIZSJO,O,X,X,O,X,O,X,X
LTIZSOJ,O,X,X,O,X,O,X,X
LTIZOJS,X,X,X,X,O,O,X,X
LTIZOSJ,O,X,X,O,X,O,X,X
LTIOJSZ,O,O,O,O,O,O,X,X
LTIOJZS,X,X,X,X,O,O,O,X
LTIOSJZ,O,O,X,O,O,O,X,X
LTIOSZJ,O,O,X,O,X,O,X,X
LTIOZJS,X,X,X,X,O,O,X,X
LTIOZSJ,O,X,X,O,X,O,X,X
LTJISZO,O,O,O,O,X,O,X,X
LTJISOZ,X,X,O,O,O,O,X,X
LTJIZSO,X,X,X,X,X,O,O,X
LTJIZOS,X,X,X,X,O,O,O,X
LTJIOSZ,O,O,O,O,O,O,X,X
LTJIOZS,X,X,X,X,O,O,O,X
LTJSIZO,O,O,O,O,X,O,X,X
LTJSIOZ,X,X,O,O,O,O,X,X
LTJSZIO,O,O,O,O,X,O,X,X
LTJSZOI,X,X,O,O,X,O,X,X
LTJSOIZ,X,X,O,O,O,O,X,X
LTJSOZI,X,X,O,O,O,O,X,X
LTJZISO,X,X,X,X,O,O,O,X
LTJZIOS,X,X,X,X,O,O,O,X
LTJZSIO,X,X,X,X,O,O,O,X
LTJZSOI,X,X,X,X,O,O,O,X
LTJZOIS,X,X,X,X,O,O,O,X
LTJZOSI,X,X,X,X,O,O,O,X
LTJOISZ,O,O,O,O,O,O,X,X
LTJOIZS,X,X,X,X,O,O,O,X
LTJOSIZ,O,O,O,O,O,O,X,X
LTJOSZI,O,O,O,O,O,O,X,X
LTJOZIS,X,X,X,X,O,O,O,X
LTJOZSI,X,X,X,X,O,O,O,X
LTSIJZO,O,O,X,O,X,O,X,X
LTSIJOZ,X,X,X,O,O,O,X,X
LTSIZJO,O,O,X,O,X,O,X,X
LTSIZOJ,O,X,X,O,X,O,X,X
LTSIOJZ,O,X,X,O,O,O,X,X
LTSIOZJ,O,X,X,O,X,O,X,O
LTSJIZO,O,O,X,O,X,O,X,X
LTSJIOZ,X,X,X,O,O,O,X,X
LTSJZIO,O,O,X,O,X,O,X,X
LTSJZOI,X,X,X,O,X,O,X,X
LTSJOIZ,X,X,X,O,O,O,X,X
LTSJOZI,X,X,X,O,O,O,X,O
LTSZIJO,O,O,X,O,X,O,X,X
LTSZIOJ,O,X,X,O,X,O,X,X
LTSZJIO,O,O,X,O,X,O,X,X
LTSZJOI,X,X,X,O,X,O,X,X
LTSZOIJ,O,X,X,O,X,O,X,O
LTSZOJI,X,X,X,O,X,O,X,O
LTSOIJZ,O,X,X,O,O,O,X,X
LTSOIZJ,O,X,X,O,X,O,X,O
LTSOJIZ,O,X,X,O,O,O,X,X
LTSOJZI,O,X,X,O,O,O,X,O
LTSOZIJ,O,X,X,O,X,O,X,O
LTSOZJI,O,X,X,O,X,O,X,O
LTZIJSO,X,X,X,O,O,O,X,X
LTZIJOS,X,X,X,O,O,O,X,X
LTZISJO,O,X,X,O,O,O,X,X
LTZISOJ,O,X,X,O,O,O,X,X
LTZIOJS,X,X,X,O,O,O,X,X
LTZIOSJ,O,X,X,O,O,O,X,X
LTZJISO,X,X,X,O,O,O,X,X
LTZJIOS,X,X,X,O,O,O,X,X
LTZJSIO,X,X,X,O,O,O,X,X
LTZJSOI,X,X,X,O,O,O,X,X
LTZJOIS,X,X,X,O,O,O,X,X
LTZJOSI,X,X,X,O,O,O,X,X
LTZSIJO,O,X,X,O,O,O,X,X
LTZSIOJ,O,X,X,O,O,O,X,X
LTZSJIO,O,X,X,O,O,O,X,X
LTZSJOI,X,X,X,O,O,O,X,X
LTZSOIJ,O,X,X,O,O,O,X,X
LTZSOJI,X,X,X,O,O,O,X,X
LTZOIJS,X,X,X,O,O,O,X,X
LTZOISJ,O,X,X,O,O,O,X,X
LTZOJIS,X,X,X,O,O,O,X,X
LTZOJSI,X,X,X,O,O,O,X,X
LTZOSIJ,O,X,X,O,O,O,X,X
LTZOSJI,O,X,X,O,O,O,X,X
LTOIJSZ,O,O,O,O,O,O,X,X
LTOIJZS,X,X,X,X,O,O,O,X
LTOISJZ,O,O,X,O,O,O,X,X
LTOISZJ,O,O,X,O,X,O,X,X
LTOIZJS,X,X,X,X,O,O,X,X
LTOIZSJ,O,X,X,O,X,O,X,X
LTOJISZ,O,O,O,O,O,O,X,X
LTOJIZS,X,X,X,X,O,O,O,X
LTOJSIZ,O,O,O,O,O,O,X,X
LTOJSZI,O,O,O,O,O,O,X,X
LTOJZIS,X,X,X,X,O,O,O,X
LTOJZSI,X,X,X,X,O,O,O,X
LTOSIJZ,O,O,X,O,O,O,X,X
LTOSIZJ,O,O,X,O,X,O,X,O
LTOSJIZ,O,O,X,O,O,O,X,X
LTOSJZI,O,O,X,O,O,O,X,O
LTOSZIJ,O,O,X,O,X,O,X,O
LTOSZJI,O,O,X,O,X,O,X,O
LTOZIJS,X,X,X,O,O,O,X,X
LTOZISJ,O,X,X,O,O,O,X,X
LTOZJIS,X,X,X,O,O,O,X,X
LTOZJSI,X,X,X,O,O,O,X,X
LTOZSIJ,O,X,X,O,O,O,X,X
LTOZSJI,O,X,X,O,O,O,X,X
LITJSZO,O,O,O,O,X,X,X,X
LITJSOZ,X,X,O,O,O,O,X,X
LITJZSO,X,X,X,X,X,O,O,X
LITJZOS,X,X,X,X,O,O,O,X
LITJOSZ,O,O,O,O,O,O,X,X
LITJOZS,X,X,X,X,O,O,O,X
LITSJZO,O,O,X,O,X,O,X,X
LITSJOZ,X,X,X,O,O,O,X,X
LITSZJO,O,O,X,O,X,O,X,X
LITSZOJ,O,X,X,O,X,O,X,X
LITSOJZ,O,X,X,O,O,O,X,X
LITSOZJ,O,X,X,O,X,O,X,X
LITZJSO,X,X,X,X,X,O,X,X
LITZJOS,X,X,X,X,O,O,X,X
LITZSJO,O,X,X,O,X,O,X,X
LITZSOJ,O,X,X,O,X,O,X,X
LITZOJS,X,X,X,X,O,O,X,X
LITZOSJ,O,X,X,O,X,O,X,X
LITOJSZ,O,O,O,O,O,O,X,X
LITOJZS,X,X,X,X,O,O,O,X
LITOSJZ,O,O,X,O,O,O,X,X
LITOSZJ,O,O,X,O,X,O,X,X
LITOZJS,X,X,X,X,O,O,X,X
LITOZSJ,O,X,X,O,X,O,X,X
LIJTSZO,O,O,O,O,X,O,X,X
LIJTSOZ,X,X,O,O,O,O,X,X
LIJTZSO,X,X,X,X,X,O,O,X
LIJTZOS,X,X,X,X,O,O,O,X
LIJTOSZ,O,O,O,O,O,O,X,X
LIJTOZS,X,X,X,X,O,O,O,X
LIJSTZO,O,O,O,O,X,X,X,X
LIJSTOZ,X,X,O,O,O,O,X,X
LIJSZTO,O,O,O,O,X,X,X,X
LIJSZOT,X,X,O,O,X,X,X,X
LIJSOTZ,O,O,O,O,X,O,X,X
LIJSOZT,O,O,O,O,X,X,X,X
LIJZTSO,X,X,X,X,O,X,O,X
LIJZTOS,X,X,X,X,O,O,O,X
LIJZSTO,X,X,O,O,X,X,O,X
LIJZSOT,X,X,O,O,X,X,O,X
LIJZOTS,X,X,X,X,O,O,O,X
LIJZOST,X,X,O,O,X,X,O,X
LIJOTSZ,O,O,X,X,O,O,X,X
LIJOTZS,X,X,X,X,O,O,X,X
LIJOSTZ,O,O,O,O,X,O,X,X
LIJOSZT,O,O,O,O,X,X,X,X
LIJOZTS,X,X,X,X,O,O,O,X
LIJOZST,X,X,X,X,X,X,O,X
LISTJZO,O,O,X,O,X,X,X,X
LISTJOZ,X,X,X,O,O,X,X,X
LISTZJO,O,O,X,O,X,O,X,X
LISTZOJ,O,X,X,O,X,O,X,X
LISTOJZ,O,X,X,O,O,X,X,X
LISTOZJ,O,X,X,O,X,O,X,X
LISJTZO,O,O,X,O,X,X,X,X
LISJTOZ,X,X,X,O,O,O,X,X
LISJZTO,O,O,X,O,X,X,X,X
LISJZOT,X,X,X,O,X,X,X,X
LISJOTZ,O,O,X,O,X,O,X,X
LISJOZT,O,O,X,O,X,X,X,X
LISZTJO,O,O,X,O,X,X,X,X
LISZTOJ,O,X,X,O,X,X,X,X
LISZJTO,O,O,X,O,X,X,X,X
LISZJOT,X,X,X,O,X,X,X,X
LISZOTJ,O,X,X,O,X,X,X,X
LISZOJT,O,X,X,O,X,X,X,X
LISOTJZ,O,O,X,O,X,X,X,X
LISOTZJ,O,O,X,O,X,X,X,X
LISOJTZ,O,O,X,O,X,O,X,X
LISOJZT,O,O,X,O,X,X,X,X
LISOZTJ,O,O,X,O,X,X,X,X
LISOZJT,O,O,X,O,X,X,X,X
LIZTJSO,X,X,X,O,O,O,X,X
LIZTJOS,X,X,X,O,O,O,X,X
LIZTSJO,O,X,X,O,O,O,X,X
LIZTSOJ,O,X,X,O,O,O,X,X
LIZTOJS,X,X,X,O,O,O,X,X
LIZTOSJ,O,X,X,O,O,O,X,X
LIZJTSO,X,X,X,X,O,X,X,X
LIZJTOS,X,X,X,X,O,O,X,X
LIZJSTO,X,X,O,O,X,X,X,X
LIZJSOT,X,X,O,O,X,X,X,X
LIZJOTS,X,X,X,X,O,O,X,X
LIZJOST,X,X,O,O,X,X,X,X
LIZSTJO,O,X,X,O,X,X,X,X
LIZSTOJ,O,X,X,O,X,X,X,X
LIZSJTO,O,X,X,O,X,X,X,X
LIZSJOT,X,X,X,O,X,X,X,X
LIZSOTJ,O,X,X,O,X,X,X,X
LIZSOJT,O,X,X,O,X,X,X,X
LIZOTJS,X,X,X,O,O,X,X,X
LIZOTSJ,O,X,X,O,O,X,X,X
LIZOJTS,X,X,X,X,O,O,X,X
LIZOJST,X,X,O,O,X,X,X,X
LIZOSTJ,O,X,X,O,X,X,X,X
LIZOSJT,O,X,X,O,X,X,X,X
LIOTJSZ,O,O,X,O,O,O,X,X
LIOTJZS,X,X,X,X,O,O,X,X
LIOTSJZ,O,O,X,O,O,O,X,X
