sequence,v115@GhB8HeD8FeF8Oex/IvhF0hBliBGlB/rBKtBTsB,v115@GhB8HeD8FeF8Oe0/IvhFxgBymBziBWrBXsBVyB,v115@GhB8HeD8FeF8Oe0/IvhFxgBmiBzlBCnBXsBVyB,v115@GhB8HeD8FeF8Oe0/IvhF6lBlhBziB/rB2sBxxB
TZOIJSL,X,O,O,X
TZOISLJ,X,O,O,X
TZOISJL,X,O,O,X
TZOLIJS,X,O,O,X
TZOLISJ,X,X,O,X
TZOLJIS,X,O,O,X
TZOLJSI,X,O,X,X
TZOLSIJ,X,O,O,X
TZOLSJI,X,O,O,X
TZOJILS,X,O,O,X
TZOJISL,X,O,O,X
TZOJLIS,X,O,O,X
TZOJLSI,X,O,X,X
TZOJSIL,X,O,O,X
TZOJSLI,X,O,O,X
TZOSILJ,X,O,O,X
TZOSIJL,X,O,O,X
TZOSLIJ,X,O,O,X
TZOSLJI,X,O,O,X
TZOSJIL,X,O,O,X
TZOSJLI,X,O,O,X
TOILJSZ,O,X,X,X
TOILJZS,O,X,O,X
TOILSJZ,O,X,O,X
TOILSZJ,O,X,O,X
TOILZJS,O,X,O,X
TOILZSJ,O,X,O,X
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,O,X
TOIJSLZ,O,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,X,O,O,X
TOIJZSL,X,O,O,X
TOISLJZ,O,O,O,X
TOISLZJ,O,O,O,X
TOISJLZ,X,O,O,X
TOISJZL,X,O,O,X
TOISZLJ,O,O,O,X
TOISZJL,X,O,O,X
TOIZLJS,X,O,O,X
TOIZLSJ,X,X,O,X
TOIZJLS,X,O,O,X
TOIZJSL,X,O,O,X
TOIZSLJ,X,O,O,X
TOIZSJL,X,O,O,X
TOLIJSZ,O,X,X,X
TOLIJZS,O,X,O,X
TOLISJZ,O,X,O,X
TOLISZJ,O,X,O,X
TOLIZJS,O,X,O,X
TOLIZSJ,O,X,O,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,O,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,O,X
TOLJZSI,O,O,X,X
TOLSIJZ,O,O,O,X
TOLSIZJ,O,O,O,X
TOLSJIZ,O,O,O,X
TOLSJZI,O,O,O,X
TOLSZIJ,O,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,X,O,X
TOLZJIS,O,O,O,X
TOLZJSI,O,O,X,X
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,O,X,X
TOJILZS,O,O,O,X
TOJISLZ,O,O,O,X
TOJISZL,O,O,O,X
TOJIZLS,X,O,O,X
TOJIZSL,X,O,O,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,O,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,X,X
TOJLZIS,O,O,O,X
TOJLZSI,O,O,X,X
TOJSILZ,O,O,O,X
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,X
TOJSLZI,O,O,O,X
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,X
TOJZILS,X,O,O,X
TOJZISL,X,O,O,X
TOJZLIS,X,O,O,X
TOJZLSI,X,O,X,X
TOJZSIL,X,O,O,X
TOJZSLI,X,O,O,X
TOSILJZ,O,O,O,X
TOSILZJ,O,O,O,X
TOSIJLZ,X,O,O,X
TOSIJZL,X,O,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,X,O,O,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,X
TOSLJZI,O,O,O,X
TOSLZIJ,O,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,X
TOSZILJ,O,O,O,X
TOSZIJL,X,O,O,X
TOSZLIJ,O,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,X
TOZILJS,X,O,O,X
TOZILSJ,X,X,O,X
TOZIJLS,X,O,O,X
TOZIJSL,X,O,O,X
TOZISLJ,X,O,O,X
TOZISJL,X,O,O,X
TOZLIJS,X,O,O,X
TOZLISJ,X,X,O,X
TOZLJIS,X,O,O,X
TOZLJSI,X,O,X,X
TOZLSIJ,X,O,O,X
TOZLSJI,X,O,O,X
TOZJILS,X,O,O,X
TOZJISL,X,O,O,X
TOZJLIS,X,O,O,X
TOZJLSI,X,O,X,X
TOZJSIL,X,O,O,X
TOZJSLI,X,O,O,X
TOZSILJ,X,O,O,X
TOZSIJL,X,O,O,X
TOZSLIJ,X,O,O,X
TOZSLJI,X,O,O,X
TOZSJIL,X,O,O,X
TOZSJLI,X,O,O,X
ITLJSZO,O,X,X,O
ITLJSOZ,O,X,X,O
ITLJZSO,O,X,X,O
ITLJZOS,O,X,X,O
ITLJOSZ,O,X,X,O
ITLJOZS,O,X,X,O
ITLSJZO,O,X,X,O
ITLSJOZ,O,X,X,O
ITLSZJO,O,X,X,O
ITLSZOJ,O,X,X,O
ITLSOJZ,O,X,X,O
ITLSOZJ,O,X,X,O
ITLZJSO,O,X,X,O
ITLZJOS,O,X,X,O
ITLZSJO,O,X,X,O
ITLZSOJ,O,X,X,O
ITLZOJS,O,X,X,X
ITLZOSJ,O,X,X,X
ITLOJSZ,O,X,X,X
ITLOJZS,O,X,X,X
ITLOSJZ,O,X,X,X
ITLOSZJ,O,X,X,X
ITLOZJS,O,X,X,X
ITLOZSJ,O,X,X,X
ITJLSZO,O,O,X,O
ITJLSOZ,O,O,X,O
ITJLZSO,O,O,X,O
ITJLZOS,O,O,X,O
ITJLOSZ,O,O,X,O
ITJLOZS,O,O,X,O
ITJSLZO,O,O,O,O
ITJSLOZ,O,O,O,O
ITJSZLO,O,O,O,O
ITJSZOL,O,O,O,O
ITJSOLZ,O,O,O,O
ITJSOZL,O,O,O,O
ITJZLSO,X,O,O,O
ITJZLOS,X,O,O,O
ITJZSLO,X,O,O,O
ITJZSOL,X,O,O,O
ITJZOLS,X,O,O,O
ITJZOSL,X,O,O,O
ITJOLSZ,O,O,X,O
ITJOLZS,O,O,O,O
ITJOSLZ,O,O,X,O
ITJOSZL,O,O,O,O
ITJOZLS,X,O,O,O
ITJOZSL,X,O,O,O
ITSLJZO,O,O,O,O
ITSLJOZ,X,O,O,O
ITSLZJO,O,O,O,O
ITSLZOJ,O,O,O,O
ITSLOJZ,O,O,O,O
ITSLOZJ,O,O,O,O
ITSJLZO,X,O,O,O
ITSJLOZ,X,O,O,O
ITSJZLO,X,O,O,O
ITSJZOL,X,O,O,O
ITSJOLZ,X,O,O,O
ITSJOZL,X,O,O,O
ITSZLJO,O,O,O,O
ITSZLOJ,O,O,O,O
ITSZJLO,X,O,O,O
ITSZJOL,X,O,O,O
ITSZOLJ,O,O,O,O
ITSZOJL,X,O,O,O
ITSOLJZ,O,O,O,O
ITSOLZJ,O,O,O,O
ITSOJLZ,X,O,O,O
ITSOJZL,X,O,O,O
ITSOZLJ,O,O,O,O
ITSOZJL,X,O,O,O
ITZLJSO,X,O,O,O
ITZLJOS,X,O,O,O
ITZLSJO,X,O,O,O
ITZLSOJ,X,O,O,O
ITZLOJS,X,O,O,X
ITZLOSJ,X,X,O,X
ITZJLSO,X,O,O,O
ITZJLOS,X,O,O,O
ITZJSLO,X,O,O,O
ITZJSOL,X,O,O,O
ITZJOLS,X,O,O,O
ITZJOSL,X,O,O,O
ITZSLJO,X,O,O,O
ITZSLOJ,X,O,O,O
ITZSJLO,X,O,O,O
ITZSJOL,X,O,O,O
ITZSOLJ,X,O,O,O
ITZSOJL,X,O,O,O
ITZOLJS,X,O,O,X
ITZOLSJ,X,X,O,X
ITZOJLS,X,O,O,X
ITZOJSL,X,O,O,X
ITZOSLJ,X,O,O,X
ITZOSJL,X,O,O,X
