sequence,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigB3hBFjBc?qBOsBTrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigBFiBXjBc?qBOrBzrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjBllBc?rBesBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBGlBK?rBfsBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjB0lBm?mBzpB1wB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBClBO?rBXqBzrB
IOTZLJS,O,O,O,X,O,X
IOTZLSJ,O,O,X,X,O,X
IOTZJLS,O,O,O,X,O,X
IOTZJSL,O,O,O,X,O,X
IOTZSLJ,O,O,X,O,O,O
IOTZSJL,O,O,X,X,O,X
IOLTJSZ,X,X,O,O,O,X
IOLTJZS,X,X,O,O,O,X
IOLTSJZ,X,X,O,O,O,X
IOLTSZJ,O,O,X,O,O,X
IOLTZJS,O,O,O,X,O,X
IOLTZSJ,O,O,X,O,O,X
IOLJTSZ,O,O,O,O,X,X
IOLJTZS,O,O,O,O,X,X
IOLJSTZ,O,O,O,O,X,X
IOLJSZT,O,O,O,O,X,X
IOLJZTS,O,O,O,O,X,X
IOLJZST,O,O,O,O,X,X
IOLSTJZ,X,X,O,O,O,X
IOLSTZJ,O,O,X,O,O,X
IOLSJTZ,X,O,O,O,O,X
IOLSJZT,X,O,O,O,O,X
IOLSZTJ,O,O,X,O,O,X
IOLSZJT,O,O,O,O,O,X
IOLZTJS,O,O,X,X,O,X
IOLZTSJ,O,O,X,O,O,X
IOLZJTS,O,O,O,X,X,X
IOLZJST,O,O,O,X,X,X
IOLZSTJ,O,O,X,O,O,X
IOLZSJT,O,O,X,O,O,X
IOJTLSZ,O,O,O,O,X,X
IOJTLZS,O,O,O,O,X,O
IOJTSLZ,O,O,O,O,X,O
IOJTSZL,O,O,O,X,X,O
IOJTZLS,O,O,O,O,X,O
IOJTZSL,O,O,O,X,X,O
IOJLTSZ,O,O,O,O,X,X
IOJLTZS,O,O,O,O,X,O
IOJLSTZ,O,O,O,O,X,X
IOJLSZT,O,O,O,O,X,X
IOJLZTS,O,O,O,O,X,O
IOJLZST,O,O,O,O,X,X
IOJSTLZ,O,O,O,O,X,O
IOJSTZL,O,O,O,X,X,O
IOJSLTZ,O,O,O,O,X,O
IOJSLZT,O,O,O,O,X,O
IOJSZTL,O,O,O,X,X,O
IOJSZLT,O,O,O,X,X,O
IOJZTLS,O,O,O,O,X,O
IOJZTSL,O,O,O,X,X,O
IOJZLTS,O,O,O,O,X,O
IOJZLST,O,O,O,O,X,X
IOJZSTL,O,O,O,X,X,O
IOJZSLT,O,O,O,X,X,O
IOSTLJZ,X,X,O,O,O,O
IOSTLZJ,O,O,X,O,O,O
IOSTJLZ,X,O,O,X,O,O
IOSTJZL,O,O,O,X,O,O
IOSTZLJ,O,O,X,O,O,O
IOSTZJL,O,O,X,X,O,X
IOSLTJZ,X,X,O,O,O,O
IOSLTZJ,O,O,X,O,O,O
IOSLJTZ,X,O,O,O,O,O
IOSLJZT,X,O,O,O,O,O
IOSLZTJ,O,O,X,O,O,O
IOSLZJT,O,O,O,O,O,O
IOSJTLZ,O,O,O,X,O,O
IOSJTZL,O,O,O,X,O,O
IOSJLTZ,O,O,O,X,O,O
IOSJLZT,O,O,O,X,O,O
IOSJZTL,O,O,O,X,X,O
IOSJZLT,O,O,O,X,O,O
IOSZTLJ,O,O,X,O,O,O
IOSZTJL,O,O,X,X,O,X
IOSZLTJ,O,O,X,O,O,O
IOSZLJT,O,O,O,O,O,O
IOSZJTL,O,O,O,X,X,X
IOSZJLT,O,O,O,X,O,X
IOZTLJS,O,O,O,X,O,X
IOZTLSJ,O,O,X,X,O,X
IOZTJLS,O,O,O,X,O,X
IOZTJSL,O,O,O,X,O,X
IOZTSLJ,O,O,X,O,O,O
IOZTSJL,O,O,X,X,O,X
IOZLTJS,O,O,X,X,O,X
IOZLTSJ,O,O,X,X,O,X
IOZLJTS,O,O,O,X,X,X
IOZLJST,O,O,O,X,X,X
IOZLSTJ,O,O,X,X,O,X
IOZLSJT,O,O,X,X,O,X
IOZJTLS,O,O,O,X,X,X
IOZJTSL,O,O,O,X,X,X
IOZJLTS,O,O,O,X,X,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,O,O,O,X,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,O,X,O,O,O
IOZSTJL,O,O,X,X,O,X
IOZSLTJ,O,O,X,O,O,O
IOZSLJT,O,O,X,O,O,O
IOZSJTL,O,O,X,X,X,X
IOZSJLT,O,O,X,X,O,X
LTIJSZO,O,X,O,O,X,X
LTIJSOZ,X,X,X,O,X,X
LTIJZSO,O,X,O,O,X,X
LTIJZOS,O,X,O,X,X,X
LTIJOSZ,O,X,X,O,X,X
LTIJOZS,O,X,X,X,X,X
LTISJZO,X,X,O,O,X,X
LTISJOZ,X,X,X,O,X,X
LTISZJO,X,X,X,O,X,X
LTISZOJ,X,X,X,O,X,X
LTISOJZ,X,X,X,O,X,X
LTISOZJ,X,X,X,O,X,X
LTIZJSO,O,X,O,X,X,X
LTIZJOS,O,X,O,X,X,X
LTIZSJO,O,X,X,O,X,X
LTIZSOJ,O,X,X,O,X,X
LTIZOJS,O,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X
LTIOJSZ,X,X,X,O,X,X
LTIOJZS,X,X,X,O,X,X
LTIOSJZ,X,X,X,O,X,X
LTIOSZJ,O,X,X,O,X,X
LTIOZJS,O,X,X,X,X,X
LTIOZSJ,O,X,X,O,X,X
LTJISZO,O,X,O,O,O,X
LTJISOZ,X,X,X,O,O,X
LTJIZSO,O,X,O,O,O,O
LTJIZOS,O,X,O,X,O,X
LTJIOSZ,O,X,X,O,O,X
LTJIOZS,O,X,X,X,O,X
LTJSIZO,O,X,O,O,O,O
LTJSIOZ,X,X,X,O,O,O
LTJSZIO,O,X,O,O,O,O
LTJSZOI,O,X,O,O,O,O
LTJSOIZ,X,X,X,O,O,O
LTJSOZI,X,X,O,O,O,O
LTJZISO,O,X,O,O,O,O
LTJZIOS,O,X,O,X,O,X
LTJZSIO,O,X,O,O,O,O
LTJZSOI,O,X,O,O,O,O
LTJZOIS,O,X,O,X,O,X
LTJZOSI,O,X,O,X,O,X
LTJOISZ,O,X,X,O,O,X
LTJOIZS,O,X,X,O,O,X
LTJOSIZ,O,X,X,O,O,X
LTJOSZI,O,X,O,O,O,X
LTJOZIS,O,X,O,O,O,X
LTJOZSI,O,X,O,O,O,X
LTSIJZO,X,X,O,O,O,O
LTSIJOZ,X,X,X,O,O,O
LTSIZJO,X,X,X,O,O,O
LTSIZOJ,X,X,X,O,O,O
LTSIOJZ,X,X,X,O,O,O
LTSIOZJ,X,X,X,O,O,O
LTSJIZO,X,X,O,O,O,O
LTSJIOZ,X,X,X,O,O,O
LTSJZIO,X,X,O,O,O,O
LTSJZOI,X,X,O,O,O,O
LTSJOIZ,X,X,X,O,O,O
LTSJOZI,X,X,O,O,O,O
LTSZIJO,X,X,X,O,O,O
LTSZIOJ,X,X,X,O,O,O
LTSZJIO,X,X,O,O,O,O
LTSZJOI,X,X,O,O,O,O
LTSZOIJ,X,X,X,O,O,O
LTSZOJI,X,X,X,O,O,O
LTSOIJZ,X,X,X,O,O,O
LTSOIZJ,X,X,X,O,O,O
LTSOJIZ,X,X,X,O,O,O
LTSOJZI,X,X,O,O,O,O
LTSOZIJ,X,X,X,O,O,O
LTSOZJI,X,X,X,O,O,O
LTZIJSO,O,X,O,X,O,X
LTZIJOS,O,X,O,X,O,X
LTZISJO,O,X,X,O,O,X
LTZISOJ,O,X,X,O,O,X
LTZIOJS,O,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X
LTZJISO,O,X,O,O,O,O
LTZJIOS,O,X,O,X,O,X
LTZJSIO,O,X,O,O,O,O
LTZJSOI,O,X,O,O,O,O
LTZJOIS,O,X,O,X,O,X
LTZJOSI,O,X,O,X,O,X
LTZSIJO,O,X,X,O,O,O
LTZSIOJ,O,X,X,O,O,O
LTZSJIO,O,X,O,O,O,O
LTZSJOI,O,X,O,O,O,X
LTZSOIJ,O,X,X,O,O,O
LTZSOJI,O,X,X,O,O,X
LTZOIJS,O,X,X,X,X,X
LTZOISJ,O,X,X,O,X,X
LTZOJIS,O,X,O,O,O,X
LTZOJSI,O,X,O,O,O,X
LTZOSIJ,O,X,X,O,O,O
LTZOSJI,O,X,X,O,O,O
LTOIJSZ,X,X,X,O,O,X
LTOIJZS,X,X,X,O,O,X
LTOISJZ,X,X,X,O,O,X
LTOISZJ,O,X,X,O,O,X
LTOIZJS,O,X,X,X,O,X
LTOIZSJ,O,X,X,O,O,X
LTOJISZ,X,X,X,O,O,X
LTOJIZS,X,X,X,O,O,O
LTOJSIZ,X,X,X,O,O,O
LTOJSZI,X,X,O,O,O,O
LTOJZIS,X,X,O,O,O,O
LTOJZSI,X,X,O,O,O,O
LTOSIJZ,X,X,X,O,O,O
LTOSIZJ,O,X,X,O,O,O
LTOSJIZ,X,X,X,O,O,O
LTOSJZI,X,X,O,O,O,O
LTOSZIJ,O,X,X,O,O,O
LTOSZJI,O,X,X,O,O,O
LTOZIJS,O,X,X,X,O,X
LTOZISJ,O,X,X,O,O,X
LTOZJIS,O,X,O,O,O,X
LTOZJSI,O,X,O,O,O,X
LTOZSIJ,O,X,X,O,O,O
LTOZSJI,O,X,X,O,O,O
LITJSZO,O,X,X,O,X,X
LITJSOZ,X,X,X,O,X,X
LITJZSO,O,X,X,O,X,X
LITJZOS,O,X,X,X,X,X
LITJOSZ,O,X,X,O,X,X
LITJOZS,O,X,X,X,X,X
LITSJZO,X,X,X,O,X,X
LITSJOZ,X,X,X,O,X,X
LITSZJO,X,X,X,O,X,X
LITSZOJ,X,X,X,O,X,X
LITSOJZ,X,X,X,O,X,X
LITSOZJ,X,X,X,O,X,X
LITZJSO,O,X,X,X,X,X
LITZJOS,O,X,X,X,X,X
LITZSJO,O,X,X,O,X,X
LITZSOJ,O,X,X,O,X,X
LITZOJS,O,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X
LITOJSZ,X,X,X,O,X,X
LITOJZS,X,X,X,O,X,X
LITOSJZ,X,X,X,O,X,X
LITOSZJ,O,X,X,O,X,X
LITOZJS,O,X,X,X,X,X
LITOZSJ,O,X,X,O,X,X
LIJTSZO,O,O,X,O,X,X
LIJTSOZ,X,X,X,O,X,X
LIJTZSO,O,O,X,O,X,X
LIJTZOS,O,O,X,X,X,X
LIJTOSZ,O,X,X,O,X,X
LIJTOZS,O,X,X,X,X,X
LIJSTZO,O,O,X,O,X,X
LIJSTOZ,X,X,X,O,X,X
LIJSZTO,O,O,X,O,X,X
LIJSZOT,O,O,X,O,X,X
LIJSOTZ,X,X,X,O,X,X
LIJSOZT,X,X,X,O,X,X
LIJZTSO,O,O,X,O,X,X
LIJZTOS,O,O,X,X,X,X
LIJZSTO,O,O,X,O,X,X
LIJZSOT,O,O,X,O,X,X
LIJZOTS,O,O,X,X,X,X
LIJZOST,O,O,X,X,X,X
LIJOTSZ,O,X,X,O,X,X
LIJOTZS,O,X,X,X,X,X
LIJOSTZ,O,X,X,O,X,X
LIJOSZT,O,X,X,O,X,X
LIJOZTS,O,X,X,X,X,X
LIJOZST,O,X,X,X,X,X
LISTJZO,X,O,X,O,X,X
LISTJOZ,X,X,X,O,X,X
LISTZJO,X,O,X,O,X,X
LISTZOJ,X,O,X,O,X,X
LISTOJZ,X,X,X,O,X,X
LISTOZJ,X,O,X,O,X,X
LISJTZO,X,O,X,O,X,X
LISJTOZ,X,X,X,O,X,X
LISJZTO,X,O,X,O,X,X
LISJZOT,X,O,X,O,X,X
LISJOTZ,X,X,X,O,X,X
LISJOZT,X,X,X,O,X,X
LISZTJO,X,O,X,O,X,X
LISZTOJ,X,O,X,O,X,X
LISZJTO,X,O,X,O,X,X
LISZJOT,X,O,X,O,X,X
LISZOTJ,X,O,X,O,X,X
LISZOJT,X,O,X,O,X,X
LISOTJZ,X,X,X,O,X,X
LISOTZJ,X,O,X,O,X,X
LISOJTZ,X,O,X,O,X,X
LISOJZT,X,O,X,O,X,X
LISOZTJ,X,O,X,O,X,X
LISOZJT,X,O,X,O,X,X
LIZTJSO,O,O,X,X,X,X
LIZTJOS,O,O,X,X,X,X
LIZTSJO,O,O,X,O,X,X
LIZTSOJ,O,O,X,O,X,X
LIZTOJS,O,O,X,X,X,X
LIZTOSJ,O,O,X,X,X,X
LIZJTSO,O,O,X,X,X,X
LIZJTOS,O,O,X,X,X,X
LIZJSTO,O,O,X,X,X,X
LIZJSOT,O,O,X,X,X,X
LIZJOTS,O,O,X,X,X,X
LIZJOST,O,O,X,X,X,X
LIZSTJO,O,O,X,O,X,X
LIZSTOJ,O,O,X,O,X,X
LIZSJTO,O,O,X,O,X,X
LIZSJOT,O,O,X,X,X,X
LIZSOTJ,O,O,X,O,X,X
LIZSOJT,O,O,X,X,X,X
LIZOTJS,O,O,X,X,X,X
LIZOTSJ,O,O,X,X,X,X
LIZOJTS,O,O,X,X,X,X
LIZOJST,O,O,X,X,X,X
LIZOSTJ,O,O,X,X,X,X
LIZOSJT,O,O,X,X,X,X
LIOTJSZ,X,X,X,O,X,X
LIOTJZS,X,X,X,O,X,X
LIOTSJZ,X,X,X,O,X,X
LIOTSZJ,O,O,X,O,X,X
LIOTZJS,O,O,X,X,X,X
LIOTZSJ,O,O,X,O,X,X
LIOJTSZ,O,O,X,O,X,X
LIOJTZS,O,O,X,O,X,X
LIOJSTZ,O,O,X,O,X,X
LIOJSZT,O,O,X,O,X,X
LIOJZTS,O,O,X,O,X,X
LIOJZST,O,O,X,O,X,X
LIOSTJZ,X,X,X,O,X,X
LIOSTZJ,O,O,X,O,X,X
LIOSJTZ,X,O,X,O,X,X
LIOSJZT,X,O,X,O,X,X
LIOSZTJ,O,O,X,O,X,X
LIOSZJT,O,O,X,O,X,X
LIOZTJS,O,O,X,X,X,X
LIOZTSJ,O,O,X,O,X,X
LIOZJTS,O,O,X,X,X,X
LIOZJST,O,O,X,X,X,X
LIOZSTJ,O,O,X,O,X,X
LIOZSJT,O,O,X,O,X,X
LJTISZO,O,O,O,O,X,X
LJTISOZ,X,X,X,O,X,X
LJTIZSO,O,O,O,O,X,O
LJTIZOS,O,O,O,X,X,X
LJTIOSZ,O,X,X,O,X,X
LJTIOZS,O,X,X,X,X,X
LJTSIZO,O,O,O,O,X,O
LJTSIOZ,X,X,X,O,X,O
LJTSZIO,O,O,O,O,X,O
LJTSZOI,O,O,O,O,X,O
LJTSOIZ,X,X,X,O,X,O
LJTSOZI,X,X,O,O,X,O
LJTZISO,O,O,O,O,X,O
LJTZIOS,O,O,O,X,X,X
LJTZSIO,O,O,O,O,X,O
LJTZSOI,O,O,O,O,X,O
LJTZOIS,O,O,O,X,X,X
LJTZOSI,O,O,O,X,X,X
LJTOISZ,O,X,X,O,X,X
LJTOIZS,O,X,X,O,X,X
LJTOSIZ,O,X,X,O,X,X
LJTOSZI,O,X,O,O,X,X
LJTOZIS,O,X,O,O,X,X
LJTOZSI,O,X,O,O,X,X
LJITSZO,O,O,X,O,X,X
LJITSOZ,X,X,X,O,X,X
LJITZSO,O,O,X,O,X,O
LJITZOS,O,O,X,X,X,X
LJITOSZ,O,X,X,O,X,X
LJITOZS,O,X,X,X,X,X
LJISTZO,O,O,X,O,X,X
LJISTOZ,X,X,X,O,X,X
LJISZTO,O,O,O,O,X,X
LJISZOT,O,O,O,O,X,X
LJISOTZ,X,X,O,O,X,X
LJISOZT,X,X,O,O,X,X
LJIZTSO,O,O,O,O,X,O
LJIZTOS,O,O,O,X,X,X
LJIZSTO,O,O,O,O,X,X
LJIZSOT,O,O,O,O,X,X
LJIZOTS,O,O,O,X,X,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,O,X,O,O,X,X
LJIOTZS,O,X,X,X,X,X
LJIOSTZ,O,X,O,O,X,X
LJIOSZT,O,X,O,O,X,X
LJIOZTS,O,X,O,X,X,X
LJIOZST,O,X,O,X,X,X
LJSTIZO,O,O,O,O,X,O
LJSTIOZ,X,X,X,O,X,O
LJSTZIO,O,O,O,O,X,O
LJSTZOI,O,O,O,O,X,O
LJSTOIZ,X,X,X,O,X,O
LJSTOZI,X,X,O,O,X,O
LJSITZO,O,O,X,O,X,O
LJSITOZ,X,X,X,O,X,O
LJSIZTO,O,O,O,O,X,O
LJSIZOT,O,O,O,O,X,O
LJSIOTZ,X,X,O,O,X,O
LJSIOZT,X,X,O,O,X,O
LJSZTIO,O,O,O,O,X,O
LJSZTOI,O,O,O,O,X,O
LJSZITO,O,O,O,O,X,O
LJSZIOT,O,O,O,O,X,O
LJSZOTI,O,O,O,O,X,O
LJSZOIT,O,O,O,O,X,O
LJSOTIZ,X,X,O,O,X,O
LJSOTZI,X,X,O,O,X,O
LJSOITZ,X,X,O,O,X,O
LJSOIZT,X,X,O,O,X,O
LJSOZTI,X,X,O,O,X,O
LJSOZIT,X,X,O,O,X,O
LJZTISO,O,O,O,O,X,O
LJZTIOS,O,O,O,X,X,X
LJZTSIO,O,O,O,O,X,O
LJZTSOI,O,O,O,O,X,O
LJZTOIS,O,O,O,X,X,X
LJZTOSI,O,O,O,X,X,X
LJZITSO,O,O,O,O,X,O
LJZITOS,O,O,O,X,X,X
LJZISTO,O,O,O,O,X,X
LJZISOT,O,O,O,O,X,X
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,O,O,X,X,X
LJZSTIO,O,O,O,O,X,O
LJZSTOI,O,O,O,O,X,O
LJZSITO,O,O,O,O,X,O
LJZSIOT,O,O,O,O,X,O
LJZSOTI,O,O,O,O,X,O
LJZSOIT,O,O,O,O,X,O
LJZOTIS,O,O,O,X,X,X
LJZOTSI,O,O,O,X,X,X
LJZOITS,O,O,O,X,X,X
LJZOIST,O,O,O,X,X,X
LJZOSTI,O,O,O,X,X,X
LJZOSIT,O,O,O,X,X,X
LJOTISZ,O,X,O,O,X,X
LJOTIZS,O,X,O,O,X,X
LJOTSIZ,O,X,O,O,X,X
LJOTSZI,O,X,O,O,X,X
LJOTZIS,O,X,O,O,X,X
LJOTZSI,O,X,O,O,X,X
LJOITSZ,O,X,O,O,X,X
LJOITZS,O,X,O,O,X,X
LJOISTZ,O,X,O,O,X,X
LJOISZT,O,X,O,O,X,X
LJOIZTS,O,X,O,O,X,X
LJOIZST,O,X,O,O,X,X
LJOSTIZ,O,X,O,O,X,X
LJOSTZI,O,X,O,O,X,X
LJOSITZ,O,X,O,O,X,X
LJOSIZT,O,X,O,O,X,X
LJOSZTI,O,X,O,O,X,X
LJOSZIT,O,X,O,O,X,X
LJOZTIS,O,X,O,O,X,X
LJOZTSI,O,X,O,O,X,X
LJOZITS,O,X,O,O,X,X
LJOZIST,O,X,O,O,X,X
LJOZSTI,O,X,O,O,X,X
LJOZSIT,O,X,O,O,X,X
LSTIJZO,X,O,O,O,O,O
LSTIJOZ,X,X,X,O,O,O
LSTIZJO,X,O,X,O,O,O
LSTIZOJ,X,O,X,O,O,O
LSTIOJZ,X,X,X,O,O,O
LSTIOZJ,X,O,X,O,O,O
LSTJIZO,X,O,O,O,O,O
LSTJIOZ,X,X,X,O,O,O
LSTJZIO,X,O,O,O,O,O
LSTJZOI,X,O,O,O,O,O
LSTJOIZ,X,X,X,O,O,O
LSTJOZI,X,X,O,O,O,O
LSTZIJO,X,O,X,O,O,O
LSTZIOJ,X,O,X,O,O,O
LSTZJIO,X,O,O,O,O,O
LSTZJOI,X,X,O,O,O,O
LSTZOIJ,X,O,X,O,O,O
LSTZOJI,X,X,X,O,O,O
LSTOIJZ,X,X,X,O,O,O
LSTOIZJ,X,O,X,O,O,O
LSTOJIZ,X,X,X,O,O,O
LSTOJZI,X,X,O,O,O,O
LSTOZIJ,X,O,X,O,O,O
LSTOZJI,X,O,X,O,O,O
LSITJZO,X,O,X,O,O,O
LSITJOZ,X,X,X,O,O,O
LSITZJO,X,O,X,O,O,O
LSITZOJ,X,O,X,O,O,O
LSITOJZ,X,X,X,O,O,O
LSITOZJ,X,O,X,O,O,O
LSIJTZO,X,O,X,O,X,O
LSIJTOZ,X,X,X,O,X,O
LSIJZTO,X,O,O,O,X,O
LSIJZOT,X,O,O,O,X,O
LSIJOTZ,X,X,O,O,X,O
LSIJOZT,X,X,O,O,X,O
LSIZTJO,X,O,X,O,O,O
LSIZTOJ,X,O,X,O,O,O
LSIZJTO,X,O,X,O,O,O
LSIZJOT,X,O,X,O,X,O
LSIZOTJ,X,O,X,O,O,O
LSIZOJT,X,O,X,O,X,O
LSIOTJZ,X,X,O,O,O,O
LSIOTZJ,X,O,X,O,O,O
LSIOJTZ,X,O,O,O,O,O
LSIOJZT,X,O,O,O,O,O
LSIOZTJ,X,O,X,O,O,O
LSIOZJT,X,O,O,O,O,O
LSJTIZO,X,O,O,O,X,O
LSJTIOZ,X,X,X,O,X,O
LSJTZIO,X,O,O,O,X,O
LSJTZOI,X,O,O,O,X,O
LSJTOIZ,X,X,X,O,X,O
LSJTOZI,X,X,O,O,X,O
LSJITZO,X,O,X,O,X,O
LSJITOZ,X,X,X,O,X,O
LSJIZTO,X,O,O,O,X,O
LSJIZOT,X,O,O,O,X,O
LSJIOTZ,X,X,O,O,X,O
LSJIOZT,X,X,O,O,X,O
LSJZTIO,X,O,O,O,X,O
LSJZTOI,X,O,O,O,X,O
LSJZITO,X,O,O,O,X,O
LSJZIOT,X,O,O,O,X,O
LSJZOTI,X,O,O,O,X,O
LSJZOIT,X,O,O,O,X,O
LSJOTIZ,X,X,O,O,X,O
LSJOTZI,X,X,O,O,X,O
LSJOITZ,X,X,O,O,X,O
LSJOIZT,X,X,O,O,X,O
LSJOZTI,X,X,O,O,X,O
LSJOZIT,X,X,O,O,X,O
LSZTIJO,X,O,X,O,O,O
LSZTIOJ,X,O,X,O,O,O
LSZTJIO,X,O,X,O,O,O
LSZTJOI,X,O,X,O,O,O
LSZTOIJ,X,O,X,O,O,O
LSZTOJI,X,O,X,O,O,O
LSZITJO,X,O,X,O,O,O
LSZITOJ,X,O,X,O,O,O
LSZIJTO,X,O,X,O,O,O
LSZIJOT,X,O,X,O,X,O
LSZIOTJ,X,O,X,O,O,O
LSZIOJT,X,O,X,O,X,O
LSZJTIO,X,O,X,O,O,O
LSZJTOI,X,O,X,O,O,O
LSZJITO,X,O,X,O,O,O
LSZJIOT,X,O,X,O,X,O
LSZJOTI,X,O,X,O,X,O
LSZJOIT,X,O,X,O,X,O
LSZOTIJ,X,O,X,O,O,O
LSZOTJI,X,O,X,O,O,O
LSZOITJ,X,O,X,O,O,O
LSZOIJT,X,O,X,O,X,O
LSZOJTI,X,O,X,O,X,O
LSZOJIT,X,O,X,O,X,O
LSOTIJZ,X,X,O,O,O,O
LSOTIZJ,X,O,X,O,O,O
LSOTJIZ,X,X,O,O,O,O
LSOTJZI,X,X,O,O,O,O
LSOTZIJ,X,O,X,O,O,O
LSOTZJI,X,O,O,O,O,O
LSOITJZ,X,X,O,O,O,O
LSOITZJ,X,O,X,O,O,O
LSOIJTZ,X,O,O,O,O,O
LSOIJZT,X,O,O,O,O,O
LSOIZTJ,X,O,X,O,O,O
LSOIZJT,X,O,O,O,O,O
LSOJTIZ,X,O,O,O,O,O
LSOJTZI,X,O,O,O,O,O
LSOJITZ,X,O,O,O,O,O
LSOJIZT,X,O,O,O,O,O
LSOJZTI,X,O,O,O,O,O
LSOJZIT,X,O,O,O,O,O
LSOZTIJ,X,O,X,O,O,O
LSOZTJI,X,O,O,O,O,O
LSOZITJ,X,O,X,O,O,O
LSOZIJT,X,O,O,O,O,O
LSOZJTI,X,O,O,O,O,O
LSOZJIT,X,O,O,O,O,O
LZTIJSO,O,O,O,X,O,X
LZTIJOS,O,O,O,X,O,X
LZTISJO,O,O,X,O,O,X
LZTISOJ,O,O,X,O,O,X
LZTIOJS,O,O,X,X,X,X
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,O,O,O,O,O
LZTJIOS,O,O,O,X,O,X
LZTJSIO,O,O,O,O,O,O
LZTJSOI,O,O,O,O,O,O
LZTJOIS,O,O,O,X,O,X
LZTJOSI,O,O,O,X,O,X
LZTSIJO,O,O,X,O,O,O
LZTSIOJ,O,O,X,O,O,O
LZTSJIO,O,O,O,O,O,O
LZTSJOI,O,O,O,O,O,X
LZTSOIJ,O,O,X,O,O,O
LZTSOJI,O,O,X,O,O,X
LZTOIJS,O,O,X,X,X,X
LZTOISJ,O,O,X,O,X,X
LZTOJIS,O,O,O,O,O,X
LZTOJSI,O,O,O,O,O,X
LZTOSIJ,O,O,X,O,O,O
LZTOSJI,O,O,X,O,O,O
LZITJSO,O,O,X,X,O,X
LZITJOS,O,O,X,X,O,X
LZITSJO,O,O,X,O,O,X
LZITSOJ,O,O,X,O,O,X
LZITOJS,O,O,X,X,X,X
LZITOSJ,O,O,X,X,X,X
LZIJTSO,O,O,X,X,X,X
LZIJTOS,O,O,X,X,X,X
LZIJSTO,O,O,X,X,X,X
LZIJSOT,O,O,X,X,X,X
LZIJOTS,O,O,X,X,X,X
LZIJOST,O,O,X,X,X,X
LZISTJO,O,O,X,O,O,X
LZISTOJ,O,O,X,O,O,X
LZISJTO,O,O,X,O,O,X
LZISJOT,O,O,X,X,X,X
LZISOTJ,O,O,X,O,O,X
LZISOJT,O,O,X,X,X,X
LZIOTJS,O,O,X,X,X,X
LZIOTSJ,O,O,X,X,X,X
LZIOJTS,O,O,X,X,X,X
LZIOJST,O,O,X,X,X,X
LZIOSTJ,O,O,X,X,X,X
LZIOSJT,O,O,X,X,X,X
LZJTISO,O,O,O,O,O,O
LZJTIOS,O,O,O,X,O,X
LZJTSIO,O,O,O,O,O,O
LZJTSOI,O,O,O,O,O,O
LZJTOIS,O,O,O,X,O,X
LZJTOSI,O,O,O,X,O,X
LZJITSO,O,O,O,O,X,O
LZJITOS,O,O,O,X,X,X
LZJISTO,O,O,O,O,X,X
LZJISOT,O,O,O,O,X,X
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,O,O,O,O,O
LZJSTOI,O,O,O,O,O,O
LZJSITO,O,O,O,O,O,O
LZJSIOT,O,O,O,O,X,O
LZJSOTI,O,O,O,O,X,O
LZJSOIT,O,O,O,O,X,O
LZJOTIS,O,O,O,X,X,X
LZJOTSI,O,O,O,X,X,X
LZJOITS,O,O,O,X,X,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,O,O,X,X,X
LZJOSIT,O,O,O,X,X,X
LZSTIJO,O,O,X,O,O,O
LZSTIOJ,O,O,X,O,O,O
LZSTJIO,O,O,X,O,O,O
LZSTJOI,O,O,X,O,O,X
LZSTOIJ,O,O,X,O,O,O
LZSTOJI,O,O,X,O,O,X
LZSITJO,O,O,X,O,O,O
LZSITOJ,O,O,X,O,O,O
LZSIJTO,O,O,X,O,O,O
LZSIJOT,O,O,X,O,X,X
LZSIOTJ,O,O,X,O,O,O
LZSIOJT,O,O,X,O,X,X
LZSJTIO,O,O,X,O,O,O
LZSJTOI,O,O,X,O,O,X
LZSJITO,O,O,X,O,O,O
LZSJIOT,O,O,X,O,X,X
LZSJOTI,O,O,X,O,X,X
LZSJOIT,O,O,X,O,X,X
LZSOTIJ,O,O,X,O,O,O
LZSOTJI,O,O,X,O,O,X
LZSOITJ,O,O,X,O,O,O
LZSOIJT,O,O,X,O,X,X
LZSOJTI,O,O,X,O,X,X
LZSOJIT,O,O,X,O,X,X
LZOTIJS,O,O,O,X,X,X
LZOTISJ,O,O,X,O,X,X
