sequence,v115@GhA8HeB8FeG8EeB8Jex/IvhF0hBliBTkB/qBarBWxB,v115@GhA8HeB8FeG8EeB8JeKEJvhFzfBRhB3iBFmB0qBWxB,v115@GhA8HeB8FeG8EeB8JeOEJvhFxgBliBzkBqqB/rBUsB,v115@GhA8HeB8FeG8EeB8Jei/IvhF3gBRiB1pB8qB+rBTsB,v115@GhA8HeB8FeG8EeB8JeT/IvhFymBxpB0rB/qBusBFrB
TSZOILJ,O,O,X,O,X
TSZOIJL,O,X,X,X,X
TSZOLIJ,O,O,X,O,X
TSZOLJI,O,O,X,O,X
TSZOJIL,O,X,X,O,X
TSZOJLI,O,X,X,O,X
TSOILJZ,O,X,O,X,X
TSOILZJ,O,X,O,O,X
TSOIJLZ,O,X,O,X,X
TSOIJZL,O,X,X,X,X
TSOIZLJ,O,X,X,X,X
TSOIZJL,O,X,X,X,X
TSOLIJZ,O,X,O,X,X
TSOLIZJ,O,X,O,O,X
TSOLJIZ,O,X,O,X,X
TSOLJZI,O,X,O,X,X
TSOLZIJ,O,X,O,O,X
TSOLZJI,O,X,O,O,X
TSOJILZ,O,X,O,X,X
TSOJIZL,O,X,X,X,X
TSOJLIZ,O,X,O,X,X
TSOJLZI,O,X,O,X,X
TSOJZIL,O,X,X,X,X
TSOJZLI,O,X,X,X,X
TSOZILJ,O,X,X,O,X
TSOZIJL,O,X,X,X,X
TSOZLIJ,O,X,X,O,X
TSOZLJI,O,X,X,O,X
TSOZJIL,O,X,X,O,X
TSOZJLI,O,X,X,O,X
TZILJSO,X,O,X,O,O
TZILJOS,X,O,X,O,O
TZILSJO,O,O,X,O,O
TZILSOJ,O,O,X,O,O
TZILOJS,X,O,X,X,O
TZILOSJ,O,O,X,O,O
TZIJLSO,O,O,X,O,O
TZIJLOS,O,O,X,O,O
TZIJSLO,O,O,X,O,O
TZIJSOL,O,X,X,O,O
TZIJOLS,O,X,X,O,O
TZIJOSL,O,X,X,O,O
TZISLJO,O,O,X,O,O
TZISLOJ,O,O,X,O,O
TZISJLO,O,O,X,O,O
TZISJOL,O,X,X,O,O
TZISOLJ,O,O,X,O,O
TZISOJL,O,X,X,X,O
TZIOLJS,O,O,X,X,O
TZIOLSJ,O,O,X,O,O
TZIOJLS,O,X,X,X,O
TZIOJSL,O,X,X,X,O
TZIOSLJ,O,O,X,O,O
TZIOSJL,O,X,X,X,O
TZLIJSO,X,O,O,O,O
TZLIJOS,X,O,O,O,O
TZLISJO,O,O,X,O,O
TZLISOJ,O,O,X,O,O
TZLIOJS,X,O,O,X,O
TZLIOSJ,O,O,X,O,O
TZLJISO,O,O,O,O,X
TZLJIOS,O,O,O,O,X
TZLJSIO,O,O,O,O,X
TZLJSOI,O,O,X,O,X
TZLJOIS,O,O,X,O,X
TZLJOSI,O,O,X,O,X
TZLSIJO,O,O,O,O,X
TZLSIOJ,O,O,O,O,X
TZLSJIO,O,O,O,O,X
TZLSJOI,O,O,X,O,X
TZLSOIJ,O,O,O,O,X
TZLSOJI,O,O,O,O,X
TZLOIJS,O,O,O,X,X
TZLOISJ,O,O,X,O,X
TZLOJIS,O,O,O,O,X
TZLOJSI,O,O,O,O,X
TZLOSIJ,O,O,O,O,X
TZLOSJI,O,O,O,O,X
