sequence,v115@QhC8FeG8CeB8JeT/IvhFKlBRhBFjBUmBXsBGsB,v115@QhC8FeG8CeB8JeT/IvhFOlBFjBCmBxrB/sB0rB,v115@QhC8FeG8CeB8JeT/IvhFigBUiBFjB3lBxrBWxB,v115@QhC8FeG8CeB8JeT/IvhFxiB0lBlmB3nBilBWxB,v115@QhC8FeG8CeB8JeT/IvhFfnBxiBllBusBilB0rB
JTOSLIZ,X,O,O,X,X
JTOSLZI,O,X,X,X,X
JTOSZIL,X,X,X,X,O
JTOSZLI,X,X,X,X,O
JTOZILS,X,O,X,X,X
JTOZISL,X,X,X,X,O
JTOZLIS,X,O,X,X,X
JTOZLSI,X,X,X,X,O
JTOZSIL,X,X,X,X,O
JTOZSLI,X,X,X,X,O
JITLSZO,X,O,X,X,X
JITLSOZ,X,O,X,X,X
JITLZSO,X,O,X,X,X
JITLZOS,X,O,X,X,X
JITLOSZ,X,O,X,X,X
JITLOZS,X,O,X,X,X
JITSLZO,X,O,O,X,X
JITSLOZ,X,O,O,X,X
JITSZLO,X,X,O,X,X
JITSZOL,X,X,O,X,X
JITSOLZ,X,O,O,X,X
JITSOZL,X,X,O,X,X
JITZLSO,X,O,X,X,X
JITZLOS,X,O,X,X,X
JITZSLO,X,X,O,X,O
JITZSOL,X,X,O,X,O
JITZOLS,X,O,X,X,X
JITZOSL,X,X,O,X,O
JITOLSZ,X,O,X,X,X
JITOLZS,X,O,X,X,X
JITOSLZ,X,O,O,X,X
JITOSZL,X,X,O,X,X
JITOZLS,X,O,X,X,X
JITOZSL,X,X,O,X,O
JILTSZO,X,O,X,X,X
JILTSOZ,X,O,X,X,X
JILTZSO,X,O,X,X,X
JILTZOS,X,O,X,X,X
JILTOSZ,X,O,X,X,X
JILTOZS,X,O,X,X,X
JILSTZO,X,O,X,X,X
JILSTOZ,X,O,X,X,X
JILSZTO,X,O,X,X,X
JILSZOT,X,O,X,X,X
JILSOTZ,X,O,X,X,X
JILSOZT,X,O,X,X,X
JILZTSO,X,O,X,X,X
JILZTOS,X,O,X,X,X
JILZSTO,X,O,X,X,X
JILZSOT,X,O,X,X,X
JILZOTS,X,O,X,X,X
JILZOST,X,O,X,X,X
JILOTSZ,X,O,X,X,X
JILOTZS,X,O,X,X,X
JILOSTZ,X,O,X,X,X
JILOSZT,X,O,X,X,X
JILOZTS,X,O,X,X,X
JILOZST,X,O,X,X,X
JISTLZO,X,O,O,X,X
JISTLOZ,X,O,O,X,X
JISTZLO,X,X,O,X,X
JISTZOL,X,X,O,O,X
JISTOLZ,X,O,O,X,X
JISTOZL,X,X,O,O,X
JISLTZO,X,O,O,X,X
JISLTOZ,X,O,O,X,X
JISLZTO,X,O,O,X,X
JISLZOT,X,O,O,X,X
JISLOTZ,X,O,O,X,X
JISLOZT,X,O,O,X,X
JISZTLO,X,X,O,X,X
JISZTOL,X,X,O,O,X
JISZLTO,X,X,O,X,X
JISZLOT,X,X,O,X,X
JISZOTL,X,X,O,O,X
JISZOLT,X,X,O,X,X
JISOTLZ,X,O,O,X,X
JISOTZL,X,X,O,O,X
JISOLTZ,X,O,O,X,X
JISOLZT,X,O,O,X,X
JISOZTL,X,X,O,O,X
JISOZLT,X,X,O,X,X
JIZTLSO,X,O,X,X,X
JIZTLOS,X,O,X,X,X
JIZTSLO,X,X,O,X,O
JIZTSOL,X,X,O,X,O
JIZTOLS,X,O,X,X,X
JIZTOSL,X,X,O,X,O
JIZLTSO,X,O,X,X,X
JIZLTOS,X,O,X,X,X
JIZLSTO,X,O,X,X,X
JIZLSOT,X,O,X,X,X
JIZLOTS,X,O,X,X,X
JIZLOST,X,O,X,X,X
JIZSTLO,X,X,O,X,O
JIZSTOL,X,X,O,O,O
JIZSLTO,X,X,O,X,O
JIZSLOT,X,X,O,X,O
JIZSOTL,X,X,O,O,O
JIZSOLT,X,X,O,X,O
JIZOTLS,X,O,X,X,X
JIZOTSL,X,X,O,X,O
JIZOLTS,X,O,X,X,X
JIZOLST,X,O,X,X,X
JIZOSTL,X,X,O,O,O
JIZOSLT,X,X,O,X,O
JIOTLSZ,X,O,X,X,X
JIOTLZS,X,O,X,X,X
JIOTSLZ,X,O,O,X,X
JIOTSZL,X,X,O,X,X
JIOTZLS,X,O,X,X,X
JIOTZSL,X,X,O,X,O
JIOLTSZ,X,O,X,X,X
JIOLTZS,X,O,X,X,X
JIOLSTZ,X,O,X,X,X
JIOLSZT,X,O,X,X,X
JIOLZTS,X,O,X,X,X
JIOLZST,X,O,X,X,X
JIOSTLZ,X,O,O,X,X
JIOSTZL,X,X,O,O,X
JIOSLTZ,X,O,O,X,X
JIOSLZT,X,O,O,X,X
JIOSZTL,X,X,O,O,X
JIOSZLT,X,X,O,X,X
JIOZTLS,X,O,X,X,X
JIOZTSL,X,X,O,X,O
JIOZLTS,X,O,X,X,X
JIOZLST,X,O,X,X,X
JIOZSTL,X,X,O,O,O
JIOZSLT,X,X,O,X,O
JLTISZO,X,O,X,X,X
JLTISOZ,X,O,X,X,X
JLTIZSO,X,O,X,X,X
JLTIZOS,X,O,X,X,X
JLTIOSZ,X,O,X,X,X
JLTIOZS,X,O,X,X,X
JLTSIZO,X,O,X,X,X
JLTSIOZ,X,O,X,X,X
JLTSZIO,O,X,X,X,X
JLTSZOI,O,X,X,X,X
JLTSOIZ,X,O,X,X,X
JLTSOZI,O,X,X,X,X
JLTZISO,X,O,X,X,X
JLTZIOS,O,O,X,X,X
JLTZSIO,O,X,X,X,O
JLTZSOI,O,X,X,X,O
JLTZOIS,O,O,X,X,X
JLTZOSI,O,X,X,X,O
JLTOISZ,X,O,X,X,X
JLTOIZS,X,O,X,X,X
JLTOSIZ,X,O,X,X,X
JLTOSZI,O,X,X,X,X
JLTOZIS,O,O,X,X,X
JLTOZSI,O,X,X,X,O
JLITSZO,X,O,X,X,X
JLITSOZ,X,O,X,X,X
JLITZSO,X,O,X,X,X
JLITZOS,X,O,X,X,X
JLITOSZ,X,O,X,X,X
JLITOZS,X,O,X,X,X
JLISTZO,X,O,X,X,X
JLISTOZ,X,O,X,X,X
JLISZTO,X,O,X,X,X
JLISZOT,X,O,X,X,X
JLISOTZ,X,O,X,X,X
JLISOZT,X,O,X,X,X
JLIZTSO,X,O,X,X,X
JLIZTOS,X,O,X,X,X
JLIZSTO,X,O,X,X,X
JLIZSOT,X,O,X,X,X
JLIZOTS,X,O,X,X,X
JLIZOST,X,O,X,X,X
JLIOTSZ,X,O,X,X,X
JLIOTZS,X,O,X,X,X
JLIOSTZ,X,O,X,X,X
JLIOSZT,X,O,X,X,X
JLIOZTS,X,O,X,X,X
JLIOZST,X,O,X,X,X
JLSTIZO,X,O,X,X,X
JLSTIOZ,X,O,X,X,X
JLSTZIO,O,X,X,X,X
JLSTZOI,O,X,X,X,X
JLSTOIZ,X,O,X,X,X
JLSTOZI,O,X,X,X,X
JLSITZO,X,O,X,X,X
JLSITOZ,X,O,X,X,X
JLSIZTO,X,O,X,X,X
JLSIZOT,X,O,X,X,X
JLSIOTZ,X,O,X,X,X
JLSIOZT,X,O,X,X,X
JLSZTIO,O,X,X,X,X
JLSZTOI,O,X,X,X,X
JLSZITO,O,X,X,X,X
JLSZIOT,O,X,X,X,X
JLSZOTI,O,X,X,X,X
JLSZOIT,O,X,X,X,X
JLSOTIZ,X,O,X,X,X
JLSOTZI,O,X,X,X,X
JLSOITZ,X,O,X,X,X
JLSOIZT,X,O,X,X,X
JLSOZTI,O,X,X,X,X
JLSOZIT,O,X,X,X,X
JLZTISO,X,O,X,X,X
JLZTIOS,O,O,X,X,X
JLZTSIO,O,X,X,X,O
JLZTSOI,O,X,X,X,O
JLZTOIS,O,O,X,X,X
JLZTOSI,O,X,X,X,O
JLZITSO,X,O,X,X,X
JLZITOS,O,O,X,X,X
JLZISTO,O,O,X,X,X
JLZISOT,O,O,X,X,X
JLZIOTS,O,O,X,X,X
JLZIOST,O,O,X,X,X
JLZSTIO,O,X,X,X,O
JLZSTOI,O,X,X,X,O
JLZSITO,O,X,X,X,O
JLZSIOT,O,X,X,X,O
JLZSOTI,O,X,X,X,O
JLZSOIT,O,X,X,X,O
JLZOTIS,O,O,X,X,X
JLZOTSI,O,X,X,X,O
JLZOITS,O,O,X,X,X
JLZOIST,O,O,X,X,X
JLZOSTI,O,X,X,X,O
JLZOSIT,O,X,X,X,O
JLOTISZ,X,O,X,X,X
JLOTIZS,X,O,X,X,X
JLOTSIZ,X,O,X,X,X
JLOTSZI,O,X,X,X,X
JLOTZIS,O,O,X,X,X
JLOTZSI,O,X,X,X,O
JLOITSZ,X,O,X,X,X
JLOITZS,X,O,X,X,X
JLOISTZ,X,O,X,X,X
JLOISZT,X,O,X,X,X
JLOIZTS,X,O,X,X,X
JLOIZST,X,O,X,X,X
JLOSTIZ,X,O,X,X,X
JLOSTZI,O,X,X,X,X
JLOSITZ,X,O,X,X,X
JLOSIZT,X,O,X,X,X
JLOSZTI,O,X,X,X,X
JLOSZIT,O,X,X,X,X
JLOZTIS,O,O,X,X,X
JLOZTSI,O,X,X,X,O
JLOZITS,O,O,X,X,X
JLOZIST,O,O,X,X,X
JLOZSTI,O,X,X,X,O
JLOZSIT,O,X,X,X,O
JSTILZO,X,O,O,X,X
JSTILOZ,X,O,O,X,X
JSTIZLO,X,X,O,X,X
JSTIZOL,X,X,O,O,X
JSTIOLZ,X,O,O,X,X
JSTIOZL,X,X,O,O,X
JSTLIZO,X,O,O,X,X
JSTLIOZ,X,O,O,X,X
JSTLZIO,O,X,X,X,X
JSTLZOI,O,X,X,X,X
JSTLOIZ,X,O,O,X,X
JSTLOZI,O,X,X,X,X
JSTZILO,O,X,X,X,O
JSTZIOL,X,X,X,O,O
JSTZLIO,O,X,X,X,O
JSTZLOI,O,X,X,X,O
JSTZOIL,X,X,X,O,O
JSTZOLI,X,X,X,O,O
JSTOILZ,X,O,O,X,X
JSTOIZL,X,X,O,O,X
JSTOLIZ,X,O,O,X,X
JSTOLZI,O,X,X,X,X
JSTOZIL,X,X,X,O,O
JSTOZLI,X,X,X,O,O
JSITLZO,X,O,O,X,X
JSITLOZ,X,O,O,X,X
JSITZLO,X,X,O,X,X
JSITZOL,X,X,O,O,X
JSITOLZ,X,O,O,X,X
JSITOZL,X,X,O,O,X
JSILTZO,X,O,O,X,X
JSILTOZ,X,O,O,X,X
JSILZTO,X,O,O,X,X
JSILZOT,X,O,O,X,X
JSILOTZ,X,O,O,X,X
JSILOZT,X,O,O,X,X
JSIZTLO,X,X,O,X,X
JSIZTOL,X,X,O,O,X
JSIZLTO,X,X,O,X,X
JSIZLOT,X,X,O,X,X
JSIZOTL,X,X,O,O,X
JSIZOLT,X,X,O,X,X
JSIOTLZ,X,O,O,X,X
JSIOTZL,X,X,O,O,X
JSIOLTZ,X,O,O,X,X
JSIOLZT,X,O,O,X,X
JSIOZTL,X,X,O,O,X
JSIOZLT,X,X,O,X,X
JSLTIZO,X,O,O,X,X
JSLTIOZ,X,O,O,X,X
JSLTZIO,O,X,X,X,X
JSLTZOI,O,X,X,X,X
JSLTOIZ,X,O,O,X,X
JSLTOZI,O,X,X,X,X
JSLITZO,X,O,O,X,X
JSLITOZ,X,O,O,X,X
JSLIZTO,X,O,O,X,X
JSLIZOT,X,O,O,X,X
JSLIOTZ,X,O,O,X,X
JSLIOZT,X,O,O,X,X
JSLZTIO,O,X,X,X,X
JSLZTOI,O,X,X,X,X
JSLZITO,O,X,X,X,X
JSLZIOT,O,X,X,X,X
JSLZOTI,O,X,X,X,X
JSLZOIT,O,X,X,X,X
JSLOTIZ,X,O,O,X,X
JSLOTZI,O,X,X,X,X
JSLOITZ,X,O,O,X,X
JSLOIZT,X,O,O,X,X
JSLOZTI,O,X,X,X,X
JSLOZIT,O,X,X,X,X
JSZTILO,O,X,X,X,O
JSZTIOL,X,X,X,O,O
JSZTLIO,O,X,X,X,O
JSZTLOI,O,X,X,X,O
JSZTOIL,X,X,X,O,O
JSZTOLI,X,X,X,O,O
JSZITLO,O,X,X,X,O
JSZITOL,X,X,X,O,O
JSZILTO,O,X,X,X,O
JSZILOT,O,X,X,X,O
JSZIOTL,X,X,X,O,O
JSZIOLT,X,X,X,X,O
JSZLTIO,O,X,X,X,O
JSZLTOI,O,X,X,X,O
JSZLITO,O,X,X,X,O
JSZLIOT,O,X,X,X,O
JSZLOTI,O,X,X,X,O
JSZLOIT,O,X,X,X,O
JSZOTIL,X,X,X,O,O
JSZOTLI,X,X,X,O,O
JSZOITL,X,X,X,O,O
JSZOILT,X,X,X,X,O
JSZOLTI,X,X,X,X,O
JSZOLIT,X,X,X,X,O
JSOTILZ,X,O,O,X,X
JSOTIZL,X,X,O,O,X
JSOTLIZ,X,O,O,X,X
JSOTLZI,O,X,X,X,X
JSOTZIL,X,X,X,O,O
JSOTZLI,X,X,X,O,O
JSOITLZ,X,O,O,X,X
JSOITZL,X,X,O,O,X
JSOILTZ,X,O,O,X,X
JSOILZT,X,O,O,X,X
JSOIZTL,X,X,O,O,X
JSOIZLT,X,X,O,X,X
JSOLTIZ,X,O,O,X,X
JSOLTZI,O,X,X,X,X
JSOLITZ,X,O,O,X,X
JSOLIZT,X,O,O,X,X
JSOLZTI,O,X,X,X,X
JSOLZIT,O,X,X,X,X
JSOZTIL,X,X,X,O,O
JSOZTLI,X,X,X,O,O
JSOZITL,X,X,X,O,O
JSOZILT,X,X,X,X,O
JSOZLTI,X,X,X,X,O
JSOZLIT,X,X,X,X,O
JZTILSO,X,O,X,X,X
JZTILOS,O,O,X,X,X
JZTISLO,X,X,X,X,O
JZTISOL,X,X,X,X,O
JZTIOLS,X,O,X,X,X
JZTIOSL,X,X,X,X,O
JZTLISO,X,O,X,X,X
JZTLIOS,O,O,X,X,X
JZTLSIO,O,X,X,X,O
JZTLSOI,O,X,X,X,O
JZTLOIS,O,O,X,X,X
JZTLOSI,O,X,X,X,O
JZTSILO,O,X,X,X,O
JZTSIOL,X,X,X,O,O
JZTSLIO,O,X,X,X,O
JZTSLOI,O,X,X,X,O
JZTSOIL,X,X,X,O,O
JZTSOLI,X,X,X,O,O
JZTOILS,X,O,X,X,X
JZTOISL,X,X,X,X,O
JZTOLIS,X,O,X,X,X
JZTOLSI,X,X,X,X,O
JZTOSIL,X,X,X,O,O
JZTOSLI,X,X,X,O,O
JZITLSO,X,O,X,X,X
JZITLOS,O,O,X,X,X
JZITSLO,X,X,X,X,O
JZITSOL,X,X,X,X,O
JZITOLS,X,O,X,X,X
JZITOSL,X,X,X,X,O
JZILTSO,X,O,X,X,X
JZILTOS,O,O,X,X,X
JZILSTO,O,O,X,X,X
JZILSOT,O,O,X,X,X
JZILOTS,O,O,X,X,X
JZILOST,O,O,X,X,X
JZISTLO,O,X,X,X,O
JZISTOL,X,X,X,O,O
JZISLTO,O,X,X,X,O
JZISLOT,O,X,X,X,O
JZISOTL,X,X,X,O,O
JZISOLT,X,X,X,X,O
JZIOTLS,X,O,X,X,X
JZIOTSL,X,X,X,X,O
JZIOLTS,X,O,X,X,X
JZIOLST,X,O,X,X,X
JZIOSTL,X,X,X,O,O
JZIOSLT,X,X,X,X,O
JZLTISO,X,O,X,X,X
JZLTIOS,O,O,X,X,X
JZLTSIO,O,X,X,X,O
JZLTSOI,O,X,X,X,O
JZLTOIS,O,O,X,X,X
JZLTOSI,O,X,X,X,O
JZLITSO,X,O,X,X,X
JZLITOS,O,O,X,X,X
JZLISTO,O,O,X,X,X
JZLISOT,O,O,X,X,X
JZLIOTS,O,O,X,X,X
JZLIOST,O,O,X,X,X
JZLSTIO,O,X,X,X,O
JZLSTOI,O,X,X,X,O
JZLSITO,O,X,X,X,O
JZLSIOT,O,X,X,X,O
JZLSOTI,O,X,X,X,O
JZLSOIT,O,X,X,X,O
JZLOTIS,O,O,X,X,X
JZLOTSI,O,X,X,X,O
JZLOITS,O,O,X,X,X
JZLOIST,O,O,X,X,X
JZLOSTI,O,X,X,X,O
JZLOSIT,O,X,X,X,O
JZSTILO,O,X,X,X,O
JZSTIOL,X,X,X,O,O
JZSTLIO,O,X,X,X,O
JZSTLOI,O,X,X,X,O
JZSTOIL,X,X,X,O,O
JZSTOLI,X,X,X,O,O
JZSITLO,O,X,X,X,O
JZSITOL,X,X,X,O,O
JZSILTO,O,X,X,X,O
JZSILOT,O,X,X,X,O
JZSIOTL,X,X,X,O,O
JZSIOLT,X,X,X,X,O
JZSLTIO,O,X,X,X,O
JZSLTOI,O,X,X,X,O
JZSLITO,O,X,X,X,O
JZSLIOT,O,X,X,X,O
JZSLOTI,O,X,X,X,O
JZSLOIT,O,X,X,X,O
JZSOTIL,X,X,X,O,O
JZSOTLI,X,X,X,O,O
JZSOITL,X,X,X,O,O
JZSOILT,X,X,X,X,O
JZSOLTI,X,X,X,X,O
JZSOLIT,X,X,X,X,O
JZOTILS,X,O,X,X,X
JZOTISL,X,X,X,X,O
JZOTLIS,X,O,X,X,X
JZOTLSI,X,X,X,X,O
JZOTSIL,X,X,X,O,O
JZOTSLI,X,X,X,O,O
JZOITLS,X,O,X,X,X
JZOITSL,X,X,X,X,O
JZOILTS,X,O,X,X,X
JZOILST,X,O,X,X,X
JZOISTL,X,X,X,O,O
JZOISLT,X,X,X,X,O
JZOLTIS,X,O,X,X,X
JZOLTSI,X,X,X,X,O
JZOLITS,X,O,X,X,X
JZOLIST,X,O,X,X,X
JZOLSTI,X,X,X,X,O
JZOLSIT,X,X,X,X,O
JZOSTIL,X,X,X,O,O
JZOSTLI,X,X,X,O,O
JZOSITL,X,X,X,O,O
JZOSILT,X,X,X,X,O
JZOSLTI,X,X,X,X,O
JZOSLIT,X,X,X,X,O
JOTILSZ,X,O,X,X,X
JOTILZS,X,O,X,X,X
JOTISLZ,X,O,O,X,X
JOTISZL,X,X,O,X,X
JOTIZLS,X,O,X,X,X
JOTIZSL,X,X,O,X,O
JOTLISZ,X,O,X,X,X
JOTLIZS,X,O,X,X,X
JOTLSIZ,X,O,X,X,X
JOTLSZI,O,X,X,X,X
JOTLZIS,O,O,X,X,X
JOTLZSI,O,X,X,X,O
JOTSILZ,X,O,O,X,X
JOTSIZL,X,X,O,X,X
JOTSLIZ,X,O,O,X,X
JOTSLZI,O,X,X,X,X
JOTSZIL,X,X,X,X,O
JOTSZLI,X,X,X,X,O
JOTZILS,X,O,X,X,X
JOTZISL,X,X,X,X,O
JOTZLIS,X,O,X,X,X
JOTZLSI,X,X,X,X,O
JOTZSIL,X,X,X,X,O
JOTZSLI,X,X,X,X,O
JOITLSZ,X,O,X,X,X
JOITLZS,X,O,X,X,X
JOITSLZ,X,O,O,X,X
JOITSZL,X,X,O,X,X
JOITZLS,X,O,X,X,X
JOITZSL,X,X,O,X,O
JOILTSZ,X,O,X,X,X
JOILTZS,X,O,X,X,X
JOILSTZ,X,O,X,X,X
JOILSZT,X,O,X,X,X
JOILZTS,X,O,X,X,X
JOILZST,X,O,X,X,X
JOISTLZ,X,O,O,X,X
JOISTZL,X,X,O,O,X
JOISLTZ,X,O,O,X,X
JOISLZT,X,O,O,X,X
JOISZTL,X,X,O,O,X
JOISZLT,X,X,O,X,X
JOIZTLS,X,O,X,X,X
JOIZTSL,X,X,O,X,O
JOIZLTS,X,O,X,X,X
JOIZLST,X,O,X,X,X
JOIZSTL,X,X,O,O,O
JOIZSLT,X,X,O,X,O
JOLTISZ,X,O,X,X,X
JOLTIZS,X,O,X,X,X
JOLTSIZ,X,O,X,X,X
JOLTSZI,O,X,X,X,X
JOLTZIS,O,O,X,X,X
JOLTZSI,O,X,X,X,O
JOLITSZ,X,O,X,X,X
JOLITZS,X,O,X,X,X
JOLISTZ,X,O,X,X,X
JOLISZT,X,O,X,X,X
JOLIZTS,X,O,X,X,X
JOLIZST,X,O,X,X,X
JOLSTIZ,X,O,X,X,X
JOLSTZI,O,X,X,X,X
JOLSITZ,X,O,X,X,X
JOLSIZT,X,O,X,X,X
JOLSZTI,O,X,X,X,X
JOLSZIT,O,X,X,X,X
JOLZTIS,O,O,X,X,X
JOLZTSI,O,X,X,X,O
JOLZITS,O,O,X,X,X
JOLZIST,O,O,X,X,X
JOLZSTI,O,X,X,X,O
JOLZSIT,O,X,X,X,O
JOSTILZ,X,O,O,X,X
JOSTIZL,X,X,O,O,X
JOSTLIZ,X,O,O,X,X
JOSTLZI,O,X,X,X,X
JOSTZIL,X,X,X,O,O
JOSTZLI,X,X,X,O,O
JOSITLZ,X,O,O,X,X
JOSITZL,X,X,O,O,X
JOSILTZ,X,O,O,X,X
JOSILZT,X,O,O,X,X
JOSIZTL,X,X,O,O,X
JOSIZLT,X,X,O,X,X
JOSLTIZ,X,O,O,X,X
JOSLTZI,O,X,X,X,X
JOSLITZ,X,O,O,X,X
JOSLIZT,X,O,O,X,X
JOSLZTI,O,X,X,X,X
JOSLZIT,O,X,X,X,X
JOSZTIL,X,X,X,O,O
JOSZTLI,X,X,X,O,O
JOSZITL,X,X,X,O,O
JOSZILT,X,X,X,X,O
JOSZLTI,X,X,X,X,O
JOSZLIT,X,X,X,X,O
JOZTILS,X,O,X,X,X
JOZTISL,X,X,X,X,O
JOZTLIS,X,O,X,X,X
JOZTLSI,X,X,X,X,O
JOZTSIL,X,X,X,O,O
JOZTSLI,X,X,X,O,O
JOZITLS,X,O,X,X,X
JOZITSL,X,X,X,X,O
JOZILTS,X,O,X,X,X
JOZILST,X,O,X,X,X
JOZISTL,X,X,X,O,O
JOZISLT,X,X,X,X,O
JOZLTIS,X,O,X,X,X
JOZLTSI,X,X,X,X,O
JOZLITS,X,O,X,X,X
JOZLIST,X,O,X,X,X
JOZLSTI,X,X,X,X,O
JOZLSIT,X,X,X,X,O
JOZSTIL,X,X,X,O,O
JOZSTLI,X,X,X,O,O
JOZSITL,X,X,X,O,O
JOZSILT,X,X,X,X,O
JOZSLTI,X,X,X,X,O
JOZSLIT,X,X,X,X,O
STILJZO,X,O,O,X,X
STILJOZ,X,O,O,X,X
STILZJO,O,X,O,X,X
STILZOJ,O,X,O,O,X
STILOJZ,X,O,O,X,X
STILOZJ,O,X,O,O,X
STIJLZO,X,O,O,X,X
STIJLOZ,X,O,O,X,X
STIJZLO,X,X,O,X,X
STIJZOL,X,X,O,O,X
STIJOLZ,X,O,O,X,X
STIJOZL,X,X,O,O,X
STIZLJO,O,X,O,X,X
STIZLOJ,O,X,O,O,X
STIZJLO,O,X,O,X,X
STIZJOL,X,X,O,O,X
STIZOLJ,O,X,O,O,X
STIZOJL,X,X,O,O,X
STIOLJZ,X,O,O,X,X
STIOLZJ,O,X,O,O,X
STIOJLZ,X,O,O,X,X
STIOJZL,X,X,O,O,X
STIOZLJ,X,X,O,O,X
STIOZJL,X,X,O,O,X
STLIJZO,X,O,O,X,X
STLIJOZ,X,O,O,X,X
STLIZJO,O,X,O,X,X
STLIZOJ,O,X,O,O,X
STLIOJZ,X,O,O,X,X
STLIOZJ,O,X,O,O,X
STLJIZO,X,O,O,X,X
STLJIOZ,X,O,O,X,X
STLJZIO,O,X,X,X,X
STLJZOI,O,X,X,X,X
STLJOIZ,X,O,O,X,X
STLJOZI,O,X,X,X,X
STLZIJO,O,X,O,X,X
STLZIOJ,O,X,O,O,X
STLZJIO,O,X,X,X,X
STLZJOI,O,X,X,X,X
STLZOIJ,O,X,O,O,X
STLZOJI,O,X,X,O,X
STLOIJZ,X,O,O,X,X
STLOIZJ,O,X,O,O,X
STLOJIZ,X,O,O,X,X
STLOJZI,O,X,X,X,X
STLOZIJ,O,X,O,O,X
STLOZJI,O,X,X,O,X
STJILZO,X,O,O,X,X
STJILOZ,X,O,O,X,X
STJIZLO,X,X,O,X,X
STJIZOL,X,X,O,O,X
STJIOLZ,X,O,O,X,X
STJIOZL,X,X,O,O,X
STJLIZO,X,O,O,X,X
STJLIOZ,X,O,O,X,X
STJLZIO,O,X,X,X,X
STJLZOI,O,X,X,X,X
STJLOIZ,X,O,O,X,X
STJLOZI,O,X,X,X,X
STJZILO,O,X,X,X,O
STJZIOL,X,X,X,O,O
STJZLIO,O,X,X,X,O
STJZLOI,O,X,X,X,O
STJZOIL,X,X,X,O,O
STJZOLI,X,X,X,O,O
STJOILZ,X,O,O,X,X
STJOIZL,X,X,O,O,X
STJOLIZ,X,O,O,X,X
STJOLZI,O,X,X,X,X
STJOZIL,X,X,X,O,O
STJOZLI,X,X,X,O,O
STZILJO,O,X,O,X,X
STZILOJ,O,X,O,O,X
STZIJLO,O,X,O,X,O
STZIJOL,X,X,O,O,O
STZIOLJ,O,X,O,O,X
STZIOJL,X,X,O,O,O
STZLIJO,O,X,O,X,X
STZLIOJ,O,X,O,O,X
STZLJIO,O,X,X,X,O
STZLJOI,O,X,X,X,O
STZLOIJ,O,X,O,O,X
STZLOJI,O,X,X,O,O
STZJILO,O,X,X,X,O
STZJIOL,X,X,X,O,O
STZJLIO,O,X,X,X,O
STZJLOI,O,X,X,X,O
STZJOIL,X,X,X,O,O
STZJOLI,X,X,X,O,O
STZOILJ,O,X,O,O,X
STZOIJL,X,X,O,O,O
STZOLIJ,O,X,O,O,X
STZOLJI,O,X,X,O,O
STZOJIL,X,X,X,O,O
STZOJLI,X,X,X,O,O
STOILJZ,X,O,O,X,X
STOILZJ,O,X,O,O,X
STOIJLZ,X,O,O,X,X
STOIJZL,X,X,O,O,X
STOIZLJ,X,X,O,O,X
STOIZJL,X,X,O,O,X
STOLIJZ,X,O,O,X,X
STOLIZJ,O,X,O,O,X
STOLJIZ,X,O,O,X,X
STOLJZI,O,X,X,X,X
STOLZIJ,O,X,O,O,X
STOLZJI,O,X,X,O,X
STOJILZ,X,O,O,X,X
STOJIZL,X,X,O,O,X
STOJLIZ,X,O,O,X,X
STOJLZI,O,X,X,X,X
STOJZIL,X,X,X,O,O
STOJZLI,X,X,X,O,O
STOZILJ,O,X,O,O,X
STOZIJL,X,X,O,O,O
STOZLIJ,O,X,O,O,X
STOZLJI,O,X,X,O,O
STOZJIL,X,X,X,O,O
STOZJLI,X,X,X,O,O
SITLJZO,X,O,O,X,X
SITLJOZ,X,O,O,X,X
SITLZJO,O,X,O,X,X
SITLZOJ,O,X,O,O,X
SITLOJZ,X,O,O,X,X
SITLOZJ,O,X,O,O,X
SITJLZO,X,O,O,X,X
SITJLOZ,X,O,O,X,X
SITJZLO,X,X,O,X,X
SITJZOL,X,X,O,O,X
SITJOLZ,X,O,O,X,X
SITJOZL,X,X,O,O,X
SITZLJO,O,X,O,X,X
SITZLOJ,O,X,O,O,X
SITZJLO,O,X,O,X,X
SITZJOL,X,X,O,O,X
SITZOLJ,O,X,O,O,X
SITZOJL,X,X,O,O,X
SITOLJZ,X,O,O,X,X
SITOLZJ,O,X,O,O,X
SITOJLZ,X,O,O,X,X
SITOJZL,X,X,O,O,X
SITOZLJ,X,X,O,O,X
SITOZJL,X,X,O,O,X
SILTJZO,X,O,O,X,X
SILTJOZ,X,O,O,X,X
SILTZJO,O,X,O,X,X
SILTZOJ,O,X,O,O,X
SILTOJZ,X,O,O,X,X
SILTOZJ,O,X,O,O,X
SILJTZO,X,O,O,X,X
SILJTOZ,X,O,O,X,X
SILJZTO,X,O,O,X,X
SILJZOT,X,O,O,X,X
SILJOTZ,X,O,O,X,X
SILJOZT,X,O,O,X,X
SILZTJO,O,X,O,X,X
SILZTOJ,O,X,O,O,X
SILZJTO,O,X,O,X,X
SILZJOT,O,X,O,X,X
SILZOTJ,O,X,O,O,X
SILZOJT,O,X,O,X,X
SILOTJZ,X,O,O,X,X
SILOTZJ,O,X,O,O,X
SILOJTZ,X,O,O,X,X
SILOJZT,X,O,O,X,X
SILOZTJ,O,X,O,O,X
SILOZJT,O,X,O,X,X
SIJTLZO,X,O,O,X,X
SIJTLOZ,X,O,O,X,X
SIJTZLO,X,X,O,X,X
SIJTZOL,X,X,O,O,X
