sequence,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBFlBCl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBClBFl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBOpBimBlk?BzrB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFxhBXjB1pByrBOp?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFqkBTgBUiBFjBmr?B/rB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFFjBOpBxmB0kB/r?BasB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBTkBmrBlr?BipB
TSLOZIJ,X,X,X,O,X,X,X
TSLOZJI,X,X,X,O,X,X,X
TSJILZO,O,O,X,X,O,X,X
TSJILOZ,X,X,X,X,O,X,X
TSJIZLO,O,X,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,O,X
TSJIOZL,O,X,X,X,X,O,X
TSJLIZO,O,O,O,O,O,X,X
TSJLIOZ,X,X,X,O,O,X,X
TSJLZIO,O,O,O,O,X,X,X
TSJLZOI,O,O,O,O,X,X,X
TSJLOIZ,X,X,X,O,O,X,X
TSJLOZI,X,X,X,O,X,X,X
TSJZILO,O,X,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,X
TSJZLIO,O,X,O,X,X,X,X
TSJZLOI,O,X,O,X,X,X,X
TSJZOIL,O,X,X,X,X,X,O
TSJZOLI,O,X,O,X,X,X,O
TSJOILZ,X,X,X,X,X,O,X
TSJOIZL,O,X,X,X,X,O,X
TSJOLIZ,X,X,O,O,O,X,X
TSJOLZI,X,X,O,O,X,X,X
TSJOZIL,O,X,X,X,X,X,O
TSJOZLI,O,X,O,X,X,X,O
TSZILJO,O,O,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,X,X,X
TSZLIOJ,O,O,X,O,X,X,X
TSZLJIO,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,X,X,X
TSZLOIJ,O,O,X,O,X,X,X
TSZLOJI,O,O,X,O,X,X,X
TSZJILO,O,O,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X
TSZJOIL,O,O,X,X,X,X,O
TSZJOLI,O,O,O,X,X,X,O
TSZOILJ,O,O,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,O,X,X,X
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,O,O,X,X,X,X,O
TSZOJLI,O,O,O,X,X,X,O
TSOILJZ,X,X,X,O,X,X,X
TSOILZJ,X,X,X,O,X,X,X
TSOIJLZ,X,X,X,X,X,O,X
TSOIJZL,O,X,X,X,X,O,X
TSOIZLJ,O,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,X
TSOLIJZ,X,X,O,O,O,X,X
TSOLIZJ,X,X,O,O,X,X,X
TSOLJIZ,X,X,O,O,O,X,X
TSOLJZI,X,X,O,O,X,X,X
TSOLZIJ,X,X,O,O,X,X,X
TSOLZJI,X,X,O,O,X,X,X
TSOJILZ,X,X,X,X,X,O,X
TSOJIZL,O,X,X,X,X,O,X
TSOJLIZ,X,X,O,O,O,X,X
TSOJLZI,X,X,O,O,X,X,X
TSOJZIL,O,X,X,X,X,X,O
TSOJZLI,O,X,O,X,X,X,O
TSOZILJ,O,X,X,X,X,X,X
TSOZIJL,O,X,X,X,X,X,X
TSOZLIJ,O,X,O,O,X,X,X
TSOZLJI,O,X,O,O,X,X,X
TSOZJIL,O,X,X,X,X,X,O
TSOZJLI,O,X,O,X,X,X,O
TZILJSO,O,O,X,X,O,X,X
TZILJOS,O,O,X,X,O,X,X
TZILSJO,O,O,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X
TZILOJS,O,O,X,X,O,X,X
TZILOSJ,O,O,X,X,X,X,X
TZIJLSO,O,O,X,X,O,X,X
TZIJLOS,O,O,X,X,O,X,X
TZIJSLO,O,O,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X
TZIJOLS,O,O,X,X,X,O,X
TZIJOSL,O,O,X,X,X,O,X
TZISLJO,O,O,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,X
TZIOJLS,O,O,X,X,X,O,X
TZIOJSL,O,O,X,X,X,O,X
TZIOSLJ,O,O,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X
TZLIJSO,O,O,O,O,O,X,X
TZLIJOS,O,O,X,O,O,X,X
TZLISJO,O,O,O,O,X,X,X
TZLISOJ,O,O,X,O,X,X,X
TZLIOJS,O,O,X,O,O,X,X
TZLIOSJ,O,O,X,O,X,X,X
TZLJISO,O,O,O,O,O,X,X
TZLJIOS,O,O,X,O,O,X,X
TZLJSIO,O,O,O,O,X,X,X
TZLJSOI,O,O,O,O,X,X,X
TZLJOIS,O,O,X,O,O,X,X
TZLJOSI,O,O,X,O,X,X,X
TZLSIJO,O,O,O,O,X,X,X
TZLSIOJ,O,O,X,O,X,X,X
TZLSJIO,O,O,O,O,X,X,X
TZLSJOI,O,O,O,O,X,X,X
TZLSOIJ,O,O,X,O,X,X,X
TZLSOJI,O,O,X,O,X,X,X
TZLOIJS,O,O,X,O,O,X,X
TZLOISJ,O,O,X,O,X,X,X
TZLOJIS,O,O,X,O,O,X,X
TZLOJSI,O,O,X,O,X,X,X
TZLOSIJ,O,O,X,O,X,X,X
TZLOSJI,O,O,X,O,X,X,X
TZJILSO,O,O,X,X,O,X,X
TZJILOS,O,O,X,X,O,X,X
TZJISLO,O,O,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X
TZJIOLS,O,O,X,X,X,O,X
TZJIOSL,O,O,X,X,X,O,X
TZJLISO,O,O,O,X,O,X,X
TZJLIOS,O,O,X,X,O,X,X
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X
TZJLOIS,O,O,X,X,O,X,X
TZJLOSI,O,O,X,X,X,X,X
TZJSILO,O,O,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X
TZJSOIL,O,O,X,X,X,X,O
TZJSOLI,O,O,O,X,X,X,O
TZJOILS,O,O,X,X,X,O,O
TZJOISL,O,O,X,X,X,O,O
TZJOLIS,O,O,O,X,O,X,O
TZJOLSI,O,O,O,X,X,X,O
TZJOSIL,O,O,X,X,X,X,O
TZJOSLI,O,O,O,X,X,X,O
TZSILJO,O,O,X,X,X,X,X
TZSILOJ,O,O,X,X,X,X,X
