sequence,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BFhBaoB+qBcrBXsB,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BGhBaoBUmB1vBXsB
IJTSZOL,X,X
IJTSOLZ,X,X
IJTSOZL,X,X
IJTZLSO,X,X
IJTZLOS,X,X
IJTZSLO,X,X
IJTZSOL,X,X
IJTZOLS,X,X
IJTZOSL,X,X
IJTOLSZ,X,X
IJTOLZS,X,X
IJTOSLZ,X,X
IJTOSZL,X,X
IJTOZLS,X,X
IJTOZSL,X,X
IJLTSZO,X,X
IJLTSOZ,X,X
IJLTZSO,X,X
IJLTZOS,X,X
IJLTOSZ,X,X
IJLTOZS,X,X
IJLSTZO,X,X
IJLSTOZ,X,X
IJLSZTO,O,X
IJLSZOT,O,X
IJLSOTZ,X,X
IJLSOZT,O,X
IJLZTSO,X,X
IJLZTOS,O,X
IJLZSTO,X,X
IJLZSOT,X,X
IJLZOTS,O,X
IJLZOST,X,X
IJLOTSZ,X,X
IJLOTZS,X,X
IJLOSTZ,X,X
IJLOSZT,O,X
IJLOZTS,O,X
IJLOZST,X,X
IJSTLZO,X,X
IJSTLOZ,X,X
IJSTZLO,X,X
IJSTZOL,X,X
IJSTOLZ,X,X
IJSTOZL,X,X
IJSLTZO,X,X
IJSLTOZ,X,X
IJSLZTO,O,X
IJSLZOT,O,X
IJSLOTZ,X,X
IJSLOZT,O,X
IJSZTLO,O,X
IJSZTOL,O,X
IJSZLTO,O,X
IJSZLOT,O,X
IJSZOTL,O,X
IJSZOLT,O,X
IJSOTLZ,X,X
IJSOTZL,X,X
IJSOLTZ,X,X
IJSOLZT,O,X
IJSOZTL,O,X
IJSOZLT,O,X
IJZTLSO,X,X
IJZTLOS,O,X
IJZTSLO,X,X
IJZTSOL,X,X
IJZTOLS,O,X
IJZTOSL,X,X
IJZLTSO,X,X
IJZLTOS,O,X
IJZLSTO,X,X
IJZLSOT,X,X
IJZLOTS,O,X
IJZLOST,X,X
IJZSTLO,X,X
IJZSTOL,X,X
IJZSLTO,X,X
IJZSLOT,X,X
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,O,X
IJZOTSL,X,X
IJZOLTS,O,X
IJZOLST,X,X
IJZOSTL,X,X
IJZOSLT,X,X
IJOTLSZ,X,X
IJOTLZS,X,X
IJOTSLZ,X,X
IJOTSZL,X,X
IJOTZLS,X,X
