sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TSJOLZI,X,O,X,X,X,X
TSJOZIL,X,O,X,O,X,X
TSJOZLI,X,O,X,O,X,X
TSZILJO,O,X,O,O,O,X
TSZILOJ,O,X,O,O,O,X
TSZIJLO,O,O,O,O,O,X
TSZIJOL,O,O,X,O,O,X
TSZIOLJ,O,X,O,O,O,X
TSZIOJL,O,O,X,O,O,X
TSZLIJO,O,X,O,O,O,X
TSZLIOJ,O,X,O,O,O,X
TSZLJIO,O,X,O,O,O,X
TSZLJOI,O,X,X,O,O,X
TSZLOIJ,O,X,O,O,O,X
TSZLOJI,O,X,X,O,O,X
TSZJILO,O,O,O,O,O,X
TSZJIOL,O,O,X,O,O,X
TSZJLIO,O,O,O,O,O,X
TSZJLOI,O,O,X,O,O,X
TSZJOIL,O,O,X,O,O,X
TSZJOLI,O,O,X,O,O,X
TSZOILJ,O,X,O,O,O,X
TSZOIJL,O,O,X,O,O,X
TSZOLIJ,O,X,O,O,O,X
TSZOLJI,O,X,X,O,O,X
TSZOJIL,O,O,X,O,O,X
TSZOJLI,O,O,X,O,O,X
TSOILJZ,X,O,O,X,X,O
TSOILZJ,O,X,O,O,O,O
TSOIJLZ,X,O,O,X,X,O
TSOIJZL,X,O,O,O,X,X
TSOIZLJ,O,X,O,O,O,X
TSOIZJL,O,O,O,O,O,X
TSOLIJZ,X,O,O,X,X,O
TSOLIZJ,O,X,O,O,O,O
TSOLJIZ,X,O,O,X,X,O
TSOLJZI,X,O,O,X,X,X
TSOLZIJ,O,X,O,O,O,X
TSOLZJI,O,X,O,O,O,X
TSOJILZ,X,O,O,X,X,O
TSOJIZL,X,O,O,O,X,X
TSOJLIZ,X,O,O,X,X,O
TSOJLZI,X,O,O,X,X,X
TSOJZIL,X,O,O,O,X,X
TSOJZLI,X,O,O,O,X,X
TSOZILJ,O,X,O,O,O,X
TSOZIJL,O,O,O,O,O,X
TSOZLIJ,O,X,O,O,O,X
TSOZLJI,O,X,O,O,O,X
TSOZJIL,O,O,O,O,O,X
TSOZJLI,O,O,O,O,O,X
TZILJSO,X,X,X,O,O,O
TZILJOS,O,X,X,O,X,O
TZILSJO,O,X,O,O,O,O
TZILSOJ,O,X,O,O,O,O
TZILOJS,O,X,X,O,X,O
TZILOSJ,O,X,X,O,X,O
TZIJLSO,X,X,X,O,O,O
TZIJLOS,O,X,X,O,X,O
TZIJSLO,X,O,X,O,X,X
TZIJSOL,X,O,X,O,X,X
TZIJOLS,O,X,X,O,X,O
TZIJOSL,X,O,X,O,X,X
TZISLJO,O,X,O,O,O,X
TZISLOJ,O,X,O,O,O,X
