sequence,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFFiBTjBGlB0?mB3pByvB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeuEJvhFFhBXiBTjBy?uBRrB0qB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeSFJvhFxhBTjBmmBU?qBFrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeUBJvhFFiBTjBClB2?vBRrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjB3?pBFrBUqB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjBU?lB1uBXrB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JexAJvhFXiBTjBllBU?qBirB+pB
IZTJOLS,O,X,O,O,X,X,X
IZTJOSL,O,X,O,O,X,X,X
IZTSLJO,X,O,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X
IZTSJLO,O,X,O,O,X,X,X
IZTSJOL,O,X,O,O,X,X,X
IZTSOLJ,O,O,X,X,X,X,X
IZTSOJL,O,X,O,O,X,X,X
IZTOLJS,O,O,O,O,X,X,O
IZTOLSJ,O,O,X,X,X,X,O
IZTOJLS,O,X,O,O,X,X,X
IZTOJSL,O,X,O,O,X,X,X
IZTOSLJ,O,O,X,X,X,X,X
IZTOSJL,O,X,O,O,X,X,X
IZLTJSO,O,O,O,O,X,X,O
IZLTJOS,O,O,O,O,X,X,O
IZLTSJO,X,O,X,X,X,X,O
IZLTSOJ,O,O,X,X,X,X,O
IZLTOJS,O,O,O,O,X,X,O
IZLTOSJ,O,O,X,X,X,X,O
IZLJTSO,O,O,X,O,X,X,X
IZLJTOS,O,O,X,O,X,X,X
IZLJSTO,O,O,X,O,X,X,X
IZLJSOT,O,O,X,O,X,X,X
IZLJOTS,O,O,O,O,X,X,X
IZLJOST,O,O,X,O,X,X,X
IZLSTJO,X,O,X,X,X,X,O
IZLSTOJ,O,O,X,X,X,X,O
IZLSJTO,X,O,X,X,X,X,X
IZLSJOT,X,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,O
IZLSOJT,X,O,X,X,X,X,X
IZLOTJS,O,O,O,O,X,X,O
IZLOTSJ,O,O,X,X,X,X,O
IZLOJTS,O,O,O,O,X,X,X
IZLOJST,O,O,X,O,X,X,X
IZLOSTJ,O,O,X,X,X,X,O
IZLOSJT,X,O,X,X,X,X,X
IZJTLSO,X,X,O,O,X,X,X
IZJTLOS,X,X,O,O,X,X,X
IZJTSLO,X,X,O,O,X,X,X
IZJTSOL,X,X,O,O,X,X,X
IZJTOLS,O,X,O,O,X,X,X
IZJTOSL,O,X,O,O,X,X,X
IZJLTSO,X,X,X,O,X,X,X
IZJLTOS,X,X,X,O,X,X,X
IZJLSTO,X,X,X,O,X,X,X
IZJLSOT,X,X,X,O,X,X,X
IZJLOTS,X,X,O,O,X,X,X
IZJLOST,X,X,X,O,X,X,X
IZJSTLO,X,X,X,O,X,X,X
IZJSTOL,X,X,X,O,X,X,X
IZJSLTO,X,X,X,O,X,X,X
IZJSLOT,X,X,X,O,X,X,X
IZJSOTL,X,X,X,O,X,X,X
IZJSOLT,X,X,X,O,X,X,X
IZJOTLS,O,X,O,O,X,X,X
IZJOTSL,O,X,O,O,X,X,X
IZJOLTS,X,X,O,O,X,X,X
IZJOLST,X,X,X,O,X,X,X
IZJOSTL,X,X,X,O,X,X,X
IZJOSLT,X,X,X,O,X,X,X
IZSTLJO,X,O,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X
IZSTJLO,O,X,O,O,X,X,X
IZSTJOL,O,X,O,O,X,X,X
IZSTOLJ,O,O,X,X,X,X,X
IZSTOJL,O,X,O,O,X,X,X
IZSLTJO,X,O,X,X,X,X,O
IZSLTOJ,O,O,X,X,X,X,O
IZSLJTO,X,O,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,O
IZSLOJT,X,O,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,X
IZSJTOL,O,X,X,O,X,X,X
IZSJLTO,O,X,X,O,X,X,X
IZSJLOT,O,X,X,O,X,X,X
IZSJOTL,O,X,X,O,X,X,X
IZSJOLT,O,X,X,O,X,X,X
IZSOTLJ,O,O,X,X,X,X,X
IZSOTJL,O,X,O,O,X,X,X
IZSOLTJ,O,O,X,X,X,X,O
IZSOLJT,X,O,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X
IZSOJLT,O,X,X,O,X,X,X
IZOTLJS,O,O,O,O,X,X,O
IZOTLSJ,O,O,X,X,X,X,O
IZOTJLS,O,X,O,O,X,X,X
IZOTJSL,O,X,O,O,X,X,X
IZOTSLJ,O,O,X,X,X,X,X
IZOTSJL,O,X,O,O,X,X,X
IZOLTJS,O,O,O,O,X,X,O
IZOLTSJ,O,O,X,X,X,X,O
IZOLJTS,O,O,O,O,X,X,X
IZOLJST,O,O,X,O,X,X,X
IZOLSTJ,O,O,X,X,X,X,O
IZOLSJT,X,O,X,X,X,X,X
IZOJTLS,O,X,O,O,X,X,X
IZOJTSL,O,X,O,O,X,X,X
IZOJLTS,X,X,O,O,X,X,X
IZOJLST,X,X,X,O,X,X,X
IZOJSTL,X,X,X,O,X,X,X
IZOJSLT,X,X,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,X
IZOSTJL,O,X,O,O,X,X,X
IZOSLTJ,O,O,X,X,X,X,O
IZOSLJT,X,O,X,X,X,X,X
IZOSJTL,O,X,X,O,X,X,X
IZOSJLT,O,X,X,O,X,X,X
IOTLJSZ,O,O,O,O,O,X,X
IOTLJZS,O,O,O,O,O,X,X
IOTLSJZ,X,O,X,X,O,X,X
IOTLSZJ,X,O,X,X,O,X,X
IOTLZJS,X,O,O,O,O,X,X
IOTLZSJ,X,O,X,X,X,X,X
IOTJLSZ,X,O,O,O,O,X,X
IOTJLZS,X,O,O,O,O,X,X
IOTJSLZ,X,O,O,O,O,O,X
IOTJSZL,X,X,O,O,O,O,X
IOTJZLS,X,X,O,O,X,O,X
IOTJZSL,X,X,O,O,X,O,X
IOTSLJZ,X,O,X,X,O,O,X
IOTSLZJ,X,O,X,X,O,O,X
IOTSJLZ,O,O,O,O,O,O,X
IOTSJZL,O,X,O,O,O,O,X
IOTSZLJ,O,O,X,X,X,O,X
IOTSZJL,O,X,O,O,X,O,X
IOTZLJS,O,O,O,O,X,O,X
IOTZLSJ,O,O,X,X,X,O,X
IOTZJLS,O,X,O,O,X,O,X
IOTZJSL,O,X,O,O,X,O,X
IOTZSLJ,O,O,X,X,X,O,X
IOTZSJL,O,X,O,O,X,O,X
IOLTJSZ,O,O,O,O,X,X,X
IOLTJZS,O,O,O,O,X,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X
IOLTZJS,X,O,O,O,X,X,X
IOLTZSJ,X,O,X,X,X,X,X
IOLJTSZ,O,O,O,O,X,X,X
IOLJTZS,O,O,O,O,X,X,X
IOLJSTZ,O,O,X,O,X,X,X
IOLJSZT,O,O,X,O,X,X,X
IOLJZTS,O,O,X,O,X,X,X
IOLJZST,O,O,X,O,X,X,X
IOLSTJZ,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,X
IOLSJZT,X,O,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,X,O
IOLSZJT,X,O,X,X,X,X,X
IOLZTJS,O,O,O,O,X,X,O
IOLZTSJ,O,O,X,X,X,X,O
IOLZJTS,O,O,X,O,X,X,X
IOLZJST,O,O,X,O,X,X,X
IOLZSTJ,O,O,X,X,X,X,O
IOLZSJT,X,O,X,X,X,X,X
IOJTLSZ,X,O,O,O,O,X,X
IOJTLZS,X,O,O,O,O,X,X
IOJTSLZ,X,O,O,O,O,O,X
IOJTSZL,X,X,O,O,O,O,X
IOJTZLS,X,X,O,O,X,O,X
IOJTZSL,X,X,O,O,X,O,X
IOJLTSZ,X,O,O,O,X,X,X
IOJLTZS,X,O,O,O,X,X,X
IOJLSTZ,X,O,X,O,X,X,X
IOJLSZT,X,O,X,O,X,X,X
IOJLZTS,X,O,X,O,X,X,X
IOJLZST,X,O,X,O,X,X,X
IOJSTLZ,X,O,O,O,O,X,X
IOJSTZL,X,X,O,O,O,X,X
IOJSLTZ,X,O,X,O,X,X,X
IOJSLZT,X,O,X,O,X,X,X
IOJSZTL,X,X,X,O,X,X,X
IOJSZLT,X,X,X,O,X,X,X
IOJZTLS,X,X,O,O,X,X,X
IOJZTSL,X,X,O,O,X,X,X
IOJZLTS,X,X,O,O,X,X,X
IOJZLST,X,X,X,O,X,X,X
IOJZSTL,X,X,X,O,X,X,X
IOJZSLT,X,X,X,O,X,X,X
IOSTLJZ,X,O,X,X,O,X,X
IOSTLZJ,X,O,X,X,O,X,X
IOSTJLZ,O,O,O,O,O,X,X
IOSTJZL,O,X,O,O,O,X,X
IOSTZLJ,O,O,X,X,X,X,X
IOSTZJL,O,X,O,O,X,X,X
IOSLTJZ,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,X,O
IOSLZJT,X,O,X,X,X,X,X
IOSJTLZ,O,O,O,O,O,X,X
IOSJTZL,O,X,O,O,O,X,X
IOSJLTZ,O,O,X,O,X,X,X
IOSJLZT,O,O,X,O,X,X,X
IOSJZTL,O,X,X,O,X,X,X
IOSJZLT,O,X,X,O,X,X,X
IOSZTLJ,O,O,X,X,X,X,X
IOSZTJL,O,X,O,O,X,X,X
IOSZLTJ,O,O,X,X,X,X,O
IOSZLJT,X,O,X,X,X,X,X
IOSZJTL,O,X,X,O,X,X,X
IOSZJLT,O,X,X,O,X,X,X
IOZTLJS,O,O,O,O,X,X,O
IOZTLSJ,O,O,X,X,X,X,O
IOZTJLS,O,X,O,O,X,X,X
IOZTJSL,O,X,O,O,X,X,X
IOZTSLJ,O,O,X,X,X,X,X
IOZTSJL,O,X,O,O,X,X,X
IOZLTJS,O,O,O,O,X,X,O
IOZLTSJ,O,O,X,X,X,X,O
IOZLJTS,O,O,O,O,X,X,X
IOZLJST,O,O,X,O,X,X,X
IOZLSTJ,O,O,X,X,X,X,O
IOZLSJT,X,O,X,X,X,X,X
IOZJTLS,O,X,O,O,X,X,X
IOZJTSL,O,X,O,O,X,X,X
IOZJLTS,X,X,O,O,X,X,X
IOZJLST,X,X,X,O,X,X,X
IOZJSTL,X,X,X,O,X,X,X
IOZJSLT,X,X,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,X
IOZSTJL,O,X,O,O,X,X,X
IOZSLTJ,O,O,X,X,X,X,O
IOZSLJT,X,O,X,X,X,X,X
IOZSJTL,O,X,X,O,X,X,X
IOZSJLT,O,X,X,O,X,X,X
LTIJSZO,X,O,X,O,O,X,X
LTIJSOZ,O,O,O,O,O,X,X
LTIJZSO,X,O,O,O,X,X,X
LTIJZOS,O,O,O,O,O,X,X
LTIJOSZ,O,O,O,O,O,X,X
LTIJOZS,O,O,O,O,O,X,X
LTISJZO,X,O,X,X,O,X,X
LTISJOZ,X,O,X,X,O,X,X
LTISZJO,X,O,X,X,O,X,X
LTISZOJ,X,O,X,X,O,X,X
LTISOJZ,X,O,X,X,O,X,X
LTISOZJ,X,O,X,X,O,X,X
LTIZJSO,X,O,O,O,X,X,X
LTIZJOS,X,O,O,O,O,X,X
LTIZSJO,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X
LTIZOJS,X,O,O,O,O,X,X
LTIZOSJ,X,O,X,X,X,X,X
LTIOJSZ,O,O,O,O,O,X,X
LTIOJZS,O,O,O,O,O,X,X
LTIOSJZ,X,O,X,X,O,X,X
LTIOSZJ,X,O,X,X,O,X,X
LTIOZJS,X,O,O,O,O,X,X
LTIOZSJ,X,O,X,X,X,X,X
LTJISZO,X,O,X,O,O,X,X
LTJISOZ,O,O,O,O,O,X,X
LTJIZSO,O,O,O,O,X,X,X
LTJIZOS,O,O,O,O,O,X,X
LTJIOSZ,O,O,O,O,O,X,X
LTJIOZS,O,O,O,O,O,X,X
LTJSIZO,X,O,X,X,O,O,X
LTJSIOZ,O,O,O,X,O,O,X
LTJSZIO,X,X,X,X,O,O,X
LTJSZOI,X,O,X,X,O,O,X
LTJSOIZ,O,O,O,X,O,O,X
LTJSOZI,X,O,O,X,O,O,X
LTJZISO,O,X,O,X,X,O,X
LTJZIOS,O,X,O,X,O,O,X
LTJZSIO,O,X,O,X,O,O,X
LTJZSOI,O,X,O,X,O,O,X
LTJZOIS,O,X,O,X,O,O,X
LTJZOSI,O,X,O,X,O,O,X
LTJOISZ,O,O,O,O,O,X,X
LTJOIZS,O,O,O,O,O,X,X
LTJOSIZ,O,O,O,X,O,O,X
LTJOSZI,X,O,O,X,O,O,X
LTJOZIS,O,X,O,X,O,O,X
LTJOZSI,O,X,O,X,O,O,X
LTSIJZO,X,O,X,X,O,O,X
LTSIJOZ,X,O,X,X,O,O,X
LTSIZJO,X,O,X,X,O,O,X
LTSIZOJ,X,O,X,X,O,O,X
LTSIOJZ,X,O,X,X,O,O,X
LTSIOZJ,X,O,X,X,O,O,X
LTSJIZO,X,O,X,X,O,O,X
LTSJIOZ,O,O,O,X,O,O,X
LTSJZIO,X,X,X,X,O,O,X
LTSJZOI,X,O,X,X,O,O,X
LTSJOIZ,O,O,O,X,O,O,X
LTSJOZI,X,O,O,X,O,O,X
LTSZIJO,X,X,X,X,O,O,O
LTSZIOJ,O,X,X,X,O,O,O
LTSZJIO,O,X,X,X,O,O,O
LTSZJOI,O,O,X,X,O,O,O
LTSZOIJ,O,X,X,X,O,O,O
LTSZOJI,O,O,X,X,O,O,O
LTSOIJZ,X,O,X,X,O,O,X
LTSOIZJ,X,O,X,X,O,O,X
LTSOJIZ,O,O,O,X,O,O,X
LTSOJZI,X,O,O,X,O,O,X
LTSOZIJ,O,X,X,X,O,O,O
LTSOZJI,O,O,X,X,O,O,O
LTZIJSO,O,X,O,X,X,O,O
LTZIJOS,O,X,O,X,O,O,O
LTZISJO,X,X,X,X,X,O,O
LTZISOJ,O,X,X,X,X,O,O
LTZIOJS,O,X,O,X,O,O,O
LTZIOSJ,O,X,X,X,X,O,O
LTZJISO,O,X,O,X,X,O,O
LTZJIOS,O,X,O,X,O,O,O
LTZJSIO,O,X,O,X,O,O,O
LTZJSOI,O,X,O,X,O,O,O
LTZJOIS,O,X,O,X,O,O,O
LTZJOSI,O,X,O,X,O,O,O
LTZSIJO,X,X,X,X,O,O,O
LTZSIOJ,O,X,X,X,O,O,O
LTZSJIO,O,X,O,X,O,O,O
LTZSJOI,O,X,O,X,O,O,O
LTZSOIJ,O,X,X,X,O,O,O
LTZSOJI,O,X,O,X,O,O,O
LTZOIJS,O,X,O,X,O,O,O
LTZOISJ,O,X,X,X,X,O,O
LTZOJIS,O,X,O,X,O,O,O
LTZOJSI,O,X,O,X,O,O,O
LTZOSIJ,O,X,X,X,O,O,O
LTZOSJI,O,X,O,X,O,O,O
LTOIJSZ,O,O,O,O,O,X,X
LTOIJZS,O,O,O,O,O,X,X
LTOISJZ,X,O,X,X,O,X,X
LTOISZJ,X,O,X,X,O,X,X
LTOIZJS,X,O,O,O,O,X,X
LTOIZSJ,X,O,X,X,X,X,X
LTOJISZ,O,O,O,O,O,X,X
LTOJIZS,O,O,O,O,O,X,X
LTOJSIZ,O,O,O,X,O,O,X
LTOJSZI,X,O,O,X,O,O,X
LTOJZIS,O,X,O,X,O,O,X
LTOJZSI,O,X,O,X,O,O,X
LTOSIJZ,X,O,X,X,O,O,X
LTOSIZJ,X,O,X,X,O,O,X
LTOSJIZ,O,O,O,X,O,O,X
LTOSJZI,X,O,O,X,O,O,X
LTOSZIJ,O,X,X,X,O,O,O
LTOSZJI,O,O,X,X,O,O,O
LTOZIJS,O,X,O,X,O,O,O
LTOZISJ,O,X,X,X,X,O,O
LTOZJIS,O,X,O,X,O,O,O
LTOZJSI,O,X,O,X,O,O,O
LTOZSIJ,O,X,X,X,O,O,O
LTOZSJI,O,X,O,X,O,O,O
LITJSZO,X,O,X,O,X,X,X
LITJSOZ,O,O,O,O,X,X,X
LITJZSO,X,O,O,O,X,X,X
LITJZOS,O,O,O,O,X,X,X
LITJOSZ,O,O,O,O,X,X,X
LITJOZS,O,O,O,O,X,X,X
LITSJZO,X,O,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,X
LITSZJO,X,O,X,X,X,X,X
LITSZOJ,X,O,X,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X
LITSOZJ,X,O,X,X,X,X,X
LITZJSO,X,O,O,O,X,X,X
LITZJOS,X,O,O,O,X,X,X
LITZSJO,X,O,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X
LITZOJS,X,O,O,O,X,X,X
LITZOSJ,X,O,X,X,X,X,X
LITOJSZ,O,O,O,O,X,X,X
LITOJZS,O,O,O,O,X,X,X
LITOSJZ,X,O,X,X,X,X,X
LITOSZJ,X,O,X,X,X,X,X
LITOZJS,X,O,O,O,X,X,X
LITOZSJ,X,O,X,X,X,X,X
LIJTSZO,X,O,X,O,X,X,X
LIJTSOZ,O,O,O,O,X,X,X
LIJTZSO,O,O,O,O,X,X,X
LIJTZOS,O,O,O,O,X,X,X
LIJTOSZ,O,O,O,O,X,X,X
LIJTOZS,O,O,O,O,X,X,X
LIJSTZO,X,O,X,O,X,X,X
LIJSTOZ,O,O,X,O,X,X,X
LIJSZTO,O,O,X,O,X,X,X
LIJSZOT,O,O,X,O,X,X,X
LIJSOTZ,O,O,X,O,X,X,X
LIJSOZT,O,O,X,O,X,X,X
LIJZTSO,O,O,X,O,X,X,X
LIJZTOS,O,O,X,O,X,X,X
LIJZSTO,O,O,X,O,X,X,X
LIJZSOT,O,O,X,O,X,X,X
LIJZOTS,O,O,X,O,X,X,X
LIJZOST,O,O,X,O,X,X,X
LIJOTSZ,O,O,O,O,X,X,X
LIJOTZS,O,O,O,O,X,X,X
LIJOSTZ,O,O,X,O,X,X,X
LIJOSZT,O,O,X,O,X,X,X
LIJOZTS,O,O,X,O,X,X,X
LIJOZST,O,O,X,O,X,X,X
LISTJZO,X,O,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,X
LISTZJO,X,O,X,X,X,X,X
LISTZOJ,X,O,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X
LISTOZJ,X,O,X,X,X,X,X
LISJTZO,X,O,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,X
LISJZOT,X,O,X,X,X,X,X
LISJOTZ,X,O,X,X,X,X,X
LISJOZT,X,O,X,X,X,X,X
LISZTJO,X,O,X,X,X,X,O
LISZTOJ,X,O,X,X,X,X,O
LISZJTO,X,O,X,X,X,X,X
LISZJOT,X,O,X,X,X,X,X
LISZOTJ,X,O,X,X,X,X,O
LISZOJT,X,O,X,X,X,X,X
LISOTJZ,X,O,X,X,X,X,X
LISOTZJ,X,O,X,X,X,X,X
LISOJTZ,X,O,X,X,X,X,X
LISOJZT,X,O,X,X,X,X,X
LISOZTJ,X,O,X,X,X,X,O
LISOZJT,X,O,X,X,X,X,X
LIZTJSO,O,O,O,O,X,X,O
LIZTJOS,O,O,O,O,X,X,O
LIZTSJO,X,O,X,X,X,X,O
LIZTSOJ,O,O,X,X,X,X,O
LIZTOJS,O,O,O,O,X,X,O
LIZTOSJ,O,O,X,X,X,X,O
LIZJTSO,O,O,X,O,X,X,X
LIZJTOS,O,O,X,O,X,X,X
LIZJSTO,O,O,X,O,X,X,X
LIZJSOT,O,O,X,O,X,X,X
LIZJOTS,O,O,X,O,X,X,X
LIZJOST,O,O,X,O,X,X,X
LIZSTJO,X,O,X,X,X,X,O
LIZSTOJ,O,O,X,X,X,X,O
LIZSJTO,X,O,X,X,X,X,X
LIZSJOT,X,O,X,X,X,X,X
LIZSOTJ,O,O,X,X,X,X,O
LIZSOJT,X,O,X,X,X,X,X
LIZOTJS,O,O,O,O,X,X,O
LIZOTSJ,O,O,X,X,X,X,O
LIZOJTS,O,O,X,O,X,X,X
LIZOJST,O,O,X,O,X,X,X
LIZOSTJ,O,O,X,X,X,X,O
LIZOSJT,X,O,X,X,X,X,X
LIOTJSZ,O,O,O,O,X,X,X
LIOTJZS,O,O,O,O,X,X,X
LIOTSJZ,X,O,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,X,X
LIOTZJS,X,O,O,O,X,X,X
LIOTZSJ,X,O,X,X,X,X,X
LIOJTSZ,O,O,O,O,X,X,X
LIOJTZS,O,O,O,O,X,X,X
LIOJSTZ,O,O,X,O,X,X,X
LIOJSZT,O,O,X,O,X,X,X
LIOJZTS,O,O,X,O,X,X,X
LIOJZST,O,O,X,O,X,X,X
LIOSTJZ,X,O,X,X,X,X,X
LIOSTZJ,X,O,X,X,X,X,X
LIOSJTZ,X,O,X,X,X,X,X
LIOSJZT,X,O,X,X,X,X,X
LIOSZTJ,X,O,X,X,X,X,O
LIOSZJT,X,O,X,X,X,X,X
LIOZTJS,O,O,O,O,X,X,O
LIOZTSJ,O,O,X,X,X,X,O
LIOZJTS,O,O,X,O,X,X,X
LIOZJST,O,O,X,O,X,X,X
LIOZSTJ,O,O,X,X,X,X,O
LIOZSJT,X,O,X,X,X,X,X
LJTISZO,X,O,X,O,O,X,X
LJTISOZ,O,O,O,O,O,X,X
LJTIZSO,O,O,O,O,X,X,X
LJTIZOS,O,O,O,O,O,X,X
LJTIOSZ,O,O,O,O,O,X,X
LJTIOZS,O,O,O,O,O,X,X
LJTSIZO,X,O,X,X,O,O,X
LJTSIOZ,O,O,O,X,O,O,X
LJTSZIO,X,X,X,X,O,O,X
LJTSZOI,X,O,X,X,O,O,X
LJTSOIZ,O,O,O,X,O,O,X
LJTSOZI,X,O,O,X,O,O,X
LJTZISO,O,X,O,X,X,O,X
LJTZIOS,O,X,O,X,O,O,X
LJTZSIO,O,X,O,X,O,O,X
LJTZSOI,O,X,O,X,O,O,X
LJTZOIS,O,X,O,O,O,O,X
LJTZOSI,O,X,O,X,O,O,X
LJTOISZ,O,O,O,O,O,X,X
LJTOIZS,O,O,O,O,O,X,X
LJTOSIZ,O,O,O,X,O,O,X
LJTOSZI,X,O,O,X,O,O,X
LJTOZIS,O,X,O,O,O,O,X
LJTOZSI,O,X,O,X,O,O,X
LJITSZO,X,O,X,O,X,X,X
LJITSOZ,O,O,O,O,X,X,X
LJITZSO,O,O,O,O,X,X,X
LJITZOS,O,O,O,O,X,X,X
LJITOSZ,O,O,O,O,X,X,X
LJITOZS,O,O,O,O,X,X,X
LJISTZO,X,O,X,O,X,X,X
LJISTOZ,O,O,X,O,X,X,X
LJISZTO,O,O,X,O,X,X,X
LJISZOT,O,O,X,O,X,X,X
LJISOTZ,O,O,X,O,X,X,X
LJISOZT,O,O,X,O,X,X,X
LJIZTSO,O,O,X,O,X,X,X
LJIZTOS,O,O,X,O,X,X,X
LJIZSTO,O,O,X,O,X,X,X
LJIZSOT,O,O,X,O,X,X,X
LJIZOTS,O,O,X,O,X,X,X
LJIZOST,O,O,X,O,X,X,X
LJIOTSZ,O,O,O,O,X,X,X
LJIOTZS,O,O,O,O,X,X,X
LJIOSTZ,O,O,X,O,X,X,X
LJIOSZT,O,O,X,O,X,X,X
LJIOZTS,O,O,X,O,X,X,X
LJIOZST,O,O,X,O,X,X,X
LJSTIZO,X,O,X,X,O,X,X
LJSTIOZ,O,O,X,X,O,X,X
LJSTZIO,X,X,X,X,O,X,X
LJSTZOI,X,O,X,X,O,X,X
LJSTOIZ,O,O,X,X,O,X,X
LJSTOZI,X,O,X,X,O,X,X
LJSITZO,X,O,X,X,X,X,X
LJSITOZ,O,O,X,X,X,X,X
LJSIZTO,O,O,X,X,X,X,X
LJSIZOT,O,O,X,X,X,X,X
LJSIOTZ,O,O,X,X,X,X,X
LJSIOZT,O,O,X,X,X,X,X
LJSZTIO,O,X,X,X,X,X,O
LJSZTOI,O,O,X,X,X,X,O
LJSZITO,O,O,X,X,X,X,X
LJSZIOT,O,O,X,X,X,X,X
LJSZOTI,O,O,X,X,X,X,O
LJSZOIT,O,O,X,O,X,X,X
LJSOTIZ,O,O,X,X,O,X,X
LJSOTZI,X,O,X,X,O,X,X
LJSOITZ,O,O,X,X,X,X,X
LJSOIZT,O,O,X,X,X,X,X
LJSOZTI,O,O,X,X,X,X,O
LJSOZIT,O,O,X,O,X,X,X
LJZTISO,O,X,X,X,X,X,O
LJZTIOS,O,X,X,X,X,X,O
LJZTSIO,O,X,X,X,X,X,O
LJZTSOI,O,X,X,X,X,X,O
LJZTOIS,O,X,O,O,X,X,O
LJZTOSI,O,X,O,X,X,X,O
LJZITSO,O,O,X,X,X,X,X
LJZITOS,O,O,X,X,X,X,X
LJZISTO,O,O,X,X,X,X,X
LJZISOT,O,O,X,X,X,X,X
LJZIOTS,O,O,O,O,X,X,X
LJZIOST,O,O,X,O,X,X,X
LJZSTIO,O,X,X,X,X,X,O
LJZSTOI,O,O,X,X,X,X,O
LJZSITO,O,O,X,X,X,X,X
LJZSIOT,O,O,X,X,X,X,X
LJZSOTI,O,O,O,X,X,X,O
LJZSOIT,O,O,X,O,X,X,X
LJZOTIS,O,X,O,O,X,X,O
LJZOTSI,O,X,O,X,X,X,O
LJZOITS,O,O,O,O,X,X,X
LJZOIST,O,O,X,O,X,X,X
LJZOSTI,O,O,O,X,X,X,O
LJZOSIT,O,O,X,O,X,X,X
LJOTISZ,O,O,O,O,O,X,X
LJOTIZS,O,O,O,O,O,X,X
LJOTSIZ,O,O,O,X,O,O,X
LJOTSZI,X,O,O,X,O,O,X
LJOTZIS,O,X,O,O,O,O,X
LJOTZSI,O,X,O,X,O,O,X
LJOITSZ,O,O,O,O,X,X,X
LJOITZS,O,O,O,O,X,X,X
LJOISTZ,O,O,X,O,X,X,X
LJOISZT,O,O,X,O,X,X,X
LJOIZTS,O,O,X,O,X,X,X
LJOIZST,O,O,X,O,X,X,X
LJOSTIZ,O,O,X,X,O,X,X
LJOSTZI,X,O,X,X,O,X,X
LJOSITZ,O,O,X,X,X,X,X
LJOSIZT,O,O,X,X,X,X,X
LJOSZTI,O,O,X,X,X,X,O
LJOSZIT,O,O,X,O,X,X,X
LJOZTIS,O,X,O,O,X,X,O
LJOZTSI,O,X,O,X,X,X,O
LJOZITS,O,O,O,O,X,X,X
LJOZIST,O,O,X,O,X,X,X
LJOZSTI,O,O,O,X,X,X,O
LJOZSIT,O,O,X,O,X,X,X
LSTIJZO,X,O,X,X,O,X,X
LSTIJOZ,X,O,X,X,O,X,X
LSTIZJO,X,O,X,X,O,X,X
LSTIZOJ,X,O,X,X,O,X,X
LSTIOJZ,X,O,X,X,O,X,X
LSTIOZJ,X,O,X,X,O,X,X
LSTJIZO,X,O,X,X,O,X,X
LSTJIOZ,O,O,X,X,O,X,X
LSTJZIO,X,X,X,X,O,X,X
LSTJZOI,X,O,X,X,O,X,X
LSTJOIZ,O,O,X,X,O,X,X
LSTJOZI,X,O,X,X,O,X,X
LSTZIJO,X,X,X,X,O,X,O
LSTZIOJ,O,X,X,X,O,X,O
LSTZJIO,O,X,X,X,O,X,O
LSTZJOI,O,O,X,X,O,X,O
LSTZOIJ,O,X,X,X,O,X,O
LSTZOJI,O,O,X,X,O,X,O
LSTOIJZ,X,O,X,X,O,X,X
LSTOIZJ,X,O,X,X,O,X,X
LSTOJIZ,O,O,X,X,O,X,X
LSTOJZI,X,O,X,X,O,X,X
LSTOZIJ,O,X,X,X,O,X,O
LSTOZJI,O,O,X,X,O,X,O
LSITJZO,X,O,X,X,X,X,X
