sequence,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBUiBzlB6tB3sBFtB,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBFiB6oBzlBUtB3sB,v115@MhA8DeC8BeB8CeF8NeT/IvhFmgBFiBXjB0lBStBxxB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBFjBRlB+tBzlB3sB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBGjBRlB/tBzlB1xB,v115@MhA8DeC8BeB8CeF8NeT/IvhFylBFiBGoB0lBXoBxxB
TSJZLIO,X,O,X,X,O,X
TSJZLOI,O,O,X,X,O,X
TSJZOIL,O,O,X,X,O,X
TSJZOLI,O,O,X,X,O,X
TSJOILZ,O,X,X,X,O,X
TSJOIZL,O,O,X,X,O,X
TSJOLIZ,O,X,X,X,O,X
TSJOLZI,O,X,X,X,O,X
TSJOZIL,O,O,X,X,O,X
TSJOZLI,O,O,X,X,O,X
TSZILJO,X,X,O,X,O,X
TSZILOJ,X,X,O,X,O,X
TSZIJLO,X,X,O,X,O,X
TSZIJOL,X,X,O,X,O,X
TSZIOLJ,X,X,O,X,O,X
TSZIOJL,X,X,O,X,O,X
TSZLIJO,X,X,X,X,O,X
TSZLIOJ,X,X,X,X,O,X
TSZLJIO,X,O,X,X,O,X
TSZLJOI,O,O,X,X,O,X
TSZLOIJ,O,O,X,X,O,X
TSZLOJI,O,O,X,X,O,X
TSZJILO,X,O,O,X,O,X
TSZJIOL,X,X,O,X,O,X
TSZJLIO,X,O,X,X,O,X
TSZJLOI,O,O,X,X,O,X
TSZJOIL,O,O,O,X,O,X
TSZJOLI,O,O,X,X,O,X
TSZOILJ,O,O,O,X,O,X
TSZOIJL,O,O,O,X,O,X
TSZOLIJ,O,O,X,X,O,X
TSZOLJI,O,O,X,X,O,X
TSZOJIL,O,O,O,X,O,X
TSZOJLI,O,O,X,X,O,X
TSOILJZ,O,X,O,X,O,O
TSOILZJ,O,X,O,X,O,X
TSOIJLZ,O,X,X,X,O,O
TSOIJZL,O,O,X,X,O,X
TSOIZLJ,O,O,O,X,O,X
TSOIZJL,O,O,O,X,O,X
TSOLIJZ,O,X,X,X,O,O
TSOLIZJ,O,X,X,X,O,X
TSOLJIZ,O,X,X,X,O,X
TSOLJZI,O,X,X,X,O,X
TSOLZIJ,O,X,X,X,O,X
TSOLZJI,O,X,X,X,O,X
TSOJILZ,O,X,X,X,O,X
TSOJIZL,O,O,X,X,O,X
TSOJLIZ,O,X,X,X,O,X
TSOJLZI,O,X,X,X,O,X
TSOJZIL,O,O,X,X,O,X
TSOJZLI,O,O,X,X,O,X
TSOZILJ,O,O,O,X,O,X
TSOZIJL,O,O,O,X,O,X
TSOZLIJ,O,O,X,X,O,X
TSOZLJI,O,O,X,X,O,X
TSOZJIL,O,O,O,X,O,X
TSOZJLI,O,O,X,X,O,X
TZILJSO,X,O,O,O,O,X
TZILJOS,X,O,O,O,X,O
TZILSJO,X,X,O,X,O,X
TZILSOJ,X,X,O,X,O,X
TZILOJS,X,O,O,X,X,O
TZILOSJ,X,O,O,X,O,X
TZIJLSO,X,O,O,O,O,X
TZIJLOS,X,O,O,O,X,O
TZIJSLO,X,O,O,O,O,X
TZIJSOL,X,X,O,X,O,X
TZIJOLS,X,O,O,O,X,O
TZIJOSL,X,O,O,X,X,X
TZISLJO,X,X,O,X,O,X
TZISLOJ,X,X,O,X,O,X
TZISJLO,X,X,O,X,O,X
TZISJOL,X,X,O,X,O,X
TZISOLJ,X,X,O,X,O,X
TZISOJL,X,X,O,X,O,X
TZIOLJS,X,O,O,X,X,O
TZIOLSJ,X,O,O,X,O,X
TZIOJLS,X,O,O,X,X,O
TZIOJSL,X,O,O,X,X,X
TZIOSLJ,X,O,O,X,O,X
TZIOSJL,X,O,O,X,O,X
TZLIJSO,X,O,O,O,O,X
TZLIJOS,X,O,O,O,X,O
TZLISJO,X,X,O,X,O,X
TZLISOJ,X,X,O,X,O,X
TZLIOJS,X,O,O,X,X,O
