sequence,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhFXhBxiBCnBTqB2w?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBxiBqsBTqBmr?B3rB,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhF6mBxiBzlB2vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeGAJvhFThBxiBKqBFrBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeaFJvhFzgB+mBxiB1vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFRhBXmB6sB2vBzr?BFtB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBTiBWsBiqBXt?BRwB,v115@9gA8IeB8FeD8FeD8GeA8JeRAJvhFOqBlmBcsBzqBCs?BXtB
ISLTZOJ,X,X,X,O,X,X,X,X
ISLTOJZ,X,X,O,O,O,X,X,X
ISLTOZJ,X,X,X,O,X,X,X,X
ISLJTZO,X,X,O,O,O,X,O,X
ISLJTOZ,X,X,O,O,O,X,O,X
ISLJZTO,X,X,O,O,X,X,O,X
ISLJZOT,X,X,X,X,X,X,O,X
ISLJOTZ,X,O,O,O,X,X,O,X
ISLJOZT,X,O,O,X,X,X,O,X
ISLZTJO,X,X,O,O,X,X,O,X
ISLZTOJ,X,O,X,O,X,X,X,X
ISLZJTO,X,X,O,O,X,X,O,X
ISLZJOT,X,X,X,X,X,X,O,X
ISLZOTJ,X,O,X,X,X,X,X,X
ISLZOJT,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,X
ISLOJTZ,X,O,O,O,X,X,X,X
ISLOJZT,X,O,X,X,X,X,X,X
ISLOZTJ,X,O,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,X,X,X
ISJTLZO,O,X,O,O,O,X,O,X
ISJTLOZ,O,X,O,O,O,X,O,X
ISJTZLO,O,X,O,X,O,X,X,X
ISJTZOL,X,X,O,X,O,X,X,X
ISJTOLZ,O,X,O,X,O,X,O,X
ISJTOZL,X,X,O,X,O,X,X,X
ISJLTZO,O,X,O,O,O,X,O,X
ISJLTOZ,O,X,O,O,O,X,O,X
ISJLZTO,O,X,O,O,X,X,O,X
ISJLZOT,X,X,X,X,X,X,O,X
ISJLOTZ,O,X,O,O,X,X,O,X
ISJLOZT,O,X,O,X,X,X,O,X
ISJZTLO,O,X,O,X,O,X,X,X
ISJZTOL,X,X,O,X,O,X,X,X
ISJZLTO,X,X,O,O,X,X,O,X
ISJZLOT,X,X,X,X,X,X,O,X
ISJZOTL,X,X,O,X,X,X,X,X
ISJZOLT,X,X,O,X,X,X,O,X
ISJOTLZ,O,X,O,X,O,X,O,X
ISJOTZL,O,O,O,X,O,X,X,X
ISJOLTZ,O,X,O,O,X,X,O,X
ISJOLZT,O,X,O,X,X,X,O,X
ISJOZTL,O,O,O,X,X,X,X,O
ISJOZLT,X,X,O,X,X,X,O,X
ISZTLJO,O,X,O,X,O,X,O,X
ISZTLOJ,O,O,X,X,X,X,X,X
ISZTJLO,O,X,O,X,O,X,X,X
ISZTJOL,O,X,O,X,O,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,O,X,O,O,X,X,O,X
ISZLTOJ,O,O,X,O,X,X,X,X
ISZLJTO,O,X,O,O,X,X,O,X
ISZLJOT,O,X,X,X,X,X,O,X
ISZLOTJ,O,O,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X
ISZJTLO,O,X,O,X,O,X,X,X
ISZJTOL,O,X,O,X,O,X,X,X
ISZJLTO,O,X,O,O,X,X,O,X
ISZJLOT,O,X,X,X,X,X,O,X
ISZJOTL,O,X,O,X,X,X,X,X
ISZJOLT,O,X,O,X,X,X,O,X
ISZOTLJ,O,O,X,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X
ISOTLJZ,O,X,O,X,O,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,O,X,O,X,X,X
ISOTJZL,O,X,O,X,O,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X
ISOLTJZ,O,X,O,O,X,X,X,X
ISOLTZJ,O,X,X,O,X,X,X,X
ISOLJTZ,X,O,O,O,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,O,X,X,X
ISOJTZL,O,O,O,X,O,X,X,X
ISOJLTZ,O,X,O,O,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,O,X
IZTLJOS,O,O,X,X,O,X,O,X
IZTLSJO,O,X,X,X,O,X,O,X
IZTLSOJ,O,O,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,O,X
IZTJLOS,O,O,X,X,O,X,O,X
IZTJSLO,O,X,O,X,X,X,X,X
IZTJSOL,O,X,O,X,X,X,X,X
IZTJOLS,O,O,O,X,O,X,O,O
IZTJOSL,O,O,X,X,X,X,X,O
IZTSLJO,O,X,O,X,O,X,O,X
IZTSLOJ,O,O,X,X,X,X,X,X
IZTSJLO,O,X,O,X,O,X,X,X
IZTSJOL,O,X,O,X,O,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,O,X
IZTOLSJ,O,O,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,O
IZTOJSL,O,O,X,X,X,X,X,O
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,O,X
IZLTJOS,O,O,X,O,O,X,O,X
IZLTSJO,O,X,X,X,O,X,O,X
IZLTSOJ,O,O,X,X,X,X,X,X
IZLTOJS,O,O,X,O,X,X,O,X
IZLTOSJ,O,O,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,X,O,X
IZLJTOS,O,O,X,O,X,X,O,X
IZLJSTO,O,X,X,O,X,X,O,X
IZLJSOT,O,X,X,X,X,O,O,X
IZLJOTS,O,O,X,X,X,X,O,X
IZLJOST,O,O,X,X,X,X,O,X
IZLSTJO,O,X,X,O,X,X,O,X
IZLSTOJ,O,O,X,O,X,X,X,X
IZLSJTO,O,X,X,O,X,X,O,X
IZLSJOT,O,X,X,X,X,X,O,X
IZLSOTJ,O,O,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,O,X
IZLOTSJ,O,O,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,O,X
IZLOJST,O,O,X,X,X,O,O,X
IZLOSTJ,O,O,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,O,X
IZJTLOS,O,O,X,X,X,X,O,X
IZJTSLO,O,X,O,X,X,X,X,X
IZJTSOL,O,X,O,X,X,X,X,X
IZJTOLS,O,O,O,X,X,X,O,O
IZJTOSL,O,O,X,X,X,X,X,O
IZJLTSO,O,X,X,X,X,X,O,X
IZJLTOS,O,O,X,O,X,X,O,X
IZJLSTO,O,X,X,O,X,X,O,X
IZJLSOT,O,X,X,X,X,O,O,X
IZJLOTS,O,O,X,X,X,X,O,X
IZJLOST,O,O,X,X,X,X,O,X
IZJSTLO,O,X,O,X,X,X,X,X
IZJSTOL,O,X,O,X,X,X,X,X
IZJSLTO,O,X,O,O,X,X,O,X
IZJSLOT,O,X,X,X,X,O,O,X
IZJSOTL,O,X,O,X,X,X,X,X
IZJSOLT,O,X,O,X,X,O,O,X
IZJOTLS,O,O,O,X,X,X,O,O
IZJOTSL,O,O,X,X,X,X,X,O
IZJOLTS,O,O,O,X,X,X,O,O
IZJOLST,O,O,X,X,X,O,O,X
IZJOSTL,O,O,X,X,X,X,X,O
IZJOSLT,O,X,X,X,X,O,O,X
IZSTLJO,O,X,O,X,O,X,O,X
IZSTLOJ,O,O,X,X,X,X,X,X
IZSTJLO,O,X,O,X,O,X,X,X
IZSTJOL,O,X,O,X,O,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X,X
IZSLTJO,O,X,O,O,X,X,O,X
IZSLTOJ,O,O,X,O,X,X,X,X
IZSLJTO,O,X,O,O,X,X,O,X
IZSLJOT,O,X,X,X,X,X,O,X
IZSLOTJ,O,O,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X
IZSJTLO,O,X,O,X,O,X,X,X
IZSJTOL,O,X,O,X,O,X,X,X
IZSJLTO,O,X,O,O,X,X,O,X
IZSJLOT,O,X,X,X,X,X,O,X
IZSJOTL,O,X,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,O,X
IZSOTLJ,O,O,X,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X
IZOTLJS,O,O,X,X,X,X,O,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,O
IZOTJSL,O,O,X,X,X,X,X,O
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,O,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X,O,X
IZOLJST,O,O,X,X,X,O,O,X
IZOLSTJ,O,O,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,O,O
IZOJTSL,O,O,X,X,X,X,X,O
IZOJLTS,O,O,X,X,X,X,O,O
IZOJLST,O,O,X,X,X,O,O,X
IZOJSTL,O,O,X,X,X,X,X,O
IZOJSLT,O,X,X,X,X,O,O,X
IZOSTLJ,O,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,O,X,X,X
IOTLJZS,O,O,X,X,O,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X
IOTJLSZ,O,X,O,X,O,X,X,X
IOTJLZS,O,O,O,X,O,X,X,X
IOTJSLZ,O,X,O,X,O,X,X,X
IOTJSZL,O,O,O,X,X,X,X,X
IOTJZLS,O,O,O,X,O,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,X,O,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,O,X,X,X
IOTSJZL,O,X,O,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,O,X,O,X
IOLTJZS,O,O,X,O,O,X,O,X
IOLTSJZ,O,X,X,O,O,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,O,X
IOLTZSJ,O,O,X,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,O,X
IOLJTZS,O,O,X,O,X,X,O,X
IOLJSTZ,O,O,X,O,X,O,O,X
IOLJSZT,O,O,X,X,X,O,O,X
IOLJZTS,O,O,X,X,X,X,O,X
IOLJZST,O,O,X,X,X,O,O,X
IOLSTJZ,O,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,O,X,X,X,X
IOLSJTZ,X,O,X,O,X,O,X,X
IOLSJZT,X,O,X,X,X,O,X,X
IOLSZTJ,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,O,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X,O,X
IOLZJST,O,O,X,X,X,O,O,X
IOLZSTJ,O,O,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,X,O,X
IOJTLZS,O,O,O,X,X,X,O,X
IOJTSLZ,O,X,O,X,X,X,O,X
IOJTSZL,O,O,O,X,X,X,X,X
IOJTZLS,O,O,O,X,X,X,O,O
IOJTZSL,O,O,X,X,X,X,X,O
IOJLTSZ,O,O,O,O,X,X,O,X
IOJLTZS,O,O,O,O,X,X,O,X
IOJLSTZ,O,O,O,O,X,O,O,X
IOJLSZT,O,O,X,X,X,O,O,X
IOJLZTS,O,O,O,X,X,X,O,O
IOJLZST,O,O,X,X,X,O,O,X
IOJSTLZ,O,X,O,X,X,X,O,X
IOJSTZL,O,O,O,X,X,X,X,X
IOJSLTZ,O,X,O,O,X,O,O,X
IOJSLZT,O,X,O,X,X,O,O,X
IOJSZTL,O,O,O,X,X,X,X,O
IOJSZLT,X,X,O,X,X,O,O,X
IOJZTLS,O,O,O,X,X,X,O,O
IOJZTSL,O,O,X,X,X,X,X,O
IOJZLTS,O,O,O,X,X,X,O,O
IOJZLST,O,O,X,X,X,O,O,X
IOJZSTL,O,O,X,X,X,X,X,O
IOJZSLT,O,X,X,X,X,O,O,X
IOSTLJZ,O,X,O,X,O,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X
IOSLTJZ,O,X,O,O,X,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,X
IOSLJTZ,X,O,O,O,X,O,X,X
IOSLJZT,X,O,X,X,X,O,X,X
IOSLZTJ,X,O,X,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,O,X,X,X
IOSJTZL,O,O,O,X,O,X,X,X
IOSJLTZ,O,X,O,O,X,O,X,X
IOSJLZT,O,X,O,X,X,O,X,X
IOSJZTL,O,O,O,X,X,X,X,X
IOSJZLT,X,X,O,X,X,O,X,X
IOSZTLJ,O,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X
IOZTLJS,O,O,X,X,X,X,O,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X,O
IOZTJSL,O,O,X,X,X,X,X,O
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,O,O,X,X,X,X,O,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,O,O,X,X,X,X,O,X
IOZLJST,O,O,X,X,X,O,O,X
IOZLSTJ,O,O,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X
IOZJTLS,O,O,X,X,X,X,O,O
IOZJTSL,O,O,X,X,X,X,X,O
IOZJLTS,O,O,X,X,X,X,O,O
IOZJLST,O,O,X,X,X,O,O,X
IOZJSTL,O,O,X,X,X,X,X,O
IOZJSLT,O,X,X,X,X,O,O,X
IOZSTLJ,O,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X
LTIJSZO,O,X,O,O,O,X,O,X
LTIJSOZ,O,X,O,O,O,X,O,X
LTIJZSO,O,X,X,X,X,X,O,X
LTIJZOS,X,X,X,O,O,X,O,X
LTIJOSZ,O,O,O,O,O,X,O,X
LTIJOZS,X,O,O,O,O,X,O,X
LTISJZO,X,X,O,O,O,X,O,X
LTISJOZ,X,X,O,O,O,X,O,X
LTISZJO,X,X,O,O,O,X,O,X
LTISZOJ,X,X,X,O,X,X,X,X
LTISOJZ,X,X,O,O,O,X,X,X
LTISOZJ,X,X,X,O,X,X,X,X
LTIZJSO,O,X,X,X,X,X,O,X
LTIZJOS,O,O,X,O,O,X,O,X
LTIZSJO,O,X,X,X,O,X,O,X
LTIZSOJ,O,O,X,X,X,X,X,X
LTIZOJS,O,O,X,O,X,X,O,X
LTIZOSJ,O,O,X,X,X,X,X,X
LTIOJSZ,O,O,X,O,O,X,O,X
LTIOJZS,O,O,X,O,O,X,O,X
LTIOSJZ,O,X,X,O,O,X,X,X
LTIOSZJ,O,X,X,O,X,X,X,X
LTIOZJS,O,O,X,O,X,X,O,X
LTIOZSJ,O,O,X,X,X,X,X,X
LTJISZO,O,X,O,O,O,X,O,X
LTJISOZ,O,X,O,O,O,X,O,X
LTJIZSO,O,X,X,X,X,X,O,X
LTJIZOS,X,X,X,O,O,X,O,X
LTJIOSZ,O,O,O,O,O,X,O,X
LTJIOZS,X,O,O,O,O,X,O,X
LTJSIZO,O,X,O,O,O,X,X,X
LTJSIOZ,O,X,O,O,O,X,X,X
LTJSZIO,O,X,O,O,O,X,X,X
LTJSZOI,O,X,X,O,O,O,X,X
LTJSOIZ,O,X,O,O,O,X,X,X
LTJSOZI,O,X,O,O,O,X,X,X
LTJZISO,O,X,X,X,X,X,O,X
LTJZIOS,X,X,X,O,O,X,O,X
LTJZSIO,O,X,X,O,O,X,X,X
LTJZSOI,O,X,X,O,O,O,X,X
LTJZOIS,X,X,X,O,O,X,X,X
LTJZOSI,X,X,X,O,O,X,X,X
LTJOISZ,O,O,O,O,O,X,X,X
LTJOIZS,X,O,O,O,O,X,X,X
LTJOSIZ,O,O,O,O,O,X,X,X
LTJOSZI,O,O,O,O,O,X,X,X
LTJOZIS,X,O,O,O,O,X,X,X
LTJOZSI,X,O,O,O,O,X,X,X
LTSIJZO,X,X,O,O,O,X,O,X
LTSIJOZ,X,X,O,O,O,X,O,X
LTSIZJO,X,X,O,O,O,X,O,X
LTSIZOJ,X,X,X,O,X,X,X,X
LTSIOJZ,X,X,O,O,O,X,X,X
LTSIOZJ,X,X,X,O,X,X,X,X
LTSJIZO,X,X,O,O,O,X,X,X
LTSJIOZ,X,X,O,O,O,X,X,X
LTSJZIO,X,X,O,O,O,X,X,X
LTSJZOI,X,X,X,O,O,X,X,X
LTSJOIZ,X,X,O,O,O,X,X,X
LTSJOZI,X,X,O,O,O,X,X,X
LTSZIJO,X,X,O,O,O,X,O,X
LTSZIOJ,X,X,X,O,X,X,X,X
LTSZJIO,X,X,X,O,O,X,X,X
LTSZJOI,X,X,X,O,O,X,X,X
LTSZOIJ,X,X,X,O,X,X,X,X
LTSZOJI,X,X,X,O,O,X,X,X
LTSOIJZ,X,X,O,O,O,X,X,X
LTSOIZJ,X,X,X,O,X,X,X,X
LTSOJIZ,X,X,X,O,O,X,X,X
LTSOJZI,X,X,X,O,O,X,X,X
LTSOZIJ,X,X,X,O,X,X,X,X
LTSOZJI,X,X,X,O,O,X,X,X
LTZIJSO,O,X,X,X,X,X,O,X
LTZIJOS,O,O,X,O,O,X,O,X
LTZISJO,O,X,X,X,O,X,O,X
LTZISOJ,O,O,X,X,X,X,X,X
LTZIOJS,O,O,X,O,X,X,O,X
LTZIOSJ,O,O,X,X,X,X,X,X
LTZJISO,O,X,X,X,X,X,O,X
LTZJIOS,O,O,X,O,O,X,O,X
LTZJSIO,O,X,X,O,O,X,X,X
LTZJSOI,O,X,X,O,O,O,X,X
LTZJOIS,O,X,X,O,O,X,X,X
LTZJOSI,O,X,X,O,O,X,X,X
LTZSIJO,O,X,X,O,O,X,O,X
LTZSIOJ,O,O,X,O,X,X,X,X
LTZSJIO,O,X,X,O,O,X,X,X
LTZSJOI,O,X,X,O,O,X,X,X
LTZSOIJ,O,X,X,O,X,X,X,X
LTZSOJI,X,X,X,O,O,X,X,X
LTZOIJS,O,O,X,O,X,X,O,X
LTZOISJ,O,O,X,X,X,X,X,X
LTZOJIS,O,O,X,O,O,X,X,X
LTZOJSI,O,O,X,O,O,O,X,X
LTZOSIJ,O,O,X,O,X,X,X,X
LTZOSJI,O,O,X,O,O,X,X,X
LTOIJSZ,O,O,X,O,O,X,O,X
LTOIJZS,O,O,X,O,O,X,O,X
LTOISJZ,O,X,X,O,O,X,X,X
LTOISZJ,O,X,X,O,X,X,X,X
LTOIZJS,O,O,X,O,X,X,O,X
LTOIZSJ,O,O,X,X,X,X,X,X
LTOJISZ,O,O,X,O,O,X,X,X
LTOJIZS,O,O,X,O,O,X,X,X
LTOJSIZ,O,O,X,O,O,O,X,X
LTOJSZI,O,O,X,O,O,O,X,X
LTOJZIS,O,O,X,O,O,X,X,X
LTOJZSI,O,O,X,O,O,O,X,X
LTOSIJZ,O,X,X,O,O,X,X,X
LTOSIZJ,O,X,X,O,X,X,X,X
LTOSJIZ,O,X,X,O,O,O,X,X
LTOSJZI,O,X,X,O,O,O,X,X
LTOSZIJ,O,X,X,O,X,X,X,X
LTOSZJI,X,X,X,O,O,X,X,X
LTOZIJS,O,O,X,O,X,X,O,X
LTOZISJ,O,O,X,X,X,X,X,X
LTOZJIS,O,O,X,O,O,X,X,X
LTOZJSI,O,O,X,O,O,O,X,X
LTOZSIJ,O,O,X,O,X,X,X,X
LTOZSJI,O,O,X,O,O,X,X,X
LITJSZO,O,X,O,O,O,X,O,X
LITJSOZ,O,X,O,O,O,X,O,X
LITJZSO,O,X,X,X,X,X,O,X
LITJZOS,X,X,X,O,O,X,O,X
LITJOSZ,O,O,O,O,O,X,O,X
LITJOZS,X,O,O,O,O,X,O,X
LITSJZO,X,X,O,O,O,X,O,X
LITSJOZ,X,X,O,O,O,X,O,X
LITSZJO,X,X,O,O,O,X,O,X
LITSZOJ,X,X,X,O,X,X,X,X
LITSOJZ,X,X,O,O,O,X,X,X
LITSOZJ,X,X,X,O,X,X,X,X
LITZJSO,O,X,X,X,X,X,O,X
LITZJOS,O,O,X,O,O,X,O,X
LITZSJO,O,X,X,X,O,X,O,X
LITZSOJ,O,O,X,X,X,X,X,X
LITZOJS,O,O,X,O,X,X,O,X
LITZOSJ,O,O,X,X,X,X,X,X
LITOJSZ,O,O,X,O,O,X,O,X
LITOJZS,O,O,X,O,O,X,O,X
LITOSJZ,O,X,X,O,O,X,X,X
LITOSZJ,O,X,X,O,X,X,X,X
LITOZJS,O,O,X,O,X,X,O,X
LITOZSJ,O,O,X,X,X,X,X,X
LIJTSZO,O,X,O,O,O,X,O,X
LIJTSOZ,O,X,O,O,O,X,O,X
LIJTZSO,O,X,X,X,X,X,O,X
LIJTZOS,X,X,X,O,O,X,O,X
LIJTOSZ,O,O,O,O,O,X,O,X
LIJTOZS,O,O,O,O,O,X,O,X
LIJSTZO,O,X,O,O,X,X,O,X
LIJSTOZ,O,X,O,O,X,X,O,X
LIJSZTO,O,X,O,O,X,X,O,X
LIJSZOT,X,X,X,X,X,O,O,X
LIJSOTZ,O,O,O,O,X,X,O,X
LIJSOZT,O,O,O,X,X,X,O,X
LIJZTSO,O,X,X,X,X,X,O,X
LIJZTOS,X,O,X,O,X,X,O,X
LIJZSTO,O,X,X,O,X,X,O,X
LIJZSOT,X,X,X,X,X,O,O,X
LIJZOTS,O,O,X,X,X,X,O,X
LIJZOST,O,O,X,X,X,X,O,X
LIJOTSZ,O,O,O,O,X,X,O,X
LIJOTZS,O,O,O,O,X,X,O,X
LIJOSTZ,O,O,O,O,X,X,O,X
LIJOSZT,O,O,X,X,X,X,O,X
LIJOZTS,O,O,O,X,X,X,O,O
LIJOZST,O,O,X,X,X,X,O,X
LISTJZO,X,X,O,O,O,X,O,X
LISTJOZ,X,X,O,O,O,X,O,X
LISTZJO,X,X,O,O,O,X,O,X
LISTZOJ,X,X,X,O,X,X,X,X
LISTOJZ,X,X,O,O,O,X,X,X
LISTOZJ,X,X,X,O,X,X,X,X
LISJTZO,X,X,O,O,O,X,O,X
LISJTOZ,X,X,O,O,O,X,O,X
LISJZTO,X,X,O,O,X,X,O,X
LISJZOT,X,X,X,X,X,X,O,X
LISJOTZ,X,O,O,O,X,X,O,X
LISJOZT,X,O,O,X,X,X,O,X
LISZTJO,X,X,O,O,X,X,O,X
LISZTOJ,X,O,X,O,X,X,X,X
LISZJTO,X,X,O,O,X,X,O,X
LISZJOT,X,X,X,X,X,X,O,X
LISZOTJ,X,O,X,X,X,X,X,X
LISZOJT,X,O,X,X,X,X,X,X
LISOTJZ,X,X,O,O,X,X,X,X
LISOTZJ,X,X,X,O,X,X,X,X
LISOJTZ,X,O,O,O,X,X,X,X
LISOJZT,X,O,X,X,X,X,X,X
LISOZTJ,X,O,X,X,X,X,X,X
LISOZJT,X,O,X,X,X,X,X,X
LIZTJSO,O,X,X,X,X,X,O,X
LIZTJOS,O,O,X,O,O,X,O,X
LIZTSJO,O,X,X,X,O,X,O,X
LIZTSOJ,O,O,X,X,X,X,X,X
LIZTOJS,O,O,X,O,X,X,O,X
LIZTOSJ,O,O,X,X,X,X,X,X
LIZJTSO,O,X,X,X,X,X,O,X
LIZJTOS,O,O,X,O,X,X,O,X
LIZJSTO,O,X,X,O,X,X,O,X
LIZJSOT,O,X,X,X,X,O,O,X
LIZJOTS,O,O,X,X,X,X,O,X
LIZJOST,O,O,X,X,X,X,O,X
LIZSTJO,O,X,X,O,X,X,O,X
LIZSTOJ,O,O,X,O,X,X,X,X
LIZSJTO,O,X,X,O,X,X,O,X
LIZSJOT,O,X,X,X,X,X,O,X
LIZSOTJ,O,O,X,X,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X,X
LIZOTJS,O,O,X,X,X,X,O,X
LIZOTSJ,O,O,X,X,X,X,X,X
LIZOJTS,O,O,X,X,X,X,O,X
LIZOJST,O,O,X,X,X,O,O,X
LIZOSTJ,O,O,X,X,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X,X
LIOTJSZ,O,O,X,O,O,X,O,X
LIOTJZS,O,O,X,O,O,X,O,X
LIOTSJZ,O,X,X,O,O,X,X,X
LIOTSZJ,O,X,X,X,X,X,X,X
LIOTZJS,O,O,X,O,X,X,O,X
LIOTZSJ,O,O,X,X,X,X,X,X
LIOJTSZ,O,O,X,O,X,X,O,X
LIOJTZS,O,O,X,O,X,X,O,X
LIOJSTZ,O,O,X,O,X,O,O,X
LIOJSZT,O,O,X,X,X,O,O,X
LIOJZTS,O,O,X,X,X,X,O,X
LIOJZST,O,O,X,X,X,O,O,X
