sequence,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?XiBysBzqBWxB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?urBinBzqB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?qqB/rBmnBTsB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?uqBinBTrB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?qrB/sBmnBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgBThB?qqB/sBmnB0rB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFiB?XmBysBWxBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgBqqB?TmB/sBmnB0rB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhF0hBllB?inBTrB3sBGqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBfnB?VrBmnBSxBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgB1mB?zlB2sBSwB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?zlB2sBSwB3sB
ITZSLOJ,O,X,X,X,O,O,X,O,X,X,X,X
ITZSJLO,O,O,X,O,X,X,X,X,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,O,X,X,X,O,X,X,X
ITZSOJL,X,O,X,X,X,X,X,X,O,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,X,O,X,X,X
ITZOJLS,O,O,X,X,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,O,X,X,X
ITZOSLJ,O,X,X,X,O,X,X,X,O,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X,O,X,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,O,X,X,X,X,O,X,X,X,X
ITOLSZJ,O,X,O,X,X,O,X,O,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,X,X,X,X,O,X,X,X
ITOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X
ITOJLZS,O,O,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,O,X,X,O,X,X,X,X,X
ITOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,O,X,O,X,X,O,X,O,X,X,X
ITOSLJZ,X,X,O,X,O,X,X,O,X,X,X,X
ITOSLZJ,O,X,O,X,O,O,X,O,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,O,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,O,X,O,X,X,X,O,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X,O,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,X,X,O,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X,O,X,X,X
ITOZSLJ,O,X,O,X,O,X,X,X,O,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X,O,X,X,X
ILTJSZO,X,X,O,O,X,O,O,X,X,O,X,X
ILTJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILTJZSO,X,X,X,O,X,X,O,X,X,O,O,X
ILTJZOS,X,X,X,O,X,X,X,X,X,X,O,X
ILTJOSZ,X,X,O,X,X,X,X,X,X,X,X,X
ILTJOZS,X,X,X,O,X,X,X,X,X,X,X,X
ILTSJZO,X,X,O,O,X,O,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILTSZJO,X,X,O,X,X,O,X,X,X,O,O,X
ILTSZOJ,X,X,O,X,X,O,X,O,X,O,O,X
ILTSOJZ,X,X,O,X,X,X,X,O,X,X,X,X
ILTSOZJ,X,X,O,X,X,O,X,O,X,O,X,X
ILTZJSO,X,X,X,X,X,X,X,X,X,O,O,X
ILTZJOS,X,X,X,X,X,X,X,X,X,X,O,X
ILTZSJO,X,X,O,X,X,O,X,X,X,O,O,X
ILTZSOJ,X,X,O,X,X,O,X,O,X,O,O,X
ILTZOJS,X,X,X,X,X,X,X,X,X,X,O,X
ILTZOSJ,X,X,O,X,X,X,X,X,O,O,O,X
ILTOJSZ,X,X,O,X,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,X,X,X,X,X,X,O
ILTOSJZ,X,X,O,X,X,X,X,O,X,X,X,X
ILTOSZJ,X,X,O,X,X,O,X,O,X,O,X,O
ILTOZJS,X,X,X,X,X,X,X,X,X,X,O,O
ILTOZSJ,X,X,O,X,X,X,X,X,O,O,O,O
ILJTSZO,X,X,O,O,X,O,O,X,X,O,X,X
ILJTSOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILJTZSO,X,O,X,O,X,X,O,X,X,O,O,X
ILJTZOS,X,X,X,O,X,X,X,X,X,X,O,X
ILJTOSZ,X,X,O,X,X,X,X,X,X,X,X,X
ILJTOZS,X,X,X,O,X,X,X,X,X,X,X,X
ILJSTZO,O,X,O,O,X,O,O,X,X,O,X,X
ILJSTOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILJSZTO,O,X,O,O,X,O,O,X,X,X,X,X
ILJSZOT,X,X,X,X,X,O,X,X,X,X,X,X
ILJSOTZ,O,X,X,X,X,X,X,O,X,X,X,X
ILJSOZT,O,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,O,X,O,X,X,O,X,X,O,O,X
ILJZTOS,X,X,X,O,X,X,X,X,X,X,O,X
ILJZSTO,O,X,X,X,X,X,O,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,X,X,X
ILJOTSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJOTZS,O,O,X,O,X,X,X,X,X,X,X,O
ILJOSTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJOSZT,O,X,O,X,X,X,X,X,X,X,X,X
ILJOZTS,O,O,X,O,X,X,X,X,X,X,X,O
ILJOZST,O,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,X,X,O,O,O,O,X,X,X,O,X,X
ILSTJOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILSTZJO,O,X,O,X,O,O,X,X,X,O,O,X
ILSTZOJ,O,X,O,X,O,O,X,O,X,O,O,X
ILSTOJZ,X,X,O,X,O,X,X,O,X,X,X,X
ILSTOZJ,X,X,O,X,O,O,X,O,X,O,X,X
ILSJTZO,O,O,O,O,O,O,X,X,X,O,X,X
ILSJTOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILSJZTO,O,O,O,O,O,O,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,O,X,X,X,X,X,X
ILSJOTZ,O,O,X,X,O,X,X,O,X,X,X,X
ILSJOZT,O,O,X,X,O,X,X,X,X,X,X,X
ILSZTJO,O,X,O,X,O,O,X,X,X,O,O,X
ILSZTOJ,O,X,O,X,O,O,X,O,X,O,O,X
ILSZJTO,O,O,O,X,O,O,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,O,X,X,X,X,X,X
ILSZOTJ,X,X,O,X,O,O,X,O,X,X,X,X
ILSZOJT,X,O,X,X,O,O,X,X,X,X,X,X
ILSOTJZ,X,X,O,X,O,X,X,O,X,X,X,X
ILSOTZJ,O,X,O,X,O,O,X,O,O,O,X,O
ILSOJTZ,X,O,O,O,O,X,X,O,X,X,X,X
ILSOJZT,X,O,O,O,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,O,X,O,O,X,O,O,X,X,O
ILSOZJT,X,O,O,X,O,O,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X,X,O,O,X
ILZTJOS,X,X,X,X,X,X,X,X,X,X,O,X
ILZTSJO,O,X,O,X,X,O,X,X,X,O,O,X
ILZTSOJ,O,X,O,X,X,O,X,O,X,O,O,X
ILZTOJS,X,X,X,X,X,X,X,X,X,X,O,X
ILZTOSJ,X,X,O,X,X,X,X,X,X,O,O,X
ILZJTSO,O,O,X,X,X,X,O,X,X,O,O,X
ILZJTOS,X,X,X,X,X,X,X,X,X,X,O,X
ILZJSTO,O,X,X,X,X,X,O,X,X,X,X,X
ILZJSOT,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOTS,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,X,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,O,X,O,X,O,O,X,X,X,O,O,X
ILZSTOJ,O,X,O,X,O,O,X,O,X,O,O,X
ILZSJTO,O,O,O,X,O,O,X,X,X,X,X,X
ILZSJOT,X,X,X,X,X,O,X,X,X,X,X,X
ILZSOTJ,X,X,O,X,O,O,X,O,X,X,X,X
ILZSOJT,X,O,X,X,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X,X,X,X,O,O
ILZOTSJ,O,X,O,X,X,X,X,X,X,O,O,O
ILZOJTS,O,O,X,X,X,X,X,X,X,X,X,O
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,O,X,O,X,X,X,X,X,X,O
ILZOSJT,X,O,O,X,O,X,X,X,X,X,X,X
ILOTJSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,X,X,X,X,X,X,X,X,O
ILOTSJZ,X,X,O,X,X,X,X,O,X,X,X,X
ILOTSZJ,O,X,O,X,X,O,X,O,X,O,X,O
ILOTZJS,O,O,X,X,X,X,X,X,X,X,O,O
ILOTZSJ,O,X,O,X,X,X,X,X,O,O,O,O
ILOJTSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOJTZS,O,O,X,O,X,X,X,X,X,X,X,O
ILOJSTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOJSZT,O,X,O,X,X,X,X,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,X,X,X,X,O
ILOJZST,O,X,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,O,X,X,O,X,X,X,X
ILOSTZJ,O,X,O,X,O,O,X,O,X,O,X,O
ILOSJTZ,X,O,O,X,O,X,X,O,X,X,X,X
ILOSJZT,X,O,O,X,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,O,X,O,O,X,O,X,X,X,O
ILOSZJT,X,O,O,X,O,O,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X,X,O,O
ILOZTSJ,O,X,O,X,X,X,X,X,O,O,O,O
ILOZJTS,O,O,X,X,X,X,X,X,X,X,X,O
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,O,X,O,X,X,X,X,X,X,O
ILOZSJT,X,O,O,X,O,X,X,X,X,X,X,X
IJTLSZO,X,X,O,O,X,O,O,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,O,X,X,X,X
IJTLZSO,X,O,X,O,X,X,O,X,X,X,X,X
IJTLZOS,X,X,X,O,X,X,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,X,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,X,X,O,X,O,O,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,X,O,X,X,X,X
IJTSZLO,O,O,X,O,X,X,O,X,X,X,X,X
IJTSZOL,O,O,X,O,X,X,O,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,X,O,X,X,O,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,O,X,X,X,X,X
IJTZLOS,X,X,X,O,X,X,X,X,X,X,X,X
IJTZSLO,O,O,X,O,X,X,O,X,X,X,X,X
IJTZSOL,O,O,X,O,X,X,O,X,X,X,X,X
IJTZOLS,X,X,X,O,X,X,X,X,X,X,X,X
IJTZOSL,O,O,X,O,X,X,O,X,O,X,X,X
IJTOLSZ,O,X,O,X,X,X,X,X,X,X,X,X
IJTOLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,O,O,X,O,X,X,O,X,X,X,X,X
IJTOZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJTOZSL,O,O,X,O,X,X,O,X,O,X,X,X
IJLTSZO,X,X,O,O,X,O,O,X,X,O,X,X
IJLTSOZ,X,X,X,X,X,X,X,O,X,X,X,X
IJLTZSO,X,O,X,O,X,X,O,X,X,O,O,X
IJLTZOS,X,X,X,O,X,X,X,X,X,X,O,X
IJLTOSZ,X,X,O,X,X,X,X,X,X,X,X,X
IJLTOZS,X,X,X,O,X,X,X,X,X,X,X,X
IJLSTZO,O,X,O,O,X,O,O,X,X,O,X,X
IJLSTOZ,X,X,X,X,X,X,X,O,X,X,X,X
IJLSZTO,O,X,O,O,X,O,O,X,X,X,X,X
IJLSZOT,X,X,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,X,O,X,X,X,X
IJLSOZT,O,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,O,X,O,X,X,O,X,X,O,O,X
IJLZTOS,X,X,X,O,X,X,X,X,X,X,O,X
IJLZSTO,O,X,X,X,X,X,O,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLOTZS,O,O,X,O,X,X,X,X,X,X,X,O
IJLOSTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLOSZT,O,X,O,X,X,X,X,X,X,X,X,X
IJLOZTS,O,O,X,O,X,X,X,X,X,X,X,O
IJLOZST,O,X,X,X,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,O,X,O,O,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,X,O,X,X,X,X
IJSTZLO,O,O,X,O,X,X,O,X,X,X,X,X
IJSTZOL,O,O,X,O,X,X,O,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,X,X,O,X,X,X,X,X
IJSLTZO,O,O,O,O,O,O,O,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,X,O,X,X,X,X
IJSLZTO,O,O,O,O,O,O,O,X,X,X,X,X
IJSLZOT,X,X,X,X,X,O,X,X,X,X,X,X
IJSLOTZ,O,O,X,X,O,X,X,O,X,X,X,X
IJSLOZT,O,O,X,X,O,X,X,X,X,X,X,X
IJSZTLO,O,O,X,O,X,X,O,X,X,X,X,X
IJSZTOL,O,O,X,O,X,X,O,X,X,X,X,X
IJSZLTO,O,O,O,O,O,O,O,X,X,X,X,X
IJSZLOT,X,X,X,X,X,O,X,X,X,X,X,X
IJSZOTL,O,O,X,O,X,X,O,X,X,X,X,X
IJSZOLT,O,O,X,X,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJSOTZL,O,O,X,O,X,X,O,X,O,X,X,X
IJSOLTZ,O,O,X,O,O,X,X,X,X,X,X,X
IJSOLZT,O,O,X,O,O,X,X,X,X,X,X,X
IJSOZTL,O,O,X,O,X,X,O,X,O,X,X,X
IJSOZLT,O,O,X,O,O,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,X,O,X,X,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,O,X,X,O,X,X,X,X,X
IJZTSOL,O,O,X,O,X,X,O,X,X,X,X,X
IJZTOLS,X,X,X,O,X,X,X,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X,O,X,X,X,X,X
IJZLTSO,O,O,X,O,X,X,O,X,X,O,O,X
IJZLTOS,X,X,X,O,X,X,X,X,X,X,O,X
IJZLSTO,O,X,X,X,X,X,O,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,O,X,X,O,X,X,X,X,X
IJZSTOL,O,O,X,O,X,X,O,X,X,X,X,X
IJZSLTO,O,O,X,O,O,X,O,X,X,X,X,X
IJZSLOT,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,O,O,X,O,X,X,O,X,X,X,X,X
IJZSOLT,O,O,X,X,O,X,X,X,X,X,X,X
IJZOTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,O,X,X,X,X,X
IJZOLTS,O,O,X,O,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,O,X,O,X,X,O,X,X,X,X,X
IJZOSLT,O,O,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,O,X,X,X,X,X
IJOTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X,O,X,O,X,X,X
IJOLTSZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOLTZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOLSZT,O,X,O,X,X,X,X,X,X,X,X,X
IJOLZTS,O,O,X,O,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,O,X,O,X,X,O,X,X,X,X,X
IJOSLTZ,O,O,O,X,O,X,X,X,X,X,X,X
IJOSLZT,O,O,O,X,O,X,X,X,X,X,X,X
IJOSZTL,O,O,X,O,X,X,O,X,X,X,X,X
IJOSZLT,O,O,O,X,O,X,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,O,X,O,X,X,X
IJOZLTS,O,O,X,O,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,O,X,X,O,X,X,X,X,X
IJOZSLT,O,O,O,X,O,X,X,X,X,X,X,X
ISTLJZO,X,X,O,O,O,O,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISTLZJO,O,X,O,X,O,O,X,X,X,X,X,X
ISTLZOJ,O,X,O,X,O,O,X,O,X,X,X,X
ISTLOJZ,X,X,O,X,O,X,X,O,X,X,X,X
ISTLOZJ,X,X,O,X,O,O,X,O,X,X,X,X
ISTJLZO,O,O,X,O,X,O,O,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISTJZLO,O,O,X,O,X,X,O,X,X,X,X,X
ISTJZOL,O,O,X,O,X,X,O,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,O,O,X,O,X,X,O,X,X,X,X,X
ISTZLJO,O,X,O,X,O,O,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,O,O,X,O,X,X,X,X
ISTZJLO,O,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,O,O,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,X,X,X,O,O,X,X,O,X,X,X
ISTZOJL,X,O,X,X,X,X,X,X,O,X,X,X
ISTOLJZ,X,X,O,X,O,X,X,O,X,X,X,X
ISTOLZJ,O,X,O,X,O,O,X,O,O,X,X,X
ISTOJLZ,X,O,X,O,X,X,X,X,X,X,X,X
ISTOJZL,O,O,X,O,X,X,X,X,O,X,X,X
ISTOZLJ,O,X,X,X,O,X,X,X,O,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X,O,X,X,X
ISLTJZO,X,X,O,O,O,O,X,X,X,O,X,X
ISLTJOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISLTZJO,O,X,O,X,O,O,X,X,X,O,O,X
ISLTZOJ,O,X,O,X,O,O,X,O,X,O,O,X
ISLTOJZ,X,X,O,X,O,X,X,O,X,X,X,X
ISLTOZJ,X,X,O,X,O,O,X,O,X,O,X,X
ISLJTZO,O,O,O,O,O,O,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISLJZTO,O,O,O,O,O,O,X,X,X,X,X,X
ISLJZOT,X,X,X,X,X,O,X,X,X,X,X,X
ISLJOTZ,O,O,X,X,O,X,X,O,X,X,X,X
ISLJOZT,O,O,X,X,O,X,X,X,X,X,X,X
ISLZTJO,O,X,O,X,O,O,X,X,X,O,O,X
ISLZTOJ,O,X,O,X,O,O,X,O,X,O,O,X
ISLZJTO,O,O,O,X,O,O,X,X,X,X,X,X
ISLZJOT,X,X,X,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,O,O,X,O,X,X,X,X
ISLZOJT,X,O,X,X,O,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,O,X,X,O,X,X,X,X
ISLOTZJ,O,X,O,X,O,O,X,O,O,O,X,O
ISLOJTZ,X,O,O,O,O,X,X,O,X,X,X,X
ISLOJZT,X,O,O,O,O,X,X,X,X,X,X,X
ISLOZTJ,O,X,O,X,O,O,X,O,O,X,X,O
ISLOZJT,X,O,O,X,O,O,X,X,X,X,X,X
ISJTLZO,O,O,X,O,X,O,O,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISJTZLO,O,O,X,O,X,X,O,X,X,X,X,X
ISJTZOL,O,O,X,O,X,X,O,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,O,O,X,O,X,X,O,X,X,X,X,X
ISJLTZO,O,O,O,O,O,O,O,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISJLZTO,O,O,O,O,O,O,O,X,X,X,X,X
ISJLZOT,X,X,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,O,X,X,O,X,X,X,X
ISJLOZT,O,O,X,X,O,X,X,X,X,X,X,X
ISJZTLO,O,O,X,O,X,X,O,X,X,X,X,X
ISJZTOL,O,O,X,O,X,X,O,X,X,X,X,X
ISJZLTO,O,O,O,O,O,O,O,X,X,X,X,X
ISJZLOT,X,X,X,X,X,O,X,X,X,X,X,X
ISJZOTL,O,O,X,O,X,X,O,X,X,X,X,X
ISJZOLT,O,O,X,X,O,O,X,X,X,X,X,X
ISJOTLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISJOTZL,O,O,X,O,X,X,O,X,O,X,X,X
ISJOLTZ,O,O,X,O,O,X,X,X,X,X,X,X
ISJOLZT,O,O,X,O,O,X,X,X,X,X,X,X
ISJOZTL,O,O,X,O,X,X,O,X,O,X,X,X
ISJOZLT,O,O,X,O,O,X,X,X,X,X,X,X
ISZTLJO,O,X,O,X,O,O,X,X,X,X,X,X
ISZTLOJ,O,X,O,X,O,O,X,O,X,X,X,X
ISZTJLO,O,O,X,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,X,X,X,O,O,X,X,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,O,X,O,O,X,X,X,O,O,X
ISZLTOJ,O,X,O,X,O,O,X,O,X,O,O,X
ISZLJTO,O,O,O,X,O,O,X,X,X,X,X,X
ISZLJOT,X,X,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,O,O,X,O,X,X,X,X
ISZLOJT,X,O,X,X,O,O,X,X,X,X,X,X
ISZJTLO,O,O,X,O,X,X,O,X,X,X,X,X
ISZJTOL,O,O,X,O,X,X,O,X,X,X,X,X
ISZJLTO,O,O,O,O,O,O,O,X,X,X,X,X
ISZJLOT,X,X,X,X,X,O,X,X,X,X,X,X
ISZJOTL,O,O,X,O,X,X,O,X,X,X,X,X
ISZJOLT,O,O,X,X,O,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,O,O,X,X,O,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X,O,X,X,X
ISZOLTJ,O,X,O,X,O,O,X,X,O,X,X,X
ISZOLJT,X,O,X,X,O,O,X,X,X,X,X,X
ISZOJTL,O,O,X,O,X,X,X,X,O,X,X,X
ISZOJLT,O,O,X,O,O,O,X,X,X,X,X,X
ISOTLJZ,X,X,O,X,O,X,X,O,X,X,X,X
ISOTLZJ,O,X,O,X,O,O,X,O,O,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,X,O,X,X,X
ISOTZLJ,O,X,O,X,O,X,X,X,O,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X,O,X,X,X
ISOLTJZ,X,X,O,X,O,X,X,O,X,X,X,X
ISOLTZJ,O,X,O,X,O,O,X,O,O,X,X,X
ISOLJTZ,X,O,O,O,O,X,X,O,X,X,X,X
ISOLJZT,X,O,O,O,O,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,X,O,O,X,O,O,X,X,X
ISOLZJT,X,O,O,X,O,O,X,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X,O,X,X,X
ISOJLTZ,O,O,O,O,O,X,X,X,X,X,X,X
ISOJLZT,O,O,O,O,O,X,X,X,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X,O,X,X,X
ISOJZLT,O,O,O,O,O,X,X,X,X,X,X,X
ISOZTLJ,O,X,O,X,O,O,X,X,O,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X,O,X,X,X
ISOZLTJ,O,X,O,X,O,O,X,X,O,X,X,X
ISOZLJT,X,O,O,X,O,O,X,X,X,X,X,X
ISOZJTL,O,O,X,O,X,X,X,X,O,X,X,X
ISOZJLT,O,O,O,O,O,O,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X,X,O,O,X
IZTLJOS,X,X,X,X,X,X,X,X,X,X,O,X
IZTLSJO,O,X,O,X,X,O,X,X,X,O,O,X
IZTLSOJ,O,X,O,X,X,O,X,O,X,O,O,X
IZTLOJS,X,X,X,X,X,X,X,X,X,X,O,X
IZTLOSJ,X,X,O,X,X,X,X,X,O,O,O,X
IZTJLSO,O,O,X,O,X,X,O,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X,X,X,X,X
IZTJSLO,O,O,X,O,X,X,O,X,X,X,X,X
IZTJSOL,O,O,X,O,X,X,O,X,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,X,X,X,X,X
IZTJOSL,O,O,X,O,X,X,O,X,O,X,X,X
IZTSLJO,O,X,X,X,O,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,O,O,X,O,X,X,X,X
IZTSJLO,O,O,X,O,X,X,X,X,X,X,X,X
IZTSJOL,O,O,X,O,X,X,X,X,X,X,X,X
