sequence,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFThB/nBGjBClB0q?BlrB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFlhBGjBClB/rBTn?B0qB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF/nBGjBzkBCmB0m?BVwB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF8lBqmB/nBGjBzk?BVwB
TOJLSZI,O,O,O,O
TOJLZIS,X,O,O,O
TOJLZSI,X,O,O,O
TOJSILZ,O,O,O,O
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,O
TOJZILS,X,O,O,O
TOJZISL,X,O,O,X
TOJZLIS,X,O,O,O
TOJZLSI,X,O,O,O
TOJZSIL,X,O,O,X
TOJZSLI,X,O,O,O
TOSILJZ,O,O,O,O
TOSILZJ,O,O,O,O
TOSIJLZ,O,O,O,O
TOSIJZL,O,O,O,X
TOSIZLJ,X,X,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,O
TOSLIZJ,O,O,O,O
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,O,O,O
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,O
TOSZILJ,O,X,O,O
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,O,O
TOSZLJI,O,O,O,O
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,O
TOZILJS,O,O,O,O
TOZILSJ,O,O,O,O
TOZIJLS,X,O,O,O
TOZIJSL,O,O,O,X
TOZISLJ,O,O,O,O
TOZISJL,O,O,O,X
TOZLIJS,O,O,O,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,X,O,O,O
TOZJISL,O,O,O,X
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,O,X
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,O
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,O,O
TOZSLJI,O,O,O,O
TOZSJIL,O,O,O,X
TOZSJLI,O,O,O,O
ITLJSZO,O,O,X,X
ITLJSOZ,O,O,O,X
ITLJZSO,O,O,X,X
ITLJZOS,X,O,X,X
ITLJOSZ,O,O,O,X
ITLJOZS,X,O,O,X
ITLSJZO,O,O,X,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,O,X,O
ITLSZOJ,O,X,X,O
ITLSOJZ,O,O,O,O
ITLSOZJ,O,O,O,O
ITLZJSO,O,O,X,O
ITLZJOS,O,O,X,X
ITLZSJO,O,O,X,O
ITLZSOJ,O,O,X,O
ITLZOJS,O,O,X,O
ITLZOSJ,O,O,X,O
ITLOJSZ,O,O,O,X
ITLOJZS,X,O,O,X
ITLOSJZ,O,O,O,O
ITLOSZJ,O,O,O,O
ITLOZJS,X,O,O,O
ITLOZSJ,O,O,O,O
ITJLSZO,O,O,X,X
ITJLSOZ,O,O,O,X
ITJLZSO,O,O,X,X
ITJLZOS,X,O,X,X
ITJLOSZ,O,O,O,X
ITJLOZS,X,O,O,X
ITJSLZO,O,O,X,O
ITJSLOZ,O,O,O,O
ITJSZLO,O,O,X,X
ITJSZOL,O,O,X,X
ITJSOLZ,O,O,O,O
ITJSOZL,O,O,O,X
ITJZLSO,O,O,X,X
ITJZLOS,X,O,X,X
ITJZSLO,O,O,X,X
ITJZSOL,O,O,X,X
ITJZOLS,X,O,X,X
