sequence,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF0gBxhBeqBFnBCr?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFOlBxhBUmBFnBSv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmhBqnBxlBlqBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFlgBeqB8qBRsBfs?B6sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGlBTmBVv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGmBlqB3s?BzpB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF2lBlhBcnBxqB3s?BSvB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFylBGiBlqBRsBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFGiByqBRsBXqBUs?BlqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmgBSnBlqBRsBXq?BUsB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF/lBRhBqnB2rBVv?BUsB
ILJSZTO,O,X,X,X,X,X,O,X,O,X,X
ILJSZOT,O,X,X,X,X,X,O,X,O,X,X
ILJSOTZ,O,X,X,X,X,X,X,X,X,X,X
ILJSOZT,O,X,X,X,X,X,O,X,O,X,X
ILJZTSO,O,X,X,O,X,X,X,X,O,X,X
ILJZTOS,O,X,X,O,X,X,X,X,O,X,X
ILJZSTO,O,X,X,O,X,X,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X,X,X,O,X,X
ILJZOTS,O,X,X,O,X,X,X,X,O,X,X
ILJZOST,O,X,X,O,X,X,X,X,O,X,X
ILJOTSZ,O,X,X,X,X,X,X,X,X,X,O
ILJOTZS,O,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,O,X,O,X,X
ILJOZTS,O,X,X,O,X,X,X,X,O,X,X
ILJOZST,O,X,X,O,X,X,X,X,O,X,X
ILSTJZO,O,X,X,X,X,O,X,X,X,O,X
ILSTJOZ,O,X,X,X,X,X,X,X,X,O,X
ILSTZJO,O,X,X,X,X,O,X,X,O,O,X
ILSTZOJ,O,X,X,X,X,O,X,X,O,O,X
ILSTOJZ,O,X,X,X,X,X,X,X,X,O,X
ILSTOZJ,O,X,X,X,X,X,X,X,O,O,X
ILSJTZO,O,X,X,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X,X,X
ILSJZTO,O,X,X,X,X,X,O,X,O,X,X
ILSJZOT,O,X,X,X,X,X,O,X,O,X,X
ILSJOTZ,O,X,X,X,X,X,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,O,X,O,X,X
ILSZTJO,X,X,X,X,X,O,O,X,O,X,X
ILSZTOJ,X,X,X,X,O,O,O,X,O,X,X
ILSZJTO,X,X,X,X,X,O,O,X,O,X,X
ILSZJOT,X,X,X,X,O,X,O,X,O,X,X
ILSZOTJ,X,X,X,X,O,O,O,X,O,X,X
ILSZOJT,X,X,X,X,O,X,O,X,O,X,X
ILSOTJZ,O,X,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X,O,X,X
ILSOJTZ,O,X,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,O,X,O,X,X
ILSOZTJ,X,X,X,X,O,X,O,X,O,X,X
ILSOZJT,X,X,X,X,O,X,O,X,O,X,X
ILZTJSO,X,X,X,X,X,X,X,X,O,O,X
ILZTJOS,X,X,X,X,X,X,X,X,O,X,X
ILZTSJO,X,X,X,X,X,X,X,X,O,O,X
ILZTSOJ,X,X,X,X,X,X,X,X,O,O,X
ILZTOJS,X,X,X,X,X,X,X,X,O,X,X
ILZTOSJ,X,X,X,X,X,X,X,X,O,X,X
ILZJTSO,X,X,X,O,X,X,X,X,O,X,X
ILZJTOS,X,X,X,O,X,X,X,X,O,X,X
ILZJSTO,X,X,X,O,X,X,X,X,O,X,X
ILZJSOT,X,X,X,O,X,X,X,X,O,X,X
ILZJOTS,X,X,X,O,X,X,X,X,O,X,X
ILZJOST,X,X,X,O,X,X,X,X,O,X,X
ILZSTJO,X,X,X,X,X,X,X,X,O,X,X
ILZSTOJ,X,X,X,X,X,X,X,X,O,X,X
ILZSJTO,X,X,X,X,X,X,X,X,O,X,X
ILZSJOT,X,X,X,X,X,X,X,X,O,X,X
ILZSOTJ,X,X,X,X,X,X,X,X,O,X,X
ILZSOJT,X,X,X,X,X,X,X,X,O,X,X
ILZOTJS,X,X,X,X,X,X,X,X,O,X,X
ILZOTSJ,X,X,X,X,X,X,X,X,O,X,X
ILZOJTS,X,X,X,O,X,X,X,X,O,X,X
ILZOJST,X,X,X,O,X,X,X,X,O,X,X
ILZOSTJ,X,X,X,X,X,X,X,X,O,X,X
ILZOSJT,X,X,X,X,X,X,X,X,O,X,X
ILOTJSZ,O,X,X,X,X,X,X,X,X,O,X
ILOTJZS,O,X,X,X,X,X,X,O,X,X,X
ILOTSJZ,O,X,X,X,X,X,X,X,X,O,X
ILOTSZJ,X,X,X,X,X,X,X,O,O,O,X
ILOTZJS,O,X,X,X,X,X,X,O,O,X,X
ILOTZSJ,X,X,X,X,X,X,X,O,O,X,X
ILOJTSZ,O,X,X,X,X,X,X,X,X,X,O
ILOJTZS,O,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,O,X,O,X,X
ILOJZTS,O,X,X,O,X,X,X,X,O,X,X
ILOJZST,O,X,X,O,X,X,X,X,O,X,X
ILOSTJZ,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,X,O,X,X
ILOSJTZ,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,O,X,O,X,X
ILOSZTJ,X,X,X,X,O,X,O,X,O,X,X
ILOSZJT,X,X,X,X,O,X,O,X,O,X,X
ILOZTJS,X,X,X,X,X,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,X,X,X,X,O,X,X
ILOZJTS,X,X,X,O,X,X,X,X,O,X,X
ILOZJST,X,X,X,O,X,X,X,X,O,X,X
ILOZSTJ,X,X,X,X,X,X,X,X,O,X,X
ILOZSJT,X,X,X,X,X,X,X,X,O,X,X
IJTLSZO,X,X,X,X,X,X,X,X,X,O,O
IJTLSOZ,X,X,X,X,X,X,X,X,X,O,O
IJTLZSO,X,X,X,X,X,X,X,O,X,O,X
IJTLZOS,X,X,X,X,X,X,X,O,X,X,X
IJTLOSZ,X,X,X,X,X,X,X,X,X,O,O
IJTLOZS,X,X,X,X,X,X,X,O,X,X,X
IJTSLZO,X,X,X,X,X,X,X,X,X,O,O
IJTSLOZ,X,X,X,X,X,X,X,X,X,O,O
IJTSZLO,X,X,X,X,X,X,O,X,X,O,X
IJTSZOL,X,X,X,X,X,X,O,X,X,O,X
IJTSOLZ,X,X,X,X,X,X,X,X,X,O,O
IJTSOZL,X,X,X,X,X,X,O,X,X,O,X
IJTZLSO,X,X,X,O,X,X,X,O,X,O,X
IJTZLOS,X,X,X,O,X,X,X,O,X,X,X
IJTZSLO,X,X,X,O,X,X,X,O,X,O,X
IJTZSOL,X,X,X,O,X,X,X,O,X,O,X
IJTZOLS,X,X,X,O,X,X,X,O,X,X,X
IJTZOSL,X,X,X,O,X,X,X,O,X,X,X
IJTOLSZ,X,X,X,X,X,X,X,X,X,O,O
IJTOLZS,X,X,X,X,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,X,O,O
IJTOSZL,X,X,X,X,X,X,O,X,X,O,X
IJTOZLS,X,X,X,O,X,X,X,O,X,X,X
IJTOZSL,X,X,X,O,X,X,X,O,X,X,X
IJLTSZO,O,X,X,X,X,X,X,X,X,O,O
IJLTSOZ,O,X,X,X,X,X,X,X,X,O,O
IJLTZSO,O,X,X,X,X,X,X,X,X,O,X
IJLTZOS,O,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,X,X,O,O
IJLTOZS,O,X,X,X,X,X,X,X,X,X,X
IJLSTZO,O,X,X,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X,O,X,O,X,X
IJLSZOT,O,X,X,X,X,X,O,X,O,X,X
IJLSOTZ,O,X,X,X,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,X,X,O,X,O,X,X
IJLZTSO,O,X,X,O,X,X,X,X,O,X,X
IJLZTOS,O,X,X,O,X,X,X,X,O,X,X
IJLZSTO,O,X,X,O,X,X,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X,X,X,O,X,X
IJLZOTS,O,X,X,O,X,X,X,X,O,X,X
IJLZOST,O,X,X,O,X,X,X,X,O,X,X
IJLOTSZ,O,X,X,X,X,X,X,X,X,X,O
IJLOTZS,O,X,X,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,O,X,O,X,X
IJLOZTS,O,X,X,O,X,X,X,X,O,X,X
IJLOZST,O,X,X,O,X,X,X,X,O,X,X
IJSTLZO,O,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,X,X,X,X,O,X,X,X,X
IJSTZOL,O,X,X,X,X,X,O,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,O,X,X,X,X,X,O,X,X,X,X
IJSLTZO,O,X,X,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X,X,X
IJSLZTO,O,X,X,X,X,X,O,X,X,X,X
IJSLZOT,O,X,X,X,X,X,O,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,O,X,X,X,X
IJSZTLO,O,X,X,O,X,X,O,X,X,X,X
IJSZTOL,O,X,X,O,X,X,O,X,X,X,X
IJSZLTO,O,X,X,O,X,X,O,X,X,X,X
IJSZLOT,O,X,X,O,X,X,O,X,X,X,X
IJSZOTL,O,X,X,O,X,X,O,X,X,X,X
IJSZOLT,O,X,X,O,X,X,O,X,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,O,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,O,X,X,X,X
IJSOZTL,O,X,X,O,X,X,O,X,X,X,X
IJSOZLT,O,X,X,O,X,X,O,X,X,X,X
IJZTLSO,X,X,X,O,X,X,X,X,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X,X,X,X
IJZTSLO,X,X,X,O,X,X,X,X,X,X,X
IJZTSOL,X,X,X,O,X,X,X,X,X,X,X
IJZTOLS,O,X,X,O,X,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X,X
IJZLTSO,O,X,X,O,X,X,X,X,X,X,X
IJZLTOS,O,X,X,O,X,X,X,X,X,X,X
IJZLSTO,O,X,X,O,X,X,X,X,X,X,X
IJZLSOT,O,X,X,O,X,X,X,X,X,X,X
IJZLOTS,O,X,X,O,X,X,X,X,X,X,X
IJZLOST,O,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,X,X,O,X,X,O,X,X,X,X
IJZSTOL,O,X,X,O,X,X,O,X,X,X,X
IJZSLTO,O,X,X,O,X,X,O,X,X,X,X
IJZSLOT,O,X,X,O,X,X,O,X,X,X,X
IJZSOTL,O,X,X,O,X,X,O,X,X,X,X
IJZSOLT,O,X,X,O,X,X,O,X,X,X,X
IJZOTLS,O,X,X,O,X,X,X,X,X,X,X
IJZOTSL,O,X,X,O,X,X,X,X,X,X,X
IJZOLTS,O,X,X,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X,O,X,X,X,X
IJZOSLT,O,X,X,O,X,X,O,X,X,X,X
IJOTLSZ,X,X,X,X,X,X,X,X,X,X,O
IJOTLZS,X,X,X,X,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,X,X,X,X,X,X,X,O
IJOTSZL,X,X,X,X,X,X,O,X,X,X,X
IJOTZLS,X,X,X,O,X,X,X,O,X,X,X
IJOTZSL,X,X,X,O,X,X,X,O,X,X,X
IJOLTSZ,O,X,X,X,X,X,X,X,X,X,O
IJOLTZS,O,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X,O,X,O,X,X
IJOLZTS,O,X,X,O,X,X,X,X,O,X,X
IJOLZST,O,X,X,O,X,X,X,X,O,X,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,X,X,X,O,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,O,X,X,X,X
IJOSZTL,O,X,X,O,X,X,O,X,X,X,X
IJOSZLT,O,X,X,O,X,X,O,X,X,X,X
IJOZTLS,O,X,X,O,X,X,X,X,X,X,X
IJOZTSL,O,X,X,O,X,X,X,X,X,X,X
IJOZLTS,O,X,X,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X,O,X,X,X,X
IJOZSLT,O,X,X,O,X,X,O,X,X,X,X
ISTLJZO,O,X,X,X,X,O,X,X,X,O,X
ISTLJOZ,O,X,X,X,X,X,X,X,X,O,X
ISTLZJO,O,O,X,X,X,O,X,O,X,O,X
ISTLZOJ,O,O,X,X,X,O,X,O,X,O,X
ISTLOJZ,O,X,X,X,X,X,X,X,X,O,X
ISTLOZJ,O,O,X,X,X,X,X,O,X,O,X
ISTJLZO,O,X,X,X,X,O,X,X,X,O,X
ISTJLOZ,O,X,X,X,X,X,X,X,X,O,X
ISTJZLO,O,O,X,X,X,O,O,X,X,O,X
ISTJZOL,O,O,X,X,X,O,O,X,X,O,X
ISTJOLZ,O,X,X,X,X,X,X,X,X,O,X
ISTJOZL,O,O,X,X,X,X,O,X,X,O,X
ISTZLJO,O,O,X,X,X,O,O,O,X,O,X
ISTZLOJ,O,O,X,X,X,O,O,O,X,O,X
ISTZJLO,O,O,X,X,X,O,O,O,X,O,X
ISTZJOL,O,O,X,X,X,O,O,O,X,O,X
ISTZOLJ,O,O,X,X,X,O,O,O,X,O,X
ISTZOJL,O,O,X,X,X,O,O,O,X,O,X
ISTOLJZ,O,X,X,X,X,X,X,X,X,O,X
ISTOLZJ,O,O,X,X,X,X,X,O,X,O,X
ISTOJLZ,O,X,X,X,X,X,X,X,X,O,X
ISTOJZL,O,O,X,X,X,X,O,X,X,O,X
ISTOZLJ,O,O,X,X,X,X,O,O,X,O,X
ISTOZJL,O,O,X,X,X,X,O,O,X,O,X
ISLTJZO,O,X,X,X,X,O,X,X,X,O,X
ISLTJOZ,O,X,X,X,X,X,X,X,X,O,X
ISLTZJO,O,X,X,X,X,O,X,X,O,O,X
ISLTZOJ,O,X,X,X,X,O,X,X,O,O,X
ISLTOJZ,O,X,X,X,X,X,X,X,X,O,X
ISLTOZJ,O,X,X,X,X,X,X,X,O,O,X
ISLJTZO,O,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,O,X,O,X,X
ISLJZOT,O,X,X,X,X,X,O,X,O,X,X
ISLJOTZ,O,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,O,X,O,X,X
ISLZTJO,X,X,X,X,X,O,O,X,O,X,X
ISLZTOJ,X,X,X,X,O,O,O,X,O,X,X
ISLZJTO,X,X,X,X,X,O,O,X,O,X,X
ISLZJOT,X,X,X,X,O,X,O,X,O,X,X
ISLZOTJ,X,X,X,X,O,O,O,X,O,X,X
ISLZOJT,X,X,X,X,O,X,O,X,O,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,O,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,O,X,O,X,X
ISLOZTJ,X,X,X,X,O,X,O,X,O,X,X
ISLOZJT,X,X,X,X,O,X,O,X,O,X,X
ISJTLZO,O,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,X,X,X,O,X,X,X,X
ISJTZOL,O,X,X,X,X,X,O,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,O,X,X,X,X,X,O,X,X,X,X
ISJLTZO,O,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X,O,X,X,X,X
ISJLZOT,O,X,X,X,X,X,O,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,O,X,X,X,X
ISJZTLO,O,X,X,O,X,X,O,X,X,X,X
ISJZTOL,O,X,X,O,X,X,O,X,X,X,X
ISJZLTO,O,X,X,O,X,X,O,X,X,X,X
ISJZLOT,O,X,X,O,X,X,O,X,X,X,X
ISJZOTL,O,X,X,O,X,X,O,X,X,X,X
ISJZOLT,O,X,X,O,X,X,O,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,O,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,O,X,X,X,X
ISJOZTL,O,X,X,O,X,X,O,X,X,X,X
ISJOZLT,O,X,X,O,X,X,O,X,X,X,X
ISZTLJO,X,O,X,X,X,O,O,X,X,X,X
ISZTLOJ,X,O,X,X,O,O,O,X,X,X,X
ISZTJLO,X,O,X,X,X,O,O,X,X,X,X
ISZTJOL,X,O,X,X,X,O,O,X,X,X,X
ISZTOLJ,X,O,X,X,X,O,O,X,X,X,X
ISZTOJL,X,O,X,X,X,O,O,X,X,X,X
ISZLTJO,X,X,X,X,X,O,O,X,X,X,X
ISZLTOJ,X,X,X,X,O,O,O,X,X,X,X
ISZLJTO,X,X,X,X,X,O,O,X,X,X,X
ISZLJOT,X,O,X,X,O,X,O,X,X,X,X
ISZLOTJ,X,X,X,X,O,O,O,X,X,X,X
ISZLOJT,X,O,X,X,O,X,O,X,X,X,X
ISZJTLO,X,O,X,O,X,O,O,X,X,X,X
ISZJTOL,X,O,X,O,X,O,O,X,X,X,X
ISZJLTO,X,X,X,O,X,O,O,X,X,X,X
ISZJLOT,X,O,X,O,O,X,O,X,X,X,X
ISZJOTL,X,O,X,O,X,X,O,X,X,X,X
ISZJOLT,X,O,X,O,X,X,O,X,X,X,X
ISZOTLJ,X,O,X,X,O,O,O,X,X,X,X
ISZOTJL,X,O,X,X,O,O,O,X,X,X,X
ISZOLTJ,X,X,X,X,O,O,O,X,X,X,X
ISZOLJT,X,O,X,X,O,X,O,X,X,X,X
ISZOJTL,X,O,X,O,O,X,O,X,X,X,X
ISZOJLT,X,O,X,O,O,X,O,X,X,X,X
ISOTLJZ,O,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,O,X,X,O,X,X,X
ISOTJLZ,O,X,X,X,O,X,X,X,X,X,X
ISOTJZL,O,O,X,X,O,X,O,X,X,X,X
ISOTZLJ,O,O,X,X,O,X,O,O,X,X,X
ISOTZJL,O,O,X,X,O,X,O,O,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X,O,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,O,X,O,X,X
ISOLZTJ,X,X,X,X,O,X,O,X,O,X,X
ISOLZJT,X,X,X,X,O,X,O,X,O,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,O,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,O,X,X,X,X
ISOJZTL,O,X,X,O,X,X,O,X,X,X,X
ISOJZLT,O,X,X,O,X,X,O,X,X,X,X
ISOZTLJ,X,O,X,X,O,X,O,X,X,X,X
ISOZTJL,X,O,X,X,O,X,O,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,O,X,X,X,X
ISOZLJT,X,O,X,X,O,X,O,X,X,X,X
ISOZJTL,X,O,X,O,O,X,O,X,X,X,X
ISOZJLT,X,O,X,O,O,X,O,X,X,X,X
IZTLJSO,X,X,O,X,X,X,X,O,X,O,X
IZTLJOS,X,O,O,X,X,X,X,O,X,X,X
IZTLSJO,X,X,O,X,X,X,X,O,X,O,X
IZTLSOJ,X,X,O,X,X,X,X,O,X,O,X
IZTLOJS,X,O,O,X,X,X,X,O,X,X,X
IZTLOSJ,X,X,O,X,X,X,X,O,X,X,X
IZTJLSO,X,X,O,O,X,X,X,O,X,O,X
IZTJLOS,X,O,O,O,X,X,X,O,X,X,X
IZTJSLO,X,X,X,O,X,X,X,O,X,O,X
IZTJSOL,X,O,X,O,X,X,X,O,X,O,X
IZTJOLS,X,O,O,O,X,X,X,O,X,X,X
IZTJOSL,X,O,X,O,X,X,X,O,X,X,X
IZTSLJO,X,X,O,X,X,X,X,O,X,O,X
IZTSLOJ,X,X,O,X,X,X,X,O,X,O,X
IZTSJLO,X,X,X,X,X,X,X,O,X,O,X
IZTSJOL,X,O,X,X,X,X,X,O,X,O,X
IZTSOLJ,X,X,O,X,X,X,X,O,X,O,X
IZTSOJL,X,O,X,X,X,X,X,O,X,O,X
IZTOLJS,X,O,O,X,X,X,X,O,X,X,X
IZTOLSJ,X,X,O,X,X,X,X,O,X,X,X
IZTOJLS,X,O,O,O,X,X,X,O,X,X,X
IZTOJSL,X,O,X,O,X,X,X,O,X,X,X
IZTOSLJ,X,X,O,X,X,X,X,O,X,X,X
IZTOSJL,X,O,X,X,X,X,X,O,X,X,X
IZLTJSO,X,X,O,X,X,X,X,X,O,O,X
IZLTJOS,X,X,O,X,X,X,X,X,O,X,X
IZLTSJO,X,X,O,X,X,X,X,X,O,O,X
IZLTSOJ,X,X,O,X,X,X,X,X,O,O,X
IZLTOJS,X,X,O,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,O,X,X,X,X,X,O,X,X
IZLJTSO,X,X,O,O,X,X,X,X,O,X,X
IZLJTOS,X,X,O,O,X,X,X,X,O,X,X
IZLJSTO,X,X,X,O,X,X,X,X,O,X,X
IZLJSOT,X,X,O,O,X,X,X,X,O,X,X
IZLJOTS,X,O,O,O,X,X,X,X,O,X,X
IZLJOST,X,O,O,O,X,X,X,X,O,X,X
IZLSTJO,X,X,X,X,X,X,X,X,O,X,X
IZLSTOJ,X,X,X,X,X,X,X,X,O,X,X
IZLSJTO,X,X,X,X,X,X,X,X,O,X,X
IZLSJOT,X,X,O,X,X,X,X,X,O,X,X
IZLSOTJ,X,X,X,X,X,X,X,X,O,X,X
IZLSOJT,X,X,O,X,X,X,X,X,O,X,X
IZLOTJS,X,X,O,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,O,X,X,X,X,X,O,X,X
IZLOJTS,X,O,O,O,X,X,X,X,O,X,X
IZLOJST,X,O,O,O,X,X,X,X,O,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,O,X,X
IZLOSJT,X,X,O,X,X,X,X,X,O,X,X
IZJTLSO,X,X,X,O,X,X,X,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X,X,X,X
IZJTSLO,X,X,X,O,X,X,X,X,X,X,X
IZJTSOL,X,O,X,O,X,X,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,X,X
IZJTOSL,X,O,X,O,X,X,X,X,X,X,X
IZJLTSO,X,X,X,O,X,X,X,X,X,X,X
IZJLTOS,X,X,O,O,X,X,X,X,X,X,X
IZJLSTO,X,X,X,O,X,X,X,X,X,X,X
IZJLSOT,X,X,O,O,X,X,X,X,X,X,X
IZJLOTS,X,O,O,O,X,X,X,X,X,X,X
IZJLOST,X,O,O,O,X,X,X,X,X,X,X
IZJSTLO,X,O,X,O,X,X,O,X,X,X,X
IZJSTOL,X,O,X,O,X,X,O,X,X,X,X
IZJSLTO,X,X,X,O,X,X,O,X,X,X,X
IZJSLOT,X,O,X,O,X,X,O,X,X,X,X
IZJSOTL,X,O,X,O,X,X,O,X,X,X,X
IZJSOLT,X,O,X,O,X,X,O,X,X,X,X
IZJOTLS,X,O,X,O,X,X,X,X,X,X,X
IZJOTSL,X,O,X,O,X,X,X,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X,X,X,X,X
IZJOLST,X,O,O,O,X,X,X,X,X,X,X
IZJOSTL,X,O,X,O,X,X,O,X,X,X,X
IZJOSLT,X,O,X,O,X,X,O,X,X,X,X
IZSTLJO,X,O,X,X,X,X,O,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,O,X,X,X,X
IZSTJLO,X,O,X,X,X,X,O,X,X,X,X
IZSTJOL,X,O,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,O,X,X,X,X
IZSTOJL,X,O,X,X,X,X,O,X,X,X,X
IZSLTJO,X,X,X,X,X,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,O,X,X,X,X
IZSLJTO,X,X,X,X,X,X,O,X,X,X,X
IZSLJOT,X,O,O,X,X,X,O,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,O,X,X,X,X
IZSLOJT,X,O,O,X,X,X,O,X,X,X,X
IZSJTLO,X,O,X,O,X,X,O,X,X,X,X
IZSJTOL,X,O,X,O,X,X,O,X,X,X,X
IZSJLTO,X,X,X,O,X,X,O,X,X,X,X
IZSJLOT,X,O,X,O,X,X,O,X,X,X,X
IZSJOTL,X,O,X,O,X,X,O,X,X,X,X
IZSJOLT,X,O,X,O,X,X,O,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,O,X,X,X,X
IZSOTJL,X,O,X,X,X,X,O,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,X,O,O,X,X,X,O,X,X,X,X
IZSOJTL,X,O,X,O,X,X,O,X,X,X,X
IZSOJLT,X,O,X,O,X,X,O,X,X,X,X
IZOTLJS,X,O,O,X,X,X,X,O,X,X,X
IZOTLSJ,X,X,O,X,X,X,X,O,X,X,X
IZOTJLS,X,O,O,O,X,X,X,O,X,X,X
IZOTJSL,X,O,X,O,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,X,X,X,X,O,X,X,X
IZOTSJL,X,O,X,X,X,X,X,O,X,X,X
IZOLTJS,X,X,O,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,O,X,X,X,X,X,O,X,X
IZOLJTS,X,O,O,O,X,X,X,X,O,X,X
IZOLJST,X,O,O,O,X,X,X,X,O,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,O,X,X
IZOLSJT,X,X,O,X,X,X,X,X,O,X,X
IZOJTLS,X,O,X,O,X,X,X,X,X,X,X
IZOJTSL,X,O,X,O,X,X,X,X,X,X,X
IZOJLTS,X,O,O,O,X,X,X,X,X,X,X
IZOJLST,X,O,O,O,X,X,X,X,X,X,X
IZOJSTL,X,O,X,O,X,X,O,X,X,X,X
IZOJSLT,X,O,X,O,X,X,O,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,O,X,X,X,X
IZOSTJL,X,O,X,X,X,X,O,X,X,X,X
