sequence,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiBOqBcsBToBCr?B3rB,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiB0lBCnBToB2v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8JeUCJvhFGjBxlBVtB3lByv?BzrB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFFiBTjB0mBWtBiq?BRwB,v115@9gC8GeB8HeB8HeB8EeC8JeRBJvhFfoB6oBmlBUnBTq?B1wB,v115@9gC8GeB8HeB8HeB8EeC8JeWHJvhFxiBilBToBUmB1v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFzhBGjByqBUoBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JexCJvhFKqBfrBlmBcsBTo?BGrB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFemBzhBfoB6oBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFymBziB+oBXmBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFmhBCjBXmBToBFs?BxvB
ILJSZOT,X,X,X,O,X,X,O,X,O,X,X
ILJSOTZ,X,X,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,O,X,X,X,X,X,X,X
ILJZTSO,X,X,O,O,X,X,O,X,O,O,X
ILJZTOS,X,X,O,O,X,X,O,X,X,O,X
ILJZSTO,X,X,X,O,X,X,O,X,O,X,X
ILJZSOT,X,X,X,O,X,X,O,X,O,X,X
ILJZOTS,X,X,X,O,X,X,O,X,X,O,X
ILJZOST,X,X,X,O,X,X,O,X,O,X,X
ILJOTSZ,X,X,X,O,X,X,X,X,X,O,X
ILJOTZS,X,X,X,O,X,X,X,X,X,O,X
ILJOSTZ,X,X,X,O,X,X,X,X,X,X,X
ILJOSZT,X,X,X,O,X,X,X,X,X,X,X
ILJOZTS,X,X,X,O,X,X,X,X,X,O,X
ILJOZST,X,X,X,O,X,X,X,X,X,X,X
ILSTJZO,X,X,O,O,O,X,O,X,O,X,X
ILSTJOZ,X,X,X,O,O,X,O,X,X,X,X
ILSTZJO,X,X,O,O,X,X,O,X,O,X,X
ILSTZOJ,X,X,X,O,X,X,O,X,O,X,X
ILSTOJZ,X,X,X,X,X,X,O,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,O,X,O,X,X
ILSJTZO,X,X,X,O,X,X,O,X,O,X,X
ILSJTOZ,X,X,X,O,X,X,O,X,X,X,X
ILSJZTO,X,X,X,O,X,X,O,X,O,X,X
ILSJZOT,X,X,X,O,X,X,O,X,O,X,X
ILSJOTZ,X,X,X,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,O,X,X,X,X,X,X,X
ILSZTJO,X,X,O,O,O,X,O,X,O,X,X
ILSZTOJ,X,X,X,O,O,X,O,O,O,X,X
ILSZJTO,X,X,X,O,O,X,O,X,O,X,X
ILSZJOT,X,X,X,O,X,X,O,X,O,X,X
ILSZOTJ,X,X,X,O,O,X,O,O,O,X,X
ILSZOJT,X,X,X,O,X,X,O,O,O,X,X
ILSOTJZ,X,X,X,X,X,X,O,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,O,O,O,X,X
ILSOJTZ,X,X,X,O,X,X,X,X,X,X,X
ILSOJZT,X,X,X,O,X,X,X,O,X,X,X
ILSOZTJ,X,X,X,O,X,X,O,O,O,X,X
ILSOZJT,X,X,X,O,X,X,O,O,O,X,X
ILZTJSO,O,X,O,O,X,X,O,X,O,O,O
ILZTJOS,O,X,O,O,X,X,O,X,O,O,O
ILZTSJO,O,X,O,O,X,X,O,X,O,O,O
ILZTSOJ,O,X,X,O,X,X,O,X,O,X,X
ILZTOJS,O,X,O,O,X,X,O,X,X,O,O
ILZTOSJ,O,X,X,O,X,X,O,X,X,X,O
ILZJTSO,O,X,O,O,X,X,O,X,O,O,X
ILZJTOS,O,X,O,O,X,X,O,X,O,O,X
ILZJSTO,X,X,X,O,X,X,O,X,O,X,X
ILZJSOT,X,X,X,O,X,X,O,X,O,X,X
ILZJOTS,X,X,X,O,X,X,O,X,X,O,X
ILZJOST,X,X,X,O,X,X,O,X,O,X,X
ILZSTJO,O,X,O,O,X,X,O,X,O,X,O
ILZSTOJ,O,X,X,O,X,X,O,O,O,X,O
ILZSJTO,X,X,X,O,X,X,O,X,O,X,X
ILZSJOT,X,X,X,O,X,X,O,X,O,X,O
ILZSOTJ,X,X,X,O,X,X,O,O,O,X,O
ILZSOJT,X,X,X,O,X,X,O,O,O,X,O
ILZOTJS,O,X,O,O,X,X,O,X,X,X,O
ILZOTSJ,O,X,X,O,X,X,O,O,X,X,O
ILZOJTS,O,X,X,O,X,X,O,X,X,X,O
ILZOJST,X,X,X,O,X,X,O,O,O,X,O
ILZOSTJ,O,X,X,O,X,X,O,O,O,X,O
ILZOSJT,X,X,X,O,X,X,O,O,O,X,O
ILOTJSZ,O,X,O,X,X,X,O,X,X,X,X
ILOTJZS,O,X,O,X,X,X,O,X,X,X,O
ILOTSJZ,O,X,O,X,X,X,O,X,X,X,X
ILOTSZJ,O,X,O,X,X,X,O,O,X,X,O
ILOTZJS,O,X,O,X,X,X,O,X,X,X,O
ILOTZSJ,O,X,O,X,X,X,O,O,X,X,O
ILOJTSZ,O,X,O,O,X,X,X,X,X,X,X
ILOJTZS,O,X,O,O,X,X,X,X,X,X,O
ILOJSTZ,X,X,X,O,X,X,X,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,O,X,X,X
ILOJZTS,X,X,O,O,X,X,X,X,X,X,O
ILOJZST,X,X,X,O,X,X,X,O,X,X,O
ILOSTJZ,O,X,O,X,X,X,O,X,X,X,X
ILOSTZJ,O,X,O,X,X,X,O,O,O,X,O
ILOSJTZ,X,X,X,O,X,X,X,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,O,X,X,X
ILOSZTJ,X,X,O,O,X,X,O,O,O,X,O
ILOSZJT,X,X,X,O,X,X,O,O,O,X,O
ILOZTJS,O,X,O,O,X,X,O,X,X,X,O
ILOZTSJ,O,X,O,O,X,X,O,O,X,X,O
ILOZJTS,O,X,O,O,X,X,O,X,X,X,O
ILOZJST,X,X,X,O,X,X,O,O,O,X,O
ILOZSTJ,O,X,O,O,X,X,O,O,O,X,O
ILOZSJT,X,X,X,O,X,X,O,O,O,X,O
IJTLSZO,X,X,X,O,X,X,O,X,X,O,X
IJTLSOZ,X,X,X,O,X,X,O,X,X,O,X
IJTLZSO,O,X,X,O,X,X,O,X,X,O,O
IJTLZOS,O,X,X,O,X,X,O,X,X,O,O
IJTLOSZ,O,X,X,O,X,X,O,X,X,O,X
IJTLOZS,O,X,X,O,X,X,O,X,X,O,X
IJTSLZO,X,X,X,O,X,X,X,X,O,O,X
IJTSLOZ,X,X,X,O,X,X,X,X,X,O,X
IJTSZLO,X,X,X,O,X,X,X,X,O,O,X
IJTSZOL,X,X,X,O,X,X,X,X,O,O,X
IJTSOLZ,X,X,X,O,X,X,X,X,X,O,X
IJTSOZL,X,X,X,O,X,X,X,X,X,O,X
IJTZLSO,O,X,X,O,X,X,O,X,O,O,O
IJTZLOS,O,X,X,O,X,X,O,X,O,O,O
IJTZSLO,O,X,X,O,X,X,O,X,O,O,O
IJTZSOL,O,X,X,O,X,X,O,X,O,O,O
IJTZOLS,O,X,X,O,X,X,O,X,O,O,O
IJTZOSL,O,X,X,O,X,X,O,X,O,O,O
IJTOLSZ,O,X,X,O,X,X,O,X,X,O,X
IJTOLZS,O,X,X,O,X,X,O,X,X,O,O
IJTOSLZ,O,X,X,O,X,X,X,X,X,O,X
IJTOSZL,O,X,X,O,X,X,X,X,X,O,X
IJTOZLS,O,X,X,O,X,X,O,X,X,O,O
IJTOZSL,O,X,X,O,X,X,O,X,X,O,O
IJLTSZO,X,X,X,O,X,X,O,X,X,O,X
IJLTSOZ,X,X,X,O,X,X,O,X,X,O,X
IJLTZSO,O,X,X,O,X,X,O,X,X,O,X
IJLTZOS,O,X,X,O,X,X,O,X,X,O,X
IJLTOSZ,O,X,X,O,X,X,O,X,X,O,X
IJLTOZS,O,X,X,O,X,X,O,X,X,O,X
IJLSTZO,X,X,X,O,X,X,O,X,O,X,X
IJLSTOZ,X,X,X,O,X,X,O,X,X,X,X
IJLSZTO,X,X,X,O,X,X,O,X,O,X,X
IJLSZOT,X,X,X,O,X,X,O,X,O,X,X
IJLSOTZ,X,X,X,O,X,X,X,X,X,X,X
IJLSOZT,X,X,X,O,X,X,X,X,X,X,X
IJLZTSO,O,X,X,O,X,X,O,X,O,O,X
IJLZTOS,O,X,X,O,X,X,O,X,X,O,X
IJLZSTO,O,X,X,O,X,X,O,X,O,X,X
IJLZSOT,X,X,X,O,X,X,O,X,O,X,X
IJLZOTS,O,X,X,O,X,X,O,X,X,O,X
IJLZOST,O,X,X,O,X,X,O,X,O,X,X
IJLOTSZ,O,X,X,O,X,X,X,X,X,O,X
IJLOTZS,O,X,X,O,X,X,X,X,X,O,X
IJLOSTZ,O,X,X,O,X,X,X,X,X,X,X
IJLOSZT,X,X,X,O,X,X,X,X,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X,X,O,X
IJLOZST,O,X,X,O,X,X,X,X,X,X,X
IJSTLZO,X,X,X,O,X,X,X,X,O,O,X
IJSTLOZ,X,X,X,O,X,X,X,X,X,O,X
IJSTZLO,X,X,X,O,X,X,X,X,O,O,X
IJSTZOL,X,X,X,O,X,X,X,X,O,O,X
IJSTOLZ,X,X,X,O,X,X,X,X,X,O,X
IJSTOZL,X,X,X,O,X,X,X,X,X,O,X
IJSLTZO,X,O,X,O,X,X,X,X,O,X,X
IJSLTOZ,X,O,X,O,X,X,X,X,X,X,X
IJSLZTO,X,O,X,O,X,X,X,X,O,X,X
IJSLZOT,X,O,X,O,X,X,X,X,O,X,X
IJSLOTZ,X,O,X,O,X,X,X,X,X,X,X
IJSLOZT,X,O,X,O,X,X,X,X,X,X,X
IJSZTLO,X,O,X,O,X,X,X,X,O,O,X
IJSZTOL,X,O,X,O,X,X,X,X,O,O,X
IJSZLTO,X,O,X,O,X,X,X,X,O,X,X
IJSZLOT,X,O,X,O,X,X,X,X,O,X,X
IJSZOTL,X,O,X,O,X,X,X,X,O,O,X
IJSZOLT,X,O,X,O,X,X,X,X,O,X,X
IJSOTLZ,X,O,X,O,X,X,X,X,X,O,X
IJSOTZL,X,O,X,O,X,X,X,X,X,O,X
IJSOLTZ,X,O,X,O,X,X,X,X,X,X,X
IJSOLZT,X,O,X,O,X,X,X,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,X,X,O,X
IJSOZLT,X,O,X,O,X,X,X,X,X,X,X
IJZTLSO,O,X,X,O,X,X,O,X,O,O,O
IJZTLOS,O,X,X,O,X,X,O,X,O,O,O
IJZTSLO,O,O,X,O,X,X,O,X,O,O,O
IJZTSOL,O,O,X,O,X,X,O,X,O,O,O
IJZTOLS,O,O,X,O,X,X,O,X,O,O,O
IJZTOSL,O,O,X,O,X,X,O,X,O,O,O
IJZLTSO,O,X,X,O,X,X,O,X,O,O,X
IJZLTOS,O,X,X,O,X,X,O,X,O,O,X
IJZLSTO,O,X,X,O,X,X,O,X,O,X,X
IJZLSOT,X,X,X,O,X,X,O,X,O,X,X
IJZLOTS,O,X,X,O,X,X,O,X,X,O,X
IJZLOST,O,X,X,O,X,X,O,X,O,X,X
IJZSTLO,O,O,X,O,X,X,O,X,O,O,O
IJZSTOL,O,O,X,O,X,X,O,X,O,O,O
IJZSLTO,O,O,X,O,X,X,O,X,O,X,X
IJZSLOT,X,O,X,O,X,X,O,X,O,X,O
IJZSOTL,X,O,X,O,X,X,X,X,O,O,O
IJZSOLT,X,O,X,O,X,X,X,X,O,X,O
IJZOTLS,O,O,X,O,X,X,O,X,O,O,O
IJZOTSL,O,O,X,O,X,X,O,X,O,O,O
IJZOLTS,O,O,X,O,X,X,O,X,X,O,O
IJZOLST,O,O,X,O,X,X,O,X,O,X,O
IJZOSTL,O,O,X,O,X,X,X,X,O,O,O
IJZOSLT,O,O,X,O,X,X,X,X,O,X,O
IJOTLSZ,O,X,X,O,X,X,X,X,X,O,X
IJOTLZS,O,X,X,O,X,X,X,X,X,O,O
IJOTSLZ,O,O,X,O,X,X,X,X,X,O,X
IJOTSZL,O,O,X,O,X,X,X,X,X,O,X
IJOTZLS,O,O,X,O,X,X,X,X,X,O,O
IJOTZSL,O,O,X,O,X,X,X,X,X,O,O
IJOLTSZ,O,X,X,O,X,X,X,X,X,O,X
IJOLTZS,O,X,X,O,X,X,X,X,X,O,O
IJOLSTZ,O,O,X,O,X,X,X,X,X,X,X
IJOLSZT,X,O,X,O,X,X,X,X,X,X,X
IJOLZTS,O,O,X,O,X,X,X,X,X,O,O
IJOLZST,O,O,X,O,X,X,X,X,X,X,O
IJOSTLZ,O,O,X,O,X,X,X,X,X,O,X
IJOSTZL,O,O,X,O,X,X,X,X,X,O,X
IJOSLTZ,O,O,X,O,X,X,X,X,X,X,X
IJOSLZT,X,O,X,O,X,X,X,X,X,X,X
IJOSZTL,O,O,X,O,X,X,X,X,X,O,X
IJOSZLT,O,O,X,O,X,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,O,O
IJOZTSL,O,O,X,O,X,X,X,X,X,O,O
IJOZLTS,O,O,X,O,X,X,X,X,X,O,O
IJOZLST,O,O,X,O,X,X,X,X,X,X,O
IJOZSTL,O,O,X,O,X,X,X,X,X,O,O
IJOZSLT,O,O,X,O,X,X,X,X,X,X,O
ISTLJZO,X,X,X,X,O,X,O,X,O,O,X
ISTLJOZ,X,X,X,X,O,O,O,X,X,O,X
ISTLZJO,X,X,X,X,X,X,O,X,O,O,O
ISTLZOJ,X,X,X,X,X,X,O,X,O,X,X
ISTLOJZ,X,X,X,X,X,O,O,X,X,X,X
ISTLOZJ,X,X,X,X,X,O,O,X,O,X,X
ISTJLZO,X,X,X,X,O,X,X,X,O,O,X
ISTJLOZ,X,X,X,X,O,O,X,X,X,O,X
ISTJZLO,X,X,X,X,O,X,X,X,O,O,X
ISTJZOL,X,X,X,X,X,X,X,X,O,O,X
ISTJOLZ,X,X,X,X,O,O,X,X,X,O,X
ISTJOZL,X,X,X,X,X,O,X,X,X,O,X
ISTZLJO,X,X,X,X,X,X,O,X,O,O,O
ISTZLOJ,X,X,X,X,X,X,O,X,O,X,X
ISTZJLO,X,X,X,X,X,X,O,X,O,O,O
ISTZJOL,X,X,X,X,X,X,O,X,O,O,O
ISTZOLJ,X,X,X,X,X,X,O,X,O,X,O
ISTZOJL,X,X,X,X,X,X,O,X,O,X,O
ISTOLJZ,X,X,X,X,X,O,O,X,X,X,X
ISTOLZJ,X,X,X,X,X,O,O,X,O,X,O
ISTOJLZ,X,X,X,X,X,O,X,X,X,X,X
ISTOJZL,X,X,X,X,X,O,X,X,X,X,X
ISTOZLJ,X,X,X,X,X,O,O,X,O,X,O
ISTOZJL,X,X,X,X,X,O,O,X,O,X,O
ISLTJZO,X,O,X,O,O,X,O,X,O,X,X
ISLTJOZ,X,O,X,O,O,X,O,X,X,X,X
ISLTZJO,X,O,X,O,X,X,O,X,O,X,X
ISLTZOJ,X,O,X,O,X,X,O,X,O,X,X
ISLTOJZ,X,O,X,X,X,X,O,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,O,X,O,X,X
ISLJTZO,X,O,X,O,X,X,O,X,O,X,X
ISLJTOZ,X,O,X,O,X,X,O,X,X,X,X
ISLJZTO,X,O,X,O,X,X,O,X,O,X,X
ISLJZOT,X,O,X,O,X,X,O,X,O,X,X
ISLJOTZ,X,O,X,O,X,X,X,X,X,X,X
ISLJOZT,X,O,X,O,X,X,X,X,X,X,X
ISLZTJO,X,O,X,O,O,X,O,X,O,X,X
ISLZTOJ,X,O,X,O,O,X,O,X,O,X,X
ISLZJTO,X,O,X,O,O,X,O,X,O,X,X
ISLZJOT,X,O,X,O,X,X,O,X,O,X,X
ISLZOTJ,X,X,X,O,O,X,O,X,O,X,X
ISLZOJT,X,X,X,O,X,X,O,X,O,X,X
ISLOTJZ,X,O,X,X,X,X,O,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,O,X,O,X,X
ISLOJTZ,X,O,X,O,X,X,X,X,X,X,X
ISLOJZT,X,O,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,O,X,X,O,X,O,X,X
ISLOZJT,X,O,X,O,X,X,O,X,O,X,X
ISJTLZO,X,X,X,O,X,X,X,X,O,O,X
ISJTLOZ,X,X,X,O,X,O,X,X,X,O,X
ISJTZLO,X,X,X,O,X,X,X,X,O,O,X
ISJTZOL,X,X,X,O,X,X,X,X,O,O,X
ISJTOLZ,X,X,X,O,X,O,X,X,X,O,X
ISJTOZL,X,X,X,O,X,O,X,X,X,O,X
ISJLTZO,X,O,X,O,X,X,X,X,O,X,X
ISJLTOZ,X,O,X,O,X,X,X,X,X,X,X
ISJLZTO,X,O,X,O,X,X,X,X,O,X,X
ISJLZOT,X,O,X,O,X,X,X,X,O,X,X
ISJLOTZ,X,O,X,O,X,X,X,X,X,X,X
ISJLOZT,X,O,X,O,X,X,X,X,X,X,X
ISJZTLO,X,O,X,O,X,X,X,X,O,O,X
ISJZTOL,X,O,X,O,X,X,X,X,O,O,X
ISJZLTO,X,O,X,O,X,X,X,X,O,X,X
ISJZLOT,X,O,X,O,X,X,X,X,O,X,X
ISJZOTL,X,O,X,O,X,X,X,X,O,O,X
ISJZOLT,X,O,X,O,X,X,X,X,O,X,X
ISJOTLZ,X,O,X,O,X,O,X,X,X,O,X
ISJOTZL,X,O,X,O,X,O,X,X,X,O,X
ISJOLTZ,X,O,X,O,X,O,X,X,X,X,X
ISJOLZT,X,O,X,O,X,X,X,X,X,X,X
ISJOZTL,X,O,X,O,X,O,X,X,X,O,X
ISJOZLT,X,O,X,O,X,X,X,X,X,X,X
ISZTLJO,X,X,X,O,O,X,O,X,O,O,O
ISZTLOJ,X,X,X,X,O,X,O,X,O,X,O
ISZTJLO,X,X,X,O,O,X,O,X,O,O,O
ISZTJOL,X,X,X,O,O,X,O,X,O,O,O
ISZTOLJ,X,X,X,X,O,X,O,X,O,X,O
ISZTOJL,X,X,X,O,O,X,O,X,O,X,O
ISZLTJO,X,X,X,O,O,X,O,X,O,X,O
ISZLTOJ,X,X,X,X,O,X,O,X,O,X,O
ISZLJTO,X,X,X,O,O,X,O,X,O,X,X
ISZLJOT,X,X,X,O,X,X,O,X,O,X,O
ISZLOTJ,X,X,X,X,O,X,O,X,O,X,O
ISZLOJT,X,X,X,X,X,X,O,X,O,X,O
ISZJTLO,X,X,X,O,X,X,O,X,O,O,O
ISZJTOL,X,X,X,O,X,X,O,X,O,O,O
ISZJLTO,X,X,X,O,O,X,O,X,O,X,X
ISZJLOT,X,X,X,O,X,X,O,X,O,X,O
ISZJOTL,X,X,X,O,X,X,X,X,O,O,O
ISZJOLT,X,X,X,O,X,X,X,X,O,X,O
ISZOTLJ,X,X,X,X,X,X,X,X,O,X,O
ISZOTJL,X,X,X,O,X,X,X,X,O,X,O
ISZOLTJ,X,X,X,X,O,X,X,X,O,X,O
ISZOLJT,X,X,X,X,X,X,X,X,O,X,O
ISZOJTL,X,X,X,O,X,X,X,X,O,X,O
ISZOJLT,X,X,X,O,X,X,X,X,O,X,O
ISOTLJZ,X,O,X,X,X,O,X,X,X,X,X
ISOTLZJ,X,O,X,X,X,O,X,X,O,X,O
ISOTJLZ,X,O,X,X,X,O,X,X,X,X,X
ISOTJZL,X,O,X,X,X,O,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,O,X,X,O,X,O
ISOTZJL,X,X,X,X,X,O,X,X,O,X,O
ISOLTJZ,X,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,O,X,X,O,X,O
ISOLJTZ,X,O,X,X,X,O,X,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,X,X,O,X,O
ISOLZJT,X,O,X,X,X,X,X,X,O,X,O
ISOJTLZ,X,O,X,X,X,O,X,X,X,X,X
ISOJTZL,X,O,X,X,X,O,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,O,X,X,X,X,X
ISOJLZT,X,O,X,X,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,X,O,X,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,O,X,X,O,X,O
ISOZTJL,X,X,X,X,X,O,X,X,O,X,O
ISOZLTJ,X,O,X,X,X,X,X,X,O,X,O
ISOZLJT,X,O,X,X,X,X,X,X,O,X,O
ISOZJTL,X,O,X,X,X,O,X,X,O,X,O
ISOZJLT,X,O,X,X,X,X,X,X,O,X,O
IZTLJSO,O,X,X,O,X,X,O,X,O,O,O
IZTLJOS,O,X,X,O,X,X,O,X,O,O,O
IZTLSJO,O,X,X,O,O,X,O,X,O,O,O
IZTLSOJ,O,X,X,X,O,X,O,X,O,X,X
IZTLOJS,O,X,X,X,X,X,O,X,X,O,O
IZTLOSJ,O,X,X,X,X,X,O,X,X,X,O
IZTJLSO,O,X,X,O,O,X,O,X,O,O,O
IZTJLOS,O,X,X,O,X,X,O,X,O,O,O
IZTJSLO,O,X,X,O,O,X,O,X,O,O,O
IZTJSOL,O,X,X,O,O,X,O,X,O,O,O
IZTJOLS,O,X,X,O,X,X,O,X,O,O,O
IZTJOSL,O,X,X,O,O,X,O,X,O,O,O
IZTSLJO,X,X,X,O,O,X,O,X,O,O,O
IZTSLOJ,X,X,X,X,O,X,O,X,O,X,O
IZTSJLO,X,X,X,O,O,X,O,X,O,O,O
IZTSJOL,X,X,X,O,O,X,O,X,O,O,O
IZTSOLJ,X,X,X,X,O,X,O,X,O,X,O
IZTSOJL,X,X,X,O,O,X,O,X,O,X,O
IZTOLJS,X,X,X,X,X,X,O,X,X,O,O
IZTOLSJ,X,X,X,X,O,X,O,X,X,X,O
IZTOJLS,X,X,X,O,O,X,O,X,O,O,O
IZTOJSL,X,X,X,O,O,X,O,X,O,O,O
IZTOSLJ,X,X,X,X,O,X,O,X,O,X,O
IZTOSJL,X,X,X,O,O,X,O,X,O,X,O
IZLTJSO,O,X,X,O,X,X,O,X,O,O,O
IZLTJOS,O,X,X,O,X,X,O,X,O,O,O
IZLTSJO,O,X,X,O,X,X,O,X,O,O,O
IZLTSOJ,O,X,X,O,X,X,O,X,O,X,X
IZLTOJS,O,X,X,O,X,X,O,X,X,O,O
IZLTOSJ,O,X,X,O,X,X,O,X,X,X,O
IZLJTSO,O,X,X,O,X,X,O,X,O,O,X
IZLJTOS,O,X,X,O,X,X,O,X,O,O,X
IZLJSTO,O,X,X,O,X,X,O,X,O,X,X
IZLJSOT,X,X,X,O,X,X,O,X,O,X,X
IZLJOTS,O,X,X,O,X,X,O,X,X,O,X
IZLJOST,X,X,X,O,X,X,O,X,O,X,X
IZLSTJO,O,X,X,O,O,X,O,X,O,X,O
IZLSTOJ,O,X,X,O,O,X,O,O,O,X,O
IZLSJTO,X,X,X,O,O,X,O,X,O,X,X
IZLSJOT,X,X,X,O,X,X,O,X,O,X,O
IZLSOTJ,X,X,X,O,O,X,O,O,O,X,O
IZLSOJT,X,X,X,O,X,X,O,O,O,X,O
IZLOTJS,O,X,X,O,X,X,O,X,X,X,O
IZLOTSJ,O,X,X,O,X,X,O,O,X,X,O
IZLOJTS,O,X,X,O,X,X,O,X,X,X,O
IZLOJST,X,X,X,O,X,X,O,O,O,X,O
IZLOSTJ,O,X,X,O,X,X,O,O,O,X,O
IZLOSJT,X,X,X,O,X,X,O,O,O,X,O
IZJTLSO,O,X,X,O,X,X,O,X,O,O,O
IZJTLOS,O,X,X,O,X,X,O,X,O,O,O
IZJTSLO,O,X,X,O,X,X,O,X,O,O,O
IZJTSOL,O,X,X,O,X,X,O,X,O,O,O
IZJTOLS,O,X,X,O,X,X,O,X,O,O,O
IZJTOSL,O,X,X,O,X,X,O,X,O,O,O
IZJLTSO,O,X,X,O,X,X,O,X,O,O,X
IZJLTOS,O,X,X,O,X,X,O,X,O,O,X
IZJLSTO,O,X,X,O,X,X,O,X,O,X,X
IZJLSOT,X,X,X,O,X,X,O,X,O,X,X
IZJLOTS,O,X,X,O,X,X,O,X,X,O,X
IZJLOST,O,X,X,O,X,X,O,X,O,X,X
IZJSTLO,O,X,X,O,X,X,O,X,O,O,O
IZJSTOL,O,X,X,O,X,X,O,X,O,O,O
IZJSLTO,O,X,X,O,O,X,O,X,O,X,X
IZJSLOT,X,X,X,O,X,X,O,X,O,X,O
IZJSOTL,X,X,X,O,X,X,X,X,O,O,O
IZJSOLT,X,X,X,O,X,X,X,X,O,X,O
IZJOTLS,O,X,X,O,X,X,O,X,O,O,O
IZJOTSL,O,X,X,O,X,X,O,X,O,O,O
IZJOLTS,O,X,X,O,X,X,O,X,X,O,O
IZJOLST,O,X,X,O,X,X,O,X,O,X,O
IZJOSTL,O,X,X,O,X,X,X,X,O,O,O
IZJOSLT,O,X,X,O,X,X,X,X,O,X,O
IZSTLJO,X,X,X,O,O,X,O,X,O,O,O
IZSTLOJ,X,X,X,X,O,X,O,X,O,X,O
IZSTJLO,X,X,X,O,O,X,O,X,O,O,O
IZSTJOL,X,X,X,O,O,X,O,X,O,O,O
IZSTOLJ,X,X,X,X,O,X,O,X,O,X,O
IZSTOJL,X,X,X,O,O,X,O,X,O,X,O
IZSLTJO,O,X,X,O,O,X,O,X,O,X,O
IZSLTOJ,O,X,X,X,O,X,O,X,O,X,O
IZSLJTO,X,X,X,O,O,X,O,X,O,X,X
IZSLJOT,X,X,X,O,X,X,O,X,O,X,O
IZSLOTJ,X,X,X,X,O,X,O,X,O,X,O
IZSLOJT,X,X,X,X,X,X,O,X,O,X,O
IZSJTLO,O,X,X,O,X,X,O,X,O,O,O
IZSJTOL,O,X,X,O,X,X,O,X,O,O,O
IZSJLTO,O,X,X,O,O,X,O,X,O,X,X
IZSJLOT,X,X,X,O,X,X,O,X,O,X,O
IZSJOTL,X,X,X,O,X,X,X,X,O,O,O
IZSJOLT,X,X,X,O,X,X,X,X,O,X,O
IZSOTLJ,X,X,X,X,X,X,X,X,O,X,O
IZSOTJL,X,X,X,O,X,X,X,X,O,X,O
IZSOLTJ,X,X,X,X,O,X,X,X,O,X,O
IZSOLJT,X,X,X,X,X,X,X,X,O,X,O
IZSOJTL,X,X,X,O,X,X,X,X,O,X,O
IZSOJLT,X,X,X,O,X,X,X,X,O,X,O
IZOTLJS,O,X,X,X,X,X,O,X,X,O,O
IZOTLSJ,O,X,X,X,X,X,O,O,X,X,O
IZOTJLS,O,X,X,O,X,X,O,X,O,O,O
IZOTJSL,O,X,X,O,X,X,O,X,O,O,O
IZOTSLJ,X,X,X,X,X,X,O,X,O,X,O
IZOTSJL,X,X,X,O,X,X,O,X,O,X,O
IZOLTJS,O,X,X,X,X,X,O,X,X,X,O
IZOLTSJ,O,X,X,X,X,X,O,O,X,X,O
IZOLJTS,O,X,X,X,X,X,O,X,X,X,O
IZOLJST,O,X,X,X,X,X,O,O,O,X,O
IZOLSTJ,O,X,X,X,X,X,O,O,O,X,O
IZOLSJT,X,X,X,X,X,X,O,O,O,X,O
IZOJTLS,O,X,X,O,X,X,O,X,O,O,O
IZOJTSL,O,X,X,O,X,X,O,X,O,O,O
IZOJLTS,O,X,X,O,X,X,O,X,X,O,O
IZOJLST,O,X,X,O,X,X,O,O,O,X,O
IZOJSTL,O,X,X,O,X,X,X,X,O,O,O
IZOJSLT,O,X,X,O,X,X,X,X,O,X,O
IZOSTLJ,X,X,X,X,X,X,X,X,O,X,O
IZOSTJL,X,X,X,O,X,X,X,X,O,X,O
IZOSLTJ,O,X,X,X,O,X,X,O,O,X,O
