sequence,v115@EhC8HeB8HeE8EeB8Jex/IvhFlhBTkB/qB6sBmrBUrB,v115@EhC8HeB8HeE8EeB8Jex/IvhFlhBTkBmlBXnB0qBSxB,v115@EhC8HeB8HeE8EeB8Jei/IvhF3gB1pBxmBUnBzqBWxB,v115@EhC8HeB8HeE8EeB8JeT/IvhFlgBUiBypBXmBGsBRwB,v115@EhC8HeB8HeE8EeB8JeOEJvhF8kBRhB3lBCnBVwBTsB,v115@EhC8HeB8HeE8EeB8Jex/IvhFylBTkBGnB3mB0qBVxB,v115@EhC8HeB8HeE8EeB8Jei/IvhFzgBUiB3kBWsBlqBxwB,v115@EhC8HeB8HeE8EeB8Jex/IvhFTkB/qBFmB8rB+sBirB,v115@EhC8HeB8HeE8EeB8JeOEJvhF8kBzgBqmB/nBlqBxwB,v115@EhC8HeB8HeE8EeB8JeKEJvhFzfBWmB/nB0mBlqBxwB,v115@EhC8HeB8HeE8EeB8Jem/IvhFChB/nBTkB0mBlqBxwB
ILJZSTO,X,X,X,O,X,X,O,X,O,X,X
ILJZSOT,X,X,X,O,X,X,O,X,O,X,X
ILJZOTS,X,X,X,O,X,X,X,X,X,X,X
ILJZOST,X,X,X,O,X,X,X,X,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,X,O,X
ILJOTZS,O,X,X,O,X,X,X,X,X,O,X
ILJOSTZ,O,X,X,O,X,X,X,X,X,O,X
ILJOSZT,O,X,X,O,X,X,X,X,X,X,X
ILJOZTS,O,X,X,O,X,X,X,X,X,X,X
ILJOZST,X,X,X,O,X,X,X,X,X,X,X
ILSTJZO,O,X,X,O,X,X,O,X,O,O,O
ILSTJOZ,O,X,X,O,X,X,O,X,O,O,O
ILSTZJO,O,O,X,O,X,X,O,X,O,O,O
ILSTZOJ,O,O,X,O,X,X,O,X,O,O,O
ILSTOJZ,O,O,X,O,X,X,O,X,O,O,O
ILSTOZJ,O,O,X,O,X,X,O,X,O,O,O
ILSJTZO,O,X,X,O,X,X,O,X,O,O,X
ILSJTOZ,O,X,X,O,X,X,O,X,O,O,X
ILSJZTO,O,X,X,O,X,X,O,X,O,X,X
ILSJZOT,X,X,X,O,X,X,O,X,O,X,X
ILSJOTZ,O,X,X,O,X,X,O,X,X,O,X
ILSJOZT,O,X,X,O,X,X,O,X,O,X,X
ILSZTJO,O,O,X,O,X,X,O,X,O,O,O
ILSZTOJ,O,O,X,O,X,X,O,X,O,O,O
ILSZJTO,O,O,X,O,X,X,O,X,O,X,X
ILSZJOT,X,O,X,O,X,X,O,X,O,X,O
ILSZOTJ,X,O,X,O,X,X,X,X,O,O,O
ILSZOJT,X,O,X,O,X,X,X,X,O,X,O
ILSOTJZ,O,O,X,O,X,X,O,X,O,O,O
ILSOTZJ,O,O,X,O,X,X,O,X,O,O,O
ILSOJTZ,O,O,X,O,X,X,O,X,X,O,O
ILSOJZT,O,O,X,O,X,X,O,X,O,X,O
ILSOZTJ,O,O,X,O,X,X,X,X,O,O,O
ILSOZJT,O,O,X,O,X,X,X,X,O,X,O
ILZTJSO,X,X,X,O,X,X,X,X,O,O,X
ILZTJOS,X,X,X,O,X,X,X,X,X,O,X
ILZTSJO,X,X,X,O,X,X,X,X,O,O,X
ILZTSOJ,X,X,X,O,X,X,X,X,O,O,X
ILZTOJS,X,X,X,O,X,X,X,X,X,O,X
ILZTOSJ,X,X,X,O,X,X,X,X,X,O,X
ILZJTSO,X,O,X,O,X,X,X,X,O,X,X
ILZJTOS,X,O,X,O,X,X,X,X,X,X,X
ILZJSTO,X,O,X,O,X,X,X,X,O,X,X
ILZJSOT,X,O,X,O,X,X,X,X,O,X,X
ILZJOTS,X,O,X,O,X,X,X,X,X,X,X
ILZJOST,X,O,X,O,X,X,X,X,X,X,X
ILZSTJO,X,O,X,O,X,X,X,X,O,O,X
ILZSTOJ,X,O,X,O,X,X,X,X,O,O,X
ILZSJTO,X,O,X,O,X,X,X,X,O,X,X
ILZSJOT,X,O,X,O,X,X,X,X,O,X,X
ILZSOTJ,X,O,X,O,X,X,X,X,O,O,X
ILZSOJT,X,O,X,O,X,X,X,X,O,X,X
ILZOTJS,X,O,X,O,X,X,X,X,X,O,X
ILZOTSJ,X,O,X,O,X,X,X,X,X,O,X
ILZOJTS,X,O,X,O,X,X,X,X,X,X,X
ILZOJST,X,O,X,O,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,O,X,X,X,X,X,O,X
ILZOSJT,X,O,X,O,X,X,X,X,X,X,X
ILOTJSZ,O,X,X,O,X,X,X,X,X,O,O
ILOTJZS,O,X,X,O,X,X,X,X,X,O,X
ILOTSJZ,O,O,X,O,X,X,X,X,X,O,O
ILOTSZJ,O,O,X,O,X,X,X,X,X,O,O
ILOTZJS,O,O,X,O,X,X,X,X,X,O,X
ILOTZSJ,O,O,X,O,X,X,X,X,X,O,X
ILOJTSZ,O,X,X,O,X,X,X,X,X,O,O
ILOJTZS,O,X,X,O,X,X,X,X,X,O,X
ILOJSTZ,O,O,X,O,X,X,X,X,X,O,O
ILOJSZT,O,O,X,O,X,X,X,X,X,X,O
ILOJZTS,O,O,X,O,X,X,X,X,X,X,X
ILOJZST,X,O,X,O,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X,X,O,O
ILOSTZJ,O,O,X,O,X,X,X,X,X,O,O
ILOSJTZ,O,O,X,O,X,X,X,X,X,O,O
ILOSJZT,O,O,X,O,X,X,X,X,X,X,O
ILOSZTJ,O,O,X,O,X,X,X,X,X,O,O
ILOSZJT,O,O,X,O,X,X,X,X,X,X,O
ILOZTJS,O,O,X,O,X,X,X,X,X,O,X
ILOZTSJ,O,O,X,O,X,X,X,X,X,O,X
ILOZJTS,O,O,X,O,X,X,X,X,X,X,X
ILOZJST,X,O,X,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,X,X,X,X,O,X
ILOZSJT,O,O,X,O,X,X,X,X,X,X,X
IJTLSZO,X,X,O,O,X,X,O,X,X,O,O
IJTLSOZ,X,X,O,O,X,X,O,X,X,O,O
IJTLZSO,X,X,O,O,O,X,O,X,X,O,X
IJTLZOS,X,X,X,O,O,X,O,X,X,O,X
IJTLOSZ,X,X,O,O,X,X,O,X,X,O,X
IJTLOZS,X,X,O,O,X,X,O,X,X,O,X
IJTSLZO,O,X,O,O,X,X,O,X,O,O,O
IJTSLOZ,O,X,O,O,X,X,O,X,O,O,O
IJTSZLO,O,X,O,O,X,X,O,X,O,O,O
IJTSZOL,O,X,X,O,X,X,O,X,O,X,X
IJTSOLZ,O,X,O,O,X,X,O,X,X,O,O
IJTSOZL,O,X,X,O,X,X,O,X,X,X,O
IJTZLSO,X,X,O,O,O,X,O,X,O,O,X
IJTZLOS,X,X,X,O,O,X,O,X,X,O,X
IJTZSLO,X,X,O,O,X,X,O,X,O,O,O
IJTZSOL,X,X,X,O,X,X,O,X,O,X,X
IJTZOLS,X,X,X,X,X,X,O,X,X,X,X
IJTZOSL,X,X,X,X,X,X,O,X,O,X,X
IJTOLSZ,O,X,O,X,X,X,O,X,X,O,O
IJTOLZS,O,X,O,X,X,X,O,X,X,O,X
IJTOSLZ,O,X,O,X,X,X,O,X,X,O,O
IJTOSZL,O,X,O,X,X,X,O,X,X,X,O
IJTOZLS,O,X,O,X,X,X,O,X,X,X,X
IJTOZSL,O,X,O,X,X,X,O,X,X,X,O
IJLTSZO,X,X,O,O,X,X,O,X,X,O,X
IJLTSOZ,X,X,O,O,X,X,O,X,X,O,X
IJLTZSO,X,X,O,O,X,X,O,X,X,O,X
IJLTZOS,X,X,X,O,X,X,O,X,X,O,X
IJLTOSZ,X,X,O,O,X,X,O,X,X,O,X
IJLTOZS,X,X,X,O,X,X,O,X,X,O,X
IJLSTZO,X,X,O,O,X,X,O,X,O,O,X
IJLSTOZ,X,X,O,O,X,X,O,X,X,O,X
IJLSZTO,X,X,X,O,X,X,O,X,O,X,X
IJLSZOT,X,X,X,O,X,X,O,X,O,X,X
IJLSOTZ,X,X,X,O,X,X,O,X,X,O,X
IJLSOZT,X,X,X,O,X,X,O,X,O,X,X
IJLZTSO,X,X,X,O,X,X,O,X,O,X,X
IJLZTOS,X,X,X,O,X,X,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X,O,X,O,X,X
IJLZSOT,X,X,X,O,X,X,O,X,O,X,X
IJLZOTS,X,X,X,O,X,X,X,X,X,X,X
IJLZOST,X,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,O,X,X,X,X,X,O,X
IJLOTZS,X,X,X,O,X,X,X,X,X,O,X
IJLOSTZ,X,X,X,O,X,X,X,X,X,O,X
IJLOSZT,X,X,X,O,X,X,X,X,X,X,X
IJLOZTS,X,X,X,O,X,X,X,X,X,X,X
IJLOZST,X,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,X,O,O,X,X,O,X,O,O,O
IJSTLOZ,O,X,O,O,X,X,O,X,O,O,O
IJSTZLO,O,X,O,O,X,X,O,X,O,O,O
IJSTZOL,O,X,X,O,X,X,O,X,O,X,X
IJSTOLZ,O,X,O,O,X,X,O,X,X,O,O
IJSTOZL,O,X,X,O,X,X,O,X,X,X,O
IJSLTZO,O,X,O,O,X,X,O,X,O,O,X
IJSLTOZ,O,X,O,O,X,X,O,X,O,O,X
IJSLZTO,X,X,X,O,X,X,O,X,O,X,X
IJSLZOT,X,X,X,O,X,X,O,X,O,X,X
IJSLOTZ,X,X,X,O,X,X,O,X,X,O,X
IJSLOZT,X,X,X,O,X,X,O,X,O,X,X
IJSZTLO,O,X,O,O,X,X,O,X,O,X,O
IJSZTOL,O,X,X,O,X,X,O,O,O,X,O
IJSZLTO,X,X,X,O,X,X,O,X,O,X,X
IJSZLOT,X,X,X,O,X,X,O,X,O,X,O
IJSZOTL,X,X,X,O,X,X,O,O,O,X,O
IJSZOLT,X,X,X,O,X,X,O,O,O,X,O
IJSOTLZ,O,X,O,O,X,X,O,X,X,X,O
IJSOTZL,O,X,X,O,X,X,O,O,X,X,O
IJSOLTZ,O,X,X,O,X,X,O,X,X,X,O
IJSOLZT,X,X,X,O,X,X,O,O,O,X,O
IJSOZTL,O,X,X,O,X,X,O,O,O,X,O
IJSOZLT,X,X,X,O,X,X,O,O,O,X,O
IJZTLSO,X,X,O,O,O,X,O,X,O,X,X
IJZTLOS,X,X,X,O,O,X,O,X,X,X,X
IJZTSLO,X,X,O,O,X,X,O,X,O,X,X
IJZTSOL,X,X,X,O,X,X,O,X,O,X,X
IJZTOLS,X,X,X,X,X,X,O,X,X,X,X
IJZTOSL,X,X,X,X,X,X,O,X,O,X,X
IJZLTSO,X,X,X,O,X,X,O,X,O,X,X
IJZLTOS,X,X,X,O,X,X,O,X,X,X,X
IJZLSTO,X,X,X,O,X,X,O,X,O,X,X
IJZLSOT,X,X,X,O,X,X,O,X,O,X,X
IJZLOTS,X,X,X,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,O,X,X,X,X,X,X,X
IJZSTLO,X,X,O,O,O,X,O,X,O,X,X
IJZSTOL,X,X,X,O,O,X,O,O,O,X,X
IJZSLTO,X,X,X,O,O,X,O,X,O,X,X
IJZSLOT,X,X,X,O,X,X,O,X,O,X,X
IJZSOTL,X,X,X,O,O,X,O,O,O,X,X
IJZSOLT,X,X,X,O,X,X,O,O,O,X,X
IJZOTLS,X,X,X,X,X,X,O,X,X,X,X
IJZOTSL,X,X,X,X,X,X,O,O,O,X,X
IJZOLTS,X,X,X,O,X,X,X,X,X,X,X
IJZOLST,X,X,X,O,X,X,X,O,X,X,X
IJZOSTL,X,X,X,O,X,X,O,O,O,X,X
IJZOSLT,X,X,X,O,X,X,O,O,O,X,X
IJOTLSZ,O,X,O,X,X,X,O,X,X,X,O
IJOTLZS,O,X,O,X,X,X,O,X,X,X,X
IJOTSLZ,O,X,O,X,X,X,O,X,X,X,O
IJOTSZL,O,X,O,X,X,X,O,O,X,X,O
IJOTZLS,O,X,O,X,X,X,O,X,X,X,X
IJOTZSL,O,X,O,X,X,X,O,O,X,X,O
IJOLTSZ,O,X,O,O,X,X,X,X,X,X,O
IJOLTZS,O,X,O,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,X,X,X,X,X,X,O
IJOLSZT,X,X,X,O,X,X,X,O,X,X,O
IJOLZTS,X,X,X,O,X,X,X,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,O,X,X,X
IJOSTLZ,O,X,O,O,X,X,O,X,X,X,O
IJOSTZL,O,X,O,O,X,X,O,O,X,X,O
IJOSLTZ,O,X,O,O,X,X,O,X,X,X,O
IJOSLZT,X,X,X,O,X,X,O,O,O,X,O
IJOSZTL,O,X,O,O,X,X,O,O,O,X,O
IJOSZLT,X,X,X,O,X,X,O,O,O,X,O
IJOZTLS,O,X,O,X,X,X,O,X,X,X,X
IJOZTSL,O,X,O,X,X,X,O,O,O,X,O
IJOZLTS,X,X,X,O,X,X,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,O,X,X,X
IJOZSTL,X,X,O,O,X,X,O,O,O,X,O
IJOZSLT,X,X,X,O,X,X,O,O,O,X,O
ISTLJZO,O,X,X,O,O,X,O,X,O,O,O
ISTLJOZ,O,X,X,O,X,X,O,X,O,O,O
ISTLZJO,O,X,X,O,O,X,O,X,O,O,O
ISTLZOJ,O,X,X,O,O,X,O,X,O,O,O
ISTLOJZ,O,X,X,O,X,X,O,X,O,O,O
ISTLOZJ,O,X,X,O,O,X,O,X,O,O,O
ISTJLZO,O,X,X,O,X,X,O,X,O,O,O
ISTJLOZ,O,X,X,O,X,X,O,X,O,O,O
ISTJZLO,O,X,X,O,O,X,O,X,O,O,O
ISTJZOL,O,X,X,X,O,X,O,X,O,X,X
ISTJOLZ,O,X,X,X,X,X,O,X,X,O,O
ISTJOZL,O,X,X,X,X,X,O,X,X,X,O
ISTZLJO,X,X,X,O,O,X,O,X,O,O,O
ISTZLOJ,X,X,X,O,O,X,O,X,O,O,O
ISTZJLO,X,X,X,O,O,X,O,X,O,O,O
ISTZJOL,X,X,X,X,O,X,O,X,O,X,O
ISTZOLJ,X,X,X,O,O,X,O,X,O,X,O
ISTZOJL,X,X,X,X,O,X,O,X,O,X,O
ISTOLJZ,X,X,X,O,O,X,O,X,O,O,O
ISTOLZJ,X,X,X,O,O,X,O,X,O,O,O
ISTOJLZ,X,X,X,X,X,X,O,X,X,O,O
ISTOJZL,X,X,X,X,O,X,O,X,X,X,O
ISTOZLJ,X,X,X,O,O,X,O,X,O,X,O
ISTOZJL,X,X,X,X,O,X,O,X,O,X,O
ISLTJZO,O,X,X,O,X,X,O,X,O,O,O
ISLTJOZ,O,X,X,O,X,X,O,X,O,O,O
ISLTZJO,O,X,X,O,X,X,O,X,O,O,O
ISLTZOJ,O,X,X,O,X,X,O,X,O,O,O
ISLTOJZ,O,X,X,O,X,X,O,X,O,O,O
ISLTOZJ,O,X,X,O,X,X,O,X,O,O,O
ISLJTZO,O,X,X,O,X,X,O,X,O,O,X
ISLJTOZ,O,X,X,O,X,X,O,X,O,O,X
ISLJZTO,O,X,X,O,X,X,O,X,O,X,X
ISLJZOT,X,X,X,O,X,X,O,X,O,X,X
ISLJOTZ,O,X,X,O,X,X,O,X,X,O,X
ISLJOZT,O,X,X,O,X,X,O,X,O,X,X
ISLZTJO,O,X,X,O,X,X,O,X,O,O,O
ISLZTOJ,O,X,X,O,X,X,O,X,O,O,O
ISLZJTO,O,X,X,O,O,X,O,X,O,X,X
ISLZJOT,X,X,X,O,X,X,O,X,O,X,O
ISLZOTJ,X,X,X,O,X,X,X,X,O,O,O
ISLZOJT,X,X,X,O,X,X,X,X,O,X,O
ISLOTJZ,O,X,X,O,X,X,O,X,O,O,O
ISLOTZJ,O,X,X,O,X,X,O,X,O,O,O
ISLOJTZ,O,X,X,O,X,X,O,X,X,O,O
ISLOJZT,O,X,X,O,X,X,O,X,O,X,O
ISLOZTJ,O,X,X,O,X,X,X,X,O,O,O
ISLOZJT,O,X,X,O,X,X,X,X,O,X,O
ISJTLZO,O,X,X,O,X,X,O,X,O,O,O
ISJTLOZ,O,X,X,O,X,X,O,X,O,O,O
ISJTZLO,O,X,X,O,X,X,O,X,O,O,O
ISJTZOL,O,X,X,O,X,X,O,X,O,X,X
ISJTOLZ,O,X,X,O,X,X,O,X,X,O,O
ISJTOZL,O,X,X,O,X,X,O,X,X,X,O
ISJLTZO,O,X,X,O,X,X,O,X,O,O,X
ISJLTOZ,O,X,X,O,X,X,O,X,O,O,X
ISJLZTO,O,X,X,O,X,X,O,X,O,X,X
ISJLZOT,X,X,X,O,X,X,O,X,O,X,X
ISJLOTZ,O,X,X,O,X,X,O,X,X,O,X
ISJLOZT,X,X,X,O,X,X,O,X,O,X,X
ISJZTLO,O,X,X,O,O,X,O,X,O,X,O
ISJZTOL,O,X,X,O,O,X,O,O,O,X,O
ISJZLTO,X,X,X,O,O,X,O,X,O,X,X
ISJZLOT,X,X,X,O,X,X,O,X,O,X,O
ISJZOTL,X,X,X,O,O,X,O,O,O,X,O
ISJZOLT,X,X,X,O,X,X,O,O,O,X,O
ISJOTLZ,O,X,X,O,X,X,O,X,X,X,O
ISJOTZL,O,X,X,O,X,X,O,O,X,X,O
ISJOLTZ,O,X,X,O,X,X,O,X,X,X,O
ISJOLZT,X,X,X,O,X,X,O,O,O,X,O
ISJOZTL,O,X,X,O,X,X,O,O,O,X,O
ISJOZLT,X,X,X,O,X,X,O,O,O,X,O
ISZTLJO,X,X,X,O,O,X,O,X,O,O,O
ISZTLOJ,X,X,X,O,O,X,O,X,O,O,O
ISZTJLO,X,X,X,O,O,X,O,X,O,O,O
ISZTJOL,X,X,X,X,O,X,O,X,O,X,O
ISZTOLJ,X,X,X,O,O,X,O,X,O,X,O
ISZTOJL,X,X,X,X,O,X,O,X,O,X,O
ISZLTJO,O,X,X,O,X,X,O,X,O,O,O
ISZLTOJ,O,X,X,O,X,X,O,X,O,O,O
ISZLJTO,O,X,X,O,O,X,O,X,O,X,X
ISZLJOT,X,X,X,O,X,X,O,X,O,X,O
ISZLOTJ,X,X,X,O,X,X,X,X,O,O,O
ISZLOJT,X,X,X,O,X,X,X,X,O,X,O
ISZJTLO,O,X,X,O,O,X,O,X,O,X,O
ISZJTOL,O,X,X,X,O,X,O,X,O,X,O
ISZJLTO,X,X,X,O,O,X,O,X,O,X,X
ISZJLOT,X,X,X,O,X,X,O,X,O,X,O
ISZJOTL,X,X,X,X,O,X,O,X,O,X,O
ISZJOLT,X,X,X,X,X,X,O,X,O,X,O
ISZOTLJ,X,X,X,O,X,X,X,X,O,X,O
ISZOTJL,X,X,X,X,X,X,X,X,O,X,O
ISZOLTJ,X,X,X,O,X,X,X,X,O,X,O
ISZOLJT,X,X,X,O,X,X,X,X,O,X,O
ISZOJTL,X,X,X,X,O,X,X,X,O,X,O
ISZOJLT,X,X,X,X,X,X,X,X,O,X,O
ISOTLJZ,O,X,X,O,X,X,O,X,O,O,O
ISOTLZJ,O,X,X,O,X,X,O,X,O,O,O
ISOTJLZ,O,X,X,X,X,X,O,X,X,O,O
ISOTJZL,O,X,X,X,X,X,O,O,X,X,O
ISOTZLJ,X,X,X,O,X,X,O,X,O,X,O
ISOTZJL,X,X,X,X,X,X,O,X,O,X,O
ISOLTJZ,O,X,X,O,X,X,O,X,O,O,O
ISOLTZJ,O,X,X,O,X,X,O,X,O,O,O
ISOLJTZ,O,X,X,O,X,X,O,X,X,O,O
ISOLJZT,O,X,X,O,X,X,O,O,O,X,O
ISOLZTJ,O,X,X,O,X,X,X,X,O,O,O
ISOLZJT,O,X,X,O,X,X,X,X,O,X,O
ISOJTLZ,O,X,X,X,X,X,O,X,X,X,O
ISOJTZL,O,X,X,X,X,X,O,O,X,X,O
ISOJLTZ,O,X,X,X,X,X,O,X,X,X,O
ISOJLZT,O,X,X,X,X,X,O,O,O,X,O
ISOJZTL,O,X,X,X,X,X,O,O,O,X,O
ISOJZLT,X,X,X,X,X,X,O,O,O,X,O
ISOZTLJ,X,X,X,O,X,X,X,X,O,X,O
ISOZTJL,X,X,X,X,X,X,X,X,O,X,O
ISOZLTJ,O,X,X,O,X,X,X,X,O,X,O
ISOZLJT,O,X,X,O,X,X,X,X,O,X,O
ISOZJTL,O,X,X,X,O,X,X,O,O,X,O
ISOZJLT,X,X,X,X,X,X,X,O,O,X,O
IZTLJSO,X,X,X,X,O,X,X,X,O,O,X
IZTLJOS,X,X,X,X,O,O,X,X,X,O,X
IZTLSJO,X,X,X,X,O,X,X,X,O,O,X
IZTLSOJ,X,X,X,X,X,X,X,X,O,O,X
IZTLOJS,X,X,X,X,O,O,X,X,X,O,X
IZTLOSJ,X,X,X,X,X,O,X,X,X,O,X
IZTJLSO,X,X,X,X,O,X,O,X,O,O,X
IZTJLOS,X,X,X,X,O,O,O,X,X,O,X
IZTJSLO,X,X,X,X,X,X,O,X,O,O,O
IZTJSOL,X,X,X,X,X,X,O,X,O,X,X
IZTJOLS,X,X,X,X,X,O,O,X,X,X,X
IZTJOSL,X,X,X,X,X,O,O,X,O,X,X
IZTSLJO,X,X,X,X,X,X,O,X,O,O,O
IZTSLOJ,X,X,X,X,X,X,O,X,O,O,O
IZTSJLO,X,X,X,X,X,X,O,X,O,O,O
IZTSJOL,X,X,X,X,X,X,O,X,O,X,X
IZTSOLJ,X,X,X,X,X,X,O,X,O,X,O
IZTSOJL,X,X,X,X,X,X,O,X,O,X,O
IZTOLJS,X,X,X,X,X,O,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,O,X,X,X,X,X
IZTOJLS,X,X,X,X,X,O,O,X,X,X,X
IZTOJSL,X,X,X,X,X,O,O,X,O,X,O
IZTOSLJ,X,X,X,X,X,O,O,X,O,X,O
IZTOSJL,X,X,X,X,X,O,O,X,O,X,O
IZLTJSO,X,X,X,O,X,X,X,X,O,O,X
IZLTJOS,X,X,X,O,X,O,X,X,X,O,X
IZLTSJO,X,X,X,O,X,X,X,X,O,O,X
IZLTSOJ,X,X,X,O,X,X,X,X,O,O,X
IZLTOJS,X,X,X,O,X,O,X,X,X,O,X
IZLTOSJ,X,X,X,O,X,O,X,X,X,O,X
IZLJTSO,X,O,X,O,X,X,X,X,O,X,X
IZLJTOS,X,O,X,O,X,X,X,X,X,X,X
IZLJSTO,X,O,X,O,X,X,X,X,O,X,X
IZLJSOT,X,O,X,O,X,X,X,X,O,X,X
IZLJOTS,X,O,X,O,X,X,X,X,X,X,X
IZLJOST,X,O,X,O,X,X,X,X,X,X,X
IZLSTJO,X,O,X,O,X,X,X,X,O,O,X
IZLSTOJ,X,O,X,O,X,X,X,X,O,O,X
IZLSJTO,X,O,X,O,X,X,X,X,O,X,X
IZLSJOT,X,O,X,O,X,X,X,X,O,X,X
IZLSOTJ,X,O,X,O,X,X,X,X,O,O,X
IZLSOJT,X,O,X,O,X,X,X,X,O,X,X
IZLOTJS,X,O,X,O,X,O,X,X,X,O,X
IZLOTSJ,X,O,X,O,X,O,X,X,X,O,X
IZLOJTS,X,O,X,O,X,O,X,X,X,X,X
IZLOJST,X,O,X,O,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,O,X,O,X,X,X,O,X
IZLOSJT,X,O,X,O,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,O,X,O,X,O,X,X
IZJTLOS,X,O,X,O,O,X,O,X,X,X,X
IZJTSLO,X,O,X,O,X,X,O,X,O,X,X
IZJTSOL,X,O,X,O,X,X,O,X,O,X,X
IZJTOLS,X,O,X,X,X,X,O,X,X,X,X
IZJTOSL,X,O,X,X,X,X,O,X,O,X,X
IZJLTSO,X,O,X,O,X,X,O,X,O,X,X
IZJLTOS,X,O,X,O,X,X,O,X,X,X,X
IZJLSTO,X,O,X,O,X,X,O,X,O,X,X
IZJLSOT,X,O,X,O,X,X,O,X,O,X,X
IZJLOTS,X,O,X,O,X,X,X,X,X,X,X
IZJLOST,X,O,X,O,X,X,X,X,X,X,X
IZJSTLO,X,O,X,O,O,X,O,X,O,X,X
IZJSTOL,X,O,X,O,O,X,O,X,O,X,X
IZJSLTO,X,O,X,O,O,X,O,X,O,X,X
IZJSLOT,X,O,X,O,X,X,O,X,O,X,X
IZJSOTL,X,X,X,O,O,X,O,X,O,X,X
IZJSOLT,X,X,X,O,X,X,O,X,O,X,X
IZJOTLS,X,O,X,X,X,X,O,X,X,X,X
IZJOTSL,X,O,X,X,X,X,O,X,O,X,X
IZJOLTS,X,O,X,O,X,X,X,X,X,X,X
IZJOLST,X,O,X,O,X,X,X,X,X,X,X
IZJOSTL,X,O,X,O,X,X,O,X,O,X,X
IZJOSLT,X,O,X,O,X,X,O,X,O,X,X
IZSTLJO,X,X,X,O,O,X,O,X,O,O,O
IZSTLOJ,X,X,X,O,O,X,O,X,O,O,O
IZSTJLO,X,X,X,O,O,X,O,X,O,O,O
IZSTJOL,X,X,X,X,O,X,O,X,O,X,O
IZSTOLJ,X,X,X,O,O,X,O,X,O,X,O
IZSTOJL,X,X,X,X,O,X,O,X,O,X,O
IZSLTJO,X,X,X,O,X,X,O,X,O,O,O
IZSLTOJ,X,X,X,O,X,X,O,X,O,O,O
IZSLJTO,X,X,X,O,O,X,O,X,O,X,X
IZSLJOT,X,X,X,O,X,X,O,X,O,X,O
IZSLOTJ,X,X,X,O,X,X,X,X,O,O,O
IZSLOJT,X,X,X,O,X,X,X,X,O,X,O
IZSJTLO,X,X,X,O,O,X,O,X,O,X,O
IZSJTOL,X,X,X,X,O,X,O,X,O,X,O
IZSJLTO,X,X,X,O,O,X,O,X,O,X,X
IZSJLOT,X,X,X,O,X,X,O,X,O,X,O
IZSJOTL,X,X,X,X,O,X,O,X,O,X,O
IZSJOLT,X,X,X,X,X,X,O,X,O,X,O
IZSOTLJ,X,X,X,O,X,X,X,X,O,X,O
IZSOTJL,X,X,X,X,X,X,X,X,O,X,O
IZSOLTJ,X,X,X,O,X,X,X,X,O,X,O
IZSOLJT,X,X,X,O,X,X,X,X,O,X,O
IZSOJTL,X,X,X,X,O,X,X,X,O,X,O
IZSOJLT,X,X,X,X,X,X,X,X,O,X,O
IZOTLJS,X,O,X,X,X,O,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,O,X,X,X,X,X
IZOTJLS,X,O,X,X,X,O,X,X,X,X,X
IZOTJSL,X,O,X,X,X,O,X,X,O,X,O
IZOTSLJ,X,X,X,X,X,O,X,X,O,X,O
IZOTSJL,X,X,X,X,X,O,X,X,O,X,O
IZOLTJS,X,O,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,O,X,X,X,X,X
IZOLJTS,X,O,X,X,X,O,X,X,X,X,X
IZOLJST,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,O,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,O,X,X,X,X,X
IZOJTSL,X,O,X,X,X,O,X,X,O,X,O
IZOJLTS,X,O,X,X,X,O,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,X,O,X,O
IZOJSLT,X,O,X,X,X,X,X,X,O,X,O
IZOSTLJ,X,X,X,X,X,O,X,X,O,X,O
IZOSTJL,X,X,X,X,X,O,X,X,O,X,O
IZOSLTJ,X,O,X,X,X,O,X,X,O,X,O
IZOSLJT,X,O,X,X,X,X,X,X,O,X,O
IZOSJTL,X,O,X,X,X,X,X,X,O,X,O
IZOSJLT,X,O,X,X,X,X,X,X,O,X,O
IOTLJSZ,O,X,O,X,X,X,O,X,X,O,O
IOTLJZS,O,X,O,X,X,O,O,X,X,O,X
IOTLSJZ,O,O,O,X,X,X,O,X,X,O,O
IOTLSZJ,O,O,O,X,X,X,O,X,X,O,O
