sequence,v115@RhC8AeA8DeG8CeA8JeT/IvhF/lBRhBGjB0mBlnByxB,v115@RhC8AeA8DeG8CeA8Je2EJvhFRgBFiBTjBCmBftBUsB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBGjBllB3nByxB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBCjBllBXoB2xB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgBcoBllBfsB6sBmsB
TJZSOLI,X,O,X,O,O
TJZOILS,X,X,O,O,X
TJZOISL,X,O,O,O,O
TJZOLIS,X,O,O,O,X
TJZOLSI,X,O,O,O,X
TJZOSIL,O,O,O,O,O
TJZOSLI,X,O,X,O,O
TJOILSZ,X,O,O,X,X
TJOILZS,X,X,O,X,X
TJOISLZ,X,O,X,O,O
TJOISZL,X,O,X,O,O
TJOIZLS,X,X,O,O,X
TJOIZSL,X,X,O,O,O
TJOLISZ,O,O,O,X,X
TJOLIZS,O,X,O,X,X
TJOLSIZ,O,O,O,O,X
TJOLSZI,O,O,O,O,X
TJOLZIS,O,X,O,O,X
TJOLZSI,O,X,O,O,X
TJOSILZ,O,O,X,O,O
TJOSIZL,O,O,X,O,O
TJOSLIZ,O,O,O,O,O
TJOSLZI,O,O,O,O,O
TJOSZIL,O,O,O,O,O
TJOSZLI,X,O,X,O,O
TJOZILS,X,X,O,O,X
TJOZISL,X,X,O,O,O
TJOZLIS,X,X,O,O,X
TJOZLSI,X,X,O,O,X
TJOZSIL,O,X,O,O,O
TJOZSLI,X,X,X,O,O
TSILJZO,O,X,X,X,O
TSILJOZ,O,X,X,X,O
TSILZJO,O,X,O,O,O
TSILZOJ,O,X,O,O,O
TSILOJZ,O,X,X,X,O
TSILOZJ,O,X,O,O,O
TSIJLZO,X,O,X,O,O
TSIJLOZ,X,O,X,O,O
TSIJZLO,X,X,X,O,O
TSIJZOL,X,O,X,O,O
TSIJOLZ,O,O,X,O,O
TSIJOZL,O,O,X,O,O
TSIZLJO,O,X,O,O,O
TSIZLOJ,O,X,O,O,O
TSIZJLO,O,X,X,O,O
TSIZJOL,O,X,O,O,O
TSIZOLJ,O,X,O,O,O
TSIZOJL,O,X,O,O,O
TSIOLJZ,O,X,X,X,O
TSIOLZJ,O,X,O,O,O
TSIOJLZ,O,O,X,O,O
TSIOJZL,O,O,X,O,O
TSIOZLJ,O,X,O,O,O
TSIOZJL,O,X,O,O,O
TSLIJZO,O,O,O,X,O
TSLIJOZ,O,O,O,X,O
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,O,O,O,O
TSLIOJZ,O,O,O,X,O
TSLIOZJ,O,O,O,O,O
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,O,O,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,O,O,O
TSLJOZI,O,O,O,O,O
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,O,O,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,O,X,O
TSLOIZJ,O,O,O,O,O
TSLOJIZ,O,O,O,O,O
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,X,O,X,O,O
TSJILOZ,X,O,X,O,O
TSJIZLO,X,X,X,O,O
TSJIZOL,X,O,X,O,O
TSJIOLZ,O,O,X,O,O
TSJIOZL,O,O,X,O,O
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,O,O,O
TSJLOZI,O,O,O,O,O
TSJZILO,X,X,X,O,O
TSJZIOL,O,O,O,O,O
TSJZLIO,X,O,X,O,O
TSJZLOI,X,O,X,O,O
TSJZOIL,O,O,O,O,O
TSJZOLI,X,O,X,O,O
TSJOILZ,O,O,X,O,O
TSJOIZL,O,O,X,O,O
TSJOLIZ,O,O,O,O,O
TSJOLZI,O,O,O,O,O
TSJOZIL,O,O,O,O,O
TSJOZLI,X,O,X,O,O
TSZILJO,O,X,O,O,O
TSZILOJ,O,X,O,O,O
TSZIJLO,O,X,X,O,O
TSZIJOL,O,X,O,O,O
