sequence,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFFgB0hB?6nB3lBWvBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeOEJvhF0hB6nB?llBXlBzrBxuB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF1lB6mB?TiBUlBWvBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBFiB?6rBcsBGqBzpB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF6mBTiB?8pBuqBXsBFqB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF0hBllB?SsBzpBGqBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFUgB6rB?TnB3lBWvBFsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBGqBzpBCsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gB+nB?lmBCqBUqBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBupBTqBCsB
ILZOTSJ,X,X,X,O,X,O,X,X,X,O
ILZOJTS,X,X,X,O,X,O,O,X,X,X
ILZOJST,X,X,X,O,X,X,O,X,X,X
ILZOSTJ,X,X,X,O,X,O,X,X,X,O
ILZOSJT,X,X,X,X,X,X,O,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,X,X,O,O,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,O,X,X,X,X
ILOTZJS,O,O,X,X,X,O,O,X,X,X
ILOTZSJ,O,O,X,X,X,O,X,X,X,X
ILOJTSZ,O,O,X,X,X,X,X,X,O,X
ILOJTZS,O,O,X,X,X,O,O,X,X,X
ILOJSTZ,O,O,X,X,X,X,X,X,O,X
ILOJSZT,O,O,X,O,X,X,O,X,X,X
ILOJZTS,O,O,X,O,X,O,O,X,X,X
ILOJZST,O,O,X,O,X,X,O,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,O,X,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,X,O,X
ILOSJZT,O,O,X,X,X,X,O,X,X,X
ILOSZTJ,O,O,X,O,X,O,X,X,X,O
ILOSZJT,O,O,X,X,X,X,O,X,X,X
ILOZTJS,O,O,X,O,X,O,O,X,X,X
ILOZTSJ,O,O,X,O,X,O,X,X,X,O
ILOZJTS,O,O,X,O,X,O,O,X,X,X
ILOZJST,O,O,X,O,X,X,O,X,X,X
ILOZSTJ,O,O,X,O,X,O,X,X,X,O
ILOZSJT,O,O,X,X,X,X,O,X,X,X
IJTLSZO,O,O,O,O,O,X,X,X,O,X
IJTLSOZ,O,X,O,X,O,X,X,X,O,X
IJTLZSO,X,O,O,O,O,X,X,X,O,X
IJTLZOS,X,O,X,O,X,O,O,X,X,X
IJTLOSZ,O,O,O,X,X,X,X,X,O,X
IJTLOZS,O,O,X,X,X,X,O,X,X,X
IJTSLZO,O,O,O,O,O,X,X,X,O,X
IJTSLOZ,O,X,O,X,O,X,X,X,O,X
IJTSZLO,O,O,O,X,O,X,X,O,O,X
IJTSZOL,O,X,O,X,O,X,X,O,X,X
IJTSOLZ,O,O,O,X,O,X,X,X,O,X
IJTSOZL,O,O,O,X,O,X,X,X,X,X
IJTZLSO,X,O,O,O,O,X,X,O,O,X
IJTZLOS,X,O,X,O,X,O,O,X,X,X
IJTZSLO,X,O,O,X,O,X,X,O,O,X
IJTZSOL,X,X,O,X,O,X,X,O,X,X
IJTZOLS,O,O,X,X,X,X,O,X,X,X
IJTZOSL,O,O,X,X,X,X,X,O,X,X
IJTOLSZ,O,O,O,X,X,X,X,X,O,X
IJTOLZS,O,O,X,X,X,X,O,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X,O,X
IJTOSZL,O,O,O,X,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,O,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,O,O,X,X,X,O,X
IJLTSOZ,O,X,O,X,O,X,X,X,O,X
IJLTZSO,X,O,O,O,O,X,X,X,O,X
IJLTZOS,X,O,X,O,X,O,O,X,X,X
IJLTOSZ,O,O,O,X,X,X,X,X,O,X
IJLTOZS,O,O,X,X,X,X,O,X,X,X
IJLSTZO,O,O,O,O,O,X,X,X,O,X
IJLSTOZ,O,X,O,X,O,X,X,X,O,X
IJLSZTO,O,X,O,O,O,X,X,O,O,X
IJLSZOT,O,X,O,O,O,X,O,X,X,X
IJLSOTZ,O,X,O,X,O,X,X,X,O,X
IJLSOZT,O,X,O,O,O,X,O,X,X,X
IJLZTSO,X,O,X,O,O,X,X,O,O,X
IJLZTOS,X,O,X,O,X,O,O,X,X,X
IJLZSTO,O,X,X,O,O,X,X,O,O,X
IJLZSOT,O,X,X,O,O,X,O,X,X,X
IJLZOTS,X,X,X,O,X,O,O,X,X,X
IJLZOST,X,X,X,O,O,X,O,X,X,X
IJLOTSZ,O,O,X,X,X,X,X,X,O,X
IJLOTZS,O,O,X,X,X,O,O,X,X,X
IJLOSTZ,O,O,X,X,O,X,X,X,O,X
IJLOSZT,O,O,X,O,O,X,O,X,X,X
IJLOZTS,O,O,X,O,X,O,O,X,X,X
IJLOZST,O,O,X,O,O,X,O,X,X,X
IJSTLZO,O,O,O,O,O,X,X,X,O,X
IJSTLOZ,O,X,O,X,O,X,X,X,O,X
IJSTZLO,O,O,O,X,O,X,X,O,O,X
IJSTZOL,O,X,O,X,O,X,X,O,X,X
IJSTOLZ,O,O,O,X,O,X,X,X,O,X
IJSTOZL,O,O,O,X,O,X,X,X,X,X
IJSLTZO,O,O,O,O,O,X,X,X,O,X
IJSLTOZ,O,X,O,X,O,X,X,X,O,X
IJSLZTO,O,X,O,O,O,X,X,O,O,X
IJSLZOT,O,X,O,O,O,X,O,X,X,X
IJSLOTZ,O,X,O,X,O,X,X,X,O,X
IJSLOZT,O,X,O,O,O,X,O,X,X,X
IJSZTLO,O,X,O,X,O,X,X,O,X,X
IJSZTOL,O,X,O,X,O,X,X,O,X,X
IJSZLTO,O,X,O,O,O,X,X,O,X,X
IJSZLOT,O,X,O,O,O,X,O,X,X,X
IJSZOTL,O,X,O,X,O,X,X,O,X,X
IJSZOLT,O,X,O,X,O,X,O,X,X,X
IJSOTLZ,O,O,O,X,O,X,X,X,X,X
IJSOTZL,O,O,O,X,O,X,X,X,X,X
IJSOLTZ,O,O,O,X,O,X,X,X,X,X
IJSOLZT,O,O,O,O,O,X,O,X,X,X
IJSOZTL,O,O,O,X,O,X,X,O,X,X
IJSOZLT,O,O,O,X,O,X,O,X,X,X
IJZTLSO,X,O,O,O,O,X,X,O,O,X
IJZTLOS,X,O,X,O,X,X,O,X,X,X
IJZTSLO,X,O,O,X,O,X,X,O,O,X
IJZTSOL,X,X,O,X,O,X,X,O,X,O
IJZTOLS,O,O,X,X,X,X,O,X,X,X
IJZTOSL,O,O,X,X,X,X,X,O,X,O
IJZLTSO,X,O,X,O,O,X,X,O,O,X
IJZLTOS,X,O,X,O,X,X,O,X,X,X
IJZLSTO,O,X,X,O,O,X,X,O,O,X
IJZLSOT,O,X,X,O,O,X,O,X,X,X
IJZLOTS,X,X,X,O,X,X,O,X,X,X
IJZLOST,X,X,X,O,O,X,O,X,X,X
IJZSTLO,O,X,O,X,O,X,X,O,X,X
IJZSTOL,O,X,O,X,O,X,X,O,X,X
IJZSLTO,O,X,O,O,O,X,X,O,X,X
IJZSLOT,O,X,O,O,O,X,O,X,X,X
IJZSOTL,O,X,O,X,O,X,X,O,X,X
IJZSOLT,O,X,O,X,O,X,O,X,X,X
IJZOTLS,O,O,X,X,X,X,O,X,X,X
IJZOTSL,O,O,X,X,X,X,X,O,X,O
IJZOLTS,O,O,X,O,X,X,O,X,X,X
IJZOLST,O,O,X,O,O,X,O,X,X,X
IJZOSTL,O,O,X,X,O,X,X,O,X,O
IJZOSLT,O,O,X,X,O,X,O,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,X,O,X
IJOTLZS,O,O,X,X,X,O,O,X,X,X
IJOTSLZ,O,O,O,X,X,X,X,X,O,X
IJOTSZL,O,O,O,X,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,O,O,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,X,X,O,X
IJOLTZS,O,O,X,X,X,O,O,X,X,X
IJOLSTZ,O,O,X,X,O,X,X,X,O,X
IJOLSZT,O,O,X,O,O,X,O,X,X,X
IJOLZTS,O,O,X,O,X,O,O,X,X,X
IJOLZST,O,O,X,O,O,X,O,X,X,X
IJOSTLZ,O,O,O,X,O,X,X,X,X,X
IJOSTZL,O,O,O,X,O,X,X,X,X,X
IJOSLTZ,O,O,O,X,O,X,X,X,X,X
IJOSLZT,O,O,O,O,O,X,O,X,X,X
IJOSZTL,O,O,O,X,O,X,X,O,X,O
IJOSZLT,O,O,O,X,O,X,O,X,X,X
IJOZTLS,O,O,X,X,X,X,O,X,X,X
IJOZTSL,O,O,X,X,X,X,X,O,X,O
IJOZLTS,O,O,X,O,X,X,O,X,X,X
IJOZLST,O,O,X,O,O,X,O,X,X,X
IJOZSTL,O,O,X,X,O,X,X,O,X,O
IJOZSLT,O,O,X,X,O,X,O,X,X,X
ISTLJZO,O,O,O,X,O,X,X,X,X,X
ISTLJOZ,X,X,O,X,O,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,O,X,X,O,X,X,X,X
ISTLOJZ,O,X,O,X,O,X,X,X,X,X
ISTLOZJ,O,X,O,X,X,X,X,X,X,X
ISTJLZO,O,O,O,X,O,X,X,X,X,X
ISTJLOZ,X,X,O,X,O,X,X,X,X,X
ISTJZLO,O,O,O,X,O,X,X,X,X,X
ISTJZOL,X,X,O,X,O,X,X,X,X,X
ISTJOLZ,O,O,O,X,O,X,X,X,X,X
ISTJOZL,O,O,O,X,O,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,O,X,X,X,X
ISTZJLO,O,O,X,X,O,X,X,X,X,X
ISTZJOL,X,X,X,X,O,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X,X,X,X
ISTZOJL,O,X,X,X,O,X,X,X,X,X
ISTOLJZ,O,O,O,X,O,X,X,X,X,X
ISTOLZJ,O,O,O,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,O,X,X,X,X,X
ISTOJZL,O,O,O,X,O,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X,X,X
ISTOZJL,O,O,X,X,O,X,X,X,X,X
ISLTJZO,O,O,O,X,O,X,X,X,O,X
ISLTJOZ,X,X,O,X,O,X,X,X,O,X
ISLTZJO,O,O,X,O,X,X,X,X,X,X
ISLTZOJ,O,X,O,O,X,O,X,X,X,X
ISLTOJZ,O,X,O,X,O,X,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X,X,X,X
ISLJTZO,O,O,O,O,O,X,X,X,O,X
ISLJTOZ,O,X,O,X,O,X,X,X,O,X
ISLJZTO,O,X,O,O,O,X,X,X,O,X
ISLJZOT,O,X,O,O,O,X,O,X,X,X
ISLJOTZ,O,X,O,X,O,X,X,X,O,X
ISLJOZT,O,X,O,O,O,X,O,X,X,X
ISLZTJO,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,O,O,X,O,X,X,X,X
ISLZJTO,O,X,O,O,O,X,X,X,O,X
ISLZJOT,X,X,O,O,O,X,X,X,X,X
ISLZOTJ,O,X,O,O,X,O,X,X,X,X
ISLZOJT,X,X,O,X,O,X,O,X,X,X
ISLOTJZ,O,X,O,X,O,X,X,X,X,X
ISLOTZJ,O,X,O,X,X,O,X,X,X,X
ISLOJTZ,O,X,O,X,O,X,X,X,O,X
ISLOJZT,O,X,O,X,O,X,O,X,X,X
ISLOZTJ,O,X,O,O,X,O,X,X,X,X
ISLOZJT,O,X,O,X,O,X,O,X,X,X
ISJTLZO,O,O,O,O,O,X,X,X,O,X
ISJTLOZ,O,X,O,X,O,X,X,X,O,X
ISJTZLO,O,O,O,X,O,X,X,O,O,X
ISJTZOL,O,X,O,X,O,X,X,O,X,X
ISJTOLZ,O,O,O,X,O,X,X,X,O,X
ISJTOZL,O,O,O,X,O,X,X,X,X,X
ISJLTZO,O,O,O,O,O,X,X,X,O,X
ISJLTOZ,O,X,O,X,O,X,X,X,O,X
ISJLZTO,O,X,O,O,O,X,X,O,O,X
ISJLZOT,O,X,O,O,O,X,O,X,X,X
ISJLOTZ,O,X,O,X,O,X,X,X,O,X
ISJLOZT,O,X,O,O,O,X,O,X,X,X
ISJZTLO,O,X,O,X,O,X,X,O,X,X
ISJZTOL,O,X,O,X,O,X,X,O,X,X
ISJZLTO,O,X,O,O,O,X,X,O,X,X
ISJZLOT,O,X,O,O,O,X,O,X,X,X
ISJZOTL,O,X,O,X,O,X,X,O,X,X
ISJZOLT,O,X,O,X,O,X,O,X,X,X
ISJOTLZ,O,O,O,X,O,X,X,X,X,X
ISJOTZL,O,O,O,X,O,X,X,X,X,X
ISJOLTZ,O,O,O,X,O,X,X,X,X,X
ISJOLZT,O,O,O,O,O,X,O,X,X,X
ISJOZTL,O,O,O,X,O,X,X,O,X,X
ISJOZLT,O,O,O,X,O,X,O,X,X,X
ISZTLJO,O,X,X,X,X,X,X,O,X,X
ISZTLOJ,O,X,O,X,X,X,X,X,X,O
ISZTJLO,O,X,X,X,O,X,X,O,X,X
ISZTJOL,X,X,X,X,O,X,X,O,X,O
ISZTOLJ,O,X,O,X,X,X,X,X,X,O
ISZTOJL,O,X,X,X,O,X,X,O,X,O
ISZLTJO,O,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,O,O,X,X,X,X,X,X
ISZLJTO,O,X,O,O,O,X,X,X,X,X
ISZLJOT,X,X,O,O,O,X,X,X,X,X
ISZLOTJ,O,X,O,O,X,X,X,X,X,X
ISZLOJT,X,X,O,X,O,X,O,X,X,X
ISZJTLO,O,X,O,X,O,X,X,O,X,X
ISZJTOL,X,X,O,X,O,X,X,O,X,X
ISZJLTO,O,X,O,O,O,X,X,O,X,X
ISZJLOT,X,X,O,O,O,X,X,X,X,X
ISZJOTL,X,X,O,X,O,X,X,O,X,X
ISZJOLT,X,X,O,X,O,X,X,X,X,X
ISZOTLJ,O,X,O,X,X,X,X,X,X,O
ISZOTJL,O,X,X,X,O,X,X,X,X,O
ISZOLTJ,O,X,O,X,X,X,X,X,X,O
ISZOLJT,O,X,O,X,O,X,O,X,X,X
ISZOJTL,O,X,O,X,O,X,X,X,X,O
ISZOJLT,O,X,O,X,O,X,X,X,X,X
ISOTLJZ,O,O,O,X,O,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,O,X,X,X,X
ISOTJLZ,O,O,O,X,O,X,X,X,X,X
ISOTJZL,O,O,O,X,O,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,O,X,X,X,O
ISOTZJL,O,O,X,X,O,X,X,X,X,O
ISOLTJZ,O,O,O,X,O,X,X,X,X,X
ISOLTZJ,O,O,O,X,X,O,X,X,X,X
ISOLJTZ,O,O,O,X,O,X,X,X,X,X
ISOLJZT,O,O,O,X,O,X,O,X,X,X
ISOLZTJ,O,O,O,X,X,O,X,X,X,O
ISOLZJT,O,O,O,X,O,X,O,X,X,X
ISOJTLZ,O,O,O,X,O,X,X,X,X,X
ISOJTZL,O,O,O,X,O,X,X,X,X,X
ISOJLTZ,O,O,O,X,O,X,X,X,X,X
ISOJLZT,O,O,O,X,O,X,O,X,X,X
ISOJZTL,O,O,O,X,O,X,X,X,X,O
ISOJZLT,O,O,O,X,O,X,O,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X,X,O
ISOZTJL,O,O,X,X,O,X,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,X,X,X,O
ISOZLJT,O,O,O,X,O,X,O,X,X,X
ISOZJTL,O,O,O,X,O,X,X,X,X,O
ISOZJLT,O,O,O,X,O,X,X,X,X,X
IZTLJSO,X,O,X,O,X,X,X,O,X,X
IZTLJOS,X,O,X,O,X,O,X,X,X,X
IZTLSJO,X,O,X,O,X,X,X,O,X,X
IZTLSOJ,X,X,O,O,X,O,X,X,X,O
IZTLOJS,X,O,X,O,X,O,O,X,X,X
IZTLOSJ,X,X,X,O,X,O,X,X,X,O
IZTJLSO,X,O,X,O,O,X,X,O,X,X
IZTJLOS,X,O,X,O,X,O,X,X,X,X
IZTJSLO,X,O,X,X,O,X,X,O,X,X
IZTJSOL,X,X,X,X,O,X,X,O,X,O
IZTJOLS,X,O,X,X,X,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,X,O,X,O
IZTSLJO,X,O,X,X,X,X,X,O,X,X
IZTSLOJ,X,X,O,X,X,O,X,X,X,O
IZTSJLO,X,O,X,X,O,X,X,O,X,X
IZTSJOL,X,X,X,X,O,X,X,O,X,O
IZTSOLJ,X,X,O,X,X,X,X,X,X,O
IZTSOJL,X,X,X,X,O,X,X,O,X,O
IZTOLJS,O,O,X,X,X,O,O,X,X,X
IZTOLSJ,O,O,X,X,X,O,X,X,X,O
IZTOJLS,O,O,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,O,X,O
IZTOSLJ,O,O,X,X,X,X,X,X,X,O
IZTOSJL,X,O,X,X,X,X,X,O,X,O
IZLTJSO,X,O,X,O,X,X,X,O,X,X
IZLTJOS,X,O,X,O,X,O,X,X,X,X
IZLTSJO,X,O,X,O,X,X,X,O,X,X
IZLTSOJ,X,X,X,O,X,O,X,X,X,O
IZLTOJS,X,O,X,O,X,O,O,X,X,X
IZLTOSJ,X,X,X,O,X,O,X,X,X,O
IZLJTSO,X,O,X,O,O,X,X,O,O,X
IZLJTOS,X,O,X,O,X,O,O,X,X,X
IZLJSTO,O,X,X,O,O,X,X,O,O,X
IZLJSOT,O,X,X,O,O,X,O,X,X,X
IZLJOTS,X,X,X,O,X,O,O,X,X,X
IZLJOST,X,X,X,O,O,X,O,X,X,X
IZLSTJO,O,X,X,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,O,X,X,X,X
IZLSJTO,O,X,X,O,O,X,X,X,O,X
IZLSJOT,X,X,X,O,O,X,X,X,X,X
IZLSOTJ,O,X,X,O,X,O,X,X,X,X
IZLSOJT,X,X,X,X,O,X,O,X,X,X
IZLOTJS,X,X,X,O,X,O,O,X,X,X
IZLOTSJ,X,X,X,O,X,O,X,X,X,O
IZLOJTS,X,X,X,O,X,O,O,X,X,X
IZLOJST,X,X,X,O,X,X,O,X,X,X
IZLOSTJ,X,X,X,O,X,O,X,X,X,O
IZLOSJT,X,X,X,X,X,X,O,X,X,X
IZJTLSO,X,O,O,O,O,X,X,O,O,X
IZJTLOS,X,O,X,O,X,X,O,X,X,X
IZJTSLO,X,O,O,X,O,X,X,O,O,X
IZJTSOL,X,X,O,X,O,X,X,O,X,O
IZJTOLS,O,O,X,X,X,X,O,X,X,X
IZJTOSL,O,O,X,X,X,X,X,O,X,O
IZJLTSO,X,O,X,O,O,X,X,O,O,X
IZJLTOS,X,O,X,O,X,X,O,X,X,X
IZJLSTO,O,X,X,O,O,X,X,O,O,X
IZJLSOT,O,X,X,O,O,X,O,X,X,X
IZJLOTS,X,X,X,O,X,X,O,X,X,X
IZJLOST,X,X,X,O,O,X,O,X,X,X
IZJSTLO,O,X,O,X,O,X,X,O,X,X
IZJSTOL,O,X,O,X,O,X,X,O,X,X
IZJSLTO,O,X,O,O,O,X,X,O,X,X
IZJSLOT,O,X,O,O,O,X,O,X,X,X
IZJSOTL,O,X,O,X,O,X,X,O,X,X
IZJSOLT,O,X,O,X,O,X,O,X,X,X
IZJOTLS,O,O,X,X,X,X,O,X,X,X
IZJOTSL,O,O,X,X,X,X,X,O,X,O
IZJOLTS,O,O,X,O,X,X,O,X,X,X
IZJOLST,O,O,X,O,O,X,O,X,X,X
IZJOSTL,O,O,X,X,O,X,X,O,X,O
IZJOSLT,O,O,X,X,O,X,O,X,X,X
IZSTLJO,O,X,X,X,X,X,X,O,X,X
IZSTLOJ,O,X,O,X,X,X,X,X,X,O
IZSTJLO,O,X,X,X,O,X,X,O,X,X
IZSTJOL,X,X,X,X,O,X,X,O,X,O
IZSTOLJ,O,X,O,X,X,X,X,X,X,O
IZSTOJL,O,X,X,X,O,X,X,O,X,O
IZSLTJO,O,X,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,O,O,X,X,X,X,X,X
IZSLJTO,O,X,O,O,O,X,X,X,X,X
IZSLJOT,X,X,O,O,O,X,X,X,X,X
IZSLOTJ,O,X,O,O,X,X,X,X,X,X
IZSLOJT,X,X,O,X,O,X,O,X,X,X
IZSJTLO,O,X,O,X,O,X,X,O,X,X
IZSJTOL,X,X,O,X,O,X,X,O,X,X
IZSJLTO,O,X,O,O,O,X,X,O,X,X
IZSJLOT,X,X,O,O,O,X,X,X,X,X
IZSJOTL,X,X,O,X,O,X,X,O,X,X
IZSJOLT,X,X,O,X,O,X,X,X,X,X
IZSOTLJ,O,X,O,X,X,X,X,X,X,O
IZSOTJL,O,X,X,X,O,X,X,X,X,O
IZSOLTJ,O,X,O,X,X,X,X,X,X,O
IZSOLJT,O,X,O,X,O,X,O,X,X,X
IZSOJTL,O,X,O,X,O,X,X,X,X,O
IZSOJLT,O,X,O,X,O,X,X,X,X,X
IZOTLJS,O,O,X,X,X,O,O,X,X,X
IZOTLSJ,O,O,X,X,X,O,X,X,X,O
IZOTJLS,O,O,X,X,X,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,O,X,O
IZOTSLJ,O,O,X,X,X,O,X,X,X,O
IZOTSJL,O,O,X,X,X,X,X,O,X,O
IZOLTJS,O,O,X,O,X,O,O,X,X,X
IZOLTSJ,O,O,X,O,X,O,X,X,X,O
IZOLJTS,O,O,X,O,X,O,O,X,X,X
IZOLJST,O,O,X,O,X,X,O,X,X,X
IZOLSTJ,O,O,X,O,X,O,X,X,X,O
IZOLSJT,O,O,X,X,X,X,O,X,X,X
IZOJTLS,O,O,X,X,X,X,O,X,X,X
IZOJTSL,O,O,X,X,X,X,X,O,X,O
IZOJLTS,O,O,X,O,X,X,O,X,X,X
IZOJLST,O,O,X,O,O,X,O,X,X,X
IZOJSTL,O,O,X,X,O,X,X,O,X,O
IZOJSLT,O,O,X,X,O,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,X,O
IZOSTJL,O,O,X,X,O,X,X,X,X,O
IZOSLTJ,O,O,X,X,X,X,X,X,X,O
IZOSLJT,O,O,X,X,O,X,O,X,X,X
IZOSJTL,O,O,X,X,O,X,X,X,X,O
IZOSJLT,O,O,X,X,O,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,O,O,X,X,X
IOTLSJZ,O,O,O,X,X,X,X,X,X,X
IOTLSZJ,O,O,O,X,X,O,X,X,X,X
IOTLZJS,O,O,X,X,X,O,O,X,X,X
IOTLZSJ,O,O,X,X,X,O,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,O,O,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,O,O,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,O,X,X,X,X
IOTSJLZ,O,O,O,X,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,O,X,X,X,O
IOTSZJL,O,O,X,X,X,X,X,X,X,O
IOTZLJS,O,O,X,X,X,O,O,X,X,X
IOTZLSJ,O,O,X,X,X,O,X,X,X,O
IOTZJLS,O,O,X,X,X,O,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X,X,O
IOTZSLJ,O,O,X,X,X,O,X,X,X,O
IOTZSJL,O,O,X,X,X,X,X,X,X,O
IOLTJSZ,O,O,X,X,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,O,O,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,O,X,X,X,X
IOLTZJS,O,O,X,X,X,O,O,X,X,X
IOLTZSJ,O,O,X,X,X,O,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,O,X
IOLJTZS,O,O,X,X,X,O,O,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X,O,X
IOLJSZT,O,O,X,O,X,X,O,X,X,X
IOLJZTS,O,O,X,O,X,O,O,X,X,X
IOLJZST,O,O,X,O,X,X,O,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,O,X,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,O,X
IOLSJZT,O,O,X,X,X,X,O,X,X,X
IOLSZTJ,O,O,X,O,X,O,X,X,X,O
IOLSZJT,O,O,X,X,X,X,O,X,X,X
IOLZTJS,O,O,X,O,X,O,O,X,X,X
IOLZTSJ,O,O,X,O,X,O,X,X,X,O
IOLZJTS,O,O,X,O,X,O,O,X,X,X
IOLZJST,O,O,X,O,X,X,O,X,X,X
IOLZSTJ,O,O,X,O,X,O,X,X,X,O
IOLZSJT,O,O,X,X,X,X,O,X,X,X
IOJTLSZ,O,O,O,X,X,X,X,X,O,X
IOJTLZS,O,O,X,X,X,O,O,X,X,X
IOJTSLZ,O,O,O,X,X,X,X,X,O,X
IOJTSZL,O,O,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,O,O,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X,O,X
IOJLTZS,O,O,X,X,X,O,O,X,X,X
IOJLSTZ,O,O,X,X,O,X,X,X,O,X
IOJLSZT,O,O,X,O,O,X,O,X,X,X
IOJLZTS,O,O,X,O,X,O,O,X,X,X
IOJLZST,O,O,X,O,O,X,O,X,X,X
IOJSTLZ,O,O,O,X,O,X,X,X,X,X
IOJSTZL,O,O,O,X,O,X,X,X,X,X
IOJSLTZ,O,O,O,X,O,X,X,X,X,X
IOJSLZT,O,O,O,O,O,X,O,X,X,X
IOJSZTL,O,O,O,X,O,X,X,O,X,O
IOJSZLT,O,O,O,X,O,X,O,X,X,X
IOJZTLS,O,O,X,X,X,X,O,X,X,X
IOJZTSL,O,O,X,X,X,X,X,O,X,O
IOJZLTS,O,O,X,O,X,X,O,X,X,X
IOJZLST,O,O,X,O,O,X,O,X,X,X
IOJZSTL,O,O,X,X,O,X,X,O,X,O
IOJZSLT,O,O,X,X,O,X,O,X,X,X
IOSTLJZ,O,O,O,X,O,X,X,X,X,X
IOSTLZJ,O,O,O,X,X,O,X,X,X,X
IOSTJLZ,O,O,O,X,O,X,X,X,X,X
IOSTJZL,O,O,O,X,O,X,X,X,X,X
IOSTZLJ,O,O,O,X,X,O,X,X,X,O
IOSTZJL,O,O,X,X,O,X,X,X,X,O
IOSLTJZ,O,O,O,X,O,X,X,X,X,X
IOSLTZJ,O,O,O,X,X,O,X,X,X,X
IOSLJTZ,O,O,O,X,O,X,X,X,X,X
IOSLJZT,O,O,O,X,O,X,O,X,X,X
IOSLZTJ,O,O,O,X,X,O,X,X,X,O
IOSLZJT,O,O,O,X,O,X,O,X,X,X
IOSJTLZ,O,O,O,X,O,X,X,X,X,X
