sequence,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeOFJvhFXhBVnBaoB5?oBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFxhBXjBimB+?tB0qBlsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFVnBGjBilB/?tBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFOmBxiBFnBX?oB0qBSyB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MelAJvhFUiB5oB/qBO?rBysBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnB6?tBzsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFTjB/qBarBF?nBGtB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF5oB/qBFmBy?sBmqBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeRCJvhFcoB/qBFmBT?nBSyBmqB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexBJvhFXjBTlBimB+?tBlsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnBC?tBTtB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF/qBFmBxsBT?tBmqBCtB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeKFJvhFUiBFmBxsBX?tBzqBGtB
ITJZSLO,O,X,O,X,O,X,X,X,X,X,X,X,X
ITJZSOL,O,X,O,O,O,X,X,X,X,X,X,X,X
ITJZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJZOSL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
ITJOLZS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJOZSL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSLJZO,O,X,O,X,O,X,O,O,X,X,X,X,X
ITSLJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
ITSLZJO,O,X,O,X,X,X,O,O,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ITSLOJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ITSJLZO,O,X,O,X,O,X,O,O,X,X,X,X,X
ITSJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
ITSJZLO,O,X,O,X,O,X,X,O,X,X,X,X,X
ITSJZOL,O,X,O,O,O,X,X,X,X,X,X,O,X
ITSJOLZ,O,X,O,X,O,O,O,X,X,X,X,X,X
ITSJOZL,O,X,O,X,O,X,X,X,X,X,X,O,X
ITSZLJO,O,X,O,X,X,X,X,O,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ITSZJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
ITSZJOL,O,X,O,O,X,X,X,X,X,X,X,O,X
ITSZOLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ITSZOJL,O,X,O,O,X,X,X,X,X,X,X,O,X
ITSOLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITSOLZJ,O,X,O,X,X,O,X,O,X,X,X,O,X
ITSOJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITSOJZL,O,X,O,X,X,X,X,X,X,X,X,O,X
ITSOZLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ITSOZJL,O,X,O,X,X,X,X,X,X,X,X,O,X
ITZLJSO,O,X,O,O,X,X,X,X,X,X,X,X,O
ITZLJOS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZLSJO,O,X,O,O,X,X,X,X,X,X,X,X,O
ITZLSOJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ITZLOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ITZJLSO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJSLO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZJSOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJOSL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITZSJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZSJOL,O,X,O,O,X,X,X,X,X,X,X,O,X
ITZSOLJ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITZSOJL,O,X,O,O,X,X,X,X,X,X,X,O,X
ITZOLJS,O,X,O,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZOJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZOSJL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLSZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLZJS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
ITOJLZS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOJZSL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOSLZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOZJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOZSJL,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTJSZO,O,O,O,O,O,X,X,X,X,X,X,X,O
ILTJSOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
ILTJZSO,O,O,O,O,O,X,X,X,X,X,X,X,O
ILTJZOS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILTJOSZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ILTJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X
ILTSJZO,O,X,O,O,O,X,X,O,X,X,X,X,O
ILTSJOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
ILTSZJO,O,X,O,O,X,X,X,O,X,X,X,X,O
ILTSZOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
ILTSOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,O,X,X,X,X,O
ILTZJSO,O,O,O,O,O,X,X,X,X,X,X,X,O
ILTZJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,O,O,X,X,X,O,X,X,X,X,O
ILTZSOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
ILTZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ILTOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILTOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ILJTSZO,O,O,O,X,O,X,X,X,X,O,X,X,O
ILJTSOZ,O,O,O,X,O,O,X,X,X,O,O,X,X
ILJTZSO,O,O,O,X,O,X,X,X,X,O,X,X,O
ILJTZOS,O,O,X,X,X,X,X,X,X,O,X,X,X
ILJTOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
ILJTOZS,X,O,X,X,X,X,X,X,X,O,O,X,X
ILJSTZO,X,O,O,X,O,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,O,X,O,O,X,X,X,X,O,X,X
ILJSZTO,X,O,X,X,O,X,X,O,X,X,X,X,X
ILJSZOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,O,X,X,X,X,O,X,X,X
ILJSOZT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJZTSO,O,O,O,X,O,X,X,X,X,X,X,X,O
ILJZTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJZSTO,O,O,X,X,O,X,X,O,X,X,X,X,X
ILJZSOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJZOTS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJZOST,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X,X,O,X,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X,O,X,X,X
ILJOSZT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,X,X,O,O,O,X,X,O,X,X,X,X,O
ILSTJOZ,X,X,O,O,O,X,X,X,X,X,X,X,X
ILSTZJO,X,X,O,O,X,X,X,O,X,X,X,X,O
ILSTZOJ,X,X,O,O,X,X,X,O,O,X,X,O,O
ILSTOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,X,X,X,O,X,X,X,O,O,X,X,O,O
ILSJTZO,X,O,O,X,O,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSJZTO,X,O,X,O,O,X,X,O,X,X,X,X,X
ILSJZOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSJOZT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSZTJO,X,X,O,O,X,X,X,O,X,X,X,X,O
ILSZTOJ,X,X,O,O,X,X,X,O,O,X,X,O,O
ILSZJTO,X,O,X,O,O,X,X,O,X,X,X,X,X
ILSZJOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,X,X,X,O,O,X,X,X,X
ILSZOJT,X,O,X,O,X,X,X,X,O,X,X,X,X
ILSOTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,O,O,X,X,X,X
ILSOJTZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,O,X,X,X,O,O,X,X,X,X
ILSOZJT,X,X,X,O,X,X,X,X,O,X,X,X,X
ILZTJSO,O,O,O,O,O,X,X,X,X,X,X,X,O
ILZTJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,X,O,O,X,X,X,O,X,X,X,X,O
ILZTSOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
ILZTOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ILZJTSO,O,O,O,O,O,X,X,X,X,X,X,X,O
ILZJTOS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZJSTO,O,O,X,O,O,X,X,O,X,X,X,X,X
ILZJSOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ILZJOTS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZJOST,O,O,X,O,O,X,X,X,X,X,X,X,X
ILZSTJO,O,X,O,O,X,X,X,O,X,X,X,X,O
ILZSTOJ,O,X,O,O,X,X,X,O,O,X,X,O,O
ILZSJTO,O,O,X,O,O,X,X,O,X,X,X,X,X
ILZSJOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,O,O,X,X,X,X
ILZSOJT,O,O,X,O,X,X,X,X,O,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,O,O,X,X,X,X,O,X,X,X,O
ILZOJTS,O,O,X,O,X,X,X,X,X,X,X,X,X
ILZOJST,O,O,X,O,O,X,X,X,O,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,O,O,X,X,X,X
ILZOSJT,O,O,X,O,X,X,X,X,O,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOTZJS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,O,X,X,X,X,X,X,X,X,X,O
ILOJTSZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ILOJTZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ILOJSTZ,O,X,X,X,O,X,X,X,X,O,X,X,X
ILOJSZT,O,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,O,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,O,O,X,X,X,X
ILOSJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,X,X,O,O,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X,X,O,X,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,O,X,X,X,O
ILOZJTS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,O,X,X,O,X,X,X,O,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X,O,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X,O,X,X,X,X
IJTLSZO,O,O,X,X,O,X,X,X,X,O,X,X,X
IJTLSOZ,O,O,X,X,O,O,X,X,X,O,O,X,X
IJTLZSO,O,O,X,X,O,X,X,X,X,O,X,X,X
IJTLZOS,O,O,X,X,X,X,X,X,X,O,X,X,X
IJTLOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
IJTLOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
IJTSLZO,O,O,X,X,O,X,O,X,X,O,X,X,X
IJTSLOZ,O,O,X,X,O,O,O,X,X,O,O,X,X
IJTSZLO,O,O,X,X,O,X,X,X,X,O,X,X,X
IJTSZOL,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,O,O,O,X,X,O,X,X,X
IJTSOZL,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
IJTOLZS,O,X,X,X,X,O,X,X,X,O,X,X,X
IJTOSLZ,O,X,X,X,X,O,O,X,X,O,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,O,X,X,O,X,X,X,X,O,X,X,O
IJLTSOZ,O,O,X,X,O,O,X,X,X,O,O,X,X
IJLTZSO,O,O,X,X,O,X,X,X,X,O,X,X,O
IJLTZOS,O,O,X,X,X,X,X,X,X,O,X,X,X
IJLTOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
IJLTOZS,X,O,X,X,X,X,X,X,X,O,O,X,X
IJLSTZO,X,O,X,X,O,X,X,O,X,X,X,X,X
IJLSTOZ,X,X,X,X,O,O,X,X,X,X,O,X,X
IJLSZTO,X,O,X,X,O,X,X,O,X,X,X,X,X
IJLSZOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,O,X,X,X,X,O,X,X,X
IJLSOZT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLZTSO,O,O,X,X,O,X,X,X,X,X,X,X,O
IJLZTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLZSTO,O,O,X,X,O,X,X,O,X,X,X,X,X
IJLZSOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLZOTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,X,O,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X,O,X,X,X
IJLOSZT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLOZST,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,X,O,X,O,O,X,X,X,X,X
IJSTLOZ,O,X,X,X,O,O,O,X,X,X,O,X,X
IJSTZLO,O,X,X,X,O,X,X,O,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,X,X,X,X,X,O,X
IJSTOLZ,O,X,X,X,O,O,O,X,X,X,X,X,X
IJSTOZL,O,X,X,X,O,X,X,X,X,X,X,O,X
IJSLTZO,X,O,X,X,O,X,O,O,X,X,X,X,X
IJSLTOZ,X,X,X,X,O,O,O,X,X,X,O,X,X
IJSLZTO,X,O,X,X,O,X,O,O,X,X,X,X,X
IJSLZOT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,O,X,O,X,X,O,X,X,X
IJSLOZT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSZTLO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,O,X,X,X,X,X,X,O,X
IJSZLTO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJSZLOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSZOTL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSZOLT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,O,O,X,X,X,X,X,X
IJSOTZL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,O,O,O,X,X,O,X,X,X
IJSOLZT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSOZTL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZTOLS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZLTSO,O,O,X,X,O,X,X,X,X,X,X,X,O
IJZLTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZLOTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZSTLO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,O,X,X,X,X,X,X,O,X
IJZSLTO,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZSLOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZSOTL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZSOLT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZOLTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZOSTL,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZOSLT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
IJOTLZS,O,X,X,X,X,O,X,X,X,O,X,X,X
IJOTSLZ,O,X,X,X,X,O,O,X,X,O,X,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
IJOLTZS,O,X,X,X,X,O,X,X,X,O,X,X,X
IJOLSTZ,O,X,X,X,O,O,X,X,X,O,X,X,X
IJOLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,O,O,O,X,X,X,X,X,X
IJOSTZL,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,O,O,O,X,X,O,X,X,X
IJOSLZT,O,X,X,X,O,X,O,X,X,X,X,X,X
IJOSZTL,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,O,X,O,X,O,X,O,O,X,X,X,X,X
ISTLJOZ,O,X,O,X,O,X,O,X,X,X,X,X,X
ISTLZJO,O,X,O,X,X,X,O,O,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,O,O,X,X,O,X
ISTLOJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,X,X,O,O,X,X,O,X
ISTJLZO,O,X,O,X,O,X,O,O,X,X,X,X,X
ISTJLOZ,O,X,O,X,O,X,O,X,X,X,X,X,X
ISTJZLO,O,X,O,X,O,X,X,O,X,X,X,X,X
ISTJZOL,O,X,O,X,O,X,X,X,X,X,X,O,X
ISTJOLZ,O,X,O,X,O,X,O,X,X,X,X,X,X
ISTJOZL,O,X,O,X,O,X,X,X,X,X,X,O,X
ISTZLJO,O,X,X,X,X,X,X,O,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ISTZJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X,X,X,O,X
ISTZOLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ISTZOJL,O,X,X,X,X,X,X,X,X,X,X,O,X
ISTOLJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,O,O,X,X,O,X
ISTOJLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X,X,X,X,O,X
ISTOZLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
ISTOZJL,O,X,O,X,X,X,X,X,X,X,X,O,X
ISLTJZO,X,X,O,X,O,X,O,O,X,X,X,X,O
ISLTJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ISLTZJO,X,X,O,X,X,X,O,O,X,X,X,X,O
ISLTZOJ,X,X,X,X,X,X,X,O,O,X,X,O,O
ISLTOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISLTOZJ,X,X,X,X,X,X,X,O,O,X,X,O,O
ISLJTZO,X,X,O,X,O,X,O,O,X,X,X,X,X
ISLJTOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ISLJZTO,X,X,X,X,O,X,O,O,X,X,X,X,X
ISLJZOT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLJOZT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLZTJO,X,X,O,X,X,X,O,O,X,X,X,X,O
ISLZTOJ,X,X,X,X,X,X,X,O,O,X,X,O,O
ISLZJTO,X,X,X,X,O,X,O,O,X,X,X,X,X
ISLZJOT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,X,O,O,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLOTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,O,O,X,X,X,X
ISLOJTZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLOJZT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,O,O,X,X,X,X
ISLOZJT,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJTLZO,O,X,O,X,O,X,O,O,X,X,X,X,X
ISJTLOZ,O,X,O,X,O,X,O,X,X,X,X,X,X
ISJTZLO,O,X,O,X,O,X,X,O,X,X,X,X,X
ISJTZOL,O,X,O,X,O,X,X,X,X,X,X,O,X
ISJTOLZ,O,X,O,X,O,X,O,X,X,X,X,X,X
ISJTOZL,O,X,O,X,O,X,X,X,X,X,X,O,X
ISJLTZO,X,X,O,X,O,X,O,O,X,X,X,X,X
ISJLTOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ISJLZTO,X,X,X,X,O,X,O,O,X,X,X,X,X
ISJLZOT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISJLOZT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISJZTLO,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X,X,X,X,O,X
ISJZLTO,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZLOT,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
