sequence,v115@FhB8HeC8HeC8DeD8Jei/IvhFGhBTiBfqBUrBRsBlqB,v115@FhB8HeC8HeC8DeD8JeT/IvhF0gBqnBVqB3mBmmBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRhBqnB8rB3qBFrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFigBGiBfrBUqBRsBlrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFCiBXlB2rB0nBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFcmBenBqnBXlBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRmB1sBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Je2EJvhFRmB1sBzkBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Jei/IvhFfqBxlB0nBuqBFnBTrB
TSZLJOI,X,X,O,X,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,X,X,X,O
TSZLOJI,X,X,O,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X,X,O,X
TSZJIOL,X,X,X,X,X,X,O,O,X
TSZJLIO,X,X,O,X,X,X,X,X,X
TSZJLOI,X,X,O,X,O,X,X,X,X
TSZJOIL,X,X,X,X,X,X,O,X,X
TSZJOLI,X,X,O,X,O,X,X,X,X
TSZOILJ,X,O,X,X,X,X,X,X,O
TSZOIJL,X,O,X,X,O,X,O,X,X
TSZOLIJ,X,O,X,X,X,X,X,X,O
TSZOLJI,X,X,O,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X,O,X,X
TSZOJLI,X,X,O,X,O,X,X,X,X
TSOILJZ,X,X,X,X,X,O,O,X,X
