sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TSOJILZ,X,O,O,O,X,X
TSOJIZL,X,X,O,O,X,O
TSOJLIZ,X,O,O,O,X,X
TSOJLZI,X,O,O,O,X,X
TSOJZIL,X,X,O,O,X,O
TSOJZLI,X,X,O,O,X,O
TSOZILJ,X,X,O,X,X,O
TSOZIJL,X,X,O,O,X,O
TSOZLIJ,X,X,O,X,X,O
TSOZLJI,X,X,O,X,X,O
TSOZJIL,X,X,O,O,X,O
TSOZJLI,X,X,O,O,X,O
TZILJSO,O,X,O,X,O,O
TZILJOS,O,X,O,X,X,X
TZILSJO,O,O,O,X,O,O
TZILSOJ,O,O,O,X,X,O
TZILOJS,O,X,O,X,X,X
TZILOSJ,O,O,O,X,X,O
TZIJLSO,O,X,O,O,O,O
TZIJLOS,O,X,O,O,X,X
TZIJSLO,X,X,O,O,O,O
TZIJSOL,X,X,O,O,O,O
TZIJOLS,O,X,O,O,X,X
TZIJOSL,X,X,O,O,X,X
TZISLJO,X,X,O,X,O,O
TZISLOJ,X,X,O,X,X,O
TZISJLO,X,X,O,O,O,O
TZISJOL,X,X,O,O,O,O
TZISOLJ,X,X,O,X,X,O
TZISOJL,X,X,O,O,X,O
TZIOLJS,O,X,O,X,X,X
TZIOLSJ,O,O,O,X,X,O
TZIOJLS,O,X,O,O,X,X
TZIOJSL,X,X,O,O,X,X
TZIOSLJ,X,X,O,X,X,O
TZIOSJL,X,X,O,O,X,O
TZLIJSO,O,X,O,X,O,O
TZLIJOS,O,X,O,X,X,X
TZLISJO,O,O,O,X,O,O
TZLISOJ,O,O,O,X,X,O
TZLIOJS,O,X,O,X,X,X
TZLIOSJ,O,O,O,X,X,O
TZLJISO,O,X,O,X,O,O
TZLJIOS,O,X,O,X,X,X
TZLJSIO,O,X,O,X,O,O
TZLJSOI,O,X,O,X,O,O
TZLJOIS,O,X,O,X,X,X
TZLJOSI,O,X,O,X,X,X
TZLSIJO,O,O,O,X,O,O
TZLSIOJ,O,O,O,X,X,O
TZLSJIO,O,O,O,X,O,O
TZLSJOI,O,O,O,X,O,O
TZLSOIJ,O,O,O,X,X,O
TZLSOJI,O,O,O,X,X,O
TZLOIJS,O,X,O,X,X,X
TZLOISJ,O,O,O,X,X,O
TZLOJIS,O,X,O,X,X,X
TZLOJSI,O,X,O,X,X,X
TZLOSIJ,O,O,O,X,X,O
TZLOSJI,O,O,O,X,X,O
TZJILSO,O,X,O,O,O,O
TZJILOS,O,X,O,O,X,X
