sequence,v115@EhC8HeB8HeC8BeB8CeB8Jem/IvhFRhBTkBUmBFnBXq?BSxB,v115@EhC8HeB8HeC8BeB8CeB8JeOEJvhFXgBVmBUiBzpBRr?BSxB,v115@EhC8HeB8HeC8BeB8CeB8Jex/IvhF8lBzhB/pBaqB+s?BlrB,v115@EhC8HeB8HeC8BeB8CeB8JeKEJvhFzfBRhBUmBGnBXq?BVxB,v115@EhC8HeB8HeC8BeB8CeB8Jex/IvhFVmBUiB/pBaqBGr?BTsB,v115@EhC8HeB8HeC8BeB8CeB8Jei/IvhFzhBRlB+sB3lB0p?BlrB,v115@EhC8HeB8HeC8BeB8CeB8JeyEJvhFfmBzmB+sBxpB0p?BlrB,v115@EhC8HeB8HeC8BeB8CeB8Je0/IvhF/pB1qBxmBurBTs?BiqB,v115@EhC8HeB8HeC8BeB8CeB8Jei/IvhFRhBFlBXmBTnB0p?BWxB,v115@EhC8HeB8HeC8BeB8CeB8JeKEJvhFRhBFlBXmB8rB+s?BzpB,v115@EhC8HeB8HeC8BeB8CeB8JeVHJvhFUmBxpBTsB/pBaq?BGrB,v115@EhC8HeB8HeC8BeB8CeB8JeUBJvhF/pBFlB6sBRrBmp?BzrB
ITZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITZOSJL,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,O,X,X,X,X
ITOLZJS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X,X,X,O,X
ITOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,O,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,X,X,X,O,X
ITOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,X,O,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,O,X,X,X,X
ITOSZLJ,X,O,X,X,X,X,X,O,X,X,O,X
ITOSZJL,X,O,X,X,X,X,X,O,X,X,O,X
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X,X,O,X
ITOZJLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X,X,X,X,O,X
ITOZSLJ,X,O,X,X,X,X,X,O,X,X,O,X
ITOZSJL,X,O,X,X,X,X,X,O,X,X,O,X
ILTJSZO,O,O,X,O,X,X,X,X,X,X,X,X
ILTJSOZ,O,O,X,O,X,X,O,X,X,X,X,X
ILTJZSO,O,O,X,O,X,X,X,X,X,O,X,X
ILTJZOS,O,O,X,O,X,X,X,X,X,X,X,X
ILTJOSZ,O,O,X,O,X,X,O,X,X,X,X,X
ILTJOZS,O,O,X,O,X,X,X,X,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X,X,X,X,X,O
ILTSJOZ,O,O,X,O,X,X,O,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X,X,X,X,X,X,O
ILTSZOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILTSOJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,X,X,X,X,X,O
ILTZJSO,O,O,X,O,X,X,X,X,X,X,X,X
ILTZJOS,O,O,X,O,X,X,X,X,X,X,X,X
ILTZSJO,O,O,X,O,X,X,X,X,X,X,X,O
ILTZSOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILTZOJS,O,O,X,O,X,X,X,X,X,X,X,X
ILTZOSJ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOJZS,O,O,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTOZJS,O,O,X,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,O,X,O,X,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJTZSO,X,O,X,X,X,X,X,X,X,O,X,X
ILJTZOS,X,O,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,X,X,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X,X,X,O
ILJSTOZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,X,X,X,X,X,O
ILJSZOT,X,X,X,X,X,X,O,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,O,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,O,X,X,X,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X,O,X,X
ILJZTOS,X,O,X,X,X,X,X,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,X,X,X,O,X,O
ILJZSOT,X,X,X,X,X,X,O,X,X,O,X,X
ILJZOTS,X,O,X,X,X,X,X,X,X,X,X,X
ILJZOST,X,O,X,X,X,X,O,X,X,O,X,X
ILJOTSZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJOSZT,X,O,X,X,X,X,O,X,X,X,X,X
ILJOZTS,X,O,X,X,X,X,X,X,X,X,X,X
ILJOZST,X,O,X,X,X,X,O,X,X,X,X,X
ILSTJZO,O,O,X,O,X,X,X,X,X,X,X,O
ILSTJOZ,O,O,X,O,X,X,O,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X,X,X,X,X,X,O
ILSTZOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSTOJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSJTZO,O,O,X,X,X,X,X,X,X,X,X,O
ILSJTOZ,O,O,X,X,X,X,O,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,X,X,X,O
ILSJZOT,O,X,X,X,X,X,O,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,O,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,O,X,X,X,X,X
ILSZTJO,O,O,X,O,X,X,X,X,X,X,X,O
ILSZTOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSZJTO,O,O,X,X,X,X,X,X,X,X,X,O
ILSZJOT,O,X,X,O,X,X,O,X,X,X,X,X
ILSZOTJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSZOJT,O,O,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSOJTZ,O,O,X,X,X,X,O,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,O,X,X,X,X,X
ILSOZTJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSOZJT,O,O,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,X,O,X,X,X,X,X,X,X,X
ILZTJOS,O,O,X,O,X,X,X,X,X,X,X,X
ILZTSJO,O,O,X,O,X,X,X,X,X,X,X,O
ILZTSOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILZTOJS,O,O,X,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,O,X,X,X,X,X,X,X,X
ILZJTSO,X,O,X,X,X,X,X,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X,X,X,X,O
ILZJSOT,O,X,X,O,X,X,O,X,X,X,X,X
ILZJOTS,O,O,X,O,X,X,X,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,O,X,X,X,X,X
ILZSTJO,O,O,X,O,X,X,X,X,X,X,X,O
ILZSTOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILZSJTO,O,O,X,X,X,X,X,X,X,X,X,O
ILZSJOT,O,X,X,O,X,X,O,X,X,X,X,X
ILZSOTJ,O,O,X,O,X,X,X,X,X,X,X,O
ILZSOJT,O,O,X,O,X,X,X,X,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,O,X,O,X,X,X,X,X,X,X,X
ILZOJTS,O,O,X,O,X,X,X,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,O,X,X,X,X,X,X,X,O
ILZOSJT,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,X,X,X,X,O,X
ILOJTSZ,O,O,X,X,X,X,O,X,X,X,X,X
ILOJTZS,O,O,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,X,O,X,X,X,X,O,X,X,X,X,X
ILOJSZT,X,O,X,X,X,X,O,X,X,X,X,X
ILOJZTS,O,O,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,O,X,X,X,X,O,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,X,X,X,X,X,X,X,X,X,O
ILOSJTZ,X,O,X,X,X,X,O,X,X,X,X,X
ILOSJZT,X,O,X,X,X,X,O,X,X,X,X,X
ILOSZTJ,X,O,X,X,X,X,X,X,X,X,X,O
ILOSZJT,X,O,X,X,X,X,X,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,X,X,X,X,O,X
ILOZJTS,O,O,X,O,X,X,X,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,X,X,X,X,O,O
ILOZSJT,O,O,X,X,X,X,X,X,X,X,O,X
IJTLSZO,X,O,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,O,O,X,X,X,X,X
IJTLZSO,X,O,X,X,O,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,O,X,X,X,X,X,X
IJTLOSZ,X,X,X,X,X,O,O,X,X,X,X,X
IJTLOZS,X,X,X,X,X,O,X,X,X,X,X,X
IJTSLZO,X,O,O,X,O,X,X,X,X,X,X,X
IJTSLOZ,X,X,O,X,O,O,O,X,X,X,X,X
IJTSZLO,X,O,O,X,O,X,X,X,X,X,X,X
IJTSZOL,X,O,O,X,O,X,X,X,X,X,X,X
IJTSOLZ,X,X,O,X,X,O,O,X,X,X,X,X
IJTSOZL,X,O,O,X,O,X,X,X,X,X,X,X
IJTZLSO,X,O,X,X,O,O,X,X,X,X,X,X
IJTZLOS,X,X,O,X,X,O,X,X,X,X,X,X
IJTZSLO,X,O,O,X,O,O,X,X,X,X,X,X
IJTZSOL,X,O,O,X,O,O,X,X,X,X,X,X
IJTZOLS,X,O,O,X,X,O,X,X,X,X,X,X
IJTZOSL,X,O,O,X,O,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,O,O,X,X,X,X,X
IJTOLZS,X,O,X,X,X,O,X,X,X,X,X,X
IJTOSLZ,X,O,O,X,X,O,O,X,X,X,X,X
IJTOSZL,X,O,O,X,X,X,X,X,X,X,X,X
IJTOZLS,X,O,O,X,X,O,X,X,X,X,X,X
IJTOZSL,X,O,O,X,O,O,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLTZSO,X,O,X,X,X,X,X,X,X,O,X,X
IJLTZOS,X,O,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLTOZS,X,O,X,X,X,X,X,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,O,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,O,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,O,X,X,X,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X,O,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X,X,O,X,X
IJLZSOT,X,X,X,X,X,X,O,X,X,O,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,O,X,X,O,X,X
IJLOTSZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLOTZS,X,O,X,X,X,X,X,X,X,X,X,X
IJLOSTZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLOSZT,X,O,X,X,X,X,O,X,X,X,X,X
IJLOZTS,X,O,X,X,X,X,X,X,X,X,X,X
IJLOZST,X,O,X,X,X,X,O,X,X,X,X,X
IJSTLZO,X,O,O,X,O,X,X,X,O,X,X,X
IJSTLOZ,X,X,O,X,O,X,O,X,O,X,X,X
IJSTZLO,X,O,O,X,O,X,X,X,O,X,X,X
IJSTZOL,X,O,O,X,O,X,X,X,O,X,X,X
IJSTOLZ,X,X,O,X,X,X,O,X,O,X,X,X
IJSTOZL,X,O,O,X,O,X,X,X,X,X,X,X
IJSLTZO,X,X,O,X,O,X,X,X,O,X,X,X
IJSLTOZ,X,X,O,X,O,X,O,X,O,X,X,X
IJSLZTO,X,X,O,X,O,X,X,X,O,X,X,X
IJSLZOT,X,X,O,X,X,X,O,X,O,X,X,X
IJSLOTZ,X,X,X,X,O,X,O,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,O,X,X,X,X,X
IJSZTLO,X,O,O,X,O,X,X,X,O,X,X,X
IJSZTOL,X,O,O,X,O,X,X,X,O,X,X,X
IJSZLTO,X,X,O,X,X,X,X,X,O,X,X,X
IJSZLOT,X,X,O,X,X,X,O,X,O,X,X,X
IJSZOTL,X,X,O,X,X,X,X,X,O,X,X,X
IJSZOLT,X,X,X,X,X,X,O,X,O,X,X,X
IJSOTLZ,X,X,X,X,X,X,O,X,O,X,X,X
IJSOTZL,X,X,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,O,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X,O,X,X,X,X,X
IJSOZTL,X,X,O,X,X,X,X,X,O,X,X,X
IJSOZLT,X,X,X,X,X,X,O,X,O,X,X,X
IJZTLSO,X,O,X,X,X,O,X,X,O,O,X,X
IJZTLOS,X,X,O,X,X,O,X,X,O,X,X,X
IJZTSLO,X,O,O,X,X,O,X,X,O,O,X,X
IJZTSOL,X,O,O,X,X,O,X,X,O,X,X,X
IJZTOLS,X,O,O,X,X,O,X,X,O,X,X,X
IJZTOSL,X,O,O,X,X,O,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,O,X,X,O,O,X,X
IJZLTOS,X,X,O,X,X,O,X,X,O,X,X,X
IJZLSTO,X,X,X,X,X,O,X,X,O,O,X,X
IJZLSOT,X,X,X,X,X,X,O,X,O,O,X,X
IJZLOTS,X,X,X,X,X,O,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,O,X,X,O,X,X
IJZSTLO,X,O,O,X,X,O,X,X,O,O,X,X
IJZSTOL,X,O,O,X,X,O,X,X,O,X,X,X
IJZSLTO,X,X,O,X,X,O,X,X,O,O,X,X
IJZSLOT,X,X,O,X,X,X,O,X,O,O,X,X
IJZSOTL,X,X,O,X,X,X,X,X,O,X,X,X
IJZSOLT,X,X,X,X,X,X,O,X,O,O,X,X
IJZOTLS,X,O,O,X,X,O,X,X,X,X,X,X
IJZOTSL,X,O,O,X,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,O,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,X,O,X,X,O,X,X
IJZOSTL,X,O,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,X,X,X,X,X,O,X,X,O,X,X
IJOTLSZ,X,O,X,X,X,X,O,X,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,O,X,X,X,X,O,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,X,X,X,X,O,X
IJOLTSZ,X,O,X,X,X,X,O,X,X,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,O,X,X,X,X,O,X,X,X,X,X
IJOLSZT,X,O,X,X,X,X,O,X,X,X,X,X
IJOLZTS,X,O,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,O,X,X,X,X,O,X,X,X,X,X
IJOSTLZ,X,O,X,X,X,X,O,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,O,X,X,X,X,X
IJOSLZT,X,O,X,X,X,X,O,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,X,O,X,X,X,X,X
IJOZTLS,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X,X,X,X,X,O,X
IJOZLTS,X,O,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,O,X,X,X,X,X
IJOZSTL,X,O,X,X,X,X,X,X,X,X,O,X
IJOZSLT,X,X,X,X,X,X,O,X,X,X,O,X
ISTLJZO,X,O,X,O,X,X,X,X,O,X,X,O
ISTLJOZ,X,X,X,O,X,X,O,X,O,X,X,X
ISTLZJO,X,O,X,O,X,X,X,X,O,X,X,O
ISTLZOJ,X,X,X,O,X,X,X,O,X,X,X,O
ISTLOJZ,X,X,X,O,X,X,X,X,O,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X,X,X,X,O
ISTJLZO,X,O,X,O,O,X,X,X,O,X,X,X
ISTJLOZ,X,X,X,O,X,X,O,X,O,X,X,X
ISTJZLO,X,O,O,O,O,X,X,X,X,X,X,X
ISTJZOL,X,O,O,O,O,X,X,O,X,X,X,X
ISTJOLZ,X,X,X,O,X,X,O,X,X,X,X,X
ISTJOZL,X,O,X,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,O,X,X,X,X,O,X,X,O
ISTZLOJ,X,X,X,O,X,X,X,O,O,X,X,O
ISTZJLO,X,O,O,O,X,X,X,X,O,X,X,X
ISTZJOL,X,O,O,X,X,X,X,O,X,X,X,X
ISTZOLJ,X,O,X,O,X,X,X,O,O,X,X,X
ISTZOJL,X,O,X,X,X,X,X,O,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X,O,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,O,X,X,X,X
ISTOJLZ,X,O,X,X,O,X,X,X,X,X,X,X
ISTOJZL,X,O,X,X,O,X,X,O,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,O,X,X,X,X
ISTOZJL,X,O,X,X,X,X,X,O,X,X,X,X
ISLTJZO,O,X,O,O,O,X,X,X,O,X,X,O
ISLTJOZ,O,X,X,O,O,X,O,X,O,X,X,X
ISLTZJO,O,X,O,O,X,X,X,X,O,X,X,O
ISLTZOJ,O,X,X,O,X,X,X,X,X,X,X,O
ISLTOJZ,O,X,X,O,O,X,X,X,O,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,X,X,O
ISLJTZO,O,X,O,X,O,X,X,X,X,X,X,O
ISLJTOZ,O,X,O,X,O,X,O,X,X,X,X,X
ISLJZTO,O,X,O,X,O,X,X,X,X,X,X,O
ISLJZOT,O,X,O,X,X,X,O,X,X,X,X,X
ISLJOTZ,X,X,X,X,O,X,O,X,X,X,X,X
ISLJOZT,X,X,O,X,O,X,O,X,X,X,X,X
ISLZTJO,O,X,O,O,X,X,X,X,O,X,X,O
ISLZTOJ,O,X,X,O,X,X,X,X,O,X,X,O
ISLZJTO,O,X,O,X,O,X,X,X,O,X,X,O
ISLZJOT,O,X,O,O,X,X,O,X,O,X,X,X
ISLZOTJ,O,X,X,O,X,X,X,X,O,X,X,O
ISLZOJT,O,X,O,O,O,X,X,X,O,X,X,X
ISLOTJZ,O,X,X,O,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,O,X,X,X,X,X,X,X,O
ISLOJTZ,O,X,X,X,O,X,O,X,X,X,X,X
ISLOJZT,O,X,O,X,O,X,O,X,X,X,X,X
ISLOZTJ,O,X,X,O,X,X,X,X,X,X,X,O
ISLOZJT,O,X,O,O,O,X,X,X,X,X,X,X
ISJTLZO,X,O,O,X,O,X,X,X,O,X,X,X
ISJTLOZ,X,X,O,X,O,X,O,X,O,X,X,X
ISJTZLO,X,O,O,X,O,X,X,X,X,X,X,X
ISJTZOL,X,O,O,X,O,X,X,X,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,O,X,X,X,X,X
ISJTOZL,X,O,O,X,O,X,X,X,X,X,X,X
ISJLTZO,O,X,O,X,O,X,X,X,X,X,X,X
ISJLTOZ,O,X,O,X,O,X,O,X,X,X,X,X
ISJLZTO,O,X,O,X,O,X,X,X,X,X,X,X
ISJLZOT,O,X,O,X,X,X,O,X,X,X,X,X
ISJLOTZ,X,X,X,X,O,X,O,X,X,X,X,X
ISJLOZT,X,X,O,X,X,X,O,X,X,X,X,X
ISJZTLO,O,O,O,X,O,X,X,X,O,X,X,X
ISJZTOL,O,O,O,X,O,X,X,X,X,X,X,X
ISJZLTO,O,X,O,X,X,X,X,X,O,X,X,X
ISJZLOT,O,X,O,X,X,X,O,X,O,X,X,X
ISJZOTL,O,X,O,X,X,X,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,O,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,X,O,X,X,X,X,X
ISJOTZL,X,X,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,O,X,O,X,X,X,X,X
ISJOLZT,X,X,X,X,X,X,O,X,X,X,X,X
ISJOZTL,X,X,O,X,O,X,X,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,O,X,X,X,X,X
ISZTLJO,O,O,X,O,X,X,X,X,O,X,X,X
ISZTLOJ,O,X,X,O,X,X,X,O,O,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,O,X,X,X
ISZTJOL,O,O,O,X,X,X,X,O,X,X,X,X
ISZTOLJ,O,O,X,O,X,X,X,O,O,X,X,X
ISZTOJL,O,O,X,X,X,X,X,O,X,X,X,X
ISZLTJO,O,X,O,O,X,X,X,X,O,X,X,X
ISZLTOJ,O,X,X,O,X,X,X,X,O,X,X,X
ISZLJTO,O,X,O,X,X,X,X,X,O,X,X,X
ISZLJOT,O,X,O,O,X,X,O,X,O,X,X,X
ISZLOTJ,O,X,X,O,X,X,X,X,O,X,X,X
ISZLOJT,O,X,O,O,X,X,X,X,O,X,X,X
ISZJTLO,O,O,O,X,O,X,X,X,O,X,X,X
ISZJTOL,O,O,O,X,O,X,X,X,X,X,X,X
ISZJLTO,O,X,O,X,X,X,X,X,O,X,X,X
ISZJLOT,O,X,O,O,X,X,O,X,O,X,X,X
ISZJOTL,O,X,O,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,O,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,O,O,X,X,X
ISZOTJL,O,O,X,X,X,X,X,O,X,X,X,X
ISZOLTJ,O,X,X,O,X,X,X,X,O,X,X,X
ISZOLJT,O,X,X,O,X,X,X,X,O,X,X,X
ISZOJTL,O,O,O,X,O,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X,X,O,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,O,X,X,X,X
ISOTJLZ,X,O,X,X,O,X,X,X,X,X,X,X
ISOTJZL,X,O,X,X,O,X,X,O,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,X,O,X,X,O,X
ISOTZJL,X,O,X,X,X,X,X,O,X,X,O,X
ISOLTJZ,O,O,X,X,O,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,O,X,X,X,X
ISOLJTZ,O,O,X,X,O,X,O,X,X,X,X,X
ISOLJZT,O,X,X,X,O,X,O,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,O,X,O,X,X,X,X,X
ISOJTZL,X,O,X,X,O,X,X,O,X,X,X,X
ISOJLTZ,O,O,X,X,O,X,O,X,X,X,X,X
ISOJLZT,O,X,X,X,O,X,O,X,X,X,X,X
ISOJZTL,O,O,O,X,O,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,O,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,O,O,X,O,X
ISOZTJL,O,O,X,X,X,X,X,O,X,X,O,X
ISOZLTJ,O,X,X,X,X,X,X,X,O,X,O,X
ISOZLJT,O,X,X,X,X,X,X,X,O,X,O,X
ISOZJTL,O,O,O,X,O,X,X,X,X,X,O,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,O,X
IZTLJSO,X,O,X,O,X,O,X,X,O,X,X,X
IZTLJOS,X,X,X,O,X,O,X,X,O,X,X,X
IZTLSJO,O,O,X,O,X,X,X,X,O,X,X,X
IZTLSOJ,O,X,X,O,X,X,X,X,O,X,X,X
IZTLOJS,O,O,X,O,X,X,X,X,O,X,X,X
IZTLOSJ,X,O,X,O,X,X,X,X,O,X,X,X
IZTJLSO,X,O,X,O,X,O,X,X,O,X,X,X
IZTJLOS,X,X,O,O,X,O,X,X,O,X,X,X
IZTJSLO,O,O,X,O,X,O,X,X,O,X,X,X
IZTJSOL,O,O,O,X,X,O,X,X,O,X,X,X
IZTJOLS,O,O,O,X,X,O,X,X,O,X,X,X
IZTJOSL,O,O,O,X,X,O,X,X,X,X,X,X
IZTSLJO,O,O,X,O,X,X,X,X,O,X,X,X
IZTSLOJ,O,X,X,O,X,X,X,X,O,X,X,X
IZTSJLO,O,O,X,O,X,X,X,X,O,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,O,X,X,X,X,O,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,O,X,O,X,X,X,X,O,X,X,X
IZTOLSJ,X,O,X,O,X,X,X,X,O,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,O,X,X,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,O,X,O,X,O,X,X,O,X,X,X
IZLTJOS,O,X,X,O,X,O,X,X,O,X,X,X
IZLTSJO,O,O,X,O,X,X,X,X,O,X,X,X
IZLTSOJ,O,X,X,O,X,X,X,X,O,X,X,X
