sequence,v115@OhA8HeE8CeF8Je0/IvhFxgBXiBTjB2pBVrBSvB,v115@OhA8HeE8CeF8JeFBJvhFXiBTjBxkBmkB0pBCrB,v115@OhA8HeE8CeF8JeKEJvhFclBxhBTjBlmB3qBupB,v115@OhA8HeE8CeF8Jei/IvhFXiBTjBRlBGmB0pBlqB,v115@OhA8HeE8CeF8Jei/IvhFFhBXiBTjB0pBxqBGqB,v115@OhA8HeE8CeF8JeKEJvhFUgBFhBXiBTjBxqBWvB
IOLTZSJ,X,O,O,X,O,O
IOLJTSZ,X,O,O,X,X,O
IOLJTZS,X,X,X,X,X,O
IOLJSTZ,X,O,X,X,X,O
IOLJSZT,X,X,X,X,X,O
IOLJZTS,X,X,X,X,X,O
IOLJZST,X,X,X,X,X,O
IOLSTJZ,X,O,O,X,X,O
IOLSTZJ,X,O,O,X,O,O
IOLSJTZ,X,O,X,X,X,O
IOLSJZT,X,X,X,X,X,O
IOLSZTJ,X,O,O,X,O,O
IOLSZJT,X,O,X,X,O,O
IOLZTJS,X,O,X,X,O,O
IOLZTSJ,X,O,O,X,O,O
IOLZJTS,X,O,X,X,O,O
IOLZJST,X,O,X,X,O,O
IOLZSTJ,X,O,X,X,O,O
IOLZSJT,X,O,X,X,O,O
IOJTLSZ,O,X,O,X,X,O
IOJTLZS,O,X,X,X,X,O
IOJTSLZ,O,X,O,X,X,O
IOJTSZL,O,X,O,X,O,X
IOJTZLS,O,X,X,X,O,X
IOJTZSL,O,X,X,X,O,X
IOJLTSZ,X,X,O,X,X,O
IOJLTZS,X,X,X,X,X,O
IOJLSTZ,X,X,X,X,X,O
IOJLSZT,X,X,X,X,X,O
IOJLZTS,X,X,X,X,X,O
IOJLZST,X,X,X,X,X,O
IOJSTLZ,O,X,X,X,X,O
IOJSTZL,O,X,X,X,O,X
IOJSLTZ,X,X,X,X,X,O
IOJSLZT,O,X,X,X,X,O
IOJSZTL,O,X,X,X,O,X
IOJSZLT,O,X,X,X,O,X
IOJZTLS,O,X,X,X,O,X
IOJZTSL,O,X,X,X,O,X
IOJZLTS,X,X,X,X,O,X
IOJZLST,O,X,X,X,O,X
IOJZSTL,O,X,X,X,O,X
IOJZSLT,O,X,X,X,O,X
IOSTLJZ,O,O,O,O,X,O
IOSTLZJ,X,O,O,O,O,O
IOSTJLZ,O,X,O,O,X,O
IOSTJZL,O,X,O,X,O,X
IOSTZLJ,X,O,O,O,O,O
IOSTZJL,O,O,O,O,O,X
IOSLTJZ,O,O,O,X,X,O
IOSLTZJ,X,O,O,X,O,O
IOSLJTZ,X,O,X,X,X,O
IOSLJZT,O,X,X,X,X,O
IOSLZTJ,X,O,O,X,O,O
IOSLZJT,X,O,X,X,O,O
IOSJTLZ,O,X,X,X,X,O
IOSJTZL,O,X,X,X,O,X
IOSJLTZ,X,X,X,X,X,O
IOSJLZT,O,X,X,X,X,O
IOSJZTL,O,X,X,X,O,X
IOSJZLT,O,X,X,X,O,X
IOSZTLJ,X,O,O,O,O,O
IOSZTJL,O,O,O,O,O,X
IOSZLTJ,X,O,O,O,O,O
IOSZLJT,X,O,X,O,O,O
IOSZJTL,O,O,X,X,O,X
IOSZJLT,O,O,X,O,O,X
IOZTLJS,X,O,X,O,O,O
IOZTLSJ,X,O,O,O,O,O
IOZTJLS,X,X,X,O,O,X
IOZTJSL,X,O,X,O,O,X
IOZTSLJ,X,O,O,O,O,O
IOZTSJL,X,O,O,O,O,X
IOZLTJS,X,O,X,O,O,O
IOZLTSJ,X,O,O,O,O,O
IOZLJTS,X,O,X,X,O,O
IOZLJST,X,O,X,O,O,O
IOZLSTJ,X,O,X,O,O,O
IOZLSJT,X,O,X,O,O,O
IOZJTLS,X,X,X,X,O,X
IOZJTSL,X,O,X,X,O,X
IOZJLTS,X,O,X,X,O,X
IOZJLST,X,O,X,O,O,X
IOZJSTL,X,O,X,X,O,X
IOZJSLT,X,O,X,O,O,X
IOZSTLJ,X,O,X,O,O,O
IOZSTJL,X,O,X,O,O,X
IOZSLTJ,X,O,X,O,O,O
IOZSLJT,X,O,X,O,O,O
IOZSJTL,X,O,X,X,O,X
IOZSJLT,X,O,X,O,O,X
LTIJSZO,O,X,O,X,X,O
LTIJSOZ,O,O,O,O,X,O
LTIJZSO,O,X,X,X,X,O
LTIJZOS,O,X,X,X,X,O
LTIJOSZ,O,O,O,O,X,O
LTIJOZS,O,X,X,X,X,O
LTISJZO,O,X,O,X,X,O
LTISJOZ,O,O,O,O,X,O
LTISZJO,X,O,O,X,X,O
LTISZOJ,X,O,O,O,X,O
LTISOJZ,O,O,O,O,X,O
LTISOZJ,X,O,O,O,X,O
LTIZJSO,X,O,X,X,X,O
LTIZJOS,X,O,X,X,X,O
LTIZSJO,X,O,O,X,X,O
LTIZSOJ,X,O,O,O,X,O
LTIZOJS,X,O,X,X,X,O
LTIZOSJ,X,O,O,O,X,O
LTIOJSZ,O,O,O,O,X,O
LTIOJZS,O,X,X,X,X,O
LTIOSJZ,O,O,O,O,X,O
LTIOSZJ,X,O,O,O,X,O
LTIOZJS,X,O,X,X,X,O
LTIOZSJ,X,O,O,O,X,O
LTJISZO,O,X,O,X,X,X
LTJISOZ,O,O,O,X,X,X
LTJIZSO,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X
LTJIOSZ,O,O,O,X,X,X
LTJIOZS,O,X,X,X,X,X
LTJSIZO,O,X,O,X,X,X
LTJSIOZ,O,O,O,X,X,X
LTJSZIO,O,O,O,X,X,X
LTJSZOI,O,O,O,X,X,X
LTJSOIZ,O,O,O,X,X,X
LTJSOZI,O,O,O,X,X,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,X
LTJZSIO,O,O,X,X,X,X
LTJZSOI,O,O,X,X,X,X
LTJZOIS,O,O,X,X,X,X
LTJZOSI,O,O,X,X,X,X
LTJOISZ,O,O,O,X,X,X
LTJOIZS,O,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X
LTJOSZI,O,O,O,X,X,X
LTJOZIS,O,O,X,X,X,X
LTJOZSI,O,O,X,X,X,X
LTSIJZO,O,X,O,X,X,O
LTSIJOZ,O,O,O,O,X,O
LTSIZJO,X,O,O,X,X,O
LTSIZOJ,X,O,O,O,X,O
LTSIOJZ,O,O,O,O,X,O
LTSIOZJ,X,O,O,O,X,O
LTSJIZO,O,X,O,X,X,O
LTSJIOZ,O,O,O,X,X,O
LTSJZIO,O,O,O,X,X,X
LTSJZOI,O,O,O,X,X,X
LTSJOIZ,O,O,O,X,X,O
LTSJOZI,O,O,O,X,X,X
LTSZIJO,X,O,O,O,X,O
LTSZIOJ,X,O,O,O,X,O
LTSZJIO,X,O,O,X,X,X
LTSZJOI,X,O,O,X,X,X
LTSZOIJ,X,O,O,O,X,O
LTSZOJI,X,O,O,X,X,X
LTSOIJZ,O,O,O,O,X,O
LTSOIZJ,X,O,O,O,X,O
LTSOJIZ,O,O,O,X,X,O
LTSOJZI,O,O,O,X,X,X
LTSOZIJ,X,O,O,O,X,O
LTSOZJI,X,O,O,X,X,X
LTZIJSO,X,O,X,O,X,X
LTZIJOS,X,O,X,O,X,X
LTZISJO,X,O,O,O,X,X
LTZISOJ,X,O,O,O,X,X
LTZIOJS,X,O,X,O,X,X
LTZIOSJ,X,O,O,O,X,X
LTZJISO,X,O,X,O,X,X
LTZJIOS,X,O,X,O,X,X
LTZJSIO,X,O,X,X,X,X
LTZJSOI,X,O,X,X,X,X
LTZJOIS,X,O,X,O,X,X
LTZJOSI,X,O,X,X,X,X
LTZSIJO,X,O,O,O,X,X
LTZSIOJ,X,O,O,O,X,X
LTZSJIO,X,O,O,X,X,X
LTZSJOI,X,O,O,X,X,X
LTZSOIJ,X,O,O,O,X,X
LTZSOJI,X,O,O,X,X,X
LTZOIJS,X,O,X,O,X,X
LTZOISJ,X,O,O,O,X,X
LTZOJIS,X,O,X,O,X,X
LTZOJSI,X,O,X,X,X,X
LTZOSIJ,X,O,O,O,X,X
LTZOSJI,X,O,O,X,X,X
LTOIJSZ,O,O,O,O,X,O
LTOIJZS,O,X,X,X,X,O
LTOISJZ,O,O,O,O,X,O
LTOISZJ,X,O,O,O,X,O
LTOIZJS,X,O,X,X,X,O
LTOIZSJ,X,O,O,O,X,O
LTOJISZ,O,O,O,X,X,X
LTOJIZS,O,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X
LTOJSZI,O,O,O,X,X,X
LTOJZIS,O,O,X,X,X,X
LTOJZSI,O,O,X,X,X,X
LTOSIJZ,O,O,O,O,X,O
LTOSIZJ,X,O,O,O,X,O
LTOSJIZ,O,O,O,X,X,O
LTOSJZI,O,O,O,X,X,X
LTOSZIJ,X,O,O,O,X,O
LTOSZJI,X,O,O,X,X,X
LTOZIJS,X,O,X,O,X,X
LTOZISJ,X,O,O,O,X,X
LTOZJIS,X,O,X,O,X,X
LTOZJSI,X,O,X,X,X,X
LTOZSIJ,X,O,O,O,X,X
LTOZSJI,X,O,O,X,X,X
LITJSZO,X,X,O,X,X,O
LITJSOZ,X,O,O,X,X,O
LITJZSO,X,X,X,X,X,O
LITJZOS,X,X,X,X,X,O
LITJOSZ,X,O,O,X,X,O
LITJOZS,X,X,X,X,X,O
LITSJZO,X,X,O,X,X,O
LITSJOZ,X,O,O,X,X,O
LITSZJO,X,O,O,X,O,O
LITSZOJ,X,O,O,X,O,O
LITSOJZ,X,O,O,X,X,O
LITSOZJ,X,O,O,X,O,O
LITZJSO,X,O,X,X,O,O
LITZJOS,X,O,X,X,O,O
LITZSJO,X,O,O,X,O,O
LITZSOJ,X,O,O,X,O,O
LITZOJS,X,O,X,X,O,O
LITZOSJ,X,O,O,X,O,O
LITOJSZ,X,O,O,X,X,O
LITOJZS,X,X,X,X,X,O
LITOSJZ,X,O,O,X,X,O
LITOSZJ,X,O,O,X,O,O
LITOZJS,X,O,X,X,O,O
LITOZSJ,X,O,O,X,O,O
LIJTSZO,X,X,O,X,X,O
LIJTSOZ,X,O,O,X,X,O
LIJTZSO,X,X,X,X,X,O
LIJTZOS,X,X,X,X,X,O
LIJTOSZ,X,O,O,X,X,O
LIJTOZS,X,X,X,X,X,O
LIJSTZO,X,X,X,X,X,O
LIJSTOZ,X,O,X,X,X,O
LIJSZTO,X,X,X,X,X,O
LIJSZOT,X,X,X,X,X,O
LIJSOTZ,X,O,X,X,X,O
LIJSOZT,X,X,X,X,X,O
LIJZTSO,X,X,X,X,X,O
LIJZTOS,X,X,X,X,X,O
LIJZSTO,X,X,X,X,X,O
LIJZSOT,X,X,X,X,X,O
LIJZOTS,X,X,X,X,X,O
LIJZOST,X,X,X,X,X,O
LIJOTSZ,X,O,O,X,X,O
LIJOTZS,X,X,X,X,X,O
LIJOSTZ,X,O,X,X,X,O
LIJOSZT,X,X,X,X,X,O
LIJOZTS,X,X,X,X,X,O
LIJOZST,X,X,X,X,X,O
LISTJZO,X,X,O,X,X,O
LISTJOZ,X,O,O,X,X,O
LISTZJO,X,O,O,X,O,O
LISTZOJ,X,O,O,X,O,O
LISTOJZ,X,O,O,X,X,O
LISTOZJ,X,O,O,X,O,O
LISJTZO,X,X,X,X,X,O
LISJTOZ,X,O,X,X,X,O
LISJZTO,X,X,X,X,X,O
LISJZOT,X,X,X,X,X,O
LISJOTZ,X,O,X,X,X,O
LISJOZT,X,X,X,X,X,O
LISZTJO,X,O,O,X,O,O
LISZTOJ,X,O,O,X,O,O
LISZJTO,X,O,X,X,O,O
LISZJOT,X,O,X,X,O,O
LISZOTJ,X,O,O,X,O,O
LISZOJT,X,O,X,X,O,O
LISOTJZ,X,O,O,X,X,O
LISOTZJ,X,O,O,X,O,O
LISOJTZ,X,O,X,X,X,O
LISOJZT,X,X,X,X,X,O
LISOZTJ,X,O,O,X,O,O
LISOZJT,X,O,X,X,O,O
LIZTJSO,X,O,X,X,O,O
LIZTJOS,X,O,X,X,O,O
LIZTSJO,X,O,O,X,O,O
LIZTSOJ,X,O,O,X,O,O
LIZTOJS,X,O,X,X,O,O
LIZTOSJ,X,O,O,X,O,O
LIZJTSO,X,O,X,X,O,O
LIZJTOS,X,O,X,X,O,O
LIZJSTO,X,O,X,X,O,O
LIZJSOT,X,O,X,X,O,O
LIZJOTS,X,O,X,X,O,O
LIZJOST,X,O,X,X,O,O
LIZSTJO,X,O,X,X,O,O
LIZSTOJ,X,O,X,X,O,O
LIZSJTO,X,O,X,X,O,O
LIZSJOT,X,O,X,X,O,O
LIZSOTJ,X,O,X,X,O,O
LIZSOJT,X,O,X,X,O,O
LIZOTJS,X,O,X,X,O,O
LIZOTSJ,X,O,O,X,O,O
LIZOJTS,X,O,X,X,O,O
LIZOJST,X,O,X,X,O,O
LIZOSTJ,X,O,X,X,O,O
LIZOSJT,X,O,X,X,O,O
LIOTJSZ,X,O,O,X,X,O
LIOTJZS,X,X,X,X,X,O
LIOTSJZ,X,O,O,X,X,O
LIOTSZJ,X,O,O,X,O,O
LIOTZJS,X,O,X,X,O,O
LIOTZSJ,X,O,O,X,O,O
LIOJTSZ,X,O,O,X,X,O
LIOJTZS,X,X,X,X,X,O
LIOJSTZ,X,O,X,X,X,O
LIOJSZT,X,X,X,X,X,O
LIOJZTS,X,X,X,X,X,O
LIOJZST,X,X,X,X,X,O
LIOSTJZ,X,O,O,X,X,O
LIOSTZJ,X,O,O,X,O,O
LIOSJTZ,X,O,X,X,X,O
LIOSJZT,X,X,X,X,X,O
LIOSZTJ,X,O,O,X,O,O
LIOSZJT,X,O,X,X,O,O
LIOZTJS,X,O,X,X,O,O
LIOZTSJ,X,O,O,X,O,O
LIOZJTS,X,O,X,X,O,O
LIOZJST,X,O,X,X,O,O
LIOZSTJ,X,O,X,X,O,O
LIOZSJT,X,O,X,X,O,O
LJTISZO,O,X,O,X,X,X
LJTISOZ,O,O,O,X,X,X
LJTIZSO,O,X,X,X,X,X
LJTIZOS,O,X,X,X,X,X
LJTIOSZ,O,O,O,X,X,X
LJTIOZS,O,X,X,X,X,X
LJTSIZO,O,X,O,X,X,X
LJTSIOZ,O,O,O,X,X,X
LJTSZIO,O,O,O,X,X,X
LJTSZOI,O,O,O,X,X,X
LJTSOIZ,O,O,O,X,X,X
LJTSOZI,O,O,O,X,X,X
LJTZISO,O,O,X,X,X,X
LJTZIOS,O,O,X,X,X,X
LJTZSIO,O,O,X,X,X,X
LJTZSOI,O,O,X,X,X,X
LJTZOIS,O,O,X,X,X,X
LJTZOSI,O,O,X,X,X,X
LJTOISZ,O,O,O,X,X,X
LJTOIZS,O,X,X,X,X,X
LJTOSIZ,O,O,O,X,X,X
LJTOSZI,O,O,O,X,X,X
LJTOZIS,O,O,X,X,X,X
LJTOZSI,O,O,X,X,X,X
LJITSZO,X,X,O,X,X,O
LJITSOZ,X,O,O,X,X,O
LJITZSO,X,X,X,X,X,O
LJITZOS,X,X,X,X,X,O
LJITOSZ,X,O,O,X,X,O
LJITOZS,X,X,X,X,X,O
LJISTZO,X,X,X,X,X,O
LJISTOZ,X,O,X,X,X,O
LJISZTO,X,X,X,X,X,O
LJISZOT,X,X,X,X,X,O
LJISOTZ,X,O,X,X,X,O
LJISOZT,X,X,X,X,X,O
LJIZTSO,X,X,X,X,X,O
LJIZTOS,X,X,X,X,X,O
LJIZSTO,X,X,X,X,X,O
LJIZSOT,X,X,X,X,X,O
LJIZOTS,X,X,X,X,X,O
LJIZOST,X,X,X,X,X,O
LJIOTSZ,X,O,O,X,X,O
LJIOTZS,X,X,X,X,X,O
LJIOSTZ,X,O,X,X,X,O
LJIOSZT,X,X,X,X,X,O
LJIOZTS,X,X,X,X,X,O
LJIOZST,X,X,X,X,X,O
LJSTIZO,O,X,O,X,X,O
LJSTIOZ,O,O,O,X,X,O
LJSTZIO,O,O,O,X,X,X
LJSTZOI,O,O,O,X,X,X
LJSTOIZ,O,O,O,X,X,O
LJSTOZI,O,O,O,X,X,X
LJSITZO,X,X,X,X,X,O
LJSITOZ,X,O,X,X,X,O
LJSIZTO,X,X,X,X,X,O
LJSIZOT,O,X,X,X,X,O
LJSIOTZ,X,O,X,X,X,O
LJSIOZT,O,X,X,X,X,O
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,O,O,X,X,X
LJSZITO,X,O,X,X,X,X
LJSZIOT,O,O,X,X,X,X
LJSZOTI,O,O,O,X,X,X
LJSZOIT,O,O,X,X,X,X
LJSOTIZ,O,O,O,X,X,O
LJSOTZI,O,O,O,X,X,X
LJSOITZ,X,O,X,X,X,O
LJSOIZT,O,X,X,X,X,O
LJSOZTI,O,O,O,X,X,X
LJSOZIT,O,O,X,X,X,X
LJZTISO,O,O,X,X,X,X
LJZTIOS,O,O,X,X,X,X
LJZTSIO,O,O,X,X,X,X
LJZTSOI,O,O,X,X,X,X
LJZTOIS,O,O,X,X,X,X
LJZTOSI,O,O,X,X,X,X
LJZITSO,X,O,X,X,X,X
LJZITOS,X,O,X,X,X,X
LJZISTO,X,O,X,X,X,X
LJZISOT,O,O,X,X,X,X
LJZIOTS,X,O,X,X,X,X
LJZIOST,O,O,X,X,X,X
LJZSTIO,O,O,X,X,X,X
LJZSTOI,O,O,X,X,X,X
LJZSITO,X,O,X,X,X,X
LJZSIOT,O,O,X,X,X,X
LJZSOTI,O,O,X,X,X,X
LJZSOIT,O,O,X,X,X,X
LJZOTIS,O,O,X,X,X,X
LJZOTSI,O,O,X,X,X,X
LJZOITS,X,O,X,X,X,X
LJZOIST,O,O,X,X,X,X
LJZOSTI,O,O,X,X,X,X
LJZOSIT,O,O,X,X,X,X
LJOTISZ,O,O,O,X,X,X
LJOTIZS,O,X,X,X,X,X
LJOTSIZ,O,O,O,X,X,X
LJOTSZI,O,O,O,X,X,X
LJOTZIS,O,O,X,X,X,X
LJOTZSI,O,O,X,X,X,X
LJOITSZ,X,O,O,X,X,O
LJOITZS,X,X,X,X,X,O
LJOISTZ,X,O,X,X,X,O
LJOISZT,X,X,X,X,X,O
LJOIZTS,X,X,X,X,X,O
LJOIZST,X,X,X,X,X,O
LJOSTIZ,O,O,O,X,X,O
LJOSTZI,O,O,O,X,X,X
LJOSITZ,X,O,X,X,X,O
LJOSIZT,O,X,X,X,X,O
LJOSZTI,O,O,O,X,X,X
LJOSZIT,O,O,X,X,X,X
LJOZTIS,O,O,X,X,X,X
LJOZTSI,O,O,X,X,X,X
LJOZITS,X,O,X,X,X,X
LJOZIST,O,O,X,X,X,X
LJOZSTI,O,O,X,X,X,X
LJOZSIT,O,O,X,X,X,X
LSTIJZO,O,X,O,X,X,O
LSTIJOZ,O,O,O,O,X,O
LSTIZJO,X,O,O,X,O,O
LSTIZOJ,X,O,O,O,O,O
LSTIOJZ,O,O,O,O,X,O
LSTIOZJ,X,O,O,O,O,O
LSTJIZO,O,X,O,X,X,O
LSTJIOZ,O,O,O,X,X,O
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,O,O,X,X,X
LSTJOIZ,O,O,O,X,X,O
LSTJOZI,O,O,O,X,X,X
LSTZIJO,X,O,O,O,O,O
LSTZIOJ,X,O,O,O,O,O
LSTZJIO,X,O,O,X,X,X
LSTZJOI,X,O,O,X,O,X
LSTZOIJ,X,O,O,O,O,O
LSTZOJI,X,O,O,X,O,X
LSTOIJZ,O,O,O,O,X,O
LSTOIZJ,X,O,O,O,O,O
LSTOJIZ,O,O,O,X,X,O
LSTOJZI,O,O,O,X,X,X
LSTOZIJ,X,O,O,O,O,O
LSTOZJI,X,O,O,X,O,X
LSITJZO,O,X,O,X,X,O
LSITJOZ,O,O,O,X,X,O
LSITZJO,X,O,O,X,O,O
LSITZOJ,X,O,O,X,O,O
LSITOJZ,O,O,O,X,X,O
LSITOZJ,X,O,O,X,O,O
LSIJTZO,X,X,X,X,X,O
LSIJTOZ,X,O,X,X,X,O
LSIJZTO,X,X,X,X,X,O
LSIJZOT,O,X,X,X,X,O
LSIJOTZ,X,O,X,X,X,O
LSIJOZT,O,X,X,X,X,O
LSIZTJO,X,O,O,X,O,O
LSIZTOJ,X,O,O,X,O,O
LSIZJTO,X,O,X,X,O,O
LSIZJOT,X,O,X,X,O,O
LSIZOTJ,X,O,O,X,O,O
LSIZOJT,X,O,X,X,O,O
LSIOTJZ,O,O,O,X,X,O
LSIOTZJ,X,O,O,X,O,O
LSIOJTZ,X,O,X,X,X,O
LSIOJZT,O,X,X,X,X,O
LSIOZTJ,X,O,O,X,O,O
LSIOZJT,X,O,X,X,O,O
LSJTIZO,O,X,O,X,X,O
LSJTIOZ,O,O,O,X,X,O
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,O,O,X,X,X
LSJTOIZ,O,O,O,X,X,O
LSJTOZI,O,O,O,X,X,X
LSJITZO,X,X,X,X,X,O
LSJITOZ,X,O,X,X,X,O
LSJIZTO,X,X,X,X,X,O
LSJIZOT,O,X,X,X,X,O
LSJIOTZ,X,O,X,X,X,O
LSJIOZT,O,X,X,X,X,O
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,O,X,X,X
LSJZITO,X,O,X,X,X,X
LSJZIOT,O,O,X,X,X,X
LSJZOTI,O,O,O,X,X,X
LSJZOIT,O,O,X,X,X,X
LSJOTIZ,O,O,O,X,X,O
LSJOTZI,O,O,O,X,X,X
LSJOITZ,X,O,X,X,X,O
LSJOIZT,O,X,X,X,X,O
LSJOZTI,O,O,O,X,X,X
LSJOZIT,O,O,X,X,X,X
LSZTIJO,X,O,O,O,O,O
LSZTIOJ,X,O,O,O,O,O
LSZTJIO,X,O,O,X,X,X
LSZTJOI,X,O,O,X,O,X
LSZTOIJ,X,O,O,O,O,O
LSZTOJI,X,O,O,X,O,X
LSZITJO,X,O,O,X,O,O
LSZITOJ,X,O,O,O,O,O
LSZIJTO,X,O,X,X,O,O
LSZIJOT,X,O,X,O,O,O
LSZIOTJ,X,O,O,O,O,O
LSZIOJT,X,O,X,O,O,O
LSZJTIO,X,O,O,X,X,X
LSZJTOI,X,O,O,X,O,X
LSZJITO,X,O,X,X,O,X
LSZJIOT,X,O,X,O,O,X
LSZJOTI,X,O,O,X,O,X
LSZJOIT,X,O,X,O,O,X
LSZOTIJ,X,O,O,O,O,O
LSZOTJI,X,O,O,X,O,X
LSZOITJ,X,O,O,O,O,O
LSZOIJT,X,O,X,O,O,O
LSZOJTI,X,O,O,X,O,X
LSZOJIT,X,O,X,O,O,X
LSOTIJZ,O,O,O,O,X,O
LSOTIZJ,X,O,O,O,O,O
LSOTJIZ,O,O,O,X,X,O
LSOTJZI,O,O,O,X,X,X
LSOTZIJ,X,O,O,O,O,O
LSOTZJI,X,O,O,X,O,X
LSOITJZ,O,O,O,X,X,O
LSOITZJ,X,O,O,X,O,O
LSOIJTZ,X,O,X,X,X,O
LSOIJZT,O,X,X,X,X,O
LSOIZTJ,X,O,O,X,O,O
LSOIZJT,X,O,X,X,O,O
LSOJTIZ,O,O,O,X,X,O
LSOJTZI,O,O,O,X,X,X
LSOJITZ,X,O,X,X,X,O
LSOJIZT,O,X,X,X,X,O
LSOJZTI,O,O,O,X,X,X
LSOJZIT,O,O,X,X,X,X
LSOZTIJ,X,O,O,O,O,O
LSOZTJI,X,O,O,X,O,X
LSOZITJ,X,O,O,O,O,O
LSOZIJT,X,O,X,O,O,O
LSOZJTI,X,O,O,X,O,X
LSOZJIT,X,O,X,O,O,X
LZTIJSO,X,O,X,O,O,X
LZTIJOS,X,O,X,O,O,X
LZTISJO,X,O,O,O,O,X
LZTISOJ,X,O,O,O,O,X
LZTIOJS,X,O,X,O,O,X
LZTIOSJ,X,O,O,O,O,X
LZTJISO,X,O,X,O,X,X
LZTJIOS,X,O,X,O,X,X
LZTJSIO,X,O,X,X,X,X
LZTJSOI,X,O,X,X,X,X
LZTJOIS,X,O,X,O,X,X
LZTJOSI,X,O,X,X,X,X
LZTSIJO,X,O,O,O,O,X
LZTSIOJ,X,O,O,O,O,X
LZTSJIO,X,O,O,X,X,X
LZTSJOI,X,O,O,X,O,X
LZTSOIJ,X,O,O,O,O,X
LZTSOJI,X,O,O,X,O,X
LZTOIJS,X,O,X,O,O,X
LZTOISJ,X,O,O,O,O,X
LZTOJIS,X,O,X,O,X,X
LZTOJSI,X,O,X,X,X,X
LZTOSIJ,X,O,O,O,O,X
LZTOSJI,X,O,O,X,O,X
LZITJSO,X,O,X,O,O,O
LZITJOS,X,O,X,O,O,O
LZITSJO,X,O,O,O,O,O
LZITSOJ,X,O,O,O,O,O
LZITOJS,X,O,X,O,O,O
LZITOSJ,X,O,O,O,O,O
LZIJTSO,X,O,X,X,O,O
LZIJTOS,X,O,X,X,O,O
LZIJSTO,X,O,X,X,O,O
LZIJSOT,X,O,X,O,O,O
LZIJOTS,X,O,X,X,O,O
LZIJOST,X,O,X,O,O,O
LZISTJO,X,O,X,X,O,O
LZISTOJ,X,O,X,O,O,O
LZISJTO,X,O,X,X,O,O
LZISJOT,X,O,X,O,O,O
LZISOTJ,X,O,X,O,O,O
LZISOJT,X,O,X,O,O,O
LZIOTJS,X,O,X,O,O,O
LZIOTSJ,X,O,O,O,O,O
LZIOJTS,X,O,X,X,O,O
LZIOJST,X,O,X,O,O,O
LZIOSTJ,X,O,X,O,O,O
LZIOSJT,X,O,X,O,O,O
LZJTISO,X,O,X,O,X,X
LZJTIOS,X,O,X,O,X,X
LZJTSIO,X,O,X,X,X,X
LZJTSOI,X,O,X,X,X,X
LZJTOIS,X,O,X,O,X,X
LZJTOSI,X,O,X,X,X,X
LZJITSO,X,O,X,X,O,X
LZJITOS,X,O,X,X,O,X
LZJISTO,X,O,X,X,O,X
LZJISOT,X,O,X,O,O,X
LZJIOTS,X,O,X,X,O,X
LZJIOST,X,O,X,O,O,X
LZJSTIO,X,O,X,X,X,X
LZJSTOI,X,O,X,X,O,X
LZJSITO,X,O,X,X,O,X
LZJSIOT,X,O,X,O,O,X
LZJSOTI,X,O,X,X,O,X
LZJSOIT,X,O,X,O,O,X
LZJOTIS,X,O,X,O,X,X
LZJOTSI,X,O,X,X,X,X
LZJOITS,X,O,X,X,O,X
LZJOIST,X,O,X,O,O,X
LZJOSTI,X,O,X,X,O,X
LZJOSIT,X,O,X,O,O,X
LZSTIJO,X,O,O,O,O,O
LZSTIOJ,X,O,O,O,O,O
LZSTJIO,X,O,O,X,X,X
LZSTJOI,X,O,O,X,O,X
LZSTOIJ,X,O,O,O,O,O
LZSTOJI,X,O,O,X,O,X
LZSITJO,X,O,O,X,O,O
LZSITOJ,X,O,O,O,O,O
LZSIJTO,X,O,X,X,O,O
LZSIJOT,X,O,X,O,O,O
LZSIOTJ,X,O,O,O,O,O
LZSIOJT,X,O,X,O,O,O
LZSJTIO,X,O,O,X,X,X
LZSJTOI,X,O,O,X,O,X
LZSJITO,X,O,X,X,O,X
LZSJIOT,X,O,X,O,O,X
LZSJOTI,X,O,O,X,O,X
LZSJOIT,X,O,X,O,O,X
LZSOTIJ,X,O,O,O,O,O
LZSOTJI,X,O,O,X,O,X
LZSOITJ,X,O,O,O,O,O
LZSOIJT,X,O,X,O,O,O
LZSOJTI,X,O,O,X,O,X
LZSOJIT,X,O,X,O,O,X
LZOTIJS,X,O,X,O,O,X
LZOTISJ,X,O,O,O,O,X
LZOTJIS,X,O,X,O,X,X
LZOTJSI,X,O,X,X,X,X
LZOTSIJ,X,O,O,O,O,X
LZOTSJI,X,O,O,X,O,X
LZOITJS,X,O,X,O,O,O
LZOITSJ,X,O,O,O,O,O
LZOIJTS,X,O,X,X,O,O
LZOIJST,X,O,X,O,O,O
LZOISTJ,X,O,X,O,O,O
LZOISJT,X,O,X,O,O,O
LZOJTIS,X,O,X,O,X,X
LZOJTSI,X,O,X,X,X,X
LZOJITS,X,O,X,X,O,X
LZOJIST,X,O,X,O,O,X
LZOJSTI,X,O,X,X,O,X
