sequence,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukBUhBFiBXjB6q?BTrB,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukB3gBUiBFjB6r?BzqB
IJTOSZL,O,O
IJTOZLS,X,X
IJTOZSL,O,O
IJLTSZO,O,O
IJLTSOZ,X,X
IJLTZSO,O,O
IJLTZOS,X,X
IJLTOSZ,X,X
IJLTOZS,X,X
IJLSTZO,O,O
IJLSTOZ,X,X
IJLSZTO,O,O
IJLSZOT,X,X
IJLSOTZ,O,X
IJLSOZT,O,X
IJLZTSO,O,O
IJLZTOS,X,X
IJLZSTO,O,O
IJLZSOT,X,X
IJLZOTS,X,X
IJLZOST,X,X
IJLOTSZ,O,X
IJLOTZS,O,X
IJLOSTZ,O,X
IJLOSZT,O,X
IJLOZTS,O,X
IJLOZST,O,X
IJSTLZO,O,X
IJSTLOZ,X,X
IJSTZLO,X,O
IJSTZOL,X,O
IJSTOLZ,X,X
IJSTOZL,O,X
IJSLTZO,O,X
IJSLTOZ,X,X
IJSLZTO,O,X
IJSLZOT,X,X
IJSLOTZ,O,X
IJSLOZT,O,X
IJSZTLO,X,O
IJSZTOL,X,O
IJSZLTO,X,X
IJSZLOT,X,X
IJSZOTL,X,X
IJSZOLT,X,X
IJSOTLZ,X,X
IJSOTZL,O,X
IJSOLTZ,X,X
IJSOLZT,X,X
IJSOZTL,O,X
IJSOZLT,X,X
IJZTLSO,X,O
IJZTLOS,X,X
IJZTSLO,X,O
IJZTSOL,X,O
IJZTOLS,X,X
IJZTOSL,X,O
IJZLTSO,X,O
IJZLTOS,X,X
IJZLSTO,X,O
IJZLSOT,X,X
IJZLOTS,X,X
IJZLOST,X,X
IJZSTLO,X,O
IJZSTOL,X,O
IJZSLTO,X,X
IJZSLOT,X,X
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,X,X
IJZOTSL,X,O
IJZOLTS,X,X
IJZOLST,X,X
IJZOSTL,X,O
IJZOSLT,X,X
IJOTLSZ,X,O
IJOTLZS,X,O
IJOTSLZ,X,X
IJOTSZL,O,O
IJOTZLS,X,X
IJOTZSL,O,O
IJOLTSZ,X,O
IJOLTZS,X,O
IJOLSTZ,X,O
IJOLSZT,X,O
IJOLZTS,X,O
IJOLZST,X,O
IJOSTLZ,X,X
IJOSTZL,O,O
IJOSLTZ,X,X
IJOSLZT,X,X
IJOSZTL,O,O
IJOSZLT,X,X
IJOZTLS,X,X
IJOZTSL,O,O
IJOZLTS,X,X
IJOZLST,X,X
IJOZSTL,O,O
IJOZSLT,X,X
ISTLJZO,O,X
ISTLJOZ,X,X
ISTLZJO,O,X
ISTLZOJ,X,X
ISTLOJZ,X,X
ISTLOZJ,X,X
ISTJLZO,O,X
ISTJLOZ,X,X
ISTJZLO,X,O
ISTJZOL,X,O
ISTJOLZ,X,X
ISTJOZL,O,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,O
ISTZJOL,X,O
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,O,X
ISTOLZJ,O,X
ISTOJLZ,X,X
ISTOJZL,O,X
ISTOZLJ,X,X
ISTOZJL,O,X
ISLTJZO,O,X
ISLTJOZ,X,X
ISLTZJO,O,X
ISLTZOJ,X,X
ISLTOJZ,X,X
