sequence,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoBO?sB6sBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoB6?sBOsBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBOnB8nBF?lB3qByxB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiBFlBc?sBetB3qB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBmiB1qBK?sBftBUqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiB1qBm?sBUqB3sB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBFlBmnB3?qB0sBisB
IZTJOSL,O,X,X,O,X,O,O
IZTSLJO,O,O,X,X,O,X,X
IZTSLOJ,X,O,X,X,O,X,X
IZTSJLO,O,O,X,X,X,X,X
IZTSJOL,O,X,X,X,X,X,X
IZTSOLJ,X,O,X,X,X,X,X
IZTSOJL,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X
IZTOLSJ,O,O,O,X,O,X,X
IZTOJLS,O,O,X,O,X,X,X
IZTOJSL,O,O,X,O,X,O,O
IZTOSLJ,O,O,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X
IZLTJSO,O,O,O,X,X,X,X
IZLTJOS,X,X,O,X,X,X,X
IZLTSJO,O,O,O,X,O,X,X
IZLTSOJ,X,O,O,X,O,X,X
IZLTOJS,X,O,O,X,X,X,X
IZLTOSJ,X,O,O,X,O,X,X
IZLJTSO,O,O,O,X,X,X,X
IZLJTOS,X,X,O,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X
IZLJOTS,O,O,O,X,X,X,X
IZLJOST,O,O,O,X,X,X,X
IZLSTJO,O,O,O,X,O,X,X
IZLSTOJ,X,O,O,X,O,X,X
IZLSJTO,O,O,O,X,O,X,X
IZLSJOT,X,X,O,X,O,X,X
IZLSOTJ,X,O,O,X,X,X,X
IZLSOJT,X,O,O,X,O,X,X
IZLOTJS,O,O,O,X,X,X,X
IZLOTSJ,O,O,O,X,X,X,X
IZLOJTS,O,O,O,X,X,X,X
IZLOJST,O,O,O,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,X
IZLOSJT,O,O,O,X,O,X,X
IZJTLSO,O,O,X,O,X,X,X
IZJTLOS,X,X,X,O,X,X,X
IZJTSLO,O,O,X,O,X,O,X
IZJTSOL,O,X,X,O,X,O,X
IZJTOLS,O,X,X,O,X,X,X
IZJTOSL,O,X,X,O,X,O,O
IZJLTSO,O,O,X,O,X,X,X
IZJLTOS,X,X,X,O,X,O,X
IZJLSTO,O,O,X,O,X,X,X
IZJLSOT,X,X,X,O,X,X,X
IZJLOTS,O,O,X,O,X,O,X
IZJLOST,O,O,X,O,X,X,X
IZJSTLO,O,O,X,O,X,X,O
IZJSTOL,O,X,X,O,X,X,O
IZJSLTO,O,O,X,O,X,X,X
IZJSLOT,X,X,X,O,X,X,X
IZJSOTL,O,X,X,O,X,X,O
IZJSOLT,O,X,X,O,X,X,X
IZJOTLS,O,O,X,O,X,X,X
IZJOTSL,O,O,X,O,X,X,O
IZJOLTS,O,O,X,O,X,O,X
IZJOLST,O,O,X,O,X,X,X
IZJOSTL,O,O,X,O,X,X,O
IZJOSLT,O,O,X,O,X,X,X
IZSTLJO,O,O,X,X,O,X,O
IZSTLOJ,X,O,X,X,O,X,O
IZSTJLO,O,O,X,X,X,X,O
IZSTJOL,O,X,X,X,X,X,O
IZSTOLJ,X,O,X,X,X,X,O
IZSTOJL,O,X,X,X,X,X,O
IZSLTJO,O,O,O,X,O,X,X
IZSLTOJ,X,O,O,X,O,X,X
IZSLJTO,O,O,O,X,O,X,X
IZSLJOT,X,X,O,X,O,X,X
IZSLOTJ,X,O,O,X,X,X,X
IZSLOJT,X,O,O,X,O,X,X
IZSJTLO,O,O,X,O,X,X,O
IZSJTOL,O,X,X,O,X,X,O
IZSJLTO,O,O,X,O,X,X,X
IZSJLOT,X,X,X,O,X,X,X
IZSJOTL,O,X,X,O,X,X,O
IZSJOLT,O,X,X,O,X,X,X
IZSOTLJ,O,O,X,X,X,X,O
IZSOTJL,O,O,X,X,X,X,O
IZSOLTJ,O,O,O,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X
IZSOJTL,O,O,X,O,X,X,O
IZSOJLT,O,O,X,O,X,X,X
IZOTLJS,O,O,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,O
IZOTSLJ,O,O,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X
IZOLTJS,O,O,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X
IZOLJST,O,O,O,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,X
IZOJTLS,O,O,X,O,X,X,X
IZOJTSL,O,O,X,X,X,X,O
IZOJLTS,O,O,X,O,X,O,X
IZOJLST,O,O,X,O,X,X,X
IZOJSTL,O,O,X,X,X,X,O
IZOJSLT,O,O,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,O
IZOSTJL,O,O,X,X,X,X,O
IZOSLTJ,O,O,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,O
IZOSJLT,O,O,X,X,X,X,X
IOTLJSZ,X,X,X,X,O,O,X
IOTLJZS,O,O,O,O,X,X,X
IOTLSJZ,X,X,X,X,O,X,X
IOTLSZJ,X,O,O,X,O,X,X
IOTLZJS,O,O,O,X,X,X,X
IOTLZSJ,O,O,O,X,O,X,X
IOTJLSZ,X,X,X,X,O,O,X
IOTJLZS,O,O,O,O,X,O,X
IOTJSLZ,X,X,X,X,X,O,X
IOTJSZL,O,X,X,O,X,O,X
IOTJZLS,O,O,X,O,X,O,X
IOTJZSL,O,O,X,O,X,O,X
IOTSLJZ,X,X,X,X,O,X,X
IOTSLZJ,X,O,O,X,O,X,X
IOTSJLZ,X,X,X,X,X,O,X
IOTSJZL,O,X,X,O,X,O,X
IOTSZLJ,O,O,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X
IOTZLJS,O,O,O,X,X,X,X
IOTZLSJ,O,O,O,X,O,X,X
IOTZJLS,O,O,X,O,X,X,X
IOTZJSL,O,O,X,O,X,O,O
IOTZSLJ,O,O,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X
IOLTJSZ,X,X,X,X,O,X,X
IOLTJZS,O,O,O,X,X,X,X
IOLTSJZ,X,X,X,X,O,X,X
IOLTSZJ,X,O,O,X,O,X,X
IOLTZJS,O,O,O,X,X,X,X
IOLTZSJ,O,O,O,X,O,X,X
IOLJTSZ,X,X,X,X,X,O,X
IOLJTZS,O,O,X,X,X,O,X
IOLJSTZ,X,X,X,X,O,O,X
IOLJSZT,X,X,X,X,O,X,X
IOLJZTS,O,O,O,O,X,O,X
IOLJZST,O,O,O,O,X,X,X
IOLSTJZ,X,X,O,X,O,X,X
IOLSTZJ,X,O,O,X,O,X,X
IOLSJTZ,X,X,X,X,O,X,X
IOLSJZT,X,X,O,X,O,X,X
IOLSZTJ,X,O,O,X,X,X,X
IOLSZJT,X,O,O,X,O,X,X
IOLZTJS,O,O,O,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X
IOLZJST,O,O,O,X,X,X,X
IOLZSTJ,O,O,O,X,X,X,X
IOLZSJT,O,O,O,X,O,X,X
IOJTLSZ,X,X,X,X,X,O,X
IOJTLZS,O,O,X,O,X,O,X
IOJTSLZ,X,X,X,X,X,O,X
IOJTSZL,O,X,X,O,X,O,X
IOJTZLS,O,O,X,O,X,O,X
IOJTZSL,O,O,X,O,X,O,X
IOJLTSZ,X,X,X,X,X,O,X
IOJLTZS,O,O,X,X,X,O,X
IOJLSTZ,X,X,X,X,O,O,X
IOJLSZT,X,X,X,X,O,X,X
IOJLZTS,O,O,O,O,X,O,X
IOJLZST,O,O,O,O,X,X,X
IOJSTLZ,X,X,X,O,X,X,X
IOJSTZL,O,X,X,O,X,X,X
IOJSLTZ,X,X,X,X,X,O,X
IOJSLZT,X,X,X,O,X,X,X
IOJSZTL,O,X,X,O,X,X,X
IOJSZLT,O,X,X,O,X,X,X
IOJZTLS,O,O,X,O,X,X,X
IOJZTSL,O,O,X,O,X,X,X
IOJZLTS,O,O,X,O,X,O,X
IOJZLST,O,O,X,O,X,X,X
IOJZSTL,O,O,X,O,X,X,X
IOJZSLT,O,O,X,O,X,X,X
IOSTLJZ,X,X,O,O,O,X,X
IOSTLZJ,X,O,O,X,O,X,O
IOSTJLZ,X,X,O,O,X,X,X
IOSTJZL,O,X,X,O,X,X,O
IOSTZLJ,O,O,O,X,X,X,O
IOSTZJL,O,O,X,O,X,X,O
IOSLTJZ,X,X,O,X,O,X,X
IOSLTZJ,X,O,O,X,O,X,X
IOSLJTZ,X,X,X,X,O,X,X
IOSLJZT,X,X,O,O,O,X,X
IOSLZTJ,X,O,O,X,X,X,X
IOSLZJT,X,O,O,X,O,X,X
IOSJTLZ,X,X,X,O,X,X,X
IOSJTZL,O,X,X,O,X,X,X
IOSJLTZ,X,X,X,X,X,O,X
IOSJLZT,X,X,O,O,X,X,X
IOSJZTL,O,X,X,O,X,X,X
IOSJZLT,O,X,X,O,X,X,X
IOSZTLJ,O,O,X,X,X,X,O
IOSZTJL,O,O,X,X,X,X,O
IOSZLTJ,O,O,O,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,O,X,O,X,X,O
IOSZJLT,O,O,X,O,X,X,X
IOZTLJS,O,O,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,O
IOZTSLJ,O,O,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X
IOZLTJS,O,O,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X
IOZLJST,O,O,O,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,X
IOZJTLS,O,O,X,O,X,X,X
IOZJTSL,O,O,X,X,X,X,O
IOZJLTS,O,O,X,O,X,O,X
IOZJLST,O,O,X,O,X,X,X
IOZJSTL,O,O,X,X,X,X,O
IOZJSLT,O,O,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,O
IOZSTJL,O,O,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,O
IOZSJLT,O,O,X,X,X,X,X
LTIJSZO,X,X,X,X,O,O,X
LTIJSOZ,X,X,X,X,O,O,X
LTIJZSO,O,O,O,O,X,X,X
LTIJZOS,X,X,O,O,X,X,X
LTIJOSZ,X,X,X,X,O,O,X
LTIJOZS,O,O,O,O,X,X,X
LTISJZO,X,X,X,X,O,X,X
LTISJOZ,X,X,X,X,O,X,X
LTISZJO,X,O,O,X,O,X,X
LTISZOJ,X,O,O,X,O,X,X
LTISOJZ,X,X,X,X,O,X,X
LTISOZJ,X,O,O,X,O,X,X
LTIZJSO,O,O,O,X,X,X,X
LTIZJOS,X,X,O,X,X,X,X
LTIZSJO,O,O,O,X,O,X,X
LTIZSOJ,X,O,O,X,O,X,X
LTIZOJS,X,O,O,X,X,X,X
LTIZOSJ,X,O,O,X,O,X,X
LTIOJSZ,X,X,X,X,O,O,X
LTIOJZS,O,O,O,O,X,X,X
LTIOSJZ,X,X,X,X,O,X,X
LTIOSZJ,X,O,O,X,O,X,X
LTIOZJS,O,O,O,X,X,X,X
LTIOZSJ,O,O,O,X,O,X,X
LTJISZO,X,X,X,X,O,O,X
LTJISOZ,X,X,X,X,O,O,X
LTJIZSO,O,O,O,O,X,X,X
LTJIZOS,X,X,O,O,X,X,X
LTJIOSZ,X,X,X,X,O,O,X
LTJIOZS,O,O,O,O,X,X,X
LTJSIZO,X,X,X,X,O,O,X
LTJSIOZ,X,X,X,X,O,O,X
LTJSZIO,X,X,X,X,O,O,X
LTJSZOI,X,X,X,X,O,O,X
LTJSOIZ,X,X,X,X,O,O,X
LTJSOZI,X,X,X,X,O,O,X
LTJZISO,O,O,O,O,X,O,X
LTJZIOS,X,X,O,O,X,O,X
LTJZSIO,O,O,O,O,X,O,X
LTJZSOI,X,X,O,O,X,O,X
LTJZOIS,X,X,O,O,X,O,X
LTJZOSI,X,X,O,O,X,O,X
LTJOISZ,X,X,X,X,O,O,X
LTJOIZS,O,O,O,O,X,X,X
LTJOSIZ,X,X,X,X,O,O,X
LTJOSZI,X,X,X,X,O,O,X
LTJOZIS,O,O,O,O,X,O,X
LTJOZSI,O,O,O,O,X,O,X
LTSIJZO,X,X,O,X,O,X,X
LTSIJOZ,X,X,O,X,O,X,X
LTSIZJO,X,O,O,X,O,X,X
LTSIZOJ,X,O,O,X,O,X,X
LTSIOJZ,X,X,O,X,O,X,X
LTSIOZJ,X,O,O,X,O,X,X
LTSJIZO,X,X,O,X,O,X,X
LTSJIOZ,X,X,O,X,O,X,X
LTSJZIO,X,X,O,X,O,X,X
LTSJZOI,X,X,O,X,O,X,X
LTSJOIZ,X,X,O,X,O,X,X
LTSJOZI,X,X,O,X,O,X,X
LTSZIJO,X,O,O,X,O,X,X
LTSZIOJ,X,O,O,X,O,X,X
LTSZJIO,X,O,O,X,O,X,X
LTSZJOI,X,X,O,X,O,X,X
LTSZOIJ,X,O,O,X,O,X,X
LTSZOJI,X,X,O,X,O,X,X
LTSOIJZ,X,X,O,X,O,X,X
LTSOIZJ,X,O,O,X,O,X,X
LTSOJIZ,X,X,O,X,O,X,X
LTSOJZI,X,X,O,X,O,X,X
LTSOZIJ,X,O,O,X,O,X,X
LTSOZJI,X,O,O,X,O,X,X
LTZIJSO,O,O,O,X,X,X,X
LTZIJOS,X,X,O,X,X,X,X
LTZISJO,O,O,O,X,O,X,X
LTZISOJ,X,O,O,X,O,X,X
LTZIOJS,X,O,O,X,X,X,X
LTZIOSJ,X,O,O,X,O,X,X
LTZJISO,O,O,O,X,X,X,X
LTZJIOS,X,X,O,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X
LTZJOIS,X,X,O,X,X,X,X
LTZJOSI,X,X,O,X,X,X,O
LTZSIJO,O,O,O,X,O,X,X
LTZSIOJ,X,O,O,X,O,X,X
LTZSJIO,O,O,O,X,O,X,X
LTZSJOI,X,X,O,X,O,X,X
LTZSOIJ,X,O,O,X,O,X,X
LTZSOJI,X,X,O,X,O,X,X
LTZOIJS,X,O,O,X,X,X,X
LTZOISJ,X,O,O,X,O,X,X
LTZOJIS,X,O,O,X,X,X,X
LTZOJSI,X,O,O,X,X,X,O
LTZOSIJ,X,O,O,X,O,X,X
LTZOSJI,X,O,O,X,O,X,X
LTOIJSZ,X,X,X,X,O,O,X
LTOIJZS,O,O,O,O,X,X,X
LTOISJZ,X,X,X,X,O,X,X
LTOISZJ,X,O,O,X,O,X,X
LTOIZJS,O,O,O,X,X,X,X
LTOIZSJ,O,O,O,X,O,X,X
LTOJISZ,X,X,X,X,O,O,X
LTOJIZS,O,O,O,O,X,X,X
LTOJSIZ,X,X,X,X,O,O,X
LTOJSZI,X,X,X,X,O,O,X
LTOJZIS,O,O,O,O,X,O,X
LTOJZSI,O,O,O,O,X,O,X
LTOSIJZ,X,X,O,X,O,X,X
LTOSIZJ,X,O,O,X,O,X,X
LTOSJIZ,X,X,O,X,O,X,X
LTOSJZI,X,X,O,X,O,X,X
LTOSZIJ,X,O,O,X,O,X,X
LTOSZJI,X,O,O,X,O,X,X
LTOZIJS,O,O,O,X,X,X,X
LTOZISJ,O,O,O,X,O,X,X
LTOZJIS,O,O,O,X,X,X,X
LTOZJSI,O,O,O,X,X,X,O
LTOZSIJ,O,O,O,X,O,X,X
LTOZSJI,O,O,O,X,O,X,X
LITJSZO,X,X,X,X,O,O,X
LITJSOZ,X,X,X,X,O,O,X
LITJZSO,O,O,O,O,X,X,X
LITJZOS,X,X,O,O,X,X,X
LITJOSZ,X,X,X,X,O,O,X
LITJOZS,O,O,O,O,X,X,X
LITSJZO,X,X,X,X,O,X,X
LITSJOZ,X,X,X,X,O,X,X
LITSZJO,X,O,O,X,O,X,X
LITSZOJ,X,O,O,X,O,X,X
LITSOJZ,X,X,X,X,O,X,X
LITSOZJ,X,O,O,X,O,X,X
LITZJSO,O,O,O,X,X,X,X
LITZJOS,X,X,O,X,X,X,X
LITZSJO,O,O,O,X,O,X,X
LITZSOJ,X,O,O,X,O,X,X
LITZOJS,X,O,O,X,X,X,X
LITZOSJ,X,O,O,X,O,X,X
LITOJSZ,X,X,X,X,O,O,X
LITOJZS,O,O,O,O,X,X,X
LITOSJZ,X,X,X,X,O,X,X
LITOSZJ,X,O,O,X,O,X,X
LITOZJS,O,O,O,X,X,X,X
LITOZSJ,O,O,O,X,O,X,X
LIJTSZO,X,X,X,X,O,O,X
LIJTSOZ,X,X,X,X,O,O,X
LIJTZSO,O,O,O,O,X,X,X
LIJTZOS,X,X,O,O,X,O,X
LIJTOSZ,X,X,X,X,O,O,X
LIJTOZS,O,O,O,O,X,O,X
LIJSTZO,X,X,X,X,O,X,X
LIJSTOZ,X,X,X,X,O,O,X
LIJSZTO,X,X,O,O,O,X,X
LIJSZOT,X,X,O,O,O,X,X
LIJSOTZ,X,X,X,X,O,O,X
LIJSOZT,X,X,O,O,O,X,X
LIJZTSO,O,O,O,O,X,X,X
LIJZTOS,X,X,O,O,X,O,X
LIJZSTO,O,O,O,O,X,X,X
LIJZSOT,X,X,O,O,X,X,X
LIJZOTS,O,O,O,O,X,O,X
LIJZOST,O,O,O,O,X,X,X
LIJOTSZ,X,X,X,X,X,O,X
LIJOTZS,O,O,X,X,X,O,X
LIJOSTZ,X,X,X,X,O,O,X
LIJOSZT,X,X,X,X,O,X,X
LIJOZTS,O,O,O,O,X,O,X
LIJOZST,O,O,O,O,X,X,X
LISTJZO,X,X,O,X,O,X,X
LISTJOZ,X,X,O,X,O,X,X
LISTZJO,X,O,O,X,O,X,X
LISTZOJ,X,O,O,X,O,X,X
LISTOJZ,X,X,O,X,O,X,X
LISTOZJ,X,O,O,X,O,X,X
LISJTZO,X,X,X,X,O,X,X
LISJTOZ,X,X,X,X,O,X,X
LISJZTO,X,X,O,O,O,X,X
LISJZOT,X,X,O,O,O,X,X
LISJOTZ,X,X,X,X,O,X,X
LISJOZT,X,X,O,O,O,X,X
LISZTJO,X,O,O,X,O,X,X
LISZTOJ,X,O,O,X,O,X,X
LISZJTO,X,O,O,X,O,X,X
LISZJOT,X,X,O,X,O,X,X
LISZOTJ,X,O,O,X,X,X,X
LISZOJT,X,O,O,X,O,X,X
LISOTJZ,X,X,O,X,O,X,X
LISOTZJ,X,O,O,X,O,X,X
LISOJTZ,X,X,X,X,O,X,X
LISOJZT,X,X,O,O,O,X,X
LISOZTJ,X,O,O,X,X,X,X
LISOZJT,X,O,O,X,O,X,X
LIZTJSO,O,O,O,X,X,X,X
LIZTJOS,X,X,O,X,X,X,X
LIZTSJO,O,O,O,X,O,X,X
LIZTSOJ,X,O,O,X,O,X,X
LIZTOJS,X,O,O,X,X,X,X
LIZTOSJ,X,O,O,X,O,X,X
LIZJTSO,O,O,O,X,X,X,X
LIZJTOS,X,X,O,X,X,X,X
LIZJSTO,O,O,O,X,X,X,X
LIZJSOT,X,X,O,X,X,X,X
LIZJOTS,O,O,O,X,X,X,X
LIZJOST,O,O,O,X,X,X,X
LIZSTJO,O,O,O,X,O,X,X
LIZSTOJ,X,O,O,X,O,X,X
LIZSJTO,O,O,O,X,O,X,X
LIZSJOT,X,X,O,X,O,X,X
LIZSOTJ,X,O,O,X,X,X,X
LIZSOJT,X,O,O,X,O,X,X
LIZOTJS,O,O,O,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X
LIZOJTS,O,O,O,X,X,X,X
LIZOJST,O,O,O,X,X,X,X
LIZOSTJ,O,O,O,X,X,X,X
LIZOSJT,O,O,O,X,O,X,X
LIOTJSZ,X,X,X,X,O,X,X
LIOTJZS,O,O,O,X,X,X,X
LIOTSJZ,X,X,X,X,O,X,X
LIOTSZJ,X,O,O,X,O,X,X
LIOTZJS,O,O,O,X,X,X,X
LIOTZSJ,O,O,O,X,O,X,X
LIOJTSZ,X,X,X,X,X,O,X
LIOJTZS,O,O,X,X,X,O,X
LIOJSTZ,X,X,X,X,O,O,X
LIOJSZT,X,X,X,X,O,X,X
LIOJZTS,O,O,O,O,X,O,X
LIOJZST,O,O,O,O,X,X,X
LIOSTJZ,X,X,O,X,O,X,X
LIOSTZJ,X,O,O,X,O,X,X
LIOSJTZ,X,X,X,X,O,X,X
LIOSJZT,X,X,O,X,O,X,X
LIOSZTJ,X,O,O,X,X,X,X
LIOSZJT,X,O,O,X,O,X,X
LIOZTJS,O,O,O,X,X,X,X
LIOZTSJ,O,O,O,X,X,X,X
LIOZJTS,O,O,O,X,X,X,X
LIOZJST,O,O,O,X,X,X,X
LIOZSTJ,O,O,O,X,X,X,X
LIOZSJT,O,O,O,X,O,X,X
LJTISZO,X,X,X,X,O,O,X
LJTISOZ,X,X,X,X,O,O,X
LJTIZSO,O,O,O,O,X,O,X
LJTIZOS,X,X,O,O,X,O,X
LJTIOSZ,X,X,X,X,O,O,X
LJTIOZS,O,O,O,O,X,O,X
LJTSIZO,X,X,X,X,O,O,X
LJTSIOZ,X,X,X,X,O,O,X
LJTSZIO,X,X,X,X,O,O,X
LJTSZOI,X,X,X,X,O,O,X
LJTSOIZ,X,X,X,X,O,O,X
LJTSOZI,X,X,X,X,O,O,X
LJTZISO,O,O,O,O,X,O,X
LJTZIOS,X,X,O,O,X,O,X
LJTZSIO,O,O,O,O,X,O,X
LJTZSOI,X,X,O,O,X,O,X
LJTZOIS,X,X,O,O,X,O,X
LJTZOSI,X,X,O,O,X,O,X
LJTOISZ,X,X,X,X,O,O,X
LJTOIZS,O,O,O,O,X,O,X
LJTOSIZ,X,X,X,X,O,O,X
LJTOSZI,X,X,X,X,O,O,X
LJTOZIS,O,O,O,O,X,O,X
LJTOZSI,O,O,O,O,X,O,X
LJITSZO,X,X,X,X,O,O,X
LJITSOZ,X,X,X,X,O,O,X
LJITZSO,O,O,O,O,X,O,X
LJITZOS,X,X,O,O,X,O,X
LJITOSZ,X,X,X,X,O,O,X
LJITOZS,O,O,O,O,X,O,X
LJISTZO,X,X,X,X,O,X,X
LJISTOZ,X,X,X,X,O,O,X
LJISZTO,X,X,O,O,O,X,X
LJISZOT,X,X,O,O,O,X,X
LJISOTZ,X,X,X,X,O,O,X
LJISOZT,X,X,O,O,O,X,X
LJIZTSO,O,O,O,O,X,X,X
LJIZTOS,X,X,O,O,X,O,X
LJIZSTO,O,O,O,O,X,X,X
LJIZSOT,X,X,O,O,X,X,X
LJIZOTS,O,O,O,O,X,O,X
LJIZOST,O,O,O,O,X,X,X
LJIOTSZ,X,X,X,X,X,O,X
LJIOTZS,O,O,X,X,X,O,X
LJIOSTZ,X,X,X,X,O,O,X
LJIOSZT,X,X,X,X,O,X,X
LJIOZTS,O,O,O,O,X,O,X
LJIOZST,O,O,O,O,X,X,X
LJSTIZO,X,X,O,O,O,X,X
LJSTIOZ,X,X,O,O,O,O,X
LJSTZIO,X,X,O,O,O,O,X
LJSTZOI,X,X,O,O,O,O,X
LJSTOIZ,X,X,O,O,O,O,X
LJSTOZI,X,X,O,O,O,O,X
LJSITZO,X,X,X,X,O,X,X
LJSITOZ,X,X,X,X,O,O,X
LJSIZTO,X,X,O,O,O,X,X
LJSIZOT,X,X,O,O,O,X,X
LJSIOTZ,X,X,X,X,O,O,X
LJSIOZT,X,X,O,O,O,X,X
LJSZTIO,X,X,O,O,O,X,X
LJSZTOI,X,X,O,O,O,X,X
LJSZITO,X,X,O,O,O,X,X
LJSZIOT,X,X,O,O,O,X,X
LJSZOTI,X,X,O,O,O,X,X
LJSZOIT,X,X,O,O,O,X,X
LJSOTIZ,X,X,O,O,O,O,X
LJSOTZI,X,X,O,O,O,O,X
LJSOITZ,X,X,X,X,O,O,X
LJSOIZT,X,X,O,O,O,X,X
LJSOZTI,X,X,O,O,O,X,X
LJSOZIT,X,X,O,O,O,X,X
LJZTISO,O,O,O,O,X,O,X
LJZTIOS,X,X,O,O,X,O,X
LJZTSIO,O,O,O,O,X,O,X
LJZTSOI,X,X,O,O,X,O,X
LJZTOIS,X,X,O,O,X,O,X
LJZTOSI,X,X,O,O,X,O,X
LJZITSO,O,O,O,O,X,X,X
LJZITOS,X,X,O,O,X,O,X
LJZISTO,O,O,O,O,X,X,X
LJZISOT,X,X,O,O,X,X,X
LJZIOTS,O,O,O,O,X,O,X
LJZIOST,O,O,O,O,X,X,X
LJZSTIO,O,O,O,O,X,X,X
LJZSTOI,X,X,O,O,X,X,X
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,X,X,O,O,X,X,X
LJZSOTI,X,X,O,O,X,X,X
LJZSOIT,X,X,O,O,X,X,X
LJZOTIS,O,O,O,O,X,O,X
LJZOTSI,O,O,O,O,X,O,X
LJZOITS,O,O,O,O,X,O,X
LJZOIST,O,O,O,O,X,X,X
LJZOSTI,O,O,O,O,X,X,X
LJZOSIT,O,O,O,O,X,X,X
LJOTISZ,X,X,X,X,O,O,X
LJOTIZS,O,O,O,O,X,O,X
LJOTSIZ,X,X,X,X,O,O,X
LJOTSZI,X,X,X,X,O,O,X
LJOTZIS,O,O,O,O,X,O,X
LJOTZSI,O,O,O,O,X,O,X
LJOITSZ,X,X,X,X,X,O,X
LJOITZS,O,O,X,X,X,O,X
LJOISTZ,X,X,X,X,O,O,X
LJOISZT,X,X,X,X,O,X,X
LJOIZTS,O,O,O,O,X,O,X
LJOIZST,O,O,O,O,X,X,X
LJOSTIZ,X,X,O,O,O,O,X
LJOSTZI,X,X,O,O,O,O,X
LJOSITZ,X,X,X,X,O,O,X
LJOSIZT,X,X,O,O,O,X,X
LJOSZTI,X,X,O,O,O,X,X
LJOSZIT,X,X,O,O,O,X,X
LJOZTIS,O,O,O,O,X,O,X
LJOZTSI,O,O,O,O,X,O,X
LJOZITS,O,O,O,O,X,O,X
LJOZIST,O,O,O,O,X,X,X
LJOZSTI,O,O,O,O,X,X,X
LJOZSIT,O,O,O,O,X,X,X
LSTIJZO,X,X,O,O,O,X,X
LSTIJOZ,X,X,O,O,O,X,X
LSTIZJO,X,O,O,X,O,X,O
LSTIZOJ,X,O,O,X,O,X,O
LSTIOJZ,X,X,O,O,O,X,X
LSTIOZJ,X,O,O,X,O,X,O
LSTJIZO,X,X,O,O,O,X,X
LSTJIOZ,X,X,O,O,O,X,X
LSTJZIO,X,X,O,O,O,X,X
LSTJZOI,X,X,O,O,O,X,X
LSTJOIZ,X,X,O,O,O,X,X
LSTJOZI,X,X,O,O,O,X,X
LSTZIJO,X,O,O,X,O,X,O
LSTZIOJ,X,O,O,X,O,X,O
LSTZJIO,X,O,O,X,O,X,O
LSTZJOI,X,X,O,X,O,X,O
LSTZOIJ,X,O,O,X,O,X,O
LSTZOJI,X,X,O,X,O,X,O
LSTOIJZ,X,X,O,O,O,X,X
LSTOIZJ,X,O,O,X,O,X,O
LSTOJIZ,X,X,O,O,O,X,X
LSTOJZI,X,X,O,O,O,X,X
LSTOZIJ,X,O,O,X,O,X,O
LSTOZJI,X,O,O,X,O,X,O
LSITJZO,X,X,O,X,O,X,X
LSITJOZ,X,X,O,X,O,X,X
